GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AAS5E001,AAS5E002,AAS5E003,AAS5E004,AAS5E005,AAS5E006,AAS5E007,AAS5E008,AAS5E009,AAS5E010,AAS5E011,AAS5E012,AAS5E013,AAS5E014,AAS5E015,AAS5E016,AAS5E017,NAME_M,AAS5M001,AAS5M002,AAS5M003,AAS5M004,AAS5M005,AAS5M006,AAS5M007,AAS5M008,AAS5M009,AAS5M010,AAS5M011,AAS5M012,AAS5M013,AAS5M014,AAS5M015,AAS5M016,AAS5M017
"G0101010","2014","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",89415,9049,6373,5860,4709,6286,5248,4200,3898,3893,7493,7254,9368,6308,3609,3527,2340,"Montgomery County, Alabama",1703,1381,1204,1186,1125,1093,1143,944,1008,862,1187,1144,1427,1199,1073,772,550
"G0101030","2014","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",45016,3561,2596,2786,2904,2638,2666,2280,3257,2397,3067,5191,4498,3930,1360,1031,854,"Morgan County, Alabama",1420,921,744,838,1042,876,951,810,1007,825,693,1193,875,965,477,395,337
"G0101150","2014","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",32267,2719,1729,2007,1566,1496,2072,1302,1241,1928,2894,4586,4178,1791,1209,1314,235,"St. Clair County, Alabama",1254,833,714,725,737,613,941,580,505,777,888,1189,1014,677,737,581,205
"G0101170","2014","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",75714,3251,2768,2834,4703,3249,3800,2184,3689,3182,5795,6020,11407,7523,5271,5872,4166,"Shelby County, Alabama",1580,772,912,771,1145,818,893,624,885,875,1222,1277,1499,1145,1088,1099,751
"G0101210","2014","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",30649,3500,2997,1544,2379,1670,1576,1669,1609,2133,2774,2742,3197,1356,983,326,194,"Talladega County, Alabama",1481,919,788,603,765,706,684,546,671,741,793,808,872,483,539,252,161
"G0101250","2014","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",68320,7021,3821,4035,4287,3791,3049,3158,3205,3060,5108,7524,8631,4186,3519,1999,1926,"Tuscaloosa County, Alabama",2407,1446,911,953,1046,879,774,1050,912,1002,874,1310,1297,935,997,455,627
"G0101270","2014","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",25211,2224,2431,3002,1974,1549,1313,1245,1272,1132,2091,2373,2222,945,603,292,543,"Walker County, Alabama",1095,615,708,790,747,489,464,469,451,470,669,666,650,390,442,232,352
"G0200200","2014","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",104683,3148,2661,3019,3730,3433,3633,3872,4389,2973,8208,12296,14421,13149,8962,8477,8312,"Anchorage Municipality, Alaska",1844,1016,787,876,1120,1111,933,1116,1082,790,1203,1758,1951,1698,1496,1245,1401
"G0200900","2014","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",35692,1051,1111,696,1657,1878,1147,1513,1949,2297,2309,3623,5162,3505,1984,3473,2337,"Fairbanks North Star Borough, Alaska",1359,689,562,448,708,771,548,703,789,876,948,920,1227,901,684,1049,796
"G0201700","2014","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",30766,1255,1383,1030,1245,831,1128,1152,1215,940,1829,3714,4176,3914,2843,2710,1401,"Matanuska-Susitna Borough, Alaska",689,320,322,298,359,262,351,369,357,299,367,623,562,567,559,425,356
"G0400010","2014","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",18766,3701,1548,1453,982,1206,840,785,803,728,1697,1688,1379,953,451,394,158,"Apache County, Arizona",832,493,353,423,333,475,226,274,255,270,519,427,351,451,304,267,168
"G0400030","2014","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",47653,4501,4061,2555,2407,2964,2517,2149,2173,2516,4662,4209,4396,3255,2145,1803,1340,"Cochise County, Arizona",1785,987,897,811,790,827,681,609,723,695,981,769,993,942,733,774,562
"G0400050","2014","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",46919,4293,2275,2540,2529,3102,2480,1945,1886,2526,3346,3903,5036,4682,2286,2062,2028,"Coconino County, Arizona",1682,977,741,718,743,845,849,655,639,808,816,861,805,1069,713,562,588
"G0400130","2014","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",1458064,102716,67952,71947,74752,69568,78606,70617,73759,62628,122771,148319,176571,124800,70175,70617,72266,"Maricopa County, Arizona",8145,5183,3581,3628,4068,4144,4992,4025,4468,3945,5930,5864,7013,5023,3425,4112,3898
"G0400150","2014","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",81292,7280,5779,5470,5762,7430,6370,4854,5305,4335,7995,6374,7309,3037,1831,1313,848,"Mohave County, Arizona",2858,1594,1147,1134,1103,1757,1457,965,1335,1163,1646,1223,1199,889,690,598,294
"G0400170","2014","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",33236,5771,2780,2473,2083,1839,1765,1663,1582,1297,2696,3198,3501,1094,554,545,395,"Navajo County, Arizona",1993,979,674,595,617,545,589,499,484,539,739,704,728,477,378,283,292
"G0400190","2014","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",389737,30749,25652,23647,24670,22263,24044,19897,20781,16962,30210,39540,44083,25464,14327,13860,13588,"Pima County, Arizona",4510,2800,2588,2208,2529,2550,2067,2140,2410,1893,2708,2869,2753,2380,1771,1524,1723
"G0400210","2014","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",132176,11924,6175,6033,6846,7637,7647,6690,7256,6029,12571,17176,17068,9442,4654,2215,2813,"Pinal County, Arizona",3596,1794,1233,1218,1383,1707,1379,1306,1400,1093,1874,2049,1982,1738,1038,661,933
"G0400250","2014","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",90584,5658,6599,5814,5462,5691,5295,5668,6033,4672,7982,9988,8667,5426,2649,2245,2735,"Yavapai County, Arizona",2671,1173,1334,1264,1207,1334,1135,1162,1454,1026,1481,1324,1637,1397,875,848,826
"G0400270","2014","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",70593,6185,4694,5170,6106,4101,4920,4113,4046,3628,5522,6421,7444,3534,1417,2014,1278,"Yuma County, Arizona",1932,1146,1057,1170,1197,1033,993,1002,984,867,1150,1318,1462,960,474,652,467
"G0500070","2014","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",86232,3791,4482,3770,4434,4121,4315,4498,4298,4246,6626,8825,11325,8880,4009,4360,4252,"Benton County, Arkansas",1851,827,1041,726,906,938,885,1014,914,1006,1233,1382,1700,1353,842,759,874
"G0500310","2014","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",38548,3993,2562,2741,2412,2550,1790,1827,2496,2627,2994,3614,3316,1755,957,1165,1749,"Craighead County, Arkansas",1519,1107,835,887,683,1013,672,702,856,1035,847,1012,828,696,443,496,684
"G0500450","2014","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",42782,3846,1865,1589,2488,2487,2130,2130,2650,1558,3367,5703,5272,3524,1706,1462,1005,"Faulkner County, Arkansas",1340,999,597,613,765,835,786,634,732,624,760,1139,1099,825,593,640,423
"G0500510","2014","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",39045,4117,3297,2797,2525,2167,2419,1625,2023,1881,3580,3324,4016,2355,1269,582,1068,"Garland County, Arkansas",1871,894,1016,914,723,599,725,638,908,894,979,921,976,832,553,318,514
"G0500690","2014","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",28494,3450,2627,2747,2391,1865,1514,2133,1086,834,2196,1705,2692,1575,596,663,420,"Jefferson County, Arkansas",1190,862,819,708,723,657,592,657,477,342,752,581,895,659,309,315,255
"G0500850","2014","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",26688,1060,1681,1130,845,1309,2137,1201,1236,1874,2586,2558,4478,2488,993,959,153,"Lonoke County, Arkansas",630,442,567,504,450,495,591,489,533,688,807,653,964,730,387,466,162
"G0501190","2014","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",152045,11530,9921,9121,10386,8615,9277,9614,7710,5969,11631,13726,17403,9972,6195,5747,5228,"Pulaski County, Arkansas",3168,1795,1399,1734,1964,1621,1919,1701,1308,1151,1690,1672,1745,1345,1087,1046,1200
"G0501250","2014","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",41587,1280,1223,2139,2472,2129,2263,2904,2713,1702,4776,4074,5726,3655,1722,1787,1022,"Saline County, Arkansas",1329,545,509,747,837,794,727,914,969,691,1297,1070,1099,1098,688,693,485
"G0501310","2014","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",48779,3416,4457,4404,3974,2979,3378,2892,1656,2011,3865,4982,3677,2106,2547,769,1666,"Sebastian County, Arkansas",1344,969,1097,1257,1115,810,981,1038,605,647,1002,1012,973,765,875,377,510
"G0501430","2014","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",81600,6521,5908,4944,5224,6043,3945,4525,3662,3646,6032,7992,8202,5470,2855,3216,3415,"Washington County, Arkansas",2060,1467,1327,1278,1514,1151,994,998,1053,1067,1110,1559,1445,1178,971,1049,872
"G0501450","2014","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",29146,3218,2191,2577,2457,1176,1621,1466,956,871,2664,2350,3359,1815,735,622,1068,"White County, Arkansas",1266,824,667,836,869,486,631,533,395,388,809,718,753,751,371,430,589
"G0600010","2014","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",563601,30296,24882,16891,22434,19399,23035,17168,18843,16832,36198,47335,66894,61480,42776,56570,62568,"Alameda County, California",3221,2107,2311,1719,2209,1925,2423,2031,2120,2165,2864,3342,3377,3640,3036,3734,3221
"G0600070","2014","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",85366,7344,8428,6253,5398,3892,4477,4535,4283,2699,6661,6721,9062,5779,4178,2410,3246,"Butte County, California",2243,1241,1385,1274,1157,933,1078,1393,1097,738,1285,1206,1335,1184,1020,575,801
"G0600130","2014","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",387936,15727,14525,13351,12134,12556,12109,12442,15010,12479,25648,38068,46820,40289,32260,36367,48151,"Contra Costa County, California",2538,1975,2260,2062,1866,1845,1861,1788,1739,1801,2416,2943,3167,3380,2713,2881,2831
"G0600170","2014","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",65804,2563,2251,2991,3666,2774,3090,3161,1941,1827,4490,5629,9130,6430,3298,5663,6900,"El Dorado County, California",2074,686,720,897,1016,962,882,834,664,424,1119,1085,1437,1324,850,1040,1099
"G0600190","2014","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",297993,26038,22646,18202,18250,19866,18403,14488,14061,12714,21017,27389,30862,20054,12657,12292,9054,"Fresno County, California",2670,2357,2545,2099,2030,2294,2181,2126,1996,1756,2365,2772,2627,2143,1534,1572,1489
"G0600230","2014","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",53195,3619,6216,3482,3637,3734,2993,2553,3302,2899,4646,4269,5335,2397,1398,1738,977,"Humboldt County, California",1629,762,1328,729,873,819,785,711,826,853,1075,864,990,587,490,598,462
