GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AAS5E001,AAS5E002,AAS5E003,AAS5E004,AAS5E005,AAS5E006,AAS5E007,AAS5E008,AAS5E009,AAS5E010,AAS5E011,AAS5E012,AAS5E013,AAS5E014,AAS5E015,AAS5E016,AAS5E017,NAME_M,AAS5M001,AAS5M002,AAS5M003,AAS5M004,AAS5M005,AAS5M006,AAS5M007,AAS5M008,AAS5M009,AAS5M010,AAS5M011,AAS5M012,AAS5M013,AAS5M014,AAS5M015,AAS5M016,AAS5M017
"G1701130","2014","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",66361,5158,3433,2167,2604,3147,2865,3676,2844,2274,5623,8002,7166,5874,4465,4689,2374,"McLean County, Illinois",1198,1192,827,627,647,753,781,766,787,607,1110,1196,1036,1053,855,898,607
"G1701150","2014","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",44063,3510,2689,2630,2947,2409,2691,2042,1958,2058,2506,5672,5621,3292,1284,1825,929,"Macon County, Illinois",1494,769,671,648,755,691,649,552,588,587,645,1129,896,623,424,591,287
"G1701190","2014","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",106253,7524,5356,4899,5937,5807,5185,5085,4549,4733,8152,10448,16267,8486,5332,4902,3591,"Madison County, Illinois",2204,1340,1156,1077,1239,1159,842,1171,1120,1006,1347,1432,1531,1090,867,1068,1047
"G1701430","2014","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",74982,5143,3785,4328,4197,4519,3678,3937,2620,3275,7148,6895,10015,6111,2888,3473,2970,"Peoria County, Illinois",1830,1114,921,1126,924,1063,787,1001,749,783,1302,1145,1382,981,690,734,721
"G1701610","2014","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",59384,5019,3228,3313,3418,3984,3647,2685,2247,3386,4327,6863,6937,4586,2367,1927,1450,"Rock Island County, Illinois",1417,1070,688,796,699,763,845,738,817,695,798,1058,1064,831,616,508,584
"G1701630","2014","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",99917,9850,5682,5210,5386,5390,4963,5062,4059,4048,7119,8147,13101,9621,5511,4383,2385,"St. Clair County, Illinois",2388,1775,1173,1322,1032,1168,1193,1155,884,1062,1388,1478,1772,1504,984,1041,580
"G1701670","2014","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",83286,5723,4556,4265,5272,3663,3471,3489,3645,3655,6800,8820,10581,6990,4503,4380,3473,"Sangamon County, Illinois",1670,1057,1120,929,1067,882,822,914,1003,755,1321,1536,1291,1172,1033,749,794
"G1701790","2014","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",53763,2420,1356,2710,2383,3066,2557,2160,1784,3379,4541,7037,7479,5234,2849,2613,2195,"Tazewell County, Illinois",1362,675,505,649,898,1073,748,553,540,882,943,1179,1041,1004,625,759,644
"G1701830","2014","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",31338,3100,1724,2450,2629,1576,1385,2000,1533,1170,3282,2951,3671,1790,888,750,439,"Vermilion County, Illinois",1010,789,694,767,646,446,463,658,452,341,844,658,721,574,340,305,310
"G1701970","2014","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",224012,7496,5366,6417,7579,9311,8794,7556,8494,9984,16243,25002,31318,26207,19166,19081,15998,"Will County, Illinois",2237,969,1278,1361,1214,1496,1328,1088,1232,1402,2115,2169,2513,1969,2169,1826,1671
"G1701990","2014","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",27211,2391,1146,1862,1333,1336,1697,1536,1751,767,1753,3587,3710,1852,1079,1060,351,"Williamson County, Illinois",1151,789,473,571,439,433,645,606,575,329,470,774,780,630,524,457,248
"G1702010","2014","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",114034,10048,7612,5919,7208,5830,6841,6269,5199,5068,9379,11027,14133,7652,4535,4682,2632,"Winnebago County, Illinois",1820,1612,1093,1002,1097,971,1244,1036,826,865,1491,1310,1611,1257,949,927,592
"G1800030","2014","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",138980,9571,8025,7490,8193,8869,8944,6980,6563,6999,12190,15986,17699,8741,4803,3607,4320,"Allen County, Indiana",2149,1342,1376,1345,1261,1452,1410,1248,1008,1141,1639,2135,1853,1175,972,915,1092
"G1800050","2014","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",31827,1776,1961,1629,1586,1628,2355,886,1705,1349,3329,3571,3894,2651,1014,1517,976,"Bartholomew County, Indiana",819,717,720,584,574,694,577,447,667,542,890,867,906,777,396,607,412
"G1800190","2014","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",42686,2091,2112,3026,2446,2142,1802,2288,2155,1912,3914,5642,5981,3709,1536,959,971,"Clark County, Indiana",1428,688,776,709,659,659,531,727,775,564,929,1010,1194,862,562,417,520
"G1800350","2014","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",45207,4625,3493,2900,2067,3207,3471,3158,2160,2560,3011,3658,5094,2895,1116,838,954,"Delaware County, Indiana",1427,928,840,684,505,786,846,877,584,671,780,849,1037,948,551,412,651
"G1800390","2014","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",70636,4237,3850,3366,4069,3922,3990,4541,3601,3789,7203,9008,8552,4748,2642,1487,1631,"Elkhart County, Indiana",1667,1039,1080,802,997,1036,1016,1098,825,834,1299,1521,1145,907,844,625,598
"G1800430","2014","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",29679,2282,1326,1559,1509,1295,1124,1386,2179,1137,2661,3136,3272,2368,1883,1562,1000,"Floyd County, Indiana",779,651,508,403,538,468,488,454,593,405,605,775,631,564,514,511,491
"G1800530","2014","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",25600,2353,1419,2136,1753,1844,1922,1411,1524,1574,2175,2530,2902,1235,264,236,322,"Grant County, Indiana",1309,651,466,569,645,688,682,526,536,607,594,639,763,428,198,190,228
"G1800570","2014","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",110844,2415,2180,2691,2909,2975,3461,3268,1970,4460,8482,11240,17720,13475,10459,10343,12796,"Hamilton County, Indiana",1685,845,709,1007,889,793,1029,1030,758,1169,1571,1770,2094,1852,1662,1927,1337
"G1800590","2014","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",26700,738,1029,1313,587,1180,1893,944,864,792,2546,3217,4298,4073,1110,1061,1055,"Hancock County, Indiana",1089,445,521,623,299,557,738,433,477,452,1063,928,1026,1019,558,477,515
"G1800630","2014","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",56010,1883,1157,1317,1190,2129,3939,2281,2205,3448,5047,5930,8875,6155,3942,3561,2951,"Hendricks County, Indiana",1174,674,569,506,512,1014,1343,874,771,1050,1347,1272,1567,1292,896,1039,795
"G1800670","2014","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",34026,3147,1436,2414,1819,2016,2271,2039,1213,1284,2860,4151,4356,2014,1506,887,613,"Howard County, Indiana",1327,914,625,721,634,595,707,858,383,530,755,909,853,515,561,425,306
"G1800810","2014","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",53015,1757,1453,3041,2718,2734,2726,2066,2858,3983,5529,6185,6292,4843,2219,3262,1349,"Johnson County, Indiana",1563,590,585,941,1029,794,803,706,1019,1195,1258,1441,1349,1195,593,804,475
"G1800850","2014","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",29741,1778,1021,1546,1138,1208,1507,1112,2122,1637,3979,3578,4283,1955,905,969,1003,"Kosciusko County, Indiana",1117,611,408,621,469,448,496,464,653,495,974,732,947,516,417,394,434
"G1800890","2014","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",182108,13920,9950,10859,8154,10334,9661,8943,8571,8970,15748,20620,21589,16949,6792,6717,4331,"Lake County, Indiana",2627,1701,1626,1433,1504,1580,1525,1412,1551,1356,2076,2297,2228,1893,1139,1140,917
"G1800910","2014","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",42068,2015,3084,2158,1939,2498,3119,2794,3053,2123,3472,5065,4793,2402,1505,1008,1040,"LaPorte County, Indiana",1499,708,886,686,669,862,806,712,760,637,828,1088,841,587,511,363,368
"G1800950","2014","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",52650,4332,2901,3878,2682,2608,3291,3324,3240,2606,4567,6448,6055,3191,1971,663,893,"Madison County, Indiana",1418,863,603,796,660,687,837,930,706,694,844,874,976,793,681,267,262
"G1800970","2014","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",360783,34472,22905,26730,21843,22341,19856,18773,22969,16761,31365,33503,36099,20178,12880,10425,9683,"Marion County, Indiana",4564,2866,2424,2297,2394,2358,1961,2153,2712,1947,2401,2781,3188,2212,1484,1365,1147
"G1801050","2014","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",54003,7505,3195,2532,2221,3964,2956,2475,2718,2630,4432,4944,4779,3954,1581,1881,2236,"Monroe County, Indiana",1920,1163,968,853,602,937,883,833,831,780,977,1010,1049,874,617,630,713
"G1801090","2014","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",25255,1105,974,1256,1343,1154,1150,1579,1687,1616,2161,2600,4622,1960,955,936,157,"Morgan County, Indiana",954,502,394,505,494,419,476,591,663,569,700,700,1110,639,534,490,174
"G1801270","2014","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",61797,3643,2635,2590,2386,2429,2768,3446,2432,2750,5344,6924,8766,6961,3816,2947,1960,"Porter County, Indiana",1509,1066,928,746,661,737,923,943,692,994,1077,1370,1274,1304,914,757,532
"G1801410","2014","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",101296,7760,5955,6977,6708,5777,5898,5332,5100,4740,8526,10507,12242,6832,3218,2499,3225,"St. Joseph County, Indiana",2154,1226,889,1267,1248,1139,1008,997,1075,951,1243,1402,1290,1086,746,567,765
"G1801570","2014","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",65834,6579,3231,4987,4445,3584,3617,2257,3723,2798,6915,6365,7046,3734,3100,2024,1429,"Tippecanoe County, Indiana",1928,1438,1007,1279,1029,1121,852,794,865,776,1136,1277,1377,915,665,718,462
"G1801630","2014","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",73663,6922,4542,3844,4990,5196,4907,4203,4247,2607,6382,6969,7511,5484,1786,2137,1936,"Vanderburgh County, Indiana",1876,1376,1153,922,1125,1120,1056,982,1030,648,1116,1032,1195,1064,563,636,575
"G1801670","2014","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",41395,3943,2601,3057,3016,2846,2267,2079,2488,2345,2883,3630,4795,2245,1542,731,927,"Vigo County, Indiana",1295,999,730,941,799,788,687,609,683,699,730,862,970,657,721,373,517
"G1801770","2014","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",26937,2333,2279,2119,1997,1445,1618,1026,1874,863,2203,3041,2826,1459,717,380,757,"Wayne County, Indiana",1074,674,759,560,640,464,497,361,664,409,627,707,643,388,316,195,396
"G1900130","2014","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",53204,3620,2920,2342,2852,3188,3586,2800,2251,1832,5354,6280,6639,4076,2526,1832,1106,"Black Hawk County, Iowa",1203,841,706,630,796,839,815,885,703,564,1099,1083,987,682,772,440,552
"G1900490","2014","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",27718,990,716,1249,920,755,1164,626,1029,701,1774,3633,3208,2677,2748,2395,3133,"Dallas County, Iowa",781,463,301,488,366,321,435,287,363,429,573,906,856,723,704,671,649
"G1900610","2014","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",38824,2415,1193,2019,2252,1231,2379,1717,2516,1964,2980,5140,6292,3215,1307,1487,717,"Dubuque County, Iowa",699,783,453,575,654,334,699,412,567,552,719,808,968,721,420,450,268
"G1901030","2014","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",55574,6114,2740,1814,2649,2292,2170,2049,2738,2278,2798,4470,8241,5419,2677,3004,4121,"Johnson County, Iowa",1409,1137,777,683,821,866,812,859,947,756,777,979,1211,1232,741,774,903
"G1901130","2014","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",88216,2922,4310,5225,5034,2681,3921,3648,3529,3173,6980,9762,14160,9338,4549,4912,4072,"Linn County, Iowa",1783,907,1146,1424,1202,803,983,913,849,836,1162,1354,1778,1470,1059,1290,766
"G1901530","2014","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",179188,10111,6856,6618,8186,8327,6555,8951,8139,6473,17683,18892,23745,17340,11339,11008,8965,"Polk County, Iowa",2407,1576,1271,1180,1250,1456,1132,1633,1385,1139,1828,1995,2709,1859,1951,1698,1353
"G1901550","2014","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",37321,1894,1558,2480,2396,1305,2170,1652,2799,1656,2232,5083,5347,2600,1781,1064,1304,"Pottawattamie County, Iowa",971,522,482,689,590,486,501,594,602,515,511,858,846,626,525,376,461
"G1901630","2014","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",67822,3252,2723,3232,3349,3605,4283,3498,3449,2731,7954,6809,8486,5363,3359,3912,1817,"Scott County, Iowa",978,750,772,751,881,776,853,1021,905,714,1230,1095,1506,881,878,746,495
"G1901690","2014","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",35880,3814,1956,2647,2062,1335,2510,1766,1661,774,1674,4174,4267,2656,1983,1013,1588,"Story County, Iowa",1312,1137,693,932,700,443,687,563,608,372,562,1000,879,518,652,395,591
"G1901930","2014","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",38898,3022,2400,2942,2051,3051,2609,1444,2047,1498,3247,4206,5691,1843,670,1421,756,"Woodbury County, Iowa",903,846,718,998,625,712,858,438,684,658,826,1091,1114,540,364,554,332
"G2000150","2014","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",23088,806,923,853,1409,1295,1063,1336,960,667,2336,2309,3580,2214,1136,1400,801,"Butler County, Kansas",1057,311,414,381,555,585,386,469,444,343,755,595,832,619,493,569,373
"G2000450","2014","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",45224,3312,2032,3928,3327,2189,2913,2183,1367,1963,5523,3414,4927,2570,2326,1868,1382,"Douglas County, Kansas",1267,956,1042,972,1102,663,892,797,575,671,1224,796,1035,757,665,645,515
"G2000910","2014","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",220587,6371,5421,6548,8570,8408,9302,7578,8917,8293,16266,23558,32275,21272,16765,19357,21686,"Johnson County, Kansas",2124,1072,975,1338,1368,1647,1407,1310,1480,1296,1815,1646,2380,2101,1655,1911,1771
"G2001030","2014","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",26305,1547,1046,833,884,1078,1358,882,1133,1119,1783,3083,3918,3763,1816,1271,791,"Leavenworth County, Kansas",996,705,405,407,324,505,467,401,424,580,535,732,863,723,597,429,364
"G2001610","2014","KS",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,"05000US20161","Riley County, Kansas",26265,2525,1534,1770,2006,1301,1564,1302,1190,1106,2499,2801,2050,1302,1029,1067,1219,"Riley County, Kansas",1296,612,602,706,759,552,780,641,706,572,842,801,619,592,491,459,535
"G2001730","2014","KS",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,"05000US20173","Sedgwick County, Kansas",191636,14738,10192,10160,8137,12032,11288,10511,9557,7362,16438,20988,22609,15503,7920,7045,7156,"Sedgwick County, Kansas",2751,1384,1594,1458,1140,1682,1350,1752,1386,1300,2150,1934,1716,1842,1092,1074,1086
"G2001770","2014","KS",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,"05000US20177","Shawnee County, Kansas",70857,4386,3538,3801,3808,4085,4237,3378,2489,3050,6327,7651,10332,6828,3409,1666,1872,"Shawnee County, Kansas",1573,935,760,924,942,923,1022,725,577,745,1184,1182,1409,1171,791,557,510
"G2002090","2014","KS",,,"Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,,,,,"05000US20209","Wyandotte County, Kansas",60106,7037,4820,4383,4410,3548,4116,3928,2768,2287,5241,5817,5124,3812,1412,1055,348,"Wyandotte County, Kansas",1169,1060,892,985,924,874,941,918,567,647,984,1123,953,729,460,304,177
"G2100150","2014","KY",,,"Kentucky","21","Boone County","015",,,,,,,,,,,,,,,,,,"05000US21015","Boone County, Kentucky",44988,1602,1661,1894,2103,1423,1306,1878,2835,1627,4446,5125,6063,5706,2702,2458,2159,"Boone County, Kentucky",1125,619,613,698,893,565,578,756,1025,605,1081,1223,1033,1032,830,674,885
"G2100290","2014","KY",,,"Kentucky","21","Bullitt County","029",,,,,,,,,,,,,,,,,,"05000US21029","Bullitt County, Kentucky",28682,1435,1496,1470,1756,1579,1023,1492,1625,1073,3001,3223,4793,2477,1308,738,193,"Bullitt County, Kentucky",764,543,494,505,489,638,472,522,482,379,732,857,853,641,533,308,167
"G2100370","2014","KY",,,"Kentucky","21","Campbell County","037",,,,,,,,,,,,,,,,,,"05000US21037","Campbell County, Kentucky",35602,2494,1742,1362,2352,2099,2005,1775,1856,1862,2495,2829,4281,3266,1975,2147,1062,"Campbell County, Kentucky",1151,728,478,466,645,625,640,647,693,615,616,605,838,774,581,611,381
"G2100470","2014","KY",,,"Kentucky","21","Christian County","047",,,,,,,,,,,,,,,,,,"05000US21047","Christian County, Kentucky",25855,2531,1737,1900,2243,1746,2433,1753,2216,899,1600,2123,1965,1278,517,625,289,"Christian County, Kentucky",1106,676,571,710,621,572,740,549,689,440,543,662,725,422,266,313,221
"G2100590","2014","KY",,,"Kentucky","21","Daviess County","059",,,,,,,,,,,,,,,,,,"05000US21059","Daviess County, Kentucky",39638,3468,1919,2689,2544,2770,2714,2718,2052,1927,3072,3580,4383,2902,876,890,1134,"Daviess County, Kentucky",1074,935,584,726,792,836,925,905,784,735,764,847,1014,719,483,410,472
"G2100670","2014","KY",,,"Kentucky","21","Fayette County","067",,,,,,,,,,,,,,,,,,"05000US21067","Fayette County, Kentucky",127412,11575,8259,8376,7607,6098,8206,5247,5806,4555,8740,13673,15031,7627,5772,5133,5707,"Fayette County, Kentucky",1883,1764,1417,1253,1348,1262,1485,1010,1071,943,1479,1703,1610,1258,917,1173,915
"G2100930","2014","KY",,,"Kentucky","21","Hardin County","093",,,,,,,,,,,,,,,,,,"05000US21093","Hardin County, Kentucky",39314,2635,1965,1812,1890,2579,2624,2111,2268,1411,3280,4303,5764,3278,1652,977,765,"Hardin County, Kentucky",1216,930,684,610,644,780,845,677,861,584,913,1161,1288,886,614,432,406
"G2101110","2014","KY",,,"Kentucky","21","Jefferson County","111",,,,,,,,,,,,,,,,,,"05000US21111","Jefferson County, Kentucky",307676,26869,17068,19613,17084,15972,15388,15770,16343,14047,26329,30538,32189,20596,12910,13488,13472,"Jefferson County, Kentucky",3824,2381,1889,2667,1930,1951,1785,1849,1846,1781,2217,2677,2680,1819,1496,1487,1350
"G2101170","2014","KY",,,"Kentucky","21","Kenton County","117",,,,,,,,,,,,,,,,,,"05000US21117","Kenton County, Kentucky",62900,4728,3107,3261,3206,4042,2609,3174,2672,2375,5149,7244,8237,4915,3034,2708,2439,"Kenton County, Kentucky",1235,1205,860,911,812,1045,697,840,917,551,1083,1062,1297,888,875,617,692
"G2101450","2014","KY",,,"Kentucky","21","McCracken County","145",,,,,,,,,,,,,,,,,,"05000US21145","McCracken County, Kentucky",28659,3763,1641,2889,2593,1669,1274,1299,1217,1057,1744,2176,2745,2332,826,845,589,"McCracken County, Kentucky",886,848,738,818,688,583,505,575,586,415,619,678,772,685,429,440,335
"G2101510","2014","KY",,,"Kentucky","21","Madison County","151",,,,,,,,,,,,,,,,,,"05000US21151","Madison County, Kentucky",33257,3236,2881,2501,2367,1784,1307,1377,1233,1083,2673,3602,3324,3106,916,1247,620,"Madison County, Kentucky",1015,893,757,732,704,720,602,615,553,528,851,836,832,896,375,497,332
"G2101950","2014","KY",,,"Kentucky","21","Pike County","195",,,,,,,,,,,,,,,,,,"05000US21195","Pike County, Kentucky",26477,4792,2014,1878,1958,1884,1949,1111,1325,1241,2262,1502,2075,1008,308,708,462,"Pike County, Kentucky",977,951,652,779,628,606,768,370,577,508,621,525,650,377,276,367,318
"G2102270","2014","KY",,,"Kentucky","21","Warren County","227",,,,,,,,,,,,,,,,,,"05000US21227","Warren County, Kentucky",44846,4513,2280,2092,2460,2587,1904,2095,1902,2299,4367,5320,5894,3898,1350,1357,528,"Warren County, Kentucky",1438,1067,636,916,715,774,722,803,690,729,1025,1102,1122,939,609,530,275
"G2200050","2014","LA",,,"Louisiana","22","Ascension Parish","005",,,,,,,,,,,,,,,,,,"05000US22005","Ascension Parish, Louisiana",41433,3098,2496,1478,1895,1711,761,1412,702,1827,2611,4829,6385,4060,3309,3307,1552,"Ascension Parish, Louisiana",1210,1133,1231,662,660,835,401,722,402,827,1005,1352,1487,1074,993,899,696
"G2200150","2014","LA",,,"Louisiana","22","Bossier Parish","015",,,,,,,,,,,,,,,,,,"05000US22015","Bossier Parish, Louisiana",47072,2833,2419,1647,3086,2885,2217,2233,3187,2577,3715,5250,6063,3970,1938,1989,1063,"Bossier Parish, Louisiana",1637,856,779,619,844,967,811,692,953,1096,1084,1146,1313,1060,848,756,430
"G2200170","2014","LA",,,"Louisiana","22","Caddo Parish","017",,,,,,,,,,,,,,,,,,"05000US22017","Caddo Parish, Louisiana",94854,13612,6879,6387,6937,5401,4477,4110,4738,4191,7540,7125,8198,5798,3384,2514,3563,"Caddo Parish, Louisiana",2193,1974,1361,1277,1190,1148,1085,982,1181,1109,1262,1444,1584,1079,927,696,968
"G2200190","2014","LA",,,"Louisiana","22","Calcasieu Parish","019",,,,,,,,,,,,,,,,,,"05000US22019","Calcasieu Parish, Louisiana",73873,7119,5100,3566,6267,4727,2724,3497,3231,3454,5970,7288,7804,5016,2732,3775,1603,"Calcasieu Parish, Louisiana",2029,1418,1086,969,1355,1167,803,1103,923,955,1173,1372,1406,1066,794,1004,556
"G2200330","2014","LA",,,"Louisiana","22","East Baton Rouge Parish","033",,,,,,,,,,,,,,,,,,"05000US22033","East Baton Rouge Parish, Louisiana",170572,15953,9867,9840,10975,9920,10083,7762,8259,6440,11250,15621,17430,14023,6919,7496,8734,"East Baton Rouge Parish, Louisiana",2834,2296,1647,1718,1985,2058,1684,1402,1551,1331,1744,1892,2246,1939,1272,1229,1376
"G2200450","2014","LA",,,"Louisiana","22","Iberia Parish","045",,,,,,,,,,,,,,,,,,"05000US22045","Iberia Parish, Louisiana",25855,1994,1370,2052,1638,1013,1810,926,1708,1935,1799,2061,2249,2646,792,1008,854,"Iberia Parish, Louisiana",1289,724,656,852,587,513,620,501,744,685,618,641,657,963,479,565,491
"G2200510","2014","LA",,,"Louisiana","22","Jefferson Parish","051",,,,,,,,,,,,,,,,,,"05000US22051","Jefferson Parish, Louisiana",169033,13717,9659,10150,9572,10523,10528,8195,8689,8078,12182,15350,19398,13371,6093,6043,7485,"Jefferson Parish, Louisiana",2463,1524,1837,1679,1481,1621,1761,1371,1355,1508,1626,1932,2515,1814,1082,1131,1013
"G2200550","2014","LA",,,"Louisiana","22","Lafayette Parish","055",,,,,,,,,,,,,,,,,,"05000US22055","Lafayette Parish, Louisiana",88611,5861,5323,5033,5493,4855,3822,3411,5385,3504,8010,8237,7823,6887,4187,5531,5249,"Lafayette Parish, Louisiana",1965,1247,1355,1505,1303,1425,1190,836,1518,1003,1267,1436,1498,1280,1065,1168,1156
"G2200570","2014","LA",,,"Louisiana","22","Lafourche Parish","057",,,,,,,,,,,,,,,,,,"05000US22057","Lafourche Parish, Louisiana",34564,2670,3218,1568,2564,2084,2819,1679,1396,1122,2202,3081,4206,2279,1373,1096,1207,"Lafourche Parish, Louisiana",1161,772,837,668,838,709,875,574,594,421,588,759,960,493,518,363,510
"G2200630","2014","LA",,,"Louisiana","22","Livingston Parish","063",,,,,,,,,,,,,,,,,,"05000US22063","Livingston Parish, Louisiana",48943,3369,1677,1946,2395,2133,2022,1800,2250,2358,4227,6392,6036,5216,3362,2397,1363,"Livingston Parish, Louisiana",1164,1112,737,958,885,951,917,533,905,1015,1246,1657,1254,1431,1282,811,727
"G2200710","2014","LA",,,"Louisiana","22","Orleans Parish","071",,,,,,,,,,,,,,,,,,"05000US22071","Orleans Parish, Louisiana",152788,25561,12514,9773,10441,8684,8692,6029,7081,5344,8414,10917,12750,8019,4805,5621,8143,"Orleans Parish, Louisiana",2802,2095,1204,1303,1265,1316,1410,998,1206,1030,1261,1124,1285,1186,838,876,959
