GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJCTE001,AJCTE002,AJCTE003,AJCTE004,AJCTE005,AJCTE006,AJCTE007,AJCTE008,AJCTE009,AJCTE010,AJCTE011,AJCTE012,AJCTE013,AJCTE014,AJCTE015,AJCTE016,AJCTE017,NAME_M,AJCTM001,AJCTM002,AJCTM003,AJCTM004,AJCTM005,AJCTM006,AJCTM007,AJCTM008,AJCTM009,AJCTM010,AJCTM011,AJCTM012,AJCTM013,AJCTM014,AJCTM015,AJCTM016,AJCTM017
"G0101010","2018","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",87553,8962,4601,6368,4383,3363,4008,4595,3356,4151,6363,8280,10714,6356,3318,4626,4109,"Montgomery County, Alabama",2304,1346,1032,1406,1192,932,1025,1125,885,1236,1402,1382,1702,1028,726,1106,837
"G0101030","2018","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",45851,2613,2062,2908,2105,2520,3053,2613,2548,1182,4746,3370,5914,3731,2900,2538,1048,"Morgan County, Alabama",1482,874,773,1047,684,1013,870,1001,862,366,1132,883,1298,832,928,766,448
"G0101150","2018","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",30765,1522,1507,1437,1085,1612,2463,1433,1414,966,2566,4113,3806,3227,363,2152,1099,"St. Clair County, Alabama",1596,777,737,696,522,750,856,672,666,461,876,1132,1284,967,405,859,719
"G0101170","2018","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",80944,4084,3082,2735,2615,2630,2471,3629,3567,3379,6590,6843,9613,9464,7683,5776,6783,"Shelby County, Alabama",1588,1135,1081,886,635,914,798,939,1085,937,1114,1211,1566,1667,1405,893,1273
"G0101210","2018","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",31219,3915,2334,2621,1731,1108,1954,1825,1608,744,2171,3363,3282,1768,1194,938,663,"Talladega County, Alabama",1460,1023,840,898,757,463,669,866,871,383,691,1044,892,627,524,468,457
"G0101250","2018","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",74053,7715,3807,2609,4188,3318,3695,2367,3085,3434,5847,7189,9728,7028,4145,2849,3049,"Tuscaloosa County, Alabama",2334,1531,1121,886,1164,1164,1013,918,922,1208,1059,1367,1691,1503,1159,769,852
"G0101270","2018","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",24870,2261,1416,2120,1593,1160,1183,1185,845,1188,1663,2222,3481,2392,838,855,468,"Walker County, Alabama",1142,739,622,790,526,506,427,568,442,546,616,704,971,920,418,528,281
"G0200200","2018","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",105285,3318,2578,2984,2446,3491,1916,4142,2958,3370,8233,12453,14662,12623,7913,10317,11881,"Anchorage Municipality, Alaska",2132,824,854,928,808,1033,629,1151,839,910,1855,1884,1824,1781,1611,1557,1657
"G0200900","2018","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",36378,1281,1002,810,1164,846,1598,1898,1201,1005,2522,4713,5273,4442,2863,2611,3149,"Fairbanks North Star Borough, Alaska",1770,704,735,518,618,570,716,746,545,497,864,1293,1533,1268,936,841,1096
"G0201700","2018","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",32198,2320,1303,1226,1186,1133,1098,1061,1065,954,1635,3468,4158,3609,2852,2884,2246,"Matanuska-Susitna Borough, Alaska",833,465,377,373,279,314,368,298,396,319,442,528,692,587,586,548,380
"G0400010","2018","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",21936,5526,1258,1590,1312,1243,943,1065,1011,1257,1186,2091,1496,692,504,628,134,"Apache County, Arizona",1023,744,431,431,461,409,332,490,320,573,434,574,484,338,316,325,102
"G0400030","2018","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",49751,3826,2450,3722,3396,1885,2294,3058,2486,1362,4874,4913,6035,4528,1960,1774,1188,"Cochise County, Arizona",1727,1001,822,1160,724,525,733,1169,1014,589,1158,995,1160,980,699,614,547
"G0400050","2018","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",47275,3207,1819,2082,2656,1528,1446,2710,1840,1165,4417,6229,5663,3800,2834,3280,2599,"Coconino County, Arizona",2211,751,629,842,825,591,489,906,867,457,1046,1273,1422,846,830,832,745
"G0400130","2018","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",1582464,77401,48835,57823,72181,61739,75271,71961,66691,62917,132256,161769,216686,154721,97646,106099,118468,"Maricopa County, Arizona",7714,4674,3358,4577,4541,4393,4337,4270,3566,4143,5491,5877,7213,4755,4598,5250,5391
