GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJCTE001,AJCTE002,AJCTE003,AJCTE004,AJCTE005,AJCTE006,AJCTE007,AJCTE008,AJCTE009,AJCTE010,AJCTE011,AJCTE012,AJCTE013,AJCTE014,AJCTE015,AJCTE016,AJCTE017,NAME_M,AJCTM001,AJCTM002,AJCTM003,AJCTM004,AJCTM005,AJCTM006,AJCTM007,AJCTM008,AJCTM009,AJCTM010,AJCTM011,AJCTM012,AJCTM013,AJCTM014,AJCTM015,AJCTM016,AJCTM017
"G1201090","2018","FL",,,"Florida","12","St. Johns County","109",,,,,,,,,,,,,,,,,,"05000US12109","St. Johns County, Florida",90109,3609,2272,2322,3335,3856,3960,2923,2911,2644,6888,7635,10958,9660,7156,9166,10814,"St. Johns County, Florida",3058,1034,803,897,1096,973,1210,1126,1020,863,1730,1433,2027,1775,1609,1849,1596
"G1201110","2018","FL",,,"Florida","12","St. Lucie County","111",,,,,,,,,,,,,,,,,,"05000US12111","St. Lucie County, Florida",118768,6688,5991,6028,5649,5035,7068,5510,7708,5847,10774,12388,14890,10637,4977,5080,4498,"St. Lucie County, Florida",3239,1521,1480,1735,1465,1296,2121,1429,2130,1625,2573,2633,2021,2171,1339,1254,1520
"G1201130","2018","FL",,,"Florida","12","Santa Rosa County","113",,,,,,,,,,,,,,,,,,"05000US12113","Santa Rosa County, Florida",63891,2541,1889,1052,3110,1241,2579,3485,2399,3302,5136,7817,9343,7012,4741,3650,4594,"Santa Rosa County, Florida",2129,919,1029,546,1023,674,918,1123,673,1628,1177,1564,1842,1350,1192,889,1136
"G1201150","2018","FL",,,"Florida","12","Sarasota County","115",,,,,,,,,,,,,,,,,,"05000US12115","Sarasota County, Florida",183721,9292,7706,6239,9004,9514,8343,6997,8248,6964,16175,21345,23178,17109,9893,9237,14477,"Sarasota County, Florida",3804,1888,1595,1294,1467,1656,1334,1322,1464,1419,2406,2538,2749,2400,1657,1582,1878
"G1201170","2018","FL",,,"Florida","12","Seminole County","117",,,,,,,,,,,,,,,,,,"05000US12117","Seminole County, Florida",179274,8607,4931,6335,6136,9067,6204,7929,6026,6379,15850,19895,25235,19286,11191,11426,14777,"Seminole County, Florida",2475,1624,1207,1588,1387,1666,1163,1446,1227,1483,2226,2593,2539,2642,1732,1725,2139
"G1201190","2018","FL",,,"Florida","12","Sumter County","119",,,,,,,,,,,,,,,,,,"05000US12119","Sumter County, Florida",62854,2374,3313,2634,3473,3701,2861,4581,1980,2578,7437,6478,10094,5753,1662,3133,802,"Sumter County, Florida",2590,740,1356,931,1513,1586,1053,1473,865,1177,1844,1800,1660,1670,887,1327,510
"G1201270","2018","FL",,,"Florida","12","Volusia County","127",,,,,,,,,,,,,,,,,,"05000US12127","Volusia County, Florida",218423,14945,9770,9912,11930,12747,13042,12202,12588,10771,19563,23009,26476,17769,7527,7377,8795,"Volusia County, Florida",4087,2180,1650,1840,1565,1807,2125,1603,1765,1976,2525,2375,2955,1881,1431,1431,1356
"G1201310","2018","FL",,,"Florida","12","Walton County","131",,,,,,,,,,,,,,,,,,"05000US12131","Walton County, Florida",28770,1673,332,1268,2142,1002,1294,1174,1707,1443,1884,2717,3837,2969,1849,1763,1716,"Walton County, Florida",2180,800,264,665,934,554,585,629,805,660,833,1061,924,1032,809,766,670
"G1300130","2018","GA",,,"Georgia","13","Barrow County","013",,,,,,,,,,,,,,,,,,"05000US13013","Barrow County, Georgia",27525,1266,365,1149,1740,1536,900,1600,1709,781,2469,2372,5135,2977,1831,923,772,"Barrow County, Georgia",714,438,366,497,552,610,418,586,694,327,586,683,1050,769,589,344,423
"G1300150","2018","GA",,,"Georgia","13","Bartow County","015",,,,,,,,,,,,,,,,,,"05000US13015","Bartow County, Georgia",35506,2687,1448,682,2058,2336,1659,2239,1657,1015,2137,3994,5526,3896,1272,2193,707,"Bartow County, Georgia",1553,1197,767,367,795,975,854,868,739,607,822,1231,1333,1062,688,852,456
"G1300210","2018","GA",,,"Georgia","13","Bibb County","021",,,,,,,,,,,,,,,,,,"05000US13021","Bibb County, Georgia",57905,7917,3736,3676,3987,4173,2792,2284,3486,1756,3827,4627,6902,3044,1908,1784,2006,"Bibb County, Georgia",1802,1547,947,1100,1007,1089,811,807,1084,686,1021,988,1364,766,605,631,701
"G1300310","2018","GA",,,"Georgia","13","Bulloch County","031",,,,,,,,,,,,,,,,,,"05000US13031","Bulloch County, Georgia",27097,2023,2109,1733,2239,954,1671,904,2041,1640,2035,2488,3234,2024,668,469,865,"Bulloch County, Georgia",1613,762,994,761,957,473,783,468,903,611,911,689,973,731,450,408,535
"G1300450","2018","GA",,,"Georgia","13","Carroll County","045",,,,,,,,,,,,,,,,,,"05000US13045","Carroll County, Georgia",41197,3315,1998,1676,2789,1700,2484,1061,2272,2715,3267,3402,5131,3558,2177,1969,1683,"Carroll County, Georgia",1480,1058,781,680,1002,771,1024,552,1118,1046,818,975,1195,947,1030,785,672
"G1300470","2018","GA",,,"Georgia","13","Catoosa County","047",,,,,,,,,,,,,,,,,,"05000US13047","Catoosa County, Georgia",24722,810,774,747,1145,1495,1917,1162,1065,1474,2013,3199,2680,2443,1654,1673,471,"Catoosa County, Georgia",1260,492,502,481,524,799,948,563,560,736,805,1104,963,728,702,757,335
"G1300510","2018","GA",,,"Georgia","13","Chatham County","051",,,,,,,,,,,,,,,,,,"05000US13051","Chatham County, Georgia",107921,8374,3530,4687,6129,5705,6262,5013,4646,4560,8197,10328,15289,8308,5136,4928,6829,"Chatham County, Georgia",2645,1421,854,1254,1426,1310,1710,1203,1278,1412,1798,1356,1765,1745,1446,1038,1284
"G1300570","2018","GA",,,"Georgia","13","Cherokee County","057",,,,,,,,,,,,,,,,,,"05000US13057","Cherokee County, Georgia",89974,4196,2300,2915,2584,2966,2889,2955,4092,2799,6529,6944,12669,11867,7112,7998,9159,"Cherokee County, Georgia",1560,1405,935,1282,884,1011,1026,911,1172,1006,1395,1414,2021,1855,1442,1428,1956
"G1300590","2018","GA",,,"Georgia","13","Clarke County","059",,,,,,,,,,,,,,,,,,"05000US13059","Clarke County, Georgia",49698,6080,1993,4158,2624,2812,3324,2223,3788,1566,3610,3813,5466,2676,1887,1831,1847,"Clarke County, Georgia",1441,1175,730,1077,957,980,1136,745,1104,687,1098,895,1297,775,621,637,675
"G1300630","2018","GA",,,"Georgia","13","Clayton County","063",,,,,,,,,,,,,,,,,,"05000US13063","Clayton County, Georgia",96286,7391,3802,4455,7057,5736,5802,4775,7374,4068,8869,11223,11710,7439,4082,1635,868,"Clayton County, Georgia",2093,1698,1202,1414,1719,1532,1536,1322,1825,1014,1576,2193,2513,1472,1611,747,372
"G1300670","2018","GA",,,"Georgia","13","Cobb County","067",,,,,,,,,,,,,,,,,,"05000US13067","Cobb County, Georgia",283094,11354,4988,7127,9859,7717,9889,9587,11904,10468,21125,30424,38465,30286,20118,27108,32675,"Cobb County, Georgia",3547,2172,1301,1702,2480,1529,1995,1393,2090,1676,2550,3100,3240,2642,2219,2540,2761
"G1300730","2018","GA",,,"Georgia","13","Columbia County","073",,,,,,,,,,,,,,,,,,"05000US13073","Columbia County, Georgia",47167,1423,1063,1682,1930,1227,1176,746,1075,2346,4212,4363,7433,6232,1812,5725,4722,"Columbia County, Georgia",2238,665,557,758,931,843,565,445,551,981,1075,1256,1476,1699,710,1222,1118
"G1300770","2018","GA",,,"Georgia","13","Coweta County","077",,,,,,,,,,,,,,,,,,"05000US13077","Coweta County, Georgia",52114,1863,1737,2125,2118,1909,2333,1572,3037,1607,3699,6674,7262,5673,3229,3804,3472,"Coweta County, Georgia",1333,864,810,1108,773,1026,947,881,902,680,1231,1512,1224,1268,1059,939,814
"G1300890","2018","GA",,,"Georgia","13","DeKalb County","089",,,,,,,,,,,,,,,,,,"05000US13089","DeKalb County, Georgia",287001,15521,10154,11161,12726,11574,14574,12390,13287,11204,22375,27092,35599,25889,17793,19333,26329,"DeKalb County, Georgia",3281,2378,2018,2130,1865,1711,2450,2301,2131,1707,2429,2921,3860,2906,2210,1768,2174
"G1300950","2018","GA",,,"Georgia","13","Dougherty County","095",,,,,,,,,,,,,,,,,,"05000US13095","Dougherty County, Georgia",33717,5139,2074,2073,1962,1928,1424,2411,2102,2236,2464,3530,2458,1421,905,972,618,"Dougherty County, Georgia",1752,1199,788,680,719,708,637,967,675,869,766,945,749,464,459,442,308
"G1300970","2018","GA",,,"Georgia","13","Douglas County","097",,,,,,,,,,,,,,,,,,"05000US13097","Douglas County, Georgia",49534,2389,1851,2439,3155,3000,2189,2047,2055,1523,3703,5438,4624,6603,3595,3079,1844,"Douglas County, Georgia",1582,1135,892,942,1426,1418,1000,892,929,790,1203,1331,1229,1696,1005,1111,664
"G1301130","2018","GA",,,"Georgia","13","Fayette County","113",,,,,,,,,,,,,,,,,,"05000US13113","Fayette County, Georgia",39366,703,940,975,454,1285,1303,1313,1873,949,2351,3431,5024,4215,3786,3971,6793,"Fayette County, Georgia",1116,424,486,670,361,592,496,596,847,462,655,900,1238,1071,930,1138,998
"G1301150","2018","GA",,,"Georgia","13","Floyd County","115",,,,,,,,,,,,,,,,,,"05000US13115","Floyd County, Georgia",34672,3226,2345,2050,1386,3162,4455,1014,840,1566,2712,3278,2708,2347,1018,1426,1139,"Floyd County, Georgia",1416,1047,818,761,586,1143,1193,451,396,544,775,856,581,739,443,534,441
"G1301170","2018","GA",,,"Georgia","13","Forsyth County","117",,,,,,,,,,,,,,,,,,"05000US13117","Forsyth County, Georgia",81353,2018,744,1700,1755,1447,2256,2246,2612,1897,3659,6855,10953,10562,8126,9145,15378,"Forsyth County, Georgia",873,676,397,659,610,410,600,711,758,627,964,1475,1475,1482,1065,1290,1501
"G1301210","2018","GA",,,"Georgia","13","Fulton County","121",,,,,,,,,,,,,,,,,,"05000US13121","Fulton County, Georgia",417157,28264,14255,14208,16872,13379,15382,11602,16172,16425,29035,44739,46422,35202,22092,32822,60286,"Fulton County, Georgia",5974,3121,2164,2366,2550,2177,2431,1963,2847,2509,3375,3710,4071,3713,2391,3584,3469
"G1301270","2018","GA",,,"Georgia","13","Glynn County","127",,,,,,,,,,,,,,,,,,"05000US13127","Glynn County, Georgia",34634,2207,1075,1529,2368,3323,1081,967,1301,2021,2766,3029,4183,3560,1550,614,3060,"Glynn County, Georgia",1563,910,514,672,1193,1340,504,513,616,734,775,1051,1173,1011,536,399,1013
"G1301350","2018","GA",,,"Georgia","13","Gwinnett County","135",,,,,,,,,,,,,,,,,,"05000US13135","Gwinnett County, Georgia",297658,13208,8121,6984,12312,10216,11608,13146,12687,12058,23245,30300,46852,34397,18781,23850,19893,"Gwinnett County, Georgia",2747,2196,1966,1603,2136,2100,2140,2077,2198,2296,2962,3050,4149,3385,2416,2810,2319
"G1301390","2018","GA",,,"Georgia","13","Hall County","139",,,,,,,,,,,,,,,,,,"05000US13139","Hall County, Georgia",64990,2884,1778,3084,3833,1802,3579,3808,2996,2658,4725,7042,9560,4994,3602,3977,4668,"Hall County, Georgia",1594,640,686,888,1481,668,970,1243,769,797,1074,1386,1480,912,778,906,903
"G1301510","2018","GA",,,"Georgia","13","Henry County","151",,,,,,,,,,,,,,,,,,"05000US13151","Henry County, Georgia",75926,1284,1926,2520,2760,2245,3738,3019,3499,2601,6400,8498,11274,9091,5239,6911,4921,"Henry County, Georgia",1908,639,830,936,1253,822,1104,1121,1018,905,1795,1656,1953,1786,1568,1749,1535
"G1301530","2018","GA",,,"Georgia","13","Houston County","153",,,,,,,,,,,,,,,,,,"05000US13153","Houston County, Georgia",58155,2747,2340,1732,2720,3072,3635,2842,1606,5118,3580,5619,6388,6083,2685,3767,4221,"Houston County, Georgia",1653,1243,896,720,837,1184,1032,1414,667,1820,1175,1174,1582,1915,1176,1160,2142
"G1301570","2018","GA",,,"Georgia","13","Jackson County","157",,,,,,,,,,,,,,,,,,"05000US13157","Jackson County, Georgia",23640,308,417,712,1334,1197,817,566,640,877,1687,3797,2713,3339,2242,2050,944,"Jackson County, Georgia",877,200,317,442,612,487,386,266,360,453,533,965,744,968,668,767,481
"G1301850","2018","GA",,,"Georgia","13","Lowndes County","185",,,,,,,,,,,,,,,,,,"05000US13185","Lowndes County, Georgia",41734,8672,2916,2056,2912,2332,2003,1190,1461,1032,2354,4624,4228,2772,1118,945,1119,"Lowndes County, Georgia",1535,1793,842,786,1206,952,666,568,660,459,914,1180,918,822,525,388,536
"G1302150","2018","GA",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,,"05000US13215","Muscogee County, Georgia",72862,8581,3623,4111,4107,4805,3261,2995,3025,3149,7020,7579,8129,5197,2919,2426,1935,"Muscogee County, Georgia",2063,1529,1038,1213,1090,1269,891,908,943,965,1495,1538,1466,1304,813,831,542
"G1302170","2018","GA",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,,"05000US13217","Newton County, Georgia",38436,3652,919,952,1811,1022,2694,2557,886,1763,3511,4683,5730,3562,1260,2329,1105,"Newton County, Georgia",794,1389,576,590,721,511,1184,1120,437,705,1116,1279,1701,1086,667,793,573
"G1302230","2018","GA",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,,"05000US13223","Paulding County, Georgia",53630,1651,1109,1755,1778,1802,2149,2366,2340,2054,4845,6332,7007,7883,3707,4132,2720,"Paulding County, Georgia",1664,999,740,985,864,778,904,1054,1070,971,1534,1986,1536,1717,1201,1436,1078
"G1302450","2018","GA",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,,"05000US13245","Richmond County, Georgia",70534,8290,4895,4832,3838,4805,5224,3887,3516,2114,5041,7726,7796,3629,2107,1350,1484,"Richmond County, Georgia",2579,1533,1111,1223,959,1366,1459,1058,1183,703,1212,1620,1614,1052,767,605,462
"G1302470","2018","GA",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,,"05000US13247","Rockdale County, Georgia",31460,1276,873,1121,1613,2092,1577,1298,1054,1337,3160,3088,3840,3092,2677,1689,1673,"Rockdale County, Georgia",985,692,474,555,624,953,748,676,568,672,934,1119,1003,1022,1109,839,617
"G1302550","2018","GA",,,"Georgia","13","Spalding County","255",,,,,,,,,,,,,,,,,,"05000US13255","Spalding County, Georgia",25659,2004,644,1593,1652,2055,1801,1701,2412,1116,1541,3028,3088,908,769,676,671,"Spalding County, Georgia",1135,997,413,749,853,943,718,754,1043,640,760,1019,871,395,446,390,416
"G1302850","2018","GA",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,,"05000US13285","Troup County, Georgia",25417,2164,2120,2482,1031,1339,1296,1264,1157,1026,1698,2334,2452,2196,745,1064,1049,"Troup County, Georgia",1114,828,841,858,658,659,527,504,591,601,731,783,784,828,315,459,433
"G1302950","2018","GA",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,,"05000US13295","Walker County, Georgia",26895,2715,1324,1787,2357,1911,1478,801,1612,1188,2434,2822,2656,1442,955,689,724,"Walker County, Georgia",1290,1110,676,607,943,841,712,445,712,539,843,1052,864,692,467,337,383
"G1302970","2018","GA",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,,"05000US13297","Walton County, Georgia",32624,1417,1037,1912,1896,852,1749,1183,1205,1006,2279,4068,4775,4917,1135,1957,1236,"Walton County, Georgia",792,800,485,653,961,465,930,521,639,540,602,1079,1016,1070,398,598,562
"G1303130","2018","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,"05000US13313","Whitfield County, Georgia",36658,1741,2219,2179,2339,2637,2819,2323,2060,1787,2808,3747,4381,2258,1571,797,992,"Whitfield County, Georgia",1376,847,931,793,940,1110,853,829,767,811,846,1035,1029,832,867,407,443
"G1500010","2018","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,"05000US15001","Hawaii County, Hawaii",71565,7079,2435,3261,2820,3594,3328,1857,4178,3028,4905,5109,9866,7123,4154,4623,4205,"Hawaii County, Hawaii",2191,1515,751,883,987,1000,1027,659,1131,1002,1091,1071,1619,1442,1012,1015,1016
"G1500030","2018","HI",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,,"05000US15003","Honolulu County, Hawaii",308208,14297,5805,8603,8474,8560,11104,9372,11845,9030,20396,29407,39981,36379,27541,32993,34421,"Honolulu County, Hawaii",3354,1665,1147,1771,1499,1482,1787,1610,1663,1302,2313,2235,2759,2451,2388,2455,2282
"G1500070","2018","HI",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,,"05000US15007","Kauai County, Hawaii",22685,989,558,1007,636,1014,978,764,685,908,1349,1624,3220,3238,1770,2178,1767,"Kauai County, Hawaii",1210,431,350,407,330,532,374,381,382,547,529,566,829,832,551,757,668
"G1500090","2018","HI",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,,"05000US15009","Maui County, Hawaii",52794,1726,1044,1300,1810,1627,2499,2619,2121,1405,3225,4667,7374,6755,4474,4125,6023,"Maui County, Hawaii",1950,699,430,462,571,624,975,1011,752,577,931,1035,1358,1318,1031,900,1150
"G1600010","2018","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",178712,10980,4172,6501,9047,5858,8553,6860,7679,7402,12404,21970,24558,19056,9399,11939,12334,"Ada County, Idaho",2497,1959,1327,1438,1947,1633,1922,1551,1775,1786,1831,3164,2544,2465,1719,1698,1607
"G1600050","2018","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",30635,2014,1907,885,1859,1064,2109,2334,1781,1153,2706,2808,4210,2727,1301,1109,668,"Bannock County, Idaho",1217,592,644,377,619,405,683,746,743,519,766,687,826,574,511,462,345
"G1600190","2018","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",40224,1927,1775,1075,1846,1967,1757,2644,1624,2669,3161,4667,5323,3748,1641,2201,2199,"Bonneville County, Idaho",1153,669,609,562,701,697,518,815,630,802,921,987,963,750,534,546,592
"G1600270","2018","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",74520,3062,2914,3302,5595,2833,4330,3783,5747,2680,8281,10444,9447,6467,2905,1492,1238,"Canyon County, Idaho",1350,770,848,961,1605,802,1283,966,1507,840,1448,1943,1764,1687,946,659,564
"G1600550","2018","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",64955,3896,2866,2830,2526,2808,3389,3781,3483,3848,5527,7507,8438,5358,2665,3579,2454,"Kootenai County, Idaho",1328,1345,914,1143,851,925,919,1186,929,1165,1102,1550,1358,1539,733,1004,721
"G1600830","2018","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",32041,2292,1656,1468,1551,1842,1396,1658,2390,1202,3297,3974,3613,1979,1793,1041,889,"Twin Falls County, Idaho",930,945,731,648,887,701,648,639,968,579,978,1226,759,638,746,557,488
"G1700010","2018","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",26397,1914,955,1468,1040,1539,1094,1428,1016,894,2160,3558,4135,2356,1052,708,1080,"Adams County, Illinois",972,753,455,458,424,551,476,390,443,362,543,790,858,650,367,322,445
"G1700190","2018","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",84290,10586,3899,4106,4405,3286,4022,2893,3646,2641,8881,6580,8713,7545,4231,4699,4157,"Champaign County, Illinois",2237,1746,1072,1193,1135,858,931,773,917,839,1468,1016,1381,1261,876,999,951
"G1700310","2018","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",1981796,144662,76489,81779,100592,84054,85099,75234,80759,71224,134802,190823,226372,181705,115682,146117,186403,"Cook County, Illinois",8626,6448,4496,5667,5416,4519,4704,4591,5230,4567,6094,6719,7133,6211,5428,5469,6497
"G1700370","2018","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",38849,1695,2180,2101,1908,1805,1647,1311,1619,1728,2395,4996,4203,3692,3239,3051,1279,"DeKalb County, Illinois",1227,726,751,817,746,818,751,578,505,601,708,885,1061,882,788,746,475
"G1700430","2018","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",345714,13837,6006,8272,9214,8778,9446,10271,10085,11275,20415,29858,44887,42560,28928,39698,52184,"DuPage County, Illinois",2259,1998,1145,1332,1839,1377,1477,1697,1582,1664,2051,2431,3249,3083,2181,2561,3023
"G1700890","2018","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",183633,7029,3920,5033,5581,6151,7566,7597,7544,6065,14734,15901,23939,22162,13648,17957,18806,"Kane County, Illinois",1334,1534,1015,1226,1458,1469,1462,1396,1516,1544,2374,2175,2245,2712,2117,2528,1799
"G1700910","2018","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",40642,3304,2028,1891,2894,2354,2189,1776,1719,1702,3202,2974,5151,3956,2381,1880,1241,"Kankakee County, Illinois",1411,888,593,692,770,818,631,660,615,493,933,624,1068,908,685,548,436
"G1700930","2018","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",40716,788,1058,790,355,461,1440,879,1334,1072,1969,4696,9310,6199,3046,4026,3293,"Kendall County, Illinois",1134,632,687,667,378,299,954,560,682,778,990,1406,2023,1914,1123,1301,1196
"G1700970","2018","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",246620,9663,7813,6828,8452,7189,9892,7882,5690,6711,13795,23724,31835,25611,16667,23311,41557,"Lake County, Illinois",2599,1726,1352,1280,1435,1320,1756,1583,985,1258,2042,2477,2623,2162,1789,2063,2696
"G1700990","2018","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",44714,2125,2555,2166,3334,2349,2351,2316,2815,1425,3318,5099,4719,3592,2395,2403,1752,"LaSalle County, Illinois",1263,686,883,646,886,572,717,666,783,477,792,1043,912,908,629,581,544
"G1701110","2018","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",114544,3551,2164,2284,4084,2851,3078,3649,3042,3666,8485,14416,15382,13911,10807,12305,10869,"McHenry County, Illinois",1268,996,777,784,1105,955,838,903,778,1139,1501,1956,1661,1963,1655,1831,1642
"G1701130","2018","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",65998,6968,2748,1540,2830,1463,4580,1431,1929,1684,4815,6937,8832,6742,3970,5443,4086,"McLean County, Illinois",1534,1490,1028,548,862,399,950,552,693,534,1023,1115,1220,1215,771,991,804
"G1701150","2018","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",44562,2978,2759,1965,2923,2308,2247,2637,2559,1875,3657,4332,5386,4105,1648,1526,1657,"Macon County, Illinois",1294,752,915,602,950,665,784,772,765,560,843,859,964,851,647,461,496
"G1701190","2018","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",108977,7458,4678,4692,4546,5476,4980,4703,4967,4050,8948,12565,15546,8728,5695,6645,5300,"Madison County, Illinois",2233,1532,1235,1364,1184,1276,1170,1148,1022,1019,1654,1726,1901,1592,1146,1201,927
"G1701430","2018","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",71506,6616,3171,3834,3586,3079,3058,3242,3126,2122,5740,8765,8960,4901,3972,3881,3453,"Peoria County, Illinois",1717,1191,858,912,980,949,730,949,736,663,1049,1371,1237,1123,1057,886,752
"G1701610","2018","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",61009,3482,3333,2813,3260,3206,3817,2842,2603,3468,5434,5785,8405,5118,2789,3171,1483,"Rock Island County, Illinois",1278,777,1064,875,863,760,971,746,679,984,995,798,1334,1053,733,1063,438
"G1701630","2018","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",104803,8874,4281,4516,5758,5563,4729,5032,3339,3553,7150,13272,13677,8934,5577,6247,4301,"St. Clair County, Illinois",2310,1664,1191,1130,1306,1492,1228,1261,1102,889,1483,1965,1692,1462,1142,1137,1034
"G1701670","2018","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",83006,6142,3198,3891,4071,3441,3608,3779,3164,2664,6593,6907,12806,8260,5549,4377,4556,"Sangamon County, Illinois",1728,1269,882,948,882,1123,1026,911,746,685,1129,996,1574,1082,1107,852,839
"G1701790","2018","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",54123,2631,1642,2431,2567,2382,1799,3872,2118,2402,4692,7331,6793,4990,3695,2543,2235,"Tazewell County, Illinois",1441,764,518,679,829,713,491,1099,662,751,1098,1134,1207,895,876,802,634
"G1701830","2018","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",30166,3025,2211,1070,2378,1286,1895,2064,1669,1374,1856,3061,3768,2041,1169,880,419,"Vermilion County, Illinois",1113,773,592,384,610,570,650,676,487,486,480,653,724,537,495,414,287
"G1701970","2018","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",231647,7547,4801,4524,6252,8320,7711,6641,7401,7903,15106,23027,34557,26174,22828,23648,25207,"Will County, Illinois",2201,1250,1165,834,1261,1629,1420,1196,1351,1290,1664,2200,2596,2255,2352,2132,1794
"G1701990","2018","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",27815,1769,1963,2419,1654,1901,2139,1070,1515,1513,2000,2399,2678,2316,1049,927,503,"Williamson County, Illinois",1041,670,848,631,816,625,629,413,493,569,660,519,631,673,481,405,268
"G1702010","2018","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",114337,7171,5426,6492,7105,6147,7064,5206,4574,4015,9630,12756,14501,9781,4508,5519,4442,"Winnebago County, Illinois",1684,1259,1010,1317,1327,1106,1320,1180,1031,846,1576,1613,1728,1366,1046,923,832
"G1800030","2018","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",147638,8042,6137,7241,7562,6344,9124,7285,7295,8535,14185,14478,20706,10764,7297,7479,5164,"Allen County, Indiana",1587,1182,1227,1150,1376,1105,1533,1300,1383,1648,1801,1482,2270,1523,1206,1495,879
