GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,SUYE001,SUYE002,SUYE003,SUYE004,SUYE005,SUYE006,SUYE007,SUYE008,SUYE009,SUYE010,SUYE011,SUYE012,SUYE013,SUYE014,SUYE015,SUYE016,SUYE017,NAME_M,SUYM001,SUYM002,SUYM003,SUYM004,SUYM005,SUYM006,SUYM007,SUYM008,SUYM009,SUYM010,SUYM011,SUYM012,SUYM013,SUYM014,SUYM015,SUYM016,SUYM017
"G0101010","2013","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",87996,9935,6235,4863,4928,4256,4830,4419,4889,3625,6185,7508,10497,6168,3597,3382,2679,"Montgomery County, Alabama",2275,1594,1059,993,1059,1119,1198,1112,1137,976,1188,1249,1434,1056,936,779,819
"G0101030","2013","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",46779,4444,3759,2334,2904,3375,2776,2066,2467,1851,3918,5093,4828,3023,1366,1851,724,"Morgan County, Alabama",1340,1084,1012,929,861,943,989,579,881,666,1038,998,1189,802,527,663,327
"G0101150","2013","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",31769,2123,1693,1212,1411,1879,1801,1606,1406,1751,2953,3699,4936,1887,1464,767,1181,"St. Clair County, Alabama",1447,758,827,666,608,708,724,742,642,797,1009,1012,1190,770,610,488,644
"G0101170","2013","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",73694,2850,1824,2778,3218,4096,2512,3700,3246,2407,4707,8907,11158,6950,5392,6076,3873,"Shelby County, Alabama",1900,802,715,841,827,883,659,1014,968,703,801,1420,1820,1250,1017,935,695
"G0101210","2013","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",31598,3536,1498,2835,1861,2229,2897,1994,1682,1285,2254,2736,3028,1156,1118,953,536,"Talladega County, Alabama",1227,1033,610,722,618,633,783,658,617,709,774,781,947,471,488,531,377
"G0101250","2013","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",69291,6517,4606,3414,4764,3388,3409,3487,3717,4062,6089,6103,8935,4796,2677,1775,1552,"Tuscaloosa County, Alabama",2168,1177,1036,928,1119,1118,1015,954,930,1207,1591,1147,1175,1050,749,514,568
"G0101270","2013","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",24963,2414,2686,2243,1933,1933,1332,715,1307,1407,2383,2076,1916,1074,789,412,343,"Walker County, Alabama",1199,735,909,660,576,634,520,402,479,577,926,758,569,424,415,223,255
"G0200200","2013","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",103445,2501,2439,2711,2602,2213,3336,4158,5358,3519,7522,12058,15783,12305,9259,9368,8313,"Anchorage Municipality, Alaska",2136,878,1007,771,755,852,1068,1228,1303,750,1414,1784,1784,1586,1714,1684,1279
"G0200900","2013","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",34056,956,1713,963,2372,849,1231,2228,446,1296,2292,4796,4659,3153,3248,2090,1764,"Fairbanks North Star Borough, Alaska",1790,560,724,458,936,465,633,890,316,801,932,1411,1063,1039,1107,717,812
"G0201700","2013","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",30272,1212,1630,1041,1145,891,910,973,1310,903,2234,3671,5093,3027,2439,2516,1277,"Matanuska-Susitna Borough, Alaska",818,336,445,313,333,293,251,259,379,264,446,700,693,540,432,449,310
"G0400010","2013","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",17948,3574,1868,1215,1364,1184,1234,879,873,394,1620,1579,1202,482,179,255,46,"Apache County, Arizona",977,500,433,401,396,452,446,403,314,187,464,465,460,306,148,173,49
"G0400030","2013","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",48368,5020,3379,2542,1983,2834,2945,2364,2443,1726,3838,4719,5330,3748,2321,1575,1601,"Cochise County, Arizona",2081,1045,893,766,599,735,882,851,847,530,1063,936,1010,969,679,687,722
"G0400050","2013","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",49002,4916,3529,2651,1563,2228,3750,2069,2100,1378,4428,4767,6687,3244,2277,2315,1100,"Coconino County, Arizona",1749,1038,1120,942,503,732,990,586,864,568,909,1142,1174,728,608,741,545
"G0400130","2013","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",1425393,101006,67885,73279,81100,71523,77351,70313,74596,60937,116394,145206,170800,120251,63767,67860,63125,"Maricopa County, Arizona",8881,5492,4306,4147,3733,4403,4995,4885,4451,3809,5800,5394,6436,5210,3308,3537,3577
"G0400150","2013","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",81257,6755,4785,6362,5692,6929,6112,4995,4778,3167,9190,6939,8060,3464,1821,1373,835,"Mohave County, Arizona",3401,1333,1313,1533,1142,1449,1330,1287,1103,841,1736,1232,1405,987,739,582,403
"G0400170","2013","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",34147,5701,2368,1809,1872,2545,1809,1429,1923,1178,2485,3830,3434,1874,1021,542,327,"Navajo County, Arizona",1628,1126,711,510,451,657,616,409,515,500,644,877,838,555,440,304,263
"G0400190","2013","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",391975,33722,25674,23517,30073,22870,22606,20255,21608,18598,29807,37490,41282,24229,15804,13476,10964,"Pima County, Arizona",4189,3245,2806,2443,3076,2776,2555,2000,2532,2321,2471,3001,2674,2347,2182,1535,1552
"G0400210","2013","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",128036,7863,5433,8203,8044,6814,7552,7228,7561,5577,12662,14223,17564,8912,4234,3764,2402,"Pinal County, Arizona",3708,1128,1434,1715,1312,1251,1173,1479,1633,1393,1876,2245,2248,1539,847,972,933
"G0400250","2013","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",91064,8060,7700,5664,6417,6562,4625,6631,5035,4858,8743,8749,8379,4179,1647,2539,1276,"Yavapai County, Arizona",2727,1678,1634,1312,1138,1558,1098,1459,1239,1106,1475,1607,1515,1067,673,823,501
"G0400270","2013","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",69744,5232,4279,4320,4898,5554,4845,4519,3730,3585,6184,6219,8028,4416,1417,1047,1471,"Yuma County, Arizona",2456,1110,1059,1024,1169,1244,1127,1085,902,816,1157,1204,1152,810,523,433,547
"G0500070","2013","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",82644,3392,3362,3328,4972,4122,4795,3402,4735,4113,6783,11127,10262,6879,3978,3322,4072,"Benton County, Arkansas",2255,775,877,730,1081,964,915,857,1070,872,1282,1498,1331,1039,952,779,785
"G0500310","2013","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",37827,3387,2810,2491,2567,1617,2837,2778,1576,2421,2924,2893,3846,2515,1883,999,283,"Craighead County, Arkansas",1212,1003,887,1042,1096,658,985,916,677,816,762,789,941,879,862,519,241
"G0500450","2013","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",42636,1994,2964,2697,2384,1847,3224,2033,2703,1664,2639,5816,5825,3314,1524,1053,955,"Faulkner County, Arkansas",1417,599,865,1059,697,588,1083,849,733,500,732,1257,1206,972,626,456,535
"G0500510","2013","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",41865,4155,4396,3727,2577,2029,2127,2139,1183,2008,3517,3862,3745,3337,1674,781,608,"Garland County, Arkansas",1734,1261,1142,1116,881,810,757,694,609,745,1104,991,1052,939,731,360,447
"G0500690","2013","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",27960,2856,2388,2955,2419,1971,1484,1330,1237,1607,1674,2726,2441,1410,961,211,290,"Jefferson County, Arkansas",1291,885,742,895,594,623,515,574,471,509,486,754,699,590,438,163,215
"G0500850","2013","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",24779,1226,1456,973,1520,1114,1089,1647,1087,852,2470,3057,2853,2531,1699,894,311,"Lonoke County, Arkansas",1186,542,609,438,647,567,578,661,475,449,753,669,818,819,624,458,257
"G0501190","2013","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",148694,12779,8046,8377,10010,8435,7979,7998,9011,7529,12312,14182,14253,10034,4738,7031,5980,"Pulaski County, Arkansas",3381,1943,1314,1490,2195,1679,1362,1449,1627,1346,2252,1813,1861,1676,1151,1339,1112
"G0501250","2013","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",41004,1646,1423,1971,2094,2879,2450,1977,2379,2536,3652,4977,6158,2959,1876,1499,528,"Saline County, Arkansas",1235,913,482,665,824,830,772,745,926,846,844,1049,1149,818,610,552,267
"G0501310","2013","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",50095,4971,4486,4437,2814,2612,3365,2024,2273,2204,5643,4134,4741,3285,937,494,1675,"Sebastian County, Arkansas",1205,1253,1156,1109,916,855,980,782,818,782,1385,1238,901,926,404,332,802
"G0501430","2013","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",81198,8139,4142,5143,5710,5757,5268,4611,4003,3599,5528,7813,7070,5848,3035,2693,2839,"Washington County, Arkansas",2085,1550,1088,1219,1204,1594,1308,1242,1365,1036,1339,1500,1221,1252,926,838,765
"G0501450","2013","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",29038,2470,2119,2799,1118,1874,969,1864,1925,1313,2119,3690,2526,1746,970,1056,480,"White County, Arkansas",1153,702,685,1032,414,762,474,592,632,580,749,1052,884,705,557,601,366
"G0600010","2013","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",555909,32937,24574,23566,20614,18237,19228,20043,21816,17983,35538,50727,69281,52318,37486,48437,63124,"Alameda County, California",3185,2908,2138,2385,2358,2096,1957,2329,2550,2180,2920,3776,4396,3105,2668,2832,3363
"G0600070","2013","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",85158,7517,6670,6431,5214,5593,5343,4075,3774,2931,6275,9003,8741,4636,3350,3177,2428,"Butte County, California",1861,1209,1096,1292,1111,1197,1151,1091,939,711,959,1409,1474,1012,880,782,795
"G0600130","2013","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",382356,15867,13859,13421,15280,12430,14627,14247,13258,12579,22095,34638,48282,41155,24900,37233,48485,"Contra Costa County, California",2597,1962,1746,1835,1849,1712,2102,1944,1897,1839,2365,3215,3329,3174,2654,3444,3202
"G0600170","2013","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",66751,4325,3950,2347,3868,2815,3744,3158,1776,1889,4840,5732,6518,7407,4651,4023,5708,"El Dorado County, California",2444,1265,1248,954,1120,786,1020,1049,580,727,1162,1158,1165,1216,1211,917,1332
