GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,SUYE001,SUYE002,SUYE003,SUYE004,SUYE005,SUYE006,SUYE007,SUYE008,SUYE009,SUYE010,SUYE011,SUYE012,SUYE013,SUYE014,SUYE015,SUYE016,SUYE017,NAME_M,SUYM001,SUYM002,SUYM003,SUYM004,SUYM005,SUYM006,SUYM007,SUYM008,SUYM009,SUYM010,SUYM011,SUYM012,SUYM013,SUYM014,SUYM015,SUYM016,SUYM017
"G1201130","2013","FL",,,"Florida","12","Santa Rosa County","113",,,,,,,,,,,,,,,,,,"05000US12113","Santa Rosa County, Florida",59584,4074,2619,3400,3691,1749,2755,2502,2261,2521,6705,8205,7062,5595,2702,2316,1427,"Santa Rosa County, Florida",1540,1548,864,1132,1072,709,1036,839,694,986,1415,1638,1296,1403,810,675,646
"G1201150","2013","FL",,,"Florida","12","Sarasota County","115",,,,,,,,,,,,,,,,,,"05000US12115","Sarasota County, Florida",170628,10126,8871,8817,12651,10314,10293,8548,11073,7022,14088,19078,19553,10619,5856,5800,7919,"Sarasota County, Florida",3695,1591,1584,1756,2062,1803,1509,1636,1775,1455,1944,2624,2132,1645,1322,1241,1205
"G1201170","2013","FL",,,"Florida","12","Seminole County","117",,,,,,,,,,,,,,,,,,"05000US12117","Seminole County, Florida",148259,10325,5427,6205,6855,8298,8031,8469,7501,5779,11752,17231,18325,14065,6566,6956,6474,"Seminole County, Florida",3964,1936,1172,1246,1347,1518,1827,1775,1807,1273,1758,2186,2222,2357,1169,1687,1248
"G1201190","2013","FL",,,"Florida","12","Sumter County","119",,,,,,,,,,,,,,,,,,"05000US12119","Sumter County, Florida",49672,2480,2612,2777,2269,2203,2598,3139,3347,1788,5584,5801,6463,4361,1780,494,1976,"Sumter County, Florida",2586,1044,1004,982,855,941,968,1354,1190,728,2012,1675,1474,1342,840,393,1291
"G1201270","2013","FL",,,"Florida","12","Volusia County","127",,,,,,,,,,,,,,,,,,"05000US12127","Volusia County, Florida",200107,16628,11601,14366,14469,14414,13337,12619,12277,10991,17724,16673,21217,10004,4596,5020,4171,"Volusia County, Florida",4635,2164,1764,1932,1988,1836,1648,1849,1775,1849,1909,1773,2172,1353,862,1265,924
"G1300130","2013","GA",,,"Georgia","13","Barrow County","013",,,,,,,,,,,,,,,,,,"05000US13013","Barrow County, Georgia",23626,1200,794,1276,1151,776,1375,1241,1473,1058,2101,3734,3617,2224,840,388,378,"Barrow County, Georgia",826,445,339,501,462,397,441,453,570,420,594,836,849,587,383,266,230
"G1300150","2013","GA",,,"Georgia","13","Bartow County","015",,,,,,,,,,,,,,,,,,"05000US13015","Bartow County, Georgia",34649,3703,2612,1838,2124,1250,1705,1108,2919,1614,3110,3791,3339,2450,1642,644,800,"Bartow County, Georgia",1388,1267,1157,779,743,582,690,587,916,557,1002,981,922,795,702,413,489
"G1300210","2013","GA",,,"Georgia","13","Bibb County","021",,,,,,,,,,,,,,,,,,"05000US13021","Bibb County, Georgia",54441,7570,4993,3635,3883,3623,2758,2469,2514,1755,4265,6037,4549,2620,1438,1158,1174,"Bibb County, Georgia",2022,1265,946,917,832,943,880,1017,763,621,1004,1176,993,674,522,446,480
"G1300310","2013","GA",,,"Georgia","13","Bulloch County","031",,,,,,,,,,,,,,,,,,"05000US13031","Bulloch County, Georgia",25010,4444,1943,1044,1791,1521,1131,1732,941,1892,1487,2475,1868,1248,563,356,574,"Bulloch County, Georgia",1512,1108,708,660,717,770,464,686,500,808,669,683,634,520,366,270,389
"G1300450","2013","GA",,,"Georgia","13","Carroll County","045",,,,,,,,,,,,,,,,,,"05000US13045","Carroll County, Georgia",40898,3596,2053,3025,1943,2044,2789,2096,2472,2449,3541,4850,4875,3064,846,533,722,"Carroll County, Georgia",1086,1117,824,1118,869,900,854,721,886,993,1084,988,1204,1066,477,364,404
"G1300470","2013","GA",,,"Georgia","13","Catoosa County","047",,,,,,,,,,,,,,,,,,"05000US13047","Catoosa County, Georgia",24808,1625,1676,1168,1623,1589,965,1023,742,1151,3935,2214,3269,1769,1299,616,144,"Catoosa County, Georgia",845,643,679,553,700,696,463,553,497,635,921,710,904,701,714,471,146
"G1300510","2013","GA",,,"Georgia","13","Chatham County","051",,,,,,,,,,,,,,,,,,"05000US13051","Chatham County, Georgia",103748,10927,6874,5402,6696,5220,4798,6457,5159,4782,7236,9087,11668,7112,3956,3541,4833,"Chatham County, Georgia",2533,1526,1269,855,1280,1262,1042,1714,1221,1211,1260,1759,2012,1776,879,766,1261
"G1300570","2013","GA",,,"Georgia","13","Cherokee County","057",,,,,,,,,,,,,,,,,,"05000US13057","Cherokee County, Georgia",76627,3494,2384,4263,2747,2974,4642,3107,3574,1811,6236,7670,12437,9063,3605,4977,3643,"Cherokee County, Georgia",1956,1128,1082,1398,844,1085,1453,1112,1135,657,1802,1590,2278,1826,1031,1375,916
"G1300590","2013","GA",,,"Georgia","13","Clarke County","059",,,,,,,,,,,,,,,,,,"05000US13059","Clarke County, Georgia",44541,8101,3856,3410,3298,2744,2740,2610,1673,1662,2325,3250,3754,1509,1458,1238,913,"Clarke County, Georgia",1617,1464,1103,960,907,817,733,1054,603,633,703,704,798,677,578,422,422
"G1300630","2013","GA",,,"Georgia","13","Clayton County","063",,,,,,,,,,,,,,,,,,"05000US13063","Clayton County, Georgia",89106,8876,6255,5980,5934,5268,5828,5528,5378,4567,8291,9799,8975,4762,2091,1119,455,"Clayton County, Georgia",2118,1492,1342,1402,1290,1294,1248,1249,1280,1334,1645,1882,1714,1221,733,459,275
"G1300670","2013","GA",,,"Georgia","13","Cobb County","067",,,,,,,,,,,,,,,,,,"05000US13067","Cobb County, Georgia",266851,14624,10929,8587,10654,13070,13327,12905,10336,11126,20661,28760,33889,25410,16565,17763,18245,"Cobb County, Georgia",3104,2505,2014,1945,1613,2161,2181,2095,1812,2173,2773,2518,2803,2617,1992,2095,1826
"G1300730","2013","GA",,,"Georgia","13","Columbia County","073",,,,,,,,,,,,,,,,,,"05000US13073","Columbia County, Georgia",42147,1636,898,1865,2042,962,799,1170,1864,1442,3571,5480,7440,4445,2838,2966,2729,"Columbia County, Georgia",1945,571,428,668,887,447,443,372,738,603,973,1258,1249,1024,864,992,942
"G1300770","2013","GA",,,"Georgia","13","Coweta County","077",,,,,,,,,,,,,,,,,,"05000US13077","Coweta County, Georgia",47841,2621,3122,1993,1633,2334,2034,1522,2010,1976,4276,4256,7338,5739,3071,2673,1243,"Coweta County, Georgia",1252,886,1126,748,778,775,722,567,752,677,979,1088,1209,1333,793,661,490
"G1300890","2013","GA",,,"Georgia","13","DeKalb County","089",,,,,,,,,,,,,,,,,,"05000US13089","DeKalb County, Georgia",268239,21985,13504,14599,13756,13688,17762,14437,13541,11225,21865,24801,29660,18263,10206,13173,15774,"DeKalb County, Georgia",4034,2518,2325,1944,1869,1899,2406,1777,2272,1831,2738,2698,2464,2264,1616,1828,1767
"G1300950","2013","GA",,,"Georgia","13","Dougherty County","095",,,,,,,,,,,,,,,,,,"05000US13095","Dougherty County, Georgia",34219,6126,2864,2607,2093,3153,2468,1969,1236,877,3225,2061,2492,1327,550,410,761,"Dougherty County, Georgia",1632,1166,872,840,628,843,762,647,577,434,829,609,759,477,311,200,405
"G1300970","2013","GA",,,"Georgia","13","Douglas County","097",,,,,,,,,,,,,,,,,,"05000US13097","Douglas County, Georgia",46770,2617,1962,3269,2478,2901,4015,2938,1164,1918,3215,4663,7477,2969,2067,2412,705,"Douglas County, Georgia",1768,1065,776,1173,1058,1059,1120,1127,468,742,1051,1174,1759,819,754,938,410
"G1301130","2013","GA",,,"Georgia","13","Fayette County","113",,,,,,,,,,,,,,,,,,"05000US13113","Fayette County, Georgia",37885,1109,1093,827,1803,909,1528,1001,1771,673,2231,4612,5443,4909,2705,4535,2736,"Fayette County, Georgia",1172,610,530,384,712,463,598,454,702,350,538,1179,1174,1227,755,1334,785
"G1301150","2013","GA",,,"Georgia","13","Floyd County","115",,,,,,,,,,,,,,,,,,"05000US13115","Floyd County, Georgia",33099,3351,3473,2490,2058,1965,2272,1782,1339,1566,2504,3045,3205,2190,932,636,291,"Floyd County, Georgia",1495,729,930,799,655,721,819,578,605,597,809,807,993,843,460,328,192
"G1301170","2013","GA",,,"Georgia","13","Forsyth County","117",,,,,,,,,,,,,,,,,,"05000US13117","Forsyth County, Georgia",64465,3380,1674,1543,1612,1826,1459,2035,2545,1920,4470,5872,8817,7397,6032,6547,7336,"Forsyth County, Georgia",1030,920,615,654,661,622,526,635,767,650,927,1057,1020,1061,1038,1022,898
"G1301210","2013","GA",,,"Georgia","13","Fulton County","121",,,,,,,,,,,,,,,,,,"05000US13121","Fulton County, Georgia",379281,35864,20664,17372,18673,14933,17774,17802,13926,13923,29316,33206,40086,29736,16678,21743,37585,"Fulton County, Georgia",4751,3353,2146,1796,2662,2251,2831,2583,1832,2398,3119,3717,3369,2899,1928,2109,2412
"G1301270","2013","GA",,,"Georgia","13","Glynn County","127",,,,,,,,,,,,,,,,,,"05000US13127","Glynn County, Georgia",31502,3303,2249,2217,1873,1732,1866,2210,1091,2039,2319,2004,3343,1920,563,1453,1320,"Glynn County, Georgia",1702,839,839,840,648,652,858,804,515,783,895,716,946,731,323,704,630
"G1301350","2013","GA",,,"Georgia","13","Gwinnett County","135",,,,,,,,,,,,,,,,,,"05000US13135","Gwinnett County, Georgia",269361,11071,7175,10247,14342,13749,17557,11469,18164,10026,23144,29550,37153,26292,14551,14940,9931,"Gwinnett County, Georgia",3943,2012,1329,1909,2513,2319,2616,2012,3187,1689,2843,3362,3226,2969,2133,2238,1566
"G1301390","2013","GA",,,"Georgia","13","Hall County","139",,,,,,,,,,,,,,,,,,"05000US13139","Hall County, Georgia",60937,4430,3111,3528,4020,3697,4409,4283,2992,2655,5260,5046,6535,3990,2136,2616,2229,"Hall County, Georgia",1691,966,954,941,1097,787,1235,1084,902,856,953,970,1159,1134,687,743,818
"G1301510","2013","GA",,,"Georgia","13","Henry County","151",,,,,,,,,,,,,,,,,,"05000US13151","Henry County, Georgia",70852,2708,2717,2898,2812,2488,4584,4119,4560,2977,6149,9489,9077,7792,3959,3287,1236,"Henry County, Georgia",1899,941,866,1145,1220,915,1417,1321,1439,1054,1546,1916,1595,1693,1253,995,611
"G1301530","2013","GA",,,"Georgia","13","Houston County","153",,,,,,,,,,,,,,,,,,"05000US13153","Houston County, Georgia",53186,5390,2334,1980,1552,4677,3201,2750,2390,2435,4904,5273,7573,3420,1706,2390,1211,"Houston County, Georgia",1696,1334,791,846,619,1284,1199,996,908,953,1408,1232,2102,1029,637,1077,607
"G1301790","2013","GA",,,"Georgia","13","Liberty County","179",,,,,,,,,,,,,,,,,,"05000US13179","Liberty County, Georgia",22980,1849,1662,1344,1700,837,2676,1673,1258,1271,2735,1296,2652,1004,448,134,441,"Liberty County, Georgia",1050,628,629,589,655,345,722,639,418,514,813,432,625,395,313,183,388
"G1301850","2013","GA",,,"Georgia","13","Lowndes County","185",,,,,,,,,,,,,,,,,,"05000US13185","Lowndes County, Georgia",40848,5613,3043,3075,3116,3399,2030,2259,1678,1336,3896,3041,4573,1827,1220,380,362,"Lowndes County, Georgia",1006,1042,958,853,956,1014,716,839,711,486,769,660,957,647,644,203,237
"G1302150","2013","GA",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,,"05000US13215","Muscogee County, Georgia",71861,8857,5137,4836,4773,3855,4123,3795,4295,2736,5852,7460,6568,4177,1405,2260,1732,"Muscogee County, Georgia",1863,1273,968,1125,830,1051,941,904,1170,912,1168,1336,1217,950,472,901,563
"G1302170","2013","GA",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,,"05000US13217","Newton County, Georgia",33490,1258,1719,1769,2029,944,2053,1484,2246,1731,3329,4165,4157,3581,1014,1778,233,"Newton County, Georgia",1362,525,704,615,854,538,844,680,941,679,1244,1146,1034,1355,573,993,173
"G1302230","2013","GA",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,,"05000US13223","Paulding County, Georgia",48447,3147,1268,2155,1917,2590,3339,2441,1925,1812,5481,5119,7658,3771,3040,1794,990,"Paulding County, Georgia",1642,1343,529,871,864,1144,1170,846,767,709,1591,1163,1646,1076,1029,720,578
"G1302450","2013","GA",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,,"05000US13245","Richmond County, Georgia",70968,9218,5132,6626,4627,5138,4256,3806,3676,2729,6105,5123,5784,4248,1750,1296,1454,"Richmond County, Georgia",2388,1213,1138,1389,1145,1223,1242,1110,1061,869,1444,1218,1334,998,684,534,500
"G1302470","2013","GA",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,,"05000US13247","Rockdale County, Georgia",29150,2005,873,1774,1441,1905,1181,1430,2084,1947,3221,2506,4644,1799,639,1135,566,"Rockdale County, Georgia",1147,778,407,659,574,636,685,563,955,681,895,827,1140,691,374,584,351
"G1302850","2013","GA",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,,"05000US13285","Troup County, Georgia",24412,3022,777,2521,1432,1357,1169,955,1300,1039,2319,2547,2416,1111,389,783,1275,"Troup County, Georgia",1162,991,450,740,562,639,581,472,540,546,810,827,650,479,267,452,577
"G1302950","2013","GA",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,,"05000US13295","Walker County, Georgia",25077,2345,1997,1347,1823,1375,1560,1360,1643,948,3022,2253,2365,2090,263,341,345,"Walker County, Georgia",1403,851,649,643,742,469,688,738,793,480,1007,695,775,816,198,255,379
"G1302970","2013","GA",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,,"05000US13297","Walton County, Georgia",28817,2527,1679,1263,1231,1965,1488,1271,1379,719,2990,3261,4029,2296,1201,754,764,"Walton County, Georgia",1160,766,897,536,565,798,676,586,593,475,969,1014,1181,588,440,370,352
"G1303130","2013","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,"05000US13313","Whitfield County, Georgia",33892,2617,2276,2784,2478,2851,2364,2420,2398,1645,2314,2425,3838,1203,793,764,722,"Whitfield County, Georgia",1306,868,590,949,780,928,807,711,666,695,639,695,924,611,512,520,376
"G1500010","2013","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,"05000US15001","Hawaii County, Hawaii",64929,7675,3208,4331,4570,3281,2669,2719,2627,1729,6991,5643,7568,4952,2949,2400,1617,"Hawaii County, Hawaii",2453,1821,1028,1136,1197,1079,712,1021,908,687,1529,1112,1307,1197,889,677,540
"G1500030","2013","HI",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,,"05000US15003","Honolulu County, Hawaii",308800,14149,9280,8716,12181,10079,10057,10913,12553,10382,23435,36165,42275,37112,23241,24779,23483,"Honolulu County, Hawaii",2879,1749,1332,1522,1815,1595,1476,1487,1511,1390,2482,2685,2768,2636,2016,2140,2264
"G1500070","2013","HI",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,,"05000US15007","Kauai County, Hawaii",22386,1182,1072,549,1380,966,1167,950,1681,618,1587,2614,2459,2538,1454,1122,1047,"Kauai County, Hawaii",966,470,520,330,625,447,484,386,689,323,542,768,729,776,424,462,440
"G1500090","2013","HI",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,,"05000US15009","Maui County, Hawaii",53946,2703,1932,2004,2555,2442,4081,1900,2481,1502,2958,5601,7754,5655,3311,3660,3407,"Maui County, Hawaii",1937,838,642,899,860,873,1043,656,737,601,895,1318,1164,1107,738,886,976
"G1600010","2013","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",155434,9684,7643,6970,8092,8141,8067,7101,8102,7253,13294,17384,22116,10104,6025,8364,7094,"Ada County, Idaho",2338,2061,1566,1625,1840,1630,1508,1473,1524,1632,2402,2684,2929,1675,1105,1773,1340
"G1600050","2013","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",30265,2855,1353,1740,2611,2010,2148,978,2225,1244,1667,2981,3537,2605,1067,788,456,"Bannock County, Idaho",1052,819,518,621,841,707,632,381,663,371,588,761,792,754,421,364,232
"G1600190","2013","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",36806,2155,1835,1207,2184,1745,3250,2126,2468,1479,3890,4494,4506,2290,1793,928,456,"Bonneville County, Idaho",1008,769,671,543,682,598,888,666,768,593,943,1155,970,631,562,390,274
"G1600270","2013","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",65923,5887,3166,4383,4457,4599,4989,3725,4043,4188,6197,7134,7343,3169,1215,979,449,"Canyon County, Idaho",1603,1228,972,1166,1303,1087,1267,1091,1096,1044,1170,1425,1339,952,749,481,353
"G1600550","2013","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",55836,2565,3096,3198,2469,2988,3197,3608,1932,2983,5789,9066,6754,3286,1494,1326,2085,"Kootenai County, Idaho",1867,1126,912,972,848,932,992,862,569,1031,1579,1787,1330,1099,521,561,755
"G1600830","2013","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",28811,2117,1586,1736,1682,1856,1775,1778,1516,891,3042,3646,3249,2530,649,329,429,"Twin Falls County, Idaho",1164,721,615,664,683,657,622,782,537,388,941,1005,804,835,366,232,280
"G1700010","2013","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",27182,2387,2960,1612,1256,1392,2020,1472,1450,937,2744,2651,3185,1684,694,381,357,"Adams County, Illinois",839,639,853,631,397,440,676,388,533,485,695,598,670,618,294,214,221
"G1700190","2013","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",78521,11281,3204,4421,5438,3818,3581,3767,3260,3276,5669,8674,7160,6200,2778,2916,3078,"Champaign County, Illinois",1981,1522,873,1045,1329,784,973,812,664,936,1094,1346,1007,1109,675,800,728
"G1700310","2013","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",1939894,178242,99782,100773,98730,92606,92284,85337,89138,69043,141719,192572,223746,157577,92520,104565,121260,"Cook County, Illinois",9336,5970,5267,4270,4891,4687,4684,4366,4827,4219,6859,7043,6489,5169,4179,4966,4516
"G1700370","2013","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",37526,3986,1885,2129,1285,1719,2452,1564,1200,1402,3255,4187,5099,3521,1961,1372,509,"DeKalb County, Illinois",1219,1028,789,786,593,706,837,526,467,637,768,998,895,745,639,376,256
"G1700430","2013","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",338778,12920,7354,10655,10712,13188,13114,11950,15236,12227,24152,35272,44050,37422,27023,27809,35694,"DuPage County, Illinois",2510,1773,1229,1639,1506,1657,1800,1600,1927,1767,1956,2950,2820,2268,2518,2252,2330
"G1700890","2013","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",171973,7225,5406,6791,6007,7529,6325,6611,6910,6832,12788,17204,27028,19152,11493,12402,12270,"Kane County, Illinois",2081,1471,1184,1481,1317,1550,1307,1448,1427,1307,1895,1984,2559,2292,1809,1724,1620
"G1700910","2013","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",41822,2940,1887,2177,2195,2598,3122,2211,2070,1790,3507,4625,5100,3638,2052,1478,432,"Kankakee County, Illinois",1194,841,656,711,551,792,814,699,741,633,808,993,932,861,633,658,326
"G1700930","2013","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",37663,1802,848,760,942,1928,808,1047,1606,1168,1604,6377,7098,3900,3224,3698,853,"Kendall County, Illinois",1698,1542,743,464,597,1454,587,716,927,700,812,2065,1758,1351,1196,1249,670
"G1700970","2013","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",244935,10711,6964,8191,9751,9082,9442,9728,8392,8584,16549,25237,32094,22734,15580,21742,30154,"Lake County, Illinois",2134,1663,1331,1386,1573,1548,1957,1556,1564,1422,2057,2060,2631,2012,2038,1731,1792
"G1700990","2013","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",43647,2870,2845,2541,2091,2164,2631,3132,2500,1437,3278,4720,5514,3265,2379,1287,993,"LaSalle County, Illinois",1407,806,921,705,569,577,567,854,715,474,724,782,957,637,591,465,393
"G1701110","2013","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",109032,4282,2673,3324,3949,3610,4420,2988,4822,4888,8376,10834,16851,14802,7447,8518,7248,"McHenry County, Illinois",1571,1148,924,875,1147,901,1012,726,1066,1141,1402,1276,1987,1848,1350,1410,1302
"G1701130","2013","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",65231,5266,2721,2477,3209,3300,2679,1539,3168,1884,4933,6315,8377,7807,4684,3503,3369,"McLean County, Illinois",1521,1134,733,828,866,865,798,578,847,510,889,1111,1200,1115,1025,708,703
"G1701150","2013","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",44965,4680,3425,1975,2545,2119,2207,2313,2729,2016,3718,4718,5176,3622,1344,1260,1118,"Macon County, Illinois",1153,1009,932,578,612,646,562,742,753,635,799,860,727,773,628,400,349
"G1701190","2013","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",107186,7808,5673,5755,4358,5599,5528,5905,3976,4714,9164,12379,13111,9528,5131,4417,4140,"Madison County, Illinois",2049,1506,1132,1213,916,1363,1213,1111,960,833,1518,1603,1792,1552,1160,992,1025
"G1701430","2013","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",75671,7337,2815,3837,5643,4352,3579,3250,4289,3123,5280,8281,9533,5870,3677,2900,1905,"Peoria County, Illinois",1547,1302,705,891,1284,1124,753,906,900,738,1092,1154,1228,1006,839,715,629
"G1701610","2013","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",59810,4910,3525,2544,3347,2814,3940,3589,3236,2763,4338,7056,6935,4628,2372,2239,1574,"Rock Island County, Illinois",1398,948,817,735,922,782,954,770,937,635,880,1135,1181,892,678,681,502
"G1701630","2013","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",103920,9540,6409,7046,4861,6151,6122,4374,4847,3742,8726,10111,12258,6939,4406,4643,3745,"St. Clair County, Illinois",2113,1614,1439,1337,1016,1305,1221,940,1244,719,1483,1680,1555,1046,997,944,834
"G1701670","2013","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",82761,6801,3756,4101,4044,3609,4352,4104,3691,3639,5696,8779,11175,7170,4682,3711,3451,"Sangamon County, Illinois",1604,1111,890,933,796,999,904,810,895,894,1126,1201,1250,934,1029,753,894
"G1701790","2013","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",54161,2344,1772,2958,1818,2627,4277,3262,2506,2713,3814,6609,7499,3795,4055,2448,1664,"Tazewell County, Illinois",1252,615,467,676,613,880,1135,925,632,791,736,1139,1123,938,776,685,462
"G1701830","2013","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",31482,3005,1767,1546,2403,1843,2206,1215,1722,1432,3006,3388,3728,2137,1073,453,558,"Vermilion County, Illinois",1041,656,484,432,596,531,607,375,519,399,726,744,726,603,342,199,235
"G1701970","2013","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",223508,10230,5214,8272,7852,7376,8399,7985,8748,9527,16076,23056,33929,25784,18699,17142,15219,"Will County, Illinois",2212,1536,1120,1404,1379,1062,1317,1484,1367,1556,2057,1976,2556,2244,1749,1927,1628
"G1701990","2013","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",26724,1959,1957,1416,1545,1258,2350,1233,1816,1764,1657,2914,2756,2073,1065,553,408,"Williamson County, Illinois",1321,662,625,449,488,358,790,459,505,624,443,746,774,610,437,366,310
"G1702010","2013","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",113248,9396,5514,6135,7089,6378,6949,6145,6458,5824,9691,11521,14263,7874,3923,3252,2836,"Winnebago County, Illinois",2138,1574,936,1281,1150,1159,1318,1219,1286,1261,1560,1587,1686,1036,853,811,794
"G1800030","2013","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",142535,10576,7713,8236,8835,9101,8749,8740,9310,6415,11770,14884,15906,9675,5544,3919,3162,"Allen County, Indiana",1568,1604,1185,1238,1403,1404,1442,1394,1347,1275,1837,1713,1603,1248,1341,742,798
"G1800050","2013","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",30359,1364,1294,1510,1579,1606,1361,2262,1672,1889,1712,3544,4003,3036,1632,1101,794,"Bartholomew County, Indiana",991,510,535,621,604,607,550,664,603,617,616,790,802,815,521,434,379
"G1800190","2013","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",42192,2992,1750,2264,2044,2158,2055,3467,1882,1877,4358,4821,6402,3203,1449,825,645,"Clark County, Indiana",1509,835,499,751,722,686,622,803,556,681,1153,1048,1134,723,624,428,509
"G1800350","2013","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",46431,5980,3723,3463,4348,2281,2533,2671,2357,1837,3027,4470,4297,2691,938,1168,647,"Delaware County, Indiana",1562,1110,920,1073,865,660,751,814,692,559,697,856,916,704,540,447,314
"G1800390","2013","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",71056,4972,3966,4889,3697,3869,5333,4083,4338,4351,7640,6317,8711,4547,1732,1400,1211,"Elkhart County, Indiana",1478,1190,1039,1169,868,1237,1137,1131,958,1149,1655,1175,1601,1060,558,491,449
"G1800430","2013","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",28343,2018,1511,1215,1469,1059,1536,1059,1183,1175,2462,2501,4398,3073,1407,1136,1141,"Floyd County, Indiana",994,606,520,567,506,409,492,480,496,429,651,588,912,692,501,450,494
