GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ACJ9E001,ACJ9E002,ACJ9E003,ACJ9E004,ACJ9E005,ACJ9E006,ACJ9E007,ACJ9E008,ACJ9E009,ACJ9E010,ACJ9E011,ACJ9E012,ACJ9E013,ACJ9E014,ACJ9E015,ACJ9E016,ACJ9E017,ACJ9E018,ACJ9E019,ACJ9E020,ACJ9E021,ACJ9E022,ACJ9E023,ACJ9E024,ACJ9E025,ACJ9E026,ACJ9E027,ACJ9E028,ACJ9E029,ACJ9E030,ACJ9E031,ACJ9E032,ACJ9E033,ACJ9E034,ACJ9E035,ACJ9E036,ACJ9E037,ACJ9E038,ACJ9E039,ACJ9E040,ACJ9E041,ACJ9E042,ACJ9E043,ACJ9E044,ACJ9E045,ACJ9E046,ACJ9E047,ACJ9E048,ACJ9E049,NAME_M,ACJ9M001,ACJ9M002,ACJ9M003,ACJ9M004,ACJ9M005,ACJ9M006,ACJ9M007,ACJ9M008,ACJ9M009,ACJ9M010,ACJ9M011,ACJ9M012,ACJ9M013,ACJ9M014,ACJ9M015,ACJ9M016,ACJ9M017,ACJ9M018,ACJ9M019,ACJ9M020,ACJ9M021,ACJ9M022,ACJ9M023,ACJ9M024,ACJ9M025,ACJ9M026,ACJ9M027,ACJ9M028,ACJ9M029,ACJ9M030,ACJ9M031,ACJ9M032,ACJ9M033,ACJ9M034,ACJ9M035,ACJ9M036,ACJ9M037,ACJ9M038,ACJ9M039,ACJ9M040,ACJ9M041,ACJ9M042,ACJ9M043,ACJ9M044,ACJ9M045,ACJ9M046,ACJ9M047,ACJ9M048,ACJ9M049
"G04012000","2015","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",260833,128885,9572,7464,10670,6737,2835,2247,2382,3786,10102,8698,10182,9484,8944,9645,8447,2464,3757,1698,2905,2837,1758,981,1290,131948,8717,9628,9604,5501,2193,1187,1867,3977,10685,9137,9712,10368,8570,9666,9095,2901,4779,2518,2908,3158,2699,1561,1517,"Chandler city, Arizona",52,3129,1523,1251,1576,1192,825,932,949,976,2038,1406,1627,1632,1365,1583,1777,741,904,544,661,846,535,440,422,3130,1455,1601,1808,1134,588,432,927,1178,2076,1206,1619,1479,1109,1719,1435,893,931,652,780,674,725,551,516
"G04023620","2015","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",70317,33224,2115,1837,1843,1101,3443,1162,2173,3218,2532,2123,2372,1418,1814,1054,1237,492,751,369,812,689,235,121,313,37093,1964,2189,1372,854,6930,1831,2135,2538,2270,2091,2269,1320,1921,1051,2163,635,798,417,471,1058,312,224,280,"Flagstaff city, Arizona",23,1334,571,679,624,312,520,574,922,961,813,455,816,556,478,474,415,295,362,274,474,395,168,102,247,1332,412,534,417,357,1274,705,779,1001,564,334,576,516,712,402,499,331,382,257,237,622,192,188,204
"G04027400","2015","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",247523,116711,8768,9235,12103,5572,3347,1756,1071,3985,6592,8619,7675,10383,9614,7688,6176,2368,3692,1596,1651,2017,1056,1048,699,130812,9366,11991,12376,6692,3552,2375,1787,3540,8679,8802,9387,12221,8704,8351,6213,3292,3359,1753,2452,3018,1153,963,786,"Gilbert town, Arizona",79,3147,1695,1359,1757,1016,764,674,745,1061,1410,1595,1391,1746,1430,1069,1280,670,1080,586,507,503,369,432,442,3149,1631,1661,1652,1212,1182,922,873,889,1784,1738,1430,1816,1511,1221,1272,975,931,587,599,778,506,369,360
"G04027820","2015","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",240114,116795,8031,9032,8295,4882,3437,1734,1306,6016,9328,7353,7398,8283,7439,9524,7980,2165,2694,2179,2913,2973,1620,1219,994,123319,7540,8625,9178,6288,4328,1745,1266,4891,8938,9899,7417,7072,8072,8347,7523,3207,4023,2301,2522,3566,2727,1897,1947,"Glendale city, Arizona",68,2987,1753,1515,1521,1064,935,697,504,1298,1506,1358,1413,1564,1417,1545,1409,748,701,644,687,828,614,517,322,2994,1387,1223,1615,1016,1069,655,532,969,1433,1605,1373,1216,1318,1319,1133,962,895,613,594,833,803,702,659
"G04028380","2015","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",79003,36711,1820,2737,2340,1842,1111,314,223,1031,1842,2240,3858,2055,2884,1966,1874,1086,1012,671,2049,1918,1081,615,142,42292,2560,2629,2852,2510,1026,292,272,1491,2664,2641,3904,2975,3536,2757,2285,885,1621,715,1552,1700,501,423,501,"Goodyear city, Arizona",30,1856,654,1118,801,910,591,293,177,844,818,1293,1361,855,947,752,801,544,508,398,624,576,494,350,168,1852,910,1068,815,1097,649,268,257,730,712,877,900,847,951,878,815,478,687,338,541,590,276,259,575
"G04046000","2015","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",471833,234998,14469,16066,15866,11314,6122,3511,3763,8941,22243,16309,13040,15345,15053,12773,15237,3673,7069,4874,6410,8129,6660,4475,3656,236835,15036,15187,14725,8904,7137,3297,2295,10280,15227,15255,13196,14485,15007,14852,17223,6206,7021,6413,7699,9065,7373,5450,5502,"Mesa city, Arizona",63,3886,1912,2330,2049,1673,1166,1085,1029,1500,2392,2176,2088,1751,1778,1636,1837,809,1334,825,1097,1258,861,801,828,3887,1976,1981,2113,1368,1208,999,673,1554,1956,1892,2052,1690,1808,1782,1810,1032,1310,987,1289,1295,1188,954,907
"G04054050","2015","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",171242,80139,6442,6101,6583,3204,2153,448,1490,3249,5492,4857,3391,4752,3869,5459,6217,1563,3270,1737,2625,2462,2305,771,1699,91103,6073,8069,5825,3143,2077,657,1773,3084,5979,5552,5403,5219,5920,5654,5768,2724,3589,1747,1732,4469,2029,1314,3303,"Peoria city, Arizona",64,2205,1376,1348,1219,799,741,279,939,1079,1432,1155,897,891,775,1101,1170,474,770,462,809,555,643,282,525,2215,1371,1531,1200,884,929,508,934,982,1380,1159,1188,968,1177,1206,1074,715,692,552,495,953,588,486,822
"G04055000","2015","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",1563001,786833,60464,60456,61339,33349,20386,12826,10979,36299,60256,63952,58340,54952,50061,50136,43551,15445,23307,10765,15295,18028,13187,6415,7045,776168,52735,55631,53673,33086,18632,10956,10666,35878,60806,59150,60799,49435,51014,49469,44870,16690,21515,15247,16453,20572,16406,9926,12559,"Phoenix city, Arizona",125,5941,3167,3389,3274,2077,1913,2186,1857,3133,3415,3164,3386,3437,2508,2593,2796,1838,2330,1448,1705,1832,1507,1065,1334,5944,2544,3296,3332,2271,1870,1988,1697,2805,3191,2734,2856,3438,2995,2634,3061,2151,1836,2048,1928,1885,1659,1359,1833
"G04064210","2015","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",82797,40429,3562,3840,4615,1282,1680,112,701,1968,2785,1831,3085,2528,3631,2570,1418,575,774,536,723,1480,556,177,0,42368,3715,4217,4290,2551,487,570,363,1142,2900,2760,3576,3051,2397,1610,2373,599,799,1461,735,1391,627,354,400,"San Tan Valley CDP, Arizona",7215,3980,961,1111,1238,617,1120,187,638,1168,988,711,1415,1073,937,827,894,431,478,332,458,711,422,209,201,4215,1028,1317,1264,861,553,472,449,962,853,918,1074,1244,952,770,1020,579,383,681,567,642,354,312,546
"G04065000","2015","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",236844,115712,4127,4047,6346,3656,1891,804,988,4421,10061,7637,7206,6195,8434,8752,8001,2545,4756,3217,4695,7015,5927,2710,2281,121132,3881,6558,4669,3176,1081,890,783,4895,8022,6344,6236,7781,8499,10623,9461,2377,4523,4689,4750,8275,5962,3676,3981,"Scottsdale city, Arizona",39,3352,1070,1124,1502,1040,952,416,662,1526,2609,1595,1448,1251,1433,1235,1482,719,1091,699,1034,1355,1319,646,704,3350,1265,1658,1308,896,455,576,400,1416,1500,1334,1520,1207,1476,1722,1493,555,957,1035,1179,1251,1129,839,844
