GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ACJ9E001,ACJ9E002,ACJ9E003,ACJ9E004,ACJ9E005,ACJ9E006,ACJ9E007,ACJ9E008,ACJ9E009,ACJ9E010,ACJ9E011,ACJ9E012,ACJ9E013,ACJ9E014,ACJ9E015,ACJ9E016,ACJ9E017,ACJ9E018,ACJ9E019,ACJ9E020,ACJ9E021,ACJ9E022,ACJ9E023,ACJ9E024,ACJ9E025,ACJ9E026,ACJ9E027,ACJ9E028,ACJ9E029,ACJ9E030,ACJ9E031,ACJ9E032,ACJ9E033,ACJ9E034,ACJ9E035,ACJ9E036,ACJ9E037,ACJ9E038,ACJ9E039,ACJ9E040,ACJ9E041,ACJ9E042,ACJ9E043,ACJ9E044,ACJ9E045,ACJ9E046,ACJ9E047,ACJ9E048,ACJ9E049,NAME_M,ACJ9M001,ACJ9M002,ACJ9M003,ACJ9M004,ACJ9M005,ACJ9M006,ACJ9M007,ACJ9M008,ACJ9M009,ACJ9M010,ACJ9M011,ACJ9M012,ACJ9M013,ACJ9M014,ACJ9M015,ACJ9M016,ACJ9M017,ACJ9M018,ACJ9M019,ACJ9M020,ACJ9M021,ACJ9M022,ACJ9M023,ACJ9M024,ACJ9M025,ACJ9M026,ACJ9M027,ACJ9M028,ACJ9M029,ACJ9M030,ACJ9M031,ACJ9M032,ACJ9M033,ACJ9M034,ACJ9M035,ACJ9M036,ACJ9M037,ACJ9M038,ACJ9M039,ACJ9M040,ACJ9M041,ACJ9M042,ACJ9M043,ACJ9M044,ACJ9M045,ACJ9M046,ACJ9M047,ACJ9M048,ACJ9M049
"G08004000","2015","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",358870,177899,13974,14037,12817,6995,4392,990,2908,9234,14067,14517,12425,13647,12143,11534,10053,2917,5092,2820,3107,4491,2531,2084,1124,180971,12304,12267,12700,7522,3945,3156,2238,7763,13490,15318,12104,12228,12473,12760,8916,4791,5919,3129,3835,5768,3572,2246,2527,"Aurora city, Colorado",55,3291,1315,1621,1529,847,724,433,868,1341,1247,1550,1627,1418,1238,1203,1257,740,1085,692,573,710,550,573,451,3297,1268,1659,1459,917,747,1008,893,1593,1282,1277,1632,1476,933,1080,1146,984,982,632,813,915,733,582,665
"G08007850","2015","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",107342,56342,1160,2452,1824,1488,5219,2311,3906,7025,5223,3281,3283,2841,3456,2629,2417,758,1610,409,1400,1402,769,695,784,51000,895,1772,2064,671,4935,2002,1959,6070,4332,3112,3100,3591,2613,2601,1766,744,1273,828,1714,1584,959,812,1603,"Boulder city, Colorado",32,1646,449,592,528,566,897,1008,1705,2069,806,727,858,817,819,542,605,339,562,271,536,603,326,395,426,1650,367,674,789,334,894,709,977,1199,713,612,777,827,611,570,460,433,443,368,599,740,434,386,563
"G08009280","2015","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"16000US0809280","Broomfield city, Colorado",65065,31755,1792,2576,1664,1455,752,223,252,1070,2754,2870,2861,2161,2198,1954,2314,699,565,536,959,740,649,527,184,33310,2056,2809,2189,1312,428,58,167,1303,2296,2504,2720,1812,2632,2532,2652,549,818,793,397,1404,768,608,503,"Broomfield city, Colorado",0,841,316,518,469,344,371,216,234,414,594,425,455,524,228,191,384,281,238,311,353,288,213,226,125,841,336,654,621,265,249,73,164,341,374,466,473,454,314,383,421,327,334,275,211,333,219,266,250
"G08012815","2015","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",109726,53222,2646,2607,4119,2531,1561,308,112,2166,3721,2583,3279,3893,3536,3718,4302,2238,2079,1636,1349,2015,1551,642,630,56504,3397,2719,3957,2492,1100,431,349,2189,2747,3327,2834,4077,4128,3579,4577,2003,2660,1544,2196,2129,1370,1156,1543,"Centennial city, Colorado",73,2063,670,670,773,587,623,225,122,833,1153,727,886,699,614,573,791,636,626,569,471,591,449,267,409,2073,971,603,820,636,527,351,273,893,813,856,691,780,776,630,866,604,564,519,608,530,497,514,484
"G08016000","2015","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",456562,225544,16920,15373,14431,8829,6338,2459,3385,12864,20193,17892,15049,13693,12110,13560,13955,4941,7438,4166,5610,6213,4020,3216,2889,231018,13881,14120,15057,9310,6245,2502,3818,11204,18149,17055,15052,14473,11885,15641,13845,5966,8214,4909,7054,8068,5665,5660,3245,"Colorado Springs city, Colorado",48,2613,1279,1803,1608,702,1079,732,1289,1955,1395,1166,1702,1705,1070,1149,1392,926,1081,772,880,886,781,719,636,2613,1453,1843,2085,947,694,882,1263,1516,1384,1070,1704,1695,1026,1038,1424,893,1131,816,992,1159,814,1020,758
"G08020000","2015","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",682545,341137,23259,20743,17822,9008,6737,3699,4058,13941,39532,38192,29214,26906,21891,19379,17555,7099,9265,5739,7169,8006,5117,3316,3490,341408,22242,20972,17699,8927,7354,2880,3487,15884,38820,36162,28847,21743,19334,18163,15977,8879,11303,6380,8654,8980,6475,5730,6516,"Denver city, Colorado",0,595,263,1730,1738,347,755,1106,881,1393,317,195,2149,2093,145,214,1524,1379,1295,1067,1017,1093,784,536,624,595,206,1520,1554,449,739,992,1005,1289,312,227,1614,1608,161,250,1465,1410,1484,1092,1124,1212,848,852,953
"G08027425","2015","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",161181,80893,3452,4486,3920,2182,3448,2956,3976,7833,8898,6036,5941,4806,3706,3616,5005,1709,2213,1194,1434,1551,859,618,1054,80288,5297,4009,3598,2556,4520,2195,3700,7203,7466,5503,5916,3001,3850,4555,3748,1901,1854,1430,1118,2245,1070,2024,1529,"Fort Collins city, Colorado",32,2029,722,1008,830,608,660,1199,1419,1360,911,841,924,795,745,697,838,536,587,473,466,489,366,338,490,2026,983,944,827,619,840,685,1467,1446,827,728,1059,692,663,669,647,618,597,580,405,571,365,494,552
"G08032155","2015","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",100883,50792,2624,4767,3157,2952,2337,1104,1694,3023,3111,3734,4579,2370,2464,2548,2104,880,1415,874,1941,1294,944,312,564,50091,3675,3308,3781,2506,2566,1118,1741,2341,3143,2607,3279,2491,2866,2209,2766,825,1818,1011,1297,1505,1045,979,1214,"Greeley city, Colorado",34,1633,627,1022,924,604,607,519,746,740,871,645,1095,680,638,760,571,406,474,311,529,425,367,239,297,1642,1002,903,937,519,674,750,766,709,701,687,729,732,640,522,702,311,506,344,413,551,352,379,366
"G08036410","2015","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",102467,49186,2507,3879,5572,2611,1128,563,730,960,2169,1643,3492,4359,5089,4078,3480,1310,1369,609,1257,721,682,683,295,53281,2945,3798,4794,3293,1340,301,535,1694,1585,2495,3786,4906,5444,4425,2881,1151,1754,859,1053,1355,1158,915,814,"Highlands Ranch CDP, Colorado",4650,2661,676,836,870,703,503,336,531,496,768,618,813,930,834,662,870,553,471,285,434,346,333,302,174,2735,745,956,1030,801,531,280,405,747,487,624,788,836,840,793,712,406,454,449,358,491,492,455,255
"G08043000","2015","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",152589,76013,4691,3756,4325,2462,1382,1065,904,4226,7987,6030,5650,4143,4413,4299,6176,2045,2529,2113,1618,2052,1655,1312,1180,76576,3639,3521,4414,2916,1622,850,981,3780,5990,5486,4718,5082,3970,5329,5613,2324,2855,1592,2268,3363,1804,2024,2435,"Lakewood city, Colorado",51,2064,968,850,1027,626,544,576,539,1095,1288,979,1101,1008,998,888,1071,579,702,698,432,632,495,407,413,2069,875,925,845,673,377,518,513,934,908,950,1111,862,947,1041,890,598,691,502,614,648,576,686,742
"G08045970","2015","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",92221,43941,3389,3453,2565,2181,1124,325,495,1681,2440,3162,3438,3274,3213,2543,2686,1299,1548,833,1130,1462,675,396,629,48280,3497,3412,3672,1667,1142,650,587,1383,3041,2822,3238,2608,3078,3369,3910,1425,1517,816,1574,1360,1351,966,1195,"Longmont city, Colorado",265,1533,635,705,737,680,486,459,336,659,755,725,785,846,1130,592,656,427,470,351,425,405,323,223,397,1600,610,745,844,544,633,556,426,826,739,594,726,543,715,754,778,470,475,363,481,500,558,451,517
"G08046465","2015","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",75188,37042,2955,3339,2829,1491,893,256,383,753,2762,2640,2314,2759,1801,2142,1757,999,1123,1258,1469,974,1073,584,488,38146,1418,2489,2900,1466,782,657,414,1219,2415,3223,2055,2123,1520,2664,2761,1153,1442,781,1414,1813,1299,698,1440,"Loveland city, Colorado",40,1607,1014,873,916,665,493,262,329,532,1004,756,842,768,615,618,552,444,442,559,612,367,499,317,233,1609,691,838,861,594,629,461,392,513,684,772,889,694,459,504,782,476,499,508,531,677,474,374,575
"G08062000","2015","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",109419,55635,3348,3474,3956,2323,1709,739,747,2795,4067,4098,3301,3105,3805,3128,3696,1206,1677,1441,1965,1402,1586,868,1199,53784,3354,3629,2869,1889,1121,791,598,2433,4015,3347,2909,2918,2956,3422,3514,1095,2248,1792,1107,2557,1557,1853,1810,"Pueblo city, Colorado",31,943,433,769,823,446,352,403,431,636,568,426,691,651,448,403,721,396,571,451,550,440,537,397,413,940,481,727,847,422,332,613,390,694,376,411,705,629,532,527,628,345,567,567,384,549,435,447,499
"G08077290","2015","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",133459,65482,4662,6242,5048,3296,951,275,1736,2424,5056,5307,5159,5324,4272,3916,3875,1079,1700,664,1492,1602,485,620,297,67977,5701,5997,5852,2944,852,579,403,3034,5750,4250,5321,5626,4495,4143,3775,1232,1671,1371,1507,1977,476,340,681,"Thornton city, Colorado",56,2175,1243,1182,1144,788,382,210,974,896,929,968,997,1233,866,886,931,393,611,322,487,601,346,428,218,2173,942,1245,1470,740,501,482,364,996,1076,924,1094,1274,1016,856,940,579,651,581,473,688,273,269,342
"G08083835","2015","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",113117,54866,3574,2849,2734,1818,1757,403,536,2502,5398,3794,4597,4127,3136,3258,4398,1507,1821,873,1335,2282,839,820,508,58251,3698,4082,1873,1999,1075,810,628,2575,4204,4911,3649,3506,3350,3895,3832,2305,2713,1324,1799,1701,1316,1232,1774,"Westminster city, Colorado",59,1934,803,933,998,650,672,280,379,963,1190,839,1050,1121,766,896,951,555,548,491,420,663,407,401,287,1943,704,1130,621,682,472,464,394,851,993,882,916,952,825,767,863,761,692,547,668,440,552,458,658
"G09008000","2015","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",147619,71509,5624,4691,5474,2465,3351,778,1458,4136,5797,4482,5704,5420,3421,4878,4624,1291,1418,947,1405,1332,826,689,1298,76110,4838,4781,3653,3029,2103,1291,1025,4532,6266,5973,4762,4561,6051,5341,5677,1554,1893,1158,1069,1974,2180,1034,1365,"Bridgeport city, Connecticut",47,2565,1261,875,1140,620,1032,495,691,1023,1305,1037,1149,1178,849,905,1011,492,450,479,595,610,422,410,475,2564,1108,939,849,637,773,599,613,1077,1176,1130,1197,1079,979,916,1184,612,636,479,400,535,673,338,660
"G09018430","2015","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",84662,43435,1962,1978,2161,1188,1030,497,602,2335,4049,4748,3969,3352,3003,3000,1978,1413,1280,523,628,1461,1276,578,424,41227,3093,2414,1830,1064,1247,615,809,2111,2458,3161,2686,3499,2263,2432,2622,634,1572,620,829,2045,851,1277,1095,"Danbury city, Connecticut",27,2220,614,703,833,553,517,508,480,1296,1219,1092,1094,1118,901,1111,683,579,550,306,314,638,497,411,372,2224,920,908,752,454,662,564,646,930,803,1068,918,950,771,897,743,407,640,412,453,686,448,543,545
"G09037000","2015","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",124014,58042,4650,3158,3619,2246,2528,1402,1840,4327,5528,4391,3865,2837,3650,3129,3754,717,1542,457,1445,1211,946,376,424,65972,4252,4898,3846,2849,3265,1674,1134,4081,5381,4990,3887,4335,4084,3928,2917,958,1953,950,978,2468,1203,545,1396,"Hartford city, Connecticut",42,2268,890,774,1013,688,636,654,887,1024,1005,970,1015,851,656,825,883,370,712,219,615,407,481,275,305,2265,997,923,895,665,856,688,536,865,1067,956,1159,858,727,806,703,392,620,462,519,765,427,254,603
"G09050370","2015","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",72809,37350,2426,2928,3963,1440,1960,822,537,1401,2651,3470,2261,1638,2583,2072,1882,759,923,820,481,1067,446,76,744,35459,2148,1815,2483,860,1519,233,402,1615,2755,2862,2965,2397,2745,1515,2035,1074,1313,470,958,936,522,639,1198,"New Britain city, Connecticut",26,1717,791,928,1079,580,749,451,337,691,779,856,752,649,808,702,673,419,386,427,255,407,376,85,402,1719,789,666,742,399,520,183,389,636,753,821,747,793,772,496,513,461,512,307,422,399,333,396,503
"G09052000","2015","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",130310,63765,4389,5097,4300,3556,3369,1688,1075,4411,6730,7966,4835,2174,3271,2364,2307,703,1153,667,895,1192,425,744,454,66545,3495,4009,3208,1735,3784,2193,1390,3299,7682,6258,4065,4130,4737,3885,2552,1401,1508,1136,941,2115,1182,975,865,"New Haven city, Connecticut",55,2644,932,1002,948,1038,805,690,475,1062,1519,1321,1380,732,805,733,709,401,507,299,412,419,236,376,309,2648,888,1047,909,538,719,824,632,1085,1163,1053,987,955,957,807,756,719,644,438,388,648,460,423,368
"G09055990","2015","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",88483,40880,1472,1880,1946,1299,1251,379,389,2257,3456,2459,3002,2184,3645,4042,3997,1229,1053,887,1092,1227,1012,304,418,47603,2349,2944,2605,1896,1116,504,200,2415,2406,3304,2511,3184,2245,5162,4242,1352,1038,1009,1194,1429,1680,953,1865,"Norwalk city, Connecticut",30,1931,698,703,662,521,567,208,357,909,857,823,855,607,958,963,1024,514,466,446,428,571,381,178,242,1930,842,1036,795,672,577,433,218,995,806,923,860,837,594,998,884,682,421,429,407,441,645,418,667
"G09073000","2015","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",128877,64941,3489,4129,4850,3154,1304,1274,1025,3618,6184,6363,4049,3366,4710,3749,4282,1046,2323,1129,1181,1232,877,671,936,63936,3276,3993,2692,1557,940,874,634,2812,6064,5228,5382,5148,3683,4126,4169,1042,2447,1731,1795,1620,1337,1668,1718,"Stamford city, Connecticut",40,2480,1050,824,1213,805,513,751,692,1256,1128,1322,1092,885,1061,886,862,477,867,551,484,508,443,443,448,2480,925,1214,697,643,560,759,547,1320,1293,1231,1370,1321,795,825,1009,421,756,721,765,587,578,566,609
"G09080000","2015","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",108807,52235,4233,3784,3037,2497,1533,642,337,3330,4003,2999,3131,3972,3754,3493,2953,1159,1569,1181,872,1421,966,510,859,56572,2897,4232,3469,2345,1209,851,649,2178,4151,4085,3976,4156,4392,3732,3695,1224,1780,454,1025,1652,1500,1340,1580,"Waterbury city, Connecticut",42,2180,1028,1011,869,848,578,307,274,983,1029,854,955,1043,988,1008,867,491,597,621,424,517,393,241,491,2172,875,1119,903,756,568,568,468,710,856,985,954,974,978,806,918,608,644,257,396,612,596,464,478
"G10077580","2015","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",71957,32680,1716,2210,2622,1601,922,283,244,1283,3199,1816,3215,1585,2375,1707,2271,891,1319,756,504,1074,287,497,303,39277,2799,2725,2187,833,588,482,235,1579,3684,3349,2515,2602,2957,2071,3135,897,767,898,925,1361,1091,897,700,"Wilmington city, Delaware",40,1614,524,849,679,476,400,215,155,430,781,482,873,441,707,539,631,460,740,459,255,388,200,434,300,1615,719,797,544,448,325,392,202,754,991,712,805,987,775,624,737,390,389,706,406,460,446,374,381
"G11050000","2015","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",672228,319705,22126,16204,13429,8317,10034,6270,7050,13855,36112,35515,25775,22250,19418,19345,18900,6166,8168,3500,6188,9231,4795,3038,4019,352523,21104,16358,13061,7239,12935,5474,6194,19694,41909,38951,27301,21093,19534,19056,18864,7817,10119,6265,9103,9805,7516,5470,7661,"Washington city, District of Columbia",0,699,448,1357,1357,401,1340,1364,1954,1936,188,389,2093,2094,256,254,1420,1115,1247,716,985,1159,702,618,666,699,447,1348,1354,382,1397,1059,1394,1938,3,348,1732,1708,317,284,1529,1185,1280,928,943,1146,966,811,857
"G12000410","2015","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",85264,39504,2684,2667,2206,2382,467,759,501,2048,4039,2922,2749,3650,3194,1884,2048,598,940,313,826,1611,560,136,320,45760,4373,2467,2546,2446,249,1567,667,1636,3377,4565,3738,4493,1576,2747,1507,1055,1502,568,1324,1893,849,399,216,"Alafaya CDP, Florida",11178,5830,1524,1383,1096,1059,406,786,796,1280,1840,1346,1286,1358,1478,1076,1182,474,845,260,542,1214,549,221,327,6825,2097,1240,1635,1233,208,974,798,898,1537,2114,1586,1807,1160,1517,713,786,923,587,941,1245,557,392,346
"G12007300","2015","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",93226,44760,1146,1736,2463,1674,1553,332,942,858,2853,1979,3652,1617,3062,4039,4606,770,1652,1415,2227,2430,1967,1004,783,48466,1608,2368,2044,1748,1266,703,1724,2026,2927,1610,2760,2406,2452,4168,3793,1071,1391,1346,2338,3106,1748,2104,1759,"Boca Raton city, Florida",35,2160,623,622,861,585,599,328,659,445,1321,883,1544,521,797,1078,1222,325,592,567,710,663,751,397,430,2161,583,1063,736,607,624,710,1172,1088,1039,601,981,794,785,1058,855,544,481,512,770,878,575,824,607
"G12007875","2015","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",73972,33701,1891,2277,1104,618,516,136,674,876,1459,2527,3162,1442,2552,2951,1982,1280,1217,442,938,1742,1492,1288,1135,40271,2719,1850,1950,950,409,306,219,1057,3315,2308,2640,2125,2420,3041,2598,496,1321,1024,1671,2189,2055,1233,2375,"Boynton Beach city, Florida",37,1921,895,932,516,435,399,170,567,569,694,1173,1369,580,934,780,562,952,562,267,438,743,603,458,498,1923,945,774,805,462,419,413,348,523,1261,727,945,641,805,916,1109,365,554,490,579,643,595,458,675
"G12008150","2015","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",113968,55679,4165,3526,3057,1770,1633,915,1015,3394,5240,4829,3972,3225,2638,4133,3703,1091,1553,1105,1222,1428,952,574,539,58289,3450,3073,2969,1731,1040,860,675,2515,5151,3964,4418,4017,3370,4657,4143,1931,2288,1711,1546,1485,1128,735,1432,"Brandon CDP, Florida",8570,4688,1223,1152,1014,562,658,730,1145,1076,1410,1153,781,894,863,1139,760,539,636,401,510,555,520,313,331,4797,1300,998,920,674,476,515,360,972,1445,801,1135,1060,894,911,939,825,589,765,449,566,503,387,676
"G12010275","2015","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",175230,85626,4036,3901,6180,3267,1630,641,657,1815,4972,4973,4693,5738,6152,7371,4837,2769,4462,1859,4405,4287,3344,2420,1217,89604,2929,4055,4822,4431,2098,726,838,1902,6203,5122,5535,6528,6685,6598,5141,2856,4328,2488,3207,4665,3073,2138,3236,"Cape Coral city, Florida",31,3120,1126,1161,2008,855,757,478,504,674,1711,1348,1760,1565,1311,1370,1227,1072,1090,786,974,946,1023,1295,491,3115,897,1219,1224,1013,679,579,586,844,1649,1184,2276,1711,1425,1267,1083,938,1118,1067,949,971,1282,858,1227
"G12012875","2015","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",112979,55225,2213,2495,2333,2473,993,746,284,2410,4387,2891,3292,3568,3226,3648,4372,1462,2834,1371,2746,2671,1513,1618,1679,57754,3034,2520,2523,1464,461,724,420,2289,3024,3883,2542,3131,3982,4420,4631,1514,2305,2624,1723,3048,2726,1751,3015,"Clearwater city, Florida",92,2399,843,752,966,955,470,568,313,959,1153,899,1219,908,919,1122,1155,634,778,583,820,772,594,566,793,2405,1057,878,1045,586,287,443,503,852,794,1507,703,912,1010,1016,1089,583,783,901,430,729,723,601,993
"G12014400","2015","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",129502,63316,4085,4047,5618,3922,1990,879,1068,2044,4231,3730,4122,4673,5027,3681,5159,811,1938,1389,2125,1568,687,273,249,66186,4006,4474,4710,4637,1372,913,379,2079,3301,3693,4919,5594,4947,5924,4773,1361,2310,1193,1509,2170,1012,334,576,"Coral Springs city, Florida",64,2318,1383,1236,1215,956,779,514,791,903,1404,1157,1262,866,958,860,1134,370,725,558,620,763,415,242,229,2321,1128,1090,1191,1112,546,587,287,918,1237,1111,1120,1040,1031,974,1073,520,852,536,560,878,492,256,334
"G12016475","2015","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",100894,48754,1480,2950,2052,2495,1178,616,902,3102,3966,3602,2749,3187,3961,4448,3767,933,2071,980,1395,1021,985,232,682,52140,1512,3224,2116,2015,964,744,628,2331,4228,3538,3630,3616,5009,4572,3319,1499,2373,913,1151,1541,1009,1665,543,"Davie town, Florida",56,2648,785,1147,724,945,591,268,668,1036,1147,1521,1066,934,1208,1147,1152,474,748,537,505,513,453,177,346,2639,742,994,853,784,525,627,403,1114,1000,1350,939,1006,1378,1185,903,588,973,371,644,544,550,711,282
"G12016725","2015","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",79769,37155,974,1516,1587,979,1381,778,941,1871,2980,2302,3499,2456,2346,2297,2206,1203,727,630,1331,1454,1231,1046,1420,42614,1814,1913,2234,2117,92,774,346,1610,3556,2572,1716,3416,2515,2509,1937,1202,1772,752,2374,2385,928,1615,2465,"Deerfield Beach city, Florida",35,2141,550,626,700,433,600,781,709,824,950,895,1301,817,789,758,818,653,373,382,680,492,553,505,522,2135,835,874,984,809,147,646,389,729,881,1026,723,1011,813,996,686,550,663,376,774,732,418,679,763
"G12017100","2015","FL",,,"Florida","12",,,"Delray Beach city","17100",,,,,,,,,,,,,,,,"16000US1217100","Delray Beach city, Florida",66261,32219,1074,1368,1582,835,312,83,465,1794,2550,2370,1929,1969,1982,2049,2203,591,1042,803,1449,1645,1272,866,1986,34042,891,1048,1124,1006,349,308,553,1591,1539,2321,1861,1566,2001,2011,3327,831,1035,1178,1048,2088,2018,1853,2495,"Delray Beach city, Florida",31,1963,539,679,719,428,271,135,506,770,939,766,685,1232,681,653,826,370,455,374,533,620,521,445,608,1962,448,514,562,595,215,237,444,868,664,824,596,679,748,638,878,345,436,570,424,586,758,685,775
"G12017200","2015","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",88474,44853,3291,2131,4443,2001,880,857,189,1846,4056,2186,2345,2626,2360,3773,3790,458,791,932,1358,1499,1139,1087,815,43621,2093,2068,2380,1927,1254,508,806,1654,3161,1840,2370,2621,3706,2659,3509,1316,1821,845,1527,1971,1691,842,1052,"Deltona city, Florida",31,1677,995,753,1243,801,507,767,194,833,1165,773,801,938,692,882,842,252,498,415,592,513,430,567,378,1680,784,802,657,761,543,588,522,880,875,810,921,777,1015,663,1121,561,677,369,660,634,672,423,468
"G12024000","2015","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",178587,93948,7021,4543,4034,2996,848,1059,538,2539,7317,6329,5881,5575,7708,8272,7376,2443,4239,2214,2191,3984,2717,2341,1783,84639,6371,4274,3366,3007,1060,752,841,1688,6948,7046,5095,5503,5035,6108,6083,1779,4299,2451,3239,2855,1739,3081,2019,"Fort Lauderdale city, Florida",40,3494,1661,1303,1093,859,444,592,351,940,1764,1409,1292,1246,1877,1265,1377,800,1137,905,609,801,837,702,705,3501,1723,1259,1029,906,552,601,610,639,1449,1258,1151,1273,1102,1442,1297,605,1023,1095,1065,724,553,1040,659
"G12024125","2015","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",74015,36850,1919,1866,1531,733,783,372,648,2334,4171,4216,1382,2256,1727,2061,2416,540,2133,490,908,2399,1267,353,345,37165,2047,3144,2280,702,509,332,419,2194,2659,2836,1811,1537,1896,2722,1790,1104,1295,1096,1079,2210,1006,889,1608,"Fort Myers city, Florida",34,2096,834,723,588,576,300,294,384,805,1004,1291,669,1405,630,827,817,374,812,299,390,697,629,199,188,2095,824,1123,778,414,360,288,409,815,837,881,583,602,823,1013,577,500,665,602,418,802,392,500,720
"G12025175","2015","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",130133,60803,2381,3253,2076,980,6408,3328,2909,7226,7164,4525,3200,2730,1463,1990,2800,1517,1145,804,940,1679,1075,846,364,69330,3339,3011,1772,1537,9763,4911,4044,4170,6898,4164,2628,2518,3210,2743,3143,1567,1650,779,1502,1650,1590,1063,1678,"Gainesville city, Florida",30,1828,738,780,673,448,719,1146,1017,1344,980,829,831,1103,586,663,797,651,481,347,477,634,474,397,230,1831,756,831,710,438,1648,2166,1273,973,1024,943,751,761,710,699,671,665,610,410,591,794,502,391,641
