GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AGWME001,AGWME002,AGWME003,AGWME004,AGWME005,AGWME006,AGWME007,AGWME008,AGWME009,AGWME010,AGWME011,AGWME012,AGWME013,AGWME014,AGWME015,AGWME016,AGWME017,AGWME018,AGWME019,AGWME020,AGWME021,AGWME022,AGWME023,AGWME024,AGWME025,AGWME026,AGWME027,AGWME028,AGWME029,AGWME030,AGWME031,AGWME032,AGWME033,AGWME034,AGWME035,AGWME036,AGWME037,AGWME038,AGWME039,AGWME040,AGWME041,AGWME042,AGWME043,AGWME044,AGWME045,AGWME046,AGWME047,AGWME048,AGWME049,NAME_M,AGWMM001,AGWMM002,AGWMM003,AGWMM004,AGWMM005,AGWMM006,AGWMM007,AGWMM008,AGWMM009,AGWMM010,AGWMM011,AGWMM012,AGWMM013,AGWMM014,AGWMM015,AGWMM016,AGWMM017,AGWMM018,AGWMM019,AGWMM020,AGWMM021,AGWMM022,AGWMM023,AGWMM024,AGWMM025,AGWMM026,AGWMM027,AGWMM028,AGWMM029,AGWMM030,AGWMM031,AGWMM032,AGWMM033,AGWMM034,AGWMM035,AGWMM036,AGWMM037,AGWMM038,AGWMM039,AGWMM040,AGWMM041,AGWMM042,AGWMM043,AGWMM044,AGWMM045,AGWMM046,AGWMM047,AGWMM048,AGWMM049
"G04065000","2017","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",249947,126044,6907,5585,6375,5844,1548,672,741,3738,11521,8994,6548,6080,8098,8402,9527,3695,4605,3828,6208,6383,4818,3265,2662,123903,4868,5173,5916,3259,1484,519,1988,3809,10482,6383,6580,5978,8168,9460,10961,2978,7064,2615,6202,7849,5431,3219,3517,"Scottsdale city, Arizona",34,3075,2109,1364,1369,1789,578,552,401,1647,2590,1651,1469,1183,1618,1601,1470,925,1203,977,1219,1160,1173,774,869,3074,1401,1275,1212,866,571,315,1176,1090,2042,1550,1241,1499,1371,1519,1581,906,1395,737,1209,1510,1223,719,907
"G04071510","2017","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",134079,65014,3300,3478,3311,2528,936,1990,613,1903,2995,4095,3820,4372,5141,3854,3050,1249,1410,1463,2887,5333,3425,2559,1302,69065,2630,3402,4385,2330,1565,591,1024,1163,3529,4479,4571,5582,5584,4016,4027,1185,2109,2487,2761,4096,3579,2163,1807,"Surprise city, Arizona",38,2274,1000,1054,943,898,490,1337,404,657,1617,1253,1063,1019,1188,974,809,532,551,426,1163,1112,958,694,631,2277,1084,1362,931,756,651,643,721,597,1032,1409,1304,1282,1347,1031,1250,626,570,840,857,884,761,737,675
"G04073000","2017","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",185025,98600,5593,4110,3518,2475,7541,3543,3876,9505,11281,10799,5016,6371,4850,4306,3006,2225,2751,980,2191,1974,1140,720,829,86425,4623,2988,3416,2069,5174,3799,2580,6061,10615,7496,5633,3807,4051,3897,6091,973,2736,1406,3238,2388,1181,1242,961,"Tempe city, Arizona",60,3836,1601,1265,1325,903,2077,1201,1473,2206,2217,2232,1243,1803,1370,1131,820,1078,931,563,888,537,442,484,361,3830,1670,1047,1185,789,1212,1784,1133,1541,1926,1668,1283,1175,1252,873,1059,446,1009,657,869,750,456,482,450
"G04077000","2017","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",535676,267387,15225,17170,14792,9626,9997,7337,6099,18079,24002,18462,16317,15487,15478,15518,16824,5226,7590,4708,7039,8989,6324,2554,4544,268289,16317,15319,16139,9338,9626,8368,5674,15130,19800,16773,16843,12374,15139,15317,15959,6681,9482,5885,7246,10409,8999,4433,7038,"Tucson city, Arizona",56,3443,1720,1956,1760,929,1111,1740,1454,2482,1524,1368,1760,1664,1351,1388,1893,1024,1478,1047,1340,1251,994,727,913,3445,1705,1755,2113,1289,1648,2254,1691,1946,1471,1298,1940,1843,1295,1504,1485,1317,1246,1063,1267,1435,1147,967,1048
"G04085540","2017","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",95494,45733,4089,3526,2655,2111,702,779,1481,3512,2758,3760,2576,2965,2491,1799,2472,896,683,1219,988,1511,1457,403,900,49761,2859,2811,4859,2357,2323,866,403,1875,4575,3194,2206,2676,2749,2521,2272,1103,1757,1399,1413,1543,2189,864,947,"Yuma city, Arizona",40,1720,892,1237,1128,534,455,354,783,1114,909,1037,753,752,611,560,701,481,314,439,415,510,564,244,394,1713,961,797,951,624,817,461,461,767,782,683,620,803,696,745,674,444,559,499,559,509,626,476,435
"G05015190","2017","AR",,,"Arkansas","05",,,"Conway city","15190",,,,,,,,,,,,,,,,"16000US0515190","Conway city, Arkansas",65790,31392,2278,1951,1593,912,1642,1674,731,2112,3515,2206,1527,1635,1669,1958,1577,355,698,209,724,1287,435,230,474,34398,2455,2089,1515,1344,3525,901,814,2866,2651,2104,2276,1370,2512,2051,1450,427,694,255,765,648,574,408,704,"Conway city, Arkansas",33,1420,609,584,735,443,571,1225,577,1114,615,643,552,662,575,730,660,255,286,226,450,483,332,212,349,1421,531,710,592,482,955,553,569,1026,737,504,885,615,815,684,518,323,330,164,373,395,358,299,382
"G05023290","2017","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",85258,42397,3331,2166,1724,1195,3022,2299,2452,4121,3281,3474,4079,1450,1843,2014,1366,257,676,482,694,1092,505,237,637,42861,2806,2139,2529,802,4509,2365,1270,3441,3643,3461,2389,1985,1651,1604,2296,590,888,71,1035,1352,763,505,767,"Fayetteville city, Arkansas",27,1629,758,1065,637,586,783,1141,1443,1292,1052,839,1125,646,682,747,592,264,383,356,368,575,326,218,355,1631,798,747,1005,484,739,975,563,1208,891,1005,777,748,529,684,848,482,530,112,490,617,461,360,377
"G05024550","2017","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",88028,42258,2285,2775,2584,2210,1066,812,759,1830,2687,2913,2849,2741,3203,3238,2814,1069,1532,1294,815,1198,647,492,445,45770,3246,2707,2613,2119,1808,414,661,1806,2898,2623,2637,3084,2614,3145,2141,1765,2316,923,1109,1792,1785,791,773,"Fort Smith city, Arkansas",36,1683,772,946,679,626,461,490,462,804,920,852,877,729,800,761,818,624,540,498,380,456,361,275,333,1684,976,993,933,520,585,314,449,779,646,643,781,727,755,893,770,749,858,371,528,566,624,380,467
"G05035710","2017","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",75867,37259,2728,2357,3268,1649,1172,396,667,2341,3639,1392,3401,3001,1726,1761,1754,644,996,782,1210,727,877,322,449,38608,1918,2379,2120,1746,2371,766,885,1956,2389,2655,2920,2176,1809,2772,2258,1094,658,611,832,1414,1410,990,479,"Jonesboro city, Arkansas",20,1076,660,703,718,488,295,324,429,879,1086,738,1225,1226,448,410,673,526,510,442,572,403,370,307,329,1076,742,839,965,499,778,459,614,789,739,837,789,685,310,739,717,552,384,382,432,563,544,681,331
"G05041000","2017","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",198594,96529,7326,9372,7236,3037,2494,1704,367,3541,9113,5406,6120,7735,5316,5191,5420,2852,3004,1783,3010,2319,1390,1122,1671,102065,6534,7078,5849,3454,1401,1238,454,4313,9317,7086,7293,7025,6082,5682,7488,2586,3704,2107,2666,4135,2096,1443,3034,"Little Rock city, Arkansas",49,2686,1197,1672,1539,823,889,815,390,1357,1549,1148,1621,1643,1161,881,1015,890,848,626,915,570,396,435,698,2692,1334,1408,1325,758,614,503,417,1243,1590,1289,1379,1280,1154,999,1479,748,1016,593,751,904,630,504,755
"G05050450","2017","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",65920,31011,2998,2260,1325,1343,762,119,168,2756,2543,2595,1631,897,1861,1427,2249,322,1033,1123,1432,1028,741,0,398,34909,1226,1932,1925,1010,1108,233,898,2171,2981,3027,1674,2650,2089,1620,2953,869,524,1723,1068,1122,939,454,713,"North Little Rock city, Arkansas",35,2030,869,892,571,634,593,145,204,1223,1273,792,700,543,685,554,637,204,454,525,668,530,312,201,243,2028,623,891,821,545,509,274,672,951,1103,980,767,1039,821,623,937,470,342,686,473,473,472,219,292
"G05060410","2017","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"16000US0560410","Rogers city, Arkansas",66432,31572,2516,2528,3061,1315,1114,399,600,1141,2364,2010,2207,2393,2588,2401,1649,410,522,117,627,580,487,289,254,34860,2459,2324,3474,1485,702,574,468,1630,3216,3206,1656,2892,2913,2134,1377,370,647,261,473,1246,529,358,466,"Rogers city, Arkansas",25,1313,785,860,829,589,390,327,440,507,689,733,812,842,673,703,538,310,270,111,340,277,277,192,172,1311,840,741,882,484,503,384,308,573,1032,636,647,751,668,582,500,255,358,208,289,460,367,205,268
"G05066080","2017","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",82397,42023,3311,4666,4027,2845,1041,391,0,1431,3265,2215,3352,2740,3700,1673,1639,594,1503,1147,782,353,807,275,266,40374,2896,3259,3619,1504,348,89,813,2909,2677,1842,4057,2667,2939,1736,1777,766,941,1141,548,1870,897,474,605,"Springdale city, Arkansas",3967,2629,984,1303,1003,827,634,317,201,751,1026,637,1048,1109,1213,729,656,611,604,698,444,244,536,253,189,2812,967,847,1483,423,288,127,779,974,1043,913,1135,1120,1023,714,684,454,496,675,373,894,466,348,415
"G06000562","2017","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",79188,35603,1954,2269,2071,975,616,785,576,917,2515,3370,2818,2674,2046,2438,1118,1289,1616,1091,990,1713,761,247,754,43585,3889,2959,2013,1367,341,559,109,796,3886,2935,3560,3810,2535,2395,2074,1396,1380,1285,1325,1911,1372,734,954,"Alameda city, California",53,2057,738,680,774,487,371,481,380,380,812,1048,632,651,659,775,573,580,529,609,430,551,351,200,380,2055,1225,895,680,534,294,353,128,583,1254,869,867,1009,646,719,670,571,563,500,627,522,580,415,612
