GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,OILE001,OILE002,OILE003,OILE004,OILE005,OILE006,OILE007,OILE008,OILE009,OILE010,OILE011,OILE012,OILE013,OILE014,OILE015,OILE016,OILE017,OILE018,OILE019,OILE020,OILE021,OILE022,OILE023,OILE024,OILE025,OILE026,OILE027,OILE028,OILE029,OILE030,OILE031,OILE032,OILE033,OILE034,OILE035,OILE036,OILE037,OILE038,OILE039,OILE040,OILE041,OILE042,OILE043,OILE044,OILE045,OILE046,OILE047,OILE048,OILE049,NAME_M,OILM001,OILM002,OILM003,OILM004,OILM005,OILM006,OILM007,OILM008,OILM009,OILM010,OILM011,OILM012,OILM013,OILM014,OILM015,OILM016,OILM017,OILM018,OILM019,OILM020,OILM021,OILM022,OILM023,OILM024,OILM025,OILM026,OILM027,OILM028,OILM029,OILM030,OILM031,OILM032,OILM033,OILM034,OILM035,OILM036,OILM037,OILM038,OILM039,OILM040,OILM041,OILM042,OILM043,OILM044,OILM045,OILM046,OILM047,OILM048,OILM049
"G06086832","2012","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",66739,32185,1926,2212,2784,1509,173,469,561,1346,931,2152,1369,2092,2730,2603,2598,536,926,1263,1141,1138,857,499,370,34554,1445,2076,1817,1897,1113,176,342,1640,1362,2305,1661,2514,1961,4051,2727,916,1491,642,1263,831,912,389,1023,"Yorba Linda city, California",36,1268,602,712,919,498,161,325,313,683,410,841,544,680,760,620,709,302,364,427,523,476,351,254,220,1272,548,702,548,615,518,178,377,641,574,801,677,789,479,829,644,352,627,346,500,387,355,243,484
"G06086972","2012","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",65105,33191,2490,2395,2888,1755,1784,637,637,1458,2227,2134,1624,2502,1866,1879,2000,581,536,323,558,1057,540,609,711,31914,2171,2926,1259,1465,1679,236,617,1066,2296,2208,1938,2344,2068,2093,1643,709,812,409,856,1000,622,594,903,"Yuba City city, California",23,915,558,545,554,471,656,374,357,546,447,488,578,658,345,439,509,355,248,284,247,551,280,344,301,912,536,588,426,496,646,277,450,420,487,448,542,678,526,285,470,318,352,326,293,391,299,323,407
"G08003455","2012","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",109315,53305,2855,4063,3340,1862,1054,900,482,958,2382,3685,3787,3494,4597,4145,3634,2156,2039,956,1371,2058,1658,950,879,56010,2633,3734,3915,1798,1025,758,812,2092,2507,3307,3592,3636,4358,4425,3782,2592,1560,1300,1885,2118,1611,1319,1251,"Arvada city, Colorado",1194,1918,625,765,760,521,463,755,353,464,745,977,829,846,829,848,797,543,560,361,489,552,452,320,390,1916,632,839,1041,538,544,367,563,671,697,876,765,892,854,681,921,670,476,447,537,571,444,414,391
"G08004000","2012","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",338835,168352,12591,14874,11244,7213,4711,2622,1647,7355,14752,14157,10486,12855,10984,10749,9508,3624,4590,2393,3006,4027,2030,1544,1390,170483,12788,12903,12713,6237,4981,1826,1407,8118,12966,12208,12371,11901,11143,10194,10658,3945,4992,3467,3393,3587,3482,2587,2616,"Aurora city, Colorado",95,3088,1499,1727,1421,1032,738,790,626,1348,1958,1406,1414,1621,1181,1193,1162,821,795,719,637,1014,523,523,679,3085,1210,1734,1556,981,738,615,614,1055,1328,986,1385,1419,1115,1196,1227,886,951,707,623,731,703,669,640
"G08007850","2012","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",101812,50702,1650,1936,2474,1590,4105,2107,3002,5912,4723,4000,2540,2310,2890,2526,2668,1318,831,627,665,1169,979,386,294,51110,2292,2525,1585,1088,5469,2258,3514,4455,3681,3546,3027,2591,2727,2604,2134,1250,979,885,877,1026,841,698,1058,"Boulder city, Colorado",31,1723,537,664,646,571,801,932,962,1214,737,754,666,733,728,702,703,506,353,269,300,413,358,208,186,1723,667,828,597,387,938,924,920,1042,623,637,753,730,580,711,594,500,429,304,313,322,272,285,389
"G08012815","2012","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",103735,50819,2818,3652,4094,2849,1179,621,600,1302,2572,2355,3309,3397,3606,4976,3725,1646,1571,1132,1753,788,1333,684,857,52916,2634,3197,4052,3029,810,219,550,1034,2352,3304,2788,3868,4609,5349,3799,1876,1553,1596,1592,1401,1253,909,1142,"Centennial city, Colorado",49,1673,736,834,843,685,479,409,337,510,732,740,775,759,582,891,568,480,555,392,516,269,407,276,339,1668,782,693,836,737,418,158,357,394,637,756,598,812,892,796,656,462,458,503,454,489,433,392,554
"G08016000","2012","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",431846,214440,15878,13689,14496,8567,6722,4017,4285,11692,17785,15888,12935,13756,13906,15672,13617,3850,6269,3642,4547,4957,4144,2025,2101,217406,13336,14743,13678,9210,6312,4178,3820,9447,15198,15618,12504,14110,15540,16381,13534,4189,7123,4270,4418,7161,5165,3220,4251,"Colorado Springs city, Colorado",59,2318,1158,1682,1386,907,822,1083,1186,1869,1193,1070,1869,1686,1077,1278,1102,803,918,739,907,920,551,572,528,2325,1250,1792,1581,989,828,1079,1117,1425,1244,1038,1537,1430,1101,1129,1309,835,1073,979,786,1266,795,670,861
"G08020000","2012","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",634265,317233,23871,21600,15828,8790,6923,3434,3806,14393,35510,33255,24206,26390,20162,18507,17336,6243,8893,4439,5175,6876,4859,3574,3163,317032,22923,18778,17374,8694,7304,3715,3815,15032,35416,31374,22628,22117,17458,17962,17361,7223,9227,5029,7164,7806,6525,5459,6648,"Denver city, Colorado",0,573,66,1690,1751,450,627,1069,890,1121,530,165,2334,2161,626,328,1126,945,1014,857,711,875,686,547,581,573,150,1761,1716,634,375,954,1066,1368,120,254,1793,1813,501,378,1309,1083,1287,788,924,867,818,843,775
"G08027425","2012","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",148634,73287,4328,4709,3067,2439,3250,3293,3118,5626,7529,6424,4571,3450,4957,4936,3472,1451,1456,848,1134,1297,621,875,436,75347,4584,4063,3567,1693,4843,2878,3605,6082,5465,6283,4180,4327,4231,4500,4228,1723,1848,1358,1090,1409,1105,986,1299,"Fort Collins city, Colorado",73,1533,874,940,738,559,607,1473,1064,1767,872,990,937,707,780,899,721,573,470,338,397,438,219,317,234,1536,674,927,801,516,685,929,1083,1230,899,654,803,855,692,742,785,478,587,543,410,434,382,339,455
"G08032155","2012","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",95365,47098,3572,3162,3395,2030,1932,1301,1762,2385,4278,3024,2873,3316,2669,2545,2194,914,929,556,991,1370,846,597,457,48267,3759,3120,2569,1944,2859,1626,1394,3458,2123,3087,2889,2233,2434,2831,2873,1059,1372,665,1127,1708,1583,803,751,"Greeley city, Colorado",35,1533,942,823,775,535,464,934,727,873,850,670,895,833,739,708,614,375,332,302,432,442,312,281,297,1530,785,813,756,602,749,504,461,734,552,750,889,602,534,670,649,394,554,271,323,477,483,320,313
"G08036410","2012","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",101898,51276,3893,4656,4386,3197,1416,529,224,1199,2150,2968,4055,4685,4845,4175,2875,793,1347,1078,614,1015,414,400,362,50622,2825,4385,3664,2470,1058,429,540,1194,2562,2962,3624,4761,4776,4276,3292,1384,2256,1031,773,835,317,703,505,"Highlands Ranch CDP, Colorado",4745,2896,690,1135,946,770,474,317,202,449,760,665,850,825,729,789,508,466,483,502,254,422,224,235,164,2744,724,885,902,620,405,398,392,525,542,598,782,925,826,653,639,618,739,406,349,457,197,249,210
"G08043000","2012","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",145522,71927,4675,4588,3468,2425,1508,1658,1865,3476,6590,4619,5392,5121,4256,4546,4376,2431,2426,1279,1741,1735,1810,1037,905,73595,4078,4102,3630,2916,1252,580,1405,2943,5869,5137,4635,4666,5306,4905,5737,2623,2098,1235,2072,2236,1710,2508,1952,"Lakewood city, Colorado",38,2260,886,1011,871,569,603,679,1067,1024,974,930,1210,986,808,875,982,822,564,563,537,460,422,380,320,2265,851,872,1060,902,455,285,600,730,1056,1094,961,927,1087,875,912,768,594,471,636,548,564,511,491
"G08045970","2012","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",88636,47119,3689,3669,3391,1955,1828,843,535,3116,3432,3356,3719,3010,2965,2318,2683,645,906,1309,953,1227,652,674,244,41517,2972,1850,3198,1284,822,413,524,1293,2946,2915,3377,2795,2629,3437,2928,1374,1475,1001,651,945,848,706,1134,"Longmont city, Colorado",45,1368,726,767,785,549,839,614,479,1006,647,722,898,815,745,679,604,297,364,335,416,507,318,286,228,1372,655,704,889,312,545,320,428,586,765,599,878,722,685,704,805,504,500,436,296,404,299,344,504
"G08046465","2012","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",70214,34525,1955,2674,2513,924,1337,388,231,1498,2100,1654,3139,2132,2149,2083,2958,775,1956,564,736,1089,635,448,587,35689,1833,2248,3104,1407,649,194,186,1054,2096,1917,2657,1754,2466,2758,2893,682,1279,757,1093,1124,1412,1131,995,"Loveland city, Colorado",34,1353,714,987,670,384,580,360,264,758,744,647,754,724,702,655,825,394,713,350,292,445,370,241,287,1359,600,824,1160,529,510,205,297,598,722,554,835,716,749,732,616,368,460,476,393,411,593,534,438
"G08062000","2012","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",107775,51325,3866,3573,3119,1905,1602,878,679,2204,4030,3798,3083,2883,2737,3341,3835,1255,1354,864,1503,1479,1698,888,751,56450,3641,3187,4194,2048,1669,464,874,2527,3601,3688,2804,3368,2971,3670,4032,1048,2347,963,1850,1708,2074,1667,2055,"Pueblo city, Colorado",26,1229,614,708,646,386,293,435,420,593,446,370,740,749,524,530,686,394,619,301,385,423,382,331,285,1234,637,744,822,331,305,298,360,532,591,439,735,1036,454,439,606,394,621,348,461,445,495,508,473
"G08077290","2012","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",124131,61642,4278,6628,5388,3305,1263,1027,685,2681,4467,5397,4975,4410,4900,3517,2795,911,1360,789,1000,949,524,348,45,62489,5342,5202,4754,2725,1667,679,454,2983,4945,5788,4138,4350,4708,4447,2499,890,1765,998,1324,892,797,393,749,"Thornton city, Colorado",54,2139,894,1319,1101,828,539,722,493,1166,1110,1058,1109,968,868,725,744,422,455,399,467,342,387,238,70,2145,935,1159,1351,675,580,420,320,843,998,1193,947,1075,807,874,716,389,543,504,451,374,350,229,445
"G08083835","2012","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",109181,54269,3068,4372,3366,2065,972,310,829,1690,4314,4967,3247,3933,4435,5215,4448,811,1733,571,774,1074,721,870,484,54912,2807,2729,3477,2442,527,750,371,2231,4283,4359,3538,4440,4584,4455,4561,1292,1625,947,1327,1070,1233,910,954,"Westminster city, Colorado",58,1667,939,896,968,606,454,195,504,564,831,1053,773,900,922,1074,971,356,470,305,287,445,304,390,331,1668,806,761,845,797,278,445,324,725,871,1107,876,991,829,783,906,550,580,389,550,354,409,402,393
"G09008000","2012","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",146434,71262,5206,4866,4617,3019,2180,1628,1003,4685,6541,6333,5386,4403,4142,4035,3859,1655,1582,825,1005,1573,1036,575,1108,75172,4547,5250,5628,3441,2153,1653,1266,4347,5925,6044,4198,4887,5137,5050,4381,1451,1541,1237,1380,1824,1345,863,1624,"Bridgeport city, Connecticut",41,2396,934,1024,1015,657,592,720,507,1057,1426,1060,1338,1047,860,894,810,495,441,399,429,503,384,295,499,2395,956,1148,1155,708,701,598,532,912,927,932,952,876,909,889,859,509,451,480,559,541,389,433,511
"G09018430","2012","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",82783,41435,1937,2417,1432,1373,1893,131,1253,1288,4743,3550,3113,2426,3978,2724,3095,410,1366,918,546,873,730,551,688,41348,2202,1725,1583,1762,1763,640,606,1540,3711,3405,2295,3016,3173,2746,3095,717,1158,983,862,1407,722,1310,927,"Danbury city, Connecticut",87,2089,651,893,532,490,835,135,805,523,1307,1052,1049,707,925,852,787,300,479,442,323,427,373,266,332,2091,759,600,651,736,664,314,379,739,1054,961,809,897,787,838,835,355,419,416,329,556,354,580,393
"G09037000","2012","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",124887,61378,4514,4945,4199,1895,3402,1860,1582,4402,4728,5217,3783,3228,4009,3585,2908,1111,1298,1172,677,1088,850,324,601,63509,4163,3404,5140,3262,3911,1764,1125,3149,5306,4807,3621,3339,4321,3477,3876,1262,1592,971,1017,1098,1147,596,1161,"Hartford city, Connecticut",43,2028,977,1014,888,534,793,752,552,985,1206,1113,931,823,956,693,734,452,493,484,291,432,417,239,332,2035,849,780,1142,595,820,602,506,981,794,742,858,690,845,794,880,423,457,355,299,383,489,247,396
"G09050370","2012","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",73148,34040,2116,2798,2649,1042,1516,714,798,1413,3511,2304,1811,1591,2843,2107,1855,856,835,538,749,695,527,326,446,39108,2572,2755,2284,1942,1681,751,494,1865,2435,3116,2699,2332,2671,2831,2426,469,999,618,434,1020,627,1036,1051,"New Britain city, Connecticut",33,1827,652,820,1021,429,612,473,444,462,888,726,545,639,926,583,536,372,372,260,380,307,297,251,214,1834,663,772,845,590,586,456,319,797,730,704,833,781,824,723,729,333,397,349,215,423,297,365,396
"G09052000","2012","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",130749,62720,4306,3740,4309,2543,2660,2242,2226,3757,6768,6004,3056,4528,3097,2592,3330,585,1122,1114,734,1385,1293,630,699,68029,3823,3997,4678,2284,2540,1558,1456,3079,8148,6168,4416,4034,4465,3444,2952,1001,2279,1203,1175,1563,1878,612,1276,"New Haven city, Connecticut",47,2299,742,725,902,663,783,678,708,877,952,1192,763,975,580,662,925,289,446,486,319,489,666,382,327,2298,829,1049,1032,676,811,602,541,784,1085,1119,1081,909,993,710,716,357,780,485,425,496,663,345,421
"G09055990","2012","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",87196,43724,3202,3403,1581,1232,1102,327,977,1713,3073,3559,3039,3025,3387,2712,2880,1145,1228,1247,930,1494,763,1005,700,43472,2224,2215,2622,902,926,514,322,997,3419,3161,2571,3845,3245,3006,2976,1477,2271,806,1251,1438,1257,851,1176,"Norwalk city, Connecticut",37,1682,1097,990,615,591,523,300,608,680,775,909,1086,791,739,724,754,467,553,521,339,569,342,408,240,1677,798,782,911,478,556,494,271,582,1142,899,732,982,948,789,790,634,654,451,431,558,480,395,441
"G09073000","2012","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",125102,61575,5631,4519,4090,2245,1489,415,667,1338,5026,6192,6780,3958,3396,3672,3162,1353,1797,963,1093,1283,1374,672,460,63527,4598,3612,3018,1833,869,161,760,1723,5454,6377,6093,3651,4557,4788,3632,1071,1296,1367,1655,1780,2000,1555,1677,"Stamford city, Connecticut",44,2276,1116,1287,1085,632,755,302,427,487,1328,1350,1446,929,833,979,800,579,542,515,307,556,420,343,279,2281,1078,1141,1174,684,482,159,547,618,1087,1211,1181,874,1064,876,747,437,411,567,587,524,605,593,637
"G09080000","2012","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",109915,53857,4929,3186,4300,2171,1427,1037,678,2105,3151,3803,3586,3612,3708,4496,3009,1107,1820,583,1320,831,1463,623,912,56058,4077,3198,3754,2159,2191,985,900,2680,3795,4003,3892,3652,3332,3863,2901,1270,1549,958,993,1822,1449,650,1985,"Waterbury city, Connecticut",33,2061,950,822,911,613,572,613,325,822,962,804,990,994,668,1055,786,450,704,294,437,389,495,312,343,2061,902,760,964,700,627,451,526,727,882,851,926,901,725,702,849,517,527,428,324,631,513,305,607
"G10077580","2012","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",71289,32771,2650,2533,2503,1514,648,433,356,1458,3190,2498,1962,1792,2153,2091,1802,623,1277,299,595,1022,562,428,382,38518,2479,1858,2031,1414,1199,311,695,1659,3549,2935,3305,1777,2556,2527,2489,600,1315,739,999,1160,1104,734,1083,"Wilmington city, Delaware",31,1636,548,772,693,499,371,278,232,473,1034,785,674,597,588,708,582,283,525,200,345,367,326,253,213,1636,896,667,719,450,492,244,496,658,763,797,821,574,638,710,610,254,525,319,394,486,500,347,408
"G11050000","2012","DC",,,"District Of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",632323,299036,19889,15317,11832,7946,10100,5739,5384,17154,34059,30707,21816,21225,19092,18773,17297,5931,7730,4285,5198,8155,5277,3466,2664,333287,19113,15075,12042,8238,13531,6566,5753,19113,41099,33013,22711,19844,18826,18937,17514,7569,11487,5157,7723,9337,8164,5594,6881,"Washington city, District of Columbia",0,318,272,1429,1424,154,1337,1189,1165,1648,477,4,1782,1855,274,370,1201,946,1027,765,762,897,751,770,671,318,33,1240,1261,267,1532,1292,1019,1637,56,57,1548,1529,230,233,1244,1206,1224,863,1144,1086,1121,1006,955
"G12000410","2012","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",85334,41455,3485,4492,2524,1348,889,1200,902,2214,3861,3037,2199,3008,2819,3190,1091,978,1261,119,912,1323,140,0,463,43879,4707,2117,3414,1170,739,2943,1101,2442,4034,1890,3239,3507,1952,1836,2935,821,1261,1152,940,525,877,0,277,"Alafaya CDP, Florida",10976,5835,1273,1774,1497,1032,741,1368,734,1324,1595,1199,1259,1369,1046,1642,775,552,655,195,630,813,136,211,541,6359,2711,1129,1721,596,741,1876,1459,1256,1405,814,1304,1556,804,846,1225,790,773,642,767,455,915,211,342
"G12007300","2012","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",87848,43048,2064,2084,3180,1548,1996,692,252,2111,2462,1946,2090,2834,2800,3267,2663,1000,1876,1028,1163,1841,1319,1853,979,44800,1981,2611,1877,1982,2132,402,411,1670,2784,2010,2112,2869,2909,2799,3173,1885,1667,958,1510,1968,1345,1723,2022,"Boca Raton city, Florida",48,2193,776,785,944,593,599,503,236,931,1094,661,823,836,816,795,762,300,681,470,507,646,491,533,365,2202,752,840,580,697,796,263,279,567,1119,682,718,757,843,765,776,719,666,661,548,618,392,626,803
"G12007875","2012","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",70120,32918,1871,1659,2009,1565,780,640,0,1687,2731,1959,1329,2483,1736,2356,1994,290,991,983,361,1207,1749,832,1706,37202,1977,1832,1593,1393,1094,429,523,1777,3241,1291,2121,2321,2798,2075,2340,407,1226,478,876,1801,1698,1807,2104,"Boynton Beach city, Florida",77,1652,961,709,923,909,468,423,211,863,1069,641,940,891,628,788,667,257,472,504,217,528,756,343,737,1654,758,889,832,691,608,422,357,763,869,470,796,749,935,689,883,253,518,302,347,565,572,658,736
"G12008150","2012","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",101167,48682,3647,2633,2840,2680,1213,608,757,1706,4266,3424,3298,3961,3949,3848,3120,1084,882,730,1263,1149,681,405,538,52485,2939,2537,4117,2823,814,994,379,2122,4853,4506,3334,2950,4177,3775,3030,1409,1302,1205,1126,1238,1208,428,1219,"Brandon CDP, Florida",7001,3605,1039,1081,801,967,502,354,417,617,1116,1030,787,1018,871,876,796,464,385,464,526,465,378,318,427,4537,971,874,932,898,441,471,258,717,1297,1234,1020,891,1012,850,878,531,516,491,474,477,535,287,691
"G12010275","2012","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",161237,78778,5239,6264,5884,3210,2110,1464,310,2250,3819,3748,3050,5926,4834,6593,5880,1928,3353,1445,3109,3407,2071,1555,1329,82459,3997,4013,5783,2006,1352,1162,303,2019,5321,4497,5864,4883,5909,7962,5776,2261,3907,2524,2494,3644,2898,1603,2281,"Cape Coral city, Florida",52,2560,1700,1288,1293,1020,780,846,327,937,1007,1410,895,1355,953,1164,1393,629,983,625,948,830,631,490,431,2564,1021,936,1454,682,596,785,281,806,1174,1285,1599,1267,1255,1292,1112,752,1303,824,864,956,831,554,1021
"G12012875","2012","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",108732,51784,2965,3009,3482,1939,1168,936,633,1443,3498,2884,3350,2893,4155,3868,3073,953,1751,1166,1195,2771,1728,1224,1700,56948,3458,3067,2308,754,1055,995,252,1921,4050,3924,2314,3718,5327,3341,3573,1376,2440,1288,2210,2262,2100,1998,3217,"Clearwater city, Florida",36,2165,907,836,899,744,532,592,399,590,1228,966,952,944,953,1192,649,387,555,511,475,619,632,447,572,2174,1145,784,948,364,457,573,215,887,1170,1059,747,1008,1348,866,928,546,1054,459,831,674,545,693,1073
"G12014400","2012","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",125275,59216,4372,2989,4936,4260,2409,219,975,2016,3434,3073,3952,4120,5678,3529,5023,1413,1999,1537,1240,862,516,493,171,66059,3480,4353,5444,3165,2233,688,1292,2383,4456,4337,4332,5322,6072,4702,4286,989,2601,944,1122,1798,783,712,565,"Coral Springs city, Florida",55,3202,1038,915,1100,1109,826,190,777,738,1049,1072,1222,1123,1361,792,1038,633,679,667,535,334,325,357,166,3203,991,1149,1376,790,888,443,646,905,1134,1210,1019,1058,1179,1142,964,396,1022,441,512,584,418,317,338
"G12016475","2012","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",95492,45511,2697,2881,3206,2818,1617,1005,252,2455,3386,2261,2323,2924,3803,4357,3357,519,1256,395,1312,898,732,642,415,49981,2447,2594,2880,1230,2715,985,633,1377,2490,2828,2904,3568,4881,3185,4079,1000,2254,894,1457,2351,1380,987,862,"Davie town, Florida",33,2301,905,733,810,1091,755,839,242,1093,1220,742,843,1187,1003,1071,851,291,551,302,647,388,379,369,270,2299,865,768,961,597,886,435,378,611,815,727,924,1046,1019,826,1043,443,962,488,674,1050,860,501,367
"G12016725","2012","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",77426,36624,1821,2974,2071,1367,793,534,360,1284,2174,2707,2706,2294,1733,2956,2576,863,852,405,1220,1185,1253,1625,871,40802,1898,1268,2786,1274,191,387,150,843,2429,2789,3520,1548,2483,4150,2582,785,1331,601,1782,1943,2579,1301,2182,"Deerfield Beach city, Florida",53,2148,977,1311,774,724,535,413,307,716,974,1023,1178,1019,557,1128,838,491,365,243,636,565,420,791,384,2153,994,636,1128,614,160,402,159,504,1198,1004,1579,611,819,1284,762,357,538,304,824,607,888,499,625
"G12017200","2012","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",85436,41969,2653,1401,2917,1849,1347,1032,615,1311,2729,3052,2530,3267,3376,3250,2862,944,1137,1266,844,1145,1080,812,550,43467,2234,2937,3570,948,819,934,438,1879,2145,3228,3253,2779,3436,3250,2856,524,1295,1331,1081,1283,900,1372,975,"Deltona city, Florida",35,2007,777,764,995,547,725,634,427,547,1056,985,760,1049,791,913,761,547,551,668,433,429,513,401,318,2007,920,988,1012,439,449,693,356,783,814,799,1032,845,829,852,850,327,477,611,405,488,394,553,536
"G12024000","2012","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",170747,88017,4377,5342,2871,2612,2040,1846,696,3425,6676,6654,4428,6785,7256,8145,5536,2279,3022,1971,2538,3648,2038,1721,2111,82730,5272,5478,5276,3591,1565,549,686,2334,6934,4962,4959,5489,4977,6548,4784,3192,2818,2422,2604,2682,2124,1032,2452,"Fort Lauderdale city, Florida",34,2970,1477,1200,715,877,877,1017,446,1012,1614,1557,1069,1421,1243,1341,1224,688,918,700,712,946,685,660,820,2966,1389,1123,1526,807,592,421,383,909,1303,1279,1248,1420,1044,1182,1017,1107,762,808,1022,677,824,503,682
"G12024125","2012","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",65733,32714,1359,1936,1122,1341,869,477,298,1441,2752,1857,1973,2242,1952,2239,2501,791,1301,1364,1119,1623,600,793,764,33019,1716,1464,1067,1014,509,211,627,1252,2481,2112,1563,2365,2865,1830,1992,1752,1411,568,1267,1480,895,728,1850,"Fort Myers city, Florida",45,2061,591,1005,608,469,429,332,283,792,966,668,815,876,546,806,733,340,544,723,749,736,344,475,456,2063,607,733,496,516,327,229,447,561,774,814,762,759,811,540,693,800,522,333,668,553,348,439,654
"G12025175","2012","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",126038,61036,3967,1880,2411,1743,5330,4492,5872,6227,5356,4085,2751,2337,2126,2620,3209,1252,1683,421,698,883,1025,359,309,65002,2257,2398,1810,1500,7609,3912,6774,8338,5736,3130,1504,2427,2604,2895,3278,946,2100,828,1065,1259,917,534,1181,"Gainesville city, Florida",43,2260,873,797,884,448,1344,1746,1700,1666,1298,877,927,787,642,668,680,522,623,246,388,400,399,202,218,2260,860,691,700,471,887,1658,1782,1797,753,762,452,790,563,849,703,479,897,396,544,532,456,268,480
