GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHP5E001,AHP5E002,AHP5E003,AHP5E004,AHP5E005,AHP5E006,AHP5E007,AHP5E008,AHP5E009,AHP5E010,AHP5E011,AHP5E012,AHP5E013,AHP5E014,AHP5E015,AHP5E016,AHP5E017,AHP5E018,AHP5E019,AHP5E020,AHP5E021,AHP5E022,AHP5E023,AHP5E024,AHP5E025,AHP5E026,AHP5E027,NAME_M,AHP5M001,AHP5M002,AHP5M003,AHP5M004,AHP5M005,AHP5M006,AHP5M007,AHP5M008,AHP5M009,AHP5M010,AHP5M011,AHP5M012,AHP5M013,AHP5M014,AHP5M015,AHP5M016,AHP5M017,AHP5M018,AHP5M019,AHP5M020,AHP5M021,AHP5M022,AHP5M023,AHP5M024,AHP5M025,AHP5M026,AHP5M027
"G22040735","2017","LA",,,"Louisiana","22",,,"Lafayette city","40735",,,,,,,,,,,,,,,,"16000US2240735","Lafayette city, Louisiana",27350,238,73,0,107,272,32,155,504,191,63,235,1263,360,2245,2039,3231,3703,3307,3708,2330,1477,1306,253,74,0,184,"Lafayette city, Louisiana",2210,193,119,214,177,309,55,184,443,207,108,261,664,219,793,653,851,1213,974,1014,783,788,707,249,124,214,218
"G22041155","2017","LA",,,"Louisiana","22",,,"Lake Charles city","41155",,,,,,,,,,,,,,,,"16000US2241155","Lake Charles city, Louisiana",19437,174,36,220,55,0,86,0,310,985,245,743,1315,356,1968,1631,2335,1978,1838,987,2451,837,482,107,181,0,117,"Lake Charles city, Louisiana",1775,141,60,288,69,214,80,214,186,481,225,478,605,354,736,738,740,723,702,537,736,641,452,150,286,214,146
"G22050115","2017","LA",,,"Louisiana","22",,,"Metairie CDP","50115",,,,,,,,,,,,,,,,"16000US2250115","Metairie CDP, Louisiana",37554,114,42,0,109,71,190,0,145,333,367,441,212,340,1853,1918,4159,2994,7140,5516,5076,2481,2659,635,670,0,89,"Metairie CDP, Louisiana",2031,146,69,214,126,121,249,214,247,338,263,311,164,229,642,600,879,733,979,847,1097,815,777,386,302,214,126
"G22055000","2017","LA",,,"Louisiana","22",,,"New Orleans city","55000",,,,,,,,,,,,,,,,"16000US2255000","New Orleans city, Louisiana",72919,943,189,873,261,162,81,392,290,539,532,1199,1882,1502,5373,4964,8183,5112,7151,7288,7766,6491,6889,2258,1733,301,565,"New Orleans city, Louisiana",2065,345,142,347,171,175,69,287,195,260,238,429,606,456,926,836,1137,899,896,938,1042,909,841,570,412,226,230
"G22070000","2017","LA",,,"Louisiana","22",,,"Shreveport city","70000",,,,,,,,,,,,,,,,"16000US2270000","Shreveport city, Louisiana",36463,499,249,188,452,137,494,305,591,388,1367,2259,1589,1367,3365,4023,4508,2838,3824,2599,2506,1402,494,374,175,243,227,"Shreveport city, Louisiana",2535,261,235,233,451,125,329,220,267,250,536,789,794,516,844,1034,1060,872,1032,1006,826,860,275,272,141,253,187
"G23060545","2017","ME",,,"Maine","23",,,"Portland city","60545",,,,,,,,,,,,,,,,"16000US2360545","Portland city, Maine",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Portland city, Maine",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24004000","2017","MD",,,"Maryland","24",,,"Baltimore city","04000",,,,,,,,,,,,,,,,"16000US2404000","Baltimore city, Maryland",113940,965,608,713,721,664,911,986,2400,3050,4460,4727,4381,5780,14019,10544,11585,6503,12619,8817,8412,4228,4155,1402,667,223,400,"Baltimore city, Maryland",3949,405,374,388,339,346,481,359,690,724,1176,1152,955,1269,1658,1558,1550,1122,1455,1589,1375,992,789,417,354,217,223
"G24007125","2017","MD",,,"Maryland","24",,,"Bethesda CDP","07125",,,,,,,,,,,,,,,,"16000US2407125","Bethesda CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bethesda CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24019125","2017","MD",,,"Maryland","24",,,"Columbia CDP","19125",,,,,,,,,,,,,,,,"16000US2419125","Columbia CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24026000","2017","MD",,,"Maryland","24",,,"Ellicott City CDP","26000",,,,,,,,,,,,,,,,"16000US2426000","Ellicott City CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ellicott City CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24030325","2017","MD",,,"Maryland","24",,,"Frederick city","30325",,,,,,,,,,,,,,,,"16000US2430325","Frederick city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Frederick city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24031175","2017","MD",,,"Maryland","24",,,"Gaithersburg city","31175",,,,,,,,,,,,,,,,"16000US2431175","Gaithersburg city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gaithersburg city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24032025","2017","MD",,,"Maryland","24",,,"Germantown CDP","32025",,,,,,,,,,,,,,,,"16000US2432025","Germantown CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Germantown CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24032650","2017","MD",,,"Maryland","24",,,"Glen Burnie CDP","32650",,,,,,,,,,,,,,,,"16000US2432650","Glen Burnie CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Glen Burnie CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24067675","2017","MD",,,"Maryland","24",,,"Rockville city","67675",,,,,,,,,,,,,,,,"16000US2467675","Rockville city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rockville city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24072450","2017","MD",,,"Maryland","24",,,"Silver Spring CDP","72450",,,,,,,,,,,,,,,,"16000US2472450","Silver Spring CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Silver Spring CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24081175","2017","MD",,,"Maryland","24",,,"Waldorf CDP","81175",,,,,,,,,,,,,,,,"16000US2481175","Waldorf CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Waldorf CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25007000","2017","MA",,,"Massachusetts","25",,,"Boston city","07000",,,,,,,,,,,,,,,,"16000US2507000","Boston city, Massachusetts",94414,651,49,36,173,55,0,0,48,34,130,100,0,163,59,147,692,813,2560,4702,13786,18601,27136,11087,7130,2565,3697,"Boston city, Massachusetts",3750,378,83,60,203,94,210,210,78,56,157,119,210,135,101,172,341,458,914,1146,1651,1892,2389,1586,1168,768,884
"G25009000","2017","MA",,,"Massachusetts","25",,,"Brockton city","09000",,,,,,,,,,,,,,,,"16000US2509000","Brockton city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brockton city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25011000","2017","MA",,,"Massachusetts","25",,,"Cambridge city","11000",,,,,,,,,,,,,,,,"16000US2511000","Cambridge city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cambridge city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25023000","2017","MA",,,"Massachusetts","25",,,"Fall River city","23000",,,,,,,,,,,,,,,,"16000US2523000","Fall River city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fall River city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25024960","2017","MA",,,"Massachusetts","25",,,"Framingham CDP","24960",,,,,,,,,,,,,,,,"16000US2524960","Framingham CDP, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Framingham CDP, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25034550","2017","MA",,,"Massachusetts","25",,,"Lawrence city","34550",,,,,,,,,,,,,,,,"16000US2534550","Lawrence city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25037000","2017","MA",,,"Massachusetts","25",,,"Lowell city","37000",,,,,,,,,,,,,,,,"16000US2537000","Lowell city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lowell city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25037490","2017","MA",,,"Massachusetts","25",,,"Lynn city","37490",,,,,,,,,,,,,,,,"16000US2537490","Lynn city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lynn city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25045000","2017","MA",,,"Massachusetts","25",,,"New Bedford city","45000",,,,,,,,,,,,,,,,"16000US2545000","New Bedford city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Bedford city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25045560","2017","MA",,,"Massachusetts","25",,,"Newton city","45560",,,,,,,,,,,,,,,,"16000US2545560","Newton city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Newton city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25055745","2017","MA",,,"Massachusetts","25",,,"Quincy city","55745",,,,,,,,,,,,,,,,"16000US2555745","Quincy city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Quincy city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25062535","2017","MA",,,"Massachusetts","25",,,"Somerville city","62535",,,,,,,,,,,,,,,,"16000US2562535","Somerville city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Somerville city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25067000","2017","MA",,,"Massachusetts","25",,,"Springfield city","67000",,,,,,,,,,,,,,,,"16000US2567000","Springfield city, Massachusetts",25133,129,31,53,132,128,116,0,129,72,88,123,642,752,3617,5942,7085,1760,2610,569,638,129,208,55,125,0,0,"Springfield city, Massachusetts",2219,157,54,91,127,100,140,210,109,117,147,127,370,338,1128,1327,1296,666,854,288,401,143,158,95,151,210,210
"G25082000","2017","MA",,,"Massachusetts","25",,,"Worcester city","82000",,,,,,,,,,,,,,,,"16000US2582000","Worcester city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Worcester city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26003000","2017","MI",,,"Michigan","26",,,"Ann Arbor city","03000",,,,,,,,,,,,,,,,"16000US2603000","Ann Arbor city, Michigan",22283,123,51,69,0,90,0,72,0,54,163,87,187,70,581,931,1082,940,2646,2766,5254,3345,2397,896,337,46,96,"Ann Arbor city, Michigan",1580,98,85,112,170,108,170,118,170,90,203,103,124,81,330,556,419,428,603,739,884,621,528,314,201,76,119
"G26021000","2017","MI",,,"Michigan","26",,,"Dearborn city","21000",,,,,,,,,,,,,,,,"16000US2621000","Dearborn city, Michigan",19715,155,142,123,36,0,0,74,146,356,416,600,974,970,3120,3442,2961,1578,2140,1032,507,565,73,305,0,0,0,"Dearborn city, Michigan",1556,127,164,122,60,170,170,84,143,202,214,273,381,424,680,744,748,440,592,400,220,334,86,230,170,170,170
"G26022000","2017","MI",,,"Michigan","26",,,"Detroit city","22000",,,,,,,,,,,,,,,,"16000US2622000","Detroit city, Michigan",124096,6934,9924,6360,7098,5402,9107,4796,12218,10847,8421,7989,7287,3742,5945,2359,3789,1309,3786,1872,1856,1005,1564,181,149,29,127,"Detroit city, Michigan",4365,1170,1611,1119,1154,981,1511,1131,1441,1315,1430,1415,1376,718,1173,754,823,450,780,672,529,400,616,134,130,47,151
"G26027440","2017","MI",,,"Michigan","26",,,"Farmington Hills city","27440",,,,,,,,,,,,,,,,"16000US2627440","Farmington Hills city, Michigan",21175,131,0,108,0,121,64,0,195,194,68,154,251,624,794,1047,1141,1675,3588,3110,5755,1552,358,70,110,65,0,"Farmington Hills city, Michigan",1388,109,170,130,170,148,105,170,164,255,83,129,188,407,352,516,425,709,769,575,773,464,210,117,148,108,170
"G26029000","2017","MI",,,"Michigan","26",,,"Flint city","29000",,,,,,,,,,,,,,,,"16000US2629000","Flint city, Michigan",24552,3409,2454,2063,2854,3056,1441,810,1396,2135,1638,627,701,212,508,103,206,115,132,148,354,0,96,0,0,0,94,"Flint city, Michigan",1886,734,730,706,781,859,529,627,627,750,723,317,415,194,323,125,272,183,129,182,436,170,123,170,170,170,113
"G26034000","2017","MI",,,"Michigan","26",,,"Grand Rapids city","34000",,,,,,,,,,,,,,,,"16000US2634000","Grand Rapids city, Michigan",42147,154,24,46,276,87,263,167,747,989,1610,1733,2058,1363,5747,7560,6974,3290,4061,1741,1880,756,427,154,40,0,0,"Grand Rapids city, Michigan",2329,152,41,77,190,122,208,146,429,581,640,550,606,418,965,1317,1150,837,766,564,881,374,273,181,68,170,170
"G26042160","2017","MI",,,"Michigan","26",,,"Kalamazoo city","42160",,,,,,,,,,,,,,,,"16000US2642160","Kalamazoo city, Michigan",13765,267,36,203,59,76,138,113,1117,404,1395,723,1326,993,1534,1568,1348,604,577,427,231,377,169,0,44,0,36,"Kalamazoo city, Michigan",1177,330,58,193,58,96,171,148,440,276,588,302,580,351,466,524,487,262,250,226,173,205,141,170,71,170,58
"G26046000","2017","MI",,,"Michigan","26",,,"Lansing city","46000",,,,,,,,,,,,,,,,"16000US2646000","Lansing city, Michigan",23948,695,423,188,170,250,546,550,914,1795,2415,2569,2546,1808,4181,1670,1182,873,494,114,101,117,251,53,43,0,0,"Lansing city, Michigan",1386,451,298,197,149,177,333,276,338,617,722,668,629,601,870,582,396,384,275,133,118,147,251,86,73,170,170
"G26049000","2017","MI",,,"Michigan","26",,,"Livonia city","49000",,,,,,,,,,,,,,,,"16000US2649000","Livonia city, Michigan",31973,42,123,170,39,0,41,87,66,141,448,316,445,435,1542,2893,6488,4504,6193,4641,2820,394,58,0,45,0,42,"Livonia city, Michigan",1394,69,120,159,65,170,69,146,80,116,314,238,333,202,393,603,892,817,879,769,543,184,66,170,69,170,69
"G26069035","2017","MI",,,"Michigan","26",,,"Rochester Hills city","69035",,,,,,,,,,,,,,,,"16000US2669035","Rochester Hills city, Michigan",23536,381,111,113,24,47,52,50,51,72,465,0,173,73,910,583,1631,1549,2518,4198,6344,2693,1096,227,91,42,42,"Rochester Hills city, Michigan",1384,325,107,111,40,78,61,59,59,85,345,170,181,123,466,292,475,466,744,772,910,589,384,190,102,72,71
"G26074900","2017","MI",,,"Michigan","26",,,"Southfield city","74900",,,,,,,,,,,,,,,,"16000US2674900","Southfield city, Michigan",14360,174,253,177,59,153,0,42,193,355,280,544,675,599,1200,1694,2645,1515,1934,753,980,63,72,0,0,0,0,"Southfield city, Michigan",1249,148,203,277,71,148,170,48,137,173,248,285,366,305,434,610,561,596,586,372,472,76,85,170,170,170,170
"G26076460","2017","MI",,,"Michigan","26",,,"Sterling Heights city","76460",,,,,,,,,,,,,,,,"16000US2676460","Sterling Heights city, Michigan",35314,660,84,323,35,0,41,42,146,291,132,221,306,569,1796,2244,7474,6420,7038,3760,2519,811,211,0,87,62,42,"Sterling Heights city, Michigan",2048,268,98,257,57,170,70,70,184,341,141,167,253,386,615,543,1538,1171,1171,843,943,477,295,170,103,103,67
"G26080700","2017","MI",,,"Michigan","26",,,"Troy city","80700",,,,,,,,,,,,,,,,"16000US2680700","Troy city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Troy city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26084000","2017","MI",,,"Michigan","26",,,"Warren city","84000",,,,,,,,,,,,,,,,"16000US2684000","Warren city, Michigan",37339,539,366,524,188,308,737,245,1199,2001,2067,1595,1674,1836,5447,6784,7578,2206,1065,400,124,112,253,91,0,0,0,"Warren city, Michigan",2326,413,216,330,161,255,420,188,404,705,664,512,567,511,1050,1024,1106,582,339,218,121,176,193,107,170,170,170
"G26086000","2017","MI",,,"Michigan","26",,,"Westland city","86000",,,,,,,,,,,,,,,,"16000US2686000","Westland city, Michigan",21985,556,165,107,119,141,88,234,332,654,812,1188,1509,1411,4381,3710,3706,549,1542,351,400,0,30,0,0,0,0,"Westland city, Michigan",1667,316,146,124,139,134,103,171,249,314,382,398,501,430,1015,794,807,375,554,244,218,170,50,170,170,170,170
"G26088940","2017","MI",,,"Michigan","26",,,"Wyoming city","88940",,,,,,,,,,,,,,,,"16000US2688940","Wyoming city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wyoming city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27006616","2017","MN",,,"Minnesota","27",,,"Bloomington city","06616",,,,,,,,,,,,,,,,"16000US2706616","Bloomington city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bloomington city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27007966","2017","MN",,,"Minnesota","27",,,"Brooklyn Park city","07966",,,,,,,,,,,,,,,,"16000US2707966","Brooklyn Park city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brooklyn Park city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27017000","2017","MN",,,"Minnesota","27",,,"Duluth city","17000",,,,,,,,,,,,,,,,"16000US2717000","Duluth city, Minnesota",20671,100,106,25,169,28,180,0,93,208,271,774,883,927,2525,2553,2453,1872,2872,2120,989,712,576,106,105,0,24,"Duluth city, Minnesota",1283,108,119,40,144,46,137,153,80,167,173,309,344,406,596,658,624,541,591,586,341,243,263,105,91,153,41
"G27017288","2017","MN",,,"Minnesota","27",,,"Eagan city","17288",,,,,,,,,,,,,,,,"16000US2717288","Eagan city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eagan city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27040166","2017","MN",,,"Minnesota","27",,,"Maple Grove city","40166",,,,,,,,,,,,,,,,"16000US2740166","Maple Grove city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maple Grove city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27043000","2017","MN",,,"Minnesota","27",,,"Minneapolis city","43000",,,,,,,,,,,,,,,,"16000US2743000","Minneapolis city, Minnesota",83829,89,181,524,21,83,34,29,203,267,839,465,946,1013,3642,4339,7187,6932,15029,11311,14043,6663,6881,1342,1368,299,99,"Minneapolis city, Minnesota",2924,103,126,323,36,124,57,48,228,255,448,257,402,360,722,877,920,899,1591,1302,1413,996,1063,474,527,184,131
"G27051730","2017","MN",,,"Minnesota","27",,,"Plymouth city","51730",,,,,,,,,,,,,,,,"16000US2751730","Plymouth city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plymouth city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27054880","2017","MN",,,"Minnesota","27",,,"Rochester city","54880",,,,,,,,,,,,,,,,"16000US2754880","Rochester city, Minnesota",31637,172,208,43,101,167,58,41,94,0,143,524,416,291,1787,2216,4077,4098,5785,4070,4212,2135,484,269,146,60,40,"Rochester city, Minnesota",1343,203,224,71,176,162,95,69,112,153,136,358,307,216,652,659,894,918,980,954,881,503,230,209,138,95,67
"G27056896","2017","MN",,,"Minnesota","27",,,"St. Cloud city","56896",,,,,,,,,,,,,,,,"16000US2756896","St. Cloud city, Minnesota",14409,166,155,50,64,0,0,0,0,192,165,338,241,521,3037,1966,1682,2025,1183,1165,1010,101,348,0,0,0,0,"St. Cloud city, Minnesota",1140,145,164,82,109,153,153,153,153,177,164,218,169,313,836,649,572,642,564,516,523,119,266,153,153,153,153
"G27058000","2017","MN",,,"Minnesota","27",,,"St. Paul city","58000",,,,,,,,,,,,,,,,"16000US2758000","St. Paul city, Minnesota",54846,146,250,131,131,0,62,39,104,360,659,192,583,1056,2878,4051,8917,5791,9364,6053,7223,2648,2723,906,416,76,87,"St. Paul city, Minnesota",2518,191,194,110,171,153,79,68,115,209,346,150,241,454,652,742,1049,892,1248,1052,1062,480,558,393,220,127,103
"G27071428","2017","MN",,,"Minnesota","27",,,"Woodbury city","71428",,,,,,,,,,,,,,,,"16000US2771428","Woodbury city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Woodbury city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G28029700","2017","MS",,,"Mississippi","28",,,"Gulfport city","29700",,,,,,,,,,,,,,,,"16000US2829700","Gulfport city, Mississippi",14290,50,110,97,39,0,50,65,360,517,1050,1060,790,963,2026,1785,1402,759,1460,210,718,213,0,329,159,40,38,"Gulfport city, Mississippi",1502,79,141,125,68,217,86,86,269,250,443,528,360,491,659,623,545,413,842,149,389,250,217,345,199,68,62
"G28036000","2017","MS",,,"Mississippi","28",,,"Jackson city","36000",,,,,,,,,,,,,,,,"16000US2836000","Jackson city, Mississippi",30568,669,429,519,752,329,1161,356,2199,1695,2184,2365,1884,2183,3436,3059,1509,1726,1375,675,349,710,614,176,156,0,58,"Jackson city, Mississippi",1839,356,240,340,322,249,531,193,696,646,751,703,630,640,1077,893,636,676,593,390,248,532,319,166,166,217,71
"G29015670","2017","MO",,,"Missouri","29",,,"Columbia city","15670",,,,,,,,,,,,,,,,"16000US2915670","Columbia city, Missouri",22021,363,494,0,0,0,0,0,0,110,0,280,395,1105,1922,3150,2322,1803,2882,2049,3213,1165,613,134,21,0,0,"Columbia city, Missouri",2078,274,441,190,190,190,190,190,190,126,190,203,294,631,839,958,682,841,735,867,962,521,335,133,35,190,190
"G29035000","2017","MO",,,"Missouri","29",,,"Independence city","35000",,,,,,,,,,,,,,,,"16000US2935000","Independence city, Missouri",27056,211,81,391,39,38,266,139,497,568,1787,1704,2491,2977,4592,2798,2431,1507,2108,977,1082,184,103,0,85,0,0,"Independence city, Missouri",1931,203,95,443,65,62,192,144,264,287,607,569,614,811,960,698,845,564,566,424,437,125,126,190,101,190,190
"G29038000","2017","MO",,,"Missouri","29",,,"Kansas City city","38000",,,,,,,,,,,,,,,,"16000US2938000","Kansas City city, Missouri",110070,1187,1721,1044,2080,926,1460,1566,3078,3103,4203,3668,3826,3456,12182,10181,11716,7894,10619,7692,10508,2758,3030,1189,611,277,95,"Kansas City city, Missouri",3227,433,628,497,734,429,531,618,608,831,871,844,893,831,1759,1430,1256,1335,1498,1151,1360,611,623,493,294,188,120
"G29041348","2017","MO",,,"Missouri","29",,,"Lee's Summit city","41348",,,,,,,,,,,,,,,,"16000US2941348","Lee's Summit city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee's Summit city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G29054074","2017","MO",,,"Missouri","29",,,"O'Fallon city","54074",,,,,,,,,,,,,,,,"16000US2954074","O'Fallon city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,,"O'Fallon city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G29064082","2017","MO",,,"Missouri","29",,,"St. Charles city","64082",,,,,,,,,,,,,,,,"16000US2964082","St. Charles city, Missouri",17953,369,366,235,234,265,148,0,0,52,36,136,79,261,1315,2222,2827,1081,3551,2387,1356,667,327,0,39,0,0,"St. Charles city, Missouri",1601,398,389,233,229,234,172,190,190,63,59,135,99,187,391,508,704,359,666,734,380,313,253,190,65,190,190
"G29064550","2017","MO",,,"Missouri","29",,,"St. Joseph city","64550",,,,,,,,,,,,,,,,"16000US2964550","St. Joseph city, Missouri",17081,0,253,70,410,101,379,523,745,993,928,749,1242,1255,2558,1871,1310,1044,839,750,566,219,173,103,0,0,0,"St. Joseph city, Missouri",1247,190,236,95,329,127,254,407,426,486,359,328,523,511,720,604,436,402,326,351,269,189,166,157,190,190,190
"G29065000","2017","MO",,,"Missouri","29",,,"St. Louis city","65000",,,,,,,,,,,,,,,,"16000US2965000","St. Louis city, Missouri",60483,901,1038,899,713,755,1020,657,1721,3226,1936,2176,3110,1483,6842,5722,5544,3419,6704,3475,4297,2388,887,700,394,223,253,"St. Louis city, Missouri",2956,415,538,471,383,508,529,438,493,835,695,659,778,559,1316,1093,890,733,979,888,885,656,417,320,286,358,179
"G29070000","2017","MO",,,"Missouri","29",,,"Springfield city","70000",,,,,,,,,,,,,,,,"16000US2970000","Springfield city, Missouri",32127,598,203,273,36,438,281,285,781,996,1127,1442,2553,2034,5943,4299,3116,2223,1846,1321,1388,207,339,101,223,0,74,"Springfield city, Missouri",2052,268,224,243,62,278,199,241,350,415,354,446,833,608,1073,959,875,681,627,526,529,266,292,168,228,190,124
"G30006550","2017","MT",,,"Montana","30",,,"Billings city","06550",,,,,,,,,,,,,,,,"16000US3006550","Billings city, Montana",29576,246,81,88,376,97,70,99,0,88,0,364,293,364,1164,1653,3082,3005,7118,5164,3327,1560,749,359,158,0,71,"Billings city, Montana",1964,241,137,146,297,147,102,156,174,147,174,434,290,264,510,548,926,947,1261,1204,765,553,418,311,144,174,120
"G30050200","2017","MT",,,"Montana","30",,,"Missoula city","50200",,,,,,,,,,,,,,,,"16000US3050200","Missoula city, Montana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Missoula city, Montana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G31028000","2017","NE",,,"Nebraska","31",,,"Lincoln city","28000",,,,,,,,,,,,,,,,"16000US3128000","Lincoln city, Nebraska",65605,981,0,77,0,561,211,92,326,488,702,812,1302,1705,8133,9011,9863,6513,8292,7351,5352,1952,1256,274,253,98,0,"Lincoln city, Nebraska",2214,472,163,126,163,536,202,148,232,357,326,470,521,566,1431,1216,1632,1186,992,1145,805,514,335,180,164,134,163
"G31037000","2017","NE",,,"Nebraska","31",,,"Omaha city","37000",,,,,,,,,,,,,,,,"16000US3137000","Omaha city, Nebraska",104986,802,799,463,327,320,648,260,1066,1699,2287,3040,4669,4211,12266,15375,15099,7795,12481,7726,7369,3340,1994,478,303,34,135,"Omaha city, Nebraska",3000,356,346,233,238,183,382,178,374,595,512,802,1120,857,1527,1618,1465,972,1420,936,1010,751,557,288,175,57,130
"G32023770","2017","NV",,,"Nevada","32",,,"Enterprise CDP","23770",,,,,,,,,,,,,,,,"16000US3223770","Enterprise CDP, Nevada",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Enterprise CDP, Nevada",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G32031900","2017","NV",,,"Nevada","32",,,"Henderson city","31900",,,,,,,,,,,,,,,,"16000US3231900","Henderson city, Nevada",74794,333,160,50,213,193,0,0,252,0,595,377,209,649,1583,1993,2726,2355,11005,12502,19648,10178,6523,1357,910,166,817,"Henderson city, Nevada",2979,353,154,83,173,188,211,211,234,211,521,249,174,322,490,791,807,749,1811,1896,1715,1666,1011,459,448,184,317
"G32040000","2017","NV",,,"Nevada","32",,,"Las Vegas city","40000",,,,,,,,,,,,,,,,"16000US3240000","Las Vegas city, Nevada",121087,1263,272,263,95,237,255,0,146,891,544,773,943,1165,6024,5873,11654,9651,22524,18053,21368,8391,5906,2563,1188,570,475,"Las Vegas city, Nevada",4459,461,196,192,112,227,231,211,176,605,372,383,405,409,1127,1207,1708,1443,2304,2074,2198,1219,1071,851,504,235,291
