GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHP5E001,AHP5E002,AHP5E003,AHP5E004,AHP5E005,AHP5E006,AHP5E007,AHP5E008,AHP5E009,AHP5E010,AHP5E011,AHP5E012,AHP5E013,AHP5E014,AHP5E015,AHP5E016,AHP5E017,AHP5E018,AHP5E019,AHP5E020,AHP5E021,AHP5E022,AHP5E023,AHP5E024,AHP5E025,AHP5E026,AHP5E027,NAME_M,AHP5M001,AHP5M002,AHP5M003,AHP5M004,AHP5M005,AHP5M006,AHP5M007,AHP5M008,AHP5M009,AHP5M010,AHP5M011,AHP5M012,AHP5M013,AHP5M014,AHP5M015,AHP5M016,AHP5M017,AHP5M018,AHP5M019,AHP5M020,AHP5M021,AHP5M022,AHP5M023,AHP5M024,AHP5M025,AHP5M026,AHP5M027
"G04028380","2017","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04046000","2017","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",109202,2794,1695,2379,1568,901,871,583,1086,1307,965,1485,904,2049,3836,4393,7851,10782,18497,15944,18137,6042,3827,949,148,43,166,"Mesa city, Arizona",3956,743,604,671,562,366,333,364,394,439,364,495,332,767,752,835,1264,1571,2025,1878,1929,1008,867,352,153,72,164
"G04054050","2017","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",47377,348,115,730,515,60,152,210,390,184,80,436,246,234,955,2334,3500,5076,7300,7084,9002,4956,2848,344,179,99,0,"Peoria city, Arizona",2116,267,138,400,335,99,131,168,230,138,96,262,215,170,473,895,1037,1041,1096,1205,985,826,858,265,149,89,208
"G04055000","2017","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",313820,5233,1087,1435,1453,650,811,1056,1884,2413,3387,3747,3945,3729,17232,18759,34829,25256,48464,34882,47550,24747,20727,5911,2784,1200,649,"Phoenix city, Arizona",6602,1340,391,433,543,363,364,598,722,663,919,864,899,898,1824,1932,2251,2563,3161,2947,3314,2145,1718,1088,711,434,362
"G04064210","2017","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04065000","2017","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",72913,119,46,69,0,47,0,274,116,347,645,141,109,271,349,1382,1270,1457,3905,5345,11847,11894,16749,8232,5208,1469,1622,"Scottsdale city, Arizona",3590,117,75,114,208,80,208,266,142,268,514,167,191,220,244,597,466,504,902,1181,1741,1762,1865,1224,1161,611,519
"G04071510","2017","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04073000","2017","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",27608,291,382,360,243,143,242,48,70,167,38,0,218,225,1334,1352,2036,1009,3580,6115,5103,2033,1987,232,320,80,0,"Tempe city, Arizona",2542,188,277,397,250,168,204,79,116,159,64,208,173,194,490,692,761,541,829,1247,809,572,697,163,198,130,208
"G04077000","2017","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",108108,3521,1240,1504,974,1205,709,266,1390,2019,1836,2645,4092,4430,15303,12677,16211,9244,12500,7339,5038,1805,1461,531,126,0,42,"Tucson city, Arizona",3468,951,499,556,484,548,350,290,412,717,576,864,1159,1031,1737,1500,1955,1242,1591,1068,1026,597,475,431,121,208,72
"G04085540","2017","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",21725,658,241,47,320,294,389,143,519,373,867,539,865,611,2963,2764,3105,953,2418,2188,1103,94,83,67,71,0,50,"Yuma city, Arizona",1782,356,205,79,236,258,361,177,266,227,443,313,446,370,863,1108,887,415,712,1035,463,117,108,75,86,208,83
