GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,AN8XE001,AN8XE002,AN8XE003,AN8XE004,AN8XE005,AN8XE006,AN8XE007,AN8XE008,AN8XE009,AN8XE010,AN8XE011,AN8XE012,AN8XE013,AN8XE014,AN8XE015,AN8XE016,AN8XE017,AN8XE018,AN8XE019,AN8XE020,AN8XE021,AN8XE022,AN8XE023,AN8XE024,AN8XE025,AN8XE026,AN8XE027,NAME_M,AN8XM001,AN8XM002,AN8XM003,AN8XM004,AN8XM005,AN8XM006,AN8XM007,AN8XM008,AN8XM009,AN8XM010,AN8XM011,AN8XM012,AN8XM013,AN8XM014,AN8XM015,AN8XM016,AN8XM017,AN8XM018,AN8XM019,AN8XM020,AN8XM021,AN8XM022,AN8XM023,AN8XM024,AN8XM025,AN8XM026,AN8XM027
"G06083346","2021","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"1600000US0683346","0683346","Walnut Creek city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walnut Creek city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06084200","2021","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"1600000US0684200","0684200","West Covina city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Covina city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06084550","2021","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"1600000US0684550","0684550","Westminster city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Westminster city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06085292","2021","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"1600000US0685292","0685292","Whittier city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Whittier city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06086832","2021","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"1600000US0686832","0686832","Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06086972","2021","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"1600000US0686972","0686972","Yuba City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yuba City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08003455","2021","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"1600000US0803455","0803455","Arvada city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arvada city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08004000","2021","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"1600000US0804000","0804000","Aurora city, Colorado",89615,494,0,51,76,99,396,91,557,1025,142,534,171,338,447,385,883,1118,4847,6585,24044,22095,20070,3672,873,0,622,"Aurora city, Colorado",3753,425,211,84,126,124,371,114,300,593,138,470,219,292,261,200,479,608,1034,1283,2214,2124,2074,921,448,211,313
"G08007850","2021","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"1600000US0807850","0807850","Boulder city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boulder city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08009280","2021","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"1600000US0809280","0809280","Broomfield city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broomfield city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08012415","2021","CO",,,"Colorado","08",,,"Castle Rock town","12415",,,,,,,,,,,,,,,,"1600000US0812415","0812415","Castle Rock town, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Castle Rock town, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08012815","2021","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"1600000US0812815","0812815","Centennial city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Centennial city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08016000","2021","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"1600000US0816000","0816000","Colorado Springs city, Colorado",123398,1263,526,254,701,152,584,338,236,562,764,194,187,216,1181,847,995,1330,8297,12349,33949,26065,25482,4923,1217,175,611,"Colorado Springs city, Colorado",4068,634,453,196,498,154,315,257,145,367,566,248,150,240,558,425,381,560,1537,1639,2739,2377,2293,983,455,145,386
"G08020000","2021","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"1600000US0820000","0820000","Denver city, Colorado",164429,1376,242,0,500,299,350,296,203,300,179,37,71,0,1177,494,1309,944,5325,6783,26565,27903,47414,21751,11079,6587,3245,"Denver city, Colorado",4583,821,245,211,456,303,251,242,203,209,187,60,117,211,601,321,464,516,1292,1341,2831,3196,3774,2529,1684,1440,862
"G08027425","2021","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"1600000US0827425","0827425","Fort Collins city, Colorado",37255,675,145,88,119,0,176,201,330,32,0,252,0,0,138,120,173,210,642,1379,4442,11122,12876,2434,1277,255,169,"Fort Collins city, Colorado",2210,586,169,104,122,211,174,177,315,55,211,252,211,211,118,163,210,223,357,542,980,1484,1333,532,562,159,171
"G08031660","2021","CO",,,"Colorado","08",,,"Grand Junction city","31660",,,,,,,,,,,,,,,,"1600000US0831660","0831660","Grand Junction city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grand Junction city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08032155","2021","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"1600000US0832155","0832155","Greeley city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greeley city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08036410","2021","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"1600000US0836410","0836410","Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08043000","2021","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"1600000US0843000","0843000","Lakewood city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lakewood city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08045970","2021","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"1600000US0845970","0845970","Longmont city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Longmont city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08046465","2021","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"1600000US0846465","0846465","Loveland city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Loveland city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08062000","2021","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"1600000US0862000","0862000","Pueblo city, Colorado",29171,248,120,348,0,52,84,58,136,192,174,705,449,440,1942,1556,3537,3003,5314,3624,4028,2304,787,70,0,0,0,"Pueblo city, Colorado",1901,208,145,235,211,82,101,70,133,149,175,407,345,244,635,613,868,794,1070,1042,902,803,278,84,211,211,211
"G08077290","2021","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"1600000US0877290","0877290","Thornton city, Colorado",36980,219,133,0,155,402,53,38,412,128,158,530,362,302,200,244,449,209,757,914,7793,10231,12329,466,316,0,180,"Thornton city, Colorado",2231,198,217,211,244,421,91,64,328,150,225,501,351,249,185,331,299,192,576,413,1325,1805,1877,326,332,211,210
"G08083835","2021","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"1600000US0883835","0883835","Westminster city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Westminster city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09008000","2021","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"1600000US0908000","0908000","Bridgeport city, Connecticut",24938,235,92,335,678,273,345,120,423,188,225,551,348,532,1213,1585,1552,1926,4052,3900,4695,841,494,159,0,0,176,"Bridgeport city, Connecticut",2623,243,157,377,480,239,263,143,301,215,165,354,355,515,582,991,666,733,1295,1284,1066,552,458,192,217,217,218
"G09018430","2021","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"1600000US0918430","0918430","Danbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Danbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09037000","2021","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"1600000US0937000","0937000","Hartford city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hartford city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09050370","2021","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"1600000US0950370","0950370","New Britain city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Britain city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09052000","2021","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"1600000US0952000","0952000","New Haven city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Haven city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09055990","2021","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"1600000US0955990","0955990","Norwalk city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Norwalk city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09073000","2021","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"1600000US0973000","0973000","Stamford city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stamford city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09080000","2021","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"1600000US0980000","0980000","Waterbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Waterbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G10077580","2021","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"1600000US1077580","1077580","Wilmington city, Delaware",16579,226,0,84,62,46,88,0,338,275,708,642,1101,211,779,937,1965,782,2537,1598,2392,678,687,243,0,200,0,"Wilmington city, Delaware",1735,242,210,142,98,76,150,210,256,292,571,404,685,205,423,525,659,568,787,543,884,478,372,270,210,263,210
"G11050000","2021","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"1600000US1150000","1150000","Washington city, District of Columbia",132936,1069,152,0,130,117,0,161,398,111,106,34,208,135,1159,570,1388,340,2854,3265,12432,18459,34404,24959,19228,5994,5263,"Washington city, District of Columbia",4071,597,205,236,181,186,236,133,271,136,124,55,299,136,510,376,1121,365,1107,1094,2076,1981,2454,2570,1686,996,997
"G12000410","2021","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"1600000US1200410","1200410","Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12007300","2021","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"1600000US1207300","1207300","Boca Raton city, Florida",27835,135,29,0,131,0,83,265,0,28,0,210,87,40,357,1177,656,617,1221,1783,2599,3999,6885,2907,2360,850,1416,"Boca Raton city, Florida",2160,124,48,242,218,242,139,275,242,46,242,261,155,66,226,680,600,483,518,756,930,1112,1238,824,766,400,509
"G12007875","2021","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"1600000US1207875","1207875","Boynton Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boynton Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12008150","2021","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"1600000US1208150","1208150","Brandon CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brandon CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12010275","2021","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"1600000US1210275","1210275","Cape Coral city, Florida",61776,395,72,202,311,131,154,300,86,0,0,84,0,119,1157,1417,4219,3359,9387,11410,15515,5967,4883,1393,995,76,144,"Cape Coral city, Florida",3645,342,86,244,269,113,255,350,108,242,242,139,242,141,574,972,1318,1086,2233,2059,2378,1346,1048,580,462,126,145
"G12012875","2021","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"1600000US1212875","1212875","Clearwater city, Florida",29530,513,355,132,73,44,301,138,535,0,401,274,393,369,945,1199,1245,1235,3079,3685,6012,3631,3107,702,673,344,145,"Clearwater city, Florida",2087,319,404,164,115,82,289,144,444,242,462,210,259,311,465,542,510,613,796,1028,1108,925,675,321,424,325,169
"G12014400","2021","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"1600000US1214400","1214400","Coral Springs city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coral Springs city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12016475","2021","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"1600000US1216475","1216475","Davie town, Florida",25849,64,426,402,53,0,263,347,310,0,395,287,251,46,954,810,549,408,1704,1155,3486,4760,5223,1335,2258,214,149,"Davie town, Florida",1892,107,387,437,87,242,434,427,244,242,429,276,404,76,612,622,441,239,679,583,1007,1102,1553,567,813,180,181
"G12016525","2021","FL",,,"Florida","12",,,"Daytona Beach city","16525",,,,,,,,,,,,,,,,"1600000US1216525","1216525","Daytona Beach city, Florida",18023,129,142,32,92,121,0,0,76,620,28,1135,248,27,1336,1227,1589,960,3351,2311,2336,1062,1016,122,29,0,34,"Daytona Beach city, Florida",1881,172,134,54,79,92,242,242,131,480,44,817,178,47,463,541,631,373,967,759,622,595,472,162,48,242,57
"G12016725","2021","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"1600000US1216725","1216725","Deerfield Beach city, Florida",25052,654,324,372,179,264,0,250,226,420,622,972,260,504,1598,1227,840,1470,3509,2207,4471,1661,2178,123,186,0,535,"Deerfield Beach city, Florida",2481,654,519,488,219,359,242,303,227,515,483,576,237,370,1038,707,511,971,1281,1013,1469,706,778,153,238,242,367
"G12017100","2021","FL",,,"Florida","12",,,"Delray Beach city","17100",,,,,,,,,,,,,,,,"1600000US1217100","1217100","Delray Beach city, Florida",19949,157,0,114,0,0,0,0,109,85,46,116,126,128,720,934,1502,738,1331,903,4301,2306,3448,1040,598,468,779,"Delray Beach city, Florida",2006,153,242,191,242,242,242,242,129,97,76,203,153,150,383,598,744,456,585,435,1137,786,854,448,460,316,312
"G12017200","2021","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"1600000US1217200","1217200","Deltona city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deltona city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12017935","2021","FL",,,"Florida","12",,,"Doral city","17935",,,,,,,,,,,,,,,,"1600000US1217935","1217935","Doral city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Doral city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12024000","2021","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"1600000US1224000","1224000","Fort Lauderdale city, Florida",45636,644,274,0,54,206,73,0,44,98,243,485,47,30,813,256,1242,1616,4032,4255,8798,6348,6960,3326,2534,1485,1773,"Fort Lauderdale city, Florida",2906,356,320,242,87,190,122,242,72,112,378,438,78,51,402,206,484,755,1347,1192,1677,1606,1432,903,814,570,597
"G12024125","2021","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"1600000US1224125","1224125","Fort Myers city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fort Myers city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12025175","2021","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"1600000US1225175","1225175","Gainesville city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gainesville city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12030000","2021","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"1600000US1230000","1230000","Hialeah city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hialeah city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12032000","2021","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"1600000US1232000","1232000","Hollywood city, Florida",36410,372,0,99,131,296,504,175,216,98,265,166,221,459,2054,912,1507,1889,2870,4297,7480,5051,4776,979,564,403,626,"Hollywood city, Florida",2933,215,242,168,214,339,445,206,238,118,332,198,193,447,896,649,622,917,995,1054,1561,992,1222,398,311,310,371
"G12032275","2021","FL",,,"Florida","12",,,"Homestead city","32275",,,,,,,,,,,,,,,,"1600000US1232275","1232275","Homestead city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Homestead city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12032610","2021","FL",,,"Florida","12",,,"Horizon West CDP","32610",,,,,,,,,,,,,,,,"1600000US1232610","1232610","Horizon West CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Horizon West CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12035000","2021","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"1600000US1235000","1235000","Jacksonville city, Florida",226429,3075,1095,1418,1235,1207,1169,404,1662,2184,2529,3615,4534,3724,9827,12666,22630,13006,34522,31000,40138,16278,12736,3725,890,724,436,"Jacksonville city, Florida",5690,1372,753,671,857,664,518,331,701,999,829,1569,1307,1325,1885,2370,2938,2336,3494,3906,3813,2665,1897,1244,460,434,246
"G12036100","2021","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"1600000US1236100","1236100","Kendall CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kendall CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12036950","2021","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"1600000US1236950","1236950","Kissimmee city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kissimmee city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12038250","2021","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"1600000US1238250","1238250","Lakeland city, Florida",25966,1345,259,837,280,482,279,316,265,532,118,81,601,393,1630,1603,2665,2776,4087,2220,2350,1413,942,324,74,0,94,"Lakeland city, Florida",2280,655,187,444,261,292,243,280,192,329,147,101,389,273,825,673,881,996,788,556,643,790,429,176,88,242,155
"G12039425","2021","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"1600000US1239425","1239425","Largo city, Florida",22053,901,401,456,374,259,664,39,757,707,471,601,697,28,1097,785,1300,1424,1980,2967,3901,1232,683,24,173,0,132,"Largo city, Florida",2157,475,290,330,262,225,388,65,498,408,307,336,400,48,711,508,639,565,826,974,1038,654,458,40,175,242,163
"G12039550","2021","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"1600000US1239550","1239550","Lauderhill city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderhill city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12039925","2021","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"1600000US1239925","1239925","Lehigh Acres CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lehigh Acres CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12043975","2021","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"1600000US1243975","1243975","Melbourne city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Melbourne city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12045000","2021","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"1600000US1245000","1245000","Miami city, Florida",58463,1116,0,125,397,214,0,88,0,0,212,184,0,0,670,600,2323,1262,4213,3788,12918,9951,10378,4385,2901,844,1894,"Miami city, Florida",3832,691,242,146,361,179,242,164,242,242,312,223,242,242,419,384,951,584,1321,1037,1634,2246,1857,1118,881,477,689
"G12045025","2021","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"1600000US1245025","1245025","Miami Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miami Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12045060","2021","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"1600000US1245060","1245060","Miami Gardens city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miami Gardens city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12045975","2021","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"1600000US1245975","1245975","Miramar city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miramar city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12049675","2021","FL",,,"Florida","12",,,"North Port city","49675",,,,,,,,,,,,,,,,"1600000US1249675","1249675","North Port city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Port city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12053000","2021","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"1600000US1253000","1253000","Orlando city, Florida",49048,524,0,0,0,37,56,95,104,482,133,148,390,334,2097,2272,3437,3486,4918,3934,10480,5823,6196,2067,1291,574,170,"Orlando city, Florida",3336,531,242,242,242,63,96,158,137,574,220,143,316,259,893,875,902,1377,1352,1193,2197,1347,1549,898,681,600,208
"G12054000","2021","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"1600000US1254000","1254000","Palm Bay city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Palm Bay city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12054200","2021","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"1600000US1254200","1254200","Palm Coast city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Palm Coast city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12055775","2021","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"1600000US1255775","1255775","Pembroke Pines city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pembroke Pines city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12056825","2021","FL",,,"Florida","12",,,"Pine Hills CDP","56825",,,,,,,,,,,,,,,,"1600000US1256825","1256825","Pine Hills CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pine Hills CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12057425","2021","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"1600000US1257425","1257425","Plantation city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plantation city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12057900","2021","FL",,,"Florida","12",,,"Poinciana CDP","57900",,,,,,,,,,,,,,,,"1600000US1257900","1257900","Poinciana CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poinciana CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12058050","2021","FL",,,"Florida","12",,,"Pompano Beach city","58050",,,,,,,,,,,,,,,,"1600000US1258050","1258050","Pompano Beach city, Florida",27170,191,254,98,225,225,61,113,0,127,351,74,201,207,1169,2106,1615,667,2558,3136,5168,2480,4018,1340,497,289,0,"Pompano Beach city, Florida",2912,167,317,156,242,220,103,186,242,197,310,124,249,203,635,943,924,384,813,946,1459,846,949,576,414,226,242
"G12058350","2021","FL",,,"Florida","12",,,"Port Charlotte CDP","58350",,,,,,,,,,,,,,,,"1600000US1258350","1258350","Port Charlotte CDP, Florida",23660,44,134,420,83,52,0,72,116,35,167,295,304,645,1212,815,1964,2516,4298,4239,3210,996,1461,386,100,28,68,"Port Charlotte CDP, Florida",2109,73,166,266,103,91,242,120,199,57,197,401,244,639,722,553,605,878,1277,1101,996,546,612,234,99,47,111
"G12058715","2021","FL",,,"Florida","12",,,"Port St. Lucie city","58715",,,,,,,,,,,,,,,,"1600000US1258715","1258715","Port St. Lucie city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Port St. Lucie city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12060950","2021","FL",,,"Florida","12",,,"Riverview CDP","60950",,,,,,,,,,,,,,,,"1600000US1260950","1260950","Riverview CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Riverview CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12063000","2021","FL",,,"Florida","12",,,"St. Petersburg city","63000",,,,,,,,,,,,,,,,"1600000US1263000","1263000","St. Petersburg city, Florida",70149,533,89,437,443,322,335,200,461,601,473,579,1020,583,2106,2100,3161,3299,7181,9000,14151,7154,8192,4007,1783,920,1019,"St. Petersburg city, Florida",3162,355,106,267,311,249,256,152,382,547,300,445,556,350,666,725,887,968,1202,1314,1806,1252,1209,961,572,572,387
"G12068350","2021","FL",,,"Florida","12",,,"Spring Hill CDP","68350",,,,,,,,,,,,,,,,"1600000US1268350","1268350","Spring Hill CDP, Florida",37177,174,113,296,403,221,172,268,0,0,331,195,572,134,1455,1549,2812,4432,8843,5252,7504,1342,552,291,192,74,0,"Spring Hill CDP, Florida",2002,223,134,263,356,207,174,327,242,242,335,229,518,173,727,641,755,1281,1539,1271,1626,656,376,305,297,123,242
"G12069700","2021","FL",,,"Florida","12",,,"Sunrise city","69700",,,,,,,,,,,,,,,,"1600000US1269700","1269700","Sunrise city, Florida",23247,631,0,38,0,0,166,232,55,626,675,1225,143,225,629,312,944,594,1559,2553,8807,2849,840,68,76,0,0,"Sunrise city, Florida",2587,582,242,63,242,242,208,378,93,418,558,755,168,220,481,259,587,594,721,779,1739,879,714,114,124,242,242
