GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PGYE001,PGYE002,PGYE003,PGYE004,PGYE005,PGYE006,PGYE007,PGYE008,PGYE009,PGYE010,PGYE011,PGYE012,PGYE013,PGYE014,PGYE015,PGYE016,PGYE017,PGYE018,PGYE019,PGYE020,PGYE021,PGYE022,PGYE023,PGYE024,PGYE025,NAME_M,PGYM001,PGYM002,PGYM003,PGYM004,PGYM005,PGYM006,PGYM007,PGYM008,PGYM009,PGYM010,PGYM011,PGYM012,PGYM013,PGYM014,PGYM015,PGYM016,PGYM017,PGYM018,PGYM019,PGYM020,PGYM021,PGYM022,PGYM023,PGYM024,PGYM025
"G04012000","2012","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",53289,609,402,347,175,124,138,46,112,298,487,1083,994,1245,5493,4476,6961,3440,7489,6462,7728,2887,1837,208,248,"Chandler city, Arizona",2429,337,236,229,123,115,229,75,149,225,341,516,504,515,1055,851,1247,743,1097,1182,1414,746,544,146,158
"G04023620","2012","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,"Flagstaff city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,
"G04027400","2012","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",50499,76,82,89,134,81,0,39,71,184,116,203,270,1029,2419,5226,7543,5962,9286,6227,7523,2400,908,481,150,"Gilbert town, Arizona",2651,125,96,103,126,94,198,64,85,167,113,139,197,496,901,1127,1369,1098,1291,1122,1226,798,381,278,174
"G04027820","2012","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",44566,930,689,387,479,234,743,314,2194,1297,1190,2199,2616,2270,6797,4186,4212,2860,4021,3450,2345,668,407,0,78,"Glendale city, Arizona",2577,444,355,311,324,180,322,317,628,445,363,635,696,712,1154,1051,906,822,724,749,602,314,186,198,91
"G04028380","2012","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",16763,217,0,72,0,77,0,163,238,87,25,379,235,1108,1820,891,2976,705,2738,1794,2040,889,245,64,0,"Goodyear city, Arizona",2001,207,198,120,198,130,198,147,209,85,41,383,336,925,697,388,1133,303,799,560,613,434,192,107,198
"G04046000","2012","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",100935,3775,1689,2156,1884,1074,1099,1109,2593,2290,3397,3633,5963,3754,14257,10123,10422,6273,9674,6375,5419,1919,1183,294,580,"Mesa city, Arizona",3795,777,652,685,671,439,493,407,752,630,902,682,925,909,1697,1431,1212,849,1375,1203,1007,548,401,169,287
"G04054050","2012","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",39536,439,482,608,84,228,405,172,490,449,893,1357,2020,1267,4160,4157,4943,2817,4574,4379,3367,1434,431,145,235,"Peoria city, Arizona",2183,235,283,523,98,159,233,154,308,216,411,443,656,480,873,1130,923,728,852,1016,792,393,208,129,181
"G04055000","2012","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",276136,4413,2820,1998,1981,1297,5735,2876,8976,9938,13348,13752,14604,12067,30541,22152,23307,12950,25052,18740,24300,10592,8642,3212,2843,"Phoenix city, Arizona",6543,826,775,555,575,522,1054,751,1219,1188,1605,1590,1686,1758,2590,2139,1978,1339,2553,1871,1814,1479,1243,790,650
"G04064210","2012","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,"San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,
"G04065000","2012","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",66101,288,72,603,270,155,74,236,301,473,389,649,552,770,2580,4107,3042,2620,4514,6064,9587,9378,11560,4600,3217,"Scottsdale city, Arizona",3213,268,119,456,235,156,121,206,211,219,239,415,411,580,734,1322,939,697,952,1126,1475,1222,1283,1161,767
"G04071510","2012","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",31328,228,133,110,114,33,434,158,196,239,406,354,855,2582,3537,4231,4930,2467,4267,2457,1963,1126,425,41,42,"Surprise city, Arizona",2508,174,127,136,85,54,278,210,176,240,350,297,377,1167,821,1085,1484,744,1063,728,528,519,212,68,70
"G04073000","2012","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",27594,670,451,127,0,295,63,169,28,80,1146,729,470,415,3074,2154,4049,1948,3645,2789,3136,972,974,144,66,"Tempe city, Arizona",2066,377,282,148,198,262,104,202,47,132,636,585,274,247,961,652,1142,521,695,750,771,583,410,145,79
"G04077000","2012","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",100371,2878,1974,1092,1120,573,739,708,2248,4333,3473,5512,7177,5089,14191,11458,11688,7726,7870,3801,3469,1189,1386,230,447,"Tucson city, Arizona",3709,908,610,499,492,397,379,402,555,897,894,1180,1262,913,1577,1676,1568,1073,1313,854,713,548,469,217,218
"G04085540","2012","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",19278,530,205,178,276,151,292,59,493,806,1026,943,1866,736,3412,2281,2132,860,1395,598,545,80,221,193,0,"Yuma city, Arizona",1613,233,149,194,212,125,244,68,306,476,511,448,643,333,904,761,554,419,719,297,254,82,179,146,198
"G05023290","2012","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,"Fayetteville city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,
"G05024550","2012","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",18157,119,118,73,0,84,0,133,594,1164,1617,2137,1346,1029,2207,1559,1911,1543,805,642,690,178,208,0,0,"Fort Smith city, Arkansas",1614,122,131,88,184,89,184,156,419,475,814,732,579,512,840,505,556,675,356,294,260,158,260,184,184
"G05035710","2012","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",15729,128,288,347,0,68,119,593,117,174,378,1097,952,1268,1646,1956,1532,1231,1776,786,595,127,62,221,268,"Jonesboro city, Arkansas",1207,144,268,333,184,81,139,531,136,148,270,632,507,640,676,649,481,743,626,489,371,150,106,220,263
"G05041000","2012","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",44877,385,417,302,148,150,988,483,771,1737,2189,2109,2803,2136,4677,3547,3731,3643,4291,3129,3248,1677,1439,227,650,"Little Rock city, Arkansas",2716,330,285,269,155,122,735,240,304,596,721,764,887,678,1041,852,809,795,992,723,833,735,485,151,295
"G05066080","2012","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",12680,81,446,42,91,0,60,0,180,273,439,1006,1188,1166,1420,1257,718,1107,1211,643,638,35,262,0,417,"Springdale city, Arkansas",1421,125,402,69,110,184,96,184,184,228,361,626,568,621,554,513,402,541,584,413,439,59,327,184,250
"G06000562","2012","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06000884","2012","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06002000","2012","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",44315,152,86,45,132,120,193,71,459,113,265,367,140,167,428,412,323,1287,1631,4139,15012,8014,8182,1606,971,"Anaheim city, California",2706,199,101,74,137,116,182,81,365,135,214,353,176,217,289,241,205,636,584,862,1516,1279,1129,542,488
"G06002252","2012","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,,
