GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALLGE001,ALLGE002,ALLGE003,ALLGE004,ALLGE005,ALLGE006,ALLGE007,ALLGE008,ALLGE009,ALLGE010,ALLGE011,ALLGE012,ALLGE013,ALLGE014,ALLGE015,ALLGE016,ALLGE017,ALLGE018,ALLGE019,ALLGE020,ALLGE021,ALLGE022,ALLGE023,ALLGE024,ALLGE025,ALLGE026,ALLGE027,NAME_M,ALLGM001,ALLGM002,ALLGM003,ALLGM004,ALLGM005,ALLGM006,ALLGM007,ALLGM008,ALLGM009,ALLGM010,ALLGM011,ALLGM012,ALLGM013,ALLGM014,ALLGM015,ALLGM016,ALLGM017,ALLGM018,ALLGM019,ALLGM020,ALLGM021,ALLGM022,ALLGM023,ALLGM024,ALLGM025,ALLGM026,ALLGM027
"G04027820","2019","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",47146,1367,319,571,474,102,0,103,293,89,141,38,434,429,2488,2120,3234,3010,10173,7644,7602,3017,2695,494,109,0,200,"Glendale city, Arizona",2818,555,233,363,291,123,218,119,284,112,169,63,226,297,778,811,900,832,1616,1382,989,789,543,401,93,218,198
"G04028380","2019","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04046000","2019","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",117871,2721,1363,1138,1478,832,950,370,1220,661,1068,1132,874,1130,3554,2437,6767,5015,22325,20955,23930,9029,6308,1454,778,66,316,"Mesa city, Arizona",4889,780,541,508,722,442,346,295,538,432,636,508,373,501,779,532,1426,897,2103,2286,2248,1349,1017,457,474,90,217
"G04054050","2019","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",49737,435,210,604,521,479,799,35,229,157,0,116,76,586,389,744,1372,2198,7307,7502,14159,6594,4079,362,437,44,303,"Peoria city, Arizona",2578,334,252,381,374,354,393,57,247,256,218,142,108,374,248,297,604,876,1203,1088,1478,1273,886,223,336,71,503
"G04055000","2019","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",319653,4767,1691,1310,1513,1192,721,291,600,1313,1418,2415,1572,2044,7874,9842,22937,24667,58870,44480,57215,28144,29713,7613,5119,1172,1160,"Phoenix city, Arizona",7133,1186,700,467,523,559,431,198,406,605,584,823,728,645,1359,1623,2345,2571,3722,3313,3513,2278,2257,1131,1034,375,472
"G04064210","2019","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04065000","2019","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",83222,621,0,0,69,88,122,0,251,41,260,163,143,172,263,947,1094,1100,3700,6368,11796,11286,22824,10849,6824,2285,1956,"Scottsdale city, Arizona",3580,413,218,218,114,144,145,218,269,67,235,193,174,202,165,623,443,543,1362,1451,1520,1689,2150,1425,1373,811,624
"G04071510","2019","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04073000","2019","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tempe city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04077000","2019","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",107516,4156,1104,1304,1624,843,1253,556,1422,614,1712,2456,2574,1815,8407,8991,16417,11639,16948,10599,7895,2455,1605,251,597,242,37,"Tucson city, Arizona",3922,1147,501,518,673,536,591,366,715,250,725,801,1000,723,1386,1784,2004,1802,1905,1641,1392,886,592,242,430,237,61
"G04085540","2019","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",21189,855,569,120,186,67,214,73,410,377,41,517,777,440,2158,1806,3576,1826,3684,2016,1355,0,93,29,0,0,0,"Yuma city, Arizona",2204,569,300,161,213,109,186,65,240,345,70,259,466,287,772,662,1589,781,1211,667,442,218,98,47,218,218,218
