GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,S50E001,S50E002,S50E003,S50E004,S50E005,S50E006,S50E007,S50E008,S50E009,S50E010,S50E011,S50E012,S50E013,S50E014,S50E015,S50E016,S50E017,S50E018,S50E019,S50E020,S50E021,S50E022,S50E023,S50E024,S50E025,NAME_M,S50M001,S50M002,S50M003,S50M004,S50M005,S50M006,S50M007,S50M008,S50M009,S50M010,S50M011,S50M012,S50M013,S50M014,S50M015,S50M016,S50M017,S50M018,S50M019,S50M020,S50M021,S50M022,S50M023,S50M024,S50M025
"G04028380","2013","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,"Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,
"G04046000","2013","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",98696,4741,1710,1912,1148,1010,564,1002,1436,2436,1955,3084,3803,2810,10096,8787,13427,8092,10538,7775,6126,2710,2347,836,351,"Mesa city, Arizona",3449,898,479,557,491,382,300,494,483,775,578,738,878,623,1432,1285,1374,1186,1141,1279,1010,704,762,275,296
"G04054050","2013","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",40030,1158,976,418,309,231,440,223,804,352,267,780,1025,902,3149,3568,3746,3162,6834,3857,4550,1751,997,296,235,"Peoria city, Arizona",2449,471,476,320,283,195,261,191,566,195,226,334,460,394,863,791,704,654,1173,809,899,654,387,202,201
"G04055000","2013","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",271090,8035,2454,2455,1887,1689,2141,1399,5262,6424,7211,9376,11960,10289,28788,22921,26964,15333,25085,23022,29240,12603,9390,3586,3576,"Phoenix city, Arizona",6298,1194,644,705,579,425,543,468,977,1040,1107,1416,1569,1645,2805,2180,2253,1989,2312,1812,2396,1358,1415,817,806
"G04064210","2013","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,"San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,
"G04065000","2013","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",65386,1245,0,92,158,124,80,281,188,70,446,422,431,777,1526,1592,2836,2467,7624,4597,9405,6982,13113,6203,4727,"Scottsdale city, Arizona",3304,464,203,107,183,143,131,214,187,84,273,268,269,378,523,559,819,697,1482,1074,1313,1171,1528,1079,934
"G04071510","2013","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",34807,955,104,345,104,0,237,52,0,97,239,442,655,615,1778,3586,5435,4047,6670,4819,2819,1236,414,78,80,"Surprise city, Arizona",2369,382,121,237,120,203,233,87,203,160,299,324,587,416,588,1191,1072,1115,1185,1161,742,572,250,91,98
"G04073000","2013","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",25400,675,100,460,258,0,85,64,61,81,230,352,608,412,1136,2336,3355,2232,4249,2756,3021,1622,804,263,240,"Tempe city, Arizona",2005,381,114,320,274,203,111,106,101,133,187,248,485,208,578,689,974,621,957,685,711,582,316,176,177
"G04077000","2013","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",97890,4503,2180,1171,1034,1056,604,711,1777,2268,3936,4928,4740,7213,12763,10748,11851,6441,8624,4266,4105,1321,1132,307,211,"Tucson city, Arizona",3002,948,640,489,453,514,269,349,647,606,789,910,978,1384,1603,1667,1450,1057,1048,899,919,599,558,216,186
"G04085540","2013","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",19113,1236,310,278,541,314,180,85,230,417,479,917,1291,1714,2568,1931,1645,1286,1684,861,370,318,359,99,0,"Yuma city, Arizona",1497,477,228,231,262,274,203,81,134,205,275,399,455,727,744,609,555,532,509,358,220,256,208,137,203
