GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,S50E001,S50E002,S50E003,S50E004,S50E005,S50E006,S50E007,S50E008,S50E009,S50E010,S50E011,S50E012,S50E013,S50E014,S50E015,S50E016,S50E017,S50E018,S50E019,S50E020,S50E021,S50E022,S50E023,S50E024,S50E025,NAME_M,S50M001,S50M002,S50M003,S50M004,S50M005,S50M006,S50M007,S50M008,S50M009,S50M010,S50M011,S50M012,S50M013,S50M014,S50M015,S50M016,S50M017,S50M018,S50M019,S50M020,S50M021,S50M022,S50M023,S50M024,S50M025
"G06081666","2013","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",24766,719,392,130,113,162,121,345,204,326,120,172,142,455,1731,1682,2424,1786,3746,3091,4403,1538,867,0,97,"Vallejo city, California",1855,392,299,105,112,139,177,378,143,250,113,204,125,308,568,607,679,555,844,701,935,553,436,203,118
"G06082590","2013","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",17518,433,186,546,185,0,62,0,62,193,320,674,535,532,3331,3515,3352,1235,1485,325,274,127,0,39,107,"Victorville city, California",2214,458,217,424,148,203,102,203,103,203,218,492,424,279,1097,1135,1193,776,931,306,210,211,203,66,136
"G06082954","2013","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",22702,793,138,265,0,68,24,62,93,287,179,389,336,481,2592,2754,2442,1850,2664,2399,3017,1231,376,147,115,"Visalia city, California",2113,400,115,226,203,111,40,75,110,259,147,251,339,381,1261,798,817,731,783,955,1319,1059,253,248,139
"G06082996","2013","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",15993,461,88,44,0,47,146,0,295,142,126,262,104,374,284,0,233,226,1070,1702,4614,3244,1973,393,165,"Vista city, California",1713,301,115,72,203,77,143,203,177,170,156,182,123,382,286,203,201,192,434,604,1230,1067,729,304,273
"G06083346","2013","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Walnut Creek city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06084200","2013","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"West Covina city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06084550","2013","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Westminster city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06085292","2013","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Whittier city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06086832","2013","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06086972","2013","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Yuba City city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G08003455","2013","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",30779,454,0,225,163,78,0,0,79,24,0,126,0,76,890,1551,2002,2810,7017,5742,4985,2764,1469,263,61,"Arvada city, Colorado",1757,258,195,174,135,90,195,195,133,39,195,125,195,91,420,552,627,658,1056,997,679,590,397,180,72
"G08004000","2013","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",68524,2027,212,227,476,247,160,186,950,548,420,928,2147,2270,6500,6893,9727,7021,11903,6366,4229,3032,1844,44,167,"Aurora city, Colorado",2767,534,158,213,299,171,198,180,479,428,235,536,715,619,1198,1124,1281,1149,1337,1075,721,588,558,73,116
"G08007850","2013","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,"Boulder city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,
"G08012815","2013","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",30932,634,0,134,41,127,0,0,0,0,0,43,162,98,493,206,922,1013,5628,7564,6501,3770,2502,893,201,"Centennial city, Colorado",1566,305,195,221,67,153,195,195,195,195,195,72,264,86,332,184,512,432,926,1135,994,760,567,395,121
"G08016000","2013","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",99507,3118,582,649,730,450,338,82,420,310,347,310,943,1837,5395,7273,13996,11204,15722,12280,12464,4592,4385,919,1161,"Colorado Springs city, Colorado",3551,765,294,389,372,320,232,98,349,224,262,197,383,647,953,1298,1604,1380,1606,1510,1586,907,970,519,393
"G08020000","2013","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",139192,2583,550,326,647,625,155,182,867,1006,801,2334,2014,1938,6883,8939,10948,8590,16342,13893,21927,13708,14479,5472,3983,"Denver city, Colorado",4215,681,353,217,291,359,171,155,530,583,361,978,573,719,1162,1333,1738,1394,1925,1814,1773,1525,1542,954,780
"G08027425","2013","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",33286,743,416,419,501,0,147,0,18,77,28,0,40,94,311,1325,859,2567,7535,5984,7082,2916,1611,390,223,"Fort Collins city, Colorado",1914,308,282,315,331,195,196,195,31,133,50,195,66,104,171,592,337,632,1023,1107,822,653,431,206,185
"G08032155","2013","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",18659,812,248,361,271,199,47,0,59,126,172,125,313,509,1737,1907,3087,2202,2625,1753,1351,442,198,28,87,"Greeley city, Colorado",1397,420,182,327,231,269,77,195,100,128,144,107,211,351,605,581,684,614,595,583,474,271,124,48,69
"G08036410","2013","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,"Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,
"G08043000","2013","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",35970,890,123,210,100,131,240,0,88,139,208,266,453,413,1385,1864,3303,2303,6518,6683,6288,2594,1212,167,392,"Lakewood city, Colorado",2097,437,121,157,163,123,184,195,106,227,332,187,209,248,432,601,944,643,920,978,1081,777,473,163,271
"G08045970","2013","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,"Longmont city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,
"G08046465","2013","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,"Loveland city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,
"G08062000","2013","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",23268,1024,99,86,149,74,0,212,709,767,1397,1415,2266,1566,3405,2979,2157,1359,1351,919,648,171,257,0,258,"Pueblo city, Colorado",1764,612,101,99,145,95,195,168,275,315,470,478,602,583,664,883,527,553,458,510,287,181,222,195,222
"G08077290","2013","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",30351,787,749,558,132,216,214,0,114,167,44,0,273,106,1059,2269,2851,3212,6581,4473,4556,1179,244,486,81,"Thornton city, Colorado",1867,407,530,357,168,245,146,195,186,175,73,195,293,123,343,597,727,829,1059,1227,1139,501,207,376,131
"G08083835","2013","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,"Westminster city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,
"G09008000","2013","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",18826,514,0,164,108,75,426,0,504,379,400,366,522,755,1829,1447,3589,1959,2430,1747,871,85,312,66,278,"Bridgeport city, Connecticut",1618,285,201,140,108,119,272,201,311,266,336,296,403,440,659,484,1130,644,905,681,432,137,217,110,216
"G09018430","2013","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",17653,207,0,69,0,233,0,0,0,74,136,257,136,136,156,932,1054,1544,2315,3296,5048,1297,558,90,115,"Danbury city, Connecticut",1598,192,201,117,201,224,201,201,201,123,159,225,163,155,158,599,498,481,722,785,963,468,301,107,110
"G09037000","2013","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,"Hartford city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,
"G09050370","2013","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",11146,235,0,173,0,0,0,0,0,257,237,301,444,387,2188,1311,1923,966,1864,476,201,183,0,0,0,"New Britain city, Connecticut",1229,193,201,176,201,201,201,201,201,223,186,235,371,245,692,439,643,406,733,263,205,153,201,201,201
"G09052000","2013","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",14313,430,38,177,73,0,0,70,38,426,37,274,427,165,1288,1464,1835,1145,3198,569,1176,413,805,185,80,"New Haven city, Connecticut",1569,274,64,209,119,201,201,114,64,315,62,195,267,163,576,592,676,427,789,297,450,215,453,145,93
"G09055990","2013","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,"Norwalk city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,
"G09073000","2013","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,"Stamford city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,
"G09080000","2013","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",16157,492,53,84,123,0,333,253,220,481,493,734,571,858,2959,2604,2773,1501,713,410,296,121,0,40,45,"Waterbury city, Connecticut",1474,254,91,100,119,201,292,204,193,327,343,317,256,446,831,623,680,710,328,235,227,105,201,67,75
"G10077580","2013","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",12249,148,45,96,235,0,0,0,373,151,182,451,456,1090,1836,952,1305,1010,1391,879,1012,228,213,115,81,"Wilmington city, Delaware",1346,126,73,98,249,189,189,189,224,199,185,278,313,569,547,446,532,557,517,363,400,149,132,111,94
"G11050000","2013","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",110513,2339,115,47,255,83,238,80,354,576,125,351,433,547,582,1035,2470,1961,7684,7079,18808,14316,21940,13982,15113,"Washington city, District of Columbia",3814,596,130,78,189,99,194,96,263,370,122,214,244,319,304,475,713,510,1135,1097,2064,1710,1867,1480,1614
"G12000410","2013","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,"Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,
"G12007300","2013","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",26435,470,0,0,0,0,78,134,77,180,130,157,249,508,522,1089,846,654,1814,3851,3834,2703,4056,2252,2831,"Boca Raton city, Florida",2032,310,218,218,218,218,129,161,89,212,133,152,401,329,329,561,354,342,662,986,894,719,774,664,848
"G12007875","2013","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",20004,582,199,57,198,162,380,327,595,919,953,1190,952,710,2577,1682,2207,2148,1638,1357,569,313,150,139,0,"Boynton Beach city, Florida",1992,441,191,94,199,157,291,248,398,514,480,581,352,325,721,798,701,971,556,491,400,194,143,171,218
"G12008150","2013","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",21538,579,128,42,138,0,0,104,91,572,699,604,1030,1009,3204,3231,3187,2289,3171,588,762,0,40,0,70,"Brandon CDP, Florida",1853,283,157,70,136,218,218,121,106,509,317,322,472,447,755,902,838,838,775,319,363,218,66,218,117
"G12010275","2013","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",39085,514,306,0,0,131,0,109,84,903,724,1174,1662,1814,6821,3966,3810,3360,4496,2693,3407,1667,1020,74,350,"Cape Coral city, Florida",2337,272,396,218,218,167,218,132,103,584,371,560,599,676,1278,909,902,1120,1041,797,958,732,436,97,286
"G12012875","2013","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",27011,1636,307,357,76,210,299,284,556,744,673,701,827,1176,2512,2842,2720,1617,2206,1681,2038,1332,1756,214,247,"Clearwater city, Florida",2045,766,258,285,72,141,247,294,320,328,380,387,389,673,846,982,659,693,603,674,604,678,563,171,185
"G12014400","2013","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",24737,610,121,89,0,139,248,116,145,196,673,560,736,146,950,582,851,1076,3395,4795,5368,2669,1020,66,186,"Coral Springs city, Florida",1749,400,199,105,218,162,399,141,148,163,437,459,462,144,562,381,394,460,1012,912,932,849,501,109,159
"G12016475","2013","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",24803,1170,348,795,371,198,707,505,339,637,369,565,1295,545,1645,1372,2020,955,1079,1743,2965,1243,2495,909,533,"Davie town, Florida",1730,635,264,622,424,168,561,461,302,402,298,326,782,483,733,466,787,536,416,578,815,621,697,541,355
"G12016725","2013","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",19057,430,173,244,555,914,730,343,873,2197,1022,970,750,496,1372,1136,1384,780,1176,1527,791,606,405,94,89,"Deerfield Beach city, Florida",2245,284,188,245,496,457,384,417,366,946,412,471,515,413,621,517,483,556,537,638,489,350,238,106,105
"G12017200","2013","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",23097,194,210,0,0,298,443,164,561,953,2011,2246,3695,2059,3314,2803,2393,390,1063,212,0,0,0,0,88,"Deltona city, Florida",2242,190,222,218,218,271,396,167,295,368,653,800,1112,841,902,793,766,209,499,228,218,218,218,218,105
"G12024000","2013","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",40275,1251,209,241,265,0,319,152,433,424,646,986,642,606,2518,1134,3393,2309,3944,3507,4405,2746,4482,2273,3390,"Fort Lauderdale city, Florida",2683,484,186,266,228,218,288,144,352,348,368,539,300,376,719,442,867,818,1124,958,1046,800,1214,635,865
"G12024125","2013","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",9916,458,0,235,125,25,75,85,721,728,812,472,424,183,555,728,615,503,674,1063,509,496,346,36,48,"Fort Myers city, Florida",1489,559,218,211,121,47,72,144,337,408,381,300,357,177,285,477,356,325,324,512,236,261,272,62,76
"G12025175","2013","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",18213,561,280,0,60,29,125,193,201,541,676,794,1002,1580,2553,2175,2297,1208,2070,796,426,452,194,0,0,"Gainesville city, Florida",1694,334,279,218,103,51,110,204,169,309,459,328,569,816,706,638,765,476,682,339,328,293,316,218,218
"G12030000","2013","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",31493,683,66,231,0,137,43,235,795,1387,757,1318,1841,1775,3858,2137,5739,2421,4324,2575,932,82,24,0,133,"Hialeah city, Florida",2108,273,109,218,218,226,71,264,509,581,333,532,637,618,796,658,1015,711,833,836,484,94,39,218,155
"G12032000","2013","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",31967,863,474,0,43,428,355,186,815,660,831,989,1318,1366,2433,2368,2529,1288,3414,3356,3650,2004,1418,279,900,"Hollywood city, Florida",2376,385,457,218,71,372,276,181,432,254,548,481,524,646,716,747,677,456,889,779,927,767,631,207,323
"G12035000","2013","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",185785,4983,1472,1468,1151,2187,1198,1724,5277,6379,8325,10308,12812,8103,24247,17518,19098,12864,16690,11565,7923,4460,3435,875,1723,"Jacksonville city, Florida",4585,1275,504,557,413,882,412,639,923,1145,1450,1513,1877,1254,2431,1875,2315,1949,1663,1810,1460,1127,893,424,644
"G12036100","2013","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",17485,274,0,0,0,0,0,65,0,211,69,418,193,638,1000,1071,1579,647,1776,1243,3387,1531,1891,576,916,"Kendall CDP, Florida",1538,143,218,218,218,218,218,106,218,265,115,251,191,359,479,656,680,455,576,531,807,480,522,291,544
"G12036950","2013","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"16000US1236950","Kissimmee city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,"Kissimmee city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,
"G12038250","2013","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",22178,2014,497,397,956,709,232,104,763,922,746,1270,1192,948,1781,2498,2482,1087,1178,814,308,598,482,177,23,"Lakeland city, Florida",1542,619,362,231,578,482,191,129,394,351,240,444,472,356,574,701,682,300,400,478,202,300,265,132,39
"G12039425","2013","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",19659,2353,577,1242,343,209,354,417,1093,994,658,900,868,788,2131,1678,1377,956,1165,518,527,264,0,33,214,"Largo city, Florida",2278,716,403,740,283,166,211,332,539,400,332,364,414,352,726,579,544,393,601,288,282,166,218,54,256
"G12039550","2013","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",11621,158,0,0,321,140,407,140,1018,617,1105,704,351,752,1628,298,1260,911,602,932,240,37,0,0,0,"Lauderhill city, Florida",1406,135,218,218,263,144,266,166,513,392,476,328,283,496,579,235,541,486,322,480,271,60,218,218,218
"G12039925","2013","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",17654,215,82,45,327,645,579,284,849,1323,1872,1602,2051,1444,2224,1347,956,513,318,775,143,60,0,0,0,"Lehigh Acres CDP, Florida",1840,205,100,75,254,501,326,289,352,445,649,535,598,458,644,467,517,380,219,346,103,99,218,218,218
"G12043975","2013","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",18552,876,161,216,100,71,89,98,497,1296,786,1315,925,1465,2781,1851,2203,1574,754,402,502,409,181,0,0,"Melbourne city, Florida",1666,428,182,207,116,117,147,114,289,536,397,673,523,710,929,562,789,697,410,309,269,321,184,218,218
"G12045000","2013","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",48305,868,25,0,192,284,342,230,732,871,1186,1308,1500,1458,3204,2312,5426,1945,4834,5779,6420,2927,3874,713,1875,"Miami city, Florida",2856,440,42,218,205,397,252,238,364,364,573,566,631,601,851,690,1094,597,1093,1211,1372,757,907,312,620
"G12045025","2013","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",15543,435,0,0,38,0,0,0,0,83,303,138,186,427,547,450,780,473,1335,777,2382,1339,1526,1579,2745,"Miami Beach city, Florida",1533,249,218,218,62,218,218,218,218,140,255,133,186,377,373,271,324,331,498,470,619,562,477,560,734
"G12045060","2013","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",20499,218,0,196,276,117,0,113,550,246,1288,1102,1489,1680,4174,1615,2998,1370,1562,859,363,47,0,42,194,"Miami Gardens city, Florida",1869,191,218,321,336,137,218,184,408,214,603,449,583,616,1141,600,927,496,488,390,266,81,218,71,219
"G12045975","2013","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",24791,435,0,219,0,71,66,0,112,619,251,585,524,714,2095,1153,3382,1995,2526,1591,6013,1417,755,229,39,"Miramar city, Florida",2273,299,218,192,218,123,110,218,185,455,293,505,302,393,575,455,1238,812,796,701,2246,942,488,370,65
"G12053000","2013","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",36986,550,208,559,412,258,661,420,1078,1341,1692,1166,1548,1625,3663,2608,3198,1856,4358,2373,3900,1566,1004,375,567,"Orlando city, Florida",2380,293,181,397,363,213,389,266,641,661,629,638,782,657,905,784,947,708,895,729,1172,644,359,295,273
"G12054000","2013","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"16000US1254000","Palm Bay city, Florida",28801,556,132,0,44,76,412,69,1504,2055,1474,1848,3333,3431,3583,3472,2756,1058,1299,988,354,0,0,224,133,"Palm Bay city, Florida",2419,372,129,218,72,127,326,113,543,806,716,701,1119,1159,1115,1021,1032,593,605,649,310,218,218,220,163
"G12054200","2013","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"16000US1254200","Palm Coast city, Florida",22527,646,449,43,0,0,99,33,74,146,362,659,1101,1117,2103,3252,3309,2691,2400,1873,783,872,312,0,203,"Palm Coast city, Florida",1900,344,277,71,218,218,167,56,119,179,287,571,468,573,555,804,807,963,758,693,369,484,333,218,181
"G12055775","2013","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"16000US1255775","Pembroke Pines city, Florida",40731,758,0,148,0,45,158,0,396,781,1592,1036,1329,1019,2242,3459,3408,2217,6170,5435,5992,2745,1381,82,338,"Pembroke Pines city, Florida",2952,400,218,171,218,75,213,218,337,492,841,454,472,518,651,1158,924,803,1276,1315,1262,910,698,70,411
"G12056825","2013","FL",,,"Florida","12",,,"Pine Hills CDP","56825",,,,,,,,,,,,,,,,"16000US1256825","Pine Hills CDP, Florida",10903,256,48,0,469,79,693,0,475,797,1167,700,682,895,1608,1449,1123,222,115,125,0,0,0,0,0,"Pine Hills CDP, Florida",1535,195,78,218,398,132,473,218,302,539,577,370,392,393,714,826,650,234,141,155,218,218,218,218,218
"G12057425","2013","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"16000US1257425","Plantation city, Florida",22184,366,82,0,315,284,144,740,400,249,367,310,737,583,1083,1016,2054,1286,2202,1983,3813,1629,1075,939,527,"Plantation city, Florida",1822,216,135,218,309,398,171,482,297,241,269,242,485,443,580,403,754,763,511,514,685,478,481,392,232
"G12058050","2013","FL",,,"Florida","12",,,"Pompano Beach city","58050",,,,,,,,,,,,,,,,"16000US1258050","Pompano Beach city, Florida",20977,577,0,217,197,117,62,170,132,815,646,555,509,752,3383,2123,1639,1019,2255,1852,1868,554,1399,0,136,"Pompano Beach city, Florida",2050,285,218,242,191,141,101,199,131,411,335,277,328,365,997,686,698,511,600,668,706,237,549,218,109
"G12058715","2013","FL",,,"Florida","12",,,"Port St. Lucie city","58715",,,,,,,,,,,,,,,,"16000US1258715","Port St. Lucie city, Florida",42154,907,298,318,69,42,31,80,198,843,1713,2864,2327,3144,5687,6125,6162,3233,3156,2859,1102,342,544,0,110,"Port St. Lucie city, Florida",2989,532,388,244,114,70,53,134,179,621,666,1182,827,1244,1453,1551,1745,1118,1273,1257,654,476,534,218,130
"G12060950","2013","FL",,,"Florida","12",,,"Riverview CDP","60950",,,,,,,,,,,,,,,,"16000US1260950","Riverview CDP, Florida",17756,699,167,70,200,179,49,0,189,684,127,492,392,863,2278,2210,2624,1606,2015,2077,572,0,183,80,0,"Riverview CDP, Florida",1876,520,153,117,242,179,57,218,174,462,110,406,344,495,670,765,908,547,596,820,314,218,155,93,218
"G12063000","2013","FL",,,"Florida","12",,,"St. Petersburg city","63000",,,,,,,,,,,,,,,,"16000US1263000","St. Petersburg city, Florida",61074,1376,351,269,1026,665,841,710,2740,2123,2989,3371,2513,2476,8290,4116,6915,2901,3864,3826,3393,1889,2498,750,1182,"St. Petersburg city, Florida",3442,502,230,199,408,359,445,311,772,732,797,983,589,705,1420,1022,1203,733,863,921,736,499,599,368,428
"G12068350","2013","FL",,,"Florida","12",,,"Spring Hill CDP","68350",,,,,,,,,,,,,,,,"16000US1268350","Spring Hill CDP, Florida",25974,1285,156,39,45,159,112,216,1109,952,1719,1935,2012,1333,5281,2632,2843,844,1764,916,348,78,162,0,34,"Spring Hill CDP, Florida",1752,505,183,66,76,184,149,189,426,397,720,726,542,445,1236,712,812,375,586,497,182,93,230,218,56
"G12069700","2013","FL",,,"Florida","12",,,"Sunrise city","69700",,,,,,,,,,,,,,,,"16000US1269700","Sunrise city, Florida",21265,556,103,468,929,613,807,1063,692,482,351,991,586,778,2508,1348,1672,1768,3068,1296,901,112,109,0,64,"Sunrise city, Florida",1943,298,131,434,558,332,492,560,462,318,223,593,362,508,852,609,609,459,960,521,449,136,131,218,106
"G12070600","2013","FL",,,"Florida","12",,,"Tallahassee city","70600",,,,,,,,,,,,,,,,"16000US1270600","Tallahassee city, Florida",29664,720,169,174,0,0,43,284,219,391,970,696,1372,687,3007,2014,4174,2889,3751,3133,3172,842,588,266,103,"Tallahassee city, Florida",1804,424,214,161,218,218,71,218,189,279,396,355,487,289,800,723,983,843,960,671,734,367,370,240,133
