GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AA3VE001,AA3VE002,AA3VE003,AA3VE004,AA3VE005,AA3VE006,AA3VE007,AA3VE008,AA3VE009,AA3VE010,AA3VE011,AA3VE012,AA3VE013,AA3VE014,AA3VE015,AA3VE016,AA3VE017,AA3VE018,AA3VE019,AA3VE020,AA3VE021,AA3VE022,AA3VE023,AA3VE024,AA3VE025,NAME_M,AA3VM001,AA3VM002,AA3VM003,AA3VM004,AA3VM005,AA3VM006,AA3VM007,AA3VM008,AA3VM009,AA3VM010,AA3VM011,AA3VM012,AA3VM013,AA3VM014,AA3VM015,AA3VM016,AA3VM017,AA3VM018,AA3VM019,AA3VM020,AA3VM021,AA3VM022,AA3VM023,AA3VM024,AA3VM025
"G04028380","2014","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,"Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,
"G04046000","2014","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",100543,5597,1127,1431,1088,901,669,496,1712,1339,1692,2131,2487,2563,8795,7407,12647,8080,15452,9453,8489,2978,2953,769,287,"Mesa city, Arizona",3894,1002,397,394,396,415,296,278,643,400,587,579,671,728,1440,1160,1565,1185,1644,1423,1134,596,721,315,177
"G04054050","2014","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",42408,902,308,252,375,333,74,235,335,352,285,962,595,961,1697,2707,5190,3634,5733,6797,6211,2088,1866,381,135,"Peoria city, Arizona",3010,343,214,193,355,228,124,175,406,200,218,457,403,492,577,676,1067,876,1062,1179,1118,616,574,195,128
"G04055000","2014","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",270456,7609,2044,2396,1759,1786,2325,1626,4459,5675,7017,7349,11057,8586,18621,21101,28980,18641,26893,22769,29528,17586,15022,3870,3757,"Phoenix city, Arizona",6358,1036,746,841,544,684,638,653,891,1033,1111,1314,1568,1415,1979,1950,2574,2038,2540,1960,2301,1943,1405,731,870
"G04064210","2014","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,"San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,
"G04065000","2014","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",66566,1258,208,85,155,0,176,78,208,256,44,399,235,396,1603,1171,1844,1391,6580,4497,11542,8799,14056,5798,5787,"Scottsdale city, Arizona",3086,480,154,141,178,200,186,132,214,226,71,263,180,224,783,487,592,536,1322,902,1519,1018,1452,1242,932
"G04071510","2014","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",32729,610,253,444,82,334,82,35,161,294,166,125,478,271,1475,2730,5675,4443,5634,4913,2876,874,629,145,0,"Surprise city, Arizona",2255,309,172,193,100,261,97,58,210,268,161,119,312,240,505,719,1162,890,1084,1059,613,534,326,108,200
"G04073000","2014","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",25502,892,240,103,154,0,0,173,330,263,335,304,266,255,692,2293,2706,2237,4675,2687,3756,1142,1593,339,67,"Tempe city, Arizona",1958,377,340,125,149,200,200,284,361,315,237,357,197,214,326,718,756,714,988,697,835,402,398,193,52
"G04077000","2014","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",96717,5076,2416,1479,1030,253,982,345,1588,1612,3607,4183,5421,5262,14389,11834,11551,6078,7894,4808,3283,1486,1498,292,350,"Tucson city, Arizona",3164,917,813,611,451,196,442,184,511,681,902,782,1075,1211,1629,1587,1384,1009,1069,908,686,450,533,207,248
"G04085540","2014","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",19386,828,115,212,403,386,290,193,507,406,822,1089,1577,1231,2553,1524,1803,1145,1828,882,993,136,271,45,147,"Yuma city, Arizona",1440,311,93,203,285,275,243,180,316,206,368,495,527,453,741,536,637,522,567,438,410,113,254,77,237
