GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AA3VE001,AA3VE002,AA3VE003,AA3VE004,AA3VE005,AA3VE006,AA3VE007,AA3VE008,AA3VE009,AA3VE010,AA3VE011,AA3VE012,AA3VE013,AA3VE014,AA3VE015,AA3VE016,AA3VE017,AA3VE018,AA3VE019,AA3VE020,AA3VE021,AA3VE022,AA3VE023,AA3VE024,AA3VE025,NAME_M,AA3VM001,AA3VM002,AA3VM003,AA3VM004,AA3VM005,AA3VM006,AA3VM007,AA3VM008,AA3VM009,AA3VM010,AA3VM011,AA3VM012,AA3VM013,AA3VM014,AA3VM015,AA3VM016,AA3VM017,AA3VM018,AA3VM019,AA3VM020,AA3VM021,AA3VM022,AA3VM023,AA3VM024,AA3VM025
"G06086832","2014","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06086972","2014","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",12558,575,101,0,46,64,26,0,228,134,0,188,115,538,1183,521,1520,1205,1923,2065,1162,284,502,19,159,"Yuba City city, California",1329,424,86,200,74,79,45,200,174,135,200,195,119,403,619,246,693,499,585,638,474,202,294,33,158
"G08003455","2014","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,"Arvada city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,
"G08004000","2014","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",71380,1447,524,248,258,70,259,189,638,646,530,729,1281,1591,4023,6400,9899,8284,14235,7687,6804,3271,1912,243,212,"Aurora city, Colorado",2558,441,294,160,186,80,259,202,349,316,279,329,486,527,771,1197,1289,1327,1415,1217,912,742,490,165,182
"G08007850","2014","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",21284,675,463,139,194,0,159,0,123,0,0,0,288,0,530,610,245,420,731,604,2013,2702,6213,2859,2316,"Boulder city, Colorado",1593,485,387,161,186,192,187,192,147,192,192,192,348,192,323,322,183,306,352,330,662,839,863,618,569
"G08012815","2014","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",33362,338,29,108,0,28,0,119,44,0,202,88,0,124,276,337,551,1233,3801,6108,11430,4014,3644,525,363,"Centennial city, Colorado",1507,227,49,130,192,47,192,152,74,192,175,75,192,120,213,240,279,404,695,852,1241,583,740,257,221
"G08016000","2014","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",104609,3039,767,477,224,696,269,174,427,701,116,611,1253,1879,4807,6617,11966,11784,18929,12161,14231,6102,4878,1623,878,"Colorado Springs city, Colorado",3278,746,456,281,209,321,233,201,264,490,114,330,667,742,977,1075,1544,1339,1884,1550,1284,1101,993,587,381
"G08020000","2014","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",135736,3123,322,570,352,187,150,204,479,923,403,969,1342,930,4899,6674,10189,9802,16455,14961,22670,14526,16390,4709,4507,"Denver city, Colorado",3471,779,200,258,245,188,149,202,342,601,245,500,424,367,944,914,1282,1473,1773,2209,1944,1798,1634,759,937
"G08027425","2014","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",30076,552,0,210,73,89,64,0,48,193,139,96,0,0,700,828,1480,1955,5711,6779,6095,2692,1816,314,242,"Fort Collins city, Colorado",1839,276,192,234,86,118,74,192,77,206,133,113,192,192,332,336,420,532,1039,928,932,625,601,189,188
"G08032155","2014","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",19843,1035,303,179,149,167,38,22,204,204,101,149,441,466,1879,2131,2455,2356,3129,1874,1455,667,320,61,58,"Greeley city, Colorado",1572,482,250,254,129,147,67,37,158,163,134,147,218,356,574,713,780,627,612,564,375,303,191,73,74
"G08036410","2014","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,"Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,
"G08043000","2014","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",36489,1162,41,80,140,0,0,0,82,184,458,130,160,107,1147,1215,2810,1859,6462,7869,7083,3538,1494,268,200,"Lakewood city, Colorado",2119,459,68,94,133,192,192,192,97,201,382,180,132,102,509,400,765,546,1104,1194,907,656,495,203,125
"G08045970","2014","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",20340,634,0,128,42,240,75,0,66,0,40,0,125,39,327,367,1786,1721,4170,3199,5263,1027,673,158,260,"Longmont city, Colorado",1445,350,192,161,73,202,124,192,111,192,65,192,153,66,303,209,597,614,862,798,1024,342,312,159,224
"G08046465","2014","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,"Loveland city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,
"G08062000","2014","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",23965,706,230,383,76,25,342,83,715,1171,1161,1132,1897,2111,4010,3393,2125,936,1792,466,666,109,285,50,101,"Pueblo city, Colorado",1567,360,220,263,94,41,254,81,406,523,410,427,629,578,742,780,494,309,600,213,323,122,170,57,119
"G08077290","2014","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",28172,1132,311,476,227,165,181,251,257,370,207,75,105,58,1004,1495,2466,3459,5565,3916,5103,966,210,61,112,"Thornton city, Colorado",1894,450,214,390,178,139,236,270,304,427,192,120,107,97,536,416,717,757,1139,732,896,356,167,98,140
"G08083835","2014","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",27582,816,0,234,138,0,148,44,72,248,41,42,250,280,392,1229,2179,3473,6665,4477,3619,1684,1306,60,185,"Westminster city, Colorado",1670,351,192,211,165,192,143,75,86,214,65,69,232,216,194,482,674,733,1069,917,743,490,433,99,194
"G09008000","2014","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",20178,240,274,153,66,220,164,47,113,271,250,375,316,603,2186,1559,3545,2287,2465,3199,1159,439,0,110,137,"Bridgeport city, Connecticut",1594,177,216,154,110,212,154,79,179,169,164,268,333,333,822,625,903,858,641,753,405,309,197,129,129
"G09018430","2014","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,"Danbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,
"G09037000","2014","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",10517,105,0,67,121,0,149,0,0,146,132,236,180,192,1334,1201,2737,440,1918,815,345,127,198,39,35,"Hartford city, Connecticut",1252,93,197,76,195,197,177,197,197,197,150,204,132,166,449,518,763,248,624,411,194,124,151,66,61
"G09050370","2014","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",11238,325,149,112,32,0,0,0,0,75,177,92,261,142,1939,1435,2709,1770,802,469,523,34,116,40,36,"New Britain city, Connecticut",1026,218,153,107,53,197,197,197,197,88,148,113,230,173,626,573,705,602,370,247,261,58,114,66,61
"G09052000","2014","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,"New Haven city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,
"G09055990","2014","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,"Norwalk city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,
"G09073000","2014","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,"Stamford city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,
"G09080000","2014","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",17305,221,85,0,93,0,226,72,324,137,449,839,1628,994,3413,3107,2722,1006,1281,496,177,35,0,0,0,"Waterbury city, Connecticut",1672,173,102,197,107,197,188,119,307,142,228,455,748,454,709,818,681,450,565,283,153,57,197,197,197
"G10077580","2014","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",14480,416,50,24,76,267,0,118,65,364,214,136,605,477,1129,1459,1507,1632,2212,918,703,1193,462,290,163,"Wilmington city, Delaware",1323,254,85,43,127,257,185,193,77,275,170,117,341,331,503,514,527,485,670,389,302,515,321,225,154
"G11050000","2014","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",112492,2431,0,168,194,80,341,116,0,425,81,206,354,620,1278,1287,1579,2387,6150,8112,17442,14951,24901,14689,14700,"Washington city, District of Columbia",3641,591,198,174,149,95,399,115,198,322,116,206,263,361,437,611,563,618,1267,1298,1822,1388,2104,1416,1488
"G12000410","2014","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,"Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,
"G12007300","2014","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",24705,476,0,87,0,0,41,0,92,163,228,73,278,370,439,518,1531,1008,1749,1913,4834,2256,4553,1264,2832,"Boca Raton city, Florida",2098,301,214,104,214,214,67,214,110,165,255,121,218,400,252,404,762,509,654,751,1130,676,880,399,605
"G12007875","2014","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",17015,464,164,38,361,90,43,210,456,943,305,434,852,494,1692,2255,1752,1035,1420,1950,978,314,408,259,98,"Boynton Beach city, Florida",1702,260,159,63,240,114,69,171,299,488,216,316,368,360,731,785,650,438,544,627,387,232,348,183,120
"G12008150","2014","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",21926,602,79,0,0,0,0,0,73,339,368,604,1230,705,2050,3372,5012,2664,2522,1165,760,137,0,73,171,"Brandon CDP, Florida",1660,246,92,214,214,214,214,214,86,277,251,268,534,306,739,843,980,699,794,578,302,133,214,119,172
"G12010275","2014","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",43181,902,50,221,0,0,0,56,81,529,263,1167,1139,2609,4484,5415,5737,2995,5261,3364,5595,1735,514,716,348,"Cape Coral city, Florida",2392,456,83,232,214,214,214,92,134,342,224,496,492,1001,1026,1358,1228,922,1199,899,1181,537,274,376,244
"G12012875","2014","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",26077,858,188,75,357,449,185,211,390,959,1459,919,776,1584,2155,2657,2269,724,2257,2323,2011,1009,848,1154,260,"Clearwater city, Florida",2209,375,171,63,219,302,169,288,235,418,681,446,430,755,714,654,646,317,666,723,536,415,319,551,183
"G12014400","2014","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",24701,994,63,38,206,0,150,70,336,334,364,694,363,453,391,266,587,619,2760,3448,6807,4348,1133,142,135,"Coral Springs city, Florida",1936,440,101,61,179,214,148,115,313,287,241,413,227,287,243,153,364,340,784,863,1134,854,611,122,159
"G12016475","2014","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",23397,1415,66,537,0,442,0,189,137,595,698,475,206,678,1388,1163,1539,1381,2142,1528,2647,2904,1814,961,492,"Davie town, Florida",1993,624,108,354,214,422,214,227,116,430,379,294,176,382,546,586,705,696,647,535,777,731,726,367,431
"G12016725","2014","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",17780,800,0,104,130,453,264,519,988,1434,939,827,769,459,1513,1462,1310,686,2212,1297,663,81,568,99,203,"Deerfield Beach city, Florida",1955,438,214,127,127,314,202,281,566,595,456,439,455,326,620,600,484,433,730,452,326,100,296,121,226
"G12017100","2014","FL",,,"Florida","12",,,"Delray Beach city","17100",,,,,,,,,,,,,,,,"16000US1217100","Delray Beach city, Florida",15828,385,48,39,66,0,203,43,419,404,820,540,697,432,1264,689,824,768,1486,1318,2221,805,1104,421,832,"Delray Beach city, Florida",1720,248,81,64,79,214,212,71,268,257,450,252,343,236,667,296,380,416,515,546,654,325,384,290,395
"G12017200","2014","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",21328,159,172,118,125,46,76,194,337,768,1017,2674,2716,1710,3557,2092,2367,900,1189,698,271,0,0,0,142,"Deltona city, Florida",2182,150,145,135,150,75,130,142,176,349,453,864,935,659,947,826,774,451,569,456,303,214,214,214,204
"G12024000","2014","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",39223,1478,309,224,410,48,41,168,137,441,611,458,1282,1065,1858,1611,1825,2444,3001,3812,6019,2656,4078,1822,3425,"Fort Lauderdale city, Florida",2415,511,236,221,354,79,70,174,162,315,348,327,505,539,686,466,687,659,796,1132,1201,691,1053,656,825
"G12024125","2014","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",12904,103,0,36,648,111,517,102,610,383,540,711,267,271,898,953,1126,993,1327,860,703,927,595,137,86,"Fort Myers city, Florida",1561,101,214,63,523,141,339,101,421,263,326,400,190,323,671,443,463,549,501,326,392,370,337,220,101
"G12025175","2014","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",19549,280,145,207,91,81,78,127,496,547,702,724,1315,1805,1786,1319,2702,1504,2021,1643,525,1094,357,0,0,"Gainesville city, Florida",2091,186,158,218,109,76,93,163,360,344,375,363,494,764,586,460,793,660,663,690,323,560,249,214,214
"G12030000","2014","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",30007,412,144,225,0,63,100,0,206,649,858,1283,1817,1097,3679,2696,5787,1926,4683,2458,1543,132,107,0,142,"Hialeah city, Florida",2244,211,155,198,214,104,119,214,138,376,423,583,663,466,949,818,1113,641,945,569,493,134,112,214,150
"G12032000","2014","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",31857,1250,44,88,156,38,117,0,491,479,1515,1251,715,893,3435,2395,3115,1610,3645,3097,4170,1240,1165,643,305,"Hollywood city, Florida",2560,458,71,102,147,63,143,214,335,283,689,696,342,672,1023,753,833,625,800,842,859,462,431,330,150
"G12032275","2014","FL",,,"Florida","12",,,"Homestead city","32275",,,,,,,,,,,,,,,,"16000US1232275","Homestead city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,"Homestead city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,
"G12035000","2014","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",178353,4775,939,1870,874,2467,1821,1888,6440,5773,7057,9059,10126,9668,22308,15610,19907,12580,15167,9788,9681,4162,3192,2250,951,"Jacksonville city, Florida",4770,867,307,588,484,875,625,599,1324,1171,1322,1342,1522,1439,2521,1667,2067,1624,1830,1389,1657,946,714,703,397
"G12036100","2014","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",18539,381,62,0,0,45,113,51,0,0,75,445,341,279,1537,941,1773,1508,1719,670,3188,2233,1968,639,571,"Kendall CDP, Florida",1873,234,103,214,214,73,133,91,214,214,87,444,315,307,550,426,698,758,748,414,875,724,704,338,287
"G12036950","2014","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"16000US1236950","Kissimmee city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,"Kissimmee city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,
"G12038250","2014","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",20721,930,960,112,648,347,770,377,672,1319,1021,746,1032,1039,1740,1622,2382,1160,1162,471,1070,362,378,212,189,"Lakeland city, Florida",1887,360,467,109,396,286,429,262,364,597,452,431,379,419,421,497,577,442,414,242,396,191,228,189,175
"G12039425","2014","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",19085,1384,1187,852,551,454,577,347,491,1126,1104,592,762,689,1675,1222,1833,1002,1646,526,472,131,288,77,97,"Largo city, Florida",1665,527,588,536,359,267,296,211,233,412,441,307,304,352,519,509,749,454,571,243,368,123,191,127,131
"G12039550","2014","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",12861,641,120,173,314,246,403,419,1257,580,666,1085,732,465,1496,394,602,738,1255,672,349,76,91,0,87,"Lauderhill city, Florida",1577,305,200,286,250,220,437,276,665,379,392,640,459,353,657,230,373,330,540,389,323,66,109,214,105
"G12039925","2014","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",17318,172,55,63,260,35,440,361,812,721,1346,1563,2070,1836,2687,1583,1317,567,826,326,182,96,0,0,0,"Lehigh Acres CDP, Florida",1607,127,64,106,209,60,295,353,449,392,518,525,587,452,701,525,376,302,385,214,156,105,214,214,214
"G12043975","2014","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",19267,1230,184,432,254,0,39,45,208,1285,985,1629,908,915,1807,1845,2466,1440,1302,407,771,543,352,129,91,"Melbourne city, Florida",1802,711,217,320,346,214,66,75,200,606,437,656,565,496,519,547,660,556,483,255,406,318,247,208,110
"G12045000","2014","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",46018,838,346,0,79,34,231,35,614,604,1213,804,1276,515,3389,2444,4935,1288,4851,6077,7066,3048,2806,1017,2508,"Miami city, Florida",2750,361,241,214,93,56,194,56,371,277,474,340,572,315,775,854,1021,490,1006,1019,1348,741,637,354,609
"G12045025","2014","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",16136,428,29,47,0,0,0,0,0,0,192,221,245,167,627,153,673,635,1723,1368,2158,1874,1558,861,3177,"Miami Beach city, Florida",1392,249,49,79,214,214,214,214,214,214,190,223,249,169,376,180,335,383,539,561,522,643,550,349,720
"G12045060","2014","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",20114,365,138,189,75,0,307,68,226,378,637,1142,553,1282,2623,1976,4097,1563,3053,557,653,62,110,0,60,"Miami Gardens city, Florida",1615,228,139,162,89,214,271,112,223,226,323,541,292,527,753,673,873,652,779,380,300,101,132,214,100
"G12045975","2014","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",26829,1037,78,235,129,0,0,212,0,160,347,521,182,691,1270,1897,3268,1414,2649,2825,4997,2785,2132,0,0,"Miramar city, Florida",2102,554,92,285,211,214,214,280,214,155,361,364,167,419,570,722,1021,522,921,1034,1623,1253,1201,214,214
"G12053000","2014","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",37733,604,192,0,77,166,237,581,921,1758,1526,2081,1293,1431,3550,1810,3605,2687,4041,3410,3667,1615,1377,612,492,"Orlando city, Florida",2977,378,179,214,92,214,222,332,362,777,612,701,575,626,873,795,972,923,1269,946,996,598,463,342,248
"G12054000","2014","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"16000US1254000","Palm Bay city, Florida",25454,550,378,100,248,0,275,280,870,651,1180,1961,1894,2396,4702,3222,2716,1323,1755,243,443,193,0,0,74,"Palm Bay city, Florida",2079,324,284,123,220,214,245,271,606,317,619,679,592,749,1277,1029,927,626,608,194,572,259,214,214,120
"G12054200","2014","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"16000US1254200","Palm Coast city, Florida",21624,470,0,857,0,43,109,0,85,75,503,109,648,542,2382,3625,3676,1754,2669,1181,1734,714,271,63,114,"Palm Coast city, Florida",1460,273,214,521,214,69,185,214,79,127,415,139,316,428,668,721,926,614,932,478,539,420,194,103,160
"G12055775","2014","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"16000US1255775","Pembroke Pines city, Florida",41337,795,166,43,94,0,460,0,158,550,1259,827,1726,811,4055,1801,3741,1793,6427,4973,7930,2562,994,172,0,"Pembroke Pines city, Florida",2640,381,169,69,109,214,332,214,178,360,859,430,781,394,1286,587,1108,509,1252,1366,1200,676,439,149,214
"G12056825","2014","FL",,,"Florida","12",,,"Pine Hills CDP","56825",,,,,,,,,,,,,,,,"16000US1256825","Pine Hills CDP, Florida",11364,659,298,34,122,262,83,375,1113,202,1067,824,420,415,1559,890,1339,726,709,44,223,0,0,0,0,"Pine Hills CDP, Florida",1378,376,238,57,118,283,100,244,487,228,404,445,317,272,632,585,634,463,502,71,275,214,214,214,214
"G12057425","2014","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"16000US1257425","Plantation city, Florida",20108,1068,0,0,72,0,41,450,0,254,412,209,246,544,1482,771,1317,1250,1855,2121,3774,2207,1011,673,351,"Plantation city, Florida",1700,606,214,214,84,214,67,399,214,214,327,191,179,312,546,337,591,586,552,603,749,611,478,332,190
"G12058050","2014","FL",,,"Florida","12",,,"Pompano Beach city","58050",,,,,,,,,,,,,,,,"16000US1258050","Pompano Beach city, Florida",22299,645,329,67,88,292,151,63,604,531,896,1025,1156,792,1443,1687,2941,971,1798,1139,1962,1972,918,379,450,"Pompano Beach city, Florida",2038,303,212,110,102,224,182,104,486,392,488,553,442,327,530,733,965,349,671,360,519,651,344,201,385
"G12058715","2014","FL",,,"Florida","12",,,"Port St. Lucie city","58715",,,,,,,,,,,,,,,,"16000US1258715","Port St. Lucie city, Florida",50025,1250,110,532,65,0,71,463,395,740,1589,2345,2846,2661,6595,6324,9520,4546,5014,2668,1168,538,183,95,307,"Port St. Lucie city, Florida",3416,704,136,377,105,214,119,506,330,344,850,896,1030,1069,1634,1639,2000,1749,1659,1012,565,375,180,157,392
"G12060950","2014","FL",,,"Florida","12",,,"Riverview CDP","60950",,,,,,,,,,,,,,,,"16000US1260950","Riverview CDP, Florida",19435,627,528,114,53,78,215,52,252,263,371,742,301,922,1324,2170,2037,2845,2840,2025,1099,444,43,0,90,"Riverview CDP, Florida",1772,337,513,137,61,128,204,61,228,186,385,562,210,394,605,829,643,830,852,659,489,390,70,214,148
"G12063000","2014","FL",,,"Florida","12",,,"St. Petersburg city","63000",,,,,,,,,,,,,,,,"16000US1263000","St. Petersburg city, Florida",57445,1221,291,573,389,358,743,332,1420,2306,1762,2334,2428,2703,5910,5687,6656,4236,4083,2832,3895,3002,1617,1238,1429,"St. Petersburg city, Florida",3426,414,197,321,248,194,338,173,510,727,455,569,705,600,1314,1125,1295,811,734,671,728,677,526,441,451
"G12068350","2014","FL",,,"Florida","12",,,"Spring Hill CDP","68350",,,,,,,,,,,,,,,,"16000US1268350","Spring Hill CDP, Florida",29918,1069,312,234,114,158,132,165,1805,1364,1943,1757,1735,2961,3942,3363,3793,1609,2351,704,238,0,107,0,62,"Spring Hill CDP, Florida",2020,493,223,214,143,136,133,135,540,581,787,621,536,912,990,904,1044,511,710,372,176,214,153,214,104
"G12069700","2014","FL",,,"Florida","12",,,"Sunrise city","69700",,,,,,,,,,,,,,,,"16000US1269700","Sunrise city, Florida",20432,297,484,787,149,364,673,345,844,1079,379,343,715,390,2038,1219,2213,1381,3064,1903,1495,87,138,45,0,"Sunrise city, Florida",1818,193,278,624,145,246,339,244,490,415,273,276,394,251,770,535,607,550,624,502,532,147,161,73,214
"G12070600","2014","FL",,,"Florida","12",,,"Tallahassee city","70600",,,,,,,,,,,,,,,,"16000US1270600","Tallahassee city, Florida",27568,422,183,90,130,77,46,402,423,323,188,617,1146,842,2041,2392,3515,3694,4579,2009,2989,764,547,65,84,"Tallahassee city, Florida",1785,234,161,148,154,100,75,310,222,232,158,350,506,415,585,742,821,860,883,517,671,358,379,75,138
"G12071000","2014","FL",,,"Florida","12",,,"Tampa city","71000",,,,,,,,,,,,,,,,"16000US1271000","Tampa city, Florida",67526,1320,506,385,293,626,802,359,1461,2791,2661,2902,3911,1693,5459,5943,5223,3304,4957,4798,7080,3748,3497,2089,1718,"Tampa city, Florida",3124,423,343,281,184,471,351,258,504,754,646,815,866,474,824,1169,1016,670,896,968,1193,903,928,560,581
"G12071625","2014","FL",,,"Florida","12",,,"The Villages CDP","71625",,,,,,,,,,,,,,,,"16000US1271625","The Villages CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,"The Villages CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,
"G12072145","2014","FL",,,"Florida","12",,,"Town 'n' Country CDP","72145",,,,,,,,,,,,,,,,"16000US1272145","Town 'n' Country CDP, Florida",17224,896,242,330,194,271,90,71,125,159,1462,169,1442,554,1987,1738,1802,1184,2186,757,586,410,378,0,191,"Town 'n' Country CDP, Florida",1657,455,245,247,188,222,105,117,141,155,742,141,764,342,591,655,528,522,632,458,291,319,286,214,311
"G12076582","2014","FL",,,"Florida","12",,,"Weston city","76582",,,,,,,,,,,,,,,,"16000US1276582","Weston city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,"Weston city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,
