GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,MGZE001,MGZE002,MGZE003,MGZE004,MGZE005,MGZE006,MGZE007,MGZE008,MGZE009,MGZE010,MGZE011,MGZE012,MGZE013,MGZE014,MGZE015,MGZE016,MGZE017,MGZE018,MGZE019,MGZE020,MGZE021,MGZE022,MGZE023,MGZE024,MGZE025,NAME_M,MGZM001,MGZM002,MGZM003,MGZM004,MGZM005,MGZM006,MGZM007,MGZM008,MGZM009,MGZM010,MGZM011,MGZM012,MGZM013,MGZM014,MGZM015,MGZM016,MGZM017,MGZM018,MGZM019,MGZM020,MGZM021,MGZM022,MGZM023,MGZM024,MGZM025
"G06036546","2011","CA",,,"California","06",,,"Inglewood city","36546",,,,,,,,,,,,,,,,"16000US0636546","Inglewood city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Inglewood city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06036770","2011","CA",,,"California","06",,,"Irvine city","36770",,,,,,,,,,,,,,,,"16000US0636770","Irvine city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Irvine city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06039496","2011","CA",,,"California","06",,,"Lake Forest city","39496",,,,,,,,,,,,,,,,"16000US0639496","Lake Forest city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Lake Forest city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06039892","2011","CA",,,"California","06",,,"Lakewood city","39892",,,,,,,,,,,,,,,,"16000US0639892","Lakewood city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Lakewood city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06040130","2011","CA",,,"California","06",,,"Lancaster city","40130",,,,,,,,,,,,,,,,"16000US0640130","Lancaster city, California",27396,263,437,334,479,0,312,309,1190,317,512,815,949,1324,3242,3535,2233,1915,3311,2142,1724,810,607,159,477,"Lancaster city, California",2605,276,193,353,419,208,291,241,733,322,319,391,483,602,906,888,763,620,914,694,734,396,362,166,322
"G06041992","2011","CA",,,"California","06",,,"Livermore city","41992",,,,,,,,,,,,,,,,"16000US0641992","Livermore city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Livermore city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06043000","2011","CA",,,"California","06",,,"Long Beach city","43000",,,,,,,,,,,,,,,,"16000US0643000","Long Beach city, California",64535,570,98,78,224,112,86,121,506,174,194,130,155,298,818,1073,2310,1183,4955,6007,10662,12114,15307,4712,2648,"Long Beach city, California",3079,377,119,91,177,108,83,97,548,150,163,130,155,261,358,419,882,438,1062,926,1404,1406,1897,946,617
"G06044000","2011","CA",,,"California","06",,,"Los Angeles city","44000",,,,,,,,,,,,,,,,"16000US0644000","Los Angeles city, California",481118,1426,398,583,558,743,1098,1353,1706,1999,714,1016,1090,996,6299,4974,13883,7658,32508,38504,96801,68538,96096,45522,56655,"Los Angeles city, California",6863,482,270,303,316,326,394,460,520,616,374,407,430,348,1220,1091,1700,1245,2872,2388,4450,3149,4923,2692,3101
"G06044574","2011","CA",,,"California","06",,,"Lynwood city","44574",,,,,,,,,,,,,,,,"16000US0644574","Lynwood city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Lynwood city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06045484","2011","CA",,,"California","06",,,"Manteca city","45484",,,,,,,,,,,,,,,,"16000US0645484","Manteca city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Manteca city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06046842","2011","CA",,,"California","06",,,"Menifee city","46842",,,,,,,,,,,,,,,,"16000US0646842","Menifee city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Menifee city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06046898","2011","CA",,,"California","06",,,"Merced city","46898",,,,,,,,,,,,,,,,"16000US0646898","Merced city, California",10941,61,42,97,95,68,73,0,237,208,384,277,911,691,1356,1841,1406,956,1224,551,290,0,121,11,41,"Merced city, California",1492,75,76,94,94,80,86,208,202,183,311,202,367,307,633,674,547,719,524,271,181,208,151,22,68
"G06047766","2011","CA",,,"California","06",,,"Milpitas city","47766",,,,,,,,,,,,,,,,"16000US0647766","Milpitas city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Milpitas city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06048256","2011","CA",,,"California","06",,,"Mission Viejo city","48256",,,,,,,,,,,,,,,,"16000US0648256","Mission Viejo city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Mission Viejo city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06048354","2011","CA",,,"California","06",,,"Modesto city","48354",,,,,,,,,,,,,,,,"16000US0648354","Modesto city, California",35748,471,142,163,436,187,140,33,41,884,659,525,1514,1180,4630,5096,4340,2936,5247,3111,2408,651,517,187,250,"Modesto city, California",2224,241,167,154,276,203,173,54,66,504,237,246,558,512,1058,1039,997,872,1403,864,667,392,309,182,204
"G06049270","2011","CA",,,"California","06",,,"Moreno Valley city","49270",,,,,,,,,,,,,,,,"16000US0649270","Moreno Valley city, California",32054,111,191,403,64,0,204,0,107,136,168,104,485,928,4320,3750,5693,4228,4742,3413,2355,599,53,0,0,"Moreno Valley city, California",1970,96,160,326,76,208,293,208,105,111,129,112,316,520,1858,1037,1135,1066,937,1382,901,424,65,208,208
"G06049670","2011","CA",,,"California","06",,,"Mountain View city","49670",,,,,,,,,,,,,,,,"16000US0649670","Mountain View city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Mountain View city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06050076","2011","CA",,,"California","06",,,"Murrieta city","50076",,,,,,,,,,,,,,,,"16000US0650076","Murrieta city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Murrieta city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06050258","2011","CA",,,"California","06",,,"Napa city","50258",,,,,,,,,,,,,,,,"16000US0650258","Napa city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Napa city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06051182","2011","CA",,,"California","06",,,"Newport Beach city","51182",,,,,,,,,,,,,,,,"16000US0651182","Newport Beach city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Newport Beach city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06052526","2011","CA",,,"California","06",,,"Norwalk city","52526",,,,,,,,,,,,,,,,"16000US0652526","Norwalk city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Norwalk city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06053000","2011","CA",,,"California","06",,,"Oakland city","53000",,,,,,,,,,,,,,,,"16000US0653000","Oakland city, California",63161,46,0,84,253,0,347,194,112,128,181,197,472,675,1259,1679,2549,1253,6308,5795,8638,7341,13961,7027,4662,"Oakland city, California",2525,76,208,136,161,208,256,162,137,156,158,173,286,299,466,660,761,399,1072,1061,1096,1067,1635,1082,860
"G06053322","2011","CA",,,"California","06",,,"Oceanside city","53322",,,,,,,,,,,,,,,,"16000US0653322","Oceanside city, California",30364,234,93,190,150,40,32,109,432,240,490,347,201,129,555,1118,1592,790,2306,3473,8951,5070,3155,311,356,"Oceanside city, California",2379,189,113,183,124,64,54,138,263,213,287,246,170,151,343,596,614,506,664,880,1281,847,756,213,262
"G06053896","2011","CA",,,"California","06",,,"Ontario city","53896",,,,,,,,,,,,,,,,"16000US0653896","Ontario city, California",25651,325,68,217,438,342,292,325,145,44,60,193,140,204,1214,717,2120,1956,6046,4961,3883,1661,164,67,69,"Ontario city, California",2445,310,114,275,393,269,260,522,120,72,103,211,154,188,783,433,690,788,1731,1657,1282,989,177,112,112
"G06053980","2011","CA",,,"California","06",,,"Orange city","53980",,,,,,,,,,,,,,,,"16000US0653980","Orange city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Orange city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06054652","2011","CA",,,"California","06",,,"Oxnard city","54652",,,,,,,,,,,,,,,,"16000US0654652","Oxnard city, California",27419,85,73,81,218,136,226,66,243,109,96,244,216,20,486,720,623,612,3667,4002,8220,3405,2438,1155,278,"Oxnard city, California",1917,100,87,114,230,130,196,88,163,91,110,185,219,33,285,376,356,309,820,747,1216,833,675,437,211
"G06055156","2011","CA",,,"California","06",,,"Palmdale city","55156",,,,,,,,,,,,,,,,"16000US0655156","Palmdale city, California",24083,266,34,113,287,73,103,0,30,341,103,260,637,1135,2380,3245,4513,1583,3699,2726,1525,466,345,184,35,"Palmdale city, California",1730,185,55,105,215,121,99,208,49,269,123,179,293,584,705,918,886,610,985,950,521,401,194,162,57
"G06055282","2011","CA",,,"California","06",,,"Palo Alto city","55282",,,,,,,,,,,,,,,,"16000US0655282","Palo Alto city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Palo Alto city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06056000","2011","CA",,,"California","06",,,"Pasadena city","56000",,,,,,,,,,,,,,,,"16000US0656000","Pasadena city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Pasadena city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06056700","2011","CA",,,"California","06",,,"Perris city","56700",,,,,,,,,,,,,,,,"16000US0656700","Perris city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Perris city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06057456","2011","CA",,,"California","06",,,"Pittsburg city","57456",,,,,,,,,,,,,,,,"16000US0657456","Pittsburg city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Pittsburg city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06057792","2011","CA",,,"California","06",,,"Pleasanton city","57792",,,,,,,,,,,,,,,,"16000US0657792","Pleasanton city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Pleasanton city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06058072","2011","CA",,,"California","06",,,"Pomona city","58072",,,,,,,,,,,,,,,,"16000US0658072","Pomona city, California",20592,439,135,215,134,200,0,34,104,194,0,270,0,0,549,412,1291,1564,4496,4421,3325,1289,1150,254,116,"Pomona city, California",1742,398,224,190,130,196,208,56,122,213,208,185,208,208,349,300,463,576,741,918,734,473,394,154,145
"G06059444","2011","CA",,,"California","06",,,"Rancho Cordova city","59444",,,,,,,,,,,,,,,,"16000US0659444","Rancho Cordova city, California",13200,285,86,301,530,54,0,0,0,31,106,108,134,621,805,864,2439,1289,2035,1397,1342,207,413,0,153,"Rancho Cordova city, California",1259,202,103,198,382,86,208,208,208,51,132,129,129,423,332,386,564,450,557,646,683,282,287,208,193
"G06059451","2011","CA",,,"California","06",,,"Rancho Cucamonga city","59451",,,,,,,,,,,,,,,,"16000US0659451","Rancho Cucamonga city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Rancho Cucamonga city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06059920","2011","CA",,,"California","06",,,"Redding city","59920",,,,,,,,,,,,,,,,"16000US0659920","Redding city, California",19318,842,89,279,73,0,64,302,124,0,104,0,278,195,698,1112,2408,2145,3241,2568,2112,902,1064,673,45,"Redding city, California",1550,501,108,298,117,208,105,243,178,208,120,208,205,203,322,611,768,712,633,808,703,375,611,469,80
"G06059962","2011","CA",,,"California","06",,,"Redlands city","59962",,,,,,,,,,,,,,,,"16000US0659962","Redlands city, California",14334,83,66,108,0,0,130,0,315,297,38,155,67,124,146,645,677,786,2467,1799,3551,1138,1089,443,210,"Redlands city, California",1677,102,115,106,208,208,157,208,271,483,69,193,109,96,124,326,409,425,1012,423,892,616,399,279,205
"G06060018","2011","CA",,,"California","06",,,"Redondo Beach city","60018",,,,,,,,,,,,,,,,"16000US0660018","Redondo Beach city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Redondo Beach city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06060102","2011","CA",,,"California","06",,,"Redwood City city","60102",,,,,,,,,,,,,,,,"16000US0660102","Redwood City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Redwood City city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06060466","2011","CA",,,"California","06",,,"Rialto city","60466",,,,,,,,,,,,,,,,"16000US0660466","Rialto city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Rialto city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06060620","2011","CA",,,"California","06",,,"Richmond city","60620",,,,,,,,,,,,,,,,"16000US0660620","Richmond city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Richmond city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06062000","2011","CA",,,"California","06",,,"Riverside city","62000",,,,,,,,,,,,,,,,"16000US0662000","Riverside city, California",49739,37,92,195,377,219,258,37,396,252,195,816,382,207,2612,3033,5376,4320,10798,5805,8908,2940,1618,469,397,"Riverside city, California",2949,62,108,192,237,279,175,61,312,250,235,582,237,264,698,893,1089,903,1761,1300,1497,825,490,220,262
"G06062938","2011","CA",,,"California","06",,,"Roseville city","62938",,,,,,,,,,,,,,,,"16000US0662938","Roseville city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Roseville city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06064000","2011","CA",,,"California","06",,,"Sacramento city","64000",,,,,,,,,,,,,,,,"16000US0664000","Sacramento city, California",82503,700,780,347,299,221,473,332,705,1033,1485,1424,3424,1720,6110,7536,7951,4886,10777,9696,10984,4727,5586,1002,305,"Sacramento city, California",3835,402,362,200,317,169,264,256,301,685,660,545,945,614,964,2004,1206,1242,1624,1560,1469,883,1292,444,298
"G06064224","2011","CA",,,"California","06",,,"Salinas city","64224",,,,,,,,,,,,,,,,"16000US0664224","Salinas city, California",18100,107,0,0,54,243,65,0,574,207,142,63,235,0,1275,623,1149,1129,3648,2820,3423,1206,837,186,114,"Salinas city, California",1699,126,208,208,90,367,106,208,401,179,168,106,256,208,503,410,467,530,817,810,901,418,433,126,140
"G06065000","2011","CA",,,"California","06",,,"San Bernardino city","65000",,,,,,,,,,,,,,,,"16000US0665000","San Bernardino city, California",28079,984,358,373,0,530,307,170,689,785,1492,1387,2119,839,2875,2087,3131,1966,4038,1919,1075,716,71,93,75,"San Bernardino city, California",2255,403,292,222,208,418,244,167,394,402,655,656,739,404,763,728,951,718,1126,695,513,335,117,152,131
"G06065042","2011","CA",,,"California","06",,,"San Buenaventura (Ventura) city","65042",,,,,,,,,,,,,,,,"16000US0665042","San Buenaventura (Ventura) city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"San Buenaventura (Ventura) city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06066000","2011","CA",,,"California","06",,,"San Diego city","66000",,,,,,,,,,,,,,,,"16000US0666000","San Diego city, California",222651,1251,702,515,261,83,774,341,1190,443,1196,399,617,1176,3702,1997,5852,4908,16423,18161,41389,34077,50347,20709,16138,"San Diego city, California",5387,539,501,358,165,96,456,196,355,226,506,186,278,535,845,563,1169,1157,1670,1794,2655,2991,3294,2295,1780
"G06067000","2011","CA",,,"California","06",,,"San Francisco city","67000",,,,,,,,,,,,,,,,"16000US0667000","San Francisco city, California",123681,302,180,80,0,35,105,66,233,101,196,417,261,475,339,484,250,172,2364,1239,6560,10911,42158,28170,28583,"San Francisco city, California",4286,231,217,130,208,58,127,108,165,100,139,267,246,346,250,601,197,146,781,485,1283,1363,2909,2412,2600
"G06068000","2011","CA",,,"California","06",,,"San Jose city","68000",,,,,,,,,,,,,,,,"16000US0668000","San Jose city, California",172528,492,303,378,193,192,530,350,876,1402,1216,869,1036,1052,1044,1255,2609,2071,5672,7035,20464,27067,62175,23400,10847,"San Jose city, California",4737,283,220,312,166,259,449,236,420,441,721,312,485,461,507,622,748,764,1018,1107,2004,2228,3511,2048,1259
"G06068084","2011","CA",,,"California","06",,,"San Leandro city","68084",,,,,,,,,,,,,,,,"16000US0668084","San Leandro city, California",17431,0,207,205,113,0,0,0,147,131,189,0,56,0,43,279,247,242,1055,2119,5352,4110,2733,160,43,"San Leandro city, California",1965,208,337,193,134,208,208,208,145,131,180,208,91,208,74,226,183,200,510,766,1163,966,854,158,71
"G06068196","2011","CA",,,"California","06",,,"San Marcos city","68196",,,,,,,,,,,,,,,,"16000US0668196","San Marcos city, California",14435,178,76,0,117,0,109,217,75,37,193,0,151,491,448,448,0,375,894,833,4388,1833,3376,196,0,"San Marcos city, California",1758,168,128,208,135,208,107,364,91,62,160,208,176,369,330,428,208,301,360,442,1084,609,899,199,208
"G06068252","2011","CA",,,"California","06",,,"San Mateo city","68252",,,,,,,,,,,,,,,,"16000US0668252","San Mateo city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"San Mateo city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06068378","2011","CA",,,"California","06",,,"San Ramon city","68378",,,,,,,,,,,,,,,,"16000US0668378","San Ramon city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"San Ramon city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06069000","2011","CA",,,"California","06",,,"Santa Ana city","69000",,,,,,,,,,,,,,,,"16000US0669000","Santa Ana city, California",35879,112,172,114,382,96,568,421,438,323,193,199,111,61,223,986,1027,927,3251,3563,11721,4839,5183,332,637,"Santa Ana city, California",2177,107,188,188,259,114,330,288,239,203,212,149,135,73,147,550,363,420,787,779,1384,887,1144,198,349
"G06069070","2011","CA",,,"California","06",,,"Santa Barbara city","69070",,,,,,,,,,,,,,,,"16000US0669070","Santa Barbara city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Santa Barbara city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06069084","2011","CA",,,"California","06",,,"Santa Clara city","69084",,,,,,,,,,,,,,,,"16000US0669084","Santa Clara city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Santa Clara city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06069088","2011","CA",,,"California","06",,,"Santa Clarita city","69088",,,,,,,,,,,,,,,,"16000US0669088","Santa Clarita city, California",38842,170,78,20,67,86,64,94,159,0,90,238,183,303,1315,353,903,651,1944,3114,13102,8542,5751,996,619,"Santa Clarita city, California",2035,115,92,33,109,115,74,110,158,208,111,168,164,304,553,191,357,440,779,850,1512,1186,958,339,318
"G06069196","2011","CA",,,"California","06",,,"Santa Maria city","69196",,,,,,,,,,,,,,,,"16000US0669196","Santa Maria city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Santa Maria city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06070000","2011","CA",,,"California","06",,,"Santa Monica city","70000",,,,,,,,,,,,,,,,"16000US0670000","Santa Monica city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Santa Monica city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06070098","2011","CA",,,"California","06",,,"Santa Rosa city","70098",,,,,,,,,,,,,,,,"16000US0670098","Santa Rosa city, California",34487,251,0,60,219,225,232,51,281,109,599,324,168,94,612,334,1059,937,2648,2657,10790,4750,5306,1639,1142,"Santa Rosa city, California",2414,211,208,98,207,196,225,85,218,180,477,236,173,111,322,354,420,519,657,649,1518,1134,1026,622,514
"G06072016","2011","CA",,,"California","06",,,"Simi Valley city","72016",,,,,,,,,,,,,,,,"16000US0672016","Simi Valley city, California",30666,0,0,85,80,76,224,112,0,82,337,43,0,0,151,91,276,264,672,1934,9258,8450,6684,1460,387,"Simi Valley city, California",2051,208,208,99,90,88,157,106,208,95,283,72,208,208,127,110,264,169,311,496,1353,1240,1040,601,263
"G06073080","2011","CA",,,"California","06",,,"South Gate city","73080",,,,,,,,,,,,,,,,"16000US0673080","South Gate city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"South Gate city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06075000","2011","CA",,,"California","06",,,"Stockton city","75000",,,,,,,,,,,,,,,,"16000US0675000","Stockton city, California",45759,314,169,140,127,63,310,90,931,1034,1150,1394,2355,1463,6551,5158,5862,4185,5721,3487,2058,979,1332,462,424,"Stockton city, California",2746,190,159,139,133,75,317,119,433,464,430,546,778,508,1035,1009,1048,999,1159,1040,623,546,415,362,236
"G06077000","2011","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"16000US0677000","Sunnyvale city, California",24807,0,38,42,0,91,104,154,128,147,169,396,389,393,317,164,375,158,642,594,1387,2148,5491,8092,3388,"Sunnyvale city, California",2003,208,62,68,208,108,129,152,153,173,167,257,272,338,195,174,382,155,454,502,507,646,867,1231,731
"G06078120","2011","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"16000US0678120","Temecula city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Temecula city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06078582","2011","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"16000US0678582","Thousand Oaks city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Thousand Oaks city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06080000","2011","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"16000US0680000","Torrance city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Torrance city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06080238","2011","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"16000US0680238","Tracy city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Tracy city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06080812","2011","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"16000US0680812","Turlock city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Turlock city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06080854","2011","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"16000US0680854","Tustin city, California",13560,253,150,31,46,95,113,32,112,87,0,65,311,39,125,87,80,415,471,719,1096,3387,4045,1427,374,"Tustin city, California",1597,242,146,52,78,110,111,55,105,102,208,107,233,64,156,102,96,221,328,413,505,1146,744,452,344
"G06081204","2011","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"16000US0681204","Union City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Union City city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06081344","2011","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"16000US0681344","Upland city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Upland city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06081554","2011","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"16000US0681554","Vacaville city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Vacaville city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06081666","2011","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",22589,109,269,74,194,150,37,0,99,174,116,282,323,806,1532,1188,2407,2260,4805,2361,2955,1287,706,275,180,"Vallejo city, California",1823,176,302,88,111,185,62,208,110,143,102,201,206,406,608,488,665,640,1125,648,678,588,411,345,170
"G06082590","2011","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Victorville city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06082954","2011","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",24913,224,216,491,84,44,130,25,406,344,256,595,682,660,2810,3724,3754,2177,2804,2171,1235,698,678,538,167,"Visalia city, California",2160,184,154,286,91,75,152,42,358,307,224,473,354,470,911,1289,1119,823,818,598,451,483,523,473,211
"G06082996","2011","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",14835,39,134,65,277,33,0,0,39,196,257,37,0,227,253,433,394,399,974,3273,3513,2597,1542,153,0,"Vista city, California",1505,61,172,106,231,55,208,208,64,152,214,60,208,276,187,260,317,254,382,947,638,678,522,158,208
"G06083346","2011","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Walnut Creek city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06084200","2011","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"West Covina city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06084550","2011","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Westminster city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06085292","2011","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Whittier city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06086832","2011","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06086972","2011","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",13366,362,143,432,164,0,45,0,45,135,277,107,153,180,1198,1449,1466,1146,2173,2238,1189,136,123,74,131,"Yuba City city, California",1092,298,156,400,149,208,75,208,58,123,274,106,168,164,587,684,643,732,752,669,612,162,153,115,195
"G08003455","2011","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,"Arvada city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,
"G08004000","2011","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",67579,356,318,608,426,439,0,368,711,622,1670,1296,2414,1343,5654,8629,10065,8420,11331,5564,4757,1507,870,78,133,"Aurora city, Colorado",3004,219,239,277,295,367,201,247,429,298,750,588,967,475,1124,1996,1323,1403,1593,1293,1265,726,549,127,117
"G08007850","2011","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,"Boulder city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,
"G08012815","2011","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,"Centennial city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,
"G08016000","2011","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",96809,1530,1038,609,505,207,153,87,374,168,317,530,1176,1535,5583,8054,12975,11131,16586,10674,12931,5247,4221,279,899,"Colorado Springs city, Colorado",3470,590,328,297,265,167,202,115,247,182,251,321,570,551,1039,1536,1691,1718,1858,1380,1687,1076,881,230,407
