GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,MGZE001,MGZE002,MGZE003,MGZE004,MGZE005,MGZE006,MGZE007,MGZE008,MGZE009,MGZE010,MGZE011,MGZE012,MGZE013,MGZE014,MGZE015,MGZE016,MGZE017,MGZE018,MGZE019,MGZE020,MGZE021,MGZE022,MGZE023,MGZE024,MGZE025,NAME_M,MGZM001,MGZM002,MGZM003,MGZM004,MGZM005,MGZM006,MGZM007,MGZM008,MGZM009,MGZM010,MGZM011,MGZM012,MGZM013,MGZM014,MGZM015,MGZM016,MGZM017,MGZM018,MGZM019,MGZM020,MGZM021,MGZM022,MGZM023,MGZM024,MGZM025
"G04046000","2011","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",97837,3453,2077,1986,1598,1476,2476,704,2126,2744,2576,2599,4413,5026,10957,10511,12580,7047,8320,4422,4652,2354,2888,387,465,"Mesa city, Arizona",4153,928,721,874,905,623,1057,511,754,902,702,712,1005,1196,1479,1890,1581,1293,1337,1006,1033,868,1070,342,301
"G04054050","2011","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",42298,814,326,814,320,171,306,0,373,968,1448,1132,2062,1000,4372,3877,5385,3837,5496,4801,2806,1266,438,42,244,"Peoria city, Arizona",2659,542,253,611,198,121,237,229,286,513,733,575,817,450,1170,1008,1496,934,1436,1785,1031,667,427,70,256
"G04055000","2011","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",286852,3159,2731,2418,2336,1627,4111,5413,9541,12459,12308,13838,15223,13637,33179,22890,24801,14759,23670,19358,23738,8660,10116,2482,4398,"Phoenix city, Arizona",8006,884,856,913,1046,550,1025,1527,1598,1781,1501,2028,1937,2021,3198,3205,2633,2034,3009,2286,2946,1598,1658,688,1114
"G04064210","2011","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,"San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,
"G04065000","2011","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",67504,381,191,331,318,747,346,58,333,392,382,543,306,722,2395,3175,3194,1994,6823,6895,10162,7677,9939,5310,4890,"Scottsdale city, Arizona",3731,277,202,323,331,655,250,96,333,317,244,375,229,589,1122,1161,893,701,1636,1490,1812,1846,1837,1473,1426
"G04071510","2011","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",28421,240,72,312,178,0,249,124,594,0,0,74,2917,1462,3720,1862,5763,1759,3668,1554,1523,1846,298,0,206,"Surprise city, Arizona",3243,315,120,323,169,229,211,148,510,229,229,123,1289,1070,1426,914,1953,876,1344,763,850,1398,280,229,335
"G04073000","2011","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",27678,369,327,350,0,0,295,0,112,210,208,417,603,513,2683,2290,4423,2744,4584,2880,3004,524,703,188,251,"Tempe city, Arizona",2602,297,207,395,229,229,279,229,145,212,231,332,326,390,820,740,1205,711,987,777,757,286,255,218,189
"G04077000","2011","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",100604,3626,1188,1067,915,437,873,819,2104,1742,2744,3691,5271,7042,12167,12399,14571,6920,11059,4767,4106,938,1115,125,918,"Tucson city, Arizona",3986,898,461,432,529,261,443,456,630,503,800,882,1182,1228,1741,1830,2032,1200,1596,1149,908,422,474,118,965
"G04085540","2011","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",20877,908,580,259,324,450,107,0,270,496,284,1602,819,1631,2373,2131,2679,1129,1088,2181,1044,0,343,41,138,"Yuma city, Arizona",2033,566,456,217,373,352,135,229,249,373,312,797,396,691,822,967,852,489,546,1045,655,229,490,70,238
"G05023290","2011","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,"Fayetteville city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,
"G05024550","2011","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",18449,243,114,67,123,19,66,360,296,1873,1386,1078,2189,1115,2133,1400,1140,1231,1371,956,769,88,211,221,0,"Fort Smith city, Arkansas",1576,154,133,110,117,34,118,247,247,687,476,515,669,473,639,483,430,486,546,481,449,112,197,185,192
"G05035710","2011","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",13883,86,0,0,0,0,123,70,224,166,796,648,1972,734,1195,1572,1362,2046,922,480,821,251,89,326,0,"Jonesboro city, Arkansas",1718,144,192,192,192,192,207,119,279,192,515,498,789,460,451,635,577,1001,572,377,425,248,140,296,192
"G05041000","2011","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",45990,210,300,22,144,327,463,174,1676,2012,1417,2563,2693,2019,3839,4748,4997,2518,3511,2663,4575,2139,1929,603,448,"Little Rock city, Arkansas",3076,173,184,37,187,292,342,120,599,872,604,751,845,778,866,1009,1332,632,851,816,1322,797,706,344,337
"G05066080","2011","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",14233,253,0,255,167,0,106,57,149,323,1295,763,742,1067,2043,1331,2215,1465,542,242,713,180,325,0,0,"Springdale city, Arkansas",2021,356,192,193,267,192,125,96,188,381,843,438,444,518,724,618,882,900,368,205,564,169,246,192,192
"G06000562","2011","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06000884","2011","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06002000","2011","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",45616,176,203,85,116,34,515,0,579,189,628,239,160,102,460,296,379,653,2019,2885,13823,9354,9443,2459,819,"Anaheim city, California",2873,152,180,104,116,57,360,208,327,183,439,201,205,122,312,242,224,378,703,781,1740,1270,1260,810,433
"G06002252","2011","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06002364","2011","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",17608,0,96,310,364,233,0,135,235,76,405,637,1117,980,1559,1317,2271,919,1865,2178,2242,331,55,283,0,"Apple Valley town, California",1640,208,117,454,294,393,208,178,232,124,298,412,630,520,659,609,749,540,906,787,1097,317,90,289,208
"G06002553","2011","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",18123,94,78,0,0,201,46,65,0,0,93,119,0,559,1002,1106,1232,962,3105,2305,2649,821,2358,877,451,"Arden-Arcade CDP, California",1590,112,128,208,208,193,77,106,208,208,112,146,208,377,502,576,565,494,697,707,582,393,712,351,253
"G06003526","2011","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",60218,301,244,215,531,260,403,72,946,1048,982,1517,1879,2525,7233,5168,8298,5389,10613,5572,4140,1023,1317,190,352,"Bakersfield city, California",3194,208,216,204,439,226,266,71,513,529,426,695,627,769,1372,1075,1336,1115,1602,1251,877,393,536,158,276
"G06003666","2011","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,
