GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFUZE001,AFUZE002,AFUZE003,AFUZE004,AFUZE005,AFUZE006,AFUZE007,AFUZE008,AFUZE009,AFUZE010,AFUZE011,AFUZE012,AFUZE013,AFUZE014,AFUZE015,AFUZE016,AFUZE017,AFUZE018,AFUZE019,AFUZE020,AFUZE021,AFUZE022,AFUZE023,AFUZE024,AFUZE025,AFUZE026,AFUZE027,NAME_M,AFUZM001,AFUZM002,AFUZM003,AFUZM004,AFUZM005,AFUZM006,AFUZM007,AFUZM008,AFUZM009,AFUZM010,AFUZM011,AFUZM012,AFUZM013,AFUZM014,AFUZM015,AFUZM016,AFUZM017,AFUZM018,AFUZM019,AFUZM020,AFUZM021,AFUZM022,AFUZM023,AFUZM024,AFUZM025,AFUZM026,AFUZM027
"G04028380","2016","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04046000","2016","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",103159,3548,1751,1531,870,793,470,637,738,1108,1900,1806,1628,2329,5233,5737,10228,7818,19237,12608,13374,4640,4008,423,301,289,154,"Mesa city, Arizona",3917,963,562,527,311,375,232,295,366,516,515,549,516,657,1051,1016,1291,1160,1922,1436,1467,874,721,301,197,266,130
"G04054050","2016","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",41132,748,483,217,81,211,83,126,169,51,196,239,522,223,1509,2338,4120,3876,5517,7704,7447,2866,2143,39,181,0,43,"Peoria city, Arizona",1872,470,389,212,94,206,103,208,125,84,167,183,349,167,465,615,821,830,1051,1225,1244,617,540,64,187,204,70
"G04055000","2016","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",294909,4151,1763,1814,678,442,967,1010,1983,4253,5124,2666,6812,5222,20103,20726,35496,23925,38773,29822,37352,23101,19015,5819,1946,1214,732,"Phoenix city, Arizona",6473,849,567,749,321,256,398,406,643,939,1103,777,1145,1060,2078,2008,2807,2547,3035,2392,3000,2261,1866,1285,614,605,307
"G04064210","2016","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04065000","2016","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",73739,463,0,0,92,167,122,50,90,236,204,211,100,337,1083,1043,2850,1654,5002,6100,12998,10355,13438,8645,4609,1617,2273,"Scottsdale city, Arizona",2875,429,204,204,151,164,146,82,149,225,201,231,119,385,539,530,958,647,1002,1129,1800,1500,1664,1361,833,729,614
"G04071510","2016","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",36367,342,46,88,532,146,260,111,112,283,299,222,309,601,915,1957,3894,3225,9416,6370,5440,809,942,48,0,0,0,"Surprise city, Arizona",1938,264,76,102,322,177,264,137,139,234,383,261,271,381,568,815,788,911,1405,1069,1115,371,398,83,204,204,204
"G04073000","2016","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",30576,935,89,0,64,0,72,69,294,0,68,278,279,232,1111,806,2901,1831,5962,6313,4703,2370,1445,343,384,0,27,"Tempe city, Arizona",2588,576,105,204,106,204,119,115,218,204,115,230,214,197,493,377,798,710,982,1268,956,694,433,195,283,204,45
"G04077000","2016","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",104554,5138,1301,1023,1329,562,603,284,2176,2454,3100,3056,4223,4893,13300,11605,14357,8528,11841,6286,4698,1378,1357,770,134,65,93,"Tucson city, Arizona",3550,1321,483,556,625,299,308,222,696,591,763,895,874,913,1558,1455,1737,1157,1758,1208,892,474,442,386,154,79,119
"G04085540","2016","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",20794,1143,300,30,729,377,446,77,491,342,688,235,1362,963,2429,2000,2406,1602,2131,1382,1091,464,106,0,0,0,0,"Yuma city, Arizona",1586,521,236,53,466,229,286,93,265,211,467,157,523,431,654,626,855,498,679,600,505,312,126,204,204,204,204
