GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJNQE001,AJNQE002,AJNQE003,AJNQE004,AJNQE005,AJNQE006,AJNQE007,AJNQE008,AJNQE009,AJNQE010,AJNQE011,AJNQE012,AJNQE013,AJNQE014,AJNQE015,AJNQE016,AJNQE017,AJNQE018,AJNQE019,AJNQE020,AJNQE021,AJNQE022,AJNQE023,AJNQE024,AJNQE025,AJNQE026,AJNQE027,NAME_M,AJNQM001,AJNQM002,AJNQM003,AJNQM004,AJNQM005,AJNQM006,AJNQM007,AJNQM008,AJNQM009,AJNQM010,AJNQM011,AJNQM012,AJNQM013,AJNQM014,AJNQM015,AJNQM016,AJNQM017,AJNQM018,AJNQM019,AJNQM020,AJNQM021,AJNQM022,AJNQM023,AJNQM024,AJNQM025,AJNQM026,AJNQM027
"G04027820","2018","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",48120,1829,848,435,733,93,105,465,0,197,419,317,272,291,2200,1970,4481,3502,10515,6542,7896,2768,1650,118,147,124,203,"Glendale city, Arizona",2603,761,471,415,459,109,124,418,211,173,262,245,235,230,649,635,1044,859,1487,1068,1119,539,409,119,140,109,210
"G04028380","2018","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04046000","2018","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",111314,3272,1722,1418,1618,1197,639,307,799,1229,914,915,928,1447,3577,3547,7149,6496,21753,20027,20071,6377,3808,1461,296,46,301,"Mesa city, Arizona",4369,857,514,425,504,505,323,199,373,486,338,309,356,479,933,818,1278,1324,2394,2240,1731,1109,788,487,218,54,198
"G04054050","2018","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",47849,788,558,737,328,414,53,277,0,178,106,185,248,678,506,1545,2619,2947,7683,6735,11231,5260,3577,664,254,0,278,"Peoria city, Arizona",2370,510,311,377,220,226,86,447,211,176,119,188,212,381,262,538,698,713,1341,1099,1336,880,832,324,224,211,262
"G04055000","2018","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",307764,3898,1628,1153,1390,1051,869,383,628,1779,2013,2172,3698,3670,13357,12460,27986,23301,53374,38318,49094,26374,26022,6715,4257,1275,899,"Phoenix city, Arizona",6648,992,595,421,640,621,439,218,330,561,608,795,953,1030,1895,1851,2660,2418,3680,3214,3360,2331,1856,1032,864,510,367
"G04064210","2018","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04065000","2018","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",76888,346,0,144,0,246,85,0,271,83,138,51,205,72,352,858,2035,1047,4269,3282,13763,12226,17731,10049,5949,1893,1793,"Scottsdale city, Arizona",3768,263,211,248,211,259,143,211,258,137,180,86,172,118,309,413,830,595,1120,837,1752,1858,1896,1573,1154,767,649
"G04071510","2018","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04073000","2018","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tempe city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04077000","2018","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",104558,2740,1243,1276,1324,656,629,269,1256,1013,1721,2319,2509,3081,9678,11406,15674,11741,15342,9825,5480,2429,2138,515,109,90,95,"Tucson city, Arizona",3754,810,490,498,606,352,402,221,525,676,628,684,691,865,1458,1485,2070,1571,1700,1541,943,740,648,294,87,108,108
"G04085540","2018","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",20716,942,231,339,471,77,540,76,217,555,155,112,1111,611,2286,2418,3015,1183,2840,1360,1468,573,136,0,0,0,0,"Yuma city, Arizona",1567,481,188,262,280,97,309,89,153,407,135,104,502,272,693,906,909,446,1020,431,576,433,123,211,211,211,211
"G05015190","2018","AR",,,"Arkansas","05",,,"Conway city","15190",,,,,,,,,,,,,,,,"16000US0515190","Conway city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conway city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G05023290","2018","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayetteville city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G05024550","2018","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",18116,264,152,142,150,142,221,0,657,263,1547,910,1217,1396,1872,1767,1951,1289,1413,727,837,619,261,95,119,41,64,"Fort Smith city, Arkansas",1816,310,133,159,169,164,207,201,487,247,636,560,481,738,660,781,690,671,542,390,441,392,211,120,146,70,106
"G05035710","2018","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jonesboro city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G05041000","2018","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",45168,884,282,98,226,253,503,541,654,1431,1664,1579,2072,1174,3135,4073,4833,2607,4162,2576,5469,2515,2098,1394,598,70,277,"Little Rock city, Arkansas",2666,512,323,163,226,342,427,464,409,654,582,760,772,646,728,945,993,682,1011,697,1056,873,830,602,328,117,280
"G05050450","2018","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Little Rock city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G05060410","2018","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"16000US0560410","Rogers city, Arkansas",14332,0,0,42,99,0,0,68,175,175,225,274,936,282,1267,2196,1162,675,2003,1057,1926,550,784,264,135,37,0,"Rogers city, Arkansas",1305,201,201,69,162,201,201,124,223,225,247,247,464,195,532,689,418,383,663,325,686,306,490,176,133,63,201
"G05066080","2018","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Springdale city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06000562","2018","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06000884","2018","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
