GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,AQDXE001,AQDXE002,AQDXE003,AQDXE004,AQDXE005,AQDXE006,AQDXE007,AQDXE008,AQDXE009,AQDXE010,AQDXE011,AQDXE012,AQDXE013,AQDXE014,AQDXE015,AQDXE016,AQDXE017,AQDXE018,AQDXE019,AQDXE020,AQDXE021,AQDXE022,AQDXE023,AQDXE024,AQDXE025,AQDXE026,AQDXE027,NAME_M,AQDXM001,AQDXM002,AQDXM003,AQDXM004,AQDXM005,AQDXM006,AQDXM007,AQDXM008,AQDXM009,AQDXM010,AQDXM011,AQDXM012,AQDXM013,AQDXM014,AQDXM015,AQDXM016,AQDXM017,AQDXM018,AQDXM019,AQDXM020,AQDXM021,AQDXM022,AQDXM023,AQDXM024,AQDXM025,AQDXM026,AQDXM027
"G04027400","2022","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"1600000US0427400","0427400","Gilbert town, Arizona",70783,413,54,0,0,99,43,378,214,380,195,184,0,81,57,0,57,126,1264,1195,4122,13724,31377,10750,4105,1048,917,"Gilbert town, Arizona",3331,224,89,228,228,159,71,316,159,326,194,225,228,96,96,228,93,206,558,608,1121,2319,2716,1523,1170,593,508
"G04027820","2022","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"1600000US0427820","0427820","Glendale city, Arizona",52229,1318,224,567,1204,216,551,248,94,1296,722,0,278,163,0,314,964,249,3896,2665,12392,11510,10887,1493,699,104,175,"Glendale city, Arizona",3553,709,274,422,826,225,716,284,108,834,875,228,280,164,228,291,462,220,1222,729,2051,1640,1702,576,444,168,132
"G04028380","2022","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"1600000US0428380","0428380","Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04044410","2022","AZ",,,"Arizona","04",,,"Maricopa city","44410",,,,,,,,,,,,,,,,"1600000US0444410","0444410","Maricopa city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maricopa city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04046000","2022","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"1600000US0446000","0446000","Mesa city, Arizona",126161,1948,787,306,1077,617,960,1458,1887,1185,1194,1084,1350,739,1710,1664,1502,1071,6722,6153,23965,27690,29781,7798,2355,391,767,"Mesa city, Arizona",5025,550,468,244,706,394,519,565,562,727,743,882,704,437,739,682,643,418,1362,1205,2686,3112,2728,1455,788,308,543
"G04054050","2022","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"1600000US0454050","0454050","Peoria city, Arizona",55486,592,288,69,51,73,613,223,360,491,689,0,0,0,697,0,54,156,1711,2710,8509,11194,19455,5176,1438,290,647,"Peoria city, Arizona",2737,302,318,117,85,123,356,222,377,418,447,228,228,228,511,228,89,132,813,874,1479,1655,2276,1018,755,211,454
"G04055000","2022","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"1600000US0455000","0455000","Phoenix city, Arizona",354070,5041,1390,1256,1326,1779,1089,1187,1496,1754,1495,847,640,657,2977,1500,5090,4314,16785,25437,81693,66044,74882,35019,11462,3843,5067,"Phoenix city, Arizona",7767,1317,669,765,672,937,479,614,637,804,626,498,354,448,702,511,1348,1105,2276,2992,5165,3960,4277,2763,1659,1063,1368
"G04058150","2022","AZ",,,"Arizona","04",,,"Queen Creek town","58150",,,,,,,,,,,,,,,,"1600000US0458150","0458150","Queen Creek town, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Queen Creek town, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04064210","2022","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"1600000US0464210","0464210","San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04065000","2022","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"1600000US0465000","0465000","Scottsdale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scottsdale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
