GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFUZE001,AFUZE002,AFUZE003,AFUZE004,AFUZE005,AFUZE006,AFUZE007,AFUZE008,AFUZE009,AFUZE010,AFUZE011,AFUZE012,AFUZE013,AFUZE014,AFUZE015,AFUZE016,AFUZE017,AFUZE018,AFUZE019,AFUZE020,AFUZE021,AFUZE022,AFUZE023,AFUZE024,AFUZE025,AFUZE026,AFUZE027,NAME_M,AFUZM001,AFUZM002,AFUZM003,AFUZM004,AFUZM005,AFUZM006,AFUZM007,AFUZM008,AFUZM009,AFUZM010,AFUZM011,AFUZM012,AFUZM013,AFUZM014,AFUZM015,AFUZM016,AFUZM017,AFUZM018,AFUZM019,AFUZM020,AFUZM021,AFUZM022,AFUZM023,AFUZM024,AFUZM025,AFUZM026,AFUZM027
"G0100030","2016","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",56144,826,480,304,193,249,815,218,482,1030,833,760,1741,984,5076,4368,6747,5277,7849,4878,6983,2803,1339,1223,305,43,338,"Baldwin County, Alabama",2831,544,368,181,174,193,477,143,399,502,435,449,808,568,1391,1102,1396,1163,1757,1411,1333,764,465,506,207,71,317
"G0100150","2016","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",29321,814,455,499,344,519,521,513,773,1214,1407,2315,2181,1313,2869,2394,3509,1464,2049,1742,946,549,473,200,217,0,41,"Calhoun County, Alabama",1746,477,274,337,286,413,363,277,375,484,582,552,617,530,803,675,765,627,580,659,470,369,297,203,173,195,70
"G0100430","2016","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",23306,827,229,121,258,54,173,113,766,823,1416,730,1972,867,2732,1762,2025,2412,2105,1199,1151,865,395,202,28,19,62,"Cullman County, Alabama",1387,503,260,140,193,78,148,101,445,475,581,438,571,447,666,561,735,769,657,448,463,386,312,199,51,32,107
"G0100490","2016","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",18185,1047,392,182,663,530,410,260,698,475,1235,1080,1286,716,1838,1982,1075,963,1471,551,973,31,179,70,0,0,78,"DeKalb County, Alabama",1270,554,326,189,616,517,275,197,468,264,614,444,544,330,509,623,431,418,485,386,596,40,221,92,195,195,78
"G0100510","2016","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",20862,594,157,253,81,47,282,133,81,63,302,760,716,614,2790,2139,1693,1998,2788,1635,2119,799,641,91,86,0,0,"Elmore County, Alabama",1438,436,173,178,137,57,294,154,123,113,228,403,338,346,825,779,541,857,821,659,622,421,346,104,110,195,195
"G0100550","2016","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",27766,488,665,369,266,446,1182,724,1437,1428,1538,1218,1882,862,3676,2515,2141,1750,2181,600,1601,152,485,138,0,0,22,"Etowah County, Alabama",1670,310,513,220,182,207,533,393,438,655,564,471,743,397,946,727,800,687,763,280,559,193,423,111,195,195,38
"G0100690","2016","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",25239,412,263,161,408,268,488,614,767,1023,909,1350,1623,1317,2827,2605,2007,1546,2439,1775,1310,345,543,146,50,18,25,"Houston County, Alabama",834,122,115,126,325,116,220,320,255,321,216,297,334,348,423,521,320,330,470,521,329,166,248,80,42,21,28
"G0100730","2016","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",164444,1842,1260,1087,804,1053,1940,1526,4374,4933,8237,10338,7944,6343,16795,12387,16782,7763,15755,12267,13270,7131,6200,1965,1284,438,726,"Jefferson County, Alabama",4205,600,621,482,329,526,709,600,1087,924,1552,1548,1390,1055,2086,1801,1826,1032,1799,1607,1702,1204,1165,470,495,293,383
"G0100770","2016","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",26444,609,214,281,196,466,48,515,515,322,845,1661,1616,929,3485,2648,2419,2239,2701,2117,1400,621,208,283,34,0,72,"Lauderdale County, Alabama",1668,425,269,267,225,337,79,291,298,243,345,585,651,357,887,822,785,764,675,532,467,386,189,214,46,195,124
"G0100810","2016","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",34720,1274,538,578,627,289,325,50,497,329,1416,1684,1025,999,3210,2465,3834,1731,4216,3108,3555,970,1418,513,0,0,69,"Lee County, Alabama",2259,633,302,384,370,286,357,84,336,293,637,845,604,523,811,870,992,712,1126,986,988,489,614,317,195,195,120
"G0100830","2016","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",23032,1008,268,461,50,42,257,153,271,674,829,913,1045,1096,1503,2793,2490,1499,2044,2129,1793,1232,419,29,34,0,0,"Limestone County, Alabama",1402,634,240,427,90,85,246,176,378,366,397,440,438,507,515,724,675,520,712,579,719,514,379,52,51,195,195
"G0100890","2016","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",97908,822,687,488,1144,492,571,388,1732,1767,2204,3880,3604,2107,9466,9035,9587,7701,10934,11353,11959,2913,3289,656,544,239,346,"Madison County, Alabama",3145,576,345,359,734,306,410,432,625,665,639,1125,857,662,1698,1587,1757,1113,1949,1555,1831,834,905,319,305,151,329
"G0100950","2016","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",23374,713,238,315,349,358,246,285,369,922,1295,1899,1066,1135,2877,2042,2254,1042,2623,863,1479,435,343,155,0,58,13,"Marshall County, Alabama",1560,411,174,215,273,359,236,211,206,412,876,623,376,482,770,568,630,438,800,360,552,275,209,178,195,98,17
"G0100970","2016","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",103022,1823,476,1179,417,1031,1216,2202,3576,4615,3671,4934,6042,5259,14122,13113,12201,5700,8142,5097,3370,1608,1925,557,560,104,82,"Mobile County, Alabama",3018,725,290,548,235,379,455,674,1040,1143,807,1011,992,1094,1677,1461,1506,1181,1563,961,954,480,625,312,317,100,98
"G0101010","2016","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",53027,572,959,404,507,136,558,836,1256,2526,3017,2581,3725,3781,5451,5168,4607,2738,3092,2794,4176,1829,1256,499,368,41,150,"Montgomery County, Alabama",2777,324,461,349,246,137,297,468,446,740,815,825,1002,1145,999,1032,1117,703,743,905,824,712,392,260,236,70,130
"G0101030","2016","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",34361,768,155,495,840,402,501,290,602,1768,1836,2482,1799,1356,4126,3255,4187,1745,3117,1557,2270,206,398,132,74,0,0,"Morgan County, Alabama",1853,514,154,446,656,396,405,188,463,811,644,728,548,515,891,666,978,667,861,524,729,162,235,114,88,195,195
"G0101150","2016","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",26735,188,351,57,122,507,550,189,925,1713,837,919,538,133,1772,3678,3837,1524,4286,1495,2197,455,409,0,53,0,0,"St. Clair County, Alabama",1627,159,264,97,212,463,497,324,555,654,514,425,534,120,633,936,1025,721,1239,731,733,285,388,195,88,195,195
"G0101170","2016","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",60642,789,313,393,295,120,169,226,406,383,714,654,864,1672,3610,6488,7841,5568,8643,6240,7674,3375,2926,490,523,0,266,"Shelby County, Alabama",1923,432,300,279,209,153,142,183,288,221,401,363,439,578,874,1115,1224,990,1164,1001,1085,922,768,246,318,195,262
"G0101210","2016","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",24302,1870,752,612,517,863,511,552,1070,709,1137,1622,1507,828,2859,2256,2191,575,1074,1717,707,179,36,113,0,45,0,"Talladega County, Alabama",1474,719,395,502,460,410,334,386,536,458,562,595,642,374,970,791,778,262,393,754,304,156,65,131,195,76,195
"G0101250","2016","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",45372,1685,334,456,265,31,398,143,653,714,981,1229,1804,1136,3205,5137,6168,3902,5580,4109,3580,1589,1225,814,184,50,0,"Tuscaloosa County, Alabama",2128,590,251,380,175,56,291,128,318,412,457,563,901,514,881,1094,1066,1015,1074,894,830,645,500,346,134,59,195
"G0101270","2016","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",18851,1158,575,554,755,240,368,145,926,996,1238,1057,1547,518,1924,2062,1585,374,728,695,789,239,168,186,24,0,0,"Walker County, Alabama",1324,548,312,305,356,198,260,146,416,465,463,548,536,262,621,686,622,244,366,376,441,237,168,273,41,195,195
"G0200200","2016","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",64320,433,0,695,613,506,42,343,609,353,41,282,202,0,751,2045,1978,2133,8912,8561,17624,8135,8108,1502,300,24,128,"Anchorage Municipality, Alaska",2628,257,155,452,472,463,69,363,474,366,69,366,188,155,342,762,711,765,1419,1629,1870,1114,1503,541,235,39,186
"G0200900","2016","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0201700","2016","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",23092,136,91,7,144,161,165,61,444,246,302,168,284,255,758,746,1633,1347,5163,3165,4614,2098,736,232,75,0,61,"Matanuska-Susitna Borough, Alaska",768,109,112,14,133,164,123,60,224,157,192,121,144,166,245,308,447,436,629,627,750,532,323,185,128,155,99
"G0400010","2016","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",15698,1312,134,354,722,917,443,129,1094,1017,1201,1912,1026,206,1256,709,433,440,1239,600,319,38,47,150,0,0,0,"Apache County, Arizona",963,367,103,185,170,264,240,78,325,259,309,403,301,142,453,364,253,309,433,319,234,44,73,82,204,204,204
"G0400030","2016","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",33179,886,394,254,377,493,649,624,683,1107,1131,1771,1730,1712,4138,3156,4487,2009,2593,2413,1676,509,108,139,140,0,0,"Cochise County, Arizona",1669,380,225,199,208,304,343,419,312,508,459,692,529,586,964,776,1027,618,771,680,559,319,133,145,159,204,204
"G0400050","2016","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",28464,1278,617,690,811,157,410,67,135,613,701,407,490,228,750,247,947,1289,3241,2627,5302,3323,3158,604,257,0,115,"Coconino County, Arizona",1604,570,265,290,315,133,200,63,105,201,317,214,332,177,396,209,454,404,820,701,1199,847,896,369,200,204,142
"G0400130","2016","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",920114,14149,6482,5748,3964,2881,3070,3071,5449,7201,10566,7885,14796,12961,43973,49815,89358,68140,140689,116753,138983,72993,60037,21000,10457,3891,5802,"Maricopa County, Arizona",9029,1670,1016,924,838,831,672,765,1105,1121,1632,1253,1586,1389,3350,2780,4270,4033,6298,5002,5423,3739,3478,2142,1384,1208,878
"G0400150","2016","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",58167,620,202,682,1026,964,1342,653,2699,1632,1343,2310,2377,2690,5237,5596,5806,4055,6878,4842,3684,1693,1232,269,335,0,0,"Mohave County, Arizona",2949,536,150,395,613,477,590,415,1029,601,572,608,690,803,1377,1248,1227,882,1386,971,966,566,465,196,232,204,204
"G0400170","2016","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",23358,1061,509,570,442,306,728,151,718,1803,1327,1359,1766,1077,1766,1323,1918,980,1787,1191,1551,237,566,94,89,0,39,"Navajo County, Arizona",1352,336,253,345,218,202,311,102,426,449,455,516,379,505,498,519,523,411,524,512,600,177,314,119,96,204,50
"G0400190","2016","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",251474,7657,2867,2269,2821,1414,1573,907,4320,4313,5869,5541,9086,7823,24040,21081,29734,18794,29858,20740,25244,9623,9417,3805,1679,249,750,"Pima County, Arizona",5470,1587,747,753,1003,482,715,425,970,886,1072,1154,1526,1089,2383,2203,2446,1824,2553,1837,2026,1145,1366,871,590,174,365
"G0400210","2016","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",100589,2641,1433,1022,2279,622,1041,1254,2531,2446,2978,1623,4089,1761,7681,9039,12061,11303,12747,7845,8244,3770,1398,353,393,0,35,"Pinal County, Arizona",3136,795,546,468,715,367,483,610,978,796,867,688,1013,599,1564,1469,1544,1864,1815,1467,1630,1025,564,238,430,204,56
"G0400250","2016","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",69791,596,285,729,472,555,823,693,469,912,857,909,1374,1970,3146,5054,6656,4750,8445,7188,9559,6740,5816,1299,367,0,127,"Yavapai County, Arizona",3002,461,362,449,313,445,836,449,278,586,455,554,612,938,875,1192,1467,980,1229,1467,1448,1505,1288,516,246,204,153
"G0400270","2016","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",49974,2588,628,458,1332,608,945,623,1026,1433,1532,1249,2916,2537,7638,5065,6187,2827,4089,2494,2257,1003,311,51,0,84,93,"Yuma County, Arizona",2135,794,344,252,540,313,446,299,460,497,594,441,783,701,1041,1214,1308,753,944,739,723,541,214,60,204,146,107
"G0500070","2016","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",62840,426,49,94,400,236,243,135,858,961,1129,1370,2070,1816,7917,7585,7589,4431,8110,4924,6496,2634,2376,688,258,0,45,"Benton County, Arkansas",2362,254,74,101,336,252,237,108,538,404,523,596,663,565,1129,999,1198,925,1289,884,1095,653,578,393,188,197,74
"G0500310","2016","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",21589,99,281,95,184,134,570,466,660,929,655,767,1208,860,2778,2674,3244,1691,1254,960,757,647,301,136,154,0,85,"Craighead County, Arkansas",1618,124,244,102,183,145,445,463,438,541,356,369,515,387,832,854,740,622,635,528,433,551,251,181,180,197,144
"G0500450","2016","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",26698,114,62,74,303,19,185,274,302,710,402,917,985,594,3758,3059,4011,2267,3229,2520,1901,441,463,0,68,0,40,"Faulkner County, Arkansas",1258,141,75,89,198,32,158,187,221,475,338,387,465,353,905,836,982,669,890,769,624,336,343,197,83,197,70
"G0500510","2016","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",26135,1267,65,353,151,632,343,245,347,812,611,1238,1376,1044,2828,2488,2409,1928,2543,2134,2070,452,469,258,0,72,0,"Garland County, Arkansas",1781,585,126,290,133,575,328,183,244,504,304,613,625,562,674,777,828,883,725,854,747,290,323,236,197,122,197
"G0500690","2016","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",15814,289,215,335,329,329,825,302,1475,792,888,1448,855,467,1614,1473,1288,996,1061,572,52,59,111,0,0,39,0,"Jefferson County, Arkansas",1143,206,138,274,290,243,349,246,611,355,460,512,475,289,604,493,427,511,550,335,89,90,128,197,197,63,197
"G0500850","2016","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",18007,358,215,31,177,23,44,29,273,177,738,968,1062,714,3048,2395,2017,838,3147,825,641,252,35,0,0,0,0,"Lonoke County, Arkansas",1363,276,209,58,157,39,82,52,173,233,436,511,521,339,916,796,623,356,792,370,335,250,59,197,197,197,197
"G0501190","2016","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",90571,652,1148,503,698,1082,463,243,1511,3059,3279,3287,5419,4187,9774,8636,8745,7601,9863,6120,6249,3627,2047,1092,889,93,304,"Pulaski County, Arkansas",3051,361,587,341,377,518,324,180,536,992,818,871,878,1068,1607,1395,1558,1393,1612,1278,1041,1024,664,505,455,100,234
"G0501250","2016","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",34549,519,659,178,155,645,89,66,674,1670,716,884,1577,1041,4017,3711,4081,3267,3173,2931,2284,930,932,103,0,178,69,"Saline County, Arkansas",1768,302,526,173,176,444,112,87,481,811,367,466,670,497,929,927,1048,881,763,1156,676,460,469,116,197,212,119
"G0501310","2016","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",29804,369,141,84,208,164,104,339,1324,1846,2034,1571,2931,2010,3726,2238,3247,1142,2783,1219,770,337,877,41,69,91,139,"Sebastian County, Arkansas",1705,286,173,114,196,134,136,395,496,744,684,595,946,622,898,666,783,541,936,522,553,322,502,67,123,149,122
"G0501430","2016","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",44050,442,126,153,147,155,152,137,533,911,1419,1122,1724,954,5100,5036,5405,3630,4900,3254,4747,1872,1453,617,0,42,19,"Washington County, Arkansas",2519,240,132,155,180,163,220,144,340,482,577,436,535,453,1147,1366,1362,1001,1067,937,1037,810,471,383,197,76,32
"G0501450","2016","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",17640,59,346,63,198,128,485,305,682,1040,588,977,1524,811,2332,1890,1715,807,1259,1189,687,361,99,95,0,0,0,"White County, Arkansas",1331,49,306,67,185,160,277,207,472,504,313,571,720,419,653,709,664,467,422,689,459,272,142,171,197,197,197
"G0600010","2016","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",298896,1582,98,115,149,0,236,143,288,1395,798,856,916,292,1904,1400,1213,1053,4384,5463,17520,29217,94134,74181,42189,11442,7928,"Alameda County, California",4629,577,98,118,176,206,200,149,194,519,360,389,409,194,647,614,566,472,809,1207,1658,2336,4024,3451,2483,1350,1053
"G0600070","2016","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",50565,703,372,705,305,871,331,52,434,775,469,680,696,603,2217,2117,3263,3060,6761,6638,9873,4673,3553,752,461,30,171,"Butte County, California",2568,434,289,361,242,453,223,42,263,494,447,384,368,334,632,730,648,817,1201,1093,1398,1087,894,413,408,53,137
"G0600130","2016","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",250470,1622,46,273,461,664,526,373,650,1138,821,223,663,631,1595,829,2215,2020,7210,10179,36116,38760,59137,35863,30489,11498,6468,"Contra Costa County, California",5469,536,79,237,284,413,535,287,378,556,503,193,411,405,586,461,686,891,1332,1272,2551,2936,3734,2572,2124,1507,1082
"G0600170","2016","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",52217,323,260,173,299,68,83,79,234,352,81,0,42,23,573,846,1060,981,2782,4480,11176,8193,15280,2992,1040,388,409,"El Dorado County, California",2373,259,325,144,321,114,141,128,211,440,136,206,70,39,282,394,439,548,746,1072,1442,1125,1542,640,427,450,291
"G0600190","2016","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",160427,1304,958,769,817,421,464,328,653,1245,1378,2140,2349,3073,10903,9225,14095,11568,24313,23019,25443,12069,9317,2217,1028,497,834,"Fresno County, California",4222,442,578,550,365,258,280,212,405,400,592,706,673,794,1584,1422,1791,1804,2488,2337,1978,1748,1374,704,461,400,327
"G0600230","2016","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",31645,528,370,238,305,96,60,330,135,229,291,65,368,44,412,601,1136,1146,4349,5297,7936,2898,3304,899,305,79,224,"Humboldt County, California",1719,471,299,278,218,144,86,309,132,283,217,72,345,75,234,505,620,485,960,1189,1296,724,736,375,221,97,255
"G0600250","2016","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",27250,736,227,60,204,200,136,270,293,282,233,407,1562,518,2799,2403,3937,1991,3946,3492,2056,819,499,111,33,0,36,"Imperial County, California",2220,441,248,107,243,199,102,208,240,229,210,342,707,291,818,616,866,726,848,992,697,340,312,165,55,206,62
"G0600290","2016","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",154029,1888,1742,1209,1128,611,946,713,1344,1593,2603,2494,5193,2187,10557,9020,19629,11968,26101,19345,18959,6964,4089,2076,599,272,799,"Kern County, California",4145,834,542,459,618,347,441,498,635,477,767,662,1316,647,2037,1817,2205,1651,2968,2131,2324,1126,912,783,334,194,556
"G0600310","2016","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",20964,147,80,138,93,0,165,59,53,0,147,75,549,149,2019,2326,3344,1833,3825,2994,1461,461,537,305,152,52,0,"Kings County, California",1524,128,131,150,149,206,182,98,89,206,180,90,340,111,606,707,962,688,931,713,450,270,315,245,129,77,206
"G0600330","2016","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",14713,465,141,226,97,322,175,0,191,274,233,452,662,110,1303,565,717,658,2204,1543,2556,630,802,47,102,159,79,"Lake County, California",1634,334,157,227,141,285,216,206,219,217,319,320,577,198,570,392,410,400,831,567,807,420,530,76,128,212,103
"G0600370","2016","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",1473521,9233,3098,2141,2603,2041,3491,3068,5910,5462,3790,3866,3251,1972,9705,7832,9295,9503,40449,59324,226581,262694,405127,168894,106294,47832,70065,"Los Angeles County, California",8748,1143,735,525,794,634,748,762,938,1016,787,986,939,567,1420,1221,1080,1380,2781,3596,6346,6101,7643,5020,4095,2966,3854
"G0600390","2016","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",26536,156,86,0,0,105,93,54,128,262,332,243,403,533,737,1779,2003,1401,6986,4601,3009,1666,888,410,528,36,97,"Madera County, California",1669,151,143,206,206,171,164,91,152,250,368,230,402,339,406,715,692,561,1438,909,775,560,343,346,408,64,111
"G0600410","2016","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marin County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0600450","2016","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",20107,125,6,80,581,264,112,0,249,598,521,150,204,63,634,243,519,350,1468,2066,5371,2244,2970,737,317,175,60,"Mendocino County, California",1464,148,11,93,386,196,181,206,205,446,335,129,177,96,361,245,328,266,560,672,933,616,732,380,222,156,100
"G0600470","2016","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",40561,711,542,371,349,189,57,88,672,320,247,574,1156,439,2436,2208,3629,2384,6248,4978,7477,1869,2313,600,464,11,229,"Merced County, California",1936,323,365,227,258,170,84,103,458,297,220,361,689,256,705,633,924,597,1296,1126,1581,539,637,279,277,18,257
"G0600530","2016","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",61838,887,152,82,61,95,166,37,253,95,186,248,0,0,520,309,574,473,2140,3744,12796,9999,13262,6766,4704,2715,1574,"Monterey County, California",2623,592,194,134,106,92,165,60,171,115,188,192,206,206,272,171,304,255,619,1096,1283,1435,1375,1121,851,775,480
"G0600550","2016","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",31551,376,30,12,184,45,167,0,0,465,57,133,127,169,325,43,424,283,857,376,3436,3610,11722,4185,2075,685,1765,"Napa County, California",1478,235,49,21,277,51,167,206,206,429,67,166,133,189,225,73,314,224,413,216,856,789,1293,710,524,261,384
"G0600570","2016","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",28880,181,149,327,67,0,80,368,32,0,230,157,265,145,578,459,203,306,1551,3334,7410,4063,6199,1831,242,162,541,"Nevada County, California",2043,150,168,354,106,206,98,413,57,206,181,258,267,188,334,303,177,255,646,997,1391,985,986,481,181,176,515
"G0600590","2016","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",584632,3531,969,819,1181,899,1415,818,1936,2711,1958,1352,2361,875,2811,2579,3867,3016,8903,11318,39623,67071,214290,116320,50809,17433,25767,"Orange County, California",7865,717,421,419,431,381,573,344,772,690,555,497,526,361,603,718,866,851,1533,1371,2977,3627,5800,4177,3437,1932,2166
"G0600610","2016","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",98999,475,128,116,53,48,144,0,518,522,123,43,506,570,545,316,1317,738,3816,5460,24987,21470,26764,7035,1760,691,854,"Placer County, California",3111,324,159,95,62,80,173,206,338,424,137,72,439,397,243,208,670,389,899,1115,1905,1999,1984,1142,551,303,375
"G0600650","2016","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",457220,5663,2645,2581,3032,2700,1880,1321,2988,3191,3470,3672,3011,2767,10490,9096,17649,13873,46214,57094,119030,68577,53898,12032,4696,2198,3452,"Riverside County, California",6742,953,718,610,837,801,719,417,762,831,836,984,737,541,1427,1379,2023,1669,2766,3553,3746,3657,3123,1429,852,661,782
"G0600670","2016","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",295227,2600,588,1213,1446,819,808,303,2335,1766,1068,1069,1303,1380,5173,5419,11509,11427,35353,41561,76381,41128,37666,8231,2719,833,1129,"Sacramento County, California",4744,666,357,568,507,397,414,208,646,610,341,484,672,463,1008,1046,1676,1625,2582,2847,3305,2584,2435,1158,696,397,349
