GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFUZE001,AFUZE002,AFUZE003,AFUZE004,AFUZE005,AFUZE006,AFUZE007,AFUZE008,AFUZE009,AFUZE010,AFUZE011,AFUZE012,AFUZE013,AFUZE014,AFUZE015,AFUZE016,AFUZE017,AFUZE018,AFUZE019,AFUZE020,AFUZE021,AFUZE022,AFUZE023,AFUZE024,AFUZE025,AFUZE026,AFUZE027,NAME_M,AFUZM001,AFUZM002,AFUZM003,AFUZM004,AFUZM005,AFUZM006,AFUZM007,AFUZM008,AFUZM009,AFUZM010,AFUZM011,AFUZM012,AFUZM013,AFUZM014,AFUZM015,AFUZM016,AFUZM017,AFUZM018,AFUZM019,AFUZM020,AFUZM021,AFUZM022,AFUZM023,AFUZM024,AFUZM025,AFUZM026,AFUZM027
"G1302150","2016","GA",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,,"05000US13215","Muscogee County, Georgia",33833,131,216,29,358,257,219,401,858,1178,1773,1337,1585,1649,3839,3014,4717,1792,4040,2206,2320,536,909,272,155,42,0,"Muscogee County, Georgia",1878,117,207,49,307,205,258,255,408,486,565,532,501,517,923,789,956,570,889,468,664,242,382,207,191,73,218
"G1302170","2016","GA",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,,"05000US13217","Newton County, Georgia",21973,484,304,0,324,17,0,106,475,409,388,970,917,965,3991,2373,2943,1877,1750,1646,1251,178,315,44,56,149,41,"Newton County, Georgia",2222,414,302,218,423,30,218,139,394,265,296,537,594,475,1141,1022,758,852,673,660,472,171,279,80,95,157,77
"G1302230","2016","GA",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,,"05000US13223","Paulding County, Georgia",39432,283,73,301,239,0,110,0,459,0,566,1092,1608,1496,6389,4599,7111,2931,4988,2091,3395,675,696,174,156,0,0,"Paulding County, Georgia",2500,389,123,518,330,218,200,218,563,218,405,662,682,659,1640,1299,1611,964,1319,790,1273,440,432,181,186,218,218
"G1302450","2016","GA",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,,"05000US13245","Richmond County, Georgia",40536,392,158,194,232,424,1147,582,2038,1208,2373,2542,4313,4351,5004,4523,3744,1791,1879,1517,1105,334,525,26,0,42,92,"Richmond County, Georgia",2180,260,176,165,236,237,708,402,735,412,831,837,1130,1058,1135,1308,937,707,809,551,406,214,266,46,218,70,121
"G1302470","2016","GA",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,,"05000US13247","Rockdale County, Georgia",21103,296,301,0,0,86,382,0,225,266,466,1046,914,1397,1908,1798,2283,2375,2329,1798,2045,714,53,355,0,0,66,"Rockdale County, Georgia",1495,239,311,218,218,138,319,218,250,221,395,478,497,629,718,758,802,857,985,929,862,430,85,429,218,218,122
"G1302850","2016","GA",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,,"05000US13285","Troup County, Georgia",14617,182,147,178,195,142,275,130,913,424,916,415,817,1093,830,1939,1902,868,1025,1019,601,258,131,127,0,36,54,"Troup County, Georgia",1109,184,165,136,192,175,240,195,608,414,521,284,416,530,433,630,678,354,426,411,299,153,110,161,218,59,95
"G1302950","2016","GA",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,,"05000US13295","Walker County, Georgia",17812,172,192,184,123,339,276,54,257,1147,1098,1343,893,1173,3078,1563,1055,1143,1814,851,370,430,205,52,0,0,0,"Walker County, Georgia",1434,193,205,149,140,308,284,100,231,504,572,679,494,646,1000,595,469,536,668,382,215,422,127,48,218,218,218
"G1302970","2016","GA",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,,"05000US13297","Walton County, Georgia",22192,644,0,191,68,0,57,89,134,594,255,930,277,800,1731,2608,3590,1594,2543,1836,3043,647,425,136,0,0,0,"Walton County, Georgia",1576,417,218,272,112,218,104,146,180,482,193,454,219,487,749,808,765,671,771,575,959,326,319,165,218,218,218
"G1303130","2016","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,"05000US13313","Whitfield County, Georgia",23101,489,157,526,168,375,180,263,266,638,799,624,1674,1468,3523,3421,1658,2194,1896,1134,749,446,301,14,138,0,0,"Whitfield County, Georgia",1659,337,194,300,174,359,226,274,216,371,506,335,679,524,975,949,599,927,610,663,364,343,229,24,138,218,218
"G1500010","2016","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,"05000US15001","Hawaii County, Hawaii",46942,189,171,175,240,184,228,15,19,250,624,163,400,500,2546,493,2622,1977,5968,4464,8955,5119,7190,2152,1471,354,473,"Hawaii County, Hawaii",2298,153,266,137,230,174,217,27,31,227,316,159,313,368,950,213,853,791,1280,884,1522,1206,1405,578,667,323,303
"G1500030","2016","HI",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,,"05000US15003","Honolulu County, Hawaii",167342,459,0,119,0,105,276,94,84,371,58,152,33,115,487,869,1291,814,4144,5061,16813,17257,55191,37434,15858,4355,5902,"Honolulu County, Hawaii",3450,257,185,102,185,126,216,92,100,236,70,132,55,113,232,347,488,322,848,959,1817,1579,2705,2105,1260,774,962
"G1500070","2016","HI",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,,"05000US15007","Kauai County, Hawaii",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kauai County, Hawaii",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1500090","2016","HI",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,,"05000US15009","Maui County, Hawaii",31726,139,115,16,91,14,0,218,152,40,27,17,56,47,119,101,338,109,1215,1362,3452,4075,10319,4549,2966,1035,1154,"Maui County, Hawaii",1776,94,169,29,110,25,185,348,114,38,45,31,84,58,81,61,260,106,468,411,787,925,1487,958,775,374,389
"G1600010","2016","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",114084,1849,414,509,199,158,244,61,180,436,333,322,1097,249,3775,6467,11727,14439,22440,13540,19100,6120,7320,2190,564,245,106,"Ada County, Idaho",3867,742,301,330,152,157,181,99,207,288,202,354,903,221,1010,1633,1890,1864,2144,2078,2412,1081,1642,1051,464,246,183
"G1600050","2016","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",21402,410,440,419,299,148,179,88,98,537,284,691,501,1266,2759,3061,2823,1867,2464,1137,1385,306,70,113,0,57,0,"Bannock County, Idaho",1320,267,383,396,424,178,157,101,110,274,227,365,292,503,739,642,755,535,515,357,418,213,87,188,198,89,198
