GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ADDPE001,ADDPE002,ADDPE003,ADDPE004,ADDPE005,ADDPE006,ADDPE007,ADDPE008,ADDPE009,ADDPE010,ADDPE011,ADDPE012,ADDPE013,ADDPE014,ADDPE015,ADDPE016,ADDPE017,ADDPE018,ADDPE019,ADDPE020,ADDPE021,ADDPE022,ADDPE023,ADDPE024,ADDPE025,ADDPE026,ADDPE027,NAME_M,ADDPM001,ADDPM002,ADDPM003,ADDPM004,ADDPM005,ADDPM006,ADDPM007,ADDPM008,ADDPM009,ADDPM010,ADDPM011,ADDPM012,ADDPM013,ADDPM014,ADDPM015,ADDPM016,ADDPM017,ADDPM018,ADDPM019,ADDPM020,ADDPM021,ADDPM022,ADDPM023,ADDPM024,ADDPM025,ADDPM026,ADDPM027
"G0100890","2015","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",93681,1553,638,192,443,614,700,251,1149,1857,2994,3721,3617,3214,7250,8011,9833,7394,12605,9193,9489,4215,3039,816,872,0,21,"Madison County, Alabama",3017,745,304,127,361,359,329,218,450,645,862,889,866,811,1104,1217,1404,1314,1714,1601,1222,1203,834,363,530,192,35
"G0100950","2015","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",24887,688,95,537,196,58,133,146,1199,1115,1521,1696,1134,1283,2900,2351,2039,1114,1681,1197,1452,1182,500,205,290,65,110,"Marshall County, Alabama",1400,379,128,332,197,63,131,144,628,564,564,813,465,430,755,660,616,410,544,426,553,563,271,168,300,112,178
"G0100970","2015","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",100028,2335,802,966,1933,1024,1554,1007,2746,3696,3891,7516,6528,5492,12865,11077,8644,7476,7311,4450,4388,1306,1567,908,325,0,221,"Mobile County, Alabama",2930,775,347,419,697,686,707,440,657,953,976,1113,1129,1013,1226,1631,1306,1401,1290,918,784,686,582,403,220,192,219
"G0101010","2015","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",51321,1258,644,489,859,917,441,435,2356,1442,2568,3509,3018,2021,6439,5519,4182,2676,3356,2589,3691,1468,743,367,242,92,0,"Montgomery County, Alabama",2484,430,344,246,436,438,225,236,684,470,699,931,726,693,1341,1195,973,712,679,648,869,576,364,245,169,109,192
"G0101030","2015","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",33630,1125,147,375,416,90,879,135,434,1242,1359,2321,2254,1497,3400,4091,3403,2773,2847,2058,1677,720,257,0,130,0,0,"Morgan County, Alabama",1838,516,147,299,298,113,491,168,238,578,616,772,719,517,926,860,754,981,599,748,530,322,186,192,161,192,192
"G0101150","2015","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",26594,279,154,931,264,229,179,616,936,329,1592,718,571,1417,1607,2836,5321,1905,2714,1140,1435,878,204,265,74,0,0,"St. Clair County, Alabama",1448,300,184,521,195,209,167,555,424,279,775,342,338,549,605,956,1202,801,878,553,549,590,204,333,131,192,192
"G0101170","2015","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",60785,848,552,373,549,170,289,402,444,397,750,1421,946,1215,4281,5089,7585,5689,8152,6065,8163,3154,2778,1130,94,0,249,"Shelby County, Alabama",2061,575,359,282,343,149,229,321,279,269,287,574,415,475,881,896,1012,1000,1218,981,1276,818,789,505,90,192,271
"G0101210","2015","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",21178,1602,601,459,343,245,406,80,997,1054,979,1480,1033,1442,2713,1347,2221,673,1132,935,1021,122,160,73,60,0,0,"Talladega County, Alabama",1260,669,398,294,332,174,405,97,492,429,558,582,466,657,507,601,808,334,631,429,406,119,138,125,100,192,192
"G0101250","2015","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",44522,1424,124,680,243,364,520,143,427,929,1383,1399,1292,1521,3220,4568,6856,3084,5748,3512,3786,1365,1053,396,325,60,100,"Tuscaloosa County, Alabama",2060,566,152,385,204,261,282,124,376,385,483,421,464,530,674,1147,1227,762,1151,789,944,484,465,209,244,95,116
"G0101270","2015","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",18184,712,428,714,506,849,358,406,896,1078,697,1096,1323,543,1807,891,1645,1265,950,793,812,125,233,57,0,0,0,"Walker County, Alabama",1215,341,279,411,287,393,209,323,367,383,318,439,445,260,555,386,518,530,379,392,455,169,210,96,192,192,192
