GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ADDPE001,ADDPE002,ADDPE003,ADDPE004,ADDPE005,ADDPE006,ADDPE007,ADDPE008,ADDPE009,ADDPE010,ADDPE011,ADDPE012,ADDPE013,ADDPE014,ADDPE015,ADDPE016,ADDPE017,ADDPE018,ADDPE019,ADDPE020,ADDPE021,ADDPE022,ADDPE023,ADDPE024,ADDPE025,ADDPE026,ADDPE027,NAME_M,ADDPM001,ADDPM002,ADDPM003,ADDPM004,ADDPM005,ADDPM006,ADDPM007,ADDPM008,ADDPM009,ADDPM010,ADDPM011,ADDPM012,ADDPM013,ADDPM014,ADDPM015,ADDPM016,ADDPM017,ADDPM018,ADDPM019,ADDPM020,ADDPM021,ADDPM022,ADDPM023,ADDPM024,ADDPM025,ADDPM026,ADDPM027
"G1300570","2015","GA",,,"Georgia","13","Cherokee County","057",,,,,,,,,,,,,,,,,,"05000US13057","Cherokee County, Georgia",64648,0,230,151,156,0,0,292,40,93,262,570,902,388,4726,6511,7201,6279,9762,9049,8283,5414,3371,482,304,182,0,"Cherokee County, Georgia",2449,214,263,187,179,214,214,475,74,159,266,427,456,295,1510,1469,1441,1217,1672,1682,1544,1305,1119,291,261,297,214
"G1300590","2015","GA",,,"Georgia","13","Clarke County","059",,,,,,,,,,,,,,,,,,"05000US13059","Clarke County, Georgia",18273,0,279,34,372,0,55,140,334,51,484,329,936,867,2146,2740,2787,1461,1544,803,1291,973,482,61,28,76,0,"Clarke County, Georgia",1300,214,277,59,328,214,82,214,334,65,251,247,376,377,636,647,841,498,528,494,424,497,348,104,48,126,214
"G1300630","2015","GA",,,"Georgia","13","Clayton County","063",,,,,,,,,,,,,,,,,,"05000US13063","Clayton County, Georgia",46247,628,391,488,186,293,1251,660,2266,3515,3335,5154,4623,2835,7753,3479,4073,1918,1367,898,919,0,65,110,0,0,40,"Clayton County, Georgia",2639,390,275,332,255,254,657,357,729,885,937,1062,1099,732,1398,1048,1066,615,682,494,503,214,82,90,214,214,71
"G1300670","2015","GA",,,"Georgia","13","Cobb County","067",,,,,,,,,,,,,,,,,,"05000US13067","Cobb County, Georgia",171331,1600,912,298,267,59,197,346,758,1736,2786,2080,3390,2733,12855,12920,17797,13237,24103,20082,23227,11566,13298,2833,1556,424,271,"Cobb County, Georgia",4365,664,454,368,273,98,192,235,480,714,1053,641,899,794,1902,1826,2046,1824,2244,2205,2188,1611,1586,798,471,282,193
"G1300730","2015","GA",,,"Georgia","13","Columbia County","073",,,,,,,,,,,,,,,,,,"05000US13073","Columbia County, Georgia",35431,216,487,168,118,0,0,0,140,245,423,1399,1060,1703,1910,4183,3848,4343,4111,3897,4545,1513,953,169,0,0,0,"Columbia County, Georgia",2164,292,471,197,201,214,214,214,151,258,319,695,695,850,657,1089,886,1300,867,1012,1074,607,464,223,214,214,214
"G1300770","2015","GA",,,"Georgia","13","Coweta County","077",,,,,,,,,,,,,,,,,,"05000US13077","Coweta County, Georgia",36358,223,214,116,62,126,219,0,367,280,516,450,567,1460,2743,4100,4361,4778,5080,4191,3694,1301,1157,188,0,165,0,"Coweta County, Georgia",1992,228,239,179,105,153,242,214,308,196,347,297,290,645,969,1179,1248,1117,1058,1130,924,491,458,172,214,176,214
"G1300890","2015","GA",,,"Georgia","13","DeKalb County","089",,,,,,,,,,,,,,,,,,"05000US13089","DeKalb County, Georgia",147729,560,438,259,631,354,598,620,1774,3084,6519,5511,5624,7552,15780,10948,13052,7848,12177,11220,17348,9917,10631,3693,892,121,578,"DeKalb County, Georgia",3919,293,243,309,317,239,315,311,681,973,1522,1398,1251,1564,2178,1697,2036,1260,1617,1441,1676,1249,1418,744,416,146,391
"G1300950","2015","GA",,,"Georgia","13","Dougherty County","095",,,,,,,,,,,,,,,,,,"05000US13095","Dougherty County, Georgia",15627,147,189,31,123,273,745,359,635,877,1389,1433,864,682,1865,1481,953,777,1164,417,914,196,113,0,0,0,0,"Dougherty County, Georgia",1512,94,172,54,128,228,447,316,328,437,596,493,317,316,632,546,388,504,652,272,377,207,118,214,214,214,214
"G1300970","2015","GA",,,"Georgia","13","Douglas County","097",,,,,,,,,,,,,,,,,,"05000US13097","Douglas County, Georgia",30863,462,265,68,327,0,107,216,633,476,955,1570,3047,1785,4222,3894,3638,1922,1683,1981,2494,471,579,0,0,68,0,"Douglas County, Georgia",2024,399,254,117,346,214,135,356,363,303,471,789,1019,645,1050,1078,982,675,654,850,686,308,434,214,214,115,214
"G1301130","2015","GA",,,"Georgia","13","Fayette County","113",,,,,,,,,,,,,,,,,,"05000US13113","Fayette County, Georgia",32639,221,0,247,0,88,212,0,0,267,0,29,326,169,877,2618,4119,2981,5149,4594,5027,2579,2372,467,69,77,151,"Fayette County, Georgia",1410,216,214,314,214,149,206,214,214,428,214,49,250,169,451,843,974,758,1096,1189,904,668,666,246,113,115,174
"G1301150","2015","GA",,,"Georgia","13","Floyd County","115",,,,,,,,,,,,,,,,,,"05000US13115","Floyd County, Georgia",20154,429,373,0,373,245,46,216,499,845,1269,1040,1175,1788,2161,1619,2213,1768,1133,632,1151,363,712,37,67,0,0,"Floyd County, Georgia",1811,314,266,214,285,286,77,279,389,473,544,487,449,591,729,579,582,656,491,391,426,292,414,68,111,214,214
"G1301170","2015","GA",,,"Georgia","13","Forsyth County","117",,,,,,,,,,,,,,,,,,"05000US13117","Forsyth County, Georgia",57487,244,286,522,0,0,87,39,83,393,79,267,626,276,1234,2076,3435,3345,8558,7316,14420,6004,6129,1632,181,134,121,"Forsyth County, Georgia",1984,166,215,531,214,214,104,66,97,310,98,197,324,212,499,577,750,671,1176,925,1395,1023,1007,502,164,130,113
"G1301210","2015","GA",,,"Georgia","13","Fulton County","121",,,,,,,,,,,,,,,,,,"05000US13121","Fulton County, Georgia",195208,688,369,628,1560,830,1208,1038,2990,2578,3773,7036,6109,3812,11024,9720,10956,9536,16513,14646,27207,20112,26270,8099,4973,1848,1685,"Fulton County, Georgia",4996,356,264,358,584,437,456,485,992,742,897,1502,1375,918,2143,1783,2111,1765,2169,2001,2605,2089,2217,1124,992,476,620
"G1301270","2015","GA",,,"Georgia","13","Glynn County","127",,,,,,,,,,,,,,,,,,"05000US13127","Glynn County, Georgia",19720,269,51,341,99,273,171,384,670,159,838,697,757,256,1802,1812,1423,1185,2110,1291,1559,1408,744,1087,228,106,0,"Glynn County, Georgia",1684,298,90,241,124,311,169,285,447,158,713,438,425,238,678,619,649,494,688,541,682,635,397,579,194,109,214
"G1301350","2015","GA",,,"Georgia","13","Gwinnett County","135",,,,,,,,,,,,,,,,,,"05000US13135","Gwinnett County, Georgia",179144,1558,531,616,200,558,288,70,497,1246,1101,2176,3802,3544,20273,18435,28566,18698,25269,19625,18120,7133,4770,1194,440,194,240,"Gwinnett County, Georgia",4769,666,431,419,241,457,246,114,292,670,469,632,876,974,2591,2448,2979,2214,2700,2013,2094,1481,1250,537,338,170,195
"G1301390","2015","GA",,,"Georgia","13","Hall County","139",,,,,,,,,,,,,,,,,,"05000US13139","Hall County, Georgia",41282,408,368,323,46,297,365,363,270,754,699,966,1400,1245,4378,5008,3975,3150,3381,3106,5639,2022,1929,840,299,41,10,"Hall County, Georgia",1958,324,227,261,74,242,246,270,253,414,342,472,565,581,947,1037,805,790,767,784,1095,754,604,344,343,70,16
"G1301510","2015","GA",,,"Georgia","13","Henry County","151",,,,,,,,,,,,,,,,,,"05000US13151","Henry County, Georgia",51891,571,223,353,0,80,141,227,118,1274,611,1535,2292,1646,8615,7458,6020,4959,4608,4077,4083,1534,858,530,78,0,0,"Henry County, Georgia",2576,445,198,286,214,137,224,246,149,635,401,870,852,662,1503,1523,1414,1437,1020,1273,1145,621,508,417,130,214,214
"G1301530","2015","GA",,,"Georgia","13","Houston County","153",,,,,,,,,,,,,,,,,,"05000US13153","Houston County, Georgia",35658,73,43,220,42,186,91,36,520,858,1270,1981,2606,2123,6048,4618,3682,2887,3590,1437,1642,949,429,284,0,0,43,"Houston County, Georgia",1972,128,74,202,74,181,151,62,387,571,605,716,870,913,1353,1236,1126,1065,1174,597,812,735,323,297,214,214,72
"G1301790","2015","GA",,,"Georgia","13","Liberty County","179",,,,,,,,,,,,,,,,,,"05000US13179","Liberty County, Georgia",10531,350,0,41,18,25,84,55,15,393,645,433,584,1315,1787,1252,1647,800,279,285,189,120,39,128,0,0,47,"Liberty County, Georgia",873,248,214,67,36,47,88,91,28,264,378,269,388,624,606,504,490,371,164,177,129,101,66,144,214,214,85
"G1301850","2015","GA",,,"Georgia","13","Lowndes County","185",,,,,,,,,,,,,,,,,,"05000US13185","Lowndes County, Georgia",19110,390,64,0,140,475,270,126,438,1086,814,828,807,995,1797,2333,2955,1503,1364,984,776,612,353,0,0,0,0,"Lowndes County, Georgia",1649,274,77,214,137,301,184,132,253,706,343,362,531,442,529,720,934,579,630,392,290,316,263,214,214,214,214
"G1302150","2015","GA",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,,"05000US13215","Muscogee County, Georgia",34340,431,172,157,170,98,321,244,1281,1176,1666,1436,1722,1508,5052,3609,2814,2682,3407,2056,2448,459,838,279,108,96,110,"Muscogee County, Georgia",1816,266,131,124,180,159,188,195,459,362,459,421,586,469,949,950,800,752,910,591,849,236,408,388,116,110,113
"G1302170","2015","GA",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,,"05000US13217","Newton County, Georgia",23188,234,259,97,242,17,83,54,303,452,779,859,2006,1289,4647,2264,3831,1200,1009,1190,1709,362,101,83,0,0,118,"Newton County, Georgia",1650,272,261,131,281,30,142,77,249,279,712,437,746,504,1245,807,1117,553,460,609,560,329,108,134,214,214,151
"G1302230","2015","GA",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,,"05000US13223","Paulding County, Georgia",39078,138,137,0,0,0,415,433,464,224,309,1098,2002,2558,6555,5697,4726,3434,4765,2541,2224,852,64,320,122,0,0,"Paulding County, Georgia",2366,173,185,214,214,214,572,334,483,212,319,631,747,972,1400,1199,1106,855,1528,981,825,510,75,307,205,214,214
"G1302450","2015","GA",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,,"05000US13245","Richmond County, Georgia",39840,520,230,378,610,543,391,824,1606,1132,2545,3105,4053,3384,6940,2826,3493,2189,1931,967,824,516,579,184,22,0,48,"Richmond County, Georgia",2237,307,205,228,384,271,259,489,576,404,747,886,946,952,1374,823,834,699,722,418,372,256,219,182,39,214,83
"G1302470","2015","GA",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,,"05000US13247","Rockdale County, Georgia",20779,116,49,142,53,170,288,19,158,296,821,1175,709,809,2652,3047,2603,1948,3148,1128,914,223,207,52,0,0,52,"Rockdale County, Georgia",1333,127,92,450,98,248,237,34,225,262,519,467,384,501,747,977,777,732,891,486,468,298,238,86,214,214,59
"G1302850","2015","GA",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,,"05000US13285","Troup County, Georgia",13305,295,0,269,34,18,37,180,583,241,663,263,971,974,2107,1603,1044,855,1367,648,460,278,117,37,0,232,29,"Troup County, Georgia",1361,213,214,241,60,33,65,165,307,178,270,229,486,499,690,660,432,478,580,329,399,176,143,63,214,284,51
"G1302950","2015","GA",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,,"05000US13295","Walker County, Georgia",18210,271,125,62,130,110,593,131,413,604,1167,1253,918,1092,2146,1920,2559,774,1765,547,784,328,421,48,49,0,0,"Walker County, Georgia",1520,286,156,112,201,110,321,176,350,342,639,550,402,477,715,688,883,531,630,265,440,224,265,84,82,214,214
"G1302970","2015","GA",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,,"05000US13297","Walton County, Georgia",22409,0,102,119,143,0,0,145,281,383,376,234,890,1656,2589,3023,2801,1248,2597,2245,2058,857,343,181,138,0,0,"Walton County, Georgia",1252,214,116,150,198,214,214,168,284,287,272,202,515,696,556,612,700,494,692,785,648,387,297,182,164,214,214
"G1303130","2015","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,"05000US13313","Whitfield County, Georgia",21227,234,520,33,76,89,89,34,192,931,649,957,1630,1687,2780,3172,2375,777,1921,331,1476,496,519,58,201,0,0,"Whitfield County, Georgia",1562,274,392,56,96,109,122,77,160,509,491,560,657,898,862,1050,736,584,666,258,645,321,326,97,210,214,214
"G1500010","2015","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,"05000US15001","Hawaii County, Hawaii",43524,173,0,130,96,254,204,101,41,220,82,450,170,335,1212,2410,2332,2512,5174,4073,8376,4612,6937,2455,606,197,372,"Hawaii County, Hawaii",2321,185,182,137,86,281,224,130,31,182,94,314,115,219,404,714,731,885,1032,941,1263,1025,1120,680,300,250,247
"G1500030","2015","HI",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,,"05000US15003","Honolulu County, Hawaii",164770,815,25,142,0,0,113,41,230,291,89,183,302,49,1178,429,1495,560,4707,6416,17800,18355,56127,31147,15708,4432,4136,"Honolulu County, Hawaii",4043,316,42,154,182,182,110,69,188,215,82,143,160,74,447,283,522,241,825,1189,1467,1917,2678,1931,1554,984,770
"G1500070","2015","HI",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,,"05000US15007","Kauai County, Hawaii",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kauai County, Hawaii",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1500090","2015","HI",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,,"05000US15009","Maui County, Hawaii",30523,48,8,6,9,23,38,0,58,73,121,6,103,130,328,265,395,232,1087,1214,4089,4215,10147,5024,1807,615,482,"Maui County, Hawaii",1887,61,15,12,16,29,62,182,106,90,111,13,74,137,208,268,238,130,395,453,1055,968,1332,1079,480,305,290
"G1600010","2015","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",110914,1293,351,322,289,0,82,270,38,295,303,802,514,1084,4764,10470,14474,13172,18301,14934,15455,7151,4673,1308,451,118,0,"Ada County, Idaho",3886,494,224,221,233,193,134,301,62,373,273,472,295,573,1311,2039,2018,2204,2622,2416,2117,1333,1232,527,347,128,193
"G1600050","2015","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",18848,658,116,198,79,133,405,116,120,268,194,302,715,736,2298,2896,3101,1716,1994,1059,903,374,392,0,75,0,0,"Bannock County, Idaho",1374,412,85,191,157,125,299,158,160,197,136,223,355,278,487,665,744,545,537,393,394,247,279,193,122,193,193
"G1600190","2015","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",24863,389,26,57,0,0,25,38,52,83,222,764,610,839,3165,3218,4542,2661,2885,2107,1198,864,616,364,29,70,39,"Bonneville County, Idaho",1373,280,45,71,193,193,45,56,83,103,180,322,289,320,652,739,793,793,590,598,412,318,243,290,49,114,67
"G1600270","2015","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",47411,1548,322,1088,34,301,53,117,271,427,727,1693,1620,1857,8014,5828,7238,2604,3429,4277,4254,1190,281,158,80,0,0,"Canyon County, Idaho",2367,679,263,718,55,263,60,154,228,210,386,744,674,611,1390,1197,1424,911,1269,1220,1313,527,240,145,138,193,193
"G1600550","2015","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",40992,897,612,11,26,882,66,285,246,183,89,127,602,212,1783,2990,6539,5452,4560,3851,5755,2600,1471,1162,395,31,165,"Kootenai County, Idaho",2413,507,380,17,32,972,91,257,210,213,70,113,691,150,938,961,1477,1239,1019,857,1092,683,457,534,211,36,126
"G1600830","2015","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",20297,618,404,20,158,17,85,21,196,210,96,431,1212,1725,3201,2951,2028,1374,1834,1548,1209,412,458,30,59,0,0,"Twin Falls County, Idaho",1514,378,443,35,177,24,77,29,216,271,102,277,511,714,695,803,639,475,638,536,495,314,254,29,72,193,193
"G1700010","2015","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",18984,351,114,163,182,203,232,45,677,292,1060,911,1664,1527,2941,2302,1453,981,1367,1166,623,489,83,8,80,70,0,"Adams County, Illinois",1139,336,92,139,195,140,176,65,338,141,438,336,572,579,680,620,457,371,501,505,377,360,93,15,97,117,182
"G1700190","2015","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",42956,735,158,183,355,54,53,39,524,459,792,1276,912,1446,6953,5393,6899,2797,4695,3851,3406,691,786,383,0,73,43,"Champaign County, Illinois",1851,370,162,179,344,71,64,35,333,244,326,511,378,573,1374,1049,1111,609,840,938,846,317,371,223,182,119,69
"G1700310","2015","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",1088053,7594,3944,4665,3782,3122,3997,2147,8059,12227,14445,21466,25217,23560,79250,68099,104628,74600,134472,115651,157817,77425,80251,29589,18486,6101,7459,"Cook County, Illinois",9018,1146,985,842,954,818,1039,687,1354,1743,1864,2181,2197,2539,4017,4063,4955,3551,4909,4066,5682,3610,4102,2455,1974,1385,1031
"G1700370","2015","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",20624,322,249,232,123,349,0,0,202,321,15,125,701,708,2244,2827,3754,1639,2878,1697,1482,140,508,61,35,0,12,"DeKalb County, Illinois",1220,319,257,159,136,303,182,182,240,278,28,105,493,372,476,678,703,423,667,469,563,142,346,80,62,182,20
"G1700430","2015","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",246186,758,324,294,549,201,265,298,378,1300,2093,1462,2477,1519,9423,8652,15403,15081,35939,30689,51617,25284,26747,7008,5679,1229,1517,"DuPage County, Illinois",3239,319,205,197,238,166,202,222,237,437,777,436,758,463,1376,1202,1383,1634,2254,1803,2273,1654,2057,867,901,434,573
"G1700890","2015","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",124304,627,43,115,151,469,322,295,295,1208,924,1801,2584,2024,11099,6699,15078,8734,16675,18157,20992,7479,6971,767,402,274,119,"Kane County, Illinois",3342,344,71,137,176,379,193,342,252,543,499,764,547,686,1830,1179,1881,1319,1975,2085,2414,1463,1542,477,301,385,184
"G1700910","2015","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",26331,665,195,445,157,72,262,299,265,378,881,846,1497,2139,3492,3488,3186,1821,2331,1897,1094,482,306,12,111,0,10,"Kankakee County, Illinois",1436,412,176,309,115,89,187,236,189,192,368,388,425,721,792,682,759,542,611,577,321,237,213,21,91,182,16
"G1700930","2015","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kendall County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1700970","2015","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",174352,1256,450,428,407,260,284,196,699,2097,2576,3384,3664,3743,9648,10371,14058,12249,18680,16823,23934,14246,20913,7483,3830,964,1709,"Lake County, Illinois",3190,548,240,279,225,260,168,165,349,621,749,944,767,846,1360,1338,1657,1595,1735,1534,1964,1216,1526,903,655,392,505
"G1700990","2015","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",31813,184,249,414,104,423,881,308,559,1331,2145,1892,1818,1514,2939,4451,3465,1992,2888,2125,1166,239,338,270,11,93,14,"LaSalle County, Illinois",1412,170,162,205,124,244,465,192,346,406,504,492,549,465,624,932,669,551,680,568,328,187,193,197,19,128,25
"G1701110","2015","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",87056,503,153,173,226,300,127,45,455,333,949,951,1415,1533,7034,8873,10136,8542,16698,11172,10962,3105,1931,478,740,0,222,"McHenry County, Illinois",1954,481,158,141,179,280,127,74,450,230,372,398,577,473,1177,1364,1324,1377,1769,1345,1308,667,608,332,535,182,286
"G1701130","2015","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",42791,474,292,192,354,224,328,0,345,726,773,895,1544,1681,4641,4613,5840,3242,6192,4118,3179,2003,1000,91,0,44,0,"McLean County, Illinois",1427,313,205,183,320,191,294,182,307,303,318,361,569,406,1042,729,803,626,965,811,609,725,441,83,182,72,182
"G1701150","2015","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",29990,433,416,291,323,338,973,791,1328,1722,2107,2293,2113,2268,3757,2545,2963,585,1575,1210,1356,252,293,0,0,0,58,"Macon County, Illinois",1340,210,179,249,185,273,413,457,419,494,587,489,575,653,789,559,745,398,470,455,460,254,212,182,182,182,93
"G1701190","2015","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",75618,645,512,538,833,635,1116,1193,1710,2789,3046,4012,4752,5672,8655,7997,7962,4544,7981,4632,3715,1069,913,348,205,0,144,"Madison County, Illinois",2576,316,233,271,490,437,502,564,711,713,665,891,834,947,1257,1295,1218,863,1173,934,1026,409,391,228,234,182,154
"G1701430","2015","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",49355,429,235,226,1187,681,707,595,1239,1414,2779,2203,2884,2317,5235,5537,5124,2911,4583,3365,3562,823,786,258,151,88,36,"Peoria County, Illinois",1852,207,166,173,660,365,331,295,608,433,658,542,712,621,958,1015,871,730,1024,751,869,383,438,211,133,130,58
"G1701610","2015","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",41523,553,434,148,99,435,224,546,657,1268,2595,2977,3998,2915,7282,3663,5625,2464,2147,1702,754,313,336,201,187,0,0,"Rock Island County, Illinois",1991,242,248,152,92,293,194,296,372,526,751,725,794,673,1097,829,998,643,515,680,251,173,215,155,181,182,182
"G1701630","2015","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",65599,1402,1025,1712,1075,353,759,1588,1544,3095,3673,4443,3849,4242,6717,5088,4195,3930,6479,4832,2864,1129,902,435,101,0,167,"St. Clair County, Illinois",2357,628,378,738,481,184,398,594,513,758,875,982,976,890,1151,1222,936,887,1263,984,646,422,391,367,126,182,202
"G1701670","2015","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",56230,1258,1016,178,180,798,675,277,1317,1556,2540,2347,3136,3720,6825,6599,5295,4631,4570,4101,2513,1174,972,341,38,119,54,"Sangamon County, Illinois",1807,480,514,171,150,536,293,149,479,519,654,676,680,867,973,1052,912,707,837,661,694,576,378,468,63,150,89
"G1701790","2015","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",42353,440,139,108,63,97,287,99,653,903,1976,2286,2855,2481,5906,5196,4242,4668,4775,1752,2487,601,186,49,0,104,0,"Tazewell County, Illinois",1821,260,157,125,77,160,186,73,446,441,511,583,712,843,1051,1036,900,1020,799,486,662,368,174,82,182,141,182
"G1701830","2015","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",20726,599,237,107,595,598,1001,973,1314,2325,2091,1391,1511,1370,2141,1042,954,695,875,375,359,40,133,0,0,0,0,"Vermilion County, Illinois",1039,287,160,88,295,331,371,388,443,597,526,426,491,497,568,343,308,323,319,273,175,66,100,182,182,182,182
"G1701970","2015","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",178773,934,488,424,257,529,637,307,790,1196,1643,3787,3400,4076,13200,13471,20740,15811,28177,20769,25162,12663,7774,1653,619,110,156,"Will County, Illinois",3329,413,262,281,276,246,372,207,382,403,564,905,739,885,1493,1588,1781,1671,1962,1844,1849,1330,1106,511,285,133,118
"G1701990","2015","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",19314,334,223,119,58,460,742,204,1444,945,951,1700,1695,1058,1768,1963,1816,848,1017,1009,546,226,94,41,35,0,18,"Williamson County, Illinois",1396,194,206,84,86,261,318,152,500,357,324,484,552,440,639,676,510,446,359,449,312,180,156,73,59,182,31
"G1702010","2015","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",75388,697,870,162,811,503,1014,604,1492,2725,5961,5236,5103,4855,10756,11984,8328,3973,4763,2850,1563,307,642,44,49,14,82,"Winnebago County, Illinois",2405,314,474,134,405,270,450,261,541,604,1130,937,813,817,1252,1522,1015,791,983,661,514,241,300,73,79,23,106
"G1800030","2015","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",96064,1572,1530,740,534,719,812,783,1653,3052,4978,7277,6838,6287,12205,12831,10204,5480,6268,4724,4031,1334,1408,483,304,0,17,"Allen County, Indiana",2321,467,557,379,225,293,409,336,520,686,947,925,1001,1014,1464,1474,1287,1036,1043,1059,760,594,512,309,244,189,28
"G1800050","2015","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",22165,296,595,0,80,285,403,75,344,155,547,816,1032,1430,3519,3192,2256,1577,2233,1040,1379,271,330,237,73,0,0,"Bartholomew County, Indiana",1199,277,458,189,124,248,507,70,311,182,351,429,479,602,806,750,709,465,532,417,439,202,228,144,94,189,189
"G1800190","2015","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",31215,569,34,312,310,0,42,300,229,491,1026,1085,1432,1867,5345,5117,3445,2887,3051,1676,1203,359,262,173,0,0,0,"Clark County, Indiana",1752,340,57,310,273,189,68,252,149,236,464,436,631,571,1029,1061,917,848,919,523,534,232,205,175,189,189,189
"G1800350","2015","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",29201,590,189,351,454,504,917,553,975,2299,2587,2293,2250,1541,3491,2751,2646,1505,1225,611,421,485,498,0,15,0,50,"Delaware County, Indiana",1175,313,136,224,293,270,336,243,347,666,634,784,585,515,797,723,755,706,493,332,245,399,280,189,25,189,83
"G1800390","2015","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",47284,996,80,717,84,136,314,112,893,993,1639,2053,2732,2404,7620,7233,5106,3635,5007,2280,2247,127,640,167,0,0,69,"Elkhart County, Indiana",1902,547,89,549,134,144,232,130,465,399,556,581,669,670,1153,1336,1272,864,1101,687,710,144,391,211,189,189,83
