GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHP5E001,AHP5E002,AHP5E003,AHP5E004,AHP5E005,AHP5E006,AHP5E007,AHP5E008,AHP5E009,AHP5E010,AHP5E011,AHP5E012,AHP5E013,AHP5E014,AHP5E015,AHP5E016,AHP5E017,AHP5E018,AHP5E019,AHP5E020,AHP5E021,AHP5E022,AHP5E023,AHP5E024,AHP5E025,AHP5E026,AHP5E027,NAME_M,AHP5M001,AHP5M002,AHP5M003,AHP5M004,AHP5M005,AHP5M006,AHP5M007,AHP5M008,AHP5M009,AHP5M010,AHP5M011,AHP5M012,AHP5M013,AHP5M014,AHP5M015,AHP5M016,AHP5M017,AHP5M018,AHP5M019,AHP5M020,AHP5M021,AHP5M022,AHP5M023,AHP5M024,AHP5M025,AHP5M026,AHP5M027
"G0100890","2017","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",96578,1906,431,336,296,950,238,339,1838,1670,2251,3489,2233,2223,8124,9641,9943,8021,12937,9815,10415,4886,2959,1005,250,48,334,"Madison County, Alabama",2976,1014,260,258,242,536,148,360,724,746,752,931,797,995,1165,1578,1403,1633,1679,1604,1536,1265,845,623,202,56,287
"G0100950","2017","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",23646,461,490,20,456,254,190,174,638,752,1454,1619,1277,1686,2723,2164,1818,1583,1937,619,1311,953,707,200,117,43,0,"Marshall County, Alabama",1358,419,248,35,301,224,167,176,355,524,571,543,468,801,721,718,480,583,557,236,534,357,344,221,163,61,200
"G0100970","2017","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",99401,1351,1686,941,969,1913,976,1064,2083,3853,3113,5485,5135,4748,13643,11103,10153,7819,7643,5488,5678,1707,2014,317,170,137,212,"Mobile County, Alabama",2913,810,878,488,365,813,400,469,602,1003,684,1320,1148,920,1541,1605,1643,1671,1126,1176,1226,505,692,186,131,158,166
"G0101010","2017","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",51288,819,483,242,809,349,1106,278,1328,1917,3674,2804,3890,2323,5002,4797,4297,2544,3625,3423,3798,1583,1471,304,312,42,68,"Montgomery County, Alabama",2230,412,346,225,490,206,568,183,526,597,1049,846,1186,738,1080,1168,906,617,985,768,792,626,509,236,280,68,79
"G0101030","2017","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",32677,448,189,722,94,95,81,85,780,2117,1292,1759,1206,1353,3970,2989,4586,2421,3099,2339,1890,656,462,44,0,0,0,"Morgan County, Alabama",1818,298,175,430,121,123,102,139,486,773,709,706,457,622,996,859,979,790,793,749,653,346,343,75,200,200,200
"G0101150","2017","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",25362,1168,200,418,269,78,115,522,242,1009,1442,882,587,732,2541,3045,2460,2521,1697,2645,775,936,716,243,45,0,74,"St. Clair County, Alabama",1799,715,224,389,316,96,153,395,225,550,810,522,396,556,1055,1048,787,907,736,1125,405,422,479,249,87,200,129
"G0101170","2017","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",61857,442,594,470,20,368,388,171,691,810,33,491,599,1628,3808,5391,8310,5177,10484,5915,8248,3745,2634,835,184,96,325,"Shelby County, Alabama",2041,312,490,295,35,253,329,203,558,399,42,278,354,597,936,1047,1306,1026,1246,995,1134,914,731,370,170,99,238
"G0101210","2017","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",21664,933,75,660,182,669,1096,716,498,1186,1635,1069,1322,501,2238,2103,1418,955,1287,1276,1085,419,302,39,0,0,0,"Talladega County, Alabama",1617,512,92,552,181,478,631,479,296,595,877,415,532,392,759,818,525,513,489,528,552,291,199,69,200,200,200
"G0101250","2017","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",45422,638,366,482,258,328,672,470,797,767,1075,1084,926,1233,5292,4896,4917,3521,6304,4619,3356,1390,1231,298,273,55,174,"Tuscaloosa County, Alabama",2078,307,239,287,240,273,401,489,467,420,527,573,357,480,1258,1031,1003,1003,1095,861,883,615,490,235,236,93,181
"G0101270","2017","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",19396,1034,527,453,671,103,98,579,1018,1363,712,1186,1056,605,1801,1553,1389,1356,1170,389,1323,546,214,0,0,0,250,"Walker County, Alabama",1321,391,366,336,500,98,112,325,469,540,391,522,418,281,522,644,475,469,462,302,506,456,206,200,200,200,219
"G0200200","2017","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",62826,385,694,348,1106,48,597,178,858,190,193,58,326,243,1059,1344,2124,2522,8104,7348,18410,8910,6079,928,492,89,193,"Anchorage Municipality, Alaska",2361,263,658,341,663,83,616,158,660,181,167,101,366,219,412,553,644,722,1310,1117,1798,1324,944,384,253,102,187
"G0200900","2017","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0201700","2017","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",22857,108,83,21,15,116,158,49,300,323,281,117,209,123,560,589,1859,1573,4587,4499,4336,1657,918,228,57,40,51,"Matanuska-Susitna Borough, Alaska",806,81,89,35,26,104,134,62,138,182,151,85,129,88,215,208,428,418,671,601,534,391,297,141,74,65,87
"G0400010","2017","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",16434,2841,1076,265,1565,928,215,110,1299,1099,451,880,786,579,479,591,1126,380,670,443,427,0,176,48,0,0,0,"Apache County, Arizona",822,431,269,233,290,254,201,73,297,269,256,386,291,481,342,301,476,196,298,308,282,208,159,47,208,208,208
"G0400030","2017","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",34084,382,815,283,588,187,390,248,671,1142,1221,1537,1320,871,3908,2677,3609,2925,3891,3543,2924,414,466,62,0,0,10,"Cochise County, Arizona",1799,237,462,264,330,192,304,212,447,441,527,555,539,280,731,742,899,682,915,815,893,252,327,107,208,208,16
"G0400050","2017","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",29389,1251,614,273,506,582,608,29,756,696,429,559,421,189,1396,800,1152,924,2379,2063,5379,4081,2718,716,405,326,137,"Coconino County, Arizona",1912,372,284,146,209,412,357,34,393,346,200,448,213,223,466,466,431,436,765,541,889,894,771,309,242,247,136
"G0400130","2017","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",963340,15769,4683,7017,5007,3303,3190,2930,6029,5783,7027,8384,9149,10241,36186,41904,78809,72774,147085,126324,167462,86306,73340,24446,11299,4192,4701,"Maricopa County, Arizona",9632,2116,879,1168,889,840,841,891,1284,910,1287,1079,1391,1597,2568,2996,3310,4192,6068,4980,5573,4280,3545,2317,1597,978,851
"G0400150","2017","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",61281,321,247,566,1124,996,543,624,867,2216,2604,2995,2751,2133,4983,6017,5838,2966,8147,4397,6278,2187,1723,408,162,96,92,"Mohave County, Arizona",2533,347,183,471,510,506,299,340,397,688,853,992,934,870,1099,1248,1346,864,1511,1363,1535,775,780,327,155,157,156
