GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHP5E001,AHP5E002,AHP5E003,AHP5E004,AHP5E005,AHP5E006,AHP5E007,AHP5E008,AHP5E009,AHP5E010,AHP5E011,AHP5E012,AHP5E013,AHP5E014,AHP5E015,AHP5E016,AHP5E017,AHP5E018,AHP5E019,AHP5E020,AHP5E021,AHP5E022,AHP5E023,AHP5E024,AHP5E025,AHP5E026,AHP5E027,NAME_M,AHP5M001,AHP5M002,AHP5M003,AHP5M004,AHP5M005,AHP5M006,AHP5M007,AHP5M008,AHP5M009,AHP5M010,AHP5M011,AHP5M012,AHP5M013,AHP5M014,AHP5M015,AHP5M016,AHP5M017,AHP5M018,AHP5M019,AHP5M020,AHP5M021,AHP5M022,AHP5M023,AHP5M024,AHP5M025,AHP5M026,AHP5M027
"G1300450","2017","GA",,,"Georgia","13","Carroll County","045",,,,,,,,,,,,,,,,,,"05000US13045","Carroll County, Georgia",27759,330,178,211,286,208,392,518,126,1201,1123,624,2107,1443,4184,3036,2901,1878,2255,1756,1528,762,503,178,0,31,0,"Carroll County, Georgia",2112,377,179,199,247,179,298,582,149,531,604,476,1024,670,1275,1337,826,788,803,786,569,488,364,192,224,52,224
"G1300470","2017","GA",,,"Georgia","13","Catoosa County","047",,,,,,,,,,,,,,,,,,"05000US13047","Catoosa County, Georgia",17970,412,179,597,0,0,150,287,918,279,568,430,574,1517,1994,2089,2314,1341,1424,924,1064,438,71,119,164,0,117,"Catoosa County, Georgia",1528,298,211,526,224,224,215,324,483,246,501,325,380,792,777,620,682,507,514,507,571,331,124,164,274,224,98
"G1300510","2017","GA",,,"Georgia","13","Chatham County","051",,,,,,,,,,,,,,,,,,"05000US13051","Chatham County, Georgia",59194,629,468,160,27,342,342,55,264,1150,832,1529,1463,1781,5328,6928,5858,3484,8970,5280,4999,2635,3772,1477,1097,138,186,"Chatham County, Georgia",2891,471,617,138,44,370,319,91,162,510,329,576,634,483,1347,1551,1253,1029,1995,1309,1058,729,782,538,524,124,174
"G1300570","2017","GA",,,"Georgia","13","Cherokee County","057",,,,,,,,,,,,,,,,,,"05000US13057","Cherokee County, Georgia",67320,134,104,171,0,0,75,176,144,187,18,0,1295,443,1971,4027,7752,5381,11547,10663,9814,7333,4520,605,291,397,272,"Cherokee County, Georgia",2327,119,171,169,224,224,130,196,178,197,30,224,643,330,802,1124,1665,1379,1900,1951,1498,1614,1056,356,342,435,259
"G1300590","2017","GA",,,"Georgia","13","Clarke County","059",,,,,,,,,,,,,,,,,,"05000US13059","Clarke County, Georgia",19318,465,171,274,92,64,63,68,298,336,209,765,944,822,1581,2001,2182,1775,1512,2059,1539,756,1019,219,46,0,58,"Clarke County, Georgia",1299,566,181,432,102,108,111,113,261,272,216,356,426,410,556,681,708,585,588,582,553,340,365,181,78,224,99
"G1300630","2017","GA",,,"Georgia","13","Clayton County","063",,,,,,,,,,,,,,,,,,"05000US13063","Clayton County, Georgia",43091,514,1108,276,615,303,217,352,1053,1912,2317,4818,3714,3275,7625,4648,5499,1235,1304,670,614,268,340,178,130,0,106,"Clayton County, Georgia",2264,402,651,242,519,314,180,227,401,648,771,1049,1029,891,1754,1180,1246,575,599,523,460,363,247,207,168,224,115
"G1300670","2017","GA",,,"Georgia","13","Cobb County","067",,,,,,,,,,,,,,,,,,"05000US13067","Cobb County, Georgia",180769,1717,741,333,44,206,686,410,720,1183,962,1565,1432,2353,7790,12443,14958,15647,25302,21956,29736,18134,15797,3524,2081,370,679,"Cobb County, Georgia",4877,883,389,425,74,203,657,264,431,605,584,749,404,829,1595,1773,2026,2267,2741,2317,2733,2150,1669,922,729,281,400
"G1300730","2017","GA",,,"Georgia","13","Columbia County","073",,,,,,,,,,,,,,,,,,"05000US13073","Columbia County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1300770","2017","GA",,,"Georgia","13","Coweta County","077",,,,,,,,,,,,,,,,,,"05000US13077","Coweta County, Georgia",38746,205,0,63,245,55,117,0,499,93,319,183,329,798,2485,3298,5776,3273,5918,4696,6151,2914,1029,198,102,0,0,"Coweta County, Georgia",1667,218,224,107,237,79,169,224,365,121,222,205,264,569,844,1035,1152,938,1016,949,1152,1000,517,194,122,224,224
"G1300890","2017","GA",,,"Georgia","13","DeKalb County","089",,,,,,,,,,,,,,,,,,"05000US13089","DeKalb County, Georgia",149149,936,372,759,357,369,443,236,984,1776,3377,3132,4740,3930,15396,11679,15557,10618,12892,9079,18597,13020,13889,4852,1182,317,660,"DeKalb County, Georgia",3936,376,324,445,254,428,408,231,522,688,1051,892,1136,891,2128,1606,1880,2117,1956,1325,2229,1698,1605,1227,384,259,403
"G1300950","2017","GA",,,"Georgia","13","Dougherty County","095",,,,,,,,,,,,,,,,,,"05000US13095","Dougherty County, Georgia",15119,48,185,0,101,117,609,267,677,1307,1370,752,1308,697,2132,949,759,962,704,617,1187,198,149,0,24,0,0,"Dougherty County, Georgia",1526,77,154,224,132,120,440,209,479,534,614,384,427,349,515,430,352,505,399,352,473,150,169,224,41,224,224
"G1300970","2017","GA",,,"Georgia","13","Douglas County","097",,,,,,,,,,,,,,,,,,"05000US13097","Douglas County, Georgia",32636,40,0,166,308,0,236,169,399,46,615,725,1233,1511,4667,3401,6178,3424,3101,2354,2715,808,266,274,0,0,0,"Douglas County, Georgia",2156,71,224,214,353,224,340,206,361,75,458,390,629,646,1126,1019,1728,1039,866,779,910,383,220,378,224,224,224
"G1301130","2017","GA",,,"Georgia","13","Fayette County","113",,,,,,,,,,,,,,,,,,"05000US13113","Fayette County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1301150","2017","GA",,,"Georgia","13","Floyd County","115",,,,,,,,,,,,,,,,,,"05000US13115","Floyd County, Georgia",23150,394,325,538,96,90,130,41,576,886,1464,948,1696,917,2123,3393,2025,1999,2021,1666,1192,399,207,24,0,0,0,"Floyd County, Georgia",1497,322,215,412,115,145,160,69,410,407,691,445,640,370,622,855,688,595,658,563,400,213,201,41,224,224,224
"G1301170","2017","GA",,,"Georgia","13","Forsyth County","117",,,,,,,,,,,,,,,,,,"05000US13117","Forsyth County, Georgia",65619,158,112,40,65,90,162,42,89,96,217,137,82,144,968,1825,2263,2786,6917,8094,17229,11584,9505,2097,711,36,170,"Forsyth County, Georgia",1776,158,134,66,94,106,269,68,106,117,247,134,107,139,413,520,622,664,981,1291,1745,1261,1150,618,342,61,216
"G1301210","2017","GA",,,"Georgia","13","Fulton County","121",,,,,,,,,,,,,,,,,,"05000US13121","Fulton County, Georgia",211137,462,228,334,766,662,1166,298,1472,2807,1980,4696,4249,4901,10861,10759,13549,8443,17615,18736,25750,25991,30475,12220,7102,2833,2782,"Fulton County, Georgia",5607,292,198,193,359,352,626,243,639,790,632,1220,1232,1773,1827,2209,2244,1758,2216,2492,2279,2402,2654,1713,1266,836,923
"G1301270","2017","GA",,,"Georgia","13","Glynn County","127",,,,,,,,,,,,,,,,,,"05000US13127","Glynn County, Georgia",23414,549,188,0,338,312,401,293,546,275,288,325,1941,552,1869,2494,1616,1636,2792,1227,2055,1488,921,498,563,0,247,"Glynn County, Georgia",1929,369,269,224,446,375,414,319,438,244,293,266,1115,333,730,942,631,759,897,674,720,553,448,285,274,224,240
"G1301350","2017","GA",,,"Georgia","13","Gwinnett County","135",,,,,,,,,,,,,,,,,,"05000US13135","Gwinnett County, Georgia",196981,1128,292,571,561,175,988,49,635,683,134,937,1388,1812,7793,15778,30861,20211,36284,28003,26909,9852,8422,1795,1417,40,263,"Gwinnett County, Georgia",4238,511,284,368,507,179,851,84,587,450,222,546,612,712,1483,2531,3019,2635,2823,3145,2483,1658,1391,642,686,67,254
"G1301390","2017","GA",,,"Georgia","13","Hall County","139",,,,,,,,,,,,,,,,,,"05000US13139","Hall County, Georgia",43802,486,586,595,46,156,273,0,235,554,721,329,1143,1324,3089,4575,4832,3582,4801,4657,5467,3147,2063,792,307,42,0,"Hall County, Georgia",1908,374,340,435,76,127,267,224,194,369,348,299,670,548,783,850,931,921,941,1094,951,725,679,442,217,67,224
"G1301510","2017","GA",,,"Georgia","13","Henry County","151",,,,,,,,,,,,,,,,,,"05000US13151","Henry County, Georgia",53111,1358,334,725,0,0,63,0,77,167,205,833,1636,395,4598,8286,10026,3651,9661,4411,4375,1248,567,451,44,0,0,"Henry County, Georgia",3012,763,300,647,224,224,105,224,126,206,217,412,739,266,1262,1675,1913,1027,1805,1097,927,564,391,388,77,224,224
"G1301530","2017","GA",,,"Georgia","13","Houston County","153",,,,,,,,,,,,,,,,,,"05000US13153","Houston County, Georgia",37025,812,155,0,517,455,523,256,566,376,1687,2337,1777,3800,4523,3764,4226,2485,2772,2306,1891,789,820,56,0,132,0,"Houston County, Georgia",2134,571,199,224,379,355,442,261,483,265,742,737,843,1268,1321,1158,1176,750,844,898,852,416,510,93,224,154,224
"G1301570","2017","GA",,,"Georgia","13","Jackson County","157",,,,,,,,,,,,,,,,,,"05000US13157","Jackson County, Georgia",18590,306,70,182,206,32,0,149,263,23,849,431,405,515,1052,1634,2438,1611,2527,1712,2303,515,1185,19,163,0,0,"Jackson County, Georgia",1159,210,118,208,209,58,224,193,194,40,459,387,330,284,427,527,663,522,636,658,761,452,626,33,186,224,224
"G1301850","2017","GA",,,"Georgia","13","Lowndes County","185",,,,,,,,,,,,,,,,,,"05000US13185","Lowndes County, Georgia",20393,979,231,122,130,72,159,40,641,346,938,713,1284,368,3439,2165,2271,2031,1589,1214,973,346,123,26,104,89,0,"Lowndes County, Georgia",1364,715,193,148,111,76,134,66,431,249,645,388,680,257,733,779,609,729,617,474,531,300,111,41,170,116,224
"G1302150","2017","GA",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,,"05000US13215","Muscogee County, Georgia",33412,326,160,215,239,153,278,465,1059,1341,911,1905,2515,1714,3362,3673,4407,2486,3282,1480,952,940,1085,124,178,58,104,"Muscogee County, Georgia",1970,315,135,204,274,181,275,301,511,443,363,737,789,593,783,929,1032,816,821,546,391,467,633,157,186,109,134
"G1302170","2017","GA",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,,"05000US13217","Newton County, Georgia",27033,96,485,211,433,0,10,344,72,639,1205,456,1329,1659,2741,4079,3816,2057,2143,2605,1691,326,446,0,0,0,190,"Newton County, Georgia",1950,112,387,272,472,224,16,480,122,515,827,364,521,819,871,1104,1213,853,866,1011,666,299,427,224,224,224,228
"G1302230","2017","GA",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,,"05000US13223","Paulding County, Georgia",38746,82,386,108,0,158,232,72,227,177,715,476,1041,869,3217,6769,5941,4497,7085,3068,2011,683,628,27,233,0,44,"Paulding County, Georgia",2502,143,274,140,224,161,307,127,234,193,625,443,590,361,1083,1435,1221,1227,1331,912,847,430,511,47,279,224,73
"G1302450","2017","GA",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,,"05000US13245","Richmond County, Georgia",37704,597,316,308,256,515,358,275,1505,1939,2574,2780,3329,3797,4099,3533,3942,1910,2153,1110,1431,239,628,82,0,0,28,"Richmond County, Georgia",2490,284,255,253,225,440,229,246,546,744,748,832,974,943,997,841,1208,693,659,438,592,180,328,66,224,224,49
"G1302470","2017","GA",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,,"05000US13247","Rockdale County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rockdale County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1302550","2017","GA",,,"Georgia","13","Spalding County","255",,,,,,,,,,,,,,,,,,"05000US13255","Spalding County, Georgia",14928,97,295,59,59,26,351,40,559,927,840,1188,1044,533,1896,1518,1408,726,1908,277,492,394,148,143,0,0,0,"Spalding County, Georgia",1228,119,371,107,77,47,292,64,441,506,480,601,586,513,871,610,588,410,803,222,323,338,191,233,224,224,224
"G1302850","2017","GA",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,,"05000US13285","Troup County, Georgia",14686,224,177,40,0,125,115,369,268,573,471,560,398,735,2817,777,1932,1229,1037,1337,795,148,458,101,0,0,0,"Troup County, Georgia",1289,332,180,69,224,178,117,350,197,446,297,339,276,409,1067,354,596,616,586,609,443,133,283,94,224,224,224
"G1302950","2017","GA",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,,"05000US13295","Walker County, Georgia",18992,20,0,261,310,557,326,311,405,397,1130,1796,1268,1070,2006,1914,2513,637,1122,977,1016,356,406,84,110,0,0,"Walker County, Georgia",1409,43,224,272,230,491,251,339,314,288,554,675,542,456,865,693,671,438,545,572,480,250,334,112,130,224,224
"G1302970","2017","GA",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,,"05000US13297","Walton County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walton County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1303130","2017","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,"05000US13313","Whitfield County, Georgia",20664,454,464,462,146,37,245,115,328,223,909,1483,696,840,3336,1998,1653,1633,2426,805,1215,397,547,32,0,0,220,"Whitfield County, Georgia",2014,279,392,541,141,59,270,147,288,226,532,773,395,433,1084,705,626,636,745,430,593,336,356,52,224,224,174
"G1500010","2017","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,"05000US15001","Hawaii County, Hawaii",46301,56,32,0,81,40,71,145,468,572,0,636,386,178,2104,958,1890,1706,4598,5611,8079,6095,7844,2190,1411,518,632,"Hawaii County, Hawaii",2274,72,62,187,119,56,112,220,411,390,187,584,229,120,881,464,724,761,1254,1299,1273,1172,1534,627,578,344,514
"G1500030","2017","HI",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,,"05000US15003","Honolulu County, Hawaii",176287,321,0,74,0,41,216,134,105,210,222,604,478,86,1003,526,815,624,4611,4687,15573,16856,56817,39572,21525,6390,4797,"Honolulu County, Hawaii",3707,159,187,86,187,71,182,135,106,172,153,490,439,93,450,286,311,272,886,844,1561,1662,2987,2253,1822,1139,789
"G1500070","2017","HI",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,,"05000US15007","Kauai County, Hawaii",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kauai County, Hawaii",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1500090","2017","HI",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,,"05000US15009","Maui County, Hawaii",31306,0,65,0,14,0,0,0,163,24,5,23,25,0,150,141,134,51,528,883,2841,3649,12293,5229,2847,1099,1142,"Maui County, Hawaii",1772,187,95,187,25,187,187,187,195,41,9,35,23,187,147,114,91,44,298,407,700,960,1390,1146,781,439,448
"G1600010","2017","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",117660,1724,88,457,851,514,102,275,134,275,185,444,586,468,2490,4209,8705,11534,23649,16724,23795,11793,5765,2394,360,73,66,"Ada County, Idaho",3378,581,104,312,404,507,123,199,165,236,209,431,343,320,901,1290,1467,1734,2424,2245,2944,2129,1153,886,231,120,108
"G1600050","2017","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",21157,149,383,243,151,0,44,0,72,54,168,636,726,901,2263,4097,2493,2164,2479,1768,1451,539,294,53,15,14,0,"Bannock County, Idaho",1220,132,334,237,153,201,61,201,80,74,156,483,309,473,562,835,615,575,672,599,478,311,226,92,26,24,201
"G1600190","2017","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",29366,393,489,48,179,18,332,37,96,108,433,187,512,957,2474,5183,3879,3185,4646,2320,2255,701,776,99,0,0,59,"Bonneville County, Idaho",1343,285,377,75,226,31,255,60,111,124,369,174,253,361,638,1229,764,785,927,631,712,341,405,121,201,201,91
"G1600270","2017","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",47084,782,253,287,909,171,350,156,105,649,435,635,734,1010,3753,6088,6598,6906,7023,4322,4070,823,638,115,134,0,138,"Canyon County, Idaho",2350,426,247,268,633,180,336,159,133,353,303,311,352,571,934,1229,1473,1504,1340,941,785,480,417,131,226,201,157
"G1600550","2017","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",44103,187,168,331,0,160,241,34,21,49,106,483,226,61,969,1721,4078,3530,7790,7034,7304,4179,3657,790,402,168,414,"Kootenai County, Idaho",2427,213,135,440,201,155,290,60,38,52,128,378,270,86,431,726,1390,1097,1663,1793,1659,993,831,477,204,165,275
"G1600830","2017","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",22991,514,129,126,0,228,140,0,365,425,611,693,394,1053,2143,2704,4020,1752,3373,1544,1962,511,191,98,0,15,0,"Twin Falls County, Idaho",1498,289,147,146,201,262,200,201,375,285,481,383,281,620,835,829,1106,655,1041,596,668,350,147,123,201,25,201
"G1700010","2017","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",20175,79,64,221,98,0,360,11,840,485,742,1099,1996,1213,2650,1809,2110,611,1432,1613,1500,854,353,0,28,0,7,"Adams County, Illinois",896,129,105,220,91,190,323,18,482,255,253,384,517,396,775,544,571,289,473,639,683,443,279,190,48,190,12
"G1700190","2017","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",44063,628,215,276,374,48,263,457,775,610,1331,938,1531,1825,4743,4423,4673,4948,6425,3094,3660,1032,1163,243,377,0,11,"Champaign County, Illinois",1746,449,190,290,333,68,209,246,377,316,475,405,475,609,1385,825,875,1174,1125,805,787,465,521,203,301,190,19
"G1700310","2017","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",1099601,8967,3955,3226,3892,2807,3880,3346,6503,9901,12011,16651,22378,18644,68054,60348,91494,73575,147331,124103,170892,89237,90621,34960,18664,6079,8082,"Cook County, Illinois",10813,1452,1015,861,970,762,921,1010,1477,1445,1689,1953,2396,2046,3858,3716,4516,4331,5156,4683,5623,4082,4101,2684,1980,1065,1236
"G1700370","2017","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1700430","2017","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",254076,1044,263,146,615,157,497,266,268,523,1109,1145,1912,2043,7442,8161,13264,12979,34250,35704,59774,29617,27205,8310,4395,1352,1635,"DuPage County, Illinois",3307,465,223,125,319,109,284,176,180,324,558,457,619,607,1217,1209,1606,1405,2329,2264,3099,1893,1982,1011,881,456,428
"G1700890","2017","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",135737,1054,212,268,273,42,207,205,202,395,1003,1584,2023,1996,7968,9035,15838,10080,20794,17880,26613,8884,5647,2238,549,322,425,"Kane County, Illinois",3219,730,226,220,274,72,213,203,221,388,542,659,782,700,1328,1347,2336,1456,2307,2214,2444,1616,956,760,453,347,281
"G1700910","2017","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",27312,682,148,46,141,74,403,479,465,749,578,812,2021,1173,3487,2245,3464,2388,3328,2075,1983,288,84,85,45,0,69,"Kankakee County, Illinois",1374,390,99,83,140,123,213,493,335,324,299,335,576,438,812,482,745,526,912,594,559,208,99,89,75,190,74
"G1700930","2017","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kendall County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1700970","2017","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",181437,1618,1675,414,373,502,252,0,726,1521,1153,2332,3108,2806,10974,12380,14550,12184,19999,16465,24224,15736,22665,8099,4615,1180,1886,"Lake County, Illinois",3435,496,779,233,294,488,204,190,390,548,461,631,922,832,1807,1747,1735,1524,1935,1784,1879,1682,1842,1106,835,383,462
"G1700990","2017","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",31552,639,43,66,99,51,117,240,1328,1460,1204,1712,1665,2019,3977,2798,3086,2389,3531,2182,1628,463,653,113,29,0,60,"LaSalle County, Illinois",1367,343,69,96,133,42,141,202,557,509,405,487,504,492,806,576,657,580,725,600,478,285,438,100,29,190,79
"G1701110","2017","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",89731,706,223,179,123,267,94,0,338,413,495,732,1861,2023,4811,6911,8783,8031,15911,12878,15979,4630,3608,444,168,41,82,"McHenry County, Illinois",2312,519,218,163,150,295,112,190,379,300,401,343,676,711,1012,1076,1251,1257,1780,1381,1751,1013,864,274,207,70,76
"G1701130","2017","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",42566,565,549,83,397,104,267,68,313,277,845,836,1758,1096,3957,5496,6783,4635,5148,4250,3195,593,823,316,64,66,82,"McLean County, Illinois",1949,292,359,89,338,97,293,93,221,198,405,323,624,370,756,1025,1017,817,873,694,815,293,334,285,104,111,100
"G1701150","2017","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",31422,646,466,655,575,618,463,751,1878,1469,2035,2597,2298,1812,3921,2130,1957,1531,1267,2145,1530,154,274,18,156,0,76,"Macon County, Illinois",1639,336,281,443,291,290,233,384,624,431,554,798,619,473,716,555,593,586,400,757,577,138,202,31,174,190,136
"G1701190","2017","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",75636,516,450,290,545,662,523,864,2119,3086,3478,3265,5036,4846,10353,6771,7052,5262,7616,3999,5729,1522,1162,277,139,0,74,"Madison County, Illinois",2436,264,312,224,270,424,313,478,693,819,884,689,1030,1218,1721,1357,1206,1073,1309,756,1148,596,472,278,117,190,131
"G1701430","2017","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",47183,571,153,328,152,367,367,387,1094,1603,2065,2211,3117,3458,6547,4971,5116,2651,4060,3165,2425,744,823,533,109,55,111,"Peoria County, Illinois",2025,311,165,225,119,217,233,227,362,459,590,719,718,872,1188,933,932,691,1009,791,667,291,312,378,129,88,170
"G1701610","2017","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",40866,441,565,513,140,268,226,365,883,1498,2152,2937,2833,2791,6968,5586,3864,2145,2720,1598,1531,229,313,121,130,49,0,"Rock Island County, Illinois",1986,258,341,300,170,175,198,258,333,630,680,772,692,807,989,1034,974,556,588,389,395,177,209,171,129,79,190
"G1701630","2017","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",65438,961,707,501,1592,576,1314,415,1611,2685,2992,3170,5639,3193,6573,5667,7076,4523,6688,4119,2965,1196,639,139,376,47,74,"St. Clair County, Illinois",2514,465,331,346,763,336,474,297,641,929,948,800,1407,895,1131,1162,1285,1032,1010,1055,796,519,436,153,342,83,127
"G1701670","2017","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",59607,1290,318,442,157,369,661,892,1161,2267,2656,2824,3706,2792,6812,5711,7058,3888,5951,4550,4062,1099,808,105,0,0,28,"Sangamon County, Illinois",2069,596,173,316,142,235,423,515,483,700,730,824,740,758,976,1031,1104,774,1171,996,867,445,404,110,190,190,46
"G1701790","2017","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",40819,315,229,81,72,75,128,37,910,576,1375,2403,2277,2862,5245,6191,4319,3760,3616,1953,2391,809,817,175,112,0,91,"Tazewell County, Illinois",1586,268,161,109,113,97,131,36,465,230,528,557,639,757,960,1279,902,780,655,618,717,372,424,168,138,190,136
"G1701830","2017","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",21931,748,420,321,552,267,939,558,1724,2315,1864,1600,1950,1366,1953,1313,1417,654,1005,398,259,63,98,0,42,68,37,"Vermilion County, Illinois",1293,471,267,189,225,183,361,318,600,608,494,440,601,432,552,430,383,274,416,300,207,71,118,190,68,87,59
"G1701970","2017","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",186234,1008,697,389,677,279,496,176,828,538,1688,1654,1555,3178,10645,13402,18326,19091,30537,24996,31200,13729,8677,1264,658,89,457,"Will County, Illinois",2932,412,350,190,286,188,266,201,354,262,608,462,607,740,1504,1512,1924,2080,2397,2227,2281,1317,1176,439,307,105,271
"G1701990","2017","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",19130,170,176,6,227,734,604,51,574,643,1307,1019,861,1098,1917,2762,2329,1371,1240,971,655,105,172,38,0,0,100,"Williamson County, Illinois",1346,130,129,10,142,399,239,57,250,398,508,435,378,474,540,905,711,535,380,371,277,127,298,65,190,190,118
"G1702010","2017","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",76518,736,665,365,1175,346,1065,646,2558,2742,4156,5316,6179,3892,11498,10263,8587,4596,6334,2377,1927,397,530,69,0,0,99,"Winnebago County, Illinois",2165,425,369,265,461,266,424,370,700,854,888,1061,865,872,1297,1288,1264,885,1212,777,634,253,295,113,190,190,101
"G1800030","2017","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",96407,1383,647,1014,804,614,1033,528,2447,3365,2692,4601,5198,6335,13469,12500,9209,7489,8473,4551,4991,2562,1530,385,212,78,297,"Allen County, Indiana",2699,556,340,463,388,298,520,281,757,888,687,994,857,1012,1569,1745,1195,1341,1240,808,1084,713,749,336,166,90,206
"G1800050","2017","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",22319,201,23,281,155,6,0,74,315,143,638,891,1090,1568,3245,2689,1529,1777,2050,1967,1941,691,514,446,85,0,0,"Bartholomew County, Indiana",1444,213,32,243,179,11,197,109,226,138,411,486,444,623,950,761,609,513,556,575,704,344,278,294,101,197,197
