GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PGYE001,PGYE002,PGYE003,PGYE004,PGYE005,PGYE006,PGYE007,PGYE008,PGYE009,PGYE010,PGYE011,PGYE012,PGYE013,PGYE014,PGYE015,PGYE016,PGYE017,PGYE018,PGYE019,PGYE020,PGYE021,PGYE022,PGYE023,PGYE024,PGYE025,NAME_M,PGYM001,PGYM002,PGYM003,PGYM004,PGYM005,PGYM006,PGYM007,PGYM008,PGYM009,PGYM010,PGYM011,PGYM012,PGYM013,PGYM014,PGYM015,PGYM016,PGYM017,PGYM018,PGYM019,PGYM020,PGYM021,PGYM022,PGYM023,PGYM024,PGYM025
"G0100890","2012","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",93293,918,921,1341,473,503,431,234,2097,2015,3473,2914,3727,3464,8885,8924,10861,9547,10945,7213,8223,2842,1976,489,877,"Madison County, Alabama",2929,444,417,797,355,384,357,157,691,603,703,796,899,883,1487,1536,1679,1504,1287,1258,1157,796,669,251,333
"G0100950","2012","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",24341,885,353,1162,361,505,533,120,1195,582,1202,1034,1515,1509,2331,2191,2323,796,2356,1196,1003,623,359,207,0,"Marshall County, Alabama",1179,340,240,682,281,369,316,120,371,252,596,402,528,482,523,687,594,280,689,404,351,315,231,203,184
"G0100970","2012","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",100690,1033,746,1291,1025,1294,1537,1878,2817,4000,4356,4672,8938,4932,11633,10722,11792,6002,7623,6532,3874,1615,1390,367,621,"Mobile County, Alabama",3165,371,308,538,496,561,561,545,678,890,799,1020,1379,1043,1631,1503,1816,1490,1354,1160,806,528,532,156,347
"G0101010","2012","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",53656,1094,702,594,1092,620,816,841,1085,1073,3336,2912,4006,3496,6478,5972,4020,2826,4231,2256,3906,891,987,231,191,"Montgomery County, Alabama",2218,429,288,361,489,289,351,314,401,359,710,721,849,1001,1264,1046,925,706,758,571,990,401,433,165,147
"G0101030","2012","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",32015,1053,511,994,491,473,339,231,477,1495,1266,1414,1516,1532,4731,3576,2697,2454,2821,1761,1425,357,250,151,0,"Morgan County, Alabama",1854,379,271,546,407,255,235,327,265,588,442,540,454,485,868,776,768,729,613,484,423,257,200,151,184
"G0101150","2012","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",25567,843,1084,472,568,153,566,355,264,247,878,1636,1069,965,2219,3051,3176,1803,2670,1770,854,402,185,108,229,"St. Clair County, Alabama",1687,461,448,291,423,174,414,269,195,200,396,751,603,503,778,911,951,697,709,747,520,349,171,188,248
"G0101170","2012","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",57736,915,679,1030,575,108,367,315,716,874,600,1011,1588,1137,4474,5299,7693,3793,8470,5765,6643,2592,1756,736,600,"Shelby County, Alabama",1833,424,332,466,323,85,237,375,418,454,327,401,610,449,924,1110,969,728,1089,1036,994,527,486,350,325
"G0101210","2012","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",22502,1472,565,537,550,372,869,253,850,1427,1968,1369,1491,1156,2160,1543,1829,873,1261,663,863,131,163,70,67,"Talladega County, Alabama",1448,528,241,330,376,256,514,162,352,515,622,588,442,420,479,532,540,479,517,372,369,115,152,105,89
"G0101250","2012","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",43430,1822,499,1142,245,141,246,85,690,848,781,991,1960,1514,3914,4955,6917,3091,4870,2899,3682,871,709,342,216,"Tuscaloosa County, Alabama",1919,581,217,676,176,165,213,91,335,404,327,430,615,600,880,1184,1208,699,968,693,835,381,371,209,154
"G0101270","2012","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",18633,1160,633,832,232,957,380,202,656,2078,941,1106,762,874,1834,1093,1825,558,853,748,294,178,391,0,46,"Walker County, Alabama",1137,478,384,411,179,440,224,155,338,571,334,485,341,346,598,457,536,247,381,384,171,183,275,184,76
