GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PGYE001,PGYE002,PGYE003,PGYE004,PGYE005,PGYE006,PGYE007,PGYE008,PGYE009,PGYE010,PGYE011,PGYE012,PGYE013,PGYE014,PGYE015,PGYE016,PGYE017,PGYE018,PGYE019,PGYE020,PGYE021,PGYE022,PGYE023,PGYE024,PGYE025,NAME_M,PGYM001,PGYM002,PGYM003,PGYM004,PGYM005,PGYM006,PGYM007,PGYM008,PGYM009,PGYM010,PGYM011,PGYM012,PGYM013,PGYM014,PGYM015,PGYM016,PGYM017,PGYM018,PGYM019,PGYM020,PGYM021,PGYM022,PGYM023,PGYM024,PGYM025
"G1200950","2012","FL",,,"Florida","12","Orange County","095",,,,,,,,,,,,,,,,,,"05000US12095","Orange County, Florida",235855,2616,1912,1863,1416,1608,3311,1349,5659,6773,11057,10848,9546,10255,28626,20929,25669,17117,23613,16111,15948,7554,6876,2066,3133,"Orange County, Florida",6016,828,626,805,557,757,1032,464,1239,1380,1514,1722,1347,1706,3094,2761,2534,2189,2764,2153,2017,1505,1397,572,800
"G1200970","2012","FL",,,"Florida","12","Osceola County","097",,,,,,,,,,,,,,,,,,"05000US12097","Osceola County, Florida",55553,997,1004,429,341,799,989,779,1303,2450,2462,4530,4743,2885,7823,7268,5815,2679,2502,2890,1214,341,813,276,221,"Osceola County, Florida",2877,415,438,268,252,636,616,426,700,826,795,1163,1190,949,1407,1625,1182,775,947,1023,572,250,561,195,218
"G1200990","2012","FL",,,"Florida","12","Palm Beach County","099",,,,,,,,,,,,,,,,,,"05000US12099","Palm Beach County, Florida",365137,3968,3573,3028,3748,3836,4801,3978,11707,11161,10942,13231,12188,12210,27249,21414,27769,20757,38813,31645,38350,20562,19091,7822,13294,"Palm Beach County, Florida",6165,874,817,724,771,783,945,955,1439,1357,1591,1501,1498,1404,2088,2467,2305,2606,2482,2197,2733,2011,2038,1185,1624
"G1201010","2012","FL",,,"Florida","12","Pasco County","101",,,,,,,,,,,,,,,,,,"05000US12101","Pasco County, Florida",135211,2450,2374,1323,1624,2414,4181,2765,6879,8895,8675,7270,8651,5456,15536,10293,12825,6821,11067,5041,5541,2453,1310,731,636,"Pasco County, Florida",3600,624,673,452,474,680,1257,719,1069,1333,1138,1233,1236,1166,1527,1477,1364,1188,1679,704,930,665,457,329,287
"G1201030","2012","FL",,,"Florida","12","Pinellas County","103",,,,,,,,,,,,,,,,,,"05000US12103","Pinellas County, Florida",260451,5956,2743,3304,2782,3607,2689,3036,8104,9890,10118,12710,11762,11264,27569,21413,27834,16174,25143,13066,17459,9177,8449,3061,3141,"Pinellas County, Florida",5273,1052,847,991,729,968,615,866,1473,1338,1401,1509,1491,1490,2547,1843,2292,1764,2244,1650,1822,1504,1231,636,600
"G1201050","2012","FL",,,"Florida","12","Polk County","105",,,,,,,,,,,,,,,,,,"05000US12105","Polk County, Florida",151595,4978,2289,2536,3704,2028,3735,2331,7264,8555,8915,10295,13408,8395,17160,10289,14227,6886,8007,6268,6324,1716,1184,185,916,"Polk County, Florida",4694,992,665,803,1042,576,1103,703,1345,1303,1465,1593,1803,1264,2105,1571,2200,1164,1224,1091,1641,581,504,159,478
"G1201070","2012","FL",,,"Florida","12","Putnam County","107",,,,,,,,,,,,,,,,,,"05000US12107","Putnam County, Florida",20522,163,382,476,566,508,263,735,1134,1251,646,2036,1979,1327,2238,1505,1467,380,1123,926,800,0,48,189,380,"Putnam County, Florida",1361,147,262,328,281,332,190,350,425,613,448,686,746,623,710,573,536,239,622,436,419,211,86,181,259
"G1201090","2012","FL",,,"Florida","12","St. Johns County","109",,,,,,,,,,,,,,,,,,"05000US12109","St. Johns County, Florida",59274,158,32,221,558,24,156,186,934,805,1179,2422,1573,2365,3971,2641,4227,4419,7319,6990,7576,4453,3577,1562,1926,"St. Johns County, Florida",2597,154,54,300,347,40,165,168,346,449,509,855,651,855,1065,731,1184,1043,1486,1684,1442,936,939,469,588
"G1201110","2012","FL",,,"Florida","12","St. Lucie County","111",,,,,,,,,,,,,,,,,,"05000US12111","St. Lucie County, Florida",78897,1843,1402,717,839,683,782,532,2967,4095,5186,3888,6160,4751,8474,8358,8350,3249,6483,3158,3878,1215,1359,348,180,"St. Lucie County, Florida",3237,503,529,387,402,322,499,305,964,1236,1339,979,1164,1244,1906,2217,1642,1117,1424,1137,1412,546,553,451,190
"G1201130","2012","FL",,,"Florida","12","Santa Rosa County","113",,,,,,,,,,,,,,,,,,"05000US12113","Santa Rosa County, Florida",42802,0,385,99,437,248,298,589,514,921,1178,1653,2062,1978,4939,3289,5616,4458,5088,3373,2601,1394,919,599,164,"Santa Rosa County, Florida",2014,211,395,115,259,223,362,309,338,412,465,737,732,577,1286,897,1110,1369,1208,958,663,501,427,468,200
"G1201150","2012","FL",,,"Florida","12","Sarasota County","115",,,,,,,,,,,,,,,,,,"05000US12115","Sarasota County, Florida",127954,1531,1398,798,944,1138,672,759,2734,2465,4657,5070,5839,7163,11949,11135,11333,6956,12803,9025,11141,6485,5873,2428,3658,"Sarasota County, Florida",3840,461,483,502,404,480,343,527,830,795,1045,1110,1183,1960,2143,1527,1858,1524,1589,1365,1435,1142,1438,571,750
"G1201170","2012","FL",,,"Florida","12","Seminole County","117",,,,,,,,,,,,,,,,,,"05000US12117","Seminole County, Florida",100815,1032,370,631,409,696,642,709,1627,2018,2809,3549,6846,3477,10259,9349,10035,7067,12459,8910,11056,2222,2715,985,943,"Seminole County, Florida",3637,516,217,385,303,447,297,372,659,680,753,819,1698,791,1477,1448,1273,1261,1611,1351,1427,679,740,466,455
"G1201190","2012","FL",,,"Florida","12","Sumter County","119",,,,,,,,,,,,,,,,,,"05000US12119","Sumter County, Florida",40194,468,266,444,361,534,283,567,583,1289,620,715,818,546,1884,2672,5450,5098,5868,5847,2852,1077,596,1224,132,"Sumter County, Florida",2443,247,221,395,302,350,357,370,373,480,344,504,331,395,854,1096,1528,1607,1616,1629,1212,563,451,1109,133
"G1201270","2012","FL",,,"Florida","12","Volusia County","127",,,,,,,,,,,,,,,,,,"05000US12127","Volusia County, Florida",139167,2898,1605,1762,1836,1529,1646,1674,4426,5629,5267,8665,8315,6287,15340,13513,14579,7585,12434,8925,7378,2377,3214,1062,1221,"Volusia County, Florida",3689,653,484,712,674,639,612,661,977,1046,1026,1386,1155,1043,2011,1786,1880,1384,1677,1552,1069,689,804,441,531
"G1300130","2012","GA",,,"Georgia","13","Barrow County","013",,,,,,,,,,,,,,,,,,"05000US13013","Barrow County, Georgia",18443,70,193,85,297,19,447,0,801,965,890,881,1418,1031,3896,2646,1641,967,694,442,13,314,580,39,114,"Barrow County, Georgia",1112,88,147,91,263,36,335,208,483,511,450,352,472,446,734,681,506,443,328,274,23,237,377,72,110
"G1300150","2012","GA",,,"Georgia","13","Bartow County","015",,,,,,,,,,,,,,,,,,"05000US13015","Bartow County, Georgia",22681,692,617,350,433,182,365,349,683,671,1078,1455,1904,1458,3813,2307,1322,1360,1355,566,861,463,132,250,15,"Bartow County, Georgia",1675,571,376,327,310,201,385,367,468,413,436,557,745,524,1112,784,469,621,576,301,442,332,132,262,25
"G1300210","2012","GA",,,"Georgia","13","Bibb County","021",,,,,,,,,,,,,,,,,,"05000US13021","Bibb County, Georgia",29707,340,534,191,537,620,406,192,1250,1897,1299,1269,1502,2133,3923,3145,3272,1926,1437,1145,1483,513,442,185,66,"Bibb County, Georgia",1605,211,347,122,272,361,283,155,347,538,432,511,529,685,775,850,933,705,526,429,622,256,278,183,77
"G1300310","2012","GA",,,"Georgia","13","Bulloch County","031",,,,,,,,,,,,,,,,,,"05000US13031","Bulloch County, Georgia",12902,365,241,296,292,296,11,98,695,122,265,391,566,953,1261,2106,1096,442,1284,738,1116,98,146,24,0,"Bulloch County, Georgia",1151,383,185,262,262,371,18,128,437,114,169,264,326,611,574,616,407,255,635,481,372,132,187,43,208
"G1300450","2012","GA",,,"Georgia","13","Carroll County","045",,,,,,,,,,,,,,,,,,"05000US13045","Carroll County, Georgia",25932,1025,421,201,279,246,369,800,1140,1175,1088,1828,2549,2362,3120,1940,2334,1228,1118,1166,704,330,366,0,143,"Carroll County, Georgia",1994,818,346,217,262,280,288,561,556,598,537,940,868,1001,943,650,866,542,460,450,389,238,328,208,184
"G1300470","2012","GA",,,"Georgia","13","Catoosa County","047",,,,,,,,,,,,,,,,,,"05000US13047","Catoosa County, Georgia",17744,501,204,593,279,305,575,0,478,697,497,748,1160,1046,2313,2027,1946,1112,1764,516,983,0,0,0,0,"Catoosa County, Georgia",1483,409,189,463,237,227,457,208,411,506,376,394,498,494,736,744,824,522,672,304,587,208,208,208,208
"G1300510","2012","GA",,,"Georgia","13","Chatham County","051",,,,,,,,,,,,,,,,,,"05000US13051","Chatham County, Georgia",57852,1307,234,207,319,296,438,452,636,989,1652,2134,1608,3273,5306,3226,6563,4258,7527,4817,4751,1925,2915,1312,1707,"Chatham County, Georgia",2516,677,162,162,205,186,376,275,332,453,567,767,444,794,1026,822,1386,1027,1148,1141,895,525,732,578,756
"G1300570","2012","GA",,,"Georgia","13","Cherokee County","057",,,,,,,,,,,,,,,,,,"05000US13057","Cherokee County, Georgia",61817,216,267,0,115,52,146,54,146,229,703,1868,1499,2103,5526,6980,7377,4763,7766,9961,7809,2366,1584,270,17,"Cherokee County, Georgia",2414,211,203,208,136,89,171,91,157,235,414,797,643,842,1352,1622,1355,1469,1762,2039,1501,914,887,436,32
"G1300590","2012","GA",,,"Georgia","13","Clarke County","059",,,,,,,,,,,,,,,,,,"05000US13059","Clarke County, Georgia",18365,410,94,144,107,33,82,0,113,300,407,256,1017,833,3170,1846,2844,1275,1145,1397,1412,449,822,22,187,"Clarke County, Georgia",1380,380,131,147,135,58,106,208,111,242,256,160,448,421,789,586,710,452,511,583,480,245,468,35,199
"G1300630","2012","GA",,,"Georgia","13","Clayton County","063",,,,,,,,,,,,,,,,,,"05000US13063","Clayton County, Georgia",43923,903,715,722,492,662,1189,2497,3592,3032,3551,3010,4461,2460,7317,3331,3456,839,825,257,223,209,29,82,69,"Clayton County, Georgia",2840,518,460,580,372,343,442,1058,974,805,871,718,1032,733,1792,965,995,371,380,262,155,190,50,102,87
"G1300670","2012","GA",,,"Georgia","13","Cobb County","067",,,,,,,,,,,,,,,,,,"05000US13067","Cobb County, Georgia",171755,1405,596,602,237,989,654,512,1679,3787,4666,3278,5114,5766,15205,13059,21473,15976,21373,18131,18146,9176,7453,911,1567,"Cobb County, Georgia",3765,589,337,303,229,591,397,318,552,1093,1038,831,1269,1336,1743,1884,2633,2137,2316,2219,1810,1597,1106,393,509
"G1300730","2012","GA",,,"Georgia","13","Columbia County","073",,,,,,,,,,,,,,,,,,"05000US13073","Columbia County, Georgia",33223,39,147,323,224,359,163,0,569,231,423,1194,796,1132,3154,3866,5246,2572,5254,2686,2417,497,1500,351,80,"Columbia County, Georgia",2157,66,161,208,219,268,152,208,501,225,295,474,394,480,940,934,1051,918,1070,787,633,328,616,286,134
"G1300770","2012","GA",,,"Georgia","13","Coweta County","077",,,,,,,,,,,,,,,,,,"05000US13077","Coweta County, Georgia",34571,70,192,64,196,165,339,75,411,134,1050,308,776,1509,4255,4059,4093,3991,4817,2820,2771,904,1405,0,167,"Coweta County, Georgia",2037,118,197,111,245,156,231,95,338,155,652,291,382,542,848,1124,1028,1158,1205,717,887,466,563,208,170
"G1300890","2012","GA",,,"Georgia","13","DeKalb County","089",,,,,,,,,,,,,,,,,,"05000US13089","DeKalb County, Georgia",148183,835,498,419,1250,1413,2159,2057,3786,5274,6128,6798,6585,7207,14591,11156,11675,9243,13724,11913,14619,7616,6268,1558,1411,"DeKalb County, Georgia",4064,419,274,214,582,530,775,812,860,1148,1373,1338,1398,1433,2111,1754,1938,1800,1728,1504,1556,1029,1097,468,500
"G1300950","2012","GA",,,"Georgia","13","Dougherty County","095",,,,,,,,,,,,,,,,,,"05000US13095","Dougherty County, Georgia",16553,239,364,114,160,378,614,215,637,1029,767,1257,1238,871,2709,1422,1470,758,428,634,907,191,57,24,70,"Dougherty County, Georgia",1190,215,223,141,127,257,317,151,396,372,308,453,421,352,808,445,452,312,228,308,377,133,94,41,89
"G1300970","2012","GA",,,"Georgia","13","Douglas County","097",,,,,,,,,,,,,,,,,,"05000US13097","Douglas County, Georgia",31210,71,140,0,95,248,414,487,437,602,1734,2001,4015,2449,4039,3462,3467,1761,2219,1199,1490,193,536,0,151,"Douglas County, Georgia",1951,121,142,208,105,214,340,387,380,433,596,740,1159,977,1005,1039,1089,636,754,499,595,168,426,208,195
"G1301130","2012","GA",,,"Georgia","13","Fayette County","113",,,,,,,,,,,,,,,,,,"05000US13113","Fayette County, Georgia",29474,472,35,290,82,129,73,0,120,0,37,274,424,280,2557,2274,4205,1670,5113,4532,3668,2022,812,248,157,"Fayette County, Georgia",1758,376,60,226,133,161,127,208,147,208,61,215,272,218,695,715,928,610,972,1020,864,612,322,186,130
"G1301150","2012","GA",,,"Georgia","13","Floyd County","115",,,,,,,,,,,,,,,,,,"05000US13115","Floyd County, Georgia",22636,321,182,439,719,429,326,331,922,834,1028,1780,1691,1122,2719,2294,2248,686,1773,1112,862,598,163,57,0,"Floyd County, Georgia",1629,279,181,408,416,383,207,305,531,558,499,705,551,420,668,666,730,322,436,417,333,307,142,95,208
"G1301170","2012","GA",,,"Georgia","13","Forsyth County","117",,,,,,,,,,,,,,,,,,"05000US13117","Forsyth County, Georgia",50029,152,417,71,0,43,76,27,179,260,356,398,292,756,3344,2520,4205,3241,8775,6183,9679,3975,3172,1458,450,"Forsyth County, Georgia",1961,150,297,92,208,74,90,47,159,169,170,208,182,351,665,598,771,789,1290,819,1431,818,708,482,254
"G1301210","2012","GA",,,"Georgia","13","Fulton County","121",,,,,,,,,,,,,,,,,,"05000US13121","Fulton County, Georgia",196358,462,738,745,1420,731,2183,1441,3579,4489,5120,7499,5817,6607,13538,9079,14842,9234,17822,13854,26596,19317,18002,5861,7382,"Fulton County, Georgia",4605,241,303,376,485,321,799,730,735,993,993,1388,1218,1411,1841,1772,2454,1832,2086,1997,2650,2128,1859,1252,1119
"G1301270","2012","GA",,,"Georgia","13","Glynn County","127",,,,,,,,,,,,,,,,,,"05000US13127","Glynn County, Georgia",19950,578,319,96,243,35,980,0,709,636,477,555,848,627,2032,1370,1755,953,2279,1115,1540,983,1075,325,420,"Glynn County, Georgia",1735,467,277,123,225,58,580,208,495,385,362,397,488,350,621,545,612,453,783,470,482,374,405,242,281
"G1301350","2012","GA",,,"Georgia","13","Gwinnett County","135",,,,,,,,,,,,,,,,,,"05000US13135","Gwinnett County, Georgia",177464,663,935,615,724,663,636,159,1276,2803,4543,5938,6844,9288,18104,25345,26532,17536,21457,10940,13502,4211,3458,612,680,"Gwinnett County, Georgia",5249,371,545,321,506,450,382,165,564,980,1194,1310,1330,1545,2471,2591,2944,2139,2262,2107,1862,1254,1129,344,365
"G1301390","2012","GA",,,"Georgia","13","Hall County","139",,,,,,,,,,,,,,,,,,"05000US13139","Hall County, Georgia",39933,317,636,454,112,362,614,93,374,1096,1370,1589,2308,2223,3613,4248,5802,1920,3369,3496,2130,1114,1610,391,692,"Hall County, Georgia",1830,226,388,294,183,356,312,111,209,509,503,659,791,746,964,874,1056,597,788,821,509,505,523,240,319
"G1301510","2012","GA",,,"Georgia","13","Henry County","151",,,,,,,,,,,,,,,,,,"05000US13151","Henry County, Georgia",49629,36,237,67,185,586,513,630,1674,1233,1493,2414,3262,2085,8287,7483,4834,3289,4952,3037,1906,1022,110,0,294,"Henry County, Georgia",2684,60,328,113,169,488,298,566,752,630,661,786,1193,719,1668,1576,1174,928,1181,877,690,700,137,208,254
"G1301530","2012","GA",,,"Georgia","13","Houston County","153",,,,,,,,,,,,,,,,,,"05000US13153","Houston County, Georgia",36058,1103,197,61,538,259,254,66,749,1051,1848,820,1879,1680,4877,5365,5443,2189,3661,2371,974,549,80,0,44,"Houston County, Georgia",1777,588,242,103,407,284,217,113,442,457,657,410,659,691,1118,1453,1523,836,904,981,554,333,132,208,80
"G1301790","2012","GA",,,"Georgia","13","Liberty County","179",,,,,,,,,,,,,,,,,,"05000US13179","Liberty County, Georgia",11503,137,69,494,82,229,295,10,639,529,179,707,710,863,1440,1126,1331,885,855,499,202,48,130,0,44,"Liberty County, Georgia",992,128,118,394,124,227,224,18,488,370,127,345,388,370,510,425,425,427,385,238,191,82,207,208,77
"G1301850","2012","GA",,,"Georgia","13","Lowndes County","185",,,,,,,,,,,,,,,,,,"05000US13185","Lowndes County, Georgia",19551,537,131,228,272,78,161,500,611,364,790,632,850,564,2506,2116,2707,1687,1767,1230,604,588,377,228,23,"Lowndes County, Georgia",1307,262,124,183,214,78,175,346,348,217,414,512,436,343,655,547,803,540,523,511,408,280,282,247,40
"G1302150","2012","GA",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,,"05000US13215","Muscogee County, Georgia",37373,432,36,261,248,65,292,462,821,1322,1504,1740,2397,1970,6564,4765,3623,2242,2988,1675,1813,845,678,243,387,"Muscogee County, Georgia",2063,290,60,221,197,77,181,301,472,450,419,563,581,557,1458,1162,885,580,748,549,571,433,370,192,270
"G1302170","2012","GA",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,,"05000US13217","Newton County, Georgia",24014,118,225,0,350,628,431,0,705,1696,1642,1796,1354,1775,2778,2740,2256,1294,1882,1163,536,429,174,0,42,"Newton County, Georgia",2053,134,271,208,362,548,345,208,428,752,742,755,596,813,918,801,765,626,758,543,344,330,210,208,72
"G1302230","2012","GA",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,,"05000US13223","Paulding County, Georgia",37299,71,0,209,128,186,140,197,787,1844,2334,2053,2640,2745,5708,4106,3686,3463,2660,2408,1315,321,23,56,219,"Paulding County, Georgia",2544,120,208,256,177,220,172,259,430,618,961,647,981,948,1589,1080,1178,941,986,973,587,309,41,91,304
"G1302450","2012","GA",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,,"05000US13245","Richmond County, Georgia",38180,680,304,493,348,100,349,520,2113,1800,2942,3209,2847,2025,5790,3882,4655,1242,2015,935,837,315,257,94,428,"Richmond County, Georgia",1887,319,204,341,257,83,276,250,801,516,684,815,680,672,1231,903,929,518,760,582,405,208,172,121,377
"G1302470","2012","GA",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,,"05000US13247","Rockdale County, Georgia",20455,117,225,144,174,85,88,408,760,586,1116,929,921,1019,3470,2117,2440,1642,2019,1487,340,327,41,0,0,"Rockdale County, Georgia",1309,85,207,162,217,99,98,246,490,352,445,463,405,363,742,696,777,672,715,542,246,252,73,208,208
"G1302850","2012","GA",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,,"05000US13285","Troup County, Georgia",15282,164,125,131,165,434,443,257,797,307,877,1130,689,1122,1779,1982,1006,482,1404,328,780,571,205,104,0,"Troup County, Georgia",1314,198,122,163,195,236,273,272,410,249,360,534,344,593,699,647,374,267,498,182,338,386,211,134,208
"G1302950","2012","GA",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,,"05000US13295","Walker County, Georgia",17813,242,502,185,43,87,372,383,779,1673,828,631,1702,1684,1796,872,1237,937,1245,555,992,97,583,281,107,"Walker County, Georgia",1535,262,440,167,93,108,246,294,472,746,350,346,605,661,644,477,501,408,503,315,421,101,434,257,127
"G1302970","2012","GA",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,,"05000US13297","Walton County, Georgia",21263,136,0,0,49,146,102,218,433,421,477,825,1077,1076,3749,1688,4270,937,1640,1841,1373,322,167,316,0,"Walton County, Georgia",1544,141,208,208,103,186,155,220,350,280,371,456,489,523,1083,541,1058,354,517,711,486,250,155,327,208
"G1303130","2012","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,"05000US13313","Whitfield County, Georgia",21834,311,200,439,273,0,357,206,773,643,791,2650,1724,1323,3194,2556,1981,1261,1039,783,867,238,181,44,0,"Whitfield County, Georgia",1518,318,205,366,257,208,209,195,407,399,440,926,687,648,864,687,692,499,440,378,486,228,198,74,208
"G1500010","2012","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,"05000US15001","Hawaii County, Hawaii",42939,181,0,334,250,20,268,448,138,188,107,556,129,159,1933,1533,3476,2140,4581,5249,8960,4112,4947,1570,1660,"Hawaii County, Hawaii",2066,176,177,224,242,36,278,379,151,225,105,322,122,136,611,878,927,702,1007,1097,1314,1071,1049,574,548
"G1500030","2012","HI",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,,"05000US15003","Honolulu County, Hawaii",167503,136,458,10,79,44,258,164,590,989,266,462,179,250,1663,788,1924,1415,7859,8382,21374,21465,58990,25611,14147,"Honolulu County, Hawaii",3078,101,381,17,92,64,233,162,262,503,153,260,166,152,463,397,551,488,1031,972,1972,1802,2420,1716,1328
"G1500070","2012","HI",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,,"05000US15007","Kauai County, Hawaii",,,,,,,,,,,,,,,,,,,,,,,,,,"Kauai County, Hawaii",,,,,,,,,,,,,,,,,,,,,,,,,
"G1500090","2012","HI",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,,"05000US15009","Maui County, Hawaii",29748,124,90,0,16,13,134,0,68,299,87,156,59,63,738,423,975,365,719,1540,4107,6209,7500,3839,2224,"Maui County, Hawaii",2087,151,107,177,27,24,170,177,109,231,122,201,87,87,430,308,453,269,415,619,856,1038,1142,949,571
"G1600010","2012","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",100530,1137,644,406,366,262,363,0,579,200,705,1420,4419,3571,14083,11462,14387,8562,14299,7669,7615,4754,2747,510,370,"Ada County, Idaho",3971,425,365,280,220,193,262,187,337,182,448,677,1541,827,2355,1638,2222,1776,2105,1471,1302,1535,795,295,268
"G1600050","2012","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",20566,704,304,177,44,58,0,0,268,315,449,666,447,1056,2916,3131,3551,1350,2209,1291,758,234,426,115,97,"Bannock County, Idaho",1204,305,270,166,74,95,187,187,170,205,277,376,242,453,573,745,799,560,628,553,326,147,250,186,136
"G1600190","2012","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",26980,493,116,418,243,0,51,347,74,271,274,722,938,1201,3759,4256,4329,2245,2772,1751,1597,486,392,196,49,"Bonneville County, Idaho",1216,463,133,354,268,187,80,426,87,187,193,311,426,480,712,870,838,663,840,535,499,260,282,239,61
"G1600270","2012","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",43487,964,199,197,461,207,497,238,718,1935,2939,2490,3909,3378,6888,4716,3207,1671,2995,1728,2337,645,738,189,241,"Canyon County, Idaho",2242,602,171,174,352,160,255,215,420,623,967,787,1027,809,1223,1390,874,646,957,645,881,375,568,153,225
"G1600550","2012","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",38505,514,482,1080,235,129,168,194,465,109,649,1021,609,611,2742,4421,5509,3148,4705,3737,4284,1466,1153,744,330,"Kootenai County, Idaho",2284,360,428,481,244,143,177,158,401,112,421,485,313,318,836,1146,1334,1270,1098,943,910,661,486,387,153
"G1600830","2012","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",19063,230,174,148,19,53,99,0,107,593,632,699,940,646,3302,3255,2422,1890,1254,677,1240,326,280,0,77,"Twin Falls County, Idaho",1337,192,171,170,34,58,71,187,134,355,370,364,369,409,850,711,825,625,610,362,513,325,224,187,123
"G1700010","2012","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",19152,142,165,97,381,167,223,151,424,685,729,1389,2247,1470,2610,1723,2232,924,1620,662,449,368,151,0,143,"Adams County, Illinois",1134,121,174,67,257,148,179,123,249,263,358,403,604,468,715,502,511,388,566,319,273,279,137,179,146
"G1700190","2012","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",44020,334,624,431,275,213,202,51,483,1142,986,1847,1805,1929,7131,5588,6048,3087,5258,2822,2639,668,326,84,47,"Champaign County, Illinois",1742,230,397,267,209,165,193,63,269,573,339,659,639,633,1248,1094,998,711,955,809,575,291,211,82,69
"G1700310","2012","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",1105106,4568,5679,6070,5630,3247,5902,3074,10512,15626,17039,24701,30141,28652,92846,78272,112809,81243,142276,115290,141796,65169,69238,21979,23347,"Cook County, Illinois",9721,929,1080,1132,949,729,1045,653,1335,1725,1790,2503,2662,2286,4579,4031,5205,4164,5417,4436,5156,3124,3832,1782,2376
"G1700370","2012","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",21854,148,229,300,116,147,0,84,34,316,347,678,898,381,2667,2964,3398,1986,4245,1356,870,464,226,0,0,"DeKalb County, Illinois",1208,216,152,207,109,219,179,124,45,270,246,354,485,224,700,713,702,619,783,500,357,371,171,179,179
"G1700430","2012","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",245938,204,390,655,666,649,210,528,1004,1193,2395,1805,3646,2785,9511,11497,17910,16287,34773,34873,47463,21866,22944,5755,6929,"DuPage County, Illinois",3718,146,225,315,268,301,159,410,495,415,615,601,1118,694,1340,1494,1645,1548,2163,2462,2191,1951,1841,752,1060
"G1700890","2012","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",128979,577,478,480,448,294,451,194,908,918,1765,3628,3455,2797,9752,9158,13831,13472,20132,15952,17142,6556,4780,1430,381,"Kane County, Illinois",2692,394,338,375,327,252,391,181,427,470,539,1374,879,758,1427,1570,1801,2032,2151,2188,1846,1059,1120,565,245
"G1700910","2012","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",28587,351,340,267,584,198,201,211,288,429,826,1276,1319,1922,2944,3291,4479,2112,2784,2060,1999,268,169,251,18,"Kankakee County, Illinois",1395,255,203,195,464,225,153,171,265,299,353,427,502,572,543,738,901,598,721,634,535,179,111,205,31
"G1700930","2012","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,"Kendall County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,
"G1700970","2012","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",180455,966,800,743,674,697,688,389,1012,2053,2407,2684,3706,3309,14599,11976,16499,12569,19340,15617,22578,15864,18278,6125,6882,"Lake County, Illinois",3150,631,440,323,383,521,409,209,381,703,730,769,788,900,1767,1693,1644,1642,1772,1416,1467,1447,1528,868,1291
