GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AA3VE001,AA3VE002,AA3VE003,AA3VE004,AA3VE005,AA3VE006,AA3VE007,AA3VE008,AA3VE009,AA3VE010,AA3VE011,AA3VE012,AA3VE013,AA3VE014,AA3VE015,AA3VE016,AA3VE017,AA3VE018,AA3VE019,AA3VE020,AA3VE021,AA3VE022,AA3VE023,AA3VE024,AA3VE025,NAME_M,AA3VM001,AA3VM002,AA3VM003,AA3VM004,AA3VM005,AA3VM006,AA3VM007,AA3VM008,AA3VM009,AA3VM010,AA3VM011,AA3VM012,AA3VM013,AA3VM014,AA3VM015,AA3VM016,AA3VM017,AA3VM018,AA3VM019,AA3VM020,AA3VM021,AA3VM022,AA3VM023,AA3VM024,AA3VM025
"G1200990","2014","FL",,,"Florida","12","Palm Beach County","099",,,,,,,,,,,,,,,,,,"05000US12099","Palm Beach County, Florida",363466,12319,2341,2251,2610,2840,3445,2325,7561,8626,8729,10839,10313,9927,21395,21898,27523,18310,37982,32265,50883,22648,24943,7941,13552,"Palm Beach County, Florida",6139,1238,699,624,707,722,781,595,1328,1262,1342,1661,1537,1448,2030,2040,2203,2015,2981,2516,2811,1863,1847,1198,1369
"G1201010","2014","FL",,,"Florida","12","Pasco County","101",,,,,,,,,,,,,,,,,,"05000US12101","Pasco County, Florida",134867,5628,2505,1612,2132,1926,4344,2070,5784,7446,6700,7249,5234,4450,10821,10089,15264,8897,12586,7416,6882,2610,1883,668,671,"Pasco County, Florida",3124,914,655,396,663,527,1052,519,1048,1104,951,1052,964,748,1396,1403,1702,1280,1639,1128,1031,556,568,317,339
"G1201030","2014","FL",,,"Florida","12","Pinellas County","103",,,,,,,,,,,,,,,,,,"05000US12103","Pinellas County, Florida",252448,10332,2768,3521,2560,2383,2696,1734,6135,9701,10497,9902,10224,8990,21636,22302,24170,14867,24113,17076,19295,9659,10369,3964,3554,"Pinellas County, Florida",5568,1273,704,1127,735,666,669,629,1167,1271,1520,1163,1341,1426,2290,1999,2562,1590,1927,1837,1949,1370,1197,784,719
"G1201050","2014","FL",,,"Florida","12","Polk County","105",,,,,,,,,,,,,,,,,,"05000US12105","Polk County, Florida",149614,4908,2903,1795,2994,2540,4099,2800,7227,8244,8000,8516,9418,8227,14622,12659,14805,8165,10328,6614,6055,2333,1271,307,784,"Polk County, Florida",4371,720,796,517,736,733,1018,721,1390,1594,1277,1682,1184,1610,1480,1974,1940,1340,1336,1261,1073,757,468,213,379
"G1201070","2014","FL",,,"Florida","12","Putnam County","107",,,,,,,,,,,,,,,,,,"05000US12107","Putnam County, Florida",19535,225,46,489,316,1588,660,687,882,1534,1252,1210,2434,1452,1052,880,816,489,1408,564,533,368,263,83,304,"Putnam County, Florida",1436,166,80,453,241,654,301,458,361,645,595,519,719,604,419,515,450,240,614,386,382,323,215,97,262
"G1201090","2014","FL",,,"Florida","12","St. Johns County","109",,,,,,,,,,,,,,,,,,"05000US12109","St. Johns County, Florida",59436,1199,44,473,99,69,359,67,567,863,982,1215,1115,1021,2827,3525,4132,2455,8929,10088,7057,4945,4460,1487,1458,"St. Johns County, Florida",2904,621,77,369,126,119,260,59,394,512,494,713,666,473,1220,1224,1014,887,1475,2246,1275,1120,1155,436,444
"G1201110","2014","FL",,,"Florida","12","St. Lucie County","111",,,,,,,,,,,,,,,,,,"05000US12111","St. Lucie County, Florida",80545,2750,910,1527,779,505,569,1231,1798,3214,3205,3881,4381,4115,9396,7251,11649,6181,6991,3843,3055,1478,647,727,462,"St. Lucie County, Florida",3827,848,596,679,495,326,356,584,873,1022,1015,1333,1130,1261,1903,1726,2162,1959,1858,1211,811,628,365,414,423
"G1201130","2014","FL",,,"Florida","12","Santa Rosa County","113",,,,,,,,,,,,,,,,,,"05000US12113","Santa Rosa County, Florida",41971,714,415,157,266,366,875,281,160,825,1461,1347,1763,1562,3902,3927,5311,3174,5131,3581,3638,994,1395,517,209,"Santa Rosa County, Florida",2230,375,352,163,173,284,516,222,124,492,771,559,706,690,1023,991,1042,741,1165,1009,1013,433,575,328,191
"G1201150","2014","FL",,,"Florida","12","Sarasota County","115",,,,,,,,,,,,,,,,,,"05000US12115","Sarasota County, Florida",124112,3646,1195,797,839,1057,1218,369,1245,2250,2152,4556,5175,3541,9505,9508,11480,7563,12196,11228,13033,7413,6284,3428,4434,"Sarasota County, Florida",3993,850,534,400,383,616,575,256,519,783,592,830,1181,1227,1691,1758,1736,1210,1795,1642,1560,1220,763,735,963
"G1201170","2014","FL",,,"Florida","12","Seminole County","117",,,,,,,,,,,,,,,,,,"05000US12117","Seminole County, Florida",101006,2193,235,555,659,587,955,890,2439,1922,2698,2608,2925,3672,8806,8098,9240,5845,14724,10355,11409,4843,3417,724,1207,"Seminole County, Florida",3573,800,196,324,484,467,583,412,930,621,810,895,829,1252,1581,1317,1399,834,1892,1689,1453,1068,718,356,519
"G1201190","2014","FL",,,"Florida","12","Sumter County","119",,,,,,,,,,,,,,,,,,"05000US12119","Sumter County, Florida",44764,1119,902,411,383,463,496,417,675,1283,774,331,820,473,1101,1369,3400,3996,8204,6830,6949,2648,1402,117,201,"Sumter County, Florida",1995,660,528,388,319,271,300,276,325,557,466,214,453,292,575,611,859,1287,1909,1553,1682,1076,698,203,320
"G1201270","2014","FL",,,"Florida","12","Volusia County","127",,,,,,,,,,,,,,,,,,"05000US12127","Volusia County, Florida",140740,5034,2240,1718,1912,1277,1298,965,2727,4368,8055,7417,7776,5465,16287,11062,13047,8014,12589,11328,9427,4239,1912,858,1725,"Volusia County, Florida",4407,960,683,492,620,472,498,350,714,1030,1341,1250,1284,1075,1859,1600,1493,1341,1671,1463,1418,1020,537,437,649
"G1300130","2014","GA",,,"Georgia","13","Barrow County","013",,,,,,,,,,,,,,,,,,"05000US13013","Barrow County, Georgia",15494,200,328,39,74,84,45,0,120,494,233,672,1426,1448,3727,2462,1175,685,603,523,523,167,338,50,78,"Barrow County, Georgia",1198,181,194,66,93,106,75,211,105,376,172,381,537,550,698,591,417,289,281,243,309,151,347,76,109
"G1300150","2014","GA",,,"Georgia","13","Bartow County","015",,,,,,,,,,,,,,,,,,"05000US13015","Bartow County, Georgia",25267,717,444,171,186,139,266,400,714,789,837,1493,1512,1534,5029,2506,1484,1831,1698,858,969,676,674,262,78,"Bartow County, Georgia",1794,412,374,182,178,138,270,341,464,462,605,679,662,746,1299,850,603,735,759,513,467,326,448,214,134
"G1300210","2014","GA",,,"Georgia","13","Bibb County","021",,,,,,,,,,,,,,,,,,"05000US13021","Bibb County, Georgia",28881,583,429,412,358,267,586,524,722,1618,1096,2207,1773,2569,3060,2662,2713,1842,1699,969,1312,673,282,324,201,"Bibb County, Georgia",1747,318,232,302,287,160,389,256,293,545,372,654,605,712,685,739,726,640,510,439,445,399,218,386,143
"G1300310","2014","GA",,,"Georgia","13","Bulloch County","031",,,,,,,,,,,,,,,,,,"05000US13031","Bulloch County, Georgia",13130,889,256,178,0,56,105,0,437,778,621,819,818,703,1613,1768,954,436,714,660,850,0,221,183,71,"Bulloch County, Georgia",1099,453,300,212,211,65,170,211,297,467,396,512,487,520,544,692,417,275,354,373,454,211,200,273,122
"G1300450","2014","GA",,,"Georgia","13","Carroll County","045",,,,,,,,,,,,,,,,,,"05000US13045","Carroll County, Georgia",23625,588,90,387,150,156,0,270,1213,537,1115,1496,2097,924,3220,2899,2646,940,1324,1131,1295,357,565,0,225,"Carroll County, Georgia",1708,407,113,497,153,182,211,245,896,418,545,540,765,438,994,987,780,564,500,551,629,268,361,211,187
"G1300470","2014","GA",,,"Georgia","13","Catoosa County","047",,,,,,,,,,,,,,,,,,"05000US13047","Catoosa County, Georgia",18033,303,0,180,250,302,83,131,239,828,99,689,1140,1586,2734,2788,1008,2016,1477,882,908,220,59,111,0,"Catoosa County, Georgia",1491,326,211,221,264,296,149,163,232,535,187,409,625,712,885,800,475,741,597,428,497,259,96,143,211
"G1300510","2014","GA",,,"Georgia","13","Chatham County","051",,,,,,,,,,,,,,,,,,"05000US13051","Chatham County, Georgia",57602,1266,583,478,335,359,424,180,410,1289,2127,1451,2470,2587,5462,4311,7969,3328,6017,5165,4069,2508,2805,1242,767,"Chatham County, Georgia",2771,412,580,315,205,259,474,181,263,481,979,594,776,790,1266,987,1767,910,1380,1185,939,671,918,567,360
"G1300570","2014","GA",,,"Georgia","13","Cherokee County","057",,,,,,,,,,,,,,,,,,"05000US13057","Cherokee County, Georgia",59733,1631,348,921,0,226,222,0,467,84,52,628,2042,1380,4292,7971,7493,6464,7537,6489,4632,2490,2654,1467,243,"Cherokee County, Georgia",2425,768,262,698,211,373,303,211,455,141,86,402,844,687,1225,1755,1668,1446,1552,1581,944,832,930,857,373
"G1300590","2014","GA",,,"Georgia","13","Clarke County","059",,,,,,,,,,,,,,,,,,"05000US13059","Clarke County, Georgia",14478,524,232,138,50,0,151,0,403,331,691,410,686,497,1354,1773,1527,1374,1537,866,825,643,317,125,24,"Clarke County, Georgia",1270,367,214,168,83,211,165,211,319,231,470,299,396,266,459,613,536,456,510,349,302,255,190,119,43
"G1300630","2014","GA",,,"Georgia","13","Clayton County","063",,,,,,,,,,,,,,,,,,"05000US13063","Clayton County, Georgia",47277,1583,666,637,520,426,957,1428,2551,3550,4173,4063,5450,3539,7248,3935,2264,1155,1930,407,143,171,365,116,0,"Clayton County, Georgia",2723,635,435,311,296,235,359,545,757,847,954,988,1084,1245,1485,1268,668,690,739,277,127,219,270,142,211
"G1300670","2014","GA",,,"Georgia","13","Cobb County","067",,,,,,,,,,,,,,,,,,"05000US13067","Cobb County, Georgia",170088,5055,1016,1218,439,244,234,276,1804,1868,2740,3791,3310,2670,13416,13341,17392,14667,21626,18113,22440,11509,8800,2296,1823,"Cobb County, Georgia",4441,880,494,607,312,319,210,247,739,712,864,954,995,928,1843,1893,2171,1934,2419,1911,2284,1522,1274,732,775
"G1300730","2014","GA",,,"Georgia","13","Columbia County","073",,,,,,,,,,,,,,,,,,"05000US13073","Columbia County, Georgia",36178,935,216,173,42,76,25,0,138,577,397,348,1146,1894,3557,4871,4234,2761,5194,3128,3459,1771,965,223,48,"Columbia County, Georgia",2151,498,235,147,69,123,41,211,141,369,326,265,610,747,969,1536,1298,873,1266,836,818,613,493,197,85
"G1300770","2014","GA",,,"Georgia","13","Coweta County","077",,,,,,,,,,,,,,,,,,"05000US13077","Coweta County, Georgia",35908,677,360,65,303,117,68,100,193,425,583,981,344,361,2844,3673,4474,4132,5692,4663,3207,976,1383,95,192,"Coweta County, Georgia",1710,400,326,109,275,148,81,136,193,297,497,410,263,324,735,949,1031,1007,1026,1091,931,406,560,158,190
"G1300890","2014","GA",,,"Georgia","13","DeKalb County","089",,,,,,,,,,,,,,,,,,"05000US13089","DeKalb County, Georgia",146545,3399,445,331,1331,326,950,2062,3623,6957,5888,5751,6618,7065,14808,9915,10753,6160,12535,9448,16704,8862,8081,2854,1679,"DeKalb County, Georgia",4558,660,261,249,612,221,348,691,897,1330,1190,1110,1352,1217,2081,1953,1611,1162,1748,1244,1753,1220,1049,873,623
"G1300950","2014","GA",,,"Georgia","13","Dougherty County","095",,,,,,,,,,,,,,,,,,"05000US13095","Dougherty County, Georgia",16051,616,108,291,326,98,383,56,258,1077,1339,1288,744,1256,1663,1220,1571,1109,722,633,788,280,55,52,118,"Dougherty County, Georgia",1183,346,115,303,253,155,266,99,174,420,510,509,319,627,630,477,524,568,357,345,516,311,91,63,129
"G1300970","2014","GA",,,"Georgia","13","Douglas County","097",,,,,,,,,,,,,,,,,,"05000US13097","Douglas County, Georgia",31346,1121,211,120,295,290,239,26,296,717,2015,1457,3175,1886,4108,3242,3119,1611,2012,2836,1544,754,110,0,162,"Douglas County, Georgia",2206,590,341,150,243,254,290,45,290,402,710,559,1154,793,1011,1012,885,553,682,922,556,461,134,211,235
"G1301130","2014","GA",,,"Georgia","13","Fayette County","113",,,,,,,,,,,,,,,,,,"05000US13113","Fayette County, Georgia",29907,651,377,426,6,0,98,0,0,116,51,0,438,878,781,2185,3145,1954,5016,4314,5000,1584,2167,386,334,"Fayette County, Georgia",1567,363,400,347,11,211,120,211,211,142,87,211,308,512,417,776,794,644,1133,875,907,604,645,311,254
"G1301150","2014","GA",,,"Georgia","13","Floyd County","115",,,,,,,,,,,,,,,,,,"05000US13115","Floyd County, Georgia",20432,304,179,470,366,259,310,38,376,434,417,1320,1303,1019,2832,2044,1939,1078,2018,1145,1485,399,587,110,0,"Floyd County, Georgia",1637,257,212,356,285,218,284,58,272,282,230,621,665,474,847,619,604,487,619,398,675,321,247,130,211
"G1301170","2014","GA",,,"Georgia","13","Forsyth County","117",,,,,,,,,,,,,,,,,,"05000US13117","Forsyth County, Georgia",54708,1179,83,92,25,47,139,24,79,279,408,295,677,545,2174,1751,3445,4225,7661,7877,12055,5617,4888,839,304,"Forsyth County, Georgia",1549,436,96,115,41,85,135,42,96,321,376,192,423,239,684,604,792,897,1080,1119,1217,1065,740,301,203
"G1301210","2014","GA",,,"Georgia","13","Fulton County","121",,,,,,,,,,,,,,,,,,"05000US13121","Fulton County, Georgia",195141,3275,1056,951,650,490,1031,1886,2853,4843,5267,5037,5686,4500,12440,9130,11128,10320,17429,15719,26685,16490,21721,7222,9332,"Fulton County, Georgia",4840,769,618,487,450,297,498,765,838,1025,1168,1547,1258,1269,1917,1809,1658,1719,2131,1764,2642,2162,1898,1025,1344
"G1301270","2014","GA",,,"Georgia","13","Glynn County","127",,,,,,,,,,,,,,,,,,"05000US13127","Glynn County, Georgia",20137,468,511,163,365,51,229,0,119,1032,748,460,428,1057,2817,1522,1495,823,1278,1930,1745,1222,849,466,359,"Glynn County, Georgia",1516,238,438,194,237,98,239,211,171,429,452,311,290,688,959,630,677,364,579,718,717,530,399,276,246
"G1301350","2014","GA",,,"Georgia","13","Gwinnett County","135",,,,,,,,,,,,,,,,,,"05000US13135","Gwinnett County, Georgia",181414,5275,557,697,728,401,201,155,651,1269,2025,3709,5660,6594,21704,18064,25084,16191,25313,16048,16456,7858,4862,1209,703,"Gwinnett County, Georgia",5562,1203,485,328,749,315,207,189,379,587,792,1054,1289,1359,2581,2603,2707,2487,2784,1837,2427,1474,1406,709,351
"G1301390","2014","GA",,,"Georgia","13","Hall County","139",,,,,,,,,,,,,,,,,,"05000US13139","Hall County, Georgia",43072,1007,384,159,308,114,468,12,361,1187,1232,1787,2223,1533,4163,5440,4530,2734,3205,3136,4071,1594,1957,1003,464,"Hall County, Georgia",2069,455,262,156,190,112,511,20,306,554,457,580,708,494,926,1091,1062,712,744,659,759,559,584,458,276
"G1301510","2014","GA",,,"Georgia","13","Henry County","151",,,,,,,,,,,,,,,,,,"05000US13151","Henry County, Georgia",49047,1582,203,0,155,326,258,54,1071,972,2018,1820,1492,3669,7595,5627,6425,3888,4108,3055,2866,986,665,0,212,"Henry County, Georgia",2667,695,178,211,184,532,224,67,676,570,718,787,498,1233,1597,1369,1565,1220,1283,881,949,454,547,211,245
"G1301530","2014","GA",,,"Georgia","13","Houston County","153",,,,,,,,,,,,,,,,,,"05000US13153","Houston County, Georgia",33878,725,211,276,867,297,421,370,1007,955,1807,1377,1216,1922,3888,4322,4730,2807,2646,1935,1168,582,162,0,187,"Houston County, Georgia",1827,517,208,235,567,331,291,292,542,361,793,563,452,686,1175,1174,1367,912,947,741,400,525,170,211,185
"G1301790","2014","GA",,,"Georgia","13","Liberty County","179",,,,,,,,,,,,,,,,,,"05000US13179","Liberty County, Georgia",9611,98,118,110,170,150,188,41,203,126,434,426,527,795,1913,1235,706,834,899,237,372,0,0,0,29,"Liberty County, Georgia",1031,123,104,97,157,121,212,57,167,102,279,251,300,480,615,510,285,360,342,234,281,211,211,211,52
"G1301850","2014","GA",,,"Georgia","13","Lowndes County","185",,,,,,,,,,,,,,,,,,"05000US13185","Lowndes County, Georgia",20945,966,214,304,395,170,313,296,888,863,647,1278,1508,331,2672,2579,2058,1012,1671,986,1089,317,117,129,142,"Lowndes County, Georgia",1708,428,207,229,336,146,193,206,308,379,354,586,795,175,865,734,588,354,653,479,361,200,85,191,160
"G1302150","2014","GA",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,,"05000US13215","Muscogee County, Georgia",35771,920,394,58,76,84,236,357,616,1506,1627,1335,2440,1732,4304,4007,3898,2602,3385,2305,2564,332,629,91,273,"Muscogee County, Georgia",1845,413,306,94,89,89,183,265,255,480,532,398,682,484,923,1110,911,871,736,586,699,217,380,109,186
"G1302170","2014","GA",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,,"05000US13217","Newton County, Georgia",23862,803,488,256,155,321,163,341,492,1059,1599,1677,1475,947,4474,1686,1655,1932,1969,1054,635,532,0,0,149,"Newton County, Georgia",1644,457,490,252,171,319,162,306,391,636,730,797,712,449,1161,778,697,688,745,450,335,422,211,211,186
"G1302230","2014","GA",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,,"05000US13223","Paulding County, Georgia",38465,1153,148,73,67,57,495,0,384,1194,1430,1191,3427,1367,5318,4786,7154,2890,2829,1612,1594,919,377,0,0,"Paulding County, Georgia",1870,570,195,127,108,97,395,211,294,735,672,500,1263,648,1240,1226,1726,1070,869,736,637,601,339,211,211
"G1302450","2014","GA",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,,"05000US13245","Richmond County, Georgia",36279,1146,278,480,194,327,563,75,1348,2000,2644,2134,3296,3106,5663,3311,3294,1830,1659,993,960,529,337,44,68,"Richmond County, Georgia",2508,548,187,296,128,326,406,90,481,608,626,734,976,912,1241,863,899,771,616,423,412,531,204,73,85
"G1302470","2014","GA",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,,"05000US13247","Rockdale County, Georgia",19993,444,136,268,0,121,193,33,171,629,1294,812,966,1056,2856,2043,2434,1546,2115,1022,1627,227,0,0,0,"Rockdale County, Georgia",1624,305,156,223,211,156,195,58,171,345,574,380,456,483,711,784,760,707,834,432,664,248,211,211,211
"G1302850","2014","GA",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,,"05000US13285","Troup County, Georgia",13576,274,213,290,273,243,207,331,299,362,475,646,959,1067,1891,1912,1417,461,557,922,302,252,198,25,0,"Troup County, Georgia",1085,231,227,253,215,180,259,343,212,250,296,361,421,515,669,601,553,280,344,387,220,246,155,42,211
"G1302950","2014","GA",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,,"05000US13295","Walker County, Georgia",18016,628,213,163,438,224,786,195,272,530,1676,1131,1922,787,1521,1785,1433,960,1344,1022,627,154,132,52,21,"Walker County, Georgia",1418,390,180,201,354,370,544,196,225,401,912,556,691,425,583,641,606,430,625,429,333,164,127,91,38
"G1302970","2014","GA",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,,"05000US13297","Walton County, Georgia",21759,381,31,202,111,0,37,61,147,561,266,510,941,915,3699,2471,2831,1619,2443,1925,1548,460,338,58,204,"Walton County, Georgia",1281,196,53,223,136,211,63,100,172,328,224,328,532,454,938,715,650,546,779,709,514,287,223,87,180
"G1303130","2014","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,"05000US13313","Whitfield County, Georgia",23103,208,0,70,559,50,388,101,934,792,818,2151,1759,1071,3572,2703,2168,1156,1625,587,854,606,931,0,0,"Whitfield County, Georgia",1404,183,211,88,418,86,316,122,474,474,558,833,688,473,906,704,807,618,636,348,392,363,616,211,211
"G1500010","2014","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,"05000US15001","Hawaii County, Hawaii",41681,761,0,122,45,40,73,33,91,206,734,235,249,147,2229,1701,2075,2037,4628,5023,9044,4761,4630,945,1872,"Hawaii County, Hawaii",2345,363,181,109,58,54,94,55,91,134,501,311,220,95,847,658,817,651,904,981,1350,1077,1009,438,684
"G1500030","2014","HI",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,,"05000US15003","Honolulu County, Hawaii",168208,2220,58,92,37,45,0,295,212,825,230,550,476,94,794,877,1436,924,6811,7619,19283,20494,57198,29212,18426,"Honolulu County, Hawaii",3340,547,76,96,62,61,181,228,163,419,150,404,245,92,336,396,575,342,1081,1168,1823,1726,2546,1579,1470
"G1500070","2014","HI",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,,"05000US15007","Kauai County, Hawaii",,,,,,,,,,,,,,,,,,,,,,,,,,"Kauai County, Hawaii",,,,,,,,,,,,,,,,,,,,,,,,,
"G1500090","2014","HI",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,,"05000US15009","Maui County, Hawaii",30931,465,0,0,0,78,0,17,0,30,582,94,195,201,99,601,732,53,1036,1442,4963,3654,8960,4872,2857,"Maui County, Hawaii",1858,243,181,181,181,115,181,34,181,54,444,89,181,180,73,405,367,51,402,488,1150,623,1203,992,609
"G1600010","2014","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",107590,2822,912,955,427,479,100,374,141,619,274,601,1108,1544,6326,13263,13177,11697,16770,13087,10395,6540,4237,1412,330,"Ada County, Idaho",3338,808,570,430,330,481,125,263,161,351,236,447,612,760,1194,1852,1780,2334,2651,1888,1501,1595,967,693,230
"G1600050","2014","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",21363,1058,159,412,153,321,184,83,45,189,335,784,911,1002,3384,2846,2352,2240,2177,1185,1292,192,59,0,0,"Bannock County, Idaho",1189,434,188,267,204,336,186,86,45,156,263,347,486,402,771,698,635,723,588,461,599,129,74,190,190
"G1600190","2014","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",26052,706,76,124,183,76,77,0,274,186,207,982,664,1396,3216,3703,3868,2768,3141,1397,1494,686,452,115,261,"Bonneville County, Idaho",1430,336,124,127,204,98,100,190,292,168,141,491,339,563,793,789,855,744,632,481,530,349,261,141,183
"G1600270","2014","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",43963,1127,251,205,293,171,425,244,316,882,609,1337,2496,3683,8639,6999,4575,2490,3909,1794,1845,1091,403,0,179,"Canyon County, Idaho",1950,552,237,134,240,197,282,163,235,445,387,486,797,1102,1683,1298,1157,784,1108,672,734,606,294,190,178
"G1600550","2014","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",37243,1473,125,738,367,360,78,23,106,36,373,493,554,793,2255,3593,4705,3738,4126,4170,4056,1667,2037,835,542,"Kootenai County, Idaho",2317,560,155,632,307,413,133,42,158,34,413,443,267,531,726,1189,1099,911,955,1006,932,544,740,480,303
"G1600830","2014","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",19770,731,504,0,47,0,18,0,72,233,345,947,1357,775,2378,2572,3126,2013,1634,967,927,505,325,276,18,"Twin Falls County, Idaho",1310,546,294,190,69,190,30,190,83,198,248,564,613,422,604,802,905,629,503,467,399,334,250,241,31
"G1700010","2014","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",19311,649,399,143,304,180,178,110,506,943,1062,1323,1445,1166,2543,1820,2036,1089,1331,933,693,44,294,59,61,"Adams County, Illinois",873,293,292,116,262,161,207,158,248,514,400,498,421,437,742,543,583,357,471,373,324,75,224,98,98
"G1700190","2014","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",45331,1297,481,69,275,82,340,291,776,662,1201,1871,2094,2473,5975,5825,5513,4624,5051,2285,2388,974,582,123,79,"Champaign County, Illinois",1500,516,253,74,324,84,203,233,431,282,590,617,819,643,1045,1157,988,898,932,600,652,354,325,141,102
"G1700310","2014","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",1089387,25604,4406,3961,4081,3228,5487,2690,8766,14424,21327,21776,31828,24483,87071,73309,104274,70680,136929,106341,144051,65941,74923,26350,27457,"Cook County, Illinois",9137,1870,961,803,936,853,1029,670,1339,1700,1975,2158,2527,2294,4588,3673,4588,4093,5549,4901,5543,3359,3971,2264,2365
"G1700370","2014","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",21409,733,204,30,0,11,361,0,131,43,262,192,1131,833,1804,2492,3335,1820,3255,1957,1975,485,82,45,228,"DeKalb County, Illinois",1269,414,131,51,182,20,293,182,163,65,217,136,446,456,514,688,847,501,686,663,651,248,118,79,275
"G1700430","2014","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",246071,5593,473,818,431,468,266,149,607,980,1164,1801,2262,2764,7942,9987,17840,15895,33350,34725,45090,25236,23739,6505,7986,"DuPage County, Illinois",3335,938,273,477,220,246,187,122,272,450,462,558,603,724,1002,1363,1898,1652,2158,2110,2172,1872,1847,979,1034
"G1700890","2014","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",125347,2229,398,331,360,483,467,117,1148,406,575,2782,3114,2287,9453,8248,14501,9806,16561,16120,19938,6937,7368,730,988,"Kane County, Illinois",3079,718,275,358,338,371,257,144,558,274,338,821,989,756,1735,1358,2093,1600,1945,1644,2240,1204,1158,372,478
"G1700910","2014","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",28105,744,257,173,258,98,166,270,600,475,1100,1564,1430,1632,4062,2624,2666,2548,2683,2601,1219,339,311,198,87,"Kankakee County, Illinois",1426,320,241,146,189,117,140,250,278,261,439,476,591,521,952,649,564,728,702,797,443,196,227,154,125
"G1700930","2014","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,"Kendall County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,
"G1700970","2014","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",178481,4256,593,702,269,476,598,188,1206,1601,1848,3657,4167,5141,13496,9557,13702,10550,18150,15949,24393,12998,20475,6897,7612,"Lake County, Illinois",3133,810,327,404,175,254,434,181,432,425,600,820,832,1139,1732,1647,1372,1375,1690,1669,1897,1312,1508,990,1098
"G1700990","2014","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",32020,734,313,150,387,324,413,272,774,1176,2199,2128,2209,1475,3976,3909,3095,1990,2681,1377,1407,462,199,175,195,"LaSalle County, Illinois",1366,436,144,140,326,237,235,215,317,396,664,537,581,410,757,748,711,646,616,464,412,269,157,148,188
"G1701110","2014","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",86432,2054,203,456,229,413,280,38,225,152,723,1013,1164,1375,7574,6026,10320,7467,16115,12099,11736,3804,2374,170,422,"McHenry County, Illinois",2379,575,167,268,179,428,348,69,196,147,421,468,393,534,1508,1072,1328,1012,1943,1346,1311,834,690,127,258
