GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJNQE001,AJNQE002,AJNQE003,AJNQE004,AJNQE005,AJNQE006,AJNQE007,AJNQE008,AJNQE009,AJNQE010,AJNQE011,AJNQE012,AJNQE013,AJNQE014,AJNQE015,AJNQE016,AJNQE017,AJNQE018,AJNQE019,AJNQE020,AJNQE021,AJNQE022,AJNQE023,AJNQE024,AJNQE025,AJNQE026,AJNQE027,NAME_M,AJNQM001,AJNQM002,AJNQM003,AJNQM004,AJNQM005,AJNQM006,AJNQM007,AJNQM008,AJNQM009,AJNQM010,AJNQM011,AJNQM012,AJNQM013,AJNQM014,AJNQM015,AJNQM016,AJNQM017,AJNQM018,AJNQM019,AJNQM020,AJNQM021,AJNQM022,AJNQM023,AJNQM024,AJNQM025,AJNQM026,AJNQM027
"G0100030","2018","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",63010,1210,258,213,398,249,746,215,209,1063,447,1097,2312,1536,4856,4340,7845,5992,8179,4807,8185,3203,3861,956,583,250,0,"Baldwin County, Alabama",3045,604,195,189,444,286,568,192,178,483,283,521,1030,639,1397,975,1436,1288,1562,1075,1564,940,1023,432,312,200,201
"G0100150","2018","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",31036,615,765,388,336,370,429,277,1566,1054,1907,805,1875,1571,4076,3100,3271,1501,2599,1963,1397,478,527,95,71,0,0,"Calhoun County, Alabama",1883,275,427,225,254,232,282,211,699,477,619,382,650,756,979,851,894,697,887,748,601,353,450,168,117,201,201
"G0100430","2018","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",22760,297,413,276,464,271,1021,204,479,1004,981,1077,1305,905,2467,1976,2432,1208,1783,1347,1341,895,199,206,9,121,79,"Cullman County, Alabama",1481,230,273,178,407,194,590,219,386,395,498,483,548,390,725,685,626,498,765,550,524,517,174,181,15,215,133
"G0100490","2018","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",19171,293,769,848,581,1024,239,171,335,953,520,750,946,1046,2307,964,2261,563,1481,729,1529,300,212,291,59,0,0,"DeKalb County, Alabama",1366,256,551,476,448,646,228,138,300,530,328,412,444,512,803,532,754,303,677,301,468,269,177,215,99,201,201
"G0100510","2018","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",22169,577,332,41,185,0,55,240,725,420,466,1064,611,803,1690,2210,2557,1104,2692,2902,2078,953,264,37,92,71,0,"Elmore County, Alabama",1472,404,314,71,182,201,92,242,657,348,303,616,416,428,596,702,814,432,833,895,748,460,197,63,120,85,201
"G0100550","2018","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",27383,506,255,228,564,352,817,74,1289,2605,1222,889,1141,1035,2441,2428,2790,2168,2435,1622,1624,168,295,234,152,0,49,"Etowah County, Alabama",1637,237,268,220,384,288,459,85,513,706,545,425,475,440,776,997,795,768,811,554,750,160,298,367,206,201,80
"G0100690","2018","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",26166,449,210,288,156,190,342,218,729,1494,1024,1200,1253,1764,2938,2673,2531,1564,2422,1874,1621,394,361,216,203,10,42,"Houston County, Alabama",910,146,113,141,73,90,137,123,361,438,288,253,352,499,540,363,317,311,455,478,360,132,130,128,158,16,36
"G0100730","2018","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",161306,1075,1323,1003,1326,2024,1678,1083,5815,4307,6477,8179,6764,5910,14611,10434,12756,8389,17732,14762,13936,7643,8343,3402,1376,520,438,"Jefferson County, Alabama",3860,532,548,459,450,772,718,418,1450,1009,1210,1640,1529,1302,2169,1534,1701,1330,2395,1711,1986,1190,1163,920,565,335,230
"G0100770","2018","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",25516,85,102,219,29,288,282,144,999,779,313,659,851,880,2773,3290,3435,2035,2325,2163,1861,910,662,344,88,0,0,"Lauderdale County, Alabama",1628,98,115,190,38,246,178,179,550,389,211,332,400,432,790,858,796,886,697,601,639,476,356,307,146,201,201
"G0100810","2018","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",36498,1557,677,219,687,278,191,66,1434,563,813,618,939,1180,2403,2755,2714,3774,4312,3990,3416,1734,1605,573,0,0,0,"Lee County, Alabama",2153,838,500,226,466,331,274,114,815,524,642,516,439,642,870,1104,847,1096,980,1290,1028,763,577,441,201,201,201
"G0100830","2018","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",25568,208,459,182,231,378,340,177,341,375,814,1018,1028,809,3043,1436,3286,1364,2570,2938,2906,1137,469,59,0,0,0,"Limestone County, Alabama",1509,205,432,193,216,271,244,234,245,255,495,500,602,476,846,494,963,487,853,992,979,615,285,89,201,201,201
"G0100890","2018","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",99434,1377,449,283,543,351,641,228,1044,1647,2377,2469,3041,2713,7306,7372,11501,9104,15379,11305,9591,5574,3628,847,458,120,86,"Madison County, Alabama",2951,835,311,246,460,204,379,203,477,653,715,831,882,780,1215,1682,1407,1543,2449,1582,1543,1289,1028,398,247,123,109
"G0100950","2018","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",25544,429,105,135,346,562,332,74,299,1652,1038,1095,1317,973,3334,2418,2611,1328,2371,2242,1722,419,362,217,157,0,6,"Marshall County, Alabama",1293,278,108,123,292,392,283,73,225,840,513,570,496,423,867,688,730,583,684,827,515,242,253,205,162,201,11
"G0100970","2018","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",95186,1934,657,736,1216,1033,1332,1297,3208,3854,4640,3698,5409,4335,11375,10675,10322,4819,8556,6875,5031,2148,1047,564,146,214,65,"Mobile County, Alabama",3060,876,392,457,545,593,450,571,773,946,1226,800,1097,956,1859,1575,1782,1005,1324,1199,1179,779,479,271,135,142,86
"G0101010","2018","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",49547,725,520,475,311,405,257,384,1657,2681,3055,2250,2267,2803,4870,5368,3769,2228,4847,3102,3643,1626,1594,462,96,101,51,"Montgomery County, Alabama",2379,347,308,338,233,337,215,213,587,677,1044,700,763,777,1196,1354,848,652,1043,739,791,576,485,243,90,165,90
"G0101030","2018","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",32658,376,434,748,548,309,474,167,622,531,1262,2152,2188,1794,2937,3041,4128,1199,3028,1561,2902,1266,893,98,0,0,0,"Morgan County, Alabama",1547,287,388,627,359,281,497,144,338,252,645,699,888,743,901,836,993,586,810,473,770,558,524,90,201,201,201
"G0101150","2018","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",23638,130,360,48,122,67,528,346,523,1248,519,433,741,921,1307,2635,2146,2428,3825,1583,1645,596,942,444,101,0,0,"St. Clair County, Alabama",1990,141,324,69,123,107,499,435,443,723,379,338,481,479,630,933,828,883,1120,581,783,491,632,446,119,201,201
"G0101170","2018","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",65547,905,821,139,452,180,175,250,314,231,455,952,626,295,5002,4926,7468,5615,11059,6049,10501,4618,2877,1117,209,100,211,"Shelby County, Alabama",2083,481,527,112,282,187,131,394,222,253,277,485,379,176,1022,988,1333,976,1725,1205,1254,848,642,359,190,102,184
"G0101210","2018","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",21408,1217,399,103,357,194,662,283,630,1826,1117,869,485,1402,1841,1580,1549,1469,1414,1688,1271,424,491,69,35,0,33,"Talladega County, Alabama",1641,547,391,129,253,162,391,379,321,605,566,465,328,605,893,634,636,657,661,593,437,325,305,115,62,201,61
"G0101250","2018","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",46221,1246,389,831,238,710,262,376,457,1533,248,477,1906,1302,2661,4243,6539,4430,6171,3755,4300,1539,1840,550,124,94,0,"Tuscaloosa County, Alabama",2297,640,292,549,240,391,188,415,277,722,231,351,862,611,766,1092,1285,879,1245,1178,988,564,609,365,127,122,201
"G0101270","2018","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",18736,878,809,711,285,455,381,99,836,1047,844,646,630,1283,1177,2109,1882,856,963,1244,916,480,159,46,0,0,0,"Walker County, Alabama",1190,414,468,353,256,330,313,119,396,412,427,368,317,573,493,702,643,356,536,599,539,440,130,82,201,201,201
"G0200200","2018","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",67637,304,376,609,328,582,424,216,326,271,99,457,551,306,1362,1796,1805,2222,8190,9448,19504,9008,6975,1578,472,39,389,"Anchorage Municipality, Alaska",2522,297,307,386,258,499,327,270,442,289,163,429,372,244,661,570,676,853,1386,1484,2145,1349,1374,550,428,63,251
"G0200900","2018","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0201700","2018","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",25124,95,65,88,165,34,112,70,56,259,270,87,217,244,1040,680,1897,1982,5041,4456,4882,1766,1324,232,37,0,25,"Matanuska-Susitna Borough, Alaska",1018,88,76,83,144,41,111,91,95,142,236,87,122,150,311,262,417,459,723,736,615,430,429,162,43,157,33
"G0400010","2018","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",17910,1700,1501,1033,1524,146,2002,0,545,2148,1438,310,257,112,1199,672,937,938,699,396,105,126,74,48,0,0,0,"Apache County, Arizona",1076,504,327,338,436,122,564,211,179,516,328,179,149,87,379,344,433,686,366,245,128,146,69,51,211,211,211
"G0400030","2018","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",35702,240,250,279,469,250,515,112,910,1061,929,1514,1705,1656,4995,4304,3021,2554,4730,2657,1686,824,768,126,53,29,65,"Cochise County, Arizona",1669,187,221,247,298,215,387,121,568,464,408,544,569,519,1288,1144,843,869,1161,883,469,458,535,134,88,50,109
"G0400050","2018","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",29699,348,611,272,490,163,890,10,609,742,770,211,733,300,1353,254,1209,965,2008,3322,5086,3946,3972,1094,207,80,54,"Coconino County, Arizona",1928,216,266,151,248,137,609,17,362,268,315,117,381,389,626,205,494,414,695,885,1139,926,934,434,176,129,93
"G0400130","2018","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",990183,14438,6728,6331,6135,4142,2765,1933,3581,5186,4879,5590,6782,8735,27992,30034,65562,61352,156256,143123,192368,98716,85409,26320,14851,4589,6386,"Maricopa County, Arizona",9565,2006,1198,1120,1367,1016,740,681,863,959,869,1139,1356,1321,2223,2506,4324,3938,6269,5817,5971,4617,3796,2268,1705,805,1104
"G0400150","2018","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",63654,800,1193,152,944,605,408,1238,2578,1924,1804,2523,2000,996,5165,3557,4147,3135,9392,7749,7280,3663,1804,435,53,0,109,"Mohave County, Arizona",3087,575,563,199,618,271,285,776,988,662,678,1082,890,465,1139,907,1068,986,1565,1362,1446,1005,714,246,71,211,151
"G0400170","2018","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",24255,1303,380,584,740,412,318,88,725,1469,836,1009,771,1034,2503,947,1920,1633,2644,1715,2066,614,248,74,59,38,125,"Navajo County, Arizona",1721,438,288,292,248,249,140,132,265,420,293,331,299,392,817,353,501,610,782,566,733,268,158,99,86,70,155
"G0400190","2018","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",250634,6311,2406,2054,2393,1200,1375,1385,3213,2369,4831,4995,4193,4684,16693,18966,27034,22981,36624,26657,28092,13712,12244,4140,1240,461,381,"Pima County, Arizona",5571,1309,697,702,865,443,512,530,990,948,1086,1255,742,1083,1740,2087,2679,2297,2800,2454,1921,1728,1355,776,461,406,229
"G0400210","2018","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",115511,2918,1073,1086,1560,1196,764,1297,2973,2169,1931,1703,1876,1609,5527,6654,13264,10078,23651,13291,12790,4249,2539,444,408,136,325,"Pinal County, Arizona",3609,951,328,493,686,451,416,474,986,683,738,768,686,636,1579,1480,1898,1622,2699,1671,1990,1110,802,319,446,118,306
"G0400250","2018","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",73901,1040,788,346,317,313,1614,444,987,736,502,817,395,925,3289,2661,4130,3705,11609,10006,13325,5614,7314,1805,679,349,191,"Yavapai County, Arizona",2742,483,415,317,450,232,855,539,559,389,384,746,348,565,1210,1025,1002,963,1992,1603,1821,1110,1200,596,359,311,210
"G0400270","2018","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",48950,1950,914,802,578,936,1026,170,465,1335,1510,1301,2030,1490,6293,5889,5863,2430,5944,3674,3092,719,261,146,70,0,62,"Yuma County, Arizona",2300,755,519,406,287,421,428,128,198,647,555,504,665,556,990,1307,1274,872,1235,824,837,436,181,165,80,211,113
"G0500070","2018","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",67295,167,195,264,125,184,251,161,823,1261,685,1501,1851,1334,6388,8302,6295,4448,8817,7196,8640,3188,2871,1583,379,131,255,"Benton County, Arkansas",2688,158,192,343,165,153,178,203,538,695,490,562,594,586,1357,1347,1123,891,1325,1380,1291,811,847,789,241,151,335
"G0500310","2018","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",23960,319,185,26,0,438,141,227,674,278,586,1976,1307,1330,2378,2138,2944,1838,3048,1139,1573,758,100,453,64,0,40,"Craighead County, Arkansas",1561,257,226,45,201,434,154,295,394,226,375,847,623,710,810,677,967,618,1084,508,738,490,128,226,106,201,74
"G0500450","2018","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",28635,536,202,299,56,157,400,69,343,451,571,1297,1234,793,3273,3201,3627,3585,2812,2505,1818,503,401,69,404,29,0,"Faulkner County, Arkansas",1635,303,236,205,59,141,399,83,243,366,496,592,618,366,886,877,938,1213,966,751,588,376,257,72,584,50,201
"G0500510","2018","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",26815,359,516,366,289,510,463,242,829,371,1762,918,1330,1020,2387,2089,2620,2129,2208,1179,2241,1042,921,463,387,73,101,"Garland County, Arkansas",1543,328,354,271,269,360,505,190,630,258,661,469,781,577,922,759,988,828,736,512,793,517,528,343,467,124,168
"G0500690","2018","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",15201,260,235,36,303,257,569,401,1114,1424,1094,1382,1270,539,1641,1441,488,843,702,800,0,158,125,0,67,52,0,"Jefferson County, Arkansas",1364,174,174,64,196,193,450,294,448,509,558,544,557,318,567,651,310,453,296,380,201,188,150,201,104,90,201
"G0500850","2018","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",19308,46,201,314,268,160,170,75,274,491,838,1145,691,585,3291,3037,2385,1494,2067,723,736,158,159,0,0,0,0,"Lonoke County, Arkansas",1267,66,210,299,234,174,196,65,275,289,456,497,484,337,922,834,777,632,585,393,375,188,137,201,201,201,201
"G0501190","2018","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",92535,1740,648,259,390,324,682,942,967,2124,3763,4469,3593,3356,7359,9368,10685,6051,10177,6685,9850,3644,2684,1530,853,70,322,"Pulaski County, Arkansas",3007,583,418,264,261,352,460,519,485,755,944,1326,972,939,1023,1442,1522,1005,1611,1157,1680,1022,908,622,446,117,288
"G0501250","2018","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",35943,963,298,269,208,62,334,240,1349,194,578,805,1190,732,4080,5395,4263,3608,3347,3770,2455,952,528,86,237,0,0,"Saline County, Arkansas",1846,607,287,247,175,106,275,231,721,159,327,463,512,353,989,1292,951,961,912,972,763,479,301,107,335,201,201
"G0501310","2018","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",30246,457,183,149,373,194,260,45,1203,958,1936,1370,1351,1458,3575,2682,2691,2299,3480,1671,1896,1007,396,167,340,41,64,"Sebastian County, Arkansas",2037,357,135,160,216,172,213,79,602,503,728,650,498,739,905,888,749,832,1088,561,730,519,259,163,221,70,106
"G0501430","2018","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",47861,452,230,225,57,45,222,0,273,710,561,810,1627,1336,5539,6221,7095,2752,5966,3221,5318,1927,1548,786,639,114,187,"Washington County, Arkansas",2362,325,289,271,87,76,215,201,278,614,381,368,731,630,1309,1368,1357,983,1321,808,1148,621,464,382,503,143,183
"G0501450","2018","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",19016,143,247,305,87,205,269,185,915,493,514,580,1514,751,3540,1260,1650,1055,1773,1659,924,330,440,21,0,0,156,"White County, Arkansas",1441,153,209,252,163,175,226,172,469,286,291,325,605,508,1158,512,661,552,674,707,463,271,360,35,201,201,187
"G0600010","2018","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",308503,1860,398,276,210,30,748,91,663,447,244,689,445,390,1093,943,1330,959,2012,2202,10815,16114,82172,81836,69455,18323,14758,"Alameda County, California",5339,550,215,209,192,50,487,110,433,284,200,386,335,308,433,579,547,462,653,605,1614,1702,3574,3630,3073,1750,1488
"G0600070","2018","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",51941,882,351,38,465,630,603,418,561,445,339,449,432,153,2436,1887,3001,2147,7839,5979,10784,5039,4131,1700,966,121,145,"Butte County, California",2271,425,403,61,293,362,418,418,396,366,211,294,329,159,891,734,828,712,1290,1053,1362,1070,957,547,509,129,117
"G0600130","2018","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",264098,1437,260,97,106,272,498,114,242,489,445,536,713,461,1415,1078,552,1125,3602,5390,21765,35482,82316,42166,38002,14749,10786,"Contra Costa County, California",4847,533,194,123,144,295,427,162,187,336,291,410,510,325,588,566,392,456,832,1251,2052,3012,3225,2375,2703,1680,1357
"G0600170","2018","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",55103,472,213,86,194,88,409,163,392,339,66,40,242,175,579,242,662,425,1051,2827,9755,10540,19097,4588,1747,327,384,"El Dorado County, California",2230,378,212,138,186,139,258,95,272,254,108,65,237,179,334,241,454,289,444,843,1604,1477,1785,924,638,244,267
"G0600190","2018","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",158439,1046,810,207,598,953,298,396,619,497,393,1068,1304,1882,6929,5444,11271,10673,23945,22342,34305,15641,12410,3136,1358,272,642,"Fresno County, California",4458,391,413,168,278,565,204,300,343,276,244,568,501,633,1414,1146,1382,1495,2567,2292,2731,1702,1830,816,483,176,359
"G0600230","2018","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",29758,472,70,183,96,215,0,214,476,108,337,0,186,33,624,419,484,658,3848,3989,9333,3560,2689,1030,407,134,193,"Humboldt County, California",1764,341,93,124,98,208,211,198,388,163,418,211,203,55,483,301,294,479,1060,994,1259,1007,648,378,230,121,172
"G0600250","2018","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",27470,1003,412,431,101,49,121,87,215,579,249,276,139,10,1411,1171,3216,2218,7103,3092,3176,1427,659,277,0,0,48,"Imperial County, California",2016,528,271,232,110,93,149,105,213,327,319,259,121,18,763,619,1133,807,1625,1028,989,591,452,273,211,211,86
"G0600290","2018","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",156852,1688,699,702,484,58,599,729,1154,1728,1876,1083,2700,2546,10376,6676,14653,14092,31355,21531,23884,9077,6404,1427,526,492,313,"Kern County, California",4815,804,346,385,419,85,332,516,639,570,558,526,761,814,1555,1319,1790,1965,2884,2760,2958,1660,1302,566,301,504,259
"G0600310","2018","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",23557,180,0,223,455,93,119,0,0,241,0,484,251,254,1102,877,1632,2529,5376,4083,2765,910,1403,399,21,37,123,"Kings County, California",1435,174,211,196,259,121,145,211,211,235,211,320,205,230,439,389,552,803,1213,852,701,386,708,340,35,59,154
"G0600330","2018","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",17413,574,0,33,0,257,150,37,119,559,150,293,817,424,324,568,1206,1217,2164,1525,2792,1845,1563,305,349,0,142,"Lake County, California",1500,326,211,54,211,245,153,68,155,446,147,274,553,341,277,412,521,668,675,668,1098,645,542,163,360,211,129
"G0600370","2018","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",1501284,11235,1449,1848,2584,1700,3170,1781,5512,5620,4061,3143,3852,2748,7418,3108,8621,5593,22870,33487,140243,231832,496904,218323,135376,59809,88997,"Los Angeles County, California",13125,1193,552,746,694,525,870,583,1007,1041,833,788,951,746,1299,725,1251,1193,2035,2548,5984,8342,8208,5651,5035,2925,3576
"G0600390","2018","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",28419,413,123,187,77,0,0,211,296,98,116,41,155,101,924,752,1907,1163,5157,5292,6970,2338,1541,249,223,0,85,"Madera County, California",2066,400,153,200,126,211,211,189,212,162,168,71,185,121,425,388,693,673,1197,1137,1135,734,601,203,163,211,103
"G0600410","2018","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marin County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0600450","2018","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",19652,148,4,123,523,75,142,15,0,237,229,0,222,91,441,203,463,406,515,1652,5295,2378,3424,1707,853,25,481,"Mendocino County, California",1584,129,10,148,572,131,150,29,211,176,256,211,265,162,309,175,264,307,244,650,1113,764,956,481,591,43,372
"G0600470","2018","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",42176,555,91,280,234,51,96,224,296,359,60,267,503,135,1471,698,3294,3219,7524,7825,7643,2579,2866,1329,288,57,232,"Merced County, California",2133,315,115,305,201,83,111,273,282,262,74,292,300,138,608,297,864,853,1154,1291,1425,824,680,450,232,75,180
"G0600530","2018","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",64796,609,66,78,79,24,74,18,269,268,82,383,136,670,488,221,855,429,1597,1272,7695,12461,18358,9473,4457,1609,3125,"Monterey County, California",2256,307,89,88,131,41,93,31,197,277,88,306,113,443,361,177,459,363,523,495,1441,1382,1699,1220,887,537,874
"G0600550","2018","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",30053,358,0,37,0,0,128,0,233,0,40,130,386,101,194,0,211,210,743,369,1639,2327,11995,5749,2437,602,2164,"Napa County, California",1397,196,211,64,211,211,126,211,218,211,64,133,232,123,173,211,176,191,509,245,559,522,1279,767,522,225,511
"G0600570","2018","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nevada County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0600590","2018","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",597488,4050,1053,533,395,693,1101,511,1493,2002,2066,2310,2439,1629,3291,2092,3336,1977,6249,7863,27516,49392,210651,148466,67469,20106,28805,"Orange County, California",7644,810,566,310,274,464,417,304,531,539,671,660,747,667,876,516,908,785,1177,1324,2710,2938,6053,5000,3698,1915,2056
"G0600610","2018","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",104689,382,107,0,105,274,366,44,703,131,277,201,875,195,585,365,870,643,2673,2945,16805,26920,32361,9940,4918,971,1033,"Placer County, California",2888,252,109,211,103,374,256,74,391,131,213,197,456,200,344,245,386,507,734,756,1726,2380,2308,1474,1087,480,524
"G0600650","2018","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",496576,6272,3439,1748,3120,2428,2166,1810,4429,3557,2691,2213,1890,2613,6725,4602,11250,12375,36965,55361,127247,98922,77640,14104,7169,2046,3794,"Riverside County, California",6265,1100,1241,528,846,922,643,622,1099,745,752,690,553,767,1148,922,1874,1802,2934,3835,4822,4096,4013,1813,1231,748,859
"G0600670","2018","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",311219,2817,982,293,342,962,677,874,946,536,1320,1027,788,540,3378,2079,5643,5584,21112,37975,88184,61690,53974,13357,3694,897,1548,"Sacramento County, California",6224,750,366,246,270,448,401,381,421,328,535,397,398,282,936,718,1086,1187,2486,2687,4052,3613,2978,1622,788,404,506
