GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJNQE001,AJNQE002,AJNQE003,AJNQE004,AJNQE005,AJNQE006,AJNQE007,AJNQE008,AJNQE009,AJNQE010,AJNQE011,AJNQE012,AJNQE013,AJNQE014,AJNQE015,AJNQE016,AJNQE017,AJNQE018,AJNQE019,AJNQE020,AJNQE021,AJNQE022,AJNQE023,AJNQE024,AJNQE025,AJNQE026,AJNQE027,NAME_M,AJNQM001,AJNQM002,AJNQM003,AJNQM004,AJNQM005,AJNQM006,AJNQM007,AJNQM008,AJNQM009,AJNQM010,AJNQM011,AJNQM012,AJNQM013,AJNQM014,AJNQM015,AJNQM016,AJNQM017,AJNQM018,AJNQM019,AJNQM020,AJNQM021,AJNQM022,AJNQM023,AJNQM024,AJNQM025,AJNQM026,AJNQM027
"G2601390","2018","MI",,,"Michigan","26","Ottawa County","139",,,,,,,,,,,,,,,,,,"05000US26139","Ottawa County, Michigan",82601,1654,529,543,271,464,450,328,530,299,552,513,589,899,4307,6276,10561,8586,15155,11096,10935,3168,2831,1244,265,285,271,"Ottawa County, Michigan",1921,549,355,328,208,262,358,367,292,210,286,325,333,510,880,983,1492,1032,1814,1377,1256,762,620,517,211,172,238
"G2601450","2018","MI",,,"Michigan","26","Saginaw County","145",,,,,,,,,,,,,,,,,,"05000US26145","Saginaw County, Michigan",55524,1016,857,1582,1035,1225,1979,995,1919,2128,4143,2722,3584,3276,5598,4957,4976,4218,3810,1923,2301,413,552,119,111,29,56,"Saginaw County, Michigan",1953,458,366,590,429,508,669,406,597,541,849,553,859,815,912,879,1048,837,795,555,655,249,252,112,110,47,73
"G2601470","2018","MI",,,"Michigan","26","St. Clair County","147",,,,,,,,,,,,,,,,,,"05000US26147","St. Clair County, Michigan",51543,1005,524,491,403,98,355,296,835,1248,1579,2400,1305,1931,5571,5072,5851,3551,6070,4761,5385,1028,1017,257,227,191,92,"St. Clair County, Michigan",1695,387,271,274,257,86,308,187,450,476,588,701,421,519,810,811,791,770,832,797,745,386,321,144,163,252,54
"G2601550","2018","MI",,,"Michigan","26","Shiawassee County","155",,,,,,,,,,,,,,,,,,"05000US26155","Shiawassee County, Michigan",20498,241,288,63,84,81,95,123,406,614,1698,936,1331,1510,2770,2110,2357,1472,1562,1032,814,569,82,183,0,0,77,"Shiawassee County, Michigan",967,200,198,107,91,96,91,119,207,304,507,305,427,447,525,442,568,459,413,376,278,297,65,172,172,172,90
"G2601590","2018","MI",,,"Michigan","26","Van Buren County","159",,,,,,,,,,,,,,,,,,"05000US26159","Van Buren County, Michigan",22308,657,81,142,154,163,496,209,944,635,783,623,1165,794,2167,2089,3185,1494,1876,1042,1347,801,677,428,123,0,233,"Van Buren County, Michigan",1275,265,104,125,159,147,350,165,421,309,444,254,442,466,583,613,847,476,552,428,478,368,400,257,108,172,205
"G2601610","2018","MI",,,"Michigan","26","Washtenaw County","161",,,,,,,,,,,,,,,,,,"05000US26161","Washtenaw County, Michigan",87233,1852,943,146,395,112,56,411,684,685,1050,769,1677,908,2821,3021,5513,5352,11567,9267,17441,9455,8706,2669,1054,212,467,"Washtenaw County, Michigan",2296,851,428,146,221,113,95,301,339,374,446,310,566,430,748,673,1085,945,1350,1168,1596,1111,1169,532,332,177,309
"G2601630","2018","MI",,,"Michigan","26","Wayne County","163",,,,,,,,,,,,,,,,,,"05000US26163","Wayne County, Michigan",426387,12171,10258,6481,9157,10871,10015,7296,18233,19539,19323,19521,19601,14654,43587,31022,39437,19532,33367,27207,26360,12925,9991,3205,1178,761,695,"Wayne County, Michigan",5434,1462,1311,1241,1479,1984,1374,1321,2030,2091,1891,1768,1570,1471,2990,2320,2679,1768,2253,2132,1803,1401,1127,873,546,497,288
"G2700030","2018","MN",,,"Minnesota","27","Anoka County","003",,,,,,,,,,,,,,,,,,"05000US27003","Anoka County, Minnesota",102915,1045,461,311,642,644,165,57,519,410,0,101,267,640,1729,3246,9002,9360,24316,19713,19361,6403,3836,333,146,94,114,"Anoka County, Minnesota",2433,417,281,235,353,328,139,79,282,316,147,121,192,365,573,689,1230,1130,1831,1830,1529,911,863,196,124,107,166
"G2700130","2018","MN",,,"Minnesota","27","Blue Earth County","013",,,,,,,,,,,,,,,,,,"05000US27013","Blue Earth County, Minnesota",16593,371,135,153,101,306,0,33,132,182,60,111,319,192,822,1890,2070,2103,2505,1753,2031,599,474,180,8,46,17,"Blue Earth County, Minnesota",867,231,145,121,115,274,147,35,166,168,42,93,195,132,262,458,649,553,500,442,471,254,167,129,14,77,22
"G2700190","2018","MN",,,"Minnesota","27","Carver County","019",,,,,,,,,,,,,,,,,,"05000US27019","Carver County, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carver County, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2700370","2018","MN",,,"Minnesota","27","Dakota County","037",,,,,,,,,,,,,,,,,,"05000US27037","Dakota County, Minnesota",120610,711,692,825,296,431,151,187,550,384,487,459,40,625,2092,3292,8031,7318,21070,21643,27431,14526,7868,829,461,138,73,"Dakota County, Minnesota",2417,363,389,562,189,401,148,196,334,452,328,430,67,281,676,855,1261,1125,1603,1912,2147,1625,1199,377,181,82,109
