GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHPKE001,AHPKE002,AHPKE003,AHPKE004,AHPKE005,AHPKE006,AHPKE007,AHPKE008,AHPKE009,AHPKE010,AHPKE011,AHPKE012,AHPKE013,AHPKE014,AHPKE015,AHPKE016,AHPKE017,AHPKE018,AHPKE019,AHPKE020,AHPKE021,AHPKE022,AHPKE023,AHPKE024,AHPKE025,AHPKE026,AHPKE027,NAME_M,AHPKM001,AHPKM002,AHPKM003,AHPKM004,AHPKM005,AHPKM006,AHPKM007,AHPKM008,AHPKM009,AHPKM010,AHPKM011,AHPKM012,AHPKM013,AHPKM014,AHPKM015,AHPKM016,AHPKM017,AHPKM018,AHPKM019,AHPKM020,AHPKM021,AHPKM022,AHPKM023,AHPKM024,AHPKM025,AHPKM026,AHPKM027
"G04027820","2017","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",37865,36803,33,170,194,480,104,369,134,456,429,1782,1630,2573,2469,2997,3162,4690,3937,6495,2207,1869,547,76,0,0,1062,"Glendale city, Arizona",2213,2210,56,183,194,327,166,306,128,286,273,689,604,899,917,1068,1031,1015,1191,1442,702,705,349,125,208,208,567
"G04028380","2017","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04046000","2017","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",68074,66027,286,239,270,222,0,381,161,675,910,1638,2780,4553,4473,4063,4494,12411,10208,10464,3839,2522,1085,224,83,46,2047,"Mesa city, Arizona",3513,3522,253,294,283,191,208,389,156,436,563,743,785,1042,1032,991,1365,1685,1556,1676,892,775,509,195,99,75,716
"G04054050","2017","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",14735,14202,0,223,0,175,95,49,0,62,171,45,206,376,534,737,954,1075,2277,4528,1220,711,452,169,143,0,533,"Peoria city, Arizona",1734,1652,208,304,208,169,114,83,208,102,221,74,204,398,337,498,378,515,815,1129,531,310,285,120,121,208,421
"G04055000","2017","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",245335,240096,1327,847,413,2412,901,1192,2451,4708,6630,10432,10225,12865,17680,15647,16063,31732,28044,42483,20439,8481,3540,1146,409,29,5239,"Phoenix city, Arizona",6125,6091,620,478,232,732,409,428,824,1105,1537,1338,1831,1974,2658,1923,2180,3068,2559,3634,2658,1697,1006,643,363,48,1256
"G04064210","2017","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04065000","2017","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",37279,36196,66,0,0,74,99,85,0,75,212,351,186,351,765,930,1138,2819,3046,10178,5664,5704,2969,508,434,542,1083,"Scottsdale city, Arizona",2987,2916,114,208,208,122,162,70,208,122,253,521,216,261,468,613,804,926,855,1692,1566,1289,1039,358,352,456,504
"G04071510","2017","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04073000","2017","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",42947,42129,147,0,0,56,81,104,508,133,214,333,155,833,1109,2361,2190,4037,6993,10014,6814,5474,399,174,0,0,818,"Tempe city, Arizona",2861,2808,138,208,208,93,132,134,403,216,248,213,205,485,712,947,908,1412,1719,1770,1337,1391,249,172,208,208,432
"G04077000","2017","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",103452,99436,1236,851,281,1193,641,918,1824,3866,7119,8326,9944,7487,6862,6747,5734,10683,7533,11813,2950,1609,854,223,496,246,4016,"Tucson city, Arizona",3850,3904,671,535,202,604,379,463,729,980,1436,1687,1520,1495,1226,1363,1243,1863,1409,1759,1089,673,461,159,385,326,969
"G04085540","2017","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",13628,13154,0,75,525,238,360,82,277,683,764,474,755,701,1341,1008,959,1803,1401,1193,115,288,112,0,0,0,474,"Yuma city, Arizona",1803,1765,208,75,478,278,366,105,247,531,651,284,469,579,631,562,654,618,681,666,106,268,154,208,208,208,307
"G05015190","2017","AR",,,"Arkansas","05",,,"Conway city","15190",,,,,,,,,,,,,,,,"16000US0515190","Conway city, Arkansas",12938,12529,0,134,57,233,194,193,539,206,1501,1261,1390,1373,1510,702,328,918,593,709,557,39,0,92,0,0,409,"Conway city, Arkansas",1628,1553,201,216,104,267,186,211,536,186,760,537,587,544,774,453,235,531,407,441,574,70,201,79,201,201,307
"G05023290","2017","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",21165,20183,802,386,0,344,0,105,76,1816,1904,2060,1885,1549,1460,1078,474,2188,1429,1075,1193,0,259,100,0,0,982,"Fayetteville city, Arkansas",2173,2296,609,386,201,429,201,170,124,817,801,1116,716,723,710,530,397,1056,759,808,812,201,236,178,201,201,650
"G05024550","2017","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",17427,17095,106,141,852,246,202,1042,2566,3094,1910,1338,875,1476,758,663,279,536,267,432,98,128,0,0,0,86,332,"Fort Smith city, Arkansas",1708,1663,181,142,727,300,197,681,1039,932,736,663,468,677,549,440,218,488,218,386,165,155,201,201,201,146,301
"G05035710","2017","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",14686,13644,0,123,0,92,0,88,550,772,832,1621,1388,1926,1919,512,611,1254,873,802,104,139,0,38,0,0,1042,"Jonesboro city, Arkansas",1491,1614,201,168,201,161,201,121,543,685,560,800,759,1059,1021,466,531,937,623,572,177,183,201,71,201,201,562
"G05041000","2017","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",35224,33945,546,194,0,317,808,384,172,875,770,1345,3461,2934,5811,3802,1330,2599,2373,3757,1285,352,271,0,291,268,1279,"Little Rock city, Arkansas",2779,2779,525,194,201,323,684,261,173,551,525,706,1158,1157,1938,1133,682,1170,910,1223,707,246,250,201,185,421,542
"G05050450","2017","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",15034,14520,0,309,305,708,157,546,44,601,526,852,1358,1926,1751,2551,617,717,743,506,169,134,0,0,0,0,514,"North Little Rock city, Arkansas",1538,1555,201,191,235,413,194,456,81,447,409,523,687,1208,1039,1082,534,468,458,423,189,162,201,201,201,201,378
"G05060410","2017","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"16000US0560410","Rogers city, Arkansas",10298,9965,41,103,0,0,0,138,262,794,824,498,884,730,565,839,787,744,815,1320,96,134,125,41,225,0,333,"Rogers city, Arkansas",1331,1284,68,169,201,201,201,141,281,533,469,328,545,448,429,573,570,348,654,530,117,174,209,66,151,201,280
"G05066080","2017","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Springdale city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06000562","2017","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06000884","2017","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06002000","2017","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",55182,54795,152,133,288,326,680,327,233,225,256,137,157,365,95,294,352,610,2824,8597,13397,16425,6402,1711,658,151,387,"Anaheim city, California",2710,2699,247,171,267,250,603,220,191,253,330,140,170,378,121,157,311,334,905,1270,1882,2004,1440,750,482,181,277
"G06002252","2017","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06002364","2017","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apple Valley town, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
