GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHPKE001,AHPKE002,AHPKE003,AHPKE004,AHPKE005,AHPKE006,AHPKE007,AHPKE008,AHPKE009,AHPKE010,AHPKE011,AHPKE012,AHPKE013,AHPKE014,AHPKE015,AHPKE016,AHPKE017,AHPKE018,AHPKE019,AHPKE020,AHPKE021,AHPKE022,AHPKE023,AHPKE024,AHPKE025,AHPKE026,AHPKE027,NAME_M,AHPKM001,AHPKM002,AHPKM003,AHPKM004,AHPKM005,AHPKM006,AHPKM007,AHPKM008,AHPKM009,AHPKM010,AHPKM011,AHPKM012,AHPKM013,AHPKM014,AHPKM015,AHPKM016,AHPKM017,AHPKM018,AHPKM019,AHPKM020,AHPKM021,AHPKM022,AHPKM023,AHPKM024,AHPKM025,AHPKM026,AHPKM027
"G06082996","2017","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vista city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06083346","2017","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walnut Creek city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06084200","2017","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Covina city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06084550","2017","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Westminster city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06085292","2017","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Whittier city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06086832","2017","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06086972","2017","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yuba City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08003455","2017","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arvada city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08004000","2017","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",50509,49614,206,0,142,227,143,105,0,127,336,135,466,390,619,1294,1671,4112,5900,12292,9551,8984,2298,268,97,251,895,"Aurora city, Colorado",2782,2784,256,200,113,261,173,180,200,130,306,134,381,242,399,624,682,1064,1346,1349,1452,1665,785,336,158,220,374
"G08007850","2017","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boulder city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08009280","2017","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"16000US0809280","Broomfield city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broomfield city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08012815","2017","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Centennial city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08016000","2017","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",76738,75137,521,202,169,597,458,188,523,758,785,996,1679,3615,4753,4689,5267,8124,7997,14381,10858,5802,1830,697,66,182,1601,"Colorado Springs city, Colorado",3060,3105,378,241,167,437,393,224,421,418,416,498,732,1096,1357,1111,1414,1719,1364,2271,1888,1049,629,365,109,203,637
"G08020000","2017","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",148370,144773,1562,230,1318,3734,1194,1261,1470,644,1252,1127,624,1410,2267,2003,4068,10997,13360,29316,24324,27695,10211,3325,851,530,3597,"Denver city, Colorado",4839,4865,723,249,510,1073,764,496,666,367,706,489,453,515,874,715,1191,2248,2037,2942,2373,2465,1860,1224,515,344,1022
"G08027425","2017","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",28161,26938,67,112,153,0,39,47,258,138,47,455,430,520,723,762,1044,1101,2988,4877,5964,5623,1294,153,143,0,1223,"Fort Collins city, Colorado",2010,2117,80,195,136,200,64,82,139,147,84,351,252,424,509,349,530,423,898,931,1119,1128,509,150,136,200,798
"G08032155","2017","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",14707,14425,64,26,396,245,208,0,33,449,262,721,327,907,884,672,1094,1863,1730,1777,1197,1430,0,48,92,0,282,"Greeley city, Colorado",1550,1520,86,42,292,342,298,200,58,270,233,490,200,471,456,401,543,623,543,525,631,799,200,81,109,200,242
"G08036410","2017","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08043000","2017","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",26487,25996,112,170,275,73,42,121,154,251,0,273,487,397,274,756,1085,2043,2110,4518,5167,5305,1307,291,482,303,491,"Lakewood city, Colorado",1972,2013,184,164,352,90,69,144,235,295,200,211,375,392,208,416,684,884,672,1021,1171,1334,549,273,455,326,330
"G08045970","2017","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Longmont city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08046465","2017","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Loveland city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08062000","2017","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",19735,19070,85,450,174,954,333,621,677,1106,1626,1637,1706,788,1431,1257,1471,1525,829,1177,781,381,61,0,0,0,665,"Pueblo city, Colorado",1754,1688,105,433,132,405,207,474,437,638,671,647,614,530,538,555,675,574,413,576,400,322,80,200,200,200,397
"G08077290","2017","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thornton city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08083835","2017","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Westminster city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09008000","2017","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",26155,24943,472,329,806,1188,630,169,641,462,547,663,349,641,416,563,1107,3346,2470,6128,2006,1492,248,194,76,0,1212,"Bridgeport city, Connecticut",1888,1912,332,221,466,511,392,158,653,341,361,524,384,474,261,360,464,949,665,1044,618,587,318,244,90,207,514
"G09018430","2017","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Danbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09037000","2017","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",32195,31568,1224,584,1289,774,340,810,627,426,519,818,820,1604,1573,2011,2421,5028,3265,3997,2236,1063,139,0,0,0,627,"Hartford city, Connecticut",2050,2026,596,401,551,334,201,417,320,292,386,425,381,725,545,770,744,987,927,938,748,539,129,207,207,207,348
"G09050370","2017","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",16580,15875,90,420,122,413,107,386,233,466,397,286,440,517,623,1325,1497,2275,2913,2673,476,216,0,0,0,0,705,"New Britain city, Connecticut",1449,1486,112,313,105,318,136,370,220,467,336,218,310,381,390,556,687,741,767,793,345,250,207,207,207,207,445
"G09052000","2017","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",33887,33611,715,580,156,839,728,948,257,923,223,1090,337,950,806,1444,1558,2717,4738,7397,2799,3077,784,304,188,53,276,"New Haven city, Connecticut",2522,2476,477,483,183,514,475,442,228,571,273,621,302,548,511,642,771,878,1230,1507,589,741,411,254,150,86,196
"G09055990","2017","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Norwalk city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09073000","2017","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",23945,23207,251,0,275,509,53,255,88,261,433,366,307,319,113,343,390,438,853,3242,2018,5304,4778,1313,768,530,738,"Stamford city, Connecticut",2310,2349,413,207,226,459,90,246,144,296,421,357,363,492,185,355,489,338,609,1109,996,1248,1222,651,546,555,584
"G09080000","2017","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",22205,21490,747,340,261,643,283,374,184,544,379,500,739,1426,1438,1422,2070,2446,2924,3948,471,297,54,0,0,0,715,"Waterbury city, Connecticut",2298,2321,553,312,261,386,213,346,162,353,250,372,370,637,526,688,693,806,1058,1035,338,270,91,207,207,207,346
"G10077580","2017","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",17009,16304,257,389,82,665,268,442,321,573,242,327,206,634,605,1272,967,2565,1997,2834,1007,489,53,109,0,0,705,"Wilmington city, Delaware",1598,1660,194,298,80,355,297,227,259,425,246,241,235,418,303,549,405,868,836,991,499,409,63,131,198,198,395
"G11050000","2017","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",162670,158550,3537,1137,2034,4086,1700,2510,1925,442,950,1388,1058,2239,2834,3287,1646,6951,9671,21101,17073,31726,18435,11956,7337,3527,4120,"Washington city, District of Columbia",3861,4053,1163,552,652,1397,762,848,823,373,444,629,602,860,883,878,542,1285,1551,2234,2198,2420,1924,1715,1208,886,883
"G12000410","2017","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12007300","2017","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boca Raton city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12007875","2017","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boynton Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12008150","2017","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brandon CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12010275","2017","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cape Coral city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12012875","2017","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",20391,19795,74,0,191,116,210,222,0,24,146,892,1087,1017,778,1889,2735,1955,2034,2109,2465,1632,178,41,0,0,596,"Clearwater city, Florida",1922,1944,119,226,223,207,253,230,226,39,238,596,671,534,515,849,985,974,884,657,713,600,153,67,226,226,367
"G12014400","2017","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coral Springs city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12016475","2017","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Davie town, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12016525","2017","FL",,,"Florida","12",,,"Daytona Beach city","16525",,,,,,,,,,,,,,,,"16000US1216525","Daytona Beach city, Florida",14999,14589,374,138,531,687,355,162,98,308,109,571,140,593,1186,1569,503,2687,1581,2167,792,38,0,0,0,0,410,"Daytona Beach city, Florida",1686,1635,314,165,336,472,339,210,112,234,84,373,92,363,531,740,339,777,730,798,523,64,226,226,226,226,270
"G12016725","2017","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deerfield Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12017100","2017","FL",,,"Florida","12",,,"Delray Beach city","17100",,,,,,,,,,,,,,,,"16000US1217100","Delray Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delray Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12017200","2017","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deltona city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12024000","2017","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",33690,33193,333,147,679,436,181,0,74,169,133,268,210,906,587,995,1009,3401,3556,7417,4608,4434,2612,837,60,141,497,"Fort Lauderdale city, Florida",2678,2688,438,243,267,234,162,226,120,222,151,281,254,520,493,598,591,992,1170,1657,1290,1354,875,558,100,167,308
"G12024125","2017","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",15503,15392,194,183,60,226,223,271,118,154,328,522,559,1595,363,751,798,2206,1490,3285,478,376,940,64,0,208,111,"Fort Myers city, Florida",1792,1798,251,195,117,237,194,203,123,186,228,290,333,767,247,508,475,785,725,1117,251,198,498,108,226,335,106
"G12025175","2017","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",30626,30044,282,414,240,0,0,225,486,722,1628,1204,2352,1470,2227,1309,2340,4296,2670,4614,1493,1256,615,81,0,120,582,"Gainesville city, Florida",2310,2275,339,362,296,226,226,213,353,412,875,690,907,509,769,512,846,1113,1078,1402,723,500,507,100,226,106,279
"G12030000","2017","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",42468,40327,0,952,1210,736,645,705,282,559,256,766,720,947,745,2151,1194,4440,4570,9538,6160,3317,308,126,0,0,2141,"Hialeah city, Florida",2719,2636,226,503,563,466,380,398,290,571,260,538,377,469,387,912,635,1158,1171,1774,1365,1125,364,208,226,226,813
"G12032000","2017","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hollywood city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12032275","2017","FL",,,"Florida","12",,,"Homestead city","32275",,,,,,,,,,,,,,,,"16000US1232275","Homestead city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Homestead city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12035000","2017","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",153354,146426,2667,1878,1032,2285,1258,2014,1067,3693,2456,5386,5619,8682,8607,8079,10951,19451,17574,24714,11849,5948,474,549,193,0,6928,"Jacksonville city, Florida",5434,5395,877,874,635,672,642,809,497,1150,919,1479,1327,1885,1640,1678,2012,2646,2350,2919,2126,1404,294,557,311,226,1830
"G12036100","2017","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kendall CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12036950","2017","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"16000US1236950","Kissimmee city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kissimmee city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12038250","2017","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",18769,18176,89,44,119,318,86,229,41,415,249,1418,589,1302,861,1750,1301,2338,2696,2410,1535,120,266,0,0,0,593,"Lakeland city, Florida",2137,2052,88,73,115,285,101,233,68,244,203,587,337,507,463,695,606,827,725,948,690,143,258,226,226,226,364
"G12039425","2017","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Largo city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12039550","2017","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderhill city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12039925","2017","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lehigh Acres CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12043975","2017","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",12260,12204,0,204,91,66,0,154,162,605,314,37,459,296,764,578,926,1576,1833,2234,748,329,57,390,97,284,56,"Melbourne city, Florida",1740,1728,226,197,79,106,226,257,103,401,296,61,264,202,372,370,617,594,704,820,380,235,92,484,87,365,106
"G12045000","2017","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",120803,118346,1311,3057,2848,2129,1264,630,676,665,1354,2733,2007,2362,3096,5864,4165,12004,9750,19969,10019,18345,7855,2237,2745,1261,2457,"Miami city, Florida",4823,4809,820,918,959,757,542,368,362,399,560,1173,768,1018,893,1411,963,1866,1646,2534,1752,2281,1802,803,1074,584,830
"G12045025","2017","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",28318,27790,53,310,1215,512,469,93,0,174,41,265,480,163,73,277,1181,978,2308,5398,3568,6139,1892,1122,739,340,528,"Miami Beach city, Florida",2168,2165,89,248,654,293,451,150,226,287,70,439,434,266,119,324,772,749,861,1174,912,1376,731,586,426,262,331
"G12045060","2017","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miami Gardens city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12045975","2017","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miramar city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12049675","2017","FL",,,"Florida","12",,,"North Port city","49675",,,,,,,,,,,,,,,,"16000US1249675","North Port city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Port city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12053000","2017","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",71674,70807,23,482,199,481,466,325,196,759,604,1061,1028,1038,2351,2791,2606,9956,10047,19454,9629,5430,1248,492,141,0,867,"Orlando city, Florida",3380,3326,39,354,202,429,330,221,200,516,474,488,543,553,1069,1060,940,2005,1836,2603,2030,1211,686,254,163,226,475
"G12054000","2017","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"16000US1254000","Palm Bay city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Palm Bay city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12054200","2017","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"16000US1254200","Palm Coast city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Palm Coast city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12055775","2017","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"16000US1255775","Pembroke Pines city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pembroke Pines city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12056825","2017","FL",,,"Florida","12",,,"Pine Hills CDP","56825",,,,,,,,,,,,,,,,"16000US1256825","Pine Hills CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pine Hills CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12057425","2017","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"16000US1257425","Plantation city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plantation city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12057900","2017","FL",,,"Florida","12",,,"Poinciana CDP","57900",,,,,,,,,,,,,,,,"16000US1257900","Poinciana CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poinciana CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12058050","2017","FL",,,"Florida","12",,,"Pompano Beach city","58050",,,,,,,,,,,,,,,,"16000US1258050","Pompano Beach city, Florida",19882,19303,248,27,52,0,110,147,0,415,29,291,107,442,347,541,303,2138,1513,5965,2847,1882,1131,417,100,251,579,"Pompano Beach city, Florida",1676,1614,282,45,86,226,189,176,226,489,47,249,135,307,266,472,247,734,670,1220,730,819,607,395,118,241,472
"G12058350","2017","FL",,,"Florida","12",,,"Port Charlotte CDP","58350",,,,,,,,,,,,,,,,"16000US1258350","Port Charlotte CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Port Charlotte CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12058715","2017","FL",,,"Florida","12",,,"Port St. Lucie city","58715",,,,,,,,,,,,,,,,"16000US1258715","Port St. Lucie city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Port St. Lucie city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12060950","2017","FL",,,"Florida","12",,,"Riverview CDP","60950",,,,,,,,,,,,,,,,"16000US1260950","Riverview CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Riverview CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12063000","2017","FL",,,"Florida","12",,,"St. Petersburg city","63000",,,,,,,,,,,,,,,,"16000US1263000","St. Petersburg city, Florida",42874,41335,0,0,735,154,432,606,190,212,805,1377,1453,2227,2019,1568,2255,4687,5040,7943,4301,2727,1594,414,377,219,1539,"St. Petersburg city, Florida",2790,2728,226,226,356,177,350,418,198,173,462,732,662,798,866,521,975,1410,1434,1215,1085,1016,597,277,272,211,629
"G12068350","2017","FL",,,"Florida","12",,,"Spring Hill CDP","68350",,,,,,,,,,,,,,,,"16000US1268350","Spring Hill CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Spring Hill CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12069700","2017","FL",,,"Florida","12",,,"Sunrise city","69700",,,,,,,,,,,,,,,,"16000US1269700","Sunrise city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sunrise city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12070600","2017","FL",,,"Florida","12",,,"Tallahassee city","70600",,,,,,,,,,,,,,,,"16000US1270600","Tallahassee city, Florida",43961,43110,67,0,430,529,289,212,398,1008,1321,1777,1700,3447,2685,3481,2501,5432,5091,6313,2876,2038,1314,0,131,70,851,"Tallahassee city, Florida",3017,2980,85,226,426,532,297,305,320,544,591,714,636,1020,875,1129,957,1218,1167,1416,971,885,696,226,223,115,470
"G12070675","2017","FL",,,"Florida","12",,,"Tamarac city","70675",,,,,,,,,,,,,,,,"16000US1270675","Tamarac city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tamarac city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12071000","2017","FL",,,"Florida","12",,,"Tampa city","71000",,,,,,,,,,,,,,,,"16000US1271000","Tampa city, Florida",82103,78973,1035,972,423,1544,672,638,978,234,1042,1656,2800,3484,2707,4934,5695,8599,7430,13594,6760,8862,2913,1161,351,489,3130,"Tampa city, Florida",4192,4232,574,540,268,651,416,428,517,220,625,554,894,965,881,1394,1372,1764,1463,1964,1427,1454,949,695,226,459,964
"G12071569","2017","FL",,,"Florida","12",,,"The Hammocks CDP","71569",,,,,,,,,,,,,,,,"16000US1271569","The Hammocks CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Hammocks CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
