GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,S5EE001,S5EE002,S5EE003,S5EE004,S5EE005,S5EE006,S5EE007,S5EE008,S5EE009,S5EE010,S5EE011,S5EE012,S5EE013,S5EE014,S5EE015,S5EE016,S5EE017,S5EE018,S5EE019,S5EE020,S5EE021,S5EE022,S5EE023,S5EE024,NAME_M,S5EM001,S5EM002,S5EM003,S5EM004,S5EM005,S5EM006,S5EM007,S5EM008,S5EM009,S5EM010,S5EM011,S5EM012,S5EM013,S5EM014,S5EM015,S5EM016,S5EM017,S5EM018,S5EM019,S5EM020,S5EM021,S5EM022,S5EM023,S5EM024
"G06082590","2013","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Victorville city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06082954","2013","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",20297,19817,0,0,77,453,261,297,43,675,892,793,1621,1859,1210,1457,1347,2429,1404,3629,841,286,243,480,"Visalia city, California",2072,2071,203,203,125,355,202,318,73,450,651,458,1126,696,580,746,712,991,658,1239,514,312,293,331
"G06082996","2013","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Vista city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06083346","2013","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Walnut Creek city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06084200","2013","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",,,,,,,,,,,,,,,,,,,,,,,,,"West Covina city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06084550","2013","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",12642,12155,0,80,209,122,189,253,116,484,85,100,86,238,218,0,47,683,342,1761,3109,2941,1092,487,"Westminster city, California",1238,1210,203,94,242,102,204,250,110,358,103,120,142,240,235,203,80,290,213,594,798,785,570,264
"G06085292","2013","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Whittier city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06086832","2013","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06086972","2013","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",9706,9593,0,92,0,80,442,39,91,36,184,117,699,662,713,938,210,1585,1202,1373,484,506,140,113,"Yuba City city, California",1179,1166,203,108,203,103,347,66,162,60,235,119,407,347,486,531,190,546,573,661,274,286,115,142
"G08003455","2013","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",12796,12638,231,373,96,206,84,289,231,0,260,40,34,332,415,1169,657,2045,716,2270,1560,1128,502,158,"Arvada city, Colorado",1205,1192,159,411,116,176,94,289,292,195,196,66,56,237,329,536,341,720,407,704,783,498,445,130
"G08004000","2013","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",55857,54650,380,229,161,311,453,200,138,72,923,1742,3225,2933,4807,3660,4099,8355,5309,9270,5430,2422,531,1207,"Aurora city, Colorado",2933,2946,255,303,190,199,349,170,227,82,447,591,952,799,1316,1004,984,1347,1250,1429,1203,838,266,492
"G08007850","2013","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",22181,21711,0,0,116,147,112,165,174,156,109,0,49,447,777,456,1350,2718,2044,3431,2964,3237,3259,470,"Boulder city, Colorado",2009,2002,195,195,135,244,150,144,174,156,134,195,80,336,573,312,756,959,833,749,929,894,897,365
"G08012815","2013","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,"Centennial city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,
"G08016000","2013","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",70254,69275,19,289,515,611,693,394,1064,1953,3118,5032,4847,5405,5280,3244,3853,6592,5782,10490,4417,3766,1911,979,"Colorado Springs city, Colorado",3015,3031,34,238,297,344,524,334,527,667,1043,1457,1174,1180,1302,835,1079,1365,1241,1805,893,937,764,513
"G08020000","2013","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",133858,131322,1694,1045,1838,2971,1128,1138,912,2297,1818,5645,5979,7282,7986,10288,9162,14681,11233,17890,11411,10320,4604,2536,"Denver city, Colorado",4593,4433,807,506,612,726,518,468,441,758,755,1276,1292,1484,1539,1816,1998,2124,1776,2399,1906,1504,1021,846
"G08027425","2013","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",24622,24230,67,68,140,195,277,49,279,279,560,258,733,480,1067,1720,1410,3810,2503,4644,2977,1919,795,392,"Fort Collins city, Colorado",1869,1863,112,113,142,202,218,83,238,226,305,189,417,392,453,596,526,894,956,1030,901,692,377,269
"G08032155","2013","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",14295,13853,91,152,155,428,309,181,282,529,1248,1376,745,1893,819,723,849,1322,794,824,698,299,136,442,"Greeley city, Colorado",1224,1191,115,206,125,276,290,186,306,360,476,616,386,611,454,395,438,488,376,346,484,211,112,296
"G08036410","2013","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,"Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,
"G08043000","2013","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",25526,24616,95,0,537,246,60,242,63,150,301,696,693,848,1367,1341,1627,4738,2573,4347,2775,1647,270,910,"Lakewood city, Colorado",1897,1945,158,195,465,335,78,295,100,244,203,514,467,566,733,494,628,1106,896,1108,731,593,212,395
"G08045970","2013","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",11866,11183,191,209,0,356,79,137,39,141,71,54,240,755,1133,578,350,1338,1680,2098,1093,641,0,683,"Longmont city, Colorado",1394,1261,238,261,195,332,91,129,64,126,116,92,205,454,591,302,274,551,686,630,473,486,195,585
"G08046465","2013","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",12223,11931,54,0,0,0,226,47,0,165,0,1022,788,544,924,1051,531,2025,1266,2215,559,430,84,292,"Loveland city, Colorado",1552,1498,89,195,195,195,359,78,195,270,195,742,582,407,523,498,406,802,631,863,499,330,97,300
"G08062000","2013","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",18936,18129,521,19,646,341,456,574,677,1868,1340,1993,1316,1017,1378,944,509,2005,607,1288,221,272,137,807,"Pueblo city, Colorado",2055,2056,384,41,399,238,335,272,447,747,532,679,533,473,605,577,327,793,350,590,215,318,162,409
"G08077290","2013","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,"Thornton city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,
"G08083835","2013","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",14397,14039,0,0,0,130,41,84,121,0,172,483,369,770,439,869,845,2160,2094,2907,1314,977,264,358,"Westminster city, Colorado",1477,1473,195,195,195,132,68,102,124,195,163,319,401,443,382,596,429,746,676,682,496,497,192,269
"G09008000","2013","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",29447,28237,1044,399,319,1044,201,153,229,277,334,839,358,907,1180,1006,1492,3768,3813,6467,2664,1299,444,1210,"Bridgeport city, Connecticut",2328,2386,534,254,373,462,166,129,211,216,285,398,257,428,659,478,691,839,946,1160,1102,615,387,607
"G09018430","2013","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,"Danbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,
"G09037000","2013","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",35359,34896,1775,459,1285,967,538,1429,469,1168,612,1081,947,1849,2650,3079,2618,5736,2577,3921,894,601,241,463,"Hartford city, Connecticut",2177,2193,784,351,573,385,418,675,276,462,370,567,539,726,896,910,712,1298,870,961,474,290,196,256
"G09050370","2013","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",15852,15492,265,432,371,578,359,388,94,414,388,365,266,1115,1298,1217,1188,2820,1725,1982,186,0,41,360,"New Britain city, Connecticut",1820,1778,234,346,206,340,225,337,156,303,285,229,237,552,541,500,503,912,593,591,156,201,67,242
"G09052000","2013","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",35673,34368,771,896,864,1229,351,260,464,489,1242,776,695,509,1478,2317,1080,3369,4353,7800,2358,2172,895,1305,"New Haven city, Connecticut",2164,1995,403,629,479,505,242,273,388,304,584,387,456,327,567,947,567,945,1110,1448,659,741,377,746
"G09055990","2013","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",12827,12342,76,96,145,450,142,213,0,479,160,330,162,95,88,752,187,582,312,1506,1956,2827,1784,485,"Norwalk city, Connecticut",1656,1546,95,156,112,429,114,228,201,511,207,336,165,126,71,676,232,382,226,657,748,670,613,346
"G09073000","2013","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",22148,21388,137,0,343,656,186,166,541,509,169,105,235,234,0,454,573,740,361,3069,4334,5416,3160,760,"Stamford city, Connecticut",2272,2289,223,201,250,450,172,198,614,324,275,171,290,296,201,334,386,497,324,850,1099,1224,874,358
"G09080000","2013","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",23699,23082,107,885,284,563,495,525,151,644,1178,888,1265,2585,2252,1780,1959,4483,1743,929,255,111,0,617,"Waterbury city, Connecticut",1993,1941,108,405,265,276,291,318,127,400,583,492,664,847,802,678,754,1204,621,447,280,135,201,395
"G10077580","2013","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",15625,14570,325,559,464,352,338,413,350,150,131,327,691,800,649,828,992,2634,1698,1887,402,522,58,1055,"Wilmington city, Delaware",1642,1578,331,314,308,305,238,285,306,130,126,344,293,447,377,329,490,832,777,792,246,307,61,703
"G11050000","2013","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",161138,156499,3605,1801,2538,4899,1989,1084,1439,1426,837,2116,1728,2669,3574,5092,4063,11565,10421,19635,17241,27487,31290,4639,"Washington city, District of Columbia",4370,4214,904,660,857,977,707,438,546,632,309,773,677,974,987,1138,1050,1611,1639,2107,2338,2647,2523,1075
"G12000410","2013","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12007300","2013","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Boca Raton city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12007875","2013","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Boynton Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12008150","2013","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",18681,18242,0,92,0,0,0,0,421,0,43,0,406,547,1080,1094,978,3823,2862,4588,1905,403,0,439,"Brandon CDP, Florida",2214,2156,218,78,218,218,218,218,483,218,71,218,422,293,614,620,470,1037,1091,1170,756,319,218,295
"G12010275","2013","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",18256,17172,0,85,0,83,0,0,45,0,159,264,700,1529,664,1158,1449,3003,2787,2530,1112,1468,136,1084,"Cape Coral city, Florida",1797,1837,218,139,218,141,218,218,74,218,141,262,433,684,332,591,703,799,881,855,752,815,169,700
"G12012875","2013","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",19903,18902,0,310,87,449,81,76,101,246,406,1344,1661,930,2180,2050,1223,2248,1610,2027,1445,232,196,1001,"Clearwater city, Florida",2040,2077,218,306,146,447,135,125,129,276,337,592,741,384,931,745,511,884,600,1041,767,135,162,649
"G12014400","2013","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Coral Springs city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12016475","2013","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Davie town, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12016725","2013","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Deerfield Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12017200","2013","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Deltona city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12024000","2013","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",33810,32309,437,448,191,542,0,68,119,58,112,455,335,1811,1709,1536,1920,4573,4114,5424,3074,3013,2370,1501,"Fort Lauderdale city, Florida",2726,2665,492,414,212,341,218,113,142,70,141,355,233,753,696,534,757,1399,1097,1405,932,1062,945,768
"G12024125","2013","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",11613,11295,155,40,114,26,271,497,486,319,757,397,900,1715,877,980,570,961,369,462,724,211,464,318,"Fort Myers city, Florida",1425,1410,223,67,147,43,230,453,330,253,356,247,412,791,365,473,296,486,255,248,367,163,457,223
"G12025175","2013","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",32143,31512,66,465,106,299,152,230,862,546,2735,3916,3786,2233,1825,2516,1655,3175,2178,3118,711,656,282,631,"Gainesville city, Florida",2501,2520,118,409,178,246,157,213,537,364,908,1204,1067,762,716,803,852,865,946,805,488,412,227,460
"G12030000","2013","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",38787,37378,215,1818,957,552,390,965,110,477,321,598,976,1179,1146,2533,2907,5046,7224,6777,2164,950,73,1409,"Hialeah city, Florida",2672,2575,195,698,509,359,341,464,179,297,268,394,585,608,645,909,867,1224,1430,1228,693,586,62,534
"G12032000","2013","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",22590,21356,0,85,222,0,0,39,158,0,170,531,263,644,2002,1246,1751,2620,3478,4649,1032,2308,158,1234,"Hollywood city, Florida",2069,2066,218,99,265,218,218,64,204,218,223,397,309,445,654,556,625,774,981,1205,565,887,160,746
"G12035000","2013","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",128752,123014,2215,781,1457,2484,798,964,1260,3164,3153,7406,9056,10226,7877,7423,8687,17607,10441,17756,6472,2566,1221,5738,"Jacksonville city, Florida",5282,5124,744,436,571,793,464,544,484,900,921,1763,1739,1881,1810,1565,1241,2485,2072,2569,1669,904,477,1419
"G12036100","2013","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Kendall CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12036950","2013","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"16000US1236950","Kissimmee city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Kissimmee city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12038250","2013","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",16354,16185,244,178,456,211,154,369,424,325,1311,852,801,1220,1819,1311,1783,1614,1236,1036,488,34,319,169,"Lakeland city, Florida",1695,1689,247,211,280,217,171,256,303,199,541,466,401,559,746,493,758,627,488,383,349,59,373,204
"G12039425","2013","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",14575,14283,0,0,0,127,0,43,0,96,157,711,1463,1588,1536,1208,1953,2389,547,1140,453,333,539,292,"Largo city, Florida",1849,1862,218,218,218,157,218,71,218,117,175,549,685,738,536,650,764,920,339,610,482,335,389,250
"G12039550","2013","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Lauderhill city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12039925","2013","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",13838,13252,59,97,293,51,0,72,0,186,39,403,1189,1888,1671,2003,1247,2352,852,346,358,92,54,586,"Lehigh Acres CDP, Florida",1547,1452,100,132,363,84,218,118,218,194,64,239,533,646,787,609,585,664,363,251,331,113,88,412
"G12043975","2013","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",16087,15856,254,0,161,810,459,155,193,93,764,907,712,1993,1237,1974,1446,2081,1168,632,351,353,113,231,"Melbourne city, Florida",1886,1830,299,218,151,820,451,148,256,111,459,474,589,917,532,714,730,1037,570,389,282,471,184,234
"G12045000","2013","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",106251,103942,924,3039,3119,2094,532,1371,1182,1263,2114,4155,3677,5004,5292,4932,5564,13870,10710,11363,7464,9618,6655,2309,"Miami city, Florida",4239,4193,473,867,810,581,320,666,514,527,716,972,906,1183,1250,1165,1361,2091,1622,1702,1378,1490,1220,794
"G12045025","2013","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",28289,27003,0,350,330,934,327,484,209,213,457,155,63,757,681,1427,949,3228,2870,5179,2854,3195,2341,1286,"Miami Beach city, Florida",1953,1891,218,200,229,504,290,366,207,338,370,175,107,539,443,666,512,843,812,1341,652,908,647,606
"G12045060","2013","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",11042,10637,154,180,173,170,189,96,0,77,73,225,0,240,276,223,399,2083,2199,1689,1320,871,0,405,"Miami Gardens city, Florida",1304,1260,193,149,288,192,147,162,218,125,120,185,218,227,227,194,275,753,761,738,621,624,218,243
"G12045975","2013","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Miramar city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12053000","2013","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",66480,65557,31,817,246,485,69,879,404,849,412,2533,3186,3876,4788,5408,5913,8671,7939,10294,4523,3229,1005,923,"Orlando city, Florida",3468,3426,53,494,250,387,89,503,411,528,286,885,1159,1044,1303,1550,1595,1808,1759,2024,1058,1050,439,442
"G12054000","2013","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"16000US1254000","Palm Bay city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Palm Bay city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12054200","2013","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"16000US1254200","Palm Coast city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Palm Coast city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12055775","2013","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"16000US1255775","Pembroke Pines city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Pembroke Pines city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12056825","2013","FL",,,"Florida","12",,,"Pine Hills CDP","56825",,,,,,,,,,,,,,,,"16000US1256825","Pine Hills CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Pine Hills CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12057425","2013","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"16000US1257425","Plantation city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Plantation city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12058050","2013","FL",,,"Florida","12",,,"Pompano Beach city","58050",,,,,,,,,,,,,,,,"16000US1258050","Pompano Beach city, Florida",20030,19418,0,229,43,81,0,57,132,129,101,182,218,472,694,1016,1502,2950,2919,4099,1736,1372,1486,612,"Pompano Beach city, Florida",2005,2016,218,251,71,92,218,97,218,155,165,209,197,309,396,530,650,799,947,990,560,693,672,399
"G12058715","2013","FL",,,"Florida","12",,,"Port St. Lucie city","58715",,,,,,,,,,,,,,,,"16000US1258715","Port St. Lucie city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Port St. Lucie city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12060950","2013","FL",,,"Florida","12",,,"Riverview CDP","60950",,,,,,,,,,,,,,,,"16000US1260950","Riverview CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Riverview CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12063000","2013","FL",,,"Florida","12",,,"St. Petersburg city","63000",,,,,,,,,,,,,,,,"16000US1263000","St. Petersburg city, Florida",46448,44412,53,334,150,266,642,518,938,720,1306,2319,2100,4217,2925,3451,2506,6794,3647,7470,1131,2307,618,2036,"St. Petersburg city, Florida",3207,3032,89,267,168,336,427,406,542,485,646,772,733,1190,854,1043,859,1140,1062,1742,697,896,373,738
"G12068350","2013","FL",,,"Florida","12",,,"Spring Hill CDP","68350",,,,,,,,,,,,,,,,"16000US1268350","Spring Hill CDP, Florida",11975,11005,0,0,0,0,0,0,231,215,0,585,390,1214,1385,897,1367,2313,1519,557,100,157,75,970,"Spring Hill CDP, Florida",1637,1524,218,218,218,218,218,218,277,162,218,377,281,558,571,598,727,882,568,390,130,192,122,565
"G12069700","2013","FL",,,"Florida","12",,,"Sunrise city","69700",,,,,,,,,,,,,,,,"16000US1269700","Sunrise city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Sunrise city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12070600","2013","FL",,,"Florida","12",,,"Tallahassee city","70600",,,,,,,,,,,,,,,,"16000US1270600","Tallahassee city, Florida",45538,44961,206,265,486,359,672,886,935,2261,2167,3040,3387,3838,4758,2953,3402,4089,2364,4979,2004,1112,798,577,"Tallahassee city, Florida",2422,2422,193,211,395,354,498,552,453,755,757,1262,1018,1217,1248,807,1007,1072,772,1293,730,547,355,308
"G12071000","2013","FL",,,"Florida","12",,,"Tampa city","71000",,,,,,,,,,,,,,,,"16000US1271000","Tampa city, Florida",73084,70846,1090,1450,1125,1931,1021,951,1095,1398,1929,2702,4015,4656,3641,4912,3233,8121,5674,10023,4542,4583,2754,2238,"Tampa city, Florida",3903,3743,558,544,544,759,485,633,540,600,863,817,1044,1234,1116,1391,999,1578,1205,1435,1023,1163,809,737
"G12072145","2013","FL",,,"Florida","12",,,"Town 'n' Country CDP","72145",,,,,,,,,,,,,,,,"16000US1272145","Town 'n' Country CDP, Florida",12634,12453,39,0,0,0,0,0,0,540,629,0,221,353,585,442,553,2860,2019,2535,1207,241,229,181,"Town 'n' Country CDP, Florida",1611,1609,64,218,218,218,218,218,218,502,566,218,215,304,361,335,370,1044,838,956,790,360,332,151
"G12076582","2013","FL",,,"Florida","12",,,"Weston city","76582",,,,,,,,,,,,,,,,"16000US1276582","Weston city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Weston city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12076600","2013","FL",,,"Florida","12",,,"West Palm Beach city","76600",,,,,,,,,,,,,,,,"16000US1276600","West Palm Beach city, Florida",20986,20253,195,104,459,222,0,44,149,51,295,480,262,1516,1110,981,687,2335,2848,3514,1721,2286,994,733,"West Palm Beach city, Florida",2135,2139,198,105,238,224,218,75,143,82,283,279,203,732,587,462,490,945,686,1149,678,877,586,457
"G13001052","2013","GA",,,"Georgia","13",,,"Albany city","01052",,,,,,,,,,,,,,,,"16000US1301052","Albany city, Georgia",17619,16950,724,270,595,814,996,962,1017,2382,2454,1951,1039,1721,984,332,82,198,0,172,197,60,0,669,"Albany city, Georgia",1570,1538,479,176,357,389,410,440,497,758,937,888,563,708,498,399,143,188,214,185,259,110,214,361
