GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,S5EE001,S5EE002,S5EE003,S5EE004,S5EE005,S5EE006,S5EE007,S5EE008,S5EE009,S5EE010,S5EE011,S5EE012,S5EE013,S5EE014,S5EE015,S5EE016,S5EE017,S5EE018,S5EE019,S5EE020,S5EE021,S5EE022,S5EE023,S5EE024,NAME_M,S5EM001,S5EM002,S5EM003,S5EM004,S5EM005,S5EM006,S5EM007,S5EM008,S5EM009,S5EM010,S5EM011,S5EM012,S5EM013,S5EM014,S5EM015,S5EM016,S5EM017,S5EM018,S5EM019,S5EM020,S5EM021,S5EM022,S5EM023,S5EM024
"G04028380","2013","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,"Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,
"G04046000","2013","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",67819,66212,520,195,352,171,368,389,707,786,2974,5296,5935,7640,6214,5900,4590,6948,4796,7267,2049,1938,1177,1607,"Mesa city, Arizona",3500,3412,391,150,248,102,408,305,479,332,847,1141,1118,1344,1258,1276,1118,1227,1160,1314,672,749,406,512
"G04054050","2013","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",19408,19170,160,92,0,44,0,42,124,144,60,507,153,963,1016,2161,1491,2909,2648,3357,1170,856,1273,238,"Peoria city, Arizona",1830,1827,265,109,203,72,203,68,206,238,100,383,110,454,567,802,505,971,1061,997,645,516,645,202
"G04055000","2013","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",246186,239222,973,917,1849,2100,849,3270,3806,9995,12211,19867,17922,18463,17988,20422,17061,29497,17826,25843,8199,7121,3043,6964,"Phoenix city, Arizona",6172,6043,509,507,655,689,383,942,996,1532,1992,2291,2028,2384,2326,2060,2146,2804,2726,2298,1526,1462,1087,1274
"G04064210","2013","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,"San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,
"G04065000","2013","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",34474,33139,295,0,154,155,41,151,0,203,46,878,945,606,1309,1753,1884,4315,4853,6652,2844,2913,3142,1335,"Scottsdale city, Arizona",2826,2701,323,203,215,180,68,188,203,240,77,409,574,415,552,912,787,1081,1353,1350,943,871,1030,518
"G04071510","2013","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,"Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,
"G04073000","2013","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",38282,36625,655,0,488,0,80,206,89,417,548,1317,1095,3850,2980,1904,3933,6501,3436,5216,2530,880,500,1657,"Tempe city, Arizona",2748,2889,505,203,471,203,135,192,141,454,326,611,518,1400,961,765,1351,1455,1120,1094,968,461,315,706
"G04077000","2013","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",109725,104875,1046,857,511,1048,1736,1738,4219,6231,8354,10647,9856,7393,7418,7600,4977,9942,7240,10062,1591,1274,1135,4850,"Tucson city, Arizona",3721,3669,582,587,329,474,654,617,990,1336,1362,2048,1755,1579,1326,1493,1299,1789,1430,1605,755,695,547,1212
"G04085540","2013","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",12899,12060,152,0,85,347,30,543,269,838,215,282,1135,1097,906,881,875,1842,385,1505,492,129,52,839,"Yuma city, Arizona",1743,1676,241,203,61,328,51,529,259,511,249,214,660,537,398,561,486,725,390,566,370,201,84,398
