GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ADC4E001,ADC4E002,ADC4E003,ADC4E004,ADC4E005,ADC4E006,ADC4E007,ADC4E008,ADC4E009,ADC4E010,ADC4E011,ADC4E012,ADC4E013,ADC4E014,ADC4E015,ADC4E016,ADC4E017,ADC4E018,ADC4E019,ADC4E020,ADC4E021,ADC4E022,ADC4E023,ADC4E024,ADC4E025,ADC4E026,ADC4E027,NAME_M,ADC4M001,ADC4M002,ADC4M003,ADC4M004,ADC4M005,ADC4M006,ADC4M007,ADC4M008,ADC4M009,ADC4M010,ADC4M011,ADC4M012,ADC4M013,ADC4M014,ADC4M015,ADC4M016,ADC4M017,ADC4M018,ADC4M019,ADC4M020,ADC4M021,ADC4M022,ADC4M023,ADC4M024,ADC4M025,ADC4M026,ADC4M027
"G06082996","2015","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vista city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06083346","2015","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walnut Creek city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06084200","2015","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Covina city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06084550","2015","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",13217,12639,50,0,204,455,216,205,331,283,323,39,0,0,43,168,211,475,694,2297,2736,2911,705,238,0,55,578,"Westminster city, California",1264,1262,81,201,220,344,145,267,287,231,330,65,201,201,71,119,221,349,361,645,718,641,354,149,201,91,443
"G06085292","2015","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Whittier city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06086832","2015","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06086972","2015","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yuba City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08003455","2015","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",13787,13109,0,0,96,181,44,88,90,136,224,144,315,272,224,612,1016,837,2162,2083,1901,1924,163,289,308,0,678,"Arvada city, Colorado",1685,1658,193,193,143,166,71,143,104,107,244,177,319,333,170,445,520,356,915,981,857,741,158,268,220,193,359
"G08004000","2015","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",54543,53697,190,292,631,339,40,448,427,46,456,572,263,2063,1999,2755,3232,7188,6734,13592,7274,4082,679,153,121,121,846,"Aurora city, Colorado",2499,2453,201,299,375,247,65,287,376,78,306,356,262,725,745,865,1070,1403,1319,1610,1329,925,418,111,93,95,431
"G08007850","2015","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boulder city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08009280","2015","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"16000US0809280","Broomfield city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broomfield city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08012815","2015","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Centennial city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08016000","2015","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",77843,76304,403,201,127,1003,137,383,369,1233,2458,4366,3296,5158,6026,3633,4739,9689,6860,13655,6304,4570,1251,173,209,61,1539,"Colorado Springs city, Colorado",3191,3287,257,251,163,471,132,314,268,548,777,1375,947,1096,1502,967,1134,1892,1457,2069,1306,1285,583,219,240,100,559
"G08020000","2015","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",145315,143047,1907,640,2294,4610,1020,1124,1278,1721,958,1481,2141,4827,4354,6097,6349,15043,15035,28635,16725,16701,6244,2108,564,1191,2268,"Denver city, Colorado",3783,3848,899,288,856,955,668,531,558,742,490,610,769,1168,973,1146,1210,2434,1861,2330,2256,2114,1215,719,337,728,880
"G08027425","2015","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",28699,28217,0,128,41,218,154,163,44,132,622,226,880,574,352,551,1443,3400,3484,5729,4690,3984,1324,78,0,0,482,"Fort Collins city, Colorado",2017,1960,193,155,68,165,93,193,73,130,362,209,446,454,203,407,584,1042,772,1169,1269,1074,585,71,193,193,264
"G08032155","2015","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",13994,13387,174,117,137,241,118,311,179,273,565,933,929,553,1011,878,999,1490,997,1886,862,586,148,0,0,0,607,"Greeley city, Colorado",1336,1311,237,146,118,161,120,268,111,219,338,498,436,320,431,456,456,536,451,625,472,422,166,193,193,193,274
"G08036410","2015","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08043000","2015","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",27140,26712,0,73,68,236,88,0,136,421,0,316,519,794,1247,985,1362,2671,2537,6764,4896,2278,903,38,380,0,428,"Lakewood city, Colorado",2062,2074,193,90,84,262,129,193,120,354,193,272,318,324,727,473,518,947,762,1232,1238,763,416,63,455,193,267
"G08045970","2015","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Longmont city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08046465","2015","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Loveland city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08062000","2015","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",19314,18548,360,643,441,144,862,372,1224,1369,1239,1733,1395,2180,1576,1214,390,1258,570,823,387,277,0,0,0,91,766,"Pueblo city, Colorado",1666,1653,283,481,257,120,500,272,494,549,563,556,535,770,672,616,316,471,369,507,278,192,193,193,193,154,416
"G08077290","2015","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thornton city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08083835","2015","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Westminster city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09008000","2015","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",29108,28457,470,821,439,761,514,300,101,608,368,688,362,564,686,639,1388,4779,3475,7714,2530,938,203,45,64,0,651,"Bridgeport city, Connecticut",2188,2156,278,479,268,390,351,264,161,353,282,464,268,325,409,379,703,1070,721,1560,826,546,202,74,106,198,382
"G09018430","2015","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Danbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09037000","2015","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",34878,34196,769,592,748,821,298,656,441,590,967,595,1652,1625,2082,2587,2788,7247,3443,4122,1410,594,129,0,0,40,682,"Hartford city, Connecticut",1887,1833,379,390,345,327,248,391,292,331,420,413,628,530,658,862,723,1283,911,1011,598,384,118,198,198,65,609
"G09050370","2015","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",16587,15969,447,335,168,314,532,310,42,55,482,789,684,678,834,1924,1162,2379,2090,1969,677,98,0,0,0,0,618,"New Britain city, Connecticut",1478,1472,316,263,139,304,288,276,68,92,347,466,395,416,454,750,492,753,709,686,427,157,198,198,198,198,314
"G09052000","2015","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",36575,36123,433,495,543,1987,956,553,509,431,292,390,620,1140,789,1735,1772,4723,4082,6870,3365,3723,549,127,39,0,452,"New Haven city, Connecticut",2311,2236,252,344,484,682,638,460,336,408,236,338,384,534,527,674,686,1126,875,1135,724,813,220,106,64,198,283
"G09055990","2015","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Norwalk city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09073000","2015","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",22148,21721,0,115,79,251,536,391,60,238,486,259,183,45,0,40,100,881,585,2815,4310,4509,2897,1582,1162,197,427,"Stamford city, Connecticut",1689,1679,198,188,131,299,322,436,102,178,472,197,299,77,198,65,91,545,370,1074,1055,1019,845,741,562,160,363
"G09080000","2015","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",22112,21238,645,0,278,721,235,466,572,418,903,1073,1283,1323,1035,1577,2056,3366,1963,2274,594,334,40,0,82,0,874,"Waterbury city, Connecticut",1593,1480,474,198,312,550,200,306,380,354,486,479,545,417,466,625,732,948,745,779,583,293,67,198,135,198,480
"G10077580","2015","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",15808,15469,953,485,240,717,119,69,496,503,350,544,448,764,808,895,947,2622,1395,1446,1000,421,98,149,0,0,339,"Wilmington city, Delaware",1542,1529,581,347,280,293,189,83,366,304,315,322,348,455,372,397,451,765,664,584,478,191,161,130,190,190,205
"G11050000","2015","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",169232,163821,3466,1190,2140,5225,2380,1428,2244,1461,1036,2239,1828,2930,2185,2887,2457,9132,10531,21863,17380,32498,18781,8920,5476,4144,5411,"Washington city, District of Columbia",4150,4174,971,547,784,1132,658,536,780,692,642,710,688,923,811,822,666,1665,1726,2641,1993,2511,1962,1380,1091,1201,1090
"G12000410","2015","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12007300","2015","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boca Raton city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12007875","2015","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boynton Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12008150","2015","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brandon CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12010275","2015","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cape Coral city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12012875","2015","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",19412,19145,0,58,359,46,120,470,39,67,246,1415,885,1395,687,1741,1028,2864,759,3872,1451,1233,186,0,0,224,267,"Clearwater city, Florida",2237,2172,217,100,237,79,145,314,63,111,265,808,573,791,322,704,456,967,403,1195,603,521,192,217,217,190,181
"G12014400","2015","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coral Springs city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12016475","2015","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Davie town, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12016725","2015","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deerfield Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12017100","2015","FL",,,"Florida","12",,,"Delray Beach city","17100",,,,,,,,,,,,,,,,"16000US1217100","Delray Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delray Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12017200","2015","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deltona city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12024000","2015","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",34718,33871,0,127,520,65,49,284,0,242,154,533,602,887,779,1341,2773,3863,3206,5538,5223,5025,1632,729,222,77,847,"Fort Lauderdale city, Florida",2464,2404,217,148,414,106,82,372,217,241,184,365,340,465,553,717,854,1091,835,1357,1199,1246,689,453,193,128,380
"G12024125","2015","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",15624,15453,83,146,319,210,631,0,125,95,1122,592,892,989,928,1164,1124,1918,2054,1252,770,814,225,0,0,0,171,"Fort Myers city, Florida",1739,1751,142,175,411,181,421,217,168,104,603,391,530,600,454,693,627,633,766,634,458,419,181,217,217,217,169
"G12025175","2015","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",28500,28345,306,435,297,55,0,296,1004,879,1951,1795,2302,2412,2367,1588,1891,2585,2088,3170,1495,837,436,109,47,0,155,"Gainesville city, Florida",2552,2553,322,314,211,88,217,272,519,452,798,758,865,736,876,644,715,828,724,963,657,622,248,141,56,217,138
"G12030000","2015","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",38716,37339,181,462,806,702,339,738,257,490,536,1256,414,1193,1199,1654,2121,5322,5141,10470,2200,1625,233,0,0,0,1377,"Hialeah city, Florida",2870,2798,217,261,400,350,276,451,256,311,299,597,365,631,548,561,647,1321,1328,1636,716,613,294,217,217,217,556
"G12032000","2015","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",25286,24278,0,262,0,247,0,24,0,0,0,155,308,749,707,715,1032,4765,3795,5559,3074,2017,632,237,0,0,1008,"Hollywood city, Florida",2197,2159,217,215,217,317,217,40,217,217,217,157,289,476,455,466,480,1174,1308,1394,796,728,393,184,217,217,457
"G12032275","2015","FL",,,"Florida","12",,,"Homestead city","32275",,,,,,,,,,,,,,,,"16000US1232275","Homestead city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Homestead city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12035000","2015","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",141793,138180,2489,1794,1111,1713,973,1004,1658,3505,3048,5799,6289,10534,9635,10048,9579,17705,14601,20340,9835,5078,890,225,327,0,3613,"Jacksonville city, Florida",6151,5985,1094,1157,523,641,700,447,590,1181,830,1295,1424,2148,1760,1566,1683,2301,2226,2418,1823,1346,526,202,263,217,929
"G12036100","2015","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kendall CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12036950","2015","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"16000US1236950","Kissimmee city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kissimmee city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12038250","2015","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",18254,17781,208,148,263,71,397,271,169,400,930,1258,1155,2262,1067,899,1118,2530,1956,1220,945,186,293,0,35,0,473,"Lakeland city, Florida",1691,1663,227,235,171,74,379,207,204,336,607,484,530,1012,412,451,413,848,710,534,413,160,249,217,58,217,290
"G12039425","2015","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",16781,16421,0,56,64,250,134,192,0,122,271,628,826,1000,2264,1357,1805,3432,1000,1918,736,295,0,71,0,0,360,"Largo city, Florida",1658,1636,217,89,110,245,210,242,217,144,322,452,468,498,814,595,916,1001,427,702,406,213,217,117,217,217,275
"G12039550","2015","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderhill city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12039925","2015","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",13475,13226,0,192,42,0,41,527,181,263,367,250,570,900,1027,1597,1929,2646,1635,772,195,46,46,0,0,0,249,"Lehigh Acres CDP, Florida",1611,1617,217,218,72,217,65,514,164,282,348,209,446,445,469,715,761,779,633,413,169,76,79,217,217,217,227
"G12043975","2015","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",14485,13937,0,398,281,210,443,47,179,88,225,500,316,1259,973,953,1108,3052,1780,1041,646,189,0,0,249,0,548,"Melbourne city, Florida",1680,1590,217,342,291,199,428,78,157,68,177,340,210,660,436,583,599,914,791,611,430,228,217,217,150,217,399
"G12045000","2015","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",123244,119642,1384,2472,2945,3588,994,1936,1272,1411,2257,3320,2602,5323,4454,6560,5614,13669,11588,15173,9194,13335,6688,2194,1048,621,3602,"Miami city, Florida",4215,4355,539,863,756,918,470,764,619,581,787,883,807,1043,983,1451,1216,1744,1800,1981,1654,1850,1490,620,611,329,1016
"G12045025","2015","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",25370,24755,84,326,571,447,583,481,456,135,0,100,158,214,354,753,726,1754,1959,4936,2743,4103,1944,1077,548,303,615,"Miami Beach city, Florida",2243,2172,141,259,427,295,496,352,399,169,217,167,219,250,352,488,367,646,811,1018,785,1195,736,556,354,232,359
"G12045060","2015","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miami Gardens city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12045975","2015","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miramar city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12053000","2015","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",74006,72668,158,483,484,511,55,341,535,553,1352,1443,2263,3412,3357,6066,6051,11888,9232,13693,6410,3860,427,0,0,94,1338,"Orlando city, Florida",3128,3096,264,321,387,424,68,269,488,494,622,470,756,1237,1009,1364,1383,2072,1718,1856,1639,1202,284,217,217,119,602
"G12054000","2015","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"16000US1254000","Palm Bay city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Palm Bay city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12054200","2015","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"16000US1254200","Palm Coast city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Palm Coast city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12055775","2015","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"16000US1255775","Pembroke Pines city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pembroke Pines city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12056825","2015","FL",,,"Florida","12",,,"Pine Hills CDP","56825",,,,,,,,,,,,,,,,"16000US1256825","Pine Hills CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pine Hills CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12057425","2015","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"16000US1257425","Plantation city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plantation city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12057900","2015","FL",,,"Florida","12",,,"Poinciana CDP","57900",,,,,,,,,,,,,,,,"16000US1257900","Poinciana CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poinciana CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12058050","2015","FL",,,"Florida","12",,,"Pompano Beach city","58050",,,,,,,,,,,,,,,,"16000US1258050","Pompano Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pompano Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12058715","2015","FL",,,"Florida","12",,,"Port St. Lucie city","58715",,,,,,,,,,,,,,,,"16000US1258715","Port St. Lucie city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Port St. Lucie city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12060950","2015","FL",,,"Florida","12",,,"Riverview CDP","60950",,,,,,,,,,,,,,,,"16000US1260950","Riverview CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Riverview CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12063000","2015","FL",,,"Florida","12",,,"St. Petersburg city","63000",,,,,,,,,,,,,,,,"16000US1263000","St. Petersburg city, Florida",44749,42905,441,799,529,160,393,598,338,791,981,1568,1752,2467,2767,3232,2457,6930,4790,5489,3704,1555,343,416,405,0,1844,"St. Petersburg city, Florida",2959,3081,504,542,300,200,579,422,393,423,493,689,764,820,868,916,714,1422,1220,1085,1063,584,256,315,435,217,672
"G12068350","2015","FL",,,"Florida","12",,,"Spring Hill CDP","68350",,,,,,,,,,,,,,,,"16000US1268350","Spring Hill CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Spring Hill CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12069700","2015","FL",,,"Florida","12",,,"Sunrise city","69700",,,,,,,,,,,,,,,,"16000US1269700","Sunrise city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sunrise city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12070600","2015","FL",,,"Florida","12",,,"Tallahassee city","70600",,,,,,,,,,,,,,,,"16000US1270600","Tallahassee city, Florida",45039,44490,635,378,510,351,57,532,827,1733,1222,2733,1376,3925,4081,2975,4287,4790,3612,5890,2016,1832,728,0,0,0,549,"Tallahassee city, Florida",3042,3043,501,232,326,270,96,480,442,711,467,1069,546,928,1276,777,1074,1232,964,1352,729,708,379,217,217,217,258
"G12071000","2015","FL",,,"Florida","12",,,"Tampa city","71000",,,,,,,,,,,,,,,,"16000US1271000","Tampa city, Florida",75622,73229,551,1371,569,1120,677,1357,709,1217,2043,2727,3128,3866,5097,4709,3433,9941,7272,9903,5183,5474,1490,711,604,77,2393,"Tampa city, Florida",3201,3170,321,552,439,542,470,555,350,543,641,835,853,901,1231,963,984,1633,1285,1604,902,1035,651,461,363,127,809
"G12071625","2015","FL",,,"Florida","12",,,"The Villages CDP","71625",,,,,,,,,,,,,,,,"16000US1271625","The Villages CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Villages CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12072145","2015","FL",,,"Florida","12",,,"Town 'n' Country CDP","72145",,,,,,,,,,,,,,,,"16000US1272145","Town 'n' Country CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Town 'n' Country CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12076582","2015","FL",,,"Florida","12",,,"Weston city","76582",,,,,,,,,,,,,,,,"16000US1276582","Weston city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Weston city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
