GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ADC4E001,ADC4E002,ADC4E003,ADC4E004,ADC4E005,ADC4E006,ADC4E007,ADC4E008,ADC4E009,ADC4E010,ADC4E011,ADC4E012,ADC4E013,ADC4E014,ADC4E015,ADC4E016,ADC4E017,ADC4E018,ADC4E019,ADC4E020,ADC4E021,ADC4E022,ADC4E023,ADC4E024,ADC4E025,ADC4E026,ADC4E027,NAME_M,ADC4M001,ADC4M002,ADC4M003,ADC4M004,ADC4M005,ADC4M006,ADC4M007,ADC4M008,ADC4M009,ADC4M010,ADC4M011,ADC4M012,ADC4M013,ADC4M014,ADC4M015,ADC4M016,ADC4M017,ADC4M018,ADC4M019,ADC4M020,ADC4M021,ADC4M022,ADC4M023,ADC4M024,ADC4M025,ADC4M026,ADC4M027
"G04027820","2015","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",38445,37457,53,559,150,585,138,315,247,1051,2120,3288,3015,2557,2260,2996,2434,4860,2938,4718,2078,829,266,0,0,0,988,"Glendale city, Arizona",2413,2336,89,477,198,380,189,276,172,412,681,873,856,831,788,754,757,1114,920,967,657,370,377,201,201,201,451
"G04028380","2015","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04046000","2015","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",72725,70446,132,192,259,270,193,426,313,1066,1594,3722,6206,6655,7221,6513,5003,10697,5771,8639,2511,1573,1062,270,158,0,2279,"Mesa city, Arizona",3368,3327,165,215,194,296,259,352,272,713,694,819,1388,1295,1530,1412,1312,1665,1178,1650,677,564,408,268,203,201,749
"G04054050","2015","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",16102,15641,0,67,40,116,0,0,32,309,93,258,230,448,441,927,1590,2622,2287,3371,957,1007,265,214,330,37,461,"Peoria city, Arizona",1533,1500,201,109,66,141,201,201,55,369,150,229,236,327,295,385,657,898,902,837,494,436,202,143,205,61,273
"G04055000","2015","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",265207,256672,1191,1005,1309,2960,1227,1646,3121,6848,10637,17130,16601,20431,17422,17581,16736,35735,26587,35678,11743,8286,1826,527,264,181,8535,"Phoenix city, Arizona",7146,7145,578,422,593,875,510,598,926,1325,1659,1974,1754,2171,2638,2493,2301,2722,2823,3144,1733,1488,682,292,151,176,1343
"G04064210","2015","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04065000","2015","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",38302,36700,0,0,0,77,177,0,209,95,0,92,965,1017,1221,1478,2143,4985,4569,8248,4606,3667,1731,547,637,236,1602,"Scottsdale city, Arizona",2867,2747,201,201,201,126,233,201,143,109,201,151,672,448,598,682,954,1230,1158,1720,1037,1090,548,448,405,178,598
"G04071510","2015","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04073000","2015","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",40087,39564,128,76,0,275,173,65,523,253,435,1173,1730,1549,2510,3646,3070,5503,5499,6863,3070,2164,791,0,27,41,523,"Tempe city, Arizona",2741,2753,213,125,201,261,179,108,496,214,355,653,729,762,889,1138,947,1493,1405,1254,857,820,570,201,46,66,268
"G04077000","2015","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",108428,104128,497,732,780,1071,1145,1468,3042,5878,7813,11324,7945,9504,10291,5714,5597,10473,6225,9558,2792,1087,609,75,268,240,4300,"Tucson city, Arizona",3876,4138,422,484,430,434,546,612,922,1195,1407,1518,1298,1469,1733,1008,1189,2007,1138,1543,829,431,400,125,229,267,1148
"G04085540","2015","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",13827,12384,100,173,265,130,0,190,569,596,862,655,770,1923,501,526,659,1525,1111,1356,186,210,77,0,0,0,1443,"Yuma city, Arizona",1829,1766,160,189,261,145,201,267,467,467,403,408,440,895,315,320,394,723,440,649,201,187,95,201,201,201,722
"G05023290","2015","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",21115,20576,0,162,0,312,493,506,1380,1985,1727,3742,1142,778,1216,1134,950,2208,751,1104,287,76,334,118,0,171,539,"Fayetteville city, Arkansas",1975,1954,190,176,190,304,491,498,530,708,681,1249,612,455,493,518,593,930,369,571,360,128,249,139,190,267,388
