GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFUEE001,AFUEE002,AFUEE003,AFUEE004,AFUEE005,AFUEE006,AFUEE007,AFUEE008,AFUEE009,AFUEE010,AFUEE011,AFUEE012,AFUEE013,AFUEE014,AFUEE015,AFUEE016,AFUEE017,AFUEE018,AFUEE019,AFUEE020,AFUEE021,AFUEE022,AFUEE023,AFUEE024,AFUEE025,AFUEE026,AFUEE027,NAME_M,AFUEM001,AFUEM002,AFUEM003,AFUEM004,AFUEM005,AFUEM006,AFUEM007,AFUEM008,AFUEM009,AFUEM010,AFUEM011,AFUEM012,AFUEM013,AFUEM014,AFUEM015,AFUEM016,AFUEM017,AFUEM018,AFUEM019,AFUEM020,AFUEM021,AFUEM022,AFUEM023,AFUEM024,AFUEM025,AFUEM026,AFUEM027
"G04028380","2016","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04046000","2016","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",70693,68511,232,0,118,444,259,308,283,1309,336,2564,4329,4877,3711,6819,4856,11609,8973,10252,3400,2848,454,306,224,0,2182,"Mesa city, Arizona",3305,3225,250,204,191,232,244,229,282,500,256,749,1187,1042,1064,1445,1109,1698,1576,1717,819,892,293,183,246,204,650
"G04054050","2016","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",16974,16062,0,0,0,93,48,124,0,223,449,437,48,458,350,863,847,1913,2430,3456,1526,2161,283,41,175,137,912,"Peoria city, Arizona",1739,1789,204,204,204,161,83,121,204,260,398,336,84,357,212,415,329,723,924,1008,547,843,202,68,192,164,331
"G04055000","2016","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",261044,252583,1580,1081,1144,2615,1514,2273,1930,5342,8196,15698,12840,18161,17663,18775,16024,33783,26841,40888,15134,6836,2400,1003,506,356,8461,"Phoenix city, Arizona",6714,6538,728,648,453,773,653,873,776,1051,1363,1901,1779,2130,2138,2157,2324,3436,2692,3219,2321,1141,705,569,309,403,1465
"G04064210","2016","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04065000","2016","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",39056,37065,0,53,370,49,126,74,75,0,0,463,487,231,652,1599,1480,4290,3217,9735,4533,4781,2674,957,1162,57,1991,"Scottsdale city, Arizona",2981,3096,204,90,357,81,211,120,125,204,204,294,460,221,452,799,591,1054,1022,1606,1099,1150,969,613,607,93,812
"G04071510","2016","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04073000","2016","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",41134,39688,313,0,0,0,291,30,330,167,482,648,832,1000,1302,2087,3483,6223,3927,7958,5159,4081,658,307,0,410,1446,"Tempe city, Arizona",2960,2973,331,204,204,204,435,48,387,166,488,349,470,545,663,785,1097,1301,1113,1562,1364,1115,500,328,204,420,607
"G04077000","2016","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",102511,98999,679,554,849,1458,762,1376,3059,5631,7087,8623,9903,8427,7108,7414,4762,9588,6073,9262,3664,1756,718,117,0,129,3512,"Tucson city, Arizona",3779,3799,478,361,531,566,390,832,1038,1418,1660,1596,1774,1656,1520,1307,1152,1645,1394,1762,1043,668,350,140,204,100,1051
"G04085540","2016","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",13622,13187,0,340,593,686,94,260,212,751,347,894,1005,886,1519,1413,407,1338,1163,908,178,158,35,0,0,0,435,"Yuma city, Arizona",1721,1712,204,365,463,467,113,223,221,565,235,497,675,484,786,1116,309,635,598,682,203,122,58,204,204,204,366
"G05015190","2016","AR",,,"Arkansas","05",,,"Conway city","15190",,,,,,,,,,,,,,,,"16000US0515190","Conway city, Arkansas",11824,11401,152,0,209,71,104,363,266,228,907,1404,773,1343,925,1442,390,1709,917,118,80,0,0,0,0,0,423,"Conway city, Arkansas",1269,1345,155,197,174,87,106,507,221,187,552,628,362,573,536,640,351,650,600,140,134,197,197,197,197,197,353
"G05023290","2016","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",22158,21591,0,143,138,68,0,589,529,990,2171,2289,2973,1726,1475,1533,1043,2363,1361,955,572,606,67,0,0,0,567,"Fayetteville city, Arkansas",1620,1648,197,168,140,109,197,505,364,435,857,803,1030,687,638,785,669,770,689,556,500,532,113,197,197,197,528
"G05024550","2016","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",17892,17219,193,265,421,419,606,545,2254,1604,2154,998,1842,1651,742,2385,272,391,192,64,221,0,0,0,0,0,673,"Fort Smith city, Arkansas",2070,2021,243,342,408,273,504,332,847,577,660,535,744,877,482,1035,226,308,265,91,305,197,197,197,197,197,326
"G05035710","2016","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",14418,13478,111,40,144,83,485,0,420,915,1190,1644,418,2552,1387,652,747,735,435,1107,76,233,104,0,0,0,940,"Jonesboro city, Arkansas",1673,1659,136,71,196,106,423,197,329,550,764,1038,288,954,831,470,493,495,291,821,129,190,104,197,197,197,715
"G05041000","2016","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",38901,37496,0,569,559,1079,536,359,319,1298,2596,2785,3617,3093,4076,2562,3016,3860,1481,3757,994,559,138,243,0,0,1405,"Little Rock city, Arkansas",2882,2797,197,413,553,555,489,316,270,779,1042,1012,1177,1149,1331,1306,1200,1157,747,1281,498,520,111,197,197,197,555
"G05050450","2016","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",16537,16358,286,248,388,664,73,419,648,675,1280,1474,1317,1202,921,1749,772,2004,301,1633,62,83,159,0,0,0,179,"North Little Rock city, Arkansas",1644,1643,262,211,438,568,79,368,593,512,697,835,574,713,538,826,533,1024,299,953,53,137,269,197,197,197,147
"G05060410","2016","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"16000US0560410","Rogers city, Arkansas",8952,8676,0,157,0,151,108,347,168,850,910,193,366,1388,607,248,466,1113,709,134,671,45,0,45,0,0,276,"Rogers city, Arkansas",1210,1204,197,245,197,144,173,313,146,467,539,254,288,582,414,282,289,577,489,130,546,75,197,76,197,197,201
"G05066080","2016","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",15450,15141,204,0,117,132,343,664,480,1629,2035,1261,1448,901,857,1895,781,423,702,895,83,291,0,0,0,0,309,"Springdale city, Arkansas",1715,1713,282,197,193,225,455,696,456,963,900,717,931,568,611,831,555,293,513,709,137,375,197,197,197,197,240
"G06000562","2016","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",14727,14421,55,0,260,130,175,0,136,172,267,165,41,50,0,42,193,433,322,1510,2354,4530,2074,902,527,83,306,"Alameda city, California",1197,1167,90,206,209,219,175,206,132,227,233,172,67,82,206,69,245,431,291,512,680,805,657,427,398,73,250
"G06000884","2016","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
