GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFUEE001,AFUEE002,AFUEE003,AFUEE004,AFUEE005,AFUEE006,AFUEE007,AFUEE008,AFUEE009,AFUEE010,AFUEE011,AFUEE012,AFUEE013,AFUEE014,AFUEE015,AFUEE016,AFUEE017,AFUEE018,AFUEE019,AFUEE020,AFUEE021,AFUEE022,AFUEE023,AFUEE024,AFUEE025,AFUEE026,AFUEE027,NAME_M,AFUEM001,AFUEM002,AFUEM003,AFUEM004,AFUEM005,AFUEM006,AFUEM007,AFUEM008,AFUEM009,AFUEM010,AFUEM011,AFUEM012,AFUEM013,AFUEM014,AFUEM015,AFUEM016,AFUEM017,AFUEM018,AFUEM019,AFUEM020,AFUEM021,AFUEM022,AFUEM023,AFUEM024,AFUEM025,AFUEM026,AFUEM027
"G06082996","2016","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vista city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06083346","2016","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walnut Creek city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06084200","2016","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Covina city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06084550","2016","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",14101,13882,0,0,0,301,607,144,178,404,95,0,43,290,84,277,93,387,799,2689,2096,3205,2042,148,0,0,219,"Westminster city, California",1318,1264,206,206,206,225,431,183,147,300,110,206,70,309,69,266,110,273,467,822,586,750,762,142,206,206,258
"G06085292","2016","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Whittier city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06086832","2016","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06086972","2016","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yuba City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08003455","2016","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arvada city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08004000","2016","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",54603,53847,135,367,349,239,97,265,333,34,157,420,272,1255,776,931,1191,5259,6260,14394,11224,8141,1109,387,39,213,756,"Aurora city, Colorado",2868,2843,222,296,275,218,124,274,275,56,158,328,244,579,385,341,550,1554,1352,1828,1713,1516,394,304,67,234,365
"G08007850","2016","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boulder city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08009280","2016","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"16000US0809280","Broomfield city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broomfield city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08012815","2016","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Centennial city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08016000","2016","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",78479,77283,457,113,275,784,873,1247,776,872,1007,2184,2695,4354,5260,4023,5415,9787,9861,14244,6053,4129,2024,368,120,362,1196,"Colorado Springs city, Colorado",3803,3687,413,138,193,426,892,585,426,544,437,789,802,1129,950,1100,1460,1332,1636,2110,1152,1073,749,197,113,434,492
"G08020000","2016","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",146005,142935,1459,861,1458,2340,1738,1399,366,1349,1811,2164,1473,1859,3204,5252,4090,13441,12793,26972,20549,27644,7381,2118,883,331,3070,"Denver city, Colorado",5051,5005,712,514,580,844,716,680,249,871,599,977,733,799,1018,1241,1153,1876,1940,2835,2570,2722,1581,751,420,224,1077
"G08027425","2016","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",29752,29154,28,81,163,252,148,231,85,93,448,802,614,731,491,374,1379,2131,2819,6962,5654,5115,431,0,0,122,598,"Fort Collins city, Colorado",2123,2089,49,132,161,215,144,205,101,114,277,486,372,380,278,274,618,722,865,1182,1467,1135,277,195,195,99,443
"G08032155","2016","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",15958,15667,101,0,94,364,261,755,187,381,212,559,801,881,847,770,1159,1681,1121,2170,2138,801,81,201,0,102,291,"Greeley city, Colorado",1612,1579,123,195,114,288,299,435,139,275,172,377,358,398,454,407,517,572,383,522,792,404,91,229,195,171,317
"G08036410","2016","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08043000","2016","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lakewood city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08045970","2016","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",13216,12963,0,114,330,0,0,199,38,218,181,353,146,371,130,189,665,893,1313,3402,2613,1293,411,104,0,0,253,"Longmont city, Colorado",1271,1270,195,137,309,195,195,236,64,217,218,263,216,366,126,126,341,530,548,942,854,580,316,173,195,195,177
"G08046465","2016","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Loveland city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08062000","2016","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",19042,18363,41,369,302,554,420,426,431,796,969,1990,1263,1655,1811,1393,981,1611,709,1664,741,176,0,61,0,0,679,"Pueblo city, Colorado",1784,1765,69,286,184,309,389,351,251,592,610,656,477,660,738,514,381,729,320,705,491,128,195,99,195,195,390
"G08077290","2016","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thornton city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08083835","2016","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Westminster city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09008000","2016","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",30479,29741,338,630,558,800,596,685,97,484,455,394,350,606,1599,1131,2050,4537,2834,5924,3208,1971,365,0,129,0,738,"Bridgeport city, Connecticut",1984,1956,273,450,315,440,352,474,95,308,330,300,282,337,699,501,775,1170,835,1336,887,694,402,200,182,200,440
"G09018430","2016","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Danbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09037000","2016","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",36854,36084,913,882,1476,913,408,891,507,1091,713,660,841,1880,1855,2986,2296,5913,3938,5264,1611,931,79,36,0,0,770,"Hartford city, Connecticut",2349,2358,381,601,731,419,255,385,346,498,354,310,468,702,632,860,738,1248,971,1190,503,470,90,61,200,200,382
"G09050370","2016","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",18993,18302,366,135,362,76,473,366,0,127,279,310,649,1290,672,1238,791,2910,4230,3393,404,231,0,0,0,0,691,"New Britain city, Connecticut",1379,1424,342,222,282,62,415,275,200,157,312,344,357,604,467,459,404,736,1081,961,309,283,200,200,200,200,382
"G09052000","2016","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",36220,35771,898,685,344,1227,421,686,547,302,342,524,308,1096,734,1139,1692,4292,4636,7025,4555,3641,532,69,38,38,449,"New Haven city, Connecticut",2593,2611,568,496,315,627,429,374,414,320,282,511,246,693,488,568,778,1275,1100,1598,933,922,261,81,62,64,296
"G09055990","2016","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Norwalk city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09073000","2016","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",23087,22545,0,141,0,206,383,222,0,85,0,139,155,645,41,291,0,536,1121,4203,2659,5476,3259,1746,379,858,542,"Stamford city, Connecticut",2053,2152,200,162,200,197,417,344,200,138,200,176,183,508,68,233,200,399,680,1180,961,1342,931,613,271,623,357
"G09080000","2016","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",23445,22807,331,249,51,1051,558,811,606,413,370,744,369,880,1390,1765,2125,4277,2793,2937,425,632,0,30,0,0,638,"Waterbury city, Connecticut",1853,1732,210,239,84,482,413,410,555,278,320,365,227,511,507,625,788,1149,869,954,243,496,200,52,200,200,392
"G10077580","2016","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",14573,14334,234,302,365,541,265,298,263,231,125,302,390,881,1674,468,1190,1961,1957,1652,473,524,216,22,0,0,239,"Wilmington city, Delaware",1342,1291,175,239,279,313,208,272,266,229,123,237,257,493,715,294,647,685,673,661,255,309,193,37,193,193,240
"G11050000","2016","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",170865,165747,4415,1760,2306,5229,2850,1611,2191,1468,749,1967,1005,3550,2034,3922,2817,9327,11434,21401,17732,30341,17178,8945,6678,4837,5118,"Washington city, District of Columbia",4218,4429,1195,740,713,1287,995,520,782,683,353,648,372,837,700,1033,866,1641,1711,2038,1978,2662,2087,1567,1170,922,1212
"G12000410","2016","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12007300","2016","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boca Raton city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12007875","2016","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boynton Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12008150","2016","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brandon CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12010275","2016","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",17838,17172,0,0,0,0,166,79,0,0,0,410,148,849,653,1354,899,2666,1766,3356,3220,811,341,272,149,33,666,"Cape Coral city, Florida",2435,2377,221,221,221,221,273,131,221,221,221,343,178,382,438,550,634,1090,898,1044,1070,588,241,246,249,55,451
"G12012875","2016","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",19346,18847,0,314,0,68,324,40,177,222,648,304,844,2097,1448,1157,1729,2480,1211,2417,1670,1424,91,51,131,0,499,"Clearwater city, Florida",1713,1690,221,216,221,113,187,65,177,271,665,235,532,1082,665,617,720,803,514,745,596,568,106,85,212,221,238
"G12014400","2016","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coral Springs city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12016475","2016","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Davie town, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12016525","2016","FL",,,"Florida","12",,,"Daytona Beach city","16525",,,,,,,,,,,,,,,,"16000US1216525","Daytona Beach city, Florida",16596,15885,0,324,281,422,373,27,0,515,205,737,696,1777,1537,957,1715,2757,753,1786,680,343,0,0,0,0,711,"Daytona Beach city, Florida",1958,1905,221,348,206,280,292,43,221,370,215,489,473,744,815,556,796,821,486,828,529,258,221,221,221,221,477
"G12016725","2016","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deerfield Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12017100","2016","FL",,,"Florida","12",,,"Delray Beach city","17100",,,,,,,,,,,,,,,,"16000US1217100","Delray Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delray Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12017200","2016","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deltona city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12024000","2016","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",35160,34750,183,67,658,0,369,364,211,360,67,254,463,390,412,1662,1347,3362,5673,5986,3973,5413,2448,849,135,104,410,"Fort Lauderdale city, Florida",2680,2699,302,109,419,221,314,347,255,399,109,219,371,259,367,745,574,1050,1444,1369,964,1416,916,439,158,121,260
"G12024125","2016","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",15661,15110,233,137,504,201,141,85,158,174,798,622,1134,981,300,920,801,2176,1799,1698,988,371,608,237,0,44,551,"Fort Myers city, Florida",1499,1559,211,173,471,245,152,88,147,176,507,365,542,631,287,635,392,841,774,719,314,195,567,375,221,72,393
"G12025175","2016","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",31315,30041,253,184,330,177,0,332,973,785,866,2093,2554,2162,2402,2405,1945,2817,2362,3698,2150,848,229,166,217,93,1274,"Gainesville city, Florida",2745,2796,278,305,260,216,221,335,544,589,479,873,803,791,920,819,770,1001,716,1273,947,639,191,266,201,50,499
"G12030000","2016","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",42603,41490,165,696,673,1481,221,1099,136,526,412,977,447,824,729,1610,1923,5175,6508,9700,5692,2221,275,0,0,0,1113,"Hialeah city, Florida",2179,2152,136,377,445,578,217,544,174,375,398,545,335,459,428,477,704,1230,1290,1418,1134,760,268,221,221,221,595
"G12032000","2016","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",24763,23851,0,0,97,184,0,26,0,47,72,163,296,565,671,926,1304,3656,2700,5113,3465,3496,407,294,0,369,912,"Hollywood city, Florida",2136,2091,221,221,126,201,221,43,221,81,118,201,268,375,408,550,619,1097,855,1293,1020,1044,357,210,221,455,442
"G12032275","2016","FL",,,"Florida","12",,,"Homestead city","32275",,,,,,,,,,,,,,,,"16000US1232275","Homestead city, Florida",12553,12125,201,53,151,146,118,112,372,605,248,302,338,326,576,766,590,1136,1105,1919,1270,1552,239,0,0,0,428,"Homestead city, Florida",1430,1431,246,88,182,247,194,189,360,488,312,302,333,340,417,536,446,702,788,767,707,875,184,221,221,221,339
"G12035000","2016","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",144011,138698,1555,559,1273,2820,885,1557,1670,1452,3172,6703,6418,9243,7532,10900,8161,19534,16907,21731,11076,4011,896,441,202,0,5313,"Jacksonville city, Florida",5221,5229,604,286,466,864,494,567,728,597,1152,1582,1581,1607,1579,1917,1510,2754,2318,2981,2087,1204,510,288,233,221,1264
"G12036100","2016","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kendall CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12036950","2016","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"16000US1236950","Kissimmee city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kissimmee city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12038250","2016","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",17020,16377,168,78,26,0,0,98,187,306,190,854,1156,1287,1089,1162,940,2379,2220,3098,273,447,0,419,0,0,643,"Lakeland city, Florida",1605,1587,207,94,43,221,221,100,189,256,130,398,439,564,465,597,476,721,897,969,190,204,221,371,221,221,369
"G12039425","2016","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",16506,16144,261,43,468,0,0,0,0,0,454,421,605,855,1236,1330,1124,3829,1932,2446,694,134,233,0,79,0,362,"Largo city, Florida",1805,1875,207,71,519,221,221,221,221,221,352,432,556,414,665,525,668,1178,770,960,583,117,278,221,135,221,297
"G12039550","2016","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",11525,11313,0,37,72,0,0,0,63,339,83,0,0,226,184,415,613,1826,1895,2463,1498,883,433,103,111,69,212,"Lauderhill city, Florida",1454,1421,221,62,126,221,221,221,103,280,140,221,221,225,223,373,413,745,742,961,711,500,337,167,89,61,209
"G12039925","2016","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lehigh Acres CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12043975","2016","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",13211,12818,112,294,0,168,284,111,181,43,483,619,572,997,1042,589,1041,1301,2441,1078,693,562,47,0,160,0,393,"Melbourne city, Florida",1667,1609,150,327,221,145,298,134,149,70,516,473,284,590,527,250,607,569,977,583,346,351,83,221,147,221,312
"G12045000","2016","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",120794,118851,1654,2771,2447,2549,1420,904,1172,533,1339,2412,1949,4392,3673,5338,6323,15641,11084,17465,10103,14331,6196,3360,761,1034,1943,"Miami city, Florida",4619,4698,579,722,731,915,599,533,581,418,737,820,835,1082,1073,1440,1366,2352,1736,2411,2054,2337,1509,878,478,664,682
"G12045025","2016","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",28154,27822,0,514,886,1141,191,284,467,70,0,52,320,231,309,184,536,1747,2124,4908,4749,4864,2753,1408,42,42,332,"Miami Beach city, Florida",2048,2022,221,274,512,577,152,220,480,117,221,85,399,225,403,198,340,836,749,1239,1095,1039,971,548,72,67,348
"G12045060","2016","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miami Gardens city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12045975","2016","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miramar city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12053000","2016","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",75365,74189,715,523,420,533,241,693,248,472,415,1057,1102,2775,2447,5404,4017,12253,9482,15437,8479,6109,1150,91,0,126,1176,"Orlando city, Florida",3471,3530,608,382,322,506,231,482,280,380,277,505,429,1090,743,1448,1188,2006,2159,1937,1661,1530,592,151,221,214,535
"G12054000","2016","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"16000US1254000","Palm Bay city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Palm Bay city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12054200","2016","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"16000US1254200","Palm Coast city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Palm Coast city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12055775","2016","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"16000US1255775","Pembroke Pines city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pembroke Pines city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12056825","2016","FL",,,"Florida","12",,,"Pine Hills CDP","56825",,,,,,,,,,,,,,,,"16000US1256825","Pine Hills CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pine Hills CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12057425","2016","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"16000US1257425","Plantation city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plantation city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12058050","2016","FL",,,"Florida","12",,,"Pompano Beach city","58050",,,,,,,,,,,,,,,,"16000US1258050","Pompano Beach city, Florida",19174,18648,26,182,0,0,0,52,0,193,469,245,83,601,434,387,897,2399,2083,6143,1958,1589,185,469,79,174,526,"Pompano Beach city, Florida",1654,1631,43,220,221,221,221,88,221,197,357,238,133,376,351,341,597,732,681,1253,779,677,214,318,126,139,318
"G12058715","2016","FL",,,"Florida","12",,,"Port St. Lucie city","58715",,,,,,,,,,,,,,,,"16000US1258715","Port St. Lucie city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Port St. Lucie city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12060950","2016","FL",,,"Florida","12",,,"Riverview CDP","60950",,,,,,,,,,,,,,,,"16000US1260950","Riverview CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Riverview CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12063000","2016","FL",,,"Florida","12",,,"St. Petersburg city","63000",,,,,,,,,,,,,,,,"16000US1263000","St. Petersburg city, Florida",45355,43578,262,345,253,384,354,22,344,645,389,1454,2037,2049,2623,4349,3416,6565,4227,6698,3061,3034,637,231,91,108,1777,"St. Petersburg city, Florida",2738,2659,315,239,271,263,238,37,225,534,236,769,881,724,880,1020,890,1469,1160,1304,850,803,453,193,73,125,737
"G12068350","2016","FL",,,"Florida","12",,,"Spring Hill CDP","68350",,,,,,,,,,,,,,,,"16000US1268350","Spring Hill CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Spring Hill CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12069700","2016","FL",,,"Florida","12",,,"Sunrise city","69700",,,,,,,,,,,,,,,,"16000US1269700","Sunrise city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sunrise city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12070600","2016","FL",,,"Florida","12",,,"Tallahassee city","70600",,,,,,,,,,,,,,,,"16000US1270600","Tallahassee city, Florida",46686,45339,862,390,555,35,99,509,539,533,1175,2568,3216,2409,4045,3568,3209,5784,5497,4424,2619,2392,796,115,0,0,1347,"Tallahassee city, Florida",2658,2601,609,360,565,60,165,319,378,353,645,824,989,767,1165,1075,1065,1150,1276,1019,1064,964,452,126,221,221,692
"G12070675","2016","FL",,,"Florida","12",,,"Tamarac city","70675",,,,,,,,,,,,,,,,"16000US1270675","Tamarac city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tamarac city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12071000","2016","FL",,,"Florida","12",,,"Tampa city","71000",,,,,,,,,,,,,,,,"16000US1271000","Tampa city, Florida",79904,77555,528,1494,1132,1250,344,347,691,1057,2077,1602,3607,2520,2208,6592,4814,7560,9099,13949,6358,6918,2651,337,287,133,2349,"Tampa city, Florida",3383,3311,380,753,552,700,271,234,425,547,774,565,822,678,640,1501,847,1369,1345,1893,1387,1318,1058,212,256,160,784
"G12071569","2016","FL",,,"Florida","12",,,"The Hammocks CDP","71569",,,,,,,,,,,,,,,,"16000US1271569","The Hammocks CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Hammocks CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
