GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AA3AE001,AA3AE002,AA3AE003,AA3AE004,AA3AE005,AA3AE006,AA3AE007,AA3AE008,AA3AE009,AA3AE010,AA3AE011,AA3AE012,AA3AE013,AA3AE014,AA3AE015,AA3AE016,AA3AE017,AA3AE018,AA3AE019,AA3AE020,AA3AE021,AA3AE022,AA3AE023,AA3AE024,NAME_M,AA3AM001,AA3AM002,AA3AM003,AA3AM004,AA3AM005,AA3AM006,AA3AM007,AA3AM008,AA3AM009,AA3AM010,AA3AM011,AA3AM012,AA3AM013,AA3AM014,AA3AM015,AA3AM016,AA3AM017,AA3AM018,AA3AM019,AA3AM020,AA3AM021,AA3AM022,AA3AM023,AA3AM024
"G06085292","2014","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Whittier city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06086832","2014","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06086972","2014","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",9706,9399,0,39,0,87,0,42,80,62,157,358,860,913,429,439,733,1083,615,2048,943,511,0,307,"Yuba City city, California",1191,1196,200,62,200,111,200,74,122,112,175,310,522,433,295,249,455,420,392,898,467,388,200,264
"G08003455","2014","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",12328,12050,51,0,165,0,0,0,61,83,42,534,73,347,180,849,776,1948,1342,2703,1375,1193,328,278,"Arvada city, Colorado",1486,1480,86,192,208,192,192,192,98,96,70,518,87,233,153,475,463,816,542,789,536,524,245,193
"G08004000","2014","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",55297,54430,356,241,145,101,41,433,443,176,1059,1027,1342,2780,2999,4627,3761,7024,7168,11160,6457,2352,738,867,"Aurora city, Colorado",2316,2312,333,339,129,115,68,326,394,194,465,523,584,851,684,1052,1015,1283,1241,1587,1268,695,378,389
"G08007850","2014","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",22775,22351,62,0,0,107,105,0,235,0,0,551,300,258,217,505,398,2411,3039,4748,3833,3546,2036,424,"Boulder city, Colorado",1714,1698,104,192,192,127,138,192,329,192,192,589,308,243,166,371,371,836,1073,1064,1009,959,666,257
"G08012815","2014","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,"Centennial city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,
"G08016000","2014","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",70334,68863,497,0,170,712,184,341,822,1515,2462,3048,4493,4244,6343,5651,4482,7533,5871,9335,6295,2375,2490,1471,"Colorado Springs city, Colorado",3216,3170,498,192,235,470,235,249,514,678,754,999,1122,950,1361,1482,1074,1424,1205,1654,1392,647,800,638
"G08020000","2014","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",146192,143712,1467,1477,1594,3592,906,1616,1687,1546,936,3543,3614,7082,5710,8858,8658,18710,12582,25973,14377,12656,7128,2480,"Denver city, Colorado",4056,4130,642,627,612,1026,439,679,681,610,399,943,1006,1437,1281,1323,1603,2193,1844,2753,2074,2071,1533,677
"G08027425","2014","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",26988,26358,0,249,137,249,340,140,0,274,504,554,971,764,520,1572,1437,3037,2881,6008,3674,2667,380,630,"Fort Collins city, Colorado",2029,2001,192,395,137,179,213,163,192,191,302,311,616,434,337,618,590,915,868,1233,927,850,229,305
"G08032155","2014","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",13871,13579,144,30,35,395,42,214,504,295,577,355,1070,759,879,1065,1079,1210,1487,2079,868,283,209,292,"Greeley city, Colorado",1416,1425,200,51,59,257,69,169,373,253,338,256,472,356,400,409,443,430,588,917,449,203,242,213
"G08036410","2014","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,"Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,
"G08043000","2014","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",28638,28317,170,152,98,198,139,147,303,386,117,459,909,1218,1250,1853,1767,4497,3808,5454,3151,1623,618,321,"Lakewood city, Colorado",1800,1837,133,153,118,213,187,144,279,405,150,347,598,553,537,640,679,1142,866,1068,955,641,421,242
"G08045970","2014","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",12974,12563,115,0,219,192,65,309,41,0,63,41,338,1002,565,613,742,1490,1241,2429,1655,1011,432,411,"Longmont city, Colorado",1299,1310,143,192,297,229,109,241,68,192,101,74,263,532,370,290,488,573,605,784,623,542,354,311
"G08046465","2014","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",12780,12143,0,0,289,53,304,252,307,0,138,85,160,2091,345,806,707,1396,841,1583,1669,519,598,637,"Loveland city, Colorado",1558,1480,192,192,236,88,397,260,301,192,228,99,192,1236,297,588,441,692,514,650,747,343,471,534
"G08062000","2014","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",18894,18029,498,425,56,270,339,655,328,1079,2030,2615,1782,2069,1486,533,1687,993,409,294,164,317,0,865,"Pueblo city, Colorado",1648,1654,446,256,98,245,250,397,238,446,707,868,709,781,650,371,698,524,285,227,198,404,192,438
"G08077290","2014","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,"Thornton city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,
"G08083835","2014","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",16149,15623,0,99,36,192,47,115,83,51,70,195,514,559,476,1157,352,2203,1261,4563,1854,1365,431,526,"Westminster city, Colorado",1355,1280,192,159,67,170,77,140,134,85,112,263,298,359,393,597,241,830,433,966,528,460,272,379
"G09008000","2014","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",29601,29202,835,389,961,812,454,848,248,263,161,659,500,1100,1051,1540,1385,3228,3116,7246,2518,1435,453,399,"Bridgeport city, Connecticut",2265,2245,402,331,573,341,282,421,219,255,228,357,327,408,600,567,607,874,731,1429,952,694,319,242
"G09018430","2014","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,"Danbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,
"G09037000","2014","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",34223,33617,1070,696,727,1372,582,633,729,737,591,1798,1047,2084,2521,2931,1475,6360,3102,3807,964,345,46,606,"Hartford city, Connecticut",2036,2074,414,423,358,551,374,492,423,338,357,681,412,607,733,738,534,1181,735,859,475,182,77,401
"G09050370","2014","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",16526,16228,672,0,471,493,201,225,203,455,201,1064,415,1790,1714,992,1057,2041,1913,1760,346,78,137,298,"New Britain city, Connecticut",1316,1302,452,197,331,252,224,175,258,286,225,556,251,567,700,415,456,694,702,624,310,130,165,143
"G09052000","2014","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",35311,34296,1244,273,494,1242,757,578,354,803,493,557,533,1307,870,1317,1510,3743,3603,6669,4171,2501,1277,1015,"New Haven city, Connecticut",2302,2282,570,215,397,610,539,347,270,382,338,387,336,676,513,631,636,1055,785,1096,713,702,486,516
"G09055990","2014","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",13741,13329,302,114,42,494,327,152,567,0,113,185,39,75,0,619,245,965,555,2737,1906,1747,2145,412,"Norwalk city, Connecticut",1546,1505,307,189,71,427,287,187,421,197,189,199,65,66,197,478,239,451,382,881,753,740,652,254
"G09073000","2014","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",21638,21163,0,268,296,662,204,0,251,452,209,0,86,494,42,375,301,522,273,3642,1863,5675,5548,475,"Stamford city, Connecticut",2143,2111,197,377,288,404,247,197,218,440,235,197,143,510,67,355,338,440,245,1043,773,1309,1052,363
"G09080000","2014","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",22303,21620,269,0,404,848,421,269,678,591,325,945,975,1111,2202,2209,2072,3573,2482,1840,357,49,0,683,"Waterbury city, Connecticut",1871,1831,283,197,244,406,319,197,431,302,223,415,521,645,785,765,731,1076,890,639,348,81,197,392
"G10077580","2014","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",15489,15286,702,137,210,553,521,386,462,980,287,365,412,921,821,1045,502,3275,706,1971,326,577,127,203,"Wilmington city, Delaware",1514,1514,470,144,231,280,332,308,285,502,254,321,384,434,390,522,286,1112,302,701,238,317,96,170
"G11050000","2014","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",164886,158505,2731,1402,2400,4062,3628,1544,1093,1890,1591,1885,1176,2441,2477,3934,3651,11689,11794,18802,15515,26752,38048,6381,"Washington city, District of Columbia",4965,4953,749,585,833,927,1102,609,465,715,600,652,464,761,847,1114,925,2139,1430,2298,2009,2757,2791,1373
"G12000410","2014","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12007300","2014","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Boca Raton city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12007875","2014","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Boynton Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12008150","2014","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Brandon CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12010275","2014","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",21148,20543,0,46,0,0,234,43,0,43,255,740,760,1187,2014,1830,1339,3538,4242,2712,783,503,274,605,"Cape Coral city, Florida",2241,2261,214,74,214,214,383,69,214,73,356,498,569,472,843,691,744,1075,1214,896,506,282,185,470
"G12012875","2014","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",19976,19525,92,0,140,498,170,0,73,66,275,252,1206,920,1204,2238,2342,2990,2677,2430,728,681,543,451,"Clearwater city, Florida",1870,1834,155,214,168,533,192,214,86,110,225,172,622,501,437,889,836,914,761,957,323,427,434,331
"G12014400","2014","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Coral Springs city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12016475","2014","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Davie town, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12016725","2014","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Deerfield Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12017100","2014","FL",,,"Florida","12",,,"Delray Beach city","17100",,,,,,,,,,,,,,,,"16000US1217100","Delray Beach city, Florida",10946,10431,0,214,169,55,65,50,22,259,50,0,0,118,312,275,298,2007,908,2011,943,1626,1049,515,"Delray Beach city, Florida",1442,1443,214,356,144,91,78,83,38,295,84,214,214,200,247,231,237,723,473,769,402,624,422,272
"G12017200","2014","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Deltona city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12024000","2014","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",35982,34426,420,263,199,416,192,391,131,213,289,510,336,742,1643,1418,2482,6679,3715,5430,2489,4310,2158,1556,"Fort Lauderdale city, Florida",2634,2620,348,263,189,372,317,447,153,246,244,482,231,487,669,535,958,1652,943,1218,823,1079,730,604
"G12024125","2014","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",13667,13402,234,30,456,0,86,146,674,703,943,471,1039,1584,777,845,1472,1550,504,932,269,391,296,265,"Fort Myers city, Florida",1587,1586,290,51,327,214,74,182,407,383,481,307,538,675,392,497,732,637,323,460,178,278,189,249
"G12025175","2014","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",29549,28743,104,0,172,233,660,224,732,649,2529,2686,2989,2480,1930,1846,1483,2820,2755,2025,1310,875,241,806,"Gainesville city, Florida",2517,2464,129,214,195,195,623,191,390,423,837,841,922,901,700,777,734,1033,909,675,681,389,176,489
"G12030000","2014","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",38020,36265,478,906,775,1113,323,719,298,268,629,912,680,614,1018,1845,1886,5837,6123,8885,1358,1453,145,1755,"Hialeah city, Florida",2142,2101,414,390,381,502,288,391,260,207,380,513,414,393,516,611,579,999,1195,1114,614,536,170,651
"G12032000","2014","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",25108,24132,40,353,25,19,94,202,0,250,72,565,188,842,896,1795,2133,2913,2277,4878,3451,2259,880,976,"Hollywood city, Florida",1906,1802,67,374,41,32,153,267,214,256,120,438,188,598,458,769,831,1002,882,1050,1015,921,409,520
"G12032275","2014","FL",,,"Florida","12",,,"Homestead city","32275",,,,,,,,,,,,,,,,"16000US1232275","Homestead city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Homestead city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12035000","2014","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",142456,136449,1398,1797,1215,1879,655,1711,1960,2627,4785,8948,8694,8811,10774,10117,9761,19622,10516,18375,6676,4422,1706,6007,"Jacksonville city, Florida",5491,5563,559,950,561,582,429,654,790,868,1391,1568,1509,1613,1749,1617,1637,2850,1929,2603,1510,1285,736,1316
"G12036100","2014","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Kendall CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12036950","2014","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"16000US1236950","Kissimmee city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Kissimmee city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12038250","2014","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",17331,16966,38,83,278,204,48,259,257,864,955,942,1287,1883,983,836,1029,2872,1131,1809,720,270,218,365,"Lakeland city, Florida",1540,1576,63,99,191,160,86,243,195,478,503,384,434,659,491,423,537,831,586,705,543,180,197,236
"G12039425","2014","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",17094,16631,68,196,137,81,0,0,0,161,160,915,427,2881,1308,2158,1227,1790,1053,2469,584,619,397,463,"Largo city, Florida",1706,1674,111,305,227,134,214,214,214,165,173,518,279,998,517,950,565,695,511,955,532,432,263,355
"G12039550","2014","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Lauderhill city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12039925","2014","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",15098,14905,26,0,131,202,0,69,36,451,323,755,732,1457,2441,2261,1420,2574,1265,467,61,156,78,193,"Lehigh Acres CDP, Florida",1572,1545,44,214,161,338,214,115,65,407,293,421,418,535,705,732,547,893,473,390,108,255,95,206
"G12043975","2014","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",14306,14019,86,137,104,92,181,199,164,498,458,669,483,703,1436,2709,2039,1232,710,1123,538,458,0,287,"Melbourne city, Florida",2120,2072,110,122,170,119,220,198,173,497,311,320,233,372,586,943,1000,689,445,715,280,425,214,295
"G12045000","2014","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",112021,109329,1123,1946,2144,2253,1017,1134,798,2255,1605,2966,3210,4725,5385,5586,5976,16908,9007,15081,7954,10546,7710,2692,"Miami city, Florida",4090,4063,460,720,611,655,431,518,449,800,614,926,971,1166,1109,1236,1222,1642,1328,2111,1673,1612,1379,892
"G12045025","2014","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",25823,25301,164,263,917,458,198,235,113,165,70,361,247,43,1192,814,1513,2005,2773,4750,2148,3582,3290,522,"Miami Beach city, Florida",1964,1954,139,251,467,214,235,250,131,213,117,335,284,71,622,506,884,783,793,1107,758,1005,772,388
"G12045060","2014","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Miami Gardens city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12045975","2014","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Miramar city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12053000","2014","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",71952,71152,21,430,595,510,527,909,534,1091,655,1705,3595,2515,5156,7544,5194,10479,8601,10376,4219,5552,944,800,"Orlando city, Florida",3760,3661,35,265,515,308,323,515,542,466,415,641,1251,839,1124,1236,1266,1729,1522,1706,1128,1637,527,407
"G12054000","2014","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"16000US1254000","Palm Bay city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Palm Bay city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12054200","2014","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"16000US1254200","Palm Coast city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Palm Coast city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12055775","2014","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"16000US1255775","Pembroke Pines city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Pembroke Pines city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12056825","2014","FL",,,"Florida","12",,,"Pine Hills CDP","56825",,,,,,,,,,,,,,,,"16000US1256825","Pine Hills CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Pine Hills CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12057425","2014","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"16000US1257425","Plantation city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Plantation city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12058050","2014","FL",,,"Florida","12",,,"Pompano Beach city","58050",,,,,,,,,,,,,,,,"16000US1258050","Pompano Beach city, Florida",21008,19900,0,228,98,0,0,114,0,91,330,308,247,974,623,996,1807,3227,2935,3335,1809,1091,1687,1108,"Pompano Beach city, Florida",2186,2092,214,362,161,214,214,180,214,107,291,223,239,497,426,596,774,916,852,761,719,610,568,623
"G12058715","2014","FL",,,"Florida","12",,,"Port St. Lucie city","58715",,,,,,,,,,,,,,,,"16000US1258715","Port St. Lucie city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Port St. Lucie city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12060950","2014","FL",,,"Florida","12",,,"Riverview CDP","60950",,,,,,,,,,,,,,,,"16000US1260950","Riverview CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Riverview CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12063000","2014","FL",,,"Florida","12",,,"St. Petersburg city","63000",,,,,,,,,,,,,,,,"16000US1263000","St. Petersburg city, Florida",46074,43021,376,335,701,386,545,517,265,597,1193,1851,2277,3342,3051,2880,3361,5235,4614,7242,2274,1399,580,3053,"St. Petersburg city, Florida",3086,2963,333,227,462,256,473,321,279,395,551,703,737,912,905,950,937,1086,1290,1381,710,533,476,909
"G12068350","2014","FL",,,"Florida","12",,,"Spring Hill CDP","68350",,,,,,,,,,,,,,,,"16000US1268350","Spring Hill CDP, Florida",9137,8749,0,0,0,0,0,278,0,0,337,588,765,852,703,773,793,1972,875,407,215,0,191,388,"Spring Hill CDP, Florida",1342,1280,214,214,214,214,214,313,214,214,272,373,398,491,447,451,416,795,463,277,178,214,237,296
"G12069700","2014","FL",,,"Florida","12",,,"Sunrise city","69700",,,,,,,,,,,,,,,,"16000US1269700","Sunrise city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Sunrise city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12070600","2014","FL",,,"Florida","12",,,"Tallahassee city","70600",,,,,,,,,,,,,,,,"16000US1270600","Tallahassee city, Florida",47488,46349,897,573,116,495,28,472,1173,2327,1639,2731,4235,2710,2915,3117,4262,5089,3392,5230,2620,1377,951,1139,"Tallahassee city, Florida",2418,2438,603,330,187,342,50,334,511,920,601,883,1224,837,912,1013,1204,1246,1034,1011,961,663,550,574
"G12071000","2014","FL",,,"Florida","12",,,"Tampa city","71000",,,,,,,,,,,,,,,,"16000US1271000","Tampa city, Florida",72903,71069,885,1256,1079,1126,752,679,528,1625,1551,2671,3365,4418,4133,3836,5592,10517,7043,10406,3168,4393,2046,1834,"Tampa city, Florida",3401,3355,437,466,440,448,410,368,309,679,654,1010,928,1052,1109,1075,1214,1802,1513,1516,878,1019,747,602
"G12071625","2014","FL",,,"Florida","12",,,"The Villages CDP","71625",,,,,,,,,,,,,,,,"16000US1271625","The Villages CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"The Villages CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12072145","2014","FL",,,"Florida","12",,,"Town 'n' Country CDP","72145",,,,,,,,,,,,,,,,"16000US1272145","Town 'n' Country CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Town 'n' Country CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12076582","2014","FL",,,"Florida","12",,,"Weston city","76582",,,,,,,,,,,,,,,,"16000US1276582","Weston city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Weston city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12076600","2014","FL",,,"Florida","12",,,"West Palm Beach city","76600",,,,,,,,,,,,,,,,"16000US1276600","West Palm Beach city, Florida",23163,22176,0,297,256,234,292,70,38,92,165,381,601,1452,1119,914,1513,2757,2554,5653,1876,1303,609,987,"West Palm Beach city, Florida",1859,1714,214,320,172,249,354,115,62,121,224,269,358,541,564,439,621,972,733,1112,698,648,311,641
"G13001052","2014","GA",,,"Georgia","13",,,"Albany city","01052",,,,,,,,,,,,,,,,"16000US1301052","Albany city, Georgia",17445,16965,513,382,567,1071,1000,1087,1265,1274,2495,1785,1287,1324,1308,413,498,432,0,89,113,0,62,480,"Albany city, Georgia",1437,1455,358,301,375,491,457,492,571,504,889,709,689,532,590,330,317,336,211,107,121,211,103,289
"G13003440","2014","GA",,,"Georgia","13",,,"Athens-Clarke County unified government (balance)","03440",,,,,,,,,,,,,,,,"16000US1303440","Athens-Clarke County unified government (balance), Georgia",29412,28088,196,331,213,438,278,326,1068,1515,1835,3091,2895,1826,2356,1548,1614,2486,1815,2089,933,1179,56,1324,"Athens-Clarke County unified government (balance), Georgia",1805,1715,229,402,290,326,321,264,481,752,748,926,1038,730,869,683,853,897,661,734,544,537,90,631
"G13004000","2014","GA",,,"Georgia","13",,,"Atlanta city","04000",,,,,,,,,,,,,,,,"16000US1304000","Atlanta city, Georgia",105999,103533,3100,1452,1787,2660,1786,995,2054,2008,3542,3444,5903,6416,7030,4077,7096,10996,7075,12276,10367,7246,2223,2466,"Atlanta city, Georgia",4608,4613,856,600,786,743,583,488,731,741,883,974,992,1316,1316,951,1556,1989,1422,1821,1594,1207,759,682
"G13004204","2014","GA",,,"Georgia","13",,,"Augusta-Richmond County consolidated government (balance)","04204",,,,,,,,,,,,,,,,"16000US1304204","Augusta-Richmond County consolidated government (balance), Georgia",34390,33110,842,508,637,1526,491,1325,1452,2802,2511,3010,2147,3085,2584,1661,1748,2914,1350,1540,590,293,94,1280,"Augusta-Richmond County consolidated government (balance), Georgia",2572,2622,505,419,499,709,440,691,623,990,754,991,859,986,963,659,804,1137,770,697,511,302,150,491
