GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AA3AE001,AA3AE002,AA3AE003,AA3AE004,AA3AE005,AA3AE006,AA3AE007,AA3AE008,AA3AE009,AA3AE010,AA3AE011,AA3AE012,AA3AE013,AA3AE014,AA3AE015,AA3AE016,AA3AE017,AA3AE018,AA3AE019,AA3AE020,AA3AE021,AA3AE022,AA3AE023,AA3AE024,NAME_M,AA3AM001,AA3AM002,AA3AM003,AA3AM004,AA3AM005,AA3AM006,AA3AM007,AA3AM008,AA3AM009,AA3AM010,AA3AM011,AA3AM012,AA3AM013,AA3AM014,AA3AM015,AA3AM016,AA3AM017,AA3AM018,AA3AM019,AA3AM020,AA3AM021,AA3AM022,AA3AM023,AA3AM024
"G04028380","2014","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,"Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,
"G04046000","2014","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",69650,67782,183,240,277,380,84,341,546,1156,2563,4717,3677,6077,7355,6538,6125,8152,5413,8439,2311,2249,959,1868,"Mesa city, Arizona",3849,3689,140,242,317,304,98,305,333,540,855,1112,960,1378,1506,1454,1229,1297,1165,1613,774,629,520,612
"G04054050","2014","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",19058,18191,44,184,48,0,41,0,0,225,45,744,56,244,1311,457,1735,3256,3201,3555,1252,761,1032,867,"Peoria city, Arizona",2044,2096,72,216,77,200,69,200,200,273,73,450,93,183,767,318,776,845,975,1138,590,383,375,481
"G04055000","2014","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",261754,253984,924,1319,1172,2197,1324,2116,4055,8870,13520,18471,17273,23082,18253,21495,14080,31928,22676,30350,10488,7534,2857,7770,"Phoenix city, Arizona",5611,5630,383,510,508,695,513,652,1001,1570,1700,2162,2097,2513,2143,2537,1926,2748,2236,2688,1653,1506,827,1149
"G04064210","2014","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,"San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,
"G04065000","2014","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",35969,34444,44,44,228,41,120,160,0,670,129,1169,387,765,756,2274,2014,4238,3790,7830,3447,3221,3117,1525,"Scottsdale city, Arizona",2652,2700,72,72,377,67,144,166,200,481,157,689,320,508,476,826,668,1149,839,1532,1198,1069,967,699
"G04071510","2014","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,"Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,
"G04073000","2014","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",39576,38557,0,161,246,68,74,327,0,106,963,344,920,2154,2689,3638,3298,5753,3868,7387,3212,2259,1090,1019,"Tempe city, Arizona",2764,2657,200,210,328,112,122,395,200,125,643,283,439,650,973,1096,1033,1191,1119,1580,913,732,473,518
"G04077000","2014","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",107545,104396,776,629,1294,1103,442,2611,5222,6237,7681,9600,9179,8142,9026,5776,5031,9737,6754,9875,2720,1303,1258,3149,"Tucson city, Arizona",4410,4525,536,307,627,515,335,852,1383,1315,1417,1909,1620,1553,1716,1286,1018,1610,1228,1864,1008,750,637,867
"G04085540","2014","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",13729,12862,197,0,288,249,140,751,222,474,347,177,1136,892,951,1569,1069,1518,712,1164,457,333,216,867,"Yuma city, Arizona",1700,1664,233,200,279,234,200,613,149,340,262,137,703,537,526,740,700,739,376,620,268,201,229,475
