GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PF8E001,PF8E002,PF8E003,PF8E004,PF8E005,PF8E006,PF8E007,PF8E008,PF8E009,PF8E010,PF8E011,PF8E012,PF8E013,PF8E014,PF8E015,PF8E016,PF8E017,PF8E018,PF8E019,PF8E020,PF8E021,PF8E022,PF8E023,PF8E024,NAME_M,PF8M001,PF8M002,PF8M003,PF8M004,PF8M005,PF8M006,PF8M007,PF8M008,PF8M009,PF8M010,PF8M011,PF8M012,PF8M013,PF8M014,PF8M015,PF8M016,PF8M017,PF8M018,PF8M019,PF8M020,PF8M021,PF8M022,PF8M023,PF8M024
"G06082590","2012","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Victorville city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06082954","2012","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",17996,17054,60,0,104,231,206,192,316,863,257,502,1209,1510,491,637,2422,2082,1504,2868,923,365,312,942,"Visalia city, California",1904,1842,100,197,105,272,161,204,253,425,212,333,557,716,328,427,1253,709,583,1048,578,382,225,552
"G06082996","2012","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Vista city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06083346","2012","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Walnut Creek city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06084200","2012","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",,,,,,,,,,,,,,,,,,,,,,,,,"West Covina city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06084550","2012","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",11790,11358,0,0,33,0,46,114,205,276,133,206,130,238,67,75,169,561,623,2882,2226,2401,973,432,"Westminster city, California",1152,1117,197,197,56,197,81,110,151,190,217,117,130,212,108,87,156,325,320,661,726,622,577,293
"G06085292","2012","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",12073,11900,24,135,116,41,0,0,0,37,154,101,41,286,82,894,634,2043,1281,2615,1875,1333,208,173,"Whittier city, California",1223,1205,40,135,112,68,197,197,197,60,179,123,68,243,96,354,455,697,429,757,573,599,182,152
"G06086832","2012","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06086972","2012","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",9589,9180,148,0,64,93,136,162,0,0,563,232,753,929,971,418,536,1068,287,1563,623,320,314,409,"Yuba City city, California",1047,977,174,197,106,106,165,160,197,197,524,201,418,462,483,282,332,498,193,551,365,215,319,326
"G08003455","2012","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",10951,10145,182,0,227,241,40,353,25,43,160,250,448,499,676,784,453,462,1332,1900,1303,398,369,806,"Arvada city, Colorado",1475,1450,206,189,212,268,66,431,41,71,194,158,273,346,375,458,230,221,636,625,638,419,210,398
"G08004000","2012","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",53882,53387,209,182,277,78,231,207,449,375,1188,2591,3065,4961,3661,4112,3504,7640,5291,8848,4415,1333,770,495,"Aurora city, Colorado",2704,2655,169,219,256,88,309,181,360,234,441,840,885,1182,903,1154,817,1406,963,1419,1101,545,343,312
"G08007850","2012","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",22009,21349,56,57,101,177,51,0,107,125,0,367,312,324,474,664,854,3002,2031,3938,2910,3652,2147,660,"Boulder city, Colorado",1712,1658,95,95,131,188,85,189,172,157,189,360,343,280,341,356,437,942,610,841,799,910,781,413
"G08012815","2012","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,"Centennial city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,
"G08016000","2012","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",71901,70459,514,262,125,380,602,519,1242,2122,4011,4893,6312,6020,5366,4033,2974,5574,7347,10406,4457,2244,1056,1442,"Colorado Springs city, Colorado",2725,2751,491,273,129,294,342,400,562,637,1081,1020,1371,1099,1246,933,759,1147,1439,1625,1298,753,498,694
"G08020000","2012","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",141918,138095,1718,1740,2763,3924,1117,2175,1254,1745,2629,6601,6784,9616,11431,9163,8712,14150,9713,19349,10439,8833,4239,3823,"Denver city, Colorado",4479,4465,739,581,775,986,441,907,518,561,838,1315,1277,1894,1723,1500,1579,2136,1734,2201,1592,1685,1114,1053
"G08027425","2012","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",28221,27664,126,0,54,72,100,353,195,298,22,1156,950,663,1632,1279,2396,4520,2819,5581,2613,1843,992,557,"Fort Collins city, Colorado",2046,1976,162,189,91,83,119,234,148,223,38,600,434,369,602,526,694,1320,1025,1077,849,690,428,391
"G08032155","2012","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",14409,14226,115,25,291,274,131,317,757,780,1043,1379,451,1053,1198,1844,360,1088,701,1040,715,626,38,183,"Greeley city, Colorado",1307,1309,117,40,306,148,143,283,510,417,405,540,221,420,518,966,244,537,349,467,379,466,60,192
"G08036410","2012","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,"Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,
"G08043000","2012","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",26744,26294,197,285,113,201,158,258,232,445,538,223,1072,1799,2168,2468,1447,3668,3953,3867,1794,941,467,450,"Lakewood city, Colorado",2014,2005,226,246,137,207,203,387,313,393,363,211,549,718,736,894,609,937,1136,1012,792,562,253,316
"G08045970","2012","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",14528,14412,0,120,40,412,41,51,76,429,127,518,207,282,1529,772,1187,1954,2291,3096,924,153,203,116,"Longmont city, Colorado",1610,1617,189,199,66,281,72,84,98,359,152,397,217,249,657,408,565,595,895,1033,491,132,155,91
"G08046465","2012","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",9831,9611,34,186,49,42,81,107,0,529,228,39,712,398,659,785,370,1709,1061,1461,735,182,244,220,"Loveland city, Colorado",1149,1132,54,214,81,73,140,125,189,491,263,64,435,359,512,481,436,762,567,571,413,158,190,150
"G08062000","2012","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",18392,18128,816,355,416,560,221,376,1010,1081,1940,1423,1993,939,1671,1016,1090,1796,848,279,108,86,104,264,"Pueblo city, Colorado",1609,1630,447,215,236,349,143,210,410,446,740,570,615,351,697,508,700,622,480,275,125,125,122,217
"G08077290","2012","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,"Thornton city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,
"G08083835","2012","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",14661,14514,121,50,71,249,0,44,43,209,268,601,622,797,646,635,739,1779,1707,2538,1747,1437,211,147,"Westminster city, Colorado",1428,1447,158,86,84,290,189,72,72,282,246,334,436,498,427,336,426,689,533,745,680,596,164,102
"G09008000","2012","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",29344,28685,524,307,868,579,155,788,553,856,274,684,943,1019,1035,1878,2212,3715,3112,6386,1293,1321,183,659,"Bridgeport city, Connecticut",2023,2091,301,221,457,256,153,341,354,435,219,323,543,365,522,618,643,924,831,993,603,529,129,360
"G09018430","2012","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",12303,11798,43,45,210,424,0,224,292,71,274,350,64,193,368,346,427,979,1123,3669,1483,1076,137,505,"Danbury city, Connecticut",1657,1658,70,76,240,356,193,117,242,119,282,342,106,144,329,320,363,465,631,1092,602,562,163,374
"G09037000","2012","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",33066,32406,840,837,897,1139,863,472,580,450,419,1395,1826,2841,3046,3321,3149,3963,2240,2559,875,548,146,660,"Hartford city, Connecticut",1852,1995,375,382,353,509,481,352,357,242,264,558,632,674,854,784,700,841,732,613,391,366,125,445
"G09050370","2012","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",16669,16031,78,677,409,264,259,271,300,737,284,865,569,1199,1818,2060,1491,1814,1560,1054,262,60,0,638,"New Britain city, Connecticut",1446,1429,79,686,245,211,216,239,321,354,231,358,325,543,644,682,556,602,606,492,216,74,193,407
"G09052000","2012","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",35125,34304,1073,353,903,836,1403,376,395,848,404,771,1010,676,1195,1675,811,3531,4031,8136,3175,1940,762,821,"New Haven city, Connecticut",2045,1926,598,286,393,398,617,264,272,623,228,364,521,472,546,635,412,977,1028,1475,860,638,460,419
"G09055990","2012","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",12233,12124,82,89,161,68,0,256,162,292,151,181,0,210,0,410,280,699,905,2562,1685,2752,1179,109,"Norwalk city, Connecticut",1294,1265,133,146,127,86,193,281,114,255,158,152,193,199,193,359,271,347,458,828,658,925,474,119
"G09073000","2012","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",20216,19832,0,0,423,186,92,120,55,0,120,373,43,481,379,92,412,726,710,3397,3310,4356,4557,384,"Stamford city, Connecticut",1871,1901,193,193,295,194,112,142,90,193,145,324,75,359,365,156,326,366,552,943,935,1064,993,372
"G09080000","2012","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",21030,20445,463,450,625,346,330,139,745,520,467,941,828,2105,1158,2252,1706,2817,2526,1364,409,0,254,585,"Waterbury city, Connecticut",1845,1880,460,296,430,348,214,83,500,398,318,407,343,715,490,825,691,920,731,596,422,193,205,258
"G10077580","2012","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",15571,15136,599,391,302,610,791,202,655,296,471,422,489,1164,949,1397,1445,1581,1316,894,498,584,80,435,"Wilmington city, Delaware",1370,1300,348,285,248,374,405,186,347,213,373,320,340,524,483,618,509,432,594,335,270,317,75,228
"G11050000","2012","DC",,,"District Of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",155981,152845,3025,1915,3540,2420,2443,2266,2621,1537,1039,2976,2094,3057,2989,3339,6217,10984,10797,20872,17734,26208,24772,3136,"Washington city, District of Columbia",4855,4814,867,602,673,676,718,787,767,708,396,878,614,677,826,888,1151,1634,1661,1845,2370,2628,2432,841
"G12000410","2012","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12007300","2012","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Boca Raton city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12007875","2012","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Boynton Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12008150","2012","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",17440,16556,0,0,49,207,49,115,0,159,0,208,713,387,871,1825,1053,2936,1839,3800,1590,415,340,884,"Brandon CDP, Florida",2042,1994,211,211,83,210,81,182,211,146,211,262,470,234,567,808,514,754,557,1042,739,292,327,578
"G12010275","2012","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",19224,18740,0,0,0,0,0,0,0,101,471,851,924,1037,1622,1263,1864,3483,3427,1391,1215,968,123,484,"Cape Coral city, Florida",2087,2122,211,211,211,211,211,211,211,174,364,503,503,467,724,652,899,1007,1213,561,830,619,121,289
"G12012875","2012","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",20230,19443,18,295,226,331,0,120,0,396,878,961,874,1749,1464,1243,2059,2991,1277,2072,1158,527,804,787,"Clearwater city, Florida",2192,2156,31,233,212,414,211,134,211,455,486,536,519,714,640,612,849,904,650,849,527,282,362,451
"G12014400","2012","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Coral Springs city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12016475","2012","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Davie town, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12016725","2012","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Deerfield Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12017200","2012","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Deltona city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12024000","2012","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",32317,30848,160,266,357,253,125,44,209,134,43,686,143,1047,1313,1646,2992,4727,3359,5507,3674,2597,1566,1469,"Fort Lauderdale city, Florida",2167,2292,161,218,347,324,160,76,224,150,70,390,143,468,567,639,969,1211,984,1133,998,885,539,713
"G12024125","2012","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",13789,13558,335,74,359,267,155,46,497,981,1325,1437,1196,1521,1504,534,516,1106,188,433,205,586,293,231,"Fort Myers city, Florida",1621,1586,290,128,303,225,184,75,489,554,516,541,601,637,590,420,386,446,179,221,190,304,213,208
"G12025175","2012","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",27885,26787,221,0,962,409,129,161,395,795,1545,1994,2274,2709,1676,1528,1114,2616,1658,3137,1418,1282,764,1098,"Gainesville city, Florida",2431,2405,200,211,609,396,212,154,347,445,943,744,694,1073,632,749,535,1013,668,953,693,633,582,459
"G12030000","2012","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",37238,36317,472,1596,882,240,250,329,241,488,644,1004,653,1540,1268,1370,3281,5670,5920,7210,2111,1148,0,921,"Hialeah city, Florida",2025,2036,331,610,391,214,275,281,184,315,495,533,395,686,543,620,946,1115,1066,1181,681,562,211,486
"G12032000","2012","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",23183,22577,0,40,59,0,240,39,0,50,0,456,1091,703,1411,2464,2347,2950,2447,3576,2795,649,1260,606,"Hollywood city, Florida",2021,1978,211,66,52,211,275,65,211,83,211,359,637,419,666,785,832,835,1044,1210,981,352,603,306
"G12035000","2012","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",124024,119144,1252,1675,1479,1230,1107,2885,1604,3153,6200,7703,9147,9855,8096,8348,6880,15880,9442,16325,4080,1443,1360,4880,"Jacksonville city, Florida",4832,4954,536,642,579,408,403,1036,665,1066,1356,1403,1882,1783,1412,1641,1397,2286,1753,2328,1249,661,569,1139
"G12036100","2012","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Kendall CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12038250","2012","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",18508,17137,165,336,195,254,532,198,262,626,1704,761,1201,875,1524,915,1467,2188,1455,1480,258,470,271,1371,"Lakeland city, Florida",1567,1524,174,292,164,243,436,229,173,385,570,380,472,346,605,413,628,544,705,651,218,347,307,696
"G12039425","2012","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",17430,17018,0,0,0,0,87,146,37,211,0,956,1629,1889,2056,2079,1950,2440,1154,991,107,702,584,412,"Largo city, Florida",1789,1703,211,211,211,211,101,171,60,247,211,452,657,639,803,904,806,942,569,473,130,544,309,360
"G12039550","2012","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",11888,11606,0,163,0,74,54,116,120,134,193,415,507,458,1112,999,1848,1821,1079,1270,490,634,119,282,"Lauderhill city, Florida",1595,1567,211,260,211,121,89,192,200,164,309,416,579,411,515,581,805,666,411,577,350,432,96,213
"G12039925","2012","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",12541,12182,86,0,69,157,0,73,408,624,20,1071,807,1745,1534,641,1547,2156,537,394,26,158,129,359,"Lehigh Acres CDP, Florida",1547,1561,102,211,127,254,211,88,249,365,34,662,340,715,598,333,551,709,332,299,43,210,211,191
"G12043975","2012","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",13080,12393,105,175,190,105,380,302,100,325,397,807,1148,1827,1063,1200,607,1168,527,1438,162,217,150,687,"Melbourne city, Florida",1719,1709,124,233,160,123,457,273,118,199,296,426,617,896,583,731,360,574,348,838,194,186,176,416
"G12045000","2012","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",104052,101202,1358,3790,2854,2247,484,604,700,1339,1529,3629,4616,6561,4990,6541,5754,13544,7638,11522,7654,7577,6271,2850,"Miami city, Florida",4116,4103,428,755,776,680,285,410,350,511,544,1026,1042,1250,1029,1214,1245,1744,1571,1722,1491,1092,1649,823
"G12045025","2012","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",27932,26875,152,171,576,133,157,133,180,319,171,721,184,514,436,1417,1451,4111,3114,4926,2452,2876,2681,1057,"Miami Beach city, Florida",1690,1697,251,114,317,129,165,118,172,244,142,452,185,395,421,619,679,1374,840,990,777,1030,975,534
"G12045060","2012","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Miami Gardens city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12045975","2012","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Miramar city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12053000","2012","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",65139,63378,105,364,142,455,345,219,673,2308,535,1774,3087,4415,6134,5274,6517,11004,6669,6536,4312,2049,461,1761,"Orlando city, Florida",3247,3239,172,189,90,279,284,204,457,817,310,693,917,1216,1198,1185,1289,2002,1372,1433,1483,888,372,766
"G12054000","2012","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"16000US1254000","Palm Bay city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Palm Bay city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12054200","2012","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"16000US1254200","Palm Coast city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Palm Coast city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12055775","2012","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"16000US1255775","Pembroke Pines city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Pembroke Pines city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12056825","2012","FL",,,"Florida","12",,,"Pine Hills CDP","56825",,,,,,,,,,,,,,,,"16000US1256825","Pine Hills CDP, Florida",7868,7671,0,0,0,0,0,0,235,330,550,285,327,392,801,739,528,1133,583,1615,153,0,0,197,"Pine Hills CDP, Florida",1480,1444,211,211,211,211,211,211,252,227,427,187,289,328,483,416,363,568,406,823,251,211,211,232
"G12057425","2012","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"16000US1257425","Plantation city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Plantation city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12058050","2012","FL",,,"Florida","12",,,"Pompano Beach city","58050",,,,,,,,,,,,,,,,"16000US1258050","Pompano Beach city, Florida",15846,15415,85,86,130,0,90,128,168,120,123,333,229,353,860,1563,1875,2324,1953,2346,868,1032,749,431,"Pompano Beach city, Florida",1715,1707,98,137,191,211,150,150,195,192,145,214,178,273,471,654,631,781,646,743,443,478,365,308
"G12058715","2012","FL",,,"Florida","12",,,"Port St. Lucie city","58715",,,,,,,,,,,,,,,,"16000US1258715","Port St. Lucie city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Port St. Lucie city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12060950","2012","FL",,,"Florida","12",,,"Riverview CDP","60950",,,,,,,,,,,,,,,,"16000US1260950","Riverview CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Riverview CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12063000","2012","FL",,,"Florida","12",,,"St. Petersburg city","63000",,,,,,,,,,,,,,,,"16000US1263000","St. Petersburg city, Florida",44851,43633,66,802,718,321,529,916,504,1477,1435,2966,4448,3728,3640,2345,2513,4695,3775,5261,1658,1077,759,1218,"St. Petersburg city, Florida",2510,2490,86,397,448,231,232,514,424,623,583,911,1085,1035,869,786,915,1127,1189,1207,766,450,351,564
"G12068350","2012","FL",,,"Florida","12",,,"Spring Hill CDP","68350",,,,,,,,,,,,,,,,"16000US1268350","Spring Hill CDP, Florida",8790,8406,62,39,0,0,0,241,0,59,24,579,494,1615,642,1322,915,675,375,680,382,99,203,384,"Spring Hill CDP, Florida",1500,1482,108,64,211,211,211,247,211,100,43,461,456,859,289,545,511,426,260,510,302,117,241,242
"G12069700","2012","FL",,,"Florida","12",,,"Sunrise city","69700",,,,,,,,,,,,,,,,"16000US1269700","Sunrise city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Sunrise city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12070600","2012","FL",,,"Florida","12",,,"Tallahassee city","70600",,,,,,,,,,,,,,,,"16000US1270600","Tallahassee city, Florida",43005,42368,772,659,269,542,261,149,604,2039,2097,2788,2896,4012,3319,2959,2835,3638,3045,3905,2765,1925,889,637,"Tallahassee city, Florida",2672,2664,493,494,332,369,201,161,398,734,915,720,940,1269,961,932,830,932,979,1127,911,820,566,350
"G12071000","2012","FL",,,"Florida","12",,,"Tampa city","71000",,,,,,,,,,,,,,,,"16000US1271000","Tampa city, Florida",72302,69659,1071,1344,1294,1104,618,811,804,2040,1484,3664,3411,6043,4255,4188,5883,7297,5147,8721,3255,3926,3299,2643,"Tampa city, Florida",3251,3257,344,601,640,588,377,375,389,642,533,1020,676,1150,1110,972,1489,1227,1300,1372,909,1088,988,848
"G12072145","2012","FL",,,"Florida","12",,,"Town 'n' Country CDP","72145",,,,,,,,,,,,,,,,"16000US1272145","Town 'n' Country CDP, Florida",11567,10912,0,0,0,0,0,191,224,128,0,621,607,1544,371,708,1062,1998,1007,1388,738,325,0,655,"Town 'n' Country CDP, Florida",1673,1614,211,211,211,211,211,307,368,154,211,505,402,644,245,549,677,839,550,551,313,362,211,366
"G12076582","2012","FL",,,"Florida","12",,,"Weston city","76582",,,,,,,,,,,,,,,,"16000US1276582","Weston city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Weston city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12076600","2012","FL",,,"Florida","12",,,"West Palm Beach city","76600",,,,,,,,,,,,,,,,"16000US1276600","West Palm Beach city, Florida",21007,19914,0,62,380,135,228,470,115,453,541,599,823,696,738,1414,1490,2282,1652,4603,1349,1190,694,1093,"West Palm Beach city, Florida",2142,1981,211,103,267,169,226,442,114,379,330,294,486,395,362,637,552,865,700,1116,648,514,412,616
"G13001052","2012","GA",,,"Georgia","13",,,"Albany city","01052",,,,,,,,,,,,,,,,"16000US1301052","Albany city, Georgia",18139,17619,1271,296,585,502,1454,1527,1080,1328,2182,1755,2470,654,1118,421,295,433,161,51,36,0,0,520,"Albany city, Georgia",1491,1531,499,164,351,233,538,656,491,628,737,657,731,421,532,348,228,306,185,96,61,208,208,369
