GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,MF9E001,MF9E002,MF9E003,MF9E004,MF9E005,MF9E006,MF9E007,MF9E008,MF9E009,MF9E010,MF9E011,MF9E012,MF9E013,MF9E014,MF9E015,MF9E016,MF9E017,MF9E018,MF9E019,MF9E020,MF9E021,MF9E022,MF9E023,MF9E024,NAME_M,MF9M001,MF9M002,MF9M003,MF9M004,MF9M005,MF9M006,MF9M007,MF9M008,MF9M009,MF9M010,MF9M011,MF9M012,MF9M013,MF9M014,MF9M015,MF9M016,MF9M017,MF9M018,MF9M019,MF9M020,MF9M021,MF9M022,MF9M023,MF9M024
"G04028380","2011","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,"Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,
"G04046000","2011","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",65906,64673,137,84,274,164,31,235,316,2703,3915,5364,8366,6893,4490,5053,4072,5903,5326,7302,1860,1113,1072,1233,"Mesa city, Arizona",3378,3368,141,105,226,151,54,181,251,1063,1259,1151,1679,1444,1344,1297,1077,1371,1509,1663,721,541,560,581
"G04054050","2011","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",15623,14598,0,87,0,74,114,457,44,255,1016,378,885,1055,700,718,1087,2243,1145,2318,249,936,837,1025,"Peoria city, Arizona",2721,2536,229,144,229,127,192,490,73,274,848,287,649,670,761,513,822,958,677,800,185,744,819,596
"G04055000","2011","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",232517,225551,1316,1407,1235,2351,1454,3987,7188,11521,14020,20638,14941,20531,17289,15224,14075,25452,15226,23208,7514,5086,1888,6966,"Phoenix city, Arizona",7694,7796,562,601,560,762,930,890,1704,2256,1892,2720,2105,2575,1994,2127,2170,2501,3077,3789,1694,1626,852,1280
"G04064210","2011","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,"San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,
"G04065000","2011","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",34734,33112,259,0,202,213,302,141,220,43,445,985,570,2062,1636,1799,2686,5557,3421,6486,1531,3184,1370,1622,"Scottsdale city, Arizona",3063,3025,321,229,220,206,489,143,313,68,476,517,547,1017,879,933,1464,1779,1404,1683,696,1620,665,872
"G04071510","2011","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,"Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,
"G04073000","2011","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",33771,32722,77,56,190,0,71,0,489,915,672,2159,2254,3253,2508,2192,1398,4050,3459,4379,2752,1230,618,1049,"Tempe city, Arizona",2448,2388,126,94,310,229,118,229,456,692,517,943,1004,1172,950,863,620,1239,1090,1147,921,624,334,736
"G04077000","2011","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",101237,97003,631,492,1096,1170,1975,2026,4468,6690,9664,9700,8440,9929,6006,6994,4015,6424,5284,9197,1288,974,540,4234,"Tucson city, Arizona",3866,3790,420,412,359,594,899,901,1129,1280,1840,1786,1678,1759,1201,1745,1108,1577,1289,1746,592,518,308,1098
"G04085540","2011","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",13364,12821,310,141,163,102,385,446,366,110,765,1040,1161,376,579,1225,1176,2180,530,1217,322,183,44,543,"Yuma city, Arizona",2267,2086,318,135,184,137,382,349,283,149,529,574,905,343,442,691,875,1050,430,591,505,169,69,420
"G05023290","2011","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",20987,20189,150,171,0,383,605,914,1892,2548,2892,1189,1635,2172,866,1001,676,937,953,1075,0,46,84,798,"Fayetteville city, Arkansas",1771,1802,172,204,192,446,373,647,815,787,989,614,773,817,556,614,611,495,712,582,192,76,142,522
"G05024550","2011","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",14544,13941,428,117,421,674,754,2057,1580,1282,748,1703,1263,549,629,249,579,561,30,0,153,95,69,603,"Fort Smith city, Arkansas",1568,1591,338,121,393,498,478,792,709,533,405,691,612,330,420,207,436,503,54,192,145,86,122,336
"G05035710","2011","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",12464,12287,454,44,0,338,294,310,640,1860,1372,1124,1632,1662,558,527,275,611,179,149,0,258,0,177,"Jonesboro city, Arkansas",1696,1679,633,80,192,517,308,251,493,1155,606,749,768,956,450,467,275,488,211,245,192,257,192,208
"G05041000","2011","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",35710,34342,767,488,774,458,622,1042,1279,1883,2268,4844,3690,4806,3249,1545,1868,1915,912,780,418,73,661,1368,"Little Rock city, Arkansas",2597,2542,465,591,508,345,431,568,748,709,1079,1551,1370,1293,1261,663,986,962,572,682,306,125,433,686
"G05066080","2011","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,"Springdale city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,
"G06000562","2011","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",14947,14341,275,58,287,170,0,54,110,197,36,39,23,463,135,499,78,514,909,3432,3751,2701,610,606,"Alameda city, California",1581,1510,264,93,255,275,208,90,133,226,59,65,39,355,133,501,89,352,456,959,937,709,288,374
"G06000884","2011","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06002000","2011","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",52970,51551,291,105,739,322,211,472,327,559,0,44,144,228,416,536,1056,3589,4719,15041,11596,7769,3387,1419,"Anaheim city, California",2846,2790,308,137,497,240,221,309,312,400,208,70,144,186,383,336,531,910,1080,1945,1914,1678,969,569
"G06002252","2011","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06002364","2011","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",,,,,,,,,,,,,,,,,,,,,,,,,"Apple Valley town, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06002553","2011","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",22132,21320,0,157,50,0,220,0,174,346,294,540,1920,2578,1778,2649,2148,3662,1075,2332,984,362,51,812,"Arden-Arcade CDP, California",2645,2526,208,185,85,208,286,208,201,221,179,342,805,828,636,1007,701,1321,536,764,583,283,86,599
"G06003526","2011","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",47905,46921,415,0,767,483,682,807,567,850,967,1674,2713,3332,3754,3279,3818,4189,4549,6249,4431,2949,446,984,"Bakersfield city, California",2878,2875,344,208,605,404,477,468,460,362,471,635,1050,1006,1157,982,1171,997,1185,1617,1342,1045,373,428
"G06003666","2011","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin Park city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06004982","2011","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",14409,14304,0,72,174,249,118,321,0,175,153,0,288,90,584,373,371,1712,1457,4321,1960,1170,716,105,"Bellflower city, California",1292,1290,208,84,90,241,99,407,208,214,198,208,317,104,417,334,210,687,656,1015,804,443,458,100
"G06006000","2011","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",24592,23428,40,0,133,386,141,199,110,393,218,682,562,644,549,1111,675,1251,2200,3929,3317,4072,2816,1164,"Berkeley city, California",2189,2165,65,208,129,181,143,217,130,316,171,367,360,370,280,477,335,488,716,957,763,807,636,699
"G06008786","2011","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Buena Park city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06008954","2011","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",23676,23113,0,40,58,377,72,356,73,100,0,283,112,241,156,400,164,2310,3294,5223,3396,4292,2166,563,"Burbank city, California",2020,2013,208,66,96,414,118,301,121,119,208,337,128,201,150,299,141,745,890,1206,1022,1030,757,468
"G06010046","2011","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Camarillo city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06011194","2011","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Carlsbad city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06011530","2011","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Carson city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06013014","2011","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",19798,18803,264,351,153,40,466,204,165,53,150,1484,1218,1476,1271,1520,1203,2562,1990,2161,1053,906,113,995,"Chico city, California",1648,1672,312,369,135,69,461,236,195,85,140,794,620,648,591,696,566,832,819,678,654,570,109,944
"G06013210","2011","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Chino city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06013214","2011","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Chino Hills city, California",,,,,,,,,,,,,,,,,,,,,,,,
