GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,MF9E001,MF9E002,MF9E003,MF9E004,MF9E005,MF9E006,MF9E007,MF9E008,MF9E009,MF9E010,MF9E011,MF9E012,MF9E013,MF9E014,MF9E015,MF9E016,MF9E017,MF9E018,MF9E019,MF9E020,MF9E021,MF9E022,MF9E023,MF9E024,NAME_M,MF9M001,MF9M002,MF9M003,MF9M004,MF9M005,MF9M006,MF9M007,MF9M008,MF9M009,MF9M010,MF9M011,MF9M012,MF9M013,MF9M014,MF9M015,MF9M016,MF9M017,MF9M018,MF9M019,MF9M020,MF9M021,MF9M022,MF9M023,MF9M024
"G06086972","2011","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",8577,7988,0,0,0,115,254,34,0,34,298,515,634,1162,904,397,143,846,793,1420,361,78,0,589,"Yuba City city, California",1216,1141,208,208,208,128,288,58,208,60,268,422,371,668,472,313,148,485,508,606,315,124,208,435
"G08003455","2011","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",10420,10079,242,262,37,326,118,225,35,236,97,369,393,360,810,1134,622,1288,734,1202,1088,267,234,341,"Arvada city, Colorado",1093,1134,294,341,62,269,190,212,60,298,111,234,190,232,456,573,296,637,427,500,513,206,140,277
"G08004000","2011","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",50826,49858,149,0,305,227,0,0,263,904,1697,2470,3081,4764,3657,3942,3578,6343,5271,8494,3479,772,462,968,"Aurora city, Colorado",2927,2928,154,201,295,226,201,201,217,454,674,861,916,1344,1009,1151,1041,1439,1797,1707,1003,531,250,471
"G08007850","2011","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",19216,18496,121,90,41,307,0,45,0,83,0,174,350,418,842,601,1315,2146,2084,3473,1228,3076,2102,720,"Boulder city, Colorado",1834,1779,142,118,68,282,201,74,201,69,201,246,371,378,552,441,752,832,656,862,515,937,793,601
"G08012815","2011","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,"Centennial city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,
"G08016000","2011","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",71050,70071,529,410,350,522,656,735,2356,2404,4996,5683,5331,3997,4398,4870,3679,7526,4864,10722,2452,1977,1614,979,"Colorado Springs city, Colorado",3561,3549,313,275,258,396,392,464,723,772,1175,1366,1153,993,1139,1508,1088,1432,1186,1856,895,677,795,455
"G08020000","2011","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",136615,133636,2836,836,2755,3368,732,995,1591,2934,4370,7268,9506,9592,8547,8440,6843,14332,9446,18823,9821,7389,3212,2979,"Denver city, Colorado",4057,4086,883,478,729,812,374,403,662,1066,1151,1377,1625,1828,1704,1594,1227,2232,1709,2532,1697,1566,1008,854
"G08027425","2011","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",25546,24928,213,59,50,54,85,209,297,179,102,558,792,1683,1386,1625,1396,3918,2671,4977,2355,1691,628,618,"Fort Collins city, Colorado",2189,2199,239,101,96,93,101,181,281,183,135,296,481,569,591,696,705,1362,769,1169,927,841,517,425
"G08032155","2011","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",16360,16127,618,369,303,613,20,898,551,416,850,1630,1464,742,1008,334,671,1566,699,2567,135,295,378,233,"Greeley city, Colorado",1830,1855,597,308,232,420,42,523,376,382,471,680,789,404,625,217,558,770,483,1205,115,308,405,192
"G08036410","2011","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,"Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,
"G08043000","2011","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",26628,26268,138,0,162,271,47,234,641,0,472,895,1448,2206,3134,2197,1805,3295,2496,2772,3160,730,165,360,"Lakewood city, Colorado",2021,2008,127,201,215,436,79,304,738,201,384,510,638,832,865,783,584,804,988,816,1130,358,106,182
"G08045970","2011","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",11826,11455,219,0,95,112,0,0,319,0,43,482,906,523,1145,863,831,2045,1393,1462,1017,0,0,371,"Longmont city, Colorado",1611,1581,221,201,110,109,201,201,395,201,70,345,508,430,711,456,503,602,498,628,800,201,201,245
"G08046465","2011","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",11349,10901,172,188,66,288,36,306,0,308,464,417,1058,822,289,406,481,919,1426,2405,400,209,241,448,"Loveland city, Colorado",1384,1341,270,307,110,462,63,267,201,297,433,354,757,412,313,311,422,586,698,900,369,274,219,309
"G08062000","2011","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",18403,17483,183,277,380,721,222,434,1023,1496,2000,2138,1814,774,783,1105,1593,779,698,620,253,190,0,920,"Pueblo city, Colorado",1559,1461,133,242,311,391,157,280,484,676,734,692,568,397,335,358,646,473,461,389,313,226,201,478
"G08077290","2011","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,"Thornton city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,
"G08083835","2011","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",16914,16838,0,115,80,260,56,43,24,104,0,608,392,823,1165,1632,955,2815,1969,3108,1858,831,0,76,"Westminster city, Colorado",1492,1503,201,190,95,196,94,70,40,105,201,307,405,443,662,748,473,905,870,958,648,430,201,98
"G09008000","2011","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",31047,30366,971,1593,385,537,339,865,328,565,503,878,433,1828,1095,2169,1315,5229,3120,5835,1684,265,429,681,"Bridgeport city, Connecticut",1986,2084,548,672,267,367,236,620,262,289,386,537,425,721,500,816,480,1012,879,1541,695,212,381,493
"G09018430","2011","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,"Danbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,
"G09037000","2011","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",35445,35027,1081,866,1537,710,1133,636,831,1000,978,1582,1632,1916,2917,2435,3363,4414,4177,2702,519,598,0,418,"Hartford city, Connecticut",2163,2115,391,373,583,277,448,328,416,533,487,641,600,600,934,730,1039,945,996,773,249,375,198,232
"G09050370","2011","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",16904,16579,303,311,423,270,483,366,162,245,382,949,1026,1016,1551,1455,1667,2788,1657,1179,242,66,38,325,"New Britain city, Connecticut",1470,1463,250,247,268,248,277,412,235,194,301,503,509,381,581,498,605,846,648,533,224,109,63,258
"G09052000","2011","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",34789,34276,612,780,1431,1554,387,884,454,1055,405,909,497,1469,782,1699,1592,4629,3767,6024,3426,1601,319,513,"New Haven city, Connecticut",2434,2313,371,607,502,903,266,567,287,516,287,666,356,629,442,701,724,1311,941,1198,893,628,228,351
"G09055990","2011","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",15572,15472,198,99,0,131,73,435,102,707,98,268,422,373,235,125,366,344,1248,4628,2963,1977,680,100,"Norwalk city, Connecticut",1817,1822,208,159,198,162,87,315,168,537,159,205,469,316,229,120,329,273,662,1262,920,807,343,120
"G09073000","2011","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",19293,19117,98,163,238,363,151,296,181,204,129,85,61,212,0,636,62,621,842,4594,3251,4441,2489,176,"Stamford city, Connecticut",1714,1711,165,180,216,380,185,247,174,194,164,106,98,213,198,354,103,494,691,1190,1027,1044,882,167
"G09080000","2011","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",21447,20530,526,582,1053,512,203,422,252,253,162,1197,1390,1541,898,1793,1980,3189,1919,2142,422,94,0,917,"Waterbury city, Connecticut",1792,1836,351,483,659,294,132,328,282,171,109,523,771,582,451,620,969,1045,830,715,366,108,198,377
"G10077580","2011","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",16705,16366,792,455,630,558,289,410,241,603,397,333,403,758,1463,1617,1915,1707,1237,1281,510,692,75,339,"Wilmington city, Delaware",1431,1428,386,240,296,376,221,276,235,368,398,210,306,415,691,736,838,620,541,620,305,548,94,249
"G11050000","2011","DC",,,"District Of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",158045,154292,2611,3135,4309,2797,2841,2639,1297,1748,1248,3548,1473,4775,4548,5498,4123,11875,8410,19593,20567,26402,20855,3753,"Washington city, District of Columbia",3930,4091,881,848,1247,945,911,917,565,633,589,888,558,1173,1061,1301,853,1736,1416,2122,2169,2574,2261,1110
"G12000410","2011","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12007300","2011","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Boca Raton city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12007875","2011","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Boynton Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12008150","2011","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",16584,16277,0,74,83,0,105,175,0,0,280,239,852,550,854,1692,1200,2236,3887,2768,1100,182,0,307,"Brandon CDP, Florida",2547,2548,238,70,138,238,125,283,238,238,278,229,509,454,843,1057,674,1023,1425,1061,835,245,238,337
"G12010275","2011","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",15087,14675,0,0,0,0,0,0,82,343,308,629,508,960,1078,1762,1111,3620,1223,1481,1010,237,323,412,"Cape Coral city, Florida",2020,2031,238,238,238,238,238,238,131,304,380,476,388,647,593,902,568,1210,598,600,878,385,369,366
"G12012875","2011","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",18721,17849,0,66,34,248,54,472,61,926,448,1112,1650,1804,826,1520,1260,1457,1203,2609,803,783,513,872,"Clearwater city, Florida",2452,2269,238,110,63,233,89,477,102,655,275,628,867,665,559,763,650,609,788,975,590,532,491,562
"G12014400","2011","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Coral Springs city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12016475","2011","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Davie town, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12016725","2011","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Deerfield Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12017200","2011","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Deltona city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12024000","2011","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",38735,37261,112,716,978,205,68,480,286,688,107,1112,1018,1620,2639,2681,2793,5542,3032,5523,2219,3277,2165,1474,"Fort Lauderdale city, Florida",2911,2926,136,586,494,198,116,403,381,576,133,759,592,840,1016,1033,1083,1351,921,1303,714,1143,760,893
"G12024125","2011","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",12064,11823,67,0,131,294,0,223,344,77,871,809,645,1763,1921,309,858,1040,216,1189,529,274,263,241,"Fort Myers city, Florida",1541,1524,63,238,136,238,238,202,342,102,377,442,317,658,762,204,533,614,167,972,379,191,306,184
"G12025175","2011","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",33062,32149,408,488,132,197,672,223,719,1042,3469,2757,3348,2943,2418,2600,1016,1846,2258,2787,1076,1543,207,913,"Gainesville city, Florida",2815,2774,517,350,220,171,445,255,578,585,1307,1059,1136,1168,1181,924,512,844,1074,1192,854,904,152,590
"G12030000","2011","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",34325,33178,1095,2293,114,354,508,546,232,408,527,426,988,669,1371,2493,2702,4450,4559,6747,1681,803,212,1147,"Hialeah city, Florida",2929,2790,572,869,96,282,378,378,241,345,429,416,627,438,909,948,990,1006,1069,1120,672,440,263,494
"G12032000","2011","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",21328,20662,0,35,0,199,233,233,456,391,440,247,214,1081,1573,2084,1482,3032,2007,3488,1753,1497,217,666,"Hollywood city, Florida",2255,2269,238,56,238,325,316,378,445,386,563,250,259,651,721,1052,624,1064,763,1280,848,964,197,409
"G12035000","2011","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",117051,111839,1144,1055,2760,1542,1011,1617,1739,3641,4649,8572,6053,11072,10471,8014,7547,13266,9809,12383,3676,1316,502,5212,"Jacksonville city, Florida",4854,4996,410,584,893,661,528,579,789,1299,1214,1918,1541,1846,1985,1551,1913,2522,2255,2380,1189,668,394,1374
"G12036100","2011","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Kendall CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12038250","2011","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",17850,16937,101,98,84,241,85,0,534,314,1822,1524,2135,1068,2153,794,1558,1238,992,1335,219,250,392,913,"Lakeland city, Florida",1684,1609,143,111,116,228,150,238,432,242,622,736,931,517,847,598,675,423,674,639,246,219,298,621
"G12039425","2011","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",14698,14366,158,77,0,0,0,0,47,308,140,1448,1640,1324,1078,1671,824,2589,659,1032,260,281,830,332,"Largo city, Florida",1838,1791,256,130,238,238,238,238,82,359,138,646,612,658,690,713,458,1050,428,559,275,201,410,256
"G12039550","2011","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Lauderhill city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12039925","2011","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",12048,11529,84,303,234,0,181,202,587,804,66,441,650,1569,1150,704,1693,1400,870,433,32,126,0,519,"Lehigh Acres CDP, Florida",1801,1768,154,383,326,238,269,293,457,624,111,336,457,811,857,427,756,705,578,424,54,108,238,334
"G12043975","2011","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",12360,12165,0,341,222,92,401,207,350,506,594,874,764,1280,1307,1050,122,1594,357,1077,573,54,400,195,"Melbourne city, Florida",1909,1903,238,384,196,115,300,212,379,473,338,566,463,682,718,550,202,781,390,840,663,93,512,197
"G12045000","2011","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",102684,101564,1639,3963,2230,1036,806,1153,1703,1625,1685,5272,3802,6572,6331,6120,6159,10387,8864,12015,8538,7969,3695,1120,"Miami city, Florida",4544,4592,793,1091,647,484,380,475,619,613,743,1603,880,1290,1364,1228,1563,1598,1939,2089,2266,2276,1625,542
"G12045025","2011","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",29073,28352,207,516,739,216,285,63,344,141,0,389,71,1263,1672,1618,1597,3454,2290,5126,4093,2761,1507,721,"Miami Beach city, Florida",2797,2711,239,304,377,260,307,104,221,231,238,324,119,947,880,873,852,1095,1022,1474,1555,921,679,490
"G12045060","2011","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Miami Gardens city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12045975","2011","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Miramar city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12053000","2011","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",59439,58370,277,624,283,213,368,1001,366,1079,843,3753,3151,4548,5632,5323,4206,7889,3913,9448,3270,1589,594,1069,"Orlando city, Florida",2755,2685,204,343,264,197,225,586,253,561,300,1263,941,1075,1161,1256,1149,1572,1189,2028,1078,686,328,480
"G12054000","2011","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"16000US1254000","Palm Bay city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Palm Bay city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12054200","2011","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"16000US1254200","Palm Coast city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Palm Coast city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12055775","2011","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"16000US1255775","Pembroke Pines city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Pembroke Pines city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12057425","2011","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"16000US1257425","Plantation city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Plantation city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12058050","2011","FL",,,"Florida","12",,,"Pompano Beach city","58050",,,,,,,,,,,,,,,,"16000US1258050","Pompano Beach city, Florida",20479,19651,44,0,253,176,0,34,189,37,395,324,528,1824,642,1110,1813,2160,2869,2978,1113,1263,1899,828,"Pompano Beach city, Florida",2113,2083,73,238,212,170,238,55,222,62,469,385,568,776,490,565,856,858,993,919,673,674,876,520
"G12058715","2011","FL",,,"Florida","12",,,"Port St. Lucie city","58715",,,,,,,,,,,,,,,,"16000US1258715","Port St. Lucie city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Port St. Lucie city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12060950","2011","FL",,,"Florida","12",,,"Riverview CDP","60950",,,,,,,,,,,,,,,,"16000US1260950","Riverview CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Riverview CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12063000","2011","FL",,,"Florida","12",,,"St. Petersburg city","63000",,,,,,,,,,,,,,,,"16000US1263000","St. Petersburg city, Florida",42034,40861,638,607,585,512,178,476,320,1435,1373,3282,2287,3448,3084,3729,3383,5252,3746,4376,1034,752,364,1173,"St. Petersburg city, Florida",3155,3138,343,352,497,298,138,379,258,572,460,952,807,987,919,1039,1021,1217,1123,1138,576,539,243,447
"G12068350","2011","FL",,,"Florida","12",,,"Spring Hill CDP","68350",,,,,,,,,,,,,,,,"16000US1268350","Spring Hill CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Spring Hill CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12069700","2011","FL",,,"Florida","12",,,"Sunrise city","69700",,,,,,,,,,,,,,,,"16000US1269700","Sunrise city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Sunrise city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12070600","2011","FL",,,"Florida","12",,,"Tallahassee city","70600",,,,,,,,,,,,,,,,"16000US1270600","Tallahassee city, Florida",43102,41896,559,624,40,0,45,606,939,2019,3057,2543,3203,2714,3124,2273,2428,3446,4035,5787,1441,1953,1060,1206,"Tallahassee city, Florida",2881,2994,548,484,69,238,75,387,795,851,906,800,1066,1037,1022,945,890,1150,1468,1479,779,924,806,602
"G12071000","2011","FL",,,"Florida","12",,,"Tampa city","71000",,,,,,,,,,,,,,,,"16000US1271000","Tampa city, Florida",69045,67120,600,1295,1696,616,877,463,1382,2618,2107,2856,3916,4570,3796,5161,4111,8941,5248,8154,3384,3099,2230,1925,"Tampa city, Florida",3407,3464,353,507,705,446,426,277,750,1097,710,731,971,1074,1224,1354,1388,1747,1227,1438,992,1059,723,737
"G12072145","2011","FL",,,"Florida","12",,,"Town 'n' Country CDP","72145",,,,,,,,,,,,,,,,"16000US1272145","Town 'n' Country CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Town 'n' Country CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12076582","2011","FL",,,"Florida","12",,,"Weston city","76582",,,,,,,,,,,,,,,,"16000US1276582","Weston city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Weston city, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G12076600","2011","FL",,,"Florida","12",,,"West Palm Beach city","76600",,,,,,,,,,,,,,,,"16000US1276600","West Palm Beach city, Florida",19904,18610,482,238,402,98,102,55,76,114,534,324,162,1167,548,1818,991,2413,2025,3313,1400,858,1490,1294,"West Palm Beach city, Florida",1918,2155,465,223,379,120,103,67,124,147,338,280,163,588,378,759,419,884,849,1159,732,412,848,736
"G13001052","2011","GA",,,"Georgia","13",,,"Albany city","01052",,,,,,,,,,,,,,,,"16000US1301052","Albany city, Georgia",17801,17424,965,282,145,1055,830,1723,1367,1193,3297,1670,1602,1609,535,318,431,241,0,73,0,0,88,377,"Albany city, Georgia",1363,1383,535,209,121,443,458,650,590,503,912,653,612,671,311,275,415,287,225,104,225,225,135,294
"G13003440","2011","GA",,,"Georgia","13",,,"Athens-Clarke County unified government (balance)","03440",,,,,,,,,,,,,,,,"16000US1303440","Athens-Clarke County unified government (balance), Georgia",21996,20482,163,0,305,971,584,1013,830,1679,1808,1566,2477,1250,1270,1152,912,1411,757,652,729,698,255,1514,"Athens-Clarke County unified government (balance), Georgia",1678,1666,139,225,253,653,390,582,358,587,627,574,872,513,565,449,580,601,403,348,491,298,208,703
"G13004000","2011","GA",,,"Georgia","13",,,"Atlanta city","04000",,,,,,,,,,,,,,,,"16000US1304000","Atlanta city, Georgia",97422,95542,3214,1641,2260,2498,1571,1329,1066,2076,4180,5624,4579,4489,7232,4562,5165,13247,6839,11525,5800,4814,1831,1880,"Atlanta city, Georgia",5095,5081,1140,474,819,942,726,712,583,689,1009,1302,974,1162,1523,998,1286,2161,1649,1857,1406,1711,922,581
"G13004204","2011","GA",,,"Georgia","13",,,"Augusta-Richmond County consolidated government (balance)","04204",,,,,,,,,,,,,,,,"16000US1304204","Augusta-Richmond County consolidated government (balance), Georgia",31879,29558,1129,546,576,780,629,1193,1031,1657,2053,4284,1426,2699,3211,2612,1063,1617,905,1611,404,118,14,2321,"Augusta-Richmond County consolidated government (balance), Georgia",2035,2152,515,293,330,427,303,544,556,825,859,993,697,1104,1142,1258,545,716,502,534,234,144,23,712
"G13019000","2011","GA",,,"Georgia","13",,,"Columbus city","19000",,,,,,,,,,,,,,,,"16000US1319000","Columbus city, Georgia",33946,32834,1020,268,332,761,1893,1601,2102,1865,3334,2681,1492,1915,3424,2752,1269,1528,1005,2066,1077,281,168,1112,"Columbus city, Georgia",2287,2275,481,222,169,360,659,600,695,613,888,751,551,737,965,877,583,561,434,760,546,209,89,608
"G13042425","2011","GA",,,"Georgia","13",,,"Johns Creek city","42425",,,,,,,,,,,,,,,,"16000US1342425","Johns Creek city, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,"Johns Creek city, Georgia",,,,,,,,,,,,,,,,,,,,,,,,
"G13049000","2011","GA",,,"Georgia","13",,,"Macon city","49000",,,,,,,,,,,,,,,,"16000US1349000","Macon city, Georgia",19687,18431,564,779,641,896,643,1560,1308,1332,2124,2349,1363,1869,1059,491,532,268,132,317,30,133,41,1256,"Macon city, Georgia",1793,1765,413,350,282,441,313,599,584,539,833,861,567,713,506,360,441,211,173,253,54,167,66,584
"G13067284","2011","GA",,,"Georgia","13",,,"Roswell city","67284",,,,,,,,,,,,,,,,"16000US1367284","Roswell city, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,"Roswell city, Georgia",,,,,,,,,,,,,,,,,,,,,,,,
"G13068516","2011","GA",,,"Georgia","13",,,"Sandy Springs city","68516",,,,,,,,,,,,,,,,"16000US1368516","Sandy Springs city, Georgia",22892,22423,0,0,200,104,0,34,58,214,426,1211,889,2693,1994,3152,2193,3523,2162,2121,778,220,451,469,"Sandy Springs city, Georgia",2683,2690,225,225,204,125,225,59,100,220,425,690,756,1001,840,1344,1234,1744,1353,995,507,241,242,290
