GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJM5E001,AJM5E002,AJM5E003,AJM5E004,AJM5E005,AJM5E006,AJM5E007,AJM5E008,AJM5E009,AJM5E010,AJM5E011,AJM5E012,AJM5E013,AJM5E014,AJM5E015,AJM5E016,AJM5E017,AJM5E018,AJM5E019,AJM5E020,AJM5E021,AJM5E022,AJM5E023,AJM5E024,AJM5E025,AJM5E026,AJM5E027,NAME_M,AJM5M001,AJM5M002,AJM5M003,AJM5M004,AJM5M005,AJM5M006,AJM5M007,AJM5M008,AJM5M009,AJM5M010,AJM5M011,AJM5M012,AJM5M013,AJM5M014,AJM5M015,AJM5M016,AJM5M017,AJM5M018,AJM5M019,AJM5M020,AJM5M021,AJM5M022,AJM5M023,AJM5M024,AJM5M025,AJM5M026,AJM5M027
"G06085292","2018","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Whittier city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06086832","2018","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06086972","2018","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",9660,9273,95,136,0,44,135,248,452,0,0,486,203,386,1129,277,334,1333,956,2109,375,277,259,39,0,0,387,"Yuba City city, California",1209,1215,150,208,211,72,191,374,325,211,211,448,169,271,638,186,281,682,447,736,216,272,222,66,211,211,327
"G08003455","2018","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arvada city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08004000","2018","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",53682,53230,150,0,325,600,205,318,218,100,167,181,340,540,328,435,1312,3650,5783,14222,11531,9474,2503,386,229,233,452,"Aurora city, Colorado",3027,3000,148,204,390,542,246,261,259,168,158,185,335,342,470,318,679,1170,1419,2074,1969,1437,905,392,174,112,322
"G08007850","2018","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boulder city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08009280","2018","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"16000US0809280","Broomfield city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broomfield city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08012815","2018","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Centennial city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08016000","2018","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",71664,69541,499,245,203,645,68,210,190,976,179,978,902,1913,3224,3723,3904,8074,7087,15683,11079,7624,1523,354,149,109,2123,"Colorado Springs city, Colorado",3645,3730,533,408,320,467,109,190,233,585,185,419,426,737,1118,1008,892,1658,1327,2204,2008,1506,590,526,154,131,734
"G08020000","2018","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",157446,154722,1242,657,1597,3785,2063,1853,1169,1210,1120,1426,1341,613,1863,2409,1081,7559,13927,34289,23363,33501,13383,3793,1156,322,2724,"Denver city, Colorado",4483,4372,715,465,702,1159,894,951,686,568,553,850,780,367,763,1149,436,1418,2281,3209,2550,3256,1978,1146,456,307,1030
"G08027425","2018","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",32592,31831,0,0,0,178,156,205,51,103,360,460,255,892,834,311,478,1706,2007,7321,6266,8089,1517,325,179,138,761,"Fort Collins city, Colorado",2309,2281,204,204,204,211,181,188,86,126,266,295,242,515,473,254,306,719,716,1516,1366,1410,711,421,219,220,352
"G08032155","2018","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",14617,14362,717,40,193,367,0,308,343,291,310,603,224,427,501,589,381,1731,1415,2224,1531,2012,155,0,0,0,255,"Greeley city, Colorado",1576,1562,506,70,237,327,204,327,341,223,307,499,144,263,375,405,220,523,568,840,551,693,147,204,204,204,214
"G08036410","2018","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08043000","2018","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",27873,27443,0,48,0,134,0,148,67,129,0,554,129,545,337,681,631,1215,1627,6084,6883,5941,1565,302,283,140,430,"Lakewood city, Colorado",2303,2269,204,82,204,167,204,181,113,129,204,576,214,519,344,479,522,607,651,1242,1383,1136,680,263,282,117,324
"G08045970","2018","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Longmont city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08046465","2018","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Loveland city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08062000","2018","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",19570,19243,378,185,157,405,746,173,817,1148,1590,1575,1472,1632,2006,1473,751,2307,752,672,506,242,90,0,0,166,327,"Pueblo city, Colorado",1680,1669,358,164,121,246,511,160,526,560,880,673,543,692,812,605,407,764,505,356,284,218,152,204,204,144,224
"G08077290","2018","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thornton city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08083835","2018","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Westminster city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09008000","2018","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",31685,30960,1298,571,951,1458,524,695,391,158,512,685,198,583,805,834,919,2714,3098,8730,3160,2468,208,0,0,0,725,"Bridgeport city, Connecticut",2174,2156,652,413,471,795,350,482,305,195,421,521,238,368,486,596,471,847,896,1654,867,957,334,207,207,207,344
"G09018430","2018","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Danbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09037000","2018","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",35330,34841,986,447,776,1457,882,551,334,731,260,803,989,1637,1416,1557,3457,7255,4380,3633,1996,836,239,165,54,0,489,"Hartford city, Connecticut",1956,2000,492,334,436,609,586,365,306,494,225,494,659,842,597,633,1043,1103,1105,955,650,461,185,195,88,207,382
"G09050370","2018","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",15951,15337,133,65,412,577,468,169,105,25,601,279,360,739,691,1237,820,2884,2396,2414,642,207,42,0,71,0,614,"New Britain city, Connecticut",1516,1511,164,115,312,394,366,169,127,42,552,241,345,591,406,602,415,836,716,770,367,250,74,207,118,207,328
"G09052000","2018","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",36842,36494,779,644,492,2097,494,522,220,874,455,166,401,703,705,970,1405,3891,4469,7319,4596,3657,757,361,460,57,348,"New Haven city, Connecticut",2323,2337,479,532,386,742,363,362,206,549,437,231,347,483,486,598,628,1063,1251,1447,1173,1084,412,285,414,96,305
"G09055990","2018","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Norwalk city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09073000","2018","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",27169,26644,252,0,455,451,0,834,0,0,181,125,0,747,215,328,337,465,602,3248,3457,6962,3908,2075,1174,828,525,"Stamford city, Connecticut",2472,2485,235,207,453,410,207,610,207,207,230,153,207,630,250,338,285,395,501,1073,1099,1568,1054,743,588,482,402
"G09080000","2018","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",25619,24424,480,548,472,1026,432,765,276,129,36,390,1203,824,1330,1100,2103,4236,2705,4651,1115,268,143,0,0,192,1195,"Waterbury city, Connecticut",2461,2472,341,375,412,799,277,423,293,128,59,280,722,721,620,425,685,1141,1079,1387,680,250,237,207,207,319,634
"G10077580","2018","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",16935,16607,314,748,223,610,129,447,115,205,167,283,261,390,983,2135,416,1451,1998,3609,911,1109,103,0,0,0,328,"Wilmington city, Delaware",1537,1509,264,359,178,358,165,290,153,213,129,238,299,356,459,923,264,489,698,1048,525,583,97,200,200,200,247
"G11050000","2018","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",165936,163373,3111,3736,1206,4091,1632,1599,1383,1319,1246,1342,1603,2402,1845,2246,2559,5885,10687,22500,16542,30387,22775,12333,5866,5078,2563,"Washington city, District of Columbia",4411,4293,1039,1006,490,872,690,674,664,564,675,585,761,870,744,789,773,1211,1618,2590,2003,2596,2221,1706,1177,1303,720
"G12000410","2018","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12007300","2018","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boca Raton city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12007875","2018","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boynton Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12008150","2018","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brandon CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12010275","2018","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cape Coral city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12012875","2018","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",21124,20683,0,279,469,838,345,313,0,129,70,555,228,1000,927,1065,1375,2349,2355,2532,3175,2146,327,164,0,42,441,"Clearwater city, Florida",2198,2321,229,360,517,666,323,402,229,172,89,358,217,682,820,597,723,880,1023,859,1175,805,301,116,229,68,339
"G12014400","2018","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coral Springs city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12016475","2018","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Davie town, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12016525","2018","FL",,,"Florida","12",,,"Daytona Beach city","16525",,,,,,,,,,,,,,,,"16000US1216525","Daytona Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Daytona Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12016725","2018","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deerfield Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12017100","2018","FL",,,"Florida","12",,,"Delray Beach city","17100",,,,,,,,,,,,,,,,"16000US1217100","Delray Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delray Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12017200","2018","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deltona city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12024000","2018","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",33266,32671,0,238,588,237,0,321,130,128,83,851,197,413,489,768,1155,3440,3148,8228,3041,3563,3290,897,852,614,595,"Fort Lauderdale city, Florida",2841,2829,229,278,514,282,229,392,210,215,133,483,191,403,381,688,628,1046,1067,1717,778,874,1074,467,705,379,440
"G12024125","2018","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",15753,14980,184,45,75,617,0,187,622,216,196,657,258,756,543,443,1122,1162,1280,3524,1074,806,752,248,122,91,773,"Fort Myers city, Florida",1853,1757,214,73,126,489,229,305,452,190,161,423,244,389,353,335,637,573,663,1094,480,422,500,211,207,78,485
"G12025175","2018","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",26647,25668,0,0,162,93,145,0,165,820,893,962,1566,1377,2275,1931,1163,2902,2148,3481,2453,2338,598,0,196,0,979,"Gainesville city, Florida",2464,2536,229,229,271,161,163,229,172,513,565,458,775,743,853,724,444,921,828,941,816,1067,540,229,185,229,626
"G12030000","2018","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",38267,37587,0,658,629,947,277,378,193,635,127,424,257,592,917,658,1216,1955,4774,11222,8021,2605,1102,0,0,0,680,"Hialeah city, Florida",2514,2457,229,307,383,624,244,253,219,543,212,382,314,379,582,447,687,779,1159,1809,1638,822,522,229,229,229,372
"G12032000","2018","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",25570,24272,0,219,0,213,47,0,0,37,0,40,75,442,319,429,1266,3716,3553,5247,3466,4216,763,163,61,0,1298,"Hollywood city, Florida",2435,2257,229,239,229,202,79,229,229,61,229,66,125,361,298,370,663,1224,1010,1286,918,1279,515,162,102,229,769
"G12032275","2018","FL",,,"Florida","12",,,"Homestead city","32275",,,,,,,,,,,,,,,,"16000US1232275","Homestead city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Homestead city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12035000","2018","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",158864,155124,1685,1012,1341,2008,979,1909,1196,2820,1133,3956,3101,7766,9150,7842,8009,22719,21079,29833,16344,8631,2031,46,461,73,3740,"Jacksonville city, Florida",6319,6246,669,651,692,818,524,669,585,967,609,1070,880,1804,1976,1701,1888,2928,3115,3423,2605,1852,1336,75,330,118,1233
"G12035875","2018","FL",,,"Florida","12",,,"Jupiter town","35875",,,,,,,,,,,,,,,,"16000US1235875","Jupiter town, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jupiter town, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12036100","2018","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kendall CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12036950","2018","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"16000US1236950","Kissimmee city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kissimmee city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12038250","2018","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",19449,18809,158,287,111,157,233,40,34,366,411,388,709,1969,1184,464,2180,2534,2262,3173,1415,457,147,0,130,0,640,"Lakeland city, Florida",1885,1806,167,300,149,202,274,66,56,273,292,272,403,847,599,325,822,817,1019,932,665,311,174,229,153,229,396
"G12039425","2018","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Largo city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12039550","2018","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderhill city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12039925","2018","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lehigh Acres CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12043975","2018","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",13369,12982,0,0,250,243,147,127,188,144,264,679,0,197,290,731,296,2256,1250,3338,1844,648,0,90,0,0,387,"Melbourne city, Florida",2028,2015,229,229,296,248,143,115,243,231,268,374,229,169,213,435,215,910,559,1052,724,541,229,153,229,229,234
"G12045000","2018","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",126726,124221,994,1586,3607,2105,1824,1473,891,1142,1798,1212,1619,3554,4162,4480,4407,10450,10267,19970,11740,20638,9533,3898,1960,911,2505,"Miami city, Florida",4646,4483,570,672,989,752,674,817,663,656,813,495,566,1031,1317,1410,1329,1993,1949,2487,1861,3111,1938,1208,908,524,950
"G12045025","2018","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",29839,29157,51,229,787,1343,372,0,194,0,203,0,131,405,210,156,138,899,2032,5714,5395,7025,2814,729,277,53,682,"Miami Beach city, Florida",1935,1940,84,242,393,748,335,229,244,229,325,229,132,312,270,190,231,613,933,1530,1268,1518,916,406,190,86,418
"G12045060","2018","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miami Gardens city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12045975","2018","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miramar city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12049675","2018","FL",,,"Florida","12",,,"North Port city","49675",,,,,,,,,,,,,,,,"16000US1249675","North Port city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Port city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12053000","2018","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",72316,71480,261,709,506,535,379,413,454,319,634,1203,437,1393,2517,2516,4298,7212,6848,18303,12339,8201,984,668,351,0,836,"Orlando city, Florida",3914,3903,259,537,349,449,329,312,413,227,394,539,281,597,994,1052,1660,1488,1471,2316,1933,1712,635,385,339,229,489
"G12054000","2018","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"16000US1254000","Palm Bay city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Palm Bay city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12054200","2018","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"16000US1254200","Palm Coast city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Palm Coast city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12054350","2018","FL",,,"Florida","12",,,"Palm Harbor CDP","54350",,,,,,,,,,,,,,,,"16000US1254350","Palm Harbor CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Palm Harbor CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12055775","2018","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"16000US1255775","Pembroke Pines city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pembroke Pines city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12056825","2018","FL",,,"Florida","12",,,"Pine Hills CDP","56825",,,,,,,,,,,,,,,,"16000US1256825","Pine Hills CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pine Hills CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12057425","2018","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"16000US1257425","Plantation city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plantation city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12057900","2018","FL",,,"Florida","12",,,"Poinciana CDP","57900",,,,,,,,,,,,,,,,"16000US1257900","Poinciana CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poinciana CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12058050","2018","FL",,,"Florida","12",,,"Pompano Beach city","58050",,,,,,,,,,,,,,,,"16000US1258050","Pompano Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pompano Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12058350","2018","FL",,,"Florida","12",,,"Port Charlotte CDP","58350",,,,,,,,,,,,,,,,"16000US1258350","Port Charlotte CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Port Charlotte CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12058715","2018","FL",,,"Florida","12",,,"Port St. Lucie city","58715",,,,,,,,,,,,,,,,"16000US1258715","Port St. Lucie city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Port St. Lucie city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12060950","2018","FL",,,"Florida","12",,,"Riverview CDP","60950",,,,,,,,,,,,,,,,"16000US1260950","Riverview CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Riverview CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12063000","2018","FL",,,"Florida","12",,,"St. Petersburg city","63000",,,,,,,,,,,,,,,,"16000US1263000","St. Petersburg city, Florida",42543,40781,973,331,268,465,125,216,114,328,191,581,1022,1855,739,1626,1857,6191,4835,7708,5909,4210,488,541,74,134,1762,"St. Petersburg city, Florida",2797,2747,560,210,289,357,154,240,141,270,198,368,538,783,348,511,681,1540,1233,1537,1428,1177,352,569,121,219,635
"G12068350","2018","FL",,,"Florida","12",,,"Spring Hill CDP","68350",,,,,,,,,,,,,,,,"16000US1268350","Spring Hill CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Spring Hill CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12069700","2018","FL",,,"Florida","12",,,"Sunrise city","69700",,,,,,,,,,,,,,,,"16000US1269700","Sunrise city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sunrise city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12070600","2018","FL",,,"Florida","12",,,"Tallahassee city","70600",,,,,,,,,,,,,,,,"16000US1270600","Tallahassee city, Florida",44931,43936,344,439,726,262,499,171,891,1011,899,2204,2554,3544,3272,3307,2762,4072,4376,8128,1910,1782,557,0,137,89,995,"Tallahassee city, Florida",2783,2842,287,478,446,221,352,162,568,540,378,887,1028,1219,1274,978,818,976,1250,1601,686,625,401,229,224,107,523
"G12070675","2018","FL",,,"Florida","12",,,"Tamarac city","70675",,,,,,,,,,,,,,,,"16000US1270675","Tamarac city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tamarac city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12071000","2018","FL",,,"Florida","12",,,"Tampa city","71000",,,,,,,,,,,,,,,,"16000US1271000","Tampa city, Florida",79657,77213,768,1011,1222,1564,464,827,508,926,450,2054,1482,2071,1063,4762,4848,8998,6580,15656,9127,8754,2805,666,333,274,2444,"Tampa city, Florida",3070,3049,399,470,600,816,325,372,356,593,332,824,661,622,380,1234,1087,1681,1182,2037,1562,1424,947,316,276,258,810
"G12071569","2018","FL",,,"Florida","12",,,"The Hammocks CDP","71569",,,,,,,,,,,,,,,,"16000US1271569","The Hammocks CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Hammocks CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12071625","2018","FL",,,"Florida","12",,,"The Villages CDP","71625",,,,,,,,,,,,,,,,"16000US1271625","The Villages CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Villages CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12072145","2018","FL",,,"Florida","12",,,"Town 'n' Country CDP","72145",,,,,,,,,,,,,,,,"16000US1272145","Town 'n' Country CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Town 'n' Country CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
