GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJM5E001,AJM5E002,AJM5E003,AJM5E004,AJM5E005,AJM5E006,AJM5E007,AJM5E008,AJM5E009,AJM5E010,AJM5E011,AJM5E012,AJM5E013,AJM5E014,AJM5E015,AJM5E016,AJM5E017,AJM5E018,AJM5E019,AJM5E020,AJM5E021,AJM5E022,AJM5E023,AJM5E024,AJM5E025,AJM5E026,AJM5E027,NAME_M,AJM5M001,AJM5M002,AJM5M003,AJM5M004,AJM5M005,AJM5M006,AJM5M007,AJM5M008,AJM5M009,AJM5M010,AJM5M011,AJM5M012,AJM5M013,AJM5M014,AJM5M015,AJM5M016,AJM5M017,AJM5M018,AJM5M019,AJM5M020,AJM5M021,AJM5M022,AJM5M023,AJM5M024,AJM5M025,AJM5M026,AJM5M027
"G04027400","2018","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gilbert town, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04027820","2018","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",35753,34647,28,108,1049,199,192,251,189,326,322,1116,1325,1319,2902,2609,3052,5815,3434,5017,2865,2094,378,57,0,0,1106,"Glendale city, Arizona",2775,2785,46,135,549,168,226,303,243,315,333,557,477,636,825,975,930,1147,1145,991,724,551,274,95,211,211,379
"G04028380","2018","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04046000","2018","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",74195,71911,45,117,80,623,152,702,121,691,994,1152,2095,3513,2753,4423,4944,11912,9460,16756,6483,3849,496,327,223,0,2284,"Mesa city, Arizona",3705,3616,76,140,94,393,236,523,142,519,538,582,796,1133,949,1086,1128,1848,1581,2192,1507,977,296,294,152,211,830
"G04054050","2018","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peoria city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04055000","2018","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",266881,260777,1268,789,1153,3134,1046,2159,1654,3741,5016,8297,8078,15684,12298,16002,17296,35041,34709,51931,22199,14605,3202,668,417,390,6104,"Phoenix city, Arizona",6461,6302,549,570,510,1035,472,795,629,1103,1420,1198,1711,2326,1927,1862,2232,3871,3470,3650,2751,2089,958,367,319,343,1245
"G04064210","2018","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04065000","2018","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",40136,38457,0,0,0,241,195,117,176,469,66,0,899,461,297,530,812,2715,4578,8701,6819,7665,1618,1304,331,463,1679,"Scottsdale city, Arizona",2731,2677,211,211,211,294,236,138,267,497,119,211,772,372,352,479,513,941,1277,1644,1303,1437,583,684,348,326,701
"G04071510","2018","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04073000","2018","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",42252,41195,86,0,0,0,0,0,129,638,144,771,0,955,914,1439,2291,5856,4972,10509,5408,4889,994,713,487,0,1057,"Tempe city, Arizona",2736,2669,103,211,211,211,211,211,122,456,184,614,211,577,613,662,856,1211,1390,1958,1350,1113,546,541,248,211,484
"G04077000","2018","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",104825,101469,279,408,171,1702,671,1337,2579,3824,5716,7917,8744,10002,7313,6950,6612,12333,7531,10275,3882,2439,443,133,0,208,3356,"Tucson city, Arizona",4261,4331,143,376,174,661,467,748,772,1175,1184,1458,1519,1482,1480,1565,1398,2109,1253,1708,1028,808,328,109,211,167,993
"G04085540","2018","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",14832,14206,62,198,35,71,280,383,380,315,342,976,1148,884,1305,682,399,3339,1324,1731,150,170,32,0,0,0,626,"Yuma city, Arizona",1930,1892,73,309,62,89,267,393,333,298,274,587,938,682,602,527,327,1014,798,696,145,235,54,211,211,211,326
"G05015190","2018","AR",,,"Arkansas","05",,,"Conway city","15190",,,,,,,,,,,,,,,,"16000US0515190","Conway city, Arkansas",11700,11680,113,0,376,166,96,191,191,648,525,1097,856,1262,1692,1205,460,886,600,1070,29,138,79,0,0,0,20,"Conway city, Arkansas",1303,1309,184,201,336,165,137,143,192,445,330,515,607,515,682,632,390,629,434,619,51,151,130,201,201,201,32
"G05023290","2018","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",24214,23834,832,154,0,488,0,226,405,1380,1455,1833,2657,1650,2216,749,2112,1141,1903,2786,688,893,266,0,0,0,380,"Fayetteville city, Arkansas",2142,2120,692,180,201,453,201,377,418,690,648,974,1005,794,846,411,873,787,843,1062,414,667,202,201,201,201,325
"G05024550","2018","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",17326,16779,32,366,511,307,174,886,1968,1988,1314,1818,1418,1416,1150,345,902,1010,426,475,273,0,0,0,0,0,547,"Fort Smith city, Arkansas",1797,1749,53,390,455,417,252,539,734,818,710,769,624,598,711,303,520,557,444,320,329,201,201,201,201,201,335
"G05035710","2018","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",14732,14095,0,378,211,383,0,242,332,1658,881,786,1158,710,1827,412,1268,1191,661,1074,536,86,301,0,0,0,637,"Jonesboro city, Arkansas",1686,1629,201,312,259,503,201,317,300,884,594,539,613,526,784,369,538,472,386,679,535,102,311,201,201,201,363
"G05041000","2018","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",36349,35304,943,583,754,619,954,1049,535,1412,1499,2531,3542,1809,3271,2361,2176,3237,2119,3730,1001,397,254,528,0,0,1045,"Little Rock city, Arkansas",2898,2807,771,573,673,452,628,557,624,893,801,964,1163,685,1236,1006,999,1037,1058,1411,630,277,244,460,201,201,503
