GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFR5E001,AFR5E002,AFR5E003,NAME_M,AFR5M001,AFR5M002,AFR5M003
"G05050450","2016","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",32716,28691,4025,"North Little Rock city, Arkansas",2178,1962,974
"G05060410","2016","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"16000US0560410","Rogers city, Arkansas",25364,23576,1788,"Rogers city, Arkansas",1646,1526,778
"G05066080","2016","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",29696,29019,677,"Springdale city, Arkansas",1406,1470,556
"G06000562","2016","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",32430,30338,2092,"Alameda city, California",1643,1338,935
"G06000884","2016","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",30016,27960,2056,"Alhambra city, California",1984,1592,805
"G06002000","2016","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",103367,99255,4112,"Anaheim city, California",3178,3419,1166
"G06002252","2016","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",36359,34163,2196,"Antioch city, California",1830,1907,915
"G06002364","2016","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",26074,24012,2062,"Apple Valley town, California",1774,1640,739
"G06002553","2016","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",45228,42909,2319,"Arden-Arcade CDP, California",2561,2648,1077
"G06003526","2016","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",121920,116507,5413,"Bakersfield city, California",2880,2950,1466
"G06003666","2016","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",17217,16714,503,"Baldwin Park city, California",1150,1085,345
"G06004982","2016","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",25115,23038,2077,"Bellflower city, California",1317,1122,769
"G06006000","2016","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",49565,46078,3487,"Berkeley city, California",2068,2150,1053
"G06008786","2016","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",24732,23555,1177,"Buena Park city, California",1714,1612,635
"G06008954","2016","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",42108,40724,1384,"Burbank city, California",2393,2166,711
"G06010046","2016","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",24332,23168,1164,"Camarillo city, California",1571,1475,735
"G06011194","2016","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",46537,41640,4897,"Carlsbad city, California",2319,1822,1392
"G06011390","2016","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"16000US0611390","Carmichael CDP, California",27570,25154,2416,"Carmichael CDP, California",2101,1890,1212
"G06011530","2016","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",26550,25790,760,"Carson city, California",1568,1380,497
"G06011964","2016","CA",,,"California","06",,,"Castro Valley CDP","11964",,,,,,,,,,,,,,,,"16000US0611964","Castro Valley CDP, California",24960,24034,926,"Castro Valley CDP, California",1418,1332,589
"G06013014","2016","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",39317,34985,4332,"Chico city, California",1535,1597,1255
"G06013210","2016","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",21005,20149,856,"Chino city, California",1481,1353,428
"G06013214","2016","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",25092,24026,1066,"Chino Hills city, California",1359,1166,626
"G06013392","2016","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",87460,79639,7821,"Chula Vista city, California",3440,3233,1653
"G06013588","2016","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",35524,34269,1255,"Citrus Heights city, California",1646,1634,725
"G06014218","2016","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",38025,35979,2046,"Clovis city, California",1807,1775,875
"G06015044","2016","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",23374,22458,916,"Compton city, California",1268,1205,461
"G06016000","2016","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",47313,45848,1465,"Concord city, California",1989,2026,772
"G06016350","2016","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",52386,50765,1621,"Corona city, California",2065,2089,816
