GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,MDGE001,MDGE002,MDGE003,NAME_M,MDGM001,MDGM002,MDGM003
"G06070098","2011","CA",,,"California","06",,,"Santa Rosa city","70098",,,,,,,,,,,,,,,,"16000US0670098","Santa Rosa city, California",66263,61489,4774,"Santa Rosa city, California",2932,2865,1299
"G06072016","2011","CA",,,"California","06",,,"Simi Valley city","72016",,,,,,,,,,,,,,,,"16000US0672016","Simi Valley city, California",42331,40668,1663,"Simi Valley city, California",1996,1898,849
"G06073080","2011","CA",,,"California","06",,,"South Gate city","73080",,,,,,,,,,,,,,,,"16000US0673080","South Gate city, California",25108,23601,1507,"South Gate city, California",1531,1305,628
"G06075000","2011","CA",,,"California","06",,,"Stockton city","75000",,,,,,,,,,,,,,,,"16000US0675000","Stockton city, California",99616,89296,10320,"Stockton city, California",2642,2669,1780
"G06077000","2011","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"16000US0677000","Sunnyvale city, California",54272,52734,1538,"Sunnyvale city, California",2233,2142,809
"G06078120","2011","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"16000US0678120","Temecula city, California",33556,32474,1082,"Temecula city, California",2100,2036,674
"G06078582","2011","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"16000US0678582","Thousand Oaks city, California",48097,46369,1728,"Thousand Oaks city, California",2388,2272,938
"G06080000","2011","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"16000US0680000","Torrance city, California",57874,54670,3204,"Torrance city, California",2704,2303,1196
"G06080238","2011","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"16000US0680238","Tracy city, California",25520,24494,1026,"Tracy city, California",1980,1754,610
"G06080812","2011","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"16000US0680812","Turlock city, California",24697,23505,1192,"Turlock city, California",1481,1226,669
"G06080854","2011","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"16000US0680854","Tustin city, California",25766,24478,1288,"Tustin city, California",1800,1589,836
"G06081204","2011","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"16000US0681204","Union City city, California",21769,20882,887,"Union City city, California",1040,993,485
"G06081344","2011","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"16000US0681344","Upland city, California",28443,26977,1466,"Upland city, California",2204,2149,919
"G06081554","2011","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"16000US0681554","Vacaville city, California",34489,31879,2610,"Vacaville city, California",2170,1981,926
"G06081666","2011","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",45985,40152,5833,"Vallejo city, California",1993,1844,1269
"G06082590","2011","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",33381,30374,3007,"Victorville city, California",3125,2401,1804
"G06082954","2011","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",44513,42048,2465,"Visalia city, California",1791,1805,925
"G06082996","2011","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",31435,29827,1608,"Vista city, California",2135,1884,758
"G06083346","2011","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",31317,27931,3386,"Walnut Creek city, California",2415,1637,1756
"G06084200","2011","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",33443,32136,1307,"West Covina city, California",1656,1537,744
"G06084550","2011","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",29810,28550,1260,"Westminster city, California",1472,1317,574
"G06085292","2011","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",28073,26922,1151,"Whittier city, California",1606,1488,603
"G06086832","2011","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",22525,22109,416,"Yorba Linda city, California",1163,1113,320
"G06086972","2011","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",23483,21943,1540,"Yuba City city, California",918,1188,722
"G08003455","2011","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",43473,42197,1276,"Arvada city, Colorado",1492,1361,605
"G08004000","2011","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",128531,118405,10126,"Aurora city, Colorado",2983,2957,1985
"G08007850","2011","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",43034,40117,2917,"Boulder city, Colorado",1756,1841,890
"G08012815","2011","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",39601,38270,1331,"Centennial city, Colorado",1662,1502,745
"G08016000","2011","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",178707,167859,10848,"Colorado Springs city, Colorado",2767,3051,2246
"G08020000","2011","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",286787,266624,20163,"Denver city, Colorado",901,2404,2435
"G08027425","2011","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",60462,58111,2351,"Fort Collins city, Colorado",2296,2420,999
"G08032155","2011","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",38064,34298,3766,"Greeley city, Colorado",2188,2053,1461
"G08036410","2011","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",38402,37002,1400,"Highlands Ranch CDP, Colorado",1897,1931,783
"G08043000","2011","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",64715,62311,2404,"Lakewood city, Colorado",2023,2109,983
"G08045970","2011","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",35681,33399,2282,"Longmont city, Colorado",1658,1651,840
"G08046465","2011","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",30137,28527,1610,"Loveland city, Colorado",1526,1361,836
"G08062000","2011","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",48168,43601,4567,"Pueblo city, Colorado",1436,1498,1200
"G08077290","2011","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",42499,39696,2803,"Thornton city, Colorado",1831,1819,995
"G08083835","2011","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",45171,41986,3185,"Westminster city, Colorado",1913,1784,1094
"G09008000","2011","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",59844,51443,8401,"Bridgeport city, Connecticut",2514,2201,1376
"G09018430","2011","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",30838,28369,2469,"Danbury city, Connecticut",1698,1685,1004
"G09037000","2011","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",53725,45659,8066,"Hartford city, Connecticut",2497,2286,1179
"G09050370","2011","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",32033,27809,4224,"New Britain city, Connecticut",1909,1654,920
"G09052000","2011","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",58207,49184,9023,"New Haven city, Connecticut",3297,2697,1641
"G09055990","2011","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",40154,38987,1167,"Norwalk city, Connecticut",1963,1929,574
"G09073000","2011","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",49258,43972,5286,"Stamford city, Connecticut",2197,1952,1317
"G09080000","2011","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",50620,42038,8582,"Waterbury city, Connecticut",2162,1837,1521
"G10077580","2011","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",35618,30025,5593,"Wilmington city, Delaware",1661,1472,929
"G11050000","2011","DC",,,"District Of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",298908,268670,30238,"Washington city, District of Columbia",51,3200,3197
"G12000410","2011","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",28274,25023,3251,"Alafaya CDP, Florida",3505,3038,2175
"G12007300","2011","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",46338,36172,10166,"Boca Raton city, Florida",2355,1888,1623
"G12007875","2011","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",37643,28311,9332,"Boynton Beach city, Florida",2127,1886,1556
"G12008150","2011","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",42145,38751,3394,"Brandon CDP, Florida",3100,2959,1294
"G12010275","2011","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",77163,55058,22105,"Cape Coral city, Florida",4077,3543,3128
"G12012875","2011","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",65298,47731,17567,"Clearwater city, Florida",3536,2857,2748
"G12014400","2011","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",44560,40724,3836,"Coral Springs city, Florida",2299,2074,1247
"G12016475","2011","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",38149,32925,5224,"Davie town, Florida",2386,1779,1529
"G12016725","2011","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",39014,30338,8676,"Deerfield Beach city, Florida",3009,2221,2102
"G12017200","2011","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",34164,28056,6108,"Deltona city, Florida",2919,2281,1903
"G12024000","2011","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",96128,75189,20939,"Fort Lauderdale city, Florida",4500,3549,2716
"G12024125","2011","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",36024,22141,13883,"Fort Myers city, Florida",2746,1632,2381
"G12025175","2011","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",57698,49572,8126,"Gainesville city, Florida",2387,2460,1950
"G12030000","2011","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",72634,68640,3994,"Hialeah city, Florida",2957,2826,1275
"G12032000","2011","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",68326,53148,15178,"Hollywood city, Florida",3791,2655,2400
"G12035000","2011","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",367698,311369,56329,"Jacksonville city, Florida",1925,4606,4876
"G12036100","2011","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",31981,28644,3337,"Kendall CDP, Florida",2330,2394,1268
"G12038250","2011","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",49414,39678,9736,"Lakeland city, Florida",2612,2478,1769
"G12039425","2011","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",45072,34683,10389,"Largo city, Florida",2975,2301,1944
"G12039550","2011","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",29810,22435,7375,"Lauderhill city, Florida",3003,2111,1715
"G12039925","2011","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",39890,30778,9112,"Lehigh Acres CDP, Florida",3235,2364,2811
"G12043975","2011","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",41117,31670,9447,"Melbourne city, Florida",3070,2257,2451
"G12045000","2011","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",191012,149874,41138,"Miami city, Florida",5735,4205,3964
"G12045025","2011","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",66487,42727,23760,"Miami Beach city, Florida",4693,3597,2681
"G12045060","2011","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",34519,30403,4116,"Miami Gardens city, Florida",2216,2037,1088
"G12045975","2011","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",44979,41117,3862,"Miramar city, Florida",2936,2528,1671
"G12053000","2011","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",117116,97918,19198,"Orlando city, Florida",4285,3378,2925
"G12054000","2011","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"16000US1254000","Palm Bay city, Florida",42929,34947,7982,"Palm Bay city, Florida",2853,2483,1994
"G12054200","2011","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"16000US1254200","Palm Coast city, Florida",36054,27859,8195,"Palm Coast city, Florida",2174,3442,2695
"G12055775","2011","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"16000US1255775","Pembroke Pines city, Florida",62139,57682,4457,"Pembroke Pines city, Florida",3328,3107,1498
"G12057425","2011","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"16000US1257425","Plantation city, Florida",36179,31585,4594,"Plantation city, Florida",2426,2093,1497
"G12058050","2011","FL",,,"Florida","12",,,"Pompano Beach city","58050",,,,,,,,,,,,,,,,"16000US1258050","Pompano Beach city, Florida",57186,42420,14766,"Pompano Beach city, Florida",2930,2438,2107
"G12058715","2011","FL",,,"Florida","12",,,"Port St. Lucie city","58715",,,,,,,,,,,,,,,,"16000US1258715","Port St. Lucie city, Florida",67017,54766,12251,"Port St. Lucie city, Florida",3219,3282,3883
"G12060950","2011","FL",,,"Florida","12",,,"Riverview CDP","60950",,,,,,,,,,,,,,,,"16000US1260950","Riverview CDP, Florida",27930,21235,6695,"Riverview CDP, Florida",2666,2485,2482
"G12063000","2011","FL",,,"Florida","12",,,"St. Petersburg city","63000",,,,,,,,,,,,,,,,"16000US1263000","St. Petersburg city, Florida",124914,101235,23679,"St. Petersburg city, Florida",3889,3611,3163
"G12068350","2011","FL",,,"Florida","12",,,"Spring Hill CDP","68350",,,,,,,,,,,,,,,,"16000US1268350","Spring Hill CDP, Florida",46949,41335,5614,"Spring Hill CDP, Florida",2552,2515,2046
"G12069700","2011","FL",,,"Florida","12",,,"Sunrise city","69700",,,,,,,,,,,,,,,,"16000US1269700","Sunrise city, Florida",35538,30382,5156,"Sunrise city, Florida",2596,1884,1595
"G12070600","2011","FL",,,"Florida","12",,,"Tallahassee city","70600",,,,,,,,,,,,,,,,"16000US1270600","Tallahassee city, Florida",84831,73490,11341,"Tallahassee city, Florida",1923,2592,2125
"G12071000","2011","FL",,,"Florida","12",,,"Tampa city","71000",,,,,,,,,,,,,,,,"16000US1271000","Tampa city, Florida",160567,136664,23903,"Tampa city, Florida",4008,3755,2718
"G12072145","2011","FL",,,"Florida","12",,,"Town 'n' Country CDP","72145",,,,,,,,,,,,,,,,"16000US1272145","Town 'n' Country CDP, Florida",34490,29696,4794,"Town 'n' Country CDP, Florida",2889,2639,1440
"G12076582","2011","FL",,,"Florida","12",,,"Weston city","76582",,,,,,,,,,,,,,,,"16000US1276582","Weston city, Florida",26178,21286,4892,"Weston city, Florida",1999,1309,1387
"G12076600","2011","FL",,,"Florida","12",,,"West Palm Beach city","76600",,,,,,,,,,,,,,,,"16000US1276600","West Palm Beach city, Florida",54482,39798,14684,"West Palm Beach city, Florida",3380,2286,2452
"G13001052","2011","GA",,,"Georgia","13",,,"Albany city","01052",,,,,,,,,,,,,,,,"16000US1301052","Albany city, Georgia",34028,29901,4127,"Albany city, Georgia",861,1205,977
"G13003440","2011","GA",,,"Georgia","13",,,"Athens-Clarke County unified government (balance)","03440",,,,,,,,,,,,,,,,"16000US1303440","Athens-Clarke County unified government (balance), Georgia",50637,39708,10929,"Athens-Clarke County unified government (balance), Georgia",674,1777,1714
"G13004000","2011","GA",,,"Georgia","13",,,"Atlanta city","04000",,,,,,,,,,,,,,,,"16000US1304000","Atlanta city, Georgia",221247,174922,46325,"Atlanta city, Georgia",5285,5559,3942
"G13004204","2011","GA",,,"Georgia","13",,,"Augusta-Richmond County consolidated government (balance)","04204",,,,,,,,,,,,,,,,"16000US1304204","Augusta-Richmond County consolidated government (balance), Georgia",84361,69240,15121,"Augusta-Richmond County consolidated government (balance), Georgia",926,2190,2076
"G13019000","2011","GA",,,"Georgia","13",,,"Columbus city","19000",,,,,,,,,,,,,,,,"16000US1319000","Columbus city, Georgia",82698,70724,11974,"Columbus city, Georgia",876,1790,1717
"G13042425","2011","GA",,,"Georgia","13",,,"Johns Creek city","42425",,,,,,,,,,,,,,,,"16000US1342425","Johns Creek city, Georgia",28599,26387,2212,"Johns Creek city, Georgia",2609,1995,1583
"G13049000","2011","GA",,,"Georgia","13",,,"Macon city","49000",,,,,,,,,,,,,,,,"16000US1349000","Macon city, Georgia",41591,32637,8954,"Macon city, Georgia",1570,1782,1490
"G13067284","2011","GA",,,"Georgia","13",,,"Roswell city","67284",,,,,,,,,,,,,,,,"16000US1367284","Roswell city, Georgia",35787,33523,2264,"Roswell city, Georgia",2347,2174,1086
"G13068516","2011","GA",,,"Georgia","13",,,"Sandy Springs city","68516",,,,,,,,,,,,,,,,"16000US1368516","Sandy Springs city, Georgia",45309,41376,3933,"Sandy Springs city, Georgia",3187,3055,1454
"G13069000","2011","GA",,,"Georgia","13",,,"Savannah city","69000",,,,,,,,,,,,,,,,"16000US1369000","Savannah city, Georgia",61105,49773,11332,"Savannah city, Georgia",2052,1987,1612
"G13080508","2011","GA",,,"Georgia","13",,,"Warner Robins city","80508",,,,,,,,,,,,,,,,"16000US1380508","Warner Robins city, Georgia",30053,26428,3625,"Warner Robins city, Georgia",1851,1794,1537
"G15071550","2011","HI",,,"Hawaii","15",,,"Urban Honolulu CDP","71550",,,,,,,,,,,,,,,,"16000US1571550","Urban Honolulu CDP, Hawaii",141730,127512,14218,"Urban Honolulu CDP, Hawaii",2908,3272,2472
"G16008830","2011","ID",,,"Idaho","16",,,"Boise City city","08830",,,,,,,,,,,,,,,,"16000US1608830","Boise City city, Idaho",90782,85464,5318,"Boise City city, Idaho",2704,2636,1555
"G16052120","2011","ID",,,"Idaho","16",,,"Meridian city","52120",,,,,,,,,,,,,,,,"16000US1652120","Meridian city, Idaho",29296,27758,1538,"Meridian city, Idaho",2180,1767,1177
"G16056260","2011","ID",,,"Idaho","16",,,"Nampa city","56260",,,,,,,,,,,,,,,,"16000US1656260","Nampa city, Idaho",31698,28300,3398,"Nampa city, Idaho",2071,1986,1685
"G17002154","2011","IL",,,"Illinois","17",,,"Arlington Heights village","02154",,,,,,,,,,,,,,,,"16000US1702154","Arlington Heights village, Illinois",33750,32149,1601,"Arlington Heights village, Illinois",2152,1975,869
"G17003012","2011","IL",,,"Illinois","17",,,"Aurora city","03012",,,,,,,,,,,,,,,,"16000US1703012","Aurora city, Illinois",64620,58723,5897,"Aurora city, Illinois",3675,3664,1827
"G17006613","2011","IL",,,"Illinois","17",,,"Bloomington city","06613",,,,,,,,,,,,,,,,"16000US1706613","Bloomington city, Illinois",34115,30164,3951,"Bloomington city, Illinois",1509,1380,1195
"G17007133","2011","IL",,,"Illinois","17",,,"Bolingbrook village","07133",,,,,,,,,,,,,,,,"16000US1707133","Bolingbrook village, Illinois",23501,21448,2053,"Bolingbrook village, Illinois",2009,1816,1256
"G17012385","2011","IL",,,"Illinois","17",,,"Champaign city","12385",,,,,,,,,,,,,,,,"16000US1712385","Champaign city, Illinois",35869,32280,3589,"Champaign city, Illinois",1829,1917,1264
"G17014000","2011","IL",,,"Illinois","17",,,"Chicago city","14000",,,,,,,,,,,,,,,,"16000US1714000","Chicago city, Illinois",1192836,1016342,176494,"Chicago city, Illinois",9191,8953,7020
"G17014351","2011","IL",,,"Illinois","17",,,"Cicero town","14351",,,,,,,,,,,,,,,,"16000US1714351","Cicero town, Illinois",26492,21825,4667,"Cicero town, Illinois",1753,1333,1070
"G17018823","2011","IL",,,"Illinois","17",,,"Decatur city","18823",,,,,,,,,,,,,,,,"16000US1718823","Decatur city, Illinois",35330,29964,5366,"Decatur city, Illinois",1041,1377,1204
"G17023074","2011","IL",,,"Illinois","17",,,"Elgin city","23074",,,,,,,,,,,,,,,,"16000US1723074","Elgin city, Illinois",38244,35188,3056,"Elgin city, Illinois",3196,2933,1637
"G17024582","2011","IL",,,"Illinois","17",,,"Evanston city","24582",,,,,,,,,,,,,,,,"16000US1724582","Evanston city, Illinois",34543,31866,2677,"Evanston city, Illinois",2264,1935,1174
"G17038570","2011","IL",,,"Illinois","17",,,"Joliet city","38570",,,,,,,,,,,,,,,,"16000US1738570","Joliet city, Illinois",51959,47609,4350,"Joliet city, Illinois",2725,2540,1127
"G17051622","2011","IL",,,"Illinois","17",,,"Naperville city","51622",,,,,,,,,,,,,,,,"16000US1751622","Naperville city, Illinois",50411,47768,2643,"Naperville city, Illinois",2258,1854,1207
"G17057225","2011","IL",,,"Illinois","17",,,"Palatine village","57225",,,,,,,,,,,,,,,,"16000US1757225","Palatine village, Illinois",27860,24917,2943,"Palatine village, Illinois",2055,1753,1352
"G17059000","2011","IL",,,"Illinois","17",,,"Peoria city","59000",,,,,,,,,,,,,,,,"16000US1759000","Peoria city, Illinois",51492,46485,5007,"Peoria city, Illinois",1624,1785,1306
"G17065000","2011","IL",,,"Illinois","17",,,"Rockford city","65000",,,,,,,,,,,,,,,,"16000US1765000","Rockford city, Illinois",66892,58270,8622,"Rockford city, Illinois",1726,1987,1414
"G17068003","2011","IL",,,"Illinois","17",,,"Schaumburg village","68003",,,,,,,,,,,,,,,,"16000US1768003","Schaumburg village, Illinois",31075,29274,1801,"Schaumburg village, Illinois",2035,1989,924
"G17070122","2011","IL",,,"Illinois","17",,,"Skokie village","70122",,,,,,,,,,,,,,,,"16000US1770122","Skokie village, Illinois",25915,23841,2074,"Skokie village, Illinois",1895,1669,831
"G17072000","2011","IL",,,"Illinois","17",,,"Springfield city","72000",,,,,,,,,,,,,,,,"16000US1772000","Springfield city, Illinois",56131,51468,4663,"Springfield city, Illinois",1532,1714,1161
"G17079293","2011","IL",,,"Illinois","17",,,"Waukegan city","79293",,,,,,,,,,,,,,,,"16000US1779293","Waukegan city, Illinois",31596,27980,3616,"Waukegan city, Illinois",1959,1736,966
"G18005860","2011","IN",,,"Indiana","18",,,"Bloomington city","05860",,,,,,,,,,,,,,,,"16000US1805860","Bloomington city, Indiana",33335,30404,2931,"Bloomington city, Indiana",1873,1962,1103
"G18010342","2011","IN",,,"Indiana","18",,,"Carmel city","10342",,,,,,,,,,,,,,,,"16000US1810342","Carmel city, Indiana",30020,28488,1532,"Carmel city, Indiana",1811,1761,954
"G18022000","2011","IN",,,"Indiana","18",,,"Evansville city","22000",,,,,,,,,,,,,,,,"16000US1822000","Evansville city, Indiana",57938,50843,7095,"Evansville city, Indiana",1501,1908,1648
"G18023278","2011","IN",,,"Indiana","18",,,"Fishers town","23278",,,,,,,,,,,,,,,,"16000US1823278","Fishers town, Indiana",27459,26557,902,"Fishers town, Indiana",2015,1907,869
"G18025000","2011","IN",,,"Indiana","18",,,"Fort Wayne city","25000",,,,,,,,,,,,,,,,"16000US1825000","Fort Wayne city, Indiana",114579,101313,13266,"Fort Wayne city, Indiana",2045,2133,1846
"G18027000","2011","IN",,,"Indiana","18",,,"Gary city","27000",,,,,,,,,,,,,,,,"16000US1827000","Gary city, Indiana",41721,30362,11359,"Gary city, Indiana",1910,1624,1459
"G18031000","2011","IN",,,"Indiana","18",,,"Hammond city","31000",,,,,,,,,,,,,,,,"16000US1831000","Hammond city, Indiana",32364,27714,4650,"Hammond city, Indiana",1805,1440,992
"G18036003","2011","IN",,,"Indiana","18",,,"Indianapolis city (balance)","36003",,,,,,,,,,,,,,,,"16000US1836003","Indianapolis city (balance), Indiana",380390,324438,55952,"Indianapolis city (balance), Indiana",2905,4766,4300
"G18040788","2011","IN",,,"Indiana","18",,,"Lafayette city","40788",,,,,,,,,,,,,,,,"16000US1840788","Lafayette city, Indiana",29802,27479,2323,"Lafayette city, Indiana",1566,1506,931
"G18051876","2011","IN",,,"Indiana","18",,,"Muncie city","51876",,,,,,,,,,,,,,,,"16000US1851876","Muncie city, Indiana",31656,26746,4910,"Muncie city, Indiana",1453,1717,1118
"G18071000","2011","IN",,,"Indiana","18",,,"South Bend city","71000",,,,,,,,,,,,,,,,"16000US1871000","South Bend city, Indiana",47194,40552,6642,"South Bend city, Indiana",2046,1907,1270
"G19012000","2011","IA",,,"Iowa","19",,,"Cedar Rapids city","12000",,,,,,,,,,,,,,,,"16000US1912000","Cedar Rapids city, Iowa",57846,52909,4937,"Cedar Rapids city, Iowa",1759,1864,1275
"G19019000","2011","IA",,,"Iowa","19",,,"Davenport city","19000",,,,,,,,,,,,,,,,"16000US1919000","Davenport city, Iowa",44725,40379,4346,"Davenport city, Iowa",1122,1341,1099
"G19021000","2011","IA",,,"Iowa","19",,,"Des Moines city","21000",,,,,,,,,,,,,,,,"16000US1921000","Des Moines city, Iowa",89078,80140,8938,"Des Moines city, Iowa",2193,2177,1521
