GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,AQALE001,AQALE002,AQALE003,NAME_M,AQALM001,AQALM002,AQALM003
"G06060466","2022","CA",,,"California","06",,,"Rialto city","60466",,,,,,,,,,,,,,,,"1600000US0660466","0660466","Rialto city, California",27872,27295,577,"Rialto city, California",1739,1699,474
"G06060620","2022","CA",,,"California","06",,,"Richmond city","60620",,,,,,,,,,,,,,,,"1600000US0660620","0660620","Richmond city, California",41362,39931,1431,"Richmond city, California",2217,2116,780
"G06062000","2022","CA",,,"California","06",,,"Riverside city","62000",,,,,,,,,,,,,,,,"1600000US0662000","0662000","Riverside city, California",105145,99245,5900,"Riverside city, California",3227,3099,1395
"G06062364","2022","CA",,,"California","06",,,"Rocklin city","62364",,,,,,,,,,,,,,,,"1600000US0662364","0662364","Rocklin city, California",26325,26018,307,"Rocklin city, California",1314,1268,252
"G06062938","2022","CA",,,"California","06",,,"Roseville city","62938",,,,,,,,,,,,,,,,"1600000US0662938","0662938","Roseville city, California",63743,60918,2825,"Roseville city, California",2199,1962,940
"G06064000","2022","CA",,,"California","06",,,"Sacramento city","64000",,,,,,,,,,,,,,,,"1600000US0664000","0664000","Sacramento city, California",212260,200189,12071,"Sacramento city, California",4300,4287,1968
"G06064224","2022","CA",,,"California","06",,,"Salinas city","64224",,,,,,,,,,,,,,,,"1600000US0664224","0664224","Salinas city, California",47681,45815,1866,"Salinas city, California",2376,2358,835
"G06065000","2022","CA",,,"California","06",,,"San Bernardino city","65000",,,,,,,,,,,,,,,,"1600000US0665000","0665000","San Bernardino city, California",68352,65420,2932,"San Bernardino city, California",2849,2818,1185
"G06065042","2022","CA",,,"California","06",,,"San Buenaventura (Ventura) city","65042",,,,,,,,,,,,,,,,"1600000US0665042","0665042","San Buenaventura (Ventura) city, California",43779,41937,1842,"San Buenaventura (Ventura) city, California",2230,2069,864
"G06066000","2022","CA",,,"California","06",,,"San Diego city","66000",,,,,,,,,,,,,,,,"1600000US0666000","0666000","San Diego city, California",565401,528530,36871,"San Diego city, California",6665,5565,3601
"G06067000","2022","CA",,,"California","06",,,"San Francisco city","67000",,,,,,,,,,,,,,,,"1600000US0667000","0667000","San Francisco city, California",414553,361912,52641,"San Francisco city, California",750,4951,4903
"G06068000","2022","CA",,,"California","06",,,"San Jose city","68000",,,,,,,,,,,,,,,,"1600000US0668000","0668000","San Jose city, California",344995,328759,16236,"San Jose city, California",4741,4969,2575
"G06068084","2022","CA",,,"California","06",,,"San Leandro city","68084",,,,,,,,,,,,,,,,"1600000US0668084","0668084","San Leandro city, California",30365,29357,1008,"San Leandro city, California",1700,1567,622
"G06068196","2022","CA",,,"California","06",,,"San Marcos city","68196",,,,,,,,,,,,,,,,"1600000US0668196","0668196","San Marcos city, California",32346,31301,1045,"San Marcos city, California",1912,1805,806
"G06068252","2022","CA",,,"California","06",,,"San Mateo city","68252",,,,,,,,,,,,,,,,"1600000US0668252","0668252","San Mateo city, California",40971,38051,2920,"San Mateo city, California",2046,1700,1107
"G06068378","2022","CA",,,"California","06",,,"San Ramon city","68378",,,,,,,,,,,,,,,,"1600000US0668378","0668378","San Ramon city, California",31943,31210,733,"San Ramon city, California",1362,1307,515
"G06069000","2022","CA",,,"California","06",,,"Santa Ana city","69000",,,,,,,,,,,,,,,,"1600000US0669000","0669000","Santa Ana city, California",82395,78435,3960,"Santa Ana city, California",2936,2765,1281
"G06069070","2022","CA",,,"California","06",,,"Santa Barbara city","69070",,,,,,,,,,,,,,,,"1600000US0669070","0669070","Santa Barbara city, California",39008,36602,2406,"Santa Barbara city, California",2069,2011,883
"G06069084","2022","CA",,,"California","06",,,"Santa Clara city","69084",,,,,,,,,,,,,,,,"1600000US0669084","0669084","Santa Clara city, California",52146,49598,2548,"Santa Clara city, California",1959,1871,977
"G06069088","2022","CA",,,"California","06",,,"Santa Clarita city","69088",,,,,,,,,,,,,,,,"1600000US0669088","0669088","Santa Clarita city, California",75666,73618,2048,"Santa Clarita city, California",2383,2222,965
"G06069196","2022","CA",,,"California","06",,,"Santa Maria city","69196",,,,,,,,,,,,,,,,"1600000US0669196","0669196","Santa Maria city, California",29910,28907,1003,"Santa Maria city, California",1831,1718,632
"G06070000","2022","CA",,,"California","06",,,"Santa Monica city","70000",,,,,,,,,,,,,,,,"1600000US0670000","0670000","Santa Monica city, California",47914,43189,4725,"Santa Monica city, California",2752,2402,1451
"G06070098","2022","CA",,,"California","06",,,"Santa Rosa city","70098",,,,,,,,,,,,,,,,"1600000US0670098","0670098","Santa Rosa city, California",72919,69855,3064,"Santa Rosa city, California",2532,2423,1131
"G06072016","2022","CA",,,"California","06",,,"Simi Valley city","72016",,,,,,,,,,,,,,,,"1600000US0672016","0672016","Simi Valley city, California",42252,41730,522,"Simi Valley city, California",2228,2187,410
"G06073080","2022","CA",,,"California","06",,,"South Gate city","73080",,,,,,,,,,,,,,,,"1600000US0673080","0673080","South Gate city, California",26083,25199,884,"South Gate city, California",1760,1632,529
"G06075000","2022","CA",,,"California","06",,,"Stockton city","75000",,,,,,,,,,,,,,,,"1600000US0675000","0675000","Stockton city, California",106904,99937,6967,"Stockton city, California",2875,2760,1615
"G06077000","2022","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"1600000US0677000","0677000","Sunnyvale city, California",61301,58472,2829,"Sunnyvale city, California",2149,2075,1038
"G06078120","2022","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"1600000US0678120","0678120","Temecula city, California",36907,35879,1028,"Temecula city, California",2058,1879,887
"G06078582","2022","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"1600000US0678582","0678582","Thousand Oaks city, California",49680,46627,3053,"Thousand Oaks city, California",2700,2221,1394
"G06080000","2022","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"1600000US0680000","0680000","Torrance city, California",58192,55215,2977,"Torrance city, California",2450,2128,1143
"G06080238","2022","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"1600000US0680238","0680238","Tracy city, California",28338,27260,1078,"Tracy city, California",1576,1515,622
"G06080644","2022","CA",,,"California","06",,,"Tulare city","80644",,,,,,,,,,,,,,,,"1600000US0680644","0680644","Tulare city, California",22795,21138,1657,"Tulare city, California",1519,1360,743
"G06080812","2022","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"1600000US0680812","0680812","Turlock city, California",25960,24537,1423,"Turlock city, California",1797,1613,927
"G06080854","2022","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"1600000US0680854","0680854","Tustin city, California",27134,26631,503,"Tustin city, California",1536,1539,436
"G06081204","2022","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"1600000US0681204","0681204","Union City city, California",22160,21449,711,"Union City city, California",1230,1113,538
"G06081344","2022","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"1600000US0681344","0681344","Upland city, California",27513,26352,1161,"Upland city, California",1544,1489,629
"G06081554","2022","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"1600000US0681554","0681554","Vacaville city, California",35398,34623,775,"Vacaville city, California",1944,1930,585
"G06081666","2022","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"1600000US0681666","0681666","Vallejo city, California",47537,46006,1531,"Vallejo city, California",2047,2047,686
"G06082590","2022","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"1600000US0682590","0682590","Victorville city, California",37710,36647,1063,"Victorville city, California",2141,2147,599
"G06082954","2022","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"1600000US0682954","0682954","Visalia city, California",49550,46975,2575,"Visalia city, California",2196,2245,1023
"G06082996","2022","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"1600000US0682996","0682996","Vista city, California",34700,33232,1468,"Vista city, California",2161,2073,911
"G06083346","2022","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"1600000US0683346","0683346","Walnut Creek city, California",32480,31583,897,"Walnut Creek city, California",1676,1639,615
"G06084200","2022","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"1600000US0684200","0684200","West Covina city, California",35198,34104,1094,"West Covina city, California",1783,1620,512
"G06084550","2022","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"1600000US0684550","0684550","Westminster city, California",29430,28477,953,"Westminster city, California",1973,1984,661
"G06085292","2022","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"1600000US0685292","0685292","Whittier city, California",29928,28151,1777,"Whittier city, California",1722,1473,705
"G06086832","2022","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"1600000US0686832","0686832","Yorba Linda city, California",25136,23691,1445,"Yorba Linda city, California",1317,1239,735
"G06086972","2022","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"1600000US0686972","0686972","Yuba City city, California",24329,23949,380,"Yuba City city, California",843,884,322
"G08003455","2022","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"1600000US0803455","0803455","Arvada city, Colorado",53188,50537,2651,"Arvada city, Colorado",2319,2081,1073
"G08004000","2022","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"1600000US0804000","0804000","Aurora city, Colorado",150920,145493,5427,"Aurora city, Colorado",3292,3070,1475
"G08007850","2022","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"1600000US0807850","0807850","Boulder city, Colorado",48446,44369,4077,"Boulder city, Colorado",1793,1669,1288
"G08009280","2022","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"1600000US0809280","0809280","Broomfield city, Colorado",32822,31244,1578,"Broomfield city, Colorado",30,739,741
"G08012415","2022","CO",,,"Colorado","08",,,"Castle Rock town","12415",,,,,,,,,,,,,,,,"1600000US0812415","0812415","Castle Rock town, Colorado",30271,29068,1203,"Castle Rock town, Colorado",1722,1844,904
"G08012815","2022","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"1600000US0812815","0812815","Centennial city, Colorado",42744,42521,223,"Centennial city, Colorado",1932,1878,221
"G08016000","2022","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"1600000US0816000","0816000","Colorado Springs city, Colorado",213240,206648,6592,"Colorado Springs city, Colorado",2865,2946,1501
"G08016495","2022","CO",,,"Colorado","08",,,"Commerce City city","16495",,,,,,,,,,,,,,,,"1600000US0816495","0816495","Commerce City city, Colorado",21726,20917,809,"Commerce City city, Colorado",2488,2343,624
"G08020000","2022","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"1600000US0820000","0820000","Denver city, Colorado",361212,334942,26270,"Denver city, Colorado",174,3779,3767
"G08027425","2022","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"1600000US0827425","0827425","Fort Collins city, Colorado",74820,72089,2731,"Fort Collins city, Colorado",2013,2092,1293
"G08031660","2022","CO",,,"Colorado","08",,,"Grand Junction city","31660",,,,,,,,,,,,,,,,"1600000US0831660","0831660","Grand Junction city, Colorado",29602,27941,1661,"Grand Junction city, Colorado",1646,1883,957
"G08032155","2022","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"1600000US0832155","0832155","Greeley city, Colorado",42635,39643,2992,"Greeley city, Colorado",1935,1880,1068
"G08036410","2022","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"1600000US0836410","0836410","Highlands Ranch CDP, Colorado",39990,38839,1151,"Highlands Ranch CDP, Colorado",2356,2085,728
"G08043000","2022","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"1600000US0843000","0843000","Lakewood city, Colorado",73196,68616,4580,"Lakewood city, Colorado",2568,2477,1497
"G08045970","2022","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"1600000US0845970","0845970","Longmont city, Colorado",44399,44062,337,"Longmont city, Colorado",1950,1920,339
"G08046465","2022","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"1600000US0846465","0846465","Loveland city, Colorado",33634,32760,874,"Loveland city, Colorado",1695,1442,701
"G08062000","2022","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"1600000US0862000","0862000","Pueblo city, Colorado",48377,45020,3357,"Pueblo city, Colorado",1305,1497,1123
"G08077290","2022","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"1600000US0877290","0877290","Thornton city, Colorado",50985,50048,937,"Thornton city, Colorado",2238,2162,732
"G08083835","2022","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"1600000US0883835","0883835","Westminster city, Colorado",50338,47906,2432,"Westminster city, Colorado",2224,1848,1093
"G09008000","2022","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"1600000US0908000","0908000","Bridgeport city, Connecticut",60711,56960,3751,"Bridgeport city, Connecticut",2230,2411,947
"G09018430","2022","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"1600000US0918430","0918430","Danbury city, Connecticut",31578,30238,1340,"Danbury city, Connecticut",2046,1987,702
"G09037000","2022","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"1600000US0937000","0937000","Hartford city, Connecticut",57617,50933,6684,"Hartford city, Connecticut",2892,2681,1037
"G09050370","2022","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"1600000US0950370","0950370","New Britain city, Connecticut",32915,30326,2589,"New Britain city, Connecticut",2000,1939,976
"G09052000","2022","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"1600000US0952000","0952000","New Haven city, Connecticut",61782,56174,5608,"New Haven city, Connecticut",2778,2640,1617
"G09055990","2022","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"1600000US0955990","0955990","Norwalk city, Connecticut",38917,36149,2768,"Norwalk city, Connecticut",2192,2153,1013
"G09073000","2022","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"1600000US0973000","0973000","Stamford city, Connecticut",61802,59138,2664,"Stamford city, Connecticut",2506,2538,936
"G09080000","2022","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"1600000US0980000","0980000","Waterbury city, Connecticut",46201,43950,2251,"Waterbury city, Connecticut",2742,2477,879
"G10077580","2022","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"1600000US1077580","1077580","Wilmington city, Delaware",36697,32239,4458,"Wilmington city, Delaware",2021,2003,1080
"G11050000","2022","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"1600000US1150000","1150000","Washington city, District of Columbia",360862,326970,33892,"Washington city, District of Columbia",68,3481,3471
"G12000410","2022","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"1600000US1200410","1200410","Alafaya CDP, Florida",35263,34014,1249,"Alafaya CDP, Florida",2767,2794,970
"G12007300","2022","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"1600000US1207300","1207300","Boca Raton city, Florida",48884,40668,8216,"Boca Raton city, Florida",2877,2387,1858
"G12007875","2022","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"1600000US1207875","1207875","Boynton Beach city, Florida",45391,35298,10093,"Boynton Beach city, Florida",3220,2509,1617
"G12008150","2022","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"1600000US1208150","1208150","Brandon CDP, Florida",49576,46975,2601,"Brandon CDP, Florida",3446,3505,1082
"G12010275","2022","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"1600000US1210275","1210275","Cape Coral city, Florida",99811,81419,18392,"Cape Coral city, Florida",3712,3854,2978
"G12012875","2022","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"1600000US1212875","1212875","Clearwater city, Florida",61131,48490,12641,"Clearwater city, Florida",3062,2388,2187
"G12014400","2022","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"1600000US1214400","1214400","Coral Springs city, Florida",46470,44755,1715,"Coral Springs city, Florida",2500,2238,984
"G12016475","2022","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"1600000US1216475","1216475","Davie town, Florida",41044,38210,2834,"Davie town, Florida",2817,2355,1298
"G12016525","2022","FL",,,"Florida","12",,,"Daytona Beach city","16525",,,,,,,,,,,,,,,,"1600000US1216525","1216525","Daytona Beach city, Florida",41417,33732,7685,"Daytona Beach city, Florida",2543,2342,1689
"G12016725","2022","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"1600000US1216725","1216725","Deerfield Beach city, Florida",42920,33267,9653,"Deerfield Beach city, Florida",3107,2268,1869
"G12017100","2022","FL",,,"Florida","12",,,"Delray Beach city","17100",,,,,,,,,,,,,,,,"1600000US1217100","1217100","Delray Beach city, Florida",33726,26688,7038,"Delray Beach city, Florida",2668,2441,1362
"G12017200","2022","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"1600000US1217200","1217200","Deltona city, Florida",34050,32909,1141,"Deltona city, Florida",1951,1824,788
"G12017935","2022","FL",,,"Florida","12",,,"Doral city","17935",,,,,,,,,,,,,,,,"1600000US1217935","1217935","Doral city, Florida",28858,25770,3088,"Doral city, Florida",1912,1290,1246
"G12024000","2022","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"1600000US1224000","1224000","Fort Lauderdale city, Florida",101840,80089,21751,"Fort Lauderdale city, Florida",4677,3967,2625
"G12024125","2022","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"1600000US1224125","1224125","Fort Myers city, Florida",51180,40790,10390,"Fort Myers city, Florida",2910,2484,1882
"G12024581","2022","FL",,,"Florida","12",,,"Four Corners CDP","24581",,,,,,,,,,,,,,,,"1600000US1224581","1224581","Four Corners CDP, Florida",39509,28434,11075,"Four Corners CDP, Florida",4068,3387,2906
"G12025175","2022","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"1600000US1225175","1225175","Gainesville city, Florida",66582,60343,6239,"Gainesville city, Florida",2305,2371,1603
"G12030000","2022","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"1600000US1230000","1230000","Hialeah city, Florida",80412,78015,2397,"Hialeah city, Florida",2528,2464,837
"G12032000","2022","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"1600000US1232000","1232000","Hollywood city, Florida",76054,63958,12096,"Hollywood city, Florida",3082,2694,1746
"G12032275","2022","FL",,,"Florida","12",,,"Homestead city","32275",,,,,,,,,,,,,,,,"1600000US1232275","1232275","Homestead city, Florida",28408,27124,1284,"Homestead city, Florida",2125,1929,759
"G12035000","2022","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"1600000US1235000","1235000","Jacksonville city, Florida",429392,395223,34169,"Jacksonville city, Florida",1884,4608,4072
"G12036100","2022","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"1600000US1236100","1236100","Kendall CDP, Florida",32940,31159,1781,"Kendall CDP, Florida",2919,2808,846
"G12036950","2022","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"1600000US1236950","1236950","Kissimmee city, Florida",32754,29541,3213,"Kissimmee city, Florida",2831,2758,1254
"G12038250","2022","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"1600000US1238250","1238250","Lakeland city, Florida",57635,50058,7577,"Lakeland city, Florida",3220,3030,1771
"G12039425","2022","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"1600000US1239425","1239425","Largo city, Florida",48086,40099,7987,"Largo city, Florida",3120,2460,1631
"G12039550","2022","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"1600000US1239550","1239550","Lauderhill city, Florida",28233,25091,3142,"Lauderhill city, Florida",2104,1980,1208
"G12039925","2022","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"1600000US1239925","1239925","Lehigh Acres CDP, Florida",46548,43929,2619,"Lehigh Acres CDP, Florida",3108,3025,1170
"G12043975","2022","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"1600000US1243975","1243975","Melbourne city, Florida",40675,37902,2773,"Melbourne city, Florida",2460,2223,979
"G12045000","2022","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"1600000US1245000","1245000","Miami city, Florida",228213,199578,28635,"Miami city, Florida",5615,4782,3328
"G12045025","2022","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"1600000US1245025","1245025","Miami Beach city, Florida",62596,41597,20999,"Miami Beach city, Florida",3819,2885,2425
"G12045060","2022","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"1600000US1245060","1245060","Miami Gardens city, Florida",37364,36040,1324,"Miami Gardens city, Florida",2350,2179,586
"G12045975","2022","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"1600000US1245975","1245975","Miramar city, Florida",46489,45016,1473,"Miramar city, Florida",2996,2883,764
"G12049675","2022","FL",,,"Florida","12",,,"North Port city","49675",,,,,,,,,,,,,,,,"1600000US1249675","1249675","North Port city, Florida",39117,34297,4820,"North Port city, Florida",2809,2308,1421
"G12050750","2022","FL",,,"Florida","12",,,"Ocala city","50750",,,,,,,,,,,,,,,,"1600000US1250750","1250750","Ocala city, Florida",29402,24206,5196,"Ocala city, Florida",2442,1755,1584
"G12053000","2022","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"1600000US1253000","1253000","Orlando city, Florida",147352,136364,10988,"Orlando city, Florida",4805,4604,2043
"G12054000","2022","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"1600000US1254000","1254000","Palm Bay city, Florida",48332,44338,3994,"Palm Bay city, Florida",2331,2224,1345
"G12054200","2022","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"1600000US1254200","1254200","Palm Coast city, Florida",46026,42656,3370,"Palm Coast city, Florida",1385,1775,1444
"G12054350","2022","FL",,,"Florida","12",,,"Palm Harbor CDP","54350",,,,,,,,,,,,,,,,"1600000US1254350","1254350","Palm Harbor CDP, Florida",31029,27531,3498,"Palm Harbor CDP, Florida",2816,2266,1453
"G12055775","2022","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"1600000US1255775","1255775","Pembroke Pines city, Florida",64070,62685,1385,"Pembroke Pines city, Florida",2999,2819,818
"G12056825","2022","FL",,,"Florida","12",,,"Pine Hills CDP","56825",,,,,,,,,,,,,,,,"1600000US1256825","1256825","Pine Hills CDP, Florida",24533,24183,350,"Pine Hills CDP, Florida",2723,2764,346
"G12057425","2022","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"1600000US1257425","1257425","Plantation city, Florida",38426,36054,2372,"Plantation city, Florida",2254,2038,1033
"G12057900","2022","FL",,,"Florida","12",,,"Poinciana CDP","57900",,,,,,,,,,,,,,,,"1600000US1257900","1257900","Poinciana CDP, Florida",29771,27494,2277,"Poinciana CDP, Florida",3218,3059,1090
"G12058050","2022","FL",,,"Florida","12",,,"Pompano Beach city","58050",,,,,,,,,,,,,,,,"1600000US1258050","1258050","Pompano Beach city, Florida",61553,48177,13376,"Pompano Beach city, Florida",3258,2689,2248
"G12058350","2022","FL",,,"Florida","12",,,"Port Charlotte CDP","58350",,,,,,,,,,,,,,,,"1600000US1258350","1258350","Port Charlotte CDP, Florida",31930,26788,5142,"Port Charlotte CDP, Florida",2164,2414,1711
"G12058715","2022","FL",,,"Florida","12",,,"Port St. Lucie city","58715",,,,,,,,,,,,,,,,"1600000US1258715","1258715","Port St. Lucie city, Florida",90756,82788,7968,"Port St. Lucie city, Florida",3252,3392,1982
"G12060950","2022","FL",,,"Florida","12",,,"Riverview CDP","60950",,,,,,,,,,,,,,,,"1600000US1260950","1260950","Riverview CDP, Florida",40972,38803,2169,"Riverview CDP, Florida",3426,3367,1202
"G12063000","2022","FL",,,"Florida","12",,,"St. Petersburg city","63000",,,,,,,,,,,,,,,,"1600000US1263000","1263000","St. Petersburg city, Florida",141257,117276,23981,"St. Petersburg city, Florida",4293,4186,2883
"G12068350","2022","FL",,,"Florida","12",,,"Spring Hill CDP","68350",,,,,,,,,,,,,,,,"1600000US1268350","1268350","Spring Hill CDP, Florida",49919,45677,4242,"Spring Hill CDP, Florida",2063,2254,1320
"G12069700","2022","FL",,,"Florida","12",,,"Sunrise city","69700",,,,,,,,,,,,,,,,"1600000US1269700","1269700","Sunrise city, Florida",41017,36798,4219,"Sunrise city, Florida",2765,2315,1353
"G12070600","2022","FL",,,"Florida","12",,,"Tallahassee city","70600",,,,,,,,,,,,,,,,"1600000US1270600","1270600","Tallahassee city, Florida",97966,83747,14219,"Tallahassee city, Florida",1911,2241,2079
"G12070675","2022","FL",,,"Florida","12",,,"Tamarac city","70675",,,,,,,,,,,,,,,,"1600000US1270675","1270675","Tamarac city, Florida",36526,32274,4252,"Tamarac city, Florida",2165,1865,1246
"G12071000","2022","FL",,,"Florida","12",,,"Tampa city","71000",,,,,,,,,,,,,,,,"1600000US1271000","1271000","Tampa city, Florida",183457,166243,17214,"Tampa city, Florida",4530,4161,2477
"G12071625","2022","FL",,,"Florida","12",,,"The Villages CDP","71625",,,,,,,,,,,,,,,,"1600000US1271625","1271625","The Villages CDP, Florida",54009,45783,8226,"The Villages CDP, Florida",2603,2307,2511
"G12072145","2022","FL",,,"Florida","12",,,"Town 'n' Country CDP","72145",,,,,,,,,,,,,,,,"1600000US1272145","1272145","Town 'n' Country CDP, Florida",34103,32132,1971,"Town 'n' Country CDP, Florida",2798,3020,1109
"G12075875","2022","FL",,,"Florida","12",,,"Wesley Chapel CDP","75875",,,,,,,,,,,,,,,,"1600000US1275875","1275875","Wesley Chapel CDP, Florida",28890,27725,1165,"Wesley Chapel CDP, Florida",2490,2486,854
"G12076582","2022","FL",,,"Florida","12",,,"Weston city","76582",,,,,,,,,,,,,,,,"1600000US1276582","1276582","Weston city, Florida",21458,20634,824,"Weston city, Florida",973,938,465
"G12076600","2022","FL",,,"Florida","12",,,"West Palm Beach city","76600",,,,,,,,,,,,,,,,"1600000US1276600","1276600","West Palm Beach city, Florida",61130,51208,9922,"West Palm Beach city, Florida",3594,2941,2128
"G13001052","2022","GA",,,"Georgia","13",,,"Albany city","01052",,,,,,,,,,,,,,,,"1600000US1301052","1301052","Albany city, Georgia",33227,27608,5619,"Albany city, Georgia",1044,1407,1259
