GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALIME001,ALIME002,ALIME003,NAME_M,ALIMM001,ALIMM002,ALIMM003
"G05035710","2019","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",33769,29688,4081,"Jonesboro city, Arkansas",1387,1606,1414
"G05041000","2019","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",97530,80063,17467,"Little Rock city, Arkansas",3439,3316,2551
"G05050450","2019","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",31875,27903,3972,"North Little Rock city, Arkansas",2002,2003,1086
"G05060410","2019","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"16000US0560410","Rogers city, Arkansas",26325,24297,2028,"Rogers city, Arkansas",1651,1614,786
"G05066080","2019","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",28115,26443,1672,"Springdale city, Arkansas",2048,1905,1231
"G06000562","2019","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",33241,30788,2453,"Alameda city, California",2144,1736,982
"G06000884","2019","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",30471,28777,1694,"Alhambra city, California",1693,1370,659
"G06002000","2019","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",110647,105301,5346,"Anaheim city, California",3466,3293,1515
"G06002252","2019","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",36663,36138,525,"Antioch city, California",2377,2362,433
"G06002364","2019","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",27510,23774,3736,"Apple Valley town, California",2402,1871,1340
"G06002553","2019","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",44425,42309,2116,"Arden-Arcade CDP, California",2882,2704,1130
"G06003526","2019","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",124863,116558,8305,"Bakersfield city, California",3248,3205,2137
"G06003666","2019","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",19880,19350,530,"Baldwin Park city, California",1210,1139,380
"G06004982","2019","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",25114,23369,1745,"Bellflower city, California",1675,1432,744
"G06006000","2019","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",47994,44551,3443,"Berkeley city, California",2537,2418,1124
"G06008786","2019","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",26509,25362,1147,"Buena Park city, California",1637,1482,728
"G06008954","2019","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",46254,43167,3087,"Burbank city, California",2443,2150,1256
"G06010046","2019","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",28540,27274,1266,"Camarillo city, California",1571,1488,735
"G06011194","2019","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",51631,44966,6665,"Carlsbad city, California",2793,1995,2048
"G06011390","2019","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"16000US0611390","Carmichael CDP, California",27590,26577,1013,"Carmichael CDP, California",2157,2018,846
"G06011530","2019","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",26986,25573,1413,"Carson city, California",1614,1402,763
"G06013014","2019","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",40176,37040,3136,"Chico city, California",1834,1817,991
