GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALIME001,ALIME002,ALIME003,NAME_M,ALIMM001,ALIMM002,ALIMM003
"G06064000","2019","CA",,,"California","06",,,"Sacramento city","64000",,,,,,,,,,,,,,,,"16000US0664000","Sacramento city, California",200079,191911,8168,"Sacramento city, California",3877,3797,1539
"G06064224","2019","CA",,,"California","06",,,"Salinas city","64224",,,,,,,,,,,,,,,,"16000US0664224","Salinas city, California",41388,39862,1526,"Salinas city, California",1840,1748,698
"G06065000","2019","CA",,,"California","06",,,"San Bernardino city","65000",,,,,,,,,,,,,,,,"16000US0665000","San Bernardino city, California",63523,60308,3215,"San Bernardino city, California",2630,2414,895
"G06065042","2019","CA",,,"California","06",,,"San Buenaventura (Ventura) city","65042",,,,,,,,,,,,,,,,"16000US0665042","San Buenaventura (Ventura) city, California",44793,40513,4280,"San Buenaventura (Ventura) city, California",2163,1998,1211
"G06065084","2019","CA",,,"California","06",,,"San Clemente city","65084",,,,,,,,,,,,,,,,"16000US0665084","San Clemente city, California",26423,23182,3241,"San Clemente city, California",1620,1259,1053
"G06066000","2019","CA",,,"California","06",,,"San Diego city","66000",,,,,,,,,,,,,,,,"16000US0666000","San Diego city, California",556735,512530,44205,"San Diego city, California",6671,7052,4980
"G06067000","2019","CA",,,"California","06",,,"San Francisco city","67000",,,,,,,,,,,,,,,,"16000US0667000","San Francisco city, California",406399,365851,40548,"San Francisco city, California",1432,4759,4399
"G06068000","2019","CA",,,"California","06",,,"San Jose city","68000",,,,,,,,,,,,,,,,"16000US0668000","San Jose city, California",343234,327894,15340,"San Jose city, California",4703,5001,2765
"G06068084","2019","CA",,,"California","06",,,"San Leandro city","68084",,,,,,,,,,,,,,,,"16000US0668084","San Leandro city, California",33469,31691,1778,"San Leandro city, California",2703,2468,1002
"G06068196","2019","CA",,,"California","06",,,"San Marcos city","68196",,,,,,,,,,,,,,,,"16000US0668196","San Marcos city, California",33095,30852,2243,"San Marcos city, California",2307,2060,1330
"G06068252","2019","CA",,,"California","06",,,"San Mateo city","68252",,,,,,,,,,,,,,,,"16000US0668252","San Mateo city, California",41973,39564,2409,"San Mateo city, California",2222,1868,1067
"G06068378","2019","CA",,,"California","06",,,"San Ramon city","68378",,,,,,,,,,,,,,,,"16000US0668378","San Ramon city, California",26697,25697,1000,"San Ramon city, California",1317,1179,677
"G06069000","2019","CA",,,"California","06",,,"Santa Ana city","69000",,,,,,,,,,,,,,,,"16000US0669000","Santa Ana city, California",82990,79704,3286,"Santa Ana city, California",2641,2689,1099
"G06069070","2019","CA",,,"California","06",,,"Santa Barbara city","69070",,,,,,,,,,,,,,,,"16000US0669070","Santa Barbara city, California",41215,38674,2541,"Santa Barbara city, California",2335,2334,843
"G06069084","2019","CA",,,"California","06",,,"Santa Clara city","69084",,,,,,,,,,,,,,,,"16000US0669084","Santa Clara city, California",50936,46608,4328,"Santa Clara city, California",2447,2062,1484
"G06069088","2019","CA",,,"California","06",,,"Santa Clarita city","69088",,,,,,,,,,,,,,,,"16000US0669088","Santa Clarita city, California",72966,69975,2991,"Santa Clarita city, California",2659,2264,1171
"G06069112","2019","CA",,,"California","06",,,"Santa Cruz city","69112",,,,,,,,,,,,,,,,"16000US0669112","Santa Cruz city, California",24029,22166,1863,"Santa Cruz city, California",1956,1882,862
"G06069196","2019","CA",,,"California","06",,,"Santa Maria city","69196",,,,,,,,,,,,,,,,"16000US0669196","Santa Maria city, California",29084,27079,2005,"Santa Maria city, California",1817,1878,900
"G06070000","2019","CA",,,"California","06",,,"Santa Monica city","70000",,,,,,,,,,,,,,,,"16000US0670000","Santa Monica city, California",50563,45096,5467,"Santa Monica city, California",3004,2236,1840
"G06070098","2019","CA",,,"California","06",,,"Santa Rosa city","70098",,,,,,,,,,,,,,,,"16000US0670098","Santa Rosa city, California",69406,65590,3816,"Santa Rosa city, California",2460,2348,1450
"G06072016","2019","CA",,,"California","06",,,"Simi Valley city","72016",,,,,,,,,,,,,,,,"16000US0672016","Simi Valley city, California",44520,42117,2403,"Simi Valley city, California",2034,1898,1123
"G06073080","2019","CA",,,"California","06",,,"South Gate city","73080",,,,,,,,,,,,,,,,"16000US0673080","South Gate city, California",24349,23559,790,"South Gate city, California",1328,1254,509
"G06073262","2019","CA",,,"California","06",,,"South San Francisco city","73262",,,,,,,,,,,,,,,,"16000US0673262","South San Francisco city, California",23307,22355,952,"South San Francisco city, California",1539,1481,658
"G06075000","2019","CA",,,"California","06",,,"Stockton city","75000",,,,,,,,,,,,,,,,"16000US0675000","Stockton city, California",104720,96149,8571,"Stockton city, California",2937,3251,1656
"G06077000","2019","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"16000US0677000","Sunnyvale city, California",59151,55424,3727,"Sunnyvale city, California",2463,2220,1351
"G06078120","2019","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"16000US0678120","Temecula city, California",37042,35638,1404,"Temecula city, California",2009,1881,876
"G06078582","2019","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"16000US0678582","Thousand Oaks city, California",47610,44618,2992,"Thousand Oaks city, California",2033,1803,1173
"G06080000","2019","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"16000US0680000","Torrance city, California",59079,55483,3596,"Torrance city, California",2779,2560,1318
"G06080238","2019","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"16000US0680238","Tracy city, California",28246,26771,1475,"Tracy city, California",1644,1446,849
"G06080644","2019","CA",,,"California","06",,,"Tulare city","80644",,,,,,,,,,,,,,,,"16000US0680644","Tulare city, California",18731,18170,561,"Tulare city, California",1210,1187,494
"G06080812","2019","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"16000US0680812","Turlock city, California",26517,25718,799,"Turlock city, California",1847,1683,618
"G06080854","2019","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"16000US0680854","Tustin city, California",25632,24125,1507,"Tustin city, California",1630,1375,871
"G06081204","2019","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"16000US0681204","Union City city, California",23648,22469,1179,"Union City city, California",1257,1085,672
"G06081344","2019","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"16000US0681344","Upland city, California",27462,26201,1261,"Upland city, California",1456,1276,745
"G06081554","2019","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"16000US0681554","Vacaville city, California",34817,32560,2257,"Vacaville city, California",1908,1673,1002
"G06081666","2019","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",45159,42200,2959,"Vallejo city, California",2235,2080,1074
"G06082590","2019","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",33991,32188,1803,"Victorville city, California",2478,2150,1044
"G06082954","2019","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",47900,45878,2022,"Visalia city, California",2080,1933,997
"G06082996","2019","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",32469,31075,1394,"Vista city, California",2372,2204,826
"G06083346","2019","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",33971,31558,2413,"Walnut Creek city, California",2268,1639,1175
"G06084200","2019","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",31230,30682,548,"West Covina city, California",1545,1510,369
"G06084550","2019","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",28112,26984,1128,"Westminster city, California",1560,1532,669
"G06085292","2019","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",27798,26884,914,"Whittier city, California",1494,1348,592
"G06086832","2019","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",23938,22676,1262,"Yorba Linda city, California",1489,1331,846
"G06086972","2019","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",24998,24393,605,"Yuba City city, California",973,1069,519
"G08003455","2019","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",49888,48353,1535,"Arvada city, Colorado",1716,1569,873
"G08004000","2019","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",141909,136443,5466,"Aurora city, Colorado",3185,2693,1281
"G08007850","2019","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",45954,42462,3492,"Boulder city, Colorado",2147,2101,1140
"G08009280","2019","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"16000US0809280","Broomfield city, Colorado",29677,28062,1615,"Broomfield city, Colorado",202,748,758
"G08012415","2019","CO",,,"Colorado","08",,,"Castle Rock town","12415",,,,,,,,,,,,,,,,"16000US0812415","Castle Rock town, Colorado",24870,23803,1067,"Castle Rock town, Colorado",1243,1258,707
"G08012815","2019","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",41432,40151,1281,"Centennial city, Colorado",1813,1592,837
"G08016000","2019","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",199168,188837,10331,"Colorado Springs city, Colorado",2237,2803,2177
"G08020000","2019","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",338346,318445,19901,"Denver city, Colorado",923,3441,3326
"G08027425","2019","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",72603,70831,1772,"Fort Collins city, Colorado",2355,2402,800
"G08032155","2019","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",40504,38299,2205,"Greeley city, Colorado",1681,1607,847
"G08036410","2019","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",37961,37081,880,"Highlands Ranch CDP, Colorado",1732,1690,635
"G08043000","2019","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",70722,67857,2865,"Lakewood city, Colorado",2237,2192,999
"G08045970","2019","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",41696,39984,1712,"Longmont city, Colorado",1932,1819,896
"G08046465","2019","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",33990,33393,597,"Loveland city, Colorado",2157,2091,521
"G08062000","2019","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",48427,44945,3482,"Pueblo city, Colorado",1379,1618,1043
"G08077290","2019","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",48592,46900,1692,"Thornton city, Colorado",2421,2320,902
"G08083835","2019","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",45621,43890,1731,"Westminster city, Colorado",1934,1830,786
"G09008000","2019","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",57610,50103,7507,"Bridgeport city, Connecticut",2532,2314,1279
"G09018430","2019","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",35922,32310,3612,"Danbury city, Connecticut",2818,2247,1280
"G09037000","2019","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",57267,48168,9099,"Hartford city, Connecticut",2387,2329,1387
"G09050370","2019","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",32902,29359,3543,"New Britain city, Connecticut",2447,2173,1092
"G09052000","2019","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",54983,46982,8001,"New Haven city, Connecticut",2466,2333,1486
"G09055990","2019","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",38043,33616,4427,"Norwalk city, Connecticut",2134,1771,1325
"G09073000","2019","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",54408,49707,4701,"Stamford city, Connecticut",2643,2495,1416
"G09080000","2019","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",49367,42113,7254,"Waterbury city, Connecticut",2627,2629,1203
"G10077580","2019","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",35447,31754,3693,"Wilmington city, Delaware",2026,1973,939
"G11050000","2019","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",322814,291570,31244,"Washington city, District of Columbia",133,3959,4011
"G12000410","2019","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",35677,30733,4944,"Alafaya CDP, Florida",4340,3842,2089
"G12007300","2019","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",49313,40845,8468,"Boca Raton city, Florida",2729,2238,1570
"G12007875","2019","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",38085,31863,6222,"Boynton Beach city, Florida",2828,2538,1324
"G12008150","2019","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",46905,43037,3868,"Brandon CDP, Florida",3272,3257,1158
"G12010275","2019","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",85097,67176,17921,"Cape Coral city, Florida",4614,3841,3273
"G12012875","2019","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",60504,48641,11863,"Clearwater city, Florida",2911,2500,1939
"G12014400","2019","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",43887,41240,2647,"Coral Springs city, Florida",2180,2019,1000
"G12016475","2019","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",37920,35708,2212,"Davie town, Florida",2047,1910,1036
"G12016525","2019","FL",,,"Florida","12",,,"Daytona Beach city","16525",,,,,,,,,,,,,,,,"16000US1216525","Daytona Beach city, Florida",35808,28839,6969,"Daytona Beach city, Florida",2449,1977,1470
"G12016725","2019","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",42694,33439,9255,"Deerfield Beach city, Florida",2963,2157,1810
"G12017100","2019","FL",,,"Florida","12",,,"Delray Beach city","17100",,,,,,,,,,,,,,,,"16000US1217100","Delray Beach city, Florida",37213,28548,8665,"Delray Beach city, Florida",2711,2166,1612
"G12017200","2019","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",33992,31783,2209,"Deltona city, Florida",2462,2206,1084
"G12017935","2019","FL",,,"Florida","12",,,"Doral city","17935",,,,,,,,,,,,,,,,"16000US1217935","Doral city, Florida",21696,19722,1974,"Doral city, Florida",1611,1298,927
"G12024000","2019","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",95905,76348,19557,"Fort Lauderdale city, Florida",5147,3990,2554
"G12024125","2019","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",40820,30754,10066,"Fort Myers city, Florida",2716,2317,1854
"G12024562","2019","FL",,,"Florida","12",,,"Fountainebleau CDP","24562",,,,,,,,,,,,,,,,"16000US1224562","Fountainebleau CDP, Florida",23528,22887,641,"Fountainebleau CDP, Florida",1885,1839,450
"G12025175","2019","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",63079,51990,11089,"Gainesville city, Florida",2345,2592,2107
"G12030000","2019","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",79525,75989,3536,"Hialeah city, Florida",3177,3007,1069
"G12032000","2019","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",66826,55172,11654,"Hollywood city, Florida",3026,2875,1969
"G12032275","2019","FL",,,"Florida","12",,,"Homestead city","32275",,,,,,,,,,,,,,,,"16000US1232275","Homestead city, Florida",21006,20320,686,"Homestead city, Florida",2045,1921,750
"G12035000","2019","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",396542,349171,47371,"Jacksonville city, Florida",2352,4506,4282
"G12035875","2019","FL",,,"Florida","12",,,"Jupiter town","35875",,,,,,,,,,,,,,,,"16000US1235875","Jupiter town, Florida",34723,26959,7764,"Jupiter town, Florida",2282,1660,1716
"G12036100","2019","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",30099,28610,1489,"Kendall CDP, Florida",2509,2547,921
"G12036950","2019","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"16000US1236950","Kissimmee city, Florida",30624,22709,7915,"Kissimmee city, Florida",2721,2325,1856
"G12038250","2019","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",49998,40236,9762,"Lakeland city, Florida",2617,2246,1593
"G12039425","2019","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",45879,33687,12192,"Largo city, Florida",2253,2239,1737
"G12039550","2019","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",28467,24628,3839,"Lauderhill city, Florida",2606,2432,1264
"G12039925","2019","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",42756,38662,4094,"Lehigh Acres CDP, Florida",2783,2751,1125
"G12043975","2019","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",38651,31680,6971,"Melbourne city, Florida",2501,2048,1741
"G12045000","2019","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",221040,189084,31956,"Miami city, Florida",6494,5912,3586
"G12045025","2019","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",65746,40084,25662,"Miami Beach city, Florida",2958,2178,2135
"G12045060","2019","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",34378,32171,2207,"Miami Gardens city, Florida",2289,2079,858
"G12045975","2019","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",42700,39853,2847,"Miramar city, Florida",2773,2756,1497
"G12049675","2019","FL",,,"Florida","12",,,"North Port city","49675",,,,,,,,,,,,,,,,"16000US1249675","North Port city, Florida",30862,26005,4857,"North Port city, Florida",2694,1901,2054
"G12053000","2019","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",138456,109454,29002,"Orlando city, Florida",5042,4328,3303
"G12054000","2019","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"16000US1254000","Palm Bay city, Florida",44469,38504,5965,"Palm Bay city, Florida",2831,2361,2012
"G12054200","2019","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"16000US1254200","Palm Coast city, Florida",38767,34103,4664,"Palm Coast city, Florida",1342,1577,1377
"G12055775","2019","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"16000US1255775","Pembroke Pines city, Florida",62089,57399,4690,"Pembroke Pines city, Florida",3395,3092,1404
"G12056825","2019","FL",,,"Florida","12",,,"Pine Hills CDP","56825",,,,,,,,,,,,,,,,"16000US1256825","Pine Hills CDP, Florida",26116,24507,1609,"Pine Hills CDP, Florida",2855,2763,768
"G12057425","2019","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"16000US1257425","Plantation city, Florida",39459,36203,3256,"Plantation city, Florida",2887,2625,1340
"G12057900","2019","FL",,,"Florida","12",,,"Poinciana CDP","57900",,,,,,,,,,,,,,,,"16000US1257900","Poinciana CDP, Florida",26249,20240,6009,"Poinciana CDP, Florida",3595,3172,2272
"G12058050","2019","FL",,,"Florida","12",,,"Pompano Beach city","58050",,,,,,,,,,,,,,,,"16000US1258050","Pompano Beach city, Florida",56146,44297,11849,"Pompano Beach city, Florida",3035,2308,1884
"G12058350","2019","FL",,,"Florida","12",,,"Port Charlotte CDP","58350",,,,,,,,,,,,,,,,"16000US1258350","Port Charlotte CDP, Florida",29633,24367,5266,"Port Charlotte CDP, Florida",2206,2151,1486
"G12058715","2019","FL",,,"Florida","12",,,"Port St. Lucie city","58715",,,,,,,,,,,,,,,,"16000US1258715","Port St. Lucie city, Florida",77484,68484,9000,"Port St. Lucie city, Florida",3002,3736,3217
"G12060950","2019","FL",,,"Florida","12",,,"Riverview CDP","60950",,,,,,,,,,,,,,,,"16000US1260950","Riverview CDP, Florida",39339,35959,3380,"Riverview CDP, Florida",2877,3057,1299
"G12063000","2019","FL",,,"Florida","12",,,"St. Petersburg city","63000",,,,,,,,,,,,,,,,"16000US1263000","St. Petersburg city, Florida",143046,110354,32692,"St. Petersburg city, Florida",4179,3439,3222
"G12068350","2019","FL",,,"Florida","12",,,"Spring Hill CDP","68350",,,,,,,,,,,,,,,,"16000US1268350","Spring Hill CDP, Florida",46839,43691,3148,"Spring Hill CDP, Florida",1738,1998,1201
"G12069700","2019","FL",,,"Florida","12",,,"Sunrise city","69700",,,,,,,,,,,,,,,,"16000US1269700","Sunrise city, Florida",43749,39427,4322,"Sunrise city, Florida",2765,2587,1277
"G12070600","2019","FL",,,"Florida","12",,,"Tallahassee city","70600",,,,,,,,,,,,,,,,"16000US1270600","Tallahassee city, Florida",88043,76684,11359,"Tallahassee city, Florida",2596,2867,1770
"G12070675","2019","FL",,,"Florida","12",,,"Tamarac city","70675",,,,,,,,,,,,,,,,"16000US1270675","Tamarac city, Florida",29841,26124,3717,"Tamarac city, Florida",2369,1943,1482
"G12071000","2019","FL",,,"Florida","12",,,"Tampa city","71000",,,,,,,,,,,,,,,,"16000US1271000","Tampa city, Florida",174379,153918,20461,"Tampa city, Florida",4384,3788,2942
"G12071569","2019","FL",,,"Florida","12",,,"The Hammocks CDP","71569",,,,,,,,,,,,,,,,"16000US1271569","The Hammocks CDP, Florida",20069,19617,452,"The Hammocks CDP, Florida",2246,2189,526
"G12071625","2019","FL",,,"Florida","12",,,"The Villages CDP","71625",,,,,,,,,,,,,,,,"16000US1271625","The Villages CDP, Florida",56523,46727,9796,"The Villages CDP, Florida",3277,2825,3148
"G12072145","2019","FL",,,"Florida","12",,,"Town 'n' Country CDP","72145",,,,,,,,,,,,,,,,"16000US1272145","Town 'n' Country CDP, Florida",36748,33230,3518,"Town 'n' Country CDP, Florida",3345,3291,1509
"G12075812","2019","FL",,,"Florida","12",,,"Wellington village","75812",,,,,,,,,,,,,,,,"16000US1275812","Wellington village, Florida",26116,22506,3610,"Wellington village, Florida",1983,1711,1170
"G12075875","2019","FL",,,"Florida","12",,,"Wesley Chapel CDP","75875",,,,,,,,,,,,,,,,"16000US1275875","Wesley Chapel CDP, Florida",22978,20585,2393,"Wesley Chapel CDP, Florida",2060,2033,1076
"G12076582","2019","FL",,,"Florida","12",,,"Weston city","76582",,,,,,,,,,,,,,,,"16000US1276582","Weston city, Florida",23130,20420,2710,"Weston city, Florida",1898,1524,1188
"G12076600","2019","FL",,,"Florida","12",,,"West Palm Beach city","76600",,,,,,,,,,,,,,,,"16000US1276600","West Palm Beach city, Florida",52996,41678,11318,"West Palm Beach city, Florida",3058,2707,1742
"G13001052","2019","GA",,,"Georgia","13",,,"Albany city","01052",,,,,,,,,,,,,,,,"16000US1301052","Albany city, Georgia",32971,25640,7331,"Albany city, Georgia",1165,1454,1298
"G13001696","2019","GA",,,"Georgia","13",,,"Alpharetta city","01696",,,,,,,,,,,,,,,,"16000US1301696","Alpharetta city, Georgia",27779,25391,2388,"Alpharetta city, Georgia",2226,1738,1110
"G13003440","2019","GA",,,"Georgia","13",,,"Athens-Clarke County unified government (balance)","03440",,,,,,,,,,,,,,,,"16000US1303440","Athens-Clarke County unified government (balance), Georgia",53163,51640,1523,"Athens-Clarke County unified government (balance), Georgia",1198,1283,656
"G13004000","2019","GA",,,"Georgia","13",,,"Atlanta city","04000",,,,,,,,,,,,,,,,"16000US1304000","Atlanta city, Georgia",253597,223736,29861,"Atlanta city, Georgia",5338,5878,2888
"G13004204","2019","GA",,,"Georgia","13",,,"Augusta-Richmond County consolidated government (balance)","04204",,,,,,,,,,,,,,,,"16000US1304204","Augusta-Richmond County consolidated government (balance), Georgia",87800,66838,20962,"Augusta-Richmond County consolidated government (balance), Georgia",762,3181,2994
"G13019000","2019","GA",,,"Georgia","13",,,"Columbus city","19000",,,,,,,,,,,,,,,,"16000US1319000","Columbus city, Georgia",85251,73134,12117,"Columbus city, Georgia",581,1814,1876
"G13042425","2019","GA",,,"Georgia","13",,,"Johns Creek city","42425",,,,,,,,,,,,,,,,"16000US1342425","Johns Creek city, Georgia",31296,28638,2658,"Johns Creek city, Georgia",2471,2120,1127
"G13049008","2019","GA",,,"Georgia","13",,,"Macon-Bibb County","49008",,,,,,,,,,,,,,,,"16000US1349008","Macon-Bibb County, Georgia",70014,56726,13288,"Macon-Bibb County, Georgia",377,1984,1969
"G13067284","2019","GA",,,"Georgia","13",,,"Roswell city","67284",,,,,,,,,,,,,,,,"16000US1367284","Roswell city, Georgia",38237,35944,2293,"Roswell city, Georgia",2436,1979,1161
"G13068516","2019","GA",,,"Georgia","13",,,"Sandy Springs city","68516",,,,,,,,,,,,,,,,"16000US1368516","Sandy Springs city, Georgia",58128,52820,5308,"Sandy Springs city, Georgia",3262,2906,1476
