GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AA02E001,AA02E002,AA02E003,NAME_M,AA02M001,AA02M002,AA02M003
"G06070000","2014","CA",,,"California","06",,,"Santa Monica city","70000",,,,,,,,,,,,,,,,"16000US0670000","Santa Monica city, California",50563,46474,4089,"Santa Monica city, California",2416,2081,1342
"G06070098","2014","CA",,,"California","06",,,"Santa Rosa city","70098",,,,,,,,,,,,,,,,"16000US0670098","Santa Rosa city, California",68112,65282,2830,"Santa Rosa city, California",2647,2450,1048
"G06072016","2014","CA",,,"California","06",,,"Simi Valley city","72016",,,,,,,,,,,,,,,,"16000US0672016","Simi Valley city, California",43815,42595,1220,"Simi Valley city, California",1594,1638,615
"G06073080","2014","CA",,,"California","06",,,"South Gate city","73080",,,,,,,,,,,,,,,,"16000US0673080","South Gate city, California",23784,23254,530,"South Gate city, California",1078,1017,319
"G06073262","2014","CA",,,"California","06",,,"South San Francisco city","73262",,,,,,,,,,,,,,,,"16000US0673262","South San Francisco city, California",24314,22319,1995,"South San Francisco city, California",1655,1544,937
"G06075000","2014","CA",,,"California","06",,,"Stockton city","75000",,,,,,,,,,,,,,,,"16000US0675000","Stockton city, California",103663,95166,8497,"Stockton city, California",2219,2335,1467
"G06077000","2014","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"16000US0677000","Sunnyvale city, California",57768,54473,3295,"Sunnyvale city, California",2087,1901,1083
"G06078120","2014","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"16000US0678120","Temecula city, California",36119,33643,2476,"Temecula city, California",1715,1595,958
"G06078582","2014","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"16000US0678582","Thousand Oaks city, California",46952,45863,1089,"Thousand Oaks city, California",1710,1594,689
"G06080000","2014","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"16000US0680000","Torrance city, California",57841,53971,3870,"Torrance city, California",2394,2205,1146
"G06080238","2014","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"16000US0680238","Tracy city, California",24351,23424,927,"Tracy city, California",1477,1318,665
"G06080812","2014","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"16000US0680812","Turlock city, California",26250,24667,1583,"Turlock city, California",1442,1383,841
"G06080854","2014","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"16000US0680854","Tustin city, California",27233,26426,807,"Tustin city, California",1665,1559,589
"G06081204","2014","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"16000US0681204","Union City city, California",21319,20605,714,"Union City city, California",1192,1157,419
"G06081344","2014","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"16000US0681344","Upland city, California",30039,28151,1888,"Upland city, California",1732,1501,739
"G06081554","2014","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"16000US0681554","Vacaville city, California",33188,32430,758,"Vacaville city, California",1363,1344,489
"G06081666","2014","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",47201,41802,5399,"Vallejo city, California",1741,1718,1325
"G06082590","2014","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",35301,31716,3585,"Victorville city, California",2836,2456,1243
"G06082954","2014","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",45165,41367,3798,"Visalia city, California",2652,2266,1317
"G06082996","2014","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",30685,29165,1520,"Vista city, California",1698,1549,649
"G06083346","2014","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",32767,31515,1252,"Walnut Creek city, California",1673,1570,691
"G06084200","2014","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",32429,30607,1822,"West Covina city, California",1586,1421,675
"G06084550","2014","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",29069,28260,809,"Westminster city, California",1442,1365,465
"G06085292","2014","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",27307,26240,1067,"Whittier city, California",1534,1475,497
"G06086832","2014","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",21663,21052,611,"Yorba Linda city, California",1164,1069,475
"G06086972","2014","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",23694,22264,1430,"Yuba City city, California",891,987,707
"G08003455","2014","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",44486,43588,898,"Arvada city, Colorado",1522,1539,584
"G08004000","2014","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",133434,126677,6757,"Aurora city, Colorado",2055,2318,1514
"G08007850","2014","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",46668,44059,2609,"Boulder city, Colorado",1740,1703,1043
"G08012815","2014","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",40452,39055,1397,"Centennial city, Colorado",1414,1289,733
"G08016000","2014","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",187010,174943,12067,"Colorado Springs city, Colorado",2522,2905,2033
"G08020000","2014","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",298880,281928,16952,"Denver city, Colorado",1016,3071,2712
"G08027425","2014","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",59857,57064,2793,"Fort Collins city, Colorado",2142,2186,1015
"G08032155","2014","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",35382,33714,1668,"Greeley city, Colorado",1715,1630,589
"G08036410","2014","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",36926,34831,2095,"Highlands Ranch CDP, Colorado",1441,1334,751
"G08043000","2014","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",67611,65127,2484,"Lakewood city, Colorado",2117,1917,987
"G08045970","2014","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",33975,33314,661,"Longmont city, Colorado",1685,1655,461
"G08046465","2014","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",33571,31579,1992,"Loveland city, Colorado",1710,1466,1004
"G08062000","2014","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",47562,42859,4703,"Pueblo city, Colorado",1201,1606,941
"G08077290","2014","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",44766,42725,2041,"Thornton city, Colorado",1923,1982,835
"G08083835","2014","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",46195,43731,2464,"Westminster city, Colorado",1820,1602,768
"G09008000","2014","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",56738,49779,6959,"Bridgeport city, Connecticut",2561,2306,1284
"G09018430","2014","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",31423,28524,2899,"Danbury city, Connecticut",1767,1475,1035
"G09037000","2014","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",53116,44740,8376,"Hartford city, Connecticut",2250,2231,1061
"G09050370","2014","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",30887,27764,3123,"New Britain city, Connecticut",1534,1353,862
"G09052000","2014","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",55809,49281,6528,"New Haven city, Connecticut",2450,2198,1350
"G09055990","2014","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",35194,33461,1733,"Norwalk city, Connecticut",1758,1637,697
"G09073000","2014","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",53491,49377,4114,"Stamford city, Connecticut",2677,2404,1350
"G09080000","2014","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",46327,39608,6719,"Waterbury city, Connecticut",2240,2078,1287
"G10077580","2014","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",35713,29969,5744,"Wilmington city, Delaware",1888,1625,1050
"G11050000","2014","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",306184,277378,28806,"Washington city, District of Columbia",59,3304,3308
"G12000410","2014","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",29830,27479,2351,"Alafaya CDP, Florida",2866,2949,1350
"G12007300","2014","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",47386,35995,11391,"Boca Raton city, Florida",2349,2099,1547
"G12007875","2014","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",35114,28361,6753,"Boynton Beach city, Florida",2554,2066,1307
"G12008150","2014","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",43147,40044,3103,"Brandon CDP, Florida",2630,2503,1152
"G12010275","2014","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",83580,64329,19251,"Cape Coral city, Florida",3301,2491,2396
"G12012875","2014","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",59229,46053,13176,"Clearwater city, Florida",2982,2525,1839
"G12014400","2014","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",43317,40278,3039,"Coral Springs city, Florida",2036,1596,1133
"G12016475","2014","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",36936,33209,3727,"Davie town, Florida",2027,1677,1167
"G12016725","2014","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",40532,30923,9609,"Deerfield Beach city, Florida",2620,2183,1700
"G12017100","2014","FL",,,"Florida","12",,,"Delray Beach city","17100",,,,,,,,,,,,,,,,"16000US1217100","Delray Beach city, Florida",33713,26774,6939,"Delray Beach city, Florida",2140,1791,1456
"G12017200","2014","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",32223,29801,2422,"Deltona city, Florida",2139,1990,1024
"G12024000","2014","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",99462,75205,24257,"Fort Lauderdale city, Florida",3271,2845,2291
"G12024125","2014","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",35420,26571,8849,"Fort Myers city, Florida",2122,1803,1533
"G12025175","2014","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",58617,49098,9519,"Gainesville city, Florida",2013,2576,1823
"G12030000","2014","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",72417,68027,4390,"Hialeah city, Florida",2883,2566,1143
"G12032000","2014","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",71633,56965,14668,"Hollywood city, Florida",2891,2577,1914
"G12032275","2014","FL",,,"Florida","12",,,"Homestead city","32275",,,,,,,,,,,,,,,,"16000US1232275","Homestead city, Florida",22130,19025,3105,"Homestead city, Florida",2345,1892,1422
"G12035000","2014","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",371254,320809,50445,"Jacksonville city, Florida",2097,5400,4809
"G12036100","2014","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",33024,29517,3507,"Kendall CDP, Florida",2302,2229,1184
"G12036950","2014","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"16000US1236950","Kissimmee city, Florida",25737,20172,5565,"Kissimmee city, Florida",1695,1766,1261
"G12038250","2014","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",46626,38052,8574,"Lakeland city, Florida",2340,2021,1628
"G12039425","2014","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",45889,36179,9710,"Largo city, Florida",2624,2200,1719
"G12039550","2014","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",27687,23073,4614,"Lauderhill city, Florida",1950,1564,1255
"G12039925","2014","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",37769,32416,5353,"Lehigh Acres CDP, Florida",2161,2104,1092
"G12043975","2014","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",40450,33573,6877,"Melbourne city, Florida",2202,1849,1735
"G12045000","2014","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",191653,158039,33614,"Miami city, Florida",5003,4485,3155
"G12045025","2014","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",68766,41959,26807,"Miami Beach city, Florida",2534,2137,1795
"G12045060","2014","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",34830,30786,4044,"Miami Gardens city, Florida",2497,1976,1098
"G12045975","2014","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",42678,36377,6301,"Miramar city, Florida",2625,1855,2000
"G12053000","2014","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",127324,109685,17639,"Orlando city, Florida",4381,3711,2339
"G12054000","2014","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"16000US1254000","Palm Bay city, Florida",43731,37241,6490,"Palm Bay city, Florida",2194,1910,1556
"G12054200","2014","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"16000US1254200","Palm Coast city, Florida",35858,28925,6933,"Palm Coast city, Florida",1254,1617,1432
"G12055775","2014","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"16000US1255775","Pembroke Pines city, Florida",61944,54927,7017,"Pembroke Pines city, Florida",2809,2432,1768
"G12056825","2014","FL",,,"Florida","12",,,"Pine Hills CDP","56825",,,,,,,,,,,,,,,,"16000US1256825","Pine Hills CDP, Florida",23829,21874,1955,"Pine Hills CDP, Florida",1939,1979,837
"G12057425","2014","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"16000US1257425","Plantation city, Florida",38918,34058,4860,"Plantation city, Florida",2081,1759,1289
"G12058050","2014","FL",,,"Florida","12",,,"Pompano Beach city","58050",,,,,,,,,,,,,,,,"16000US1258050","Pompano Beach city, Florida",57395,43307,14088,"Pompano Beach city, Florida",3235,2413,1885
"G12058715","2014","FL",,,"Florida","12",,,"Port St. Lucie city","58715",,,,,,,,,,,,,,,,"16000US1258715","Port St. Lucie city, Florida",73342,63557,9785,"Port St. Lucie city, Florida",2544,3123,2987
"G12060950","2014","FL",,,"Florida","12",,,"Riverview CDP","60950",,,,,,,,,,,,,,,,"16000US1260950","Riverview CDP, Florida",30614,27865,2749,"Riverview CDP, Florida",2301,2115,1193
"G12063000","2014","FL",,,"Florida","12",,,"St. Petersburg city","63000",,,,,,,,,,,,,,,,"16000US1263000","St. Petersburg city, Florida",126883,103519,23364,"St. Petersburg city, Florida",3906,3325,2518
"G12068350","2014","FL",,,"Florida","12",,,"Spring Hill CDP","68350",,,,,,,,,,,,,,,,"16000US1268350","Spring Hill CDP, Florida",46060,39055,7005,"Spring Hill CDP, Florida",1835,2133,1797
"G12069700","2014","FL",,,"Florida","12",,,"Sunrise city","69700",,,,,,,,,,,,,,,,"16000US1269700","Sunrise city, Florida",38128,30491,7637,"Sunrise city, Florida",2456,1838,1646
"G12070600","2014","FL",,,"Florida","12",,,"Tallahassee city","70600",,,,,,,,,,,,,,,,"16000US1270600","Tallahassee city, Florida",85959,75056,10903,"Tallahassee city, Florida",2076,2331,2021
"G12071000","2014","FL",,,"Florida","12",,,"Tampa city","71000",,,,,,,,,,,,,,,,"16000US1271000","Tampa city, Florida",161455,140429,21026,"Tampa city, Florida",3395,3251,2287
"G12071625","2014","FL",,,"Florida","12",,,"The Villages CDP","71625",,,,,,,,,,,,,,,,"16000US1271625","The Villages CDP, Florida",43024,37418,5606,"The Villages CDP, Florida",2068,1912,1996
"G12072145","2014","FL",,,"Florida","12",,,"Town 'n' Country CDP","72145",,,,,,,,,,,,,,,,"16000US1272145","Town 'n' Country CDP, Florida",35341,31621,3720,"Town 'n' Country CDP, Florida",2584,2362,1148
"G12076582","2014","FL",,,"Florida","12",,,"Weston city","76582",,,,,,,,,,,,,,,,"16000US1276582","Weston city, Florida",25971,22030,3941,"Weston city, Florida",1977,1240,1322
"G12076600","2014","FL",,,"Florida","12",,,"West Palm Beach city","76600",,,,,,,,,,,,,,,,"16000US1276600","West Palm Beach city, Florida",54853,42349,12504,"West Palm Beach city, Florida",3017,2204,2054
"G13001052","2014","GA",,,"Georgia","13",,,"Albany city","01052",,,,,,,,,,,,,,,,"16000US1301052","Albany city, Georgia",32562,28248,4314,"Albany city, Georgia",948,1391,962
"G13003440","2014","GA",,,"Georgia","13",,,"Athens-Clarke County unified government (balance)","03440",,,,,,,,,,,,,,,,"16000US1303440","Athens-Clarke County unified government (balance), Georgia",51256,43568,7688,"Athens-Clarke County unified government (balance), Georgia",887,1907,1742
"G13004000","2014","GA",,,"Georgia","13",,,"Atlanta city","04000",,,,,,,,,,,,,,,,"16000US1304000","Atlanta city, Georgia",235865,189431,46434,"Atlanta city, Georgia",4580,4283,3640
"G13004204","2014","GA",,,"Georgia","13",,,"Augusta-Richmond County consolidated government (balance)","04204",,,,,,,,,,,,,,,,"16000US1304204","Augusta-Richmond County consolidated government (balance), Georgia",85200,69436,15764,"Augusta-Richmond County consolidated government (balance), Georgia",852,2427,2226
"G13019000","2014","GA",,,"Georgia","13",,,"Columbus city","19000",,,,,,,,,,,,,,,,"16000US1319000","Columbus city, Georgia",83872,74339,9533,"Columbus city, Georgia",659,2252,2053
"G13042425","2014","GA",,,"Georgia","13",,,"Johns Creek city","42425",,,,,,,,,,,,,,,,"16000US1342425","Johns Creek city, Georgia",28874,28014,860,"Johns Creek city, Georgia",2390,2236,783
"G13049008","2014","GA",,,"Georgia","13",,,"Macon-Bibb County","49008",,,,,,,,,,,,,,,,"16000US1349008","Macon-Bibb County, Georgia",70213,56052,14161,"Macon-Bibb County, Georgia",414,1769,1640
"G13067284","2014","GA",,,"Georgia","13",,,"Roswell city","67284",,,,,,,,,,,,,,,,"16000US1367284","Roswell city, Georgia",36304,34288,2016,"Roswell city, Georgia",2107,1873,944
"G13068516","2014","GA",,,"Georgia","13",,,"Sandy Springs city","68516",,,,,,,,,,,,,,,,"16000US1368516","Sandy Springs city, Georgia",50197,44822,5375,"Sandy Springs city, Georgia",2945,2670,1381
"G13069000","2014","GA",,,"Georgia","13",,,"Savannah city","69000",,,,,,,,,,,,,,,,"16000US1369000","Savannah city, Georgia",64389,54628,9761,"Savannah city, Georgia",2065,2060,1370
"G13080508","2014","GA",,,"Georgia","13",,,"Warner Robins city","80508",,,,,,,,,,,,,,,,"16000US1380508","Warner Robins city, Georgia",31388,27331,4057,"Warner Robins city, Georgia",1766,1905,1373
"G15071550","2014","HI",,,"Hawaii","15",,,"Urban Honolulu CDP","71550",,,,,,,,,,,,,,,,"16000US1571550","Urban Honolulu CDP, Hawaii",147186,127394,19792,"Urban Honolulu CDP, Hawaii",2717,2640,2554
"G16008830","2014","ID",,,"Idaho","16",,,"Boise City city","08830",,,,,,,,,,,,,,,,"16000US1608830","Boise City city, Idaho",90449,84511,5938,"Boise City city, Idaho",2783,2667,1963
"G16052120","2014","ID",,,"Idaho","16",,,"Meridian city","52120",,,,,,,,,,,,,,,,"16000US1652120","Meridian city, Idaho",32185,31969,216,"Meridian city, Idaho",2129,2092,355
"G16056260","2014","ID",,,"Idaho","16",,,"Nampa city","56260",,,,,,,,,,,,,,,,"16000US1656260","Nampa city, Idaho",31039,29806,1233,"Nampa city, Idaho",1496,1414,729
"G17002154","2014","IL",,,"Illinois","17",,,"Arlington Heights village","02154",,,,,,,,,,,,,,,,"16000US1702154","Arlington Heights village, Illinois",31227,30184,1043,"Arlington Heights village, Illinois",1490,1489,586
"G17003012","2014","IL",,,"Illinois","17",,,"Aurora city","03012",,,,,,,,,,,,,,,,"16000US1703012","Aurora city, Illinois",65376,59547,5829,"Aurora city, Illinois",2931,2670,1575
"G17006613","2014","IL",,,"Illinois","17",,,"Bloomington city","06613",,,,,,,,,,,,,,,,"16000US1706613","Bloomington city, Illinois",33677,31373,2304,"Bloomington city, Illinois",1233,1248,800
"G17007133","2014","IL",,,"Illinois","17",,,"Bolingbrook village","07133",,,,,,,,,,,,,,,,"16000US1707133","Bolingbrook village, Illinois",24014,22024,1990,"Bolingbrook village, Illinois",1237,1176,836
"G17012385","2014","IL",,,"Illinois","17",,,"Champaign city","12385",,,,,,,,,,,,,,,,"16000US1712385","Champaign city, Illinois",36905,33606,3299,"Champaign city, Illinois",1688,1778,1042
"G17014000","2014","IL",,,"Illinois","17",,,"Chicago city","14000",,,,,,,,,,,,,,,,"16000US1714000","Chicago city, Illinois",1192346,1031672,160674,"Chicago city, Illinois",8242,8449,6101
"G17014351","2014","IL",,,"Illinois","17",,,"Cicero town","14351",,,,,,,,,,,,,,,,"16000US1714351","Cicero town, Illinois",24352,22169,2183,"Cicero town, Illinois",1467,1231,774
"G17018823","2014","IL",,,"Illinois","17",,,"Decatur city","18823",,,,,,,,,,,,,,,,"16000US1718823","Decatur city, Illinois",35380,30237,5143,"Decatur city, Illinois",1226,1467,1130
"G17023074","2014","IL",,,"Illinois","17",,,"Elgin city","23074",,,,,,,,,,,,,,,,"16000US1723074","Elgin city, Illinois",40447,37537,2910,"Elgin city, Illinois",2427,2357,929
"G17024582","2014","IL",,,"Illinois","17",,,"Evanston city","24582",,,,,,,,,,,,,,,,"16000US1724582","Evanston city, Illinois",31770,28577,3193,"Evanston city, Illinois",2057,1627,1202
"G17038570","2014","IL",,,"Illinois","17",,,"Joliet city","38570",,,,,,,,,,,,,,,,"16000US1738570","Joliet city, Illinois",51042,47219,3823,"Joliet city, Illinois",2247,1960,1071
"G17051622","2014","IL",,,"Illinois","17",,,"Naperville city","51622",,,,,,,,,,,,,,,,"16000US1751622","Naperville city, Illinois",53362,51165,2197,"Naperville city, Illinois",1653,1472,1005
"G17057225","2014","IL",,,"Illinois","17",,,"Palatine village","57225",,,,,,,,,,,,,,,,"16000US1757225","Palatine village, Illinois",28448,26957,1491,"Palatine village, Illinois",1866,1643,853
"G17059000","2014","IL",,,"Illinois","17",,,"Peoria city","59000",,,,,,,,,,,,,,,,"16000US1759000","Peoria city, Illinois",53607,47432,6175,"Peoria city, Illinois",1518,1888,1526
"G17065000","2014","IL",,,"Illinois","17",,,"Rockford city","65000",,,,,,,,,,,,,,,,"16000US1765000","Rockford city, Illinois",67984,59772,8212,"Rockford city, Illinois",1911,1819,1505
"G17068003","2014","IL",,,"Illinois","17",,,"Schaumburg village","68003",,,,,,,,,,,,,,,,"16000US1768003","Schaumburg village, Illinois",32283,30457,1826,"Schaumburg village, Illinois",1948,1636,802
"G17070122","2014","IL",,,"Illinois","17",,,"Skokie village","70122",,,,,,,,,,,,,,,,"16000US1770122","Skokie village, Illinois",22791,21428,1363,"Skokie village, Illinois",1658,1421,705
"G17072000","2014","IL",,,"Illinois","17",,,"Springfield city","72000",,,,,,,,,,,,,,,,"16000US1772000","Springfield city, Illinois",55835,50157,5678,"Springfield city, Illinois",1325,1689,1521
"G17079293","2014","IL",,,"Illinois","17",,,"Waukegan city","79293",,,,,,,,,,,,,,,,"16000US1779293","Waukegan city, Illinois",30912,28445,2467,"Waukegan city, Illinois",1830,1729,826
"G18005860","2014","IN",,,"Indiana","18",,,"Bloomington city","05860",,,,,,,,,,,,,,,,"16000US1805860","Bloomington city, Indiana",33659,29984,3675,"Bloomington city, Indiana",1707,2071,1257
"G18010342","2014","IN",,,"Indiana","18",,,"Carmel city","10342",,,,,,,,,,,,,,,,"16000US1810342","Carmel city, Indiana",34310,32573,1737,"Carmel city, Indiana",1137,1248,775
"G18022000","2014","IN",,,"Indiana","18",,,"Evansville city","22000",,,,,,,,,,,,,,,,"16000US1822000","Evansville city, Indiana",58998,51287,7711,"Evansville city, Indiana",1322,1872,1493
"G18023278","2014","IN",,,"Indiana","18",,,"Fishers town","23278",,,,,,,,,,,,,,,,"16000US1823278","Fishers town, Indiana",31941,30195,1746,"Fishers town, Indiana",1523,1499,1197
"G18025000","2014","IN",,,"Indiana","18",,,"Fort Wayne city","25000",,,,,,,,,,,,,,,,"16000US1825000","Fort Wayne city, Indiana",114194,100239,13955,"Fort Wayne city, Indiana",1939,2516,1882
"G18027000","2014","IN",,,"Indiana","18",,,"Gary city","27000",,,,,,,,,,,,,,,,"16000US1827000","Gary city, Indiana",41659,28078,13581,"Gary city, Indiana",1695,1524,1373
"G18031000","2014","IN",,,"Indiana","18",,,"Hammond city","31000",,,,,,,,,,,,,,,,"16000US1831000","Hammond city, Indiana",32529,28168,4361,"Hammond city, Indiana",1738,1478,1000
