GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHNBE001,AHNBE002,AHNBE003,NAME_M,AHNBM001,AHNBM002,AHNBM003
"G05041000","2017","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",93514,79869,13645,"Little Rock city, Arkansas",3147,3117,2042
"G05050450","2017","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",33230,26595,6635,"North Little Rock city, Arkansas",2054,1550,1449
"G05060410","2017","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"16000US0560410","Rogers city, Arkansas",24944,23710,1234,"Rogers city, Arkansas",1606,1384,722
"G05066080","2017","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",27877,26417,1460,"Springdale city, Arkansas",1897,1674,867
"G06000562","2017","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",33179,30662,2517,"Alameda city, California",1839,1597,974
"G06000884","2017","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",32017,30255,1762,"Alhambra city, California",1764,1503,857
"G06002000","2017","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",102542,98734,3808,"Anaheim city, California",3651,3360,893
"G06002252","2017","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",35295,34423,872,"Antioch city, California",1938,1971,504
"G06002364","2017","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",25244,24050,1194,"Apple Valley town, California",1835,1719,790
"G06002553","2017","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",42645,40788,1857,"Arden-Arcade CDP, California",2407,2407,911
