GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHNBE001,AHNBE002,AHNBE003,NAME_M,AHNBM001,AHNBM002,AHNBM003
"G06065042","2017","CA",,,"California","06",,,"San Buenaventura (Ventura) city","65042",,,,,,,,,,,,,,,,"16000US0665042","San Buenaventura (Ventura) city, California",43665,41338,2327,"San Buenaventura (Ventura) city, California",2220,2042,910
"G06065084","2017","CA",,,"California","06",,,"San Clemente city","65084",,,,,,,,,,,,,,,,"16000US0665084","San Clemente city, California",29616,25366,4250,"San Clemente city, California",1946,1410,1320
"G06066000","2017","CA",,,"California","06",,,"San Diego city","66000",,,,,,,,,,,,,,,,"16000US0666000","San Diego city, California",543238,504208,39030,"San Diego city, California",6269,6575,3874
"G06067000","2017","CA",,,"California","06",,,"San Francisco city","67000",,,,,,,,,,,,,,,,"16000US0667000","San Francisco city, California",397566,360323,37243,"San Francisco city, California",1185,4331,4309
"G06068000","2017","CA",,,"California","06",,,"San Jose city","68000",,,,,,,,,,,,,,,,"16000US0668000","San Jose city, California",338738,321913,16825,"San Jose city, California",4612,4299,2388
"G06068084","2017","CA",,,"California","06",,,"San Leandro city","68084",,,,,,,,,,,,,,,,"16000US0668084","San Leandro city, California",34430,33458,972,"San Leandro city, California",1920,1851,473
"G06068196","2017","CA",,,"California","06",,,"San Marcos city","68196",,,,,,,,,,,,,,,,"16000US0668196","San Marcos city, California",30321,29611,710,"San Marcos city, California",1584,1537,440
"G06068252","2017","CA",,,"California","06",,,"San Mateo city","68252",,,,,,,,,,,,,,,,"16000US0668252","San Mateo city, California",42198,39660,2538,"San Mateo city, California",1915,1656,1102
"G06068378","2017","CA",,,"California","06",,,"San Ramon city","68378",,,,,,,,,,,,,,,,"16000US0668378","San Ramon city, California",25334,24317,1017,"San Ramon city, California",1187,1016,695
"G06069000","2017","CA",,,"California","06",,,"Santa Ana city","69000",,,,,,,,,,,,,,,,"16000US0669000","Santa Ana city, California",79680,76650,3030,"Santa Ana city, California",3053,2880,943
"G06069070","2017","CA",,,"California","06",,,"Santa Barbara city","69070",,,,,,,,,,,,,,,,"16000US0669070","Santa Barbara city, California",42769,40145,2624,"Santa Barbara city, California",2103,2149,991
"G06069084","2017","CA",,,"California","06",,,"Santa Clara city","69084",,,,,,,,,,,,,,,,"16000US0669084","Santa Clara city, California",45265,43159,2106,"Santa Clara city, California",2310,2137,978
"G06069088","2017","CA",,,"California","06",,,"Santa Clarita city","69088",,,,,,,,,,,,,,,,"16000US0669088","Santa Clarita city, California",68912,67564,1348,"Santa Clarita city, California",2208,2152,611
"G06069112","2017","CA",,,"California","06",,,"Santa Cruz city","69112",,,,,,,,,,,,,,,,"16000US0669112","Santa Cruz city, California",25827,23585,2242,"Santa Cruz city, California",1874,1703,1024
"G06069196","2017","CA",,,"California","06",,,"Santa Maria city","69196",,,,,,,,,,,,,,,,"16000US0669196","Santa Maria city, California",28574,27968,606,"Santa Maria city, California",1618,1586,448
"G06070000","2017","CA",,,"California","06",,,"Santa Monica city","70000",,,,,,,,,,,,,,,,"16000US0670000","Santa Monica city, California",49919,45258,4661,"Santa Monica city, California",2402,2086,1301
"G06070098","2017","CA",,,"California","06",,,"Santa Rosa city","70098",,,,,,,,,,,,,,,,"16000US0670098","Santa Rosa city, California",68100,64155,3945,"Santa Rosa city, California",2367,2395,1192
"G06072016","2017","CA",,,"California","06",,,"Simi Valley city","72016",,,,,,,,,,,,,,,,"16000US0672016","Simi Valley city, California",41959,40822,1137,"Simi Valley city, California",1797,1752,573
"G06073080","2017","CA",,,"California","06",,,"South Gate city","73080",,,,,,,,,,,,,,,,"16000US0673080","South Gate city, California",24605,24019,586,"South Gate city, California",1257,1209,321
"G06073262","2017","CA",,,"California","06",,,"South San Francisco city","73262",,,,,,,,,,,,,,,,"16000US0673262","South San Francisco city, California",21953,20939,1014,"South San Francisco city, California",1681,1598,706
"G06075000","2017","CA",,,"California","06",,,"Stockton city","75000",,,,,,,,,,,,,,,,"16000US0675000","Stockton city, California",100823,91392,9431,"Stockton city, California",3104,2741,1590
"G06077000","2017","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"16000US0677000","Sunnyvale city, California",58590,55024,3566,"Sunnyvale city, California",2252,2106,1288
"G06078120","2017","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"16000US0678120","Temecula city, California",36409,34277,2132,"Temecula city, California",1857,1524,1005
"G06078582","2017","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"16000US0678582","Thousand Oaks city, California",48242,46017,2225,"Thousand Oaks city, California",2262,2083,1005
"G06080000","2017","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"16000US0680000","Torrance city, California",57351,54327,3024,"Torrance city, California",2471,1993,1192
"G06080238","2017","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"16000US0680238","Tracy city, California",26940,25830,1110,"Tracy city, California",1732,1752,642
"G06080812","2017","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"16000US0680812","Turlock city, California",26507,25562,945,"Turlock city, California",1495,1396,536
"G06080854","2017","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"16000US0680854","Tustin city, California",29154,27780,1374,"Tustin city, California",2006,1909,780
"G06081204","2017","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"16000US0681204","Union City city, California",23985,22684,1301,"Union City city, California",1378,1248,592
"G06081344","2017","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"16000US0681344","Upland city, California",26210,25582,628,"Upland city, California",1373,1347,449
"G06081554","2017","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"16000US0681554","Vacaville city, California",35140,34017,1123,"Vacaville city, California",1606,1619,639
"G06081666","2017","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",44225,41719,2506,"Vallejo city, California",1832,1666,891
"G06082590","2017","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",37487,35088,2399,"Victorville city, California",2608,2351,1148
"G06082954","2017","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",46059,43785,2274,"Visalia city, California",2262,1730,1480
"G06082996","2017","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",32796,31618,1178,"Vista city, California",1777,1734,569
"G06083346","2017","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",33990,31648,2342,"Walnut Creek city, California",1934,1529,975
"G06084200","2017","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",31146,29807,1339,"West Covina city, California",1804,1647,613
"G06084550","2017","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",29785,28876,909,"Westminster city, California",2004,1858,632
"G06085292","2017","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",27693,26722,971,"Whittier city, California",1468,1431,550
"G06086832","2017","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",23237,22410,827,"Yorba Linda city, California",1291,1190,544
"G06086972","2017","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",23765,22172,1593,"Yuba City city, California",992,1194,800
"G08003455","2017","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",48629,47083,1546,"Arvada city, Colorado",1601,1489,736
"G08004000","2017","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",134175,128100,6075,"Aurora city, Colorado",3060,3000,1294
"G08007850","2017","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",45026,42177,2849,"Boulder city, Colorado",1932,1737,1099
"G08009280","2017","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"16000US0809280","Broomfield city, Colorado",28534,27665,869,"Broomfield city, Colorado",112,629,620
"G08012815","2017","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",41157,40480,677,"Centennial city, Colorado",1622,1504,434
"G08016000","2017","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",190025,181677,8348,"Colorado Springs city, Colorado",2382,2622,1596
"G08020000","2017","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",320551,296938,23613,"Denver city, Colorado",1100,2993,2907
"G08027425","2017","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",63244,60376,2868,"Fort Collins city, Colorado",2195,2411,996
"G08032155","2017","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",39027,36963,2064,"Greeley city, Colorado",1516,1458,829
"G08036410","2017","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",39165,38313,852,"Highlands Ranch CDP, Colorado",1509,1568,590
"G08043000","2017","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",67415,64260,3155,"Lakewood city, Colorado",2462,2267,1166
"G08045970","2017","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",38431,37073,1358,"Longmont city, Colorado",1931,1803,792
"G08046465","2017","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",36179,33384,2795,"Loveland city, Colorado",1646,1637,1159
"G08062000","2017","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",48864,44459,4405,"Pueblo city, Colorado",1263,1398,1096
"G08077290","2017","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",48251,45908,2343,"Thornton city, Colorado",2263,2128,988
"G08083835","2017","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",47792,45750,2042,"Westminster city, Colorado",2338,2154,930
"G09008000","2017","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",56057,48023,8034,"Bridgeport city, Connecticut",2296,2060,1472
"G09018430","2017","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",34314,30963,3351,"Danbury city, Connecticut",2090,1915,1099
"G09037000","2017","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",51141,42395,8746,"Hartford city, Connecticut",2338,2050,1118
"G09050370","2017","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",31284,28305,2979,"New Britain city, Connecticut",1670,1524,1002
"G09052000","2017","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",54906,47579,7327,"New Haven city, Connecticut",3120,2649,1498
"G09055990","2017","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",35825,33535,2290,"Norwalk city, Connecticut",2224,1885,867
"G09073000","2017","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",56952,51254,5698,"Stamford city, Connecticut",2897,2539,1582
"G09080000","2017","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",47682,39869,7813,"Waterbury city, Connecticut",2747,2408,1460
"G10077580","2017","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",35522,30272,5250,"Wilmington city, Delaware",1905,1893,1094
"G11050000","2017","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",314843,281475,33368,"Washington city, District of Columbia",99,3302,3311
"G12000410","2017","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",31246,28252,2994,"Alafaya CDP, Florida",3642,3141,1760
"G12007300","2017","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",54380,40455,13925,"Boca Raton city, Florida",2910,2254,1852
"G12007875","2017","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",35142,27522,7620,"Boynton Beach city, Florida",3029,2540,1799
"G12008150","2017","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",45736,42544,3192,"Brandon CDP, Florida",2620,2618,1154
"G12010275","2017","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",86155,66046,20109,"Cape Coral city, Florida",3615,3550,2622
"G12012875","2017","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",57763,45734,12029,"Clearwater city, Florida",2665,1906,1872
"G12014400","2017","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",44453,41195,3258,"Coral Springs city, Florida",2356,1947,1210
"G12016475","2017","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",39459,34885,4574,"Davie town, Florida",2314,2077,1361
"G12016525","2017","FL",,,"Florida","12",,,"Daytona Beach city","16525",,,,,,,,,,,,,,,,"16000US1216525","Daytona Beach city, Florida",32727,27042,5685,"Daytona Beach city, Florida",2292,2194,1122
"G12016725","2017","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",38810,30853,7957,"Deerfield Beach city, Florida",2885,2332,1707
"G12017100","2017","FL",,,"Florida","12",,,"Delray Beach city","17100",,,,,,,,,,,,,,,,"16000US1217100","Delray Beach city, Florida",34753,27750,7003,"Delray Beach city, Florida",2436,1870,1443
"G12017200","2017","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",33181,30261,2920,"Deltona city, Florida",1901,1664,1045
"G12024000","2017","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",93917,69899,24018,"Fort Lauderdale city, Florida",4221,3792,2307
"G12024125","2017","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",39355,29430,9925,"Fort Myers city, Florida",2614,2251,1861
"G12025175","2017","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",63440,51104,12336,"Gainesville city, Florida",2631,2561,1881
"G12030000","2017","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",80649,77399,3250,"Hialeah city, Florida",3364,3387,1039
"G12032000","2017","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",68321,54454,13867,"Hollywood city, Florida",3488,2552,2145
"G12032275","2017","FL",,,"Florida","12",,,"Homestead city","32275",,,,,,,,,,,,,,,,"16000US1232275","Homestead city, Florida",19450,18279,1171,"Homestead city, Florida",1734,1475,821
"G12035000","2017","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",382572,338564,44008,"Jacksonville city, Florida",1878,3480,3339
"G12036100","2017","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",28677,26139,2538,"Kendall CDP, Florida",2096,2018,952
"G12036950","2017","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"16000US1236950","Kissimmee city, Florida",28190,22086,6104,"Kissimmee city, Florida",2282,2246,1246
"G12038250","2017","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",50917,41134,9783,"Lakeland city, Florida",2311,2070,1643
"G12039425","2017","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",45788,36735,9053,"Largo city, Florida",2877,2277,2005
"G12039550","2017","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",28070,22167,5903,"Lauderhill city, Florida",2203,1774,1306
"G12039925","2017","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",37846,33814,4032,"Lehigh Acres CDP, Florida",2260,2118,1108
"G12043975","2017","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",36654,32258,4396,"Melbourne city, Florida",3150,2893,1310
"G12045000","2017","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",201784,170005,31779,"Miami city, Florida",5066,4590,3033
"G12045025","2017","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",70349,43959,26390,"Miami Beach city, Florida",3579,2264,2316
"G12045060","2017","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",30983,27517,3466,"Miami Gardens city, Florida",2087,1933,975
"G12045975","2017","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",44287,41430,2857,"Miramar city, Florida",3044,2630,1384
"G12049675","2017","FL",,,"Florida","12",,,"North Port city","49675",,,,,,,,,,,,,,,,"16000US1249675","North Port city, Florida",27457,23269,4188,"North Port city, Florida",3047,2371,1918
"G12053000","2017","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",128403,107590,20813,"Orlando city, Florida",4909,3673,3488
"G12054000","2017","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"16000US1254000","Palm Bay city, Florida",42975,38707,4268,"Palm Bay city, Florida",2702,2493,1444
"G12054200","2017","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"16000US1254200","Palm Coast city, Florida",36950,32334,4616,"Palm Coast city, Florida",1424,1818,1309
"G12055775","2017","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"16000US1255775","Pembroke Pines city, Florida",63099,56680,6419,"Pembroke Pines city, Florida",2865,2415,1809
"G12056825","2017","FL",,,"Florida","12",,,"Pine Hills CDP","56825",,,,,,,,,,,,,,,,"16000US1256825","Pine Hills CDP, Florida",23127,22092,1035,"Pine Hills CDP, Florida",2138,2160,700
"G12057425","2017","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"16000US1257425","Plantation city, Florida",37752,33537,4215,"Plantation city, Florida",2223,1944,1327
"G12057900","2017","FL",,,"Florida","12",,,"Poinciana CDP","57900",,,,,,,,,,,,,,,,"16000US1257900","Poinciana CDP, Florida",23024,18418,4606,"Poinciana CDP, Florida",2654,2044,2008
"G12058050","2017","FL",,,"Florida","12",,,"Pompano Beach city","58050",,,,,,,,,,,,,,,,"16000US1258050","Pompano Beach city, Florida",57675,42621,15054,"Pompano Beach city, Florida",2925,2253,1876
"G12058350","2017","FL",,,"Florida","12",,,"Port Charlotte CDP","58350",,,,,,,,,,,,,,,,"16000US1258350","Port Charlotte CDP, Florida",30260,24643,5617,"Port Charlotte CDP, Florida",2184,1961,1600
"G12058715","2017","FL",,,"Florida","12",,,"Port St. Lucie city","58715",,,,,,,,,,,,,,,,"16000US1258715","Port St. Lucie city, Florida",73060,65514,7546,"Port St. Lucie city, Florida",2694,2944,2083
"G12060950","2017","FL",,,"Florida","12",,,"Riverview CDP","60950",,,,,,,,,,,,,,,,"16000US1260950","Riverview CDP, Florida",33566,30875,2691,"Riverview CDP, Florida",2524,2560,1201
"G12063000","2017","FL",,,"Florida","12",,,"St. Petersburg city","63000",,,,,,,,,,,,,,,,"16000US1263000","St. Petersburg city, Florida",137350,109834,27516,"St. Petersburg city, Florida",3906,3550,2785
"G12068350","2017","FL",,,"Florida","12",,,"Spring Hill CDP","68350",,,,,,,,,,,,,,,,"16000US1268350","Spring Hill CDP, Florida",46783,42390,4393,"Spring Hill CDP, Florida",1938,1943,1437
"G12069700","2017","FL",,,"Florida","12",,,"Sunrise city","69700",,,,,,,,,,,,,,,,"16000US1269700","Sunrise city, Florida",33935,30548,3387,"Sunrise city, Florida",2130,2040,1302
"G12070600","2017","FL",,,"Florida","12",,,"Tallahassee city","70600",,,,,,,,,,,,,,,,"16000US1270600","Tallahassee city, Florida",88957,77176,11781,"Tallahassee city, Florida",1954,2507,2011
"G12070675","2017","FL",,,"Florida","12",,,"Tamarac city","70675",,,,,,,,,,,,,,,,"16000US1270675","Tamarac city, Florida",31327,27783,3544,"Tamarac city, Florida",2370,2143,1407
"G12071000","2017","FL",,,"Florida","12",,,"Tampa city","71000",,,,,,,,,,,,,,,,"16000US1271000","Tampa city, Florida",175475,154040,21435,"Tampa city, Florida",3498,3508,2671
"G12071569","2017","FL",,,"Florida","12",,,"The Hammocks CDP","71569",,,,,,,,,,,,,,,,"16000US1271569","The Hammocks CDP, Florida",19458,18228,1230,"The Hammocks CDP, Florida",1909,1901,654
"G12071625","2017","FL",,,"Florida","12",,,"The Villages CDP","71625",,,,,,,,,,,,,,,,"16000US1271625","The Villages CDP, Florida",55609,43901,11708,"The Villages CDP, Florida",2726,2214,2864
"G12072145","2017","FL",,,"Florida","12",,,"Town 'n' Country CDP","72145",,,,,,,,,,,,,,,,"16000US1272145","Town 'n' Country CDP, Florida",35402,32168,3234,"Town 'n' Country CDP, Florida",2364,2306,1270
"G12076582","2017","FL",,,"Florida","12",,,"Weston city","76582",,,,,,,,,,,,,,,,"16000US1276582","Weston city, Florida",25494,22246,3248,"Weston city, Florida",1653,1347,1166
"G12076600","2017","FL",,,"Florida","12",,,"West Palm Beach city","76600",,,,,,,,,,,,,,,,"16000US1276600","West Palm Beach city, Florida",51684,39657,12027,"West Palm Beach city, Florida",2796,2382,1659
"G13001052","2017","GA",,,"Georgia","13",,,"Albany city","01052",,,,,,,,,,,,,,,,"16000US1301052","Albany city, Georgia",33510,28147,5363,"Albany city, Georgia",1143,1565,1230
"G13001696","2017","GA",,,"Georgia","13",,,"Alpharetta city","01696",,,,,,,,,,,,,,,,"16000US1301696","Alpharetta city, Georgia",26000,23696,2304,"Alpharetta city, Georgia",1897,1645,1132
"G13003440","2017","GA",,,"Georgia","13",,,"Athens-Clarke County unified government (balance)","03440",,,,,,,,,,,,,,,,"16000US1303440","Athens-Clarke County unified government (balance), Georgia",52395,47821,4574,"Athens-Clarke County unified government (balance), Georgia",939,1619,1274
"G13004000","2017","GA",,,"Georgia","13",,,"Atlanta city","04000",,,,,,,,,,,,,,,,"16000US1304000","Atlanta city, Georgia",245063,199717,45346,"Atlanta city, Georgia",5323,5434,4209
"G13004204","2017","GA",,,"Georgia","13",,,"Augusta-Richmond County consolidated government (balance)","04204",,,,,,,,,,,,,,,,"16000US1304204","Augusta-Richmond County consolidated government (balance), Georgia",86354,69283,17071,"Augusta-Richmond County consolidated government (balance), Georgia",799,2575,2543
"G13019000","2017","GA",,,"Georgia","13",,,"Columbus city","19000",,,,,,,,,,,,,,,,"16000US1319000","Columbus city, Georgia",84742,70306,14436,"Columbus city, Georgia",761,1831,1773
"G13042425","2017","GA",,,"Georgia","13",,,"Johns Creek city","42425",,,,,,,,,,,,,,,,"16000US1342425","Johns Creek city, Georgia",30790,29623,1167,"Johns Creek city, Georgia",1702,1443,821
"G13049008","2017","GA",,,"Georgia","13",,,"Macon-Bibb County","49008",,,,,,,,,,,,,,,,"16000US1349008","Macon-Bibb County, Georgia",69954,56151,13803,"Macon-Bibb County, Georgia",381,1765,1709
"G13067284","2017","GA",,,"Georgia","13",,,"Roswell city","67284",,,,,,,,,,,,,,,,"16000US1367284","Roswell city, Georgia",36556,34784,1772,"Roswell city, Georgia",2003,1861,844
"G13068516","2017","GA",,,"Georgia","13",,,"Sandy Springs city","68516",,,,,,,,,,,,,,,,"16000US1368516","Sandy Springs city, Georgia",51522,47371,4151,"Sandy Springs city, Georgia",2488,2384,1406
"G13069000","2017","GA",,,"Georgia","13",,,"Savannah city","69000",,,,,,,,,,,,,,,,"16000US1369000","Savannah city, Georgia",63833,53703,10130,"Savannah city, Georgia",2679,2491,1461
"G13080508","2017","GA",,,"Georgia","13",,,"Warner Robins city","80508",,,,,,,,,,,,,,,,"16000US1380508","Warner Robins city, Georgia",33517,29658,3859,"Warner Robins city, Georgia",1619,1901,1753
"G15071550","2017","HI",,,"Hawaii","15",,,"Urban Honolulu CDP","71550",,,,,,,,,,,,,,,,"16000US1571550","Urban Honolulu CDP, Hawaii",151619,129548,22071,"Urban Honolulu CDP, Hawaii",3198,3106,2749
"G16008830","2017","ID",,,"Idaho","16",,,"Boise City city","08830",,,,,,,,,,,,,,,,"16000US1608830","Boise City city, Idaho",95527,89803,5724,"Boise City city, Idaho",2775,2773,1559
"G16052120","2017","ID",,,"Idaho","16",,,"Meridian city","52120",,,,,,,,,,,,,,,,"16000US1652120","Meridian city, Idaho",37848,35323,2525,"Meridian city, Idaho",2631,2766,1525
"G16056260","2017","ID",,,"Idaho","16",,,"Nampa city","56260",,,,,,,,,,,,,,,,"16000US1656260","Nampa city, Idaho",34751,33258,1493,"Nampa city, Idaho",1733,1676,807
"G17002154","2017","IL",,,"Illinois","17",,,"Arlington Heights village","02154",,,,,,,,,,,,,,,,"16000US1702154","Arlington Heights village, Illinois",32263,30984,1279,"Arlington Heights village, Illinois",1817,1685,698
"G17003012","2017","IL",,,"Illinois","17",,,"Aurora city","03012",,,,,,,,,,,,,,,,"16000US1703012","Aurora city, Illinois",69722,67111,2611,"Aurora city, Illinois",2404,2324,946
"G17006613","2017","IL",,,"Illinois","17",,,"Bloomington city","06613",,,,,,,,,,,,,,,,"16000US1706613","Bloomington city, Illinois",35411,32145,3266,"Bloomington city, Illinois",1580,1369,1089
