GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJKWE001,AJKWE002,AJKWE003,NAME_M,AJKWM001,AJKWM002,AJKWM003
"G06068084","2018","CA",,,"California","06",,,"San Leandro city","68084",,,,,,,,,,,,,,,,"16000US0668084","San Leandro city, California",32654,30749,1905,"San Leandro city, California",1816,1698,807
"G06068196","2018","CA",,,"California","06",,,"San Marcos city","68196",,,,,,,,,,,,,,,,"16000US0668196","San Marcos city, California",31932,30118,1814,"San Marcos city, California",2396,2234,980
"G06068252","2018","CA",,,"California","06",,,"San Mateo city","68252",,,,,,,,,,,,,,,,"16000US0668252","San Mateo city, California",43415,38951,4464,"San Mateo city, California",1689,1626,1325
"G06068378","2018","CA",,,"California","06",,,"San Ramon city","68378",,,,,,,,,,,,,,,,"16000US0668378","San Ramon city, California",27538,26474,1064,"San Ramon city, California",1373,1163,751
"G06069000","2018","CA",,,"California","06",,,"Santa Ana city","69000",,,,,,,,,,,,,,,,"16000US0669000","Santa Ana city, California",81153,78786,2367,"Santa Ana city, California",2464,2383,957
"G06069070","2018","CA",,,"California","06",,,"Santa Barbara city","69070",,,,,,,,,,,,,,,,"16000US0669070","Santa Barbara city, California",38577,35647,2930,"Santa Barbara city, California",1841,1738,1095
"G06069084","2018","CA",,,"California","06",,,"Santa Clara city","69084",,,,,,,,,,,,,,,,"16000US0669084","Santa Clara city, California",48630,45173,3457,"Santa Clara city, California",2502,2282,1343
"G06069088","2018","CA",,,"California","06",,,"Santa Clarita city","69088",,,,,,,,,,,,,,,,"16000US0669088","Santa Clarita city, California",69485,67509,1976,"Santa Clarita city, California",2834,2561,849
"G06069112","2018","CA",,,"California","06",,,"Santa Cruz city","69112",,,,,,,,,,,,,,,,"16000US0669112","Santa Cruz city, California",23962,21707,2255,"Santa Cruz city, California",1682,1564,980
"G06069196","2018","CA",,,"California","06",,,"Santa Maria city","69196",,,,,,,,,,,,,,,,"16000US0669196","Santa Maria city, California",27722,26336,1386,"Santa Maria city, California",1536,1468,712
"G06070000","2018","CA",,,"California","06",,,"Santa Monica city","70000",,,,,,,,,,,,,,,,"16000US0670000","Santa Monica city, California",51046,44495,6551,"Santa Monica city, California",2434,2154,1694
"G06070098","2018","CA",,,"California","06",,,"Santa Rosa city","70098",,,,,,,,,,,,,,,,"16000US0670098","Santa Rosa city, California",68744,65587,3157,"Santa Rosa city, California",2596,2409,1277
"G06072016","2018","CA",,,"California","06",,,"Simi Valley city","72016",,,,,,,,,,,,,,,,"16000US0672016","Simi Valley city, California",44782,43069,1713,"Simi Valley city, California",1558,1466,808
"G06073080","2018","CA",,,"California","06",,,"South Gate city","73080",,,,,,,,,,,,,,,,"16000US0673080","South Gate city, California",23776,23691,85,"South Gate city, California",1077,1077,98
"G06073262","2018","CA",,,"California","06",,,"South San Francisco city","73262",,,,,,,,,,,,,,,,"16000US0673262","South San Francisco city, California",21117,20774,343,"South San Francisco city, California",1391,1441,303
"G06073430","2018","CA",,,"California","06",,,"South Whittier CDP","73430",,,,,,,,,,,,,,,,"16000US0673430","South Whittier CDP, California",16378,15783,595,"South Whittier CDP, California",1306,1286,436
"G06075000","2018","CA",,,"California","06",,,"Stockton city","75000",,,,,,,,,,,,,,,,"16000US0675000","Stockton city, California",101928,95557,6371,"Stockton city, California",2537,2477,1288
"G06077000","2018","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"16000US0677000","Sunnyvale city, California",59668,56537,3131,"Sunnyvale city, California",2589,2260,1164
"G06078120","2018","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"16000US0678120","Temecula city, California",34848,32859,1989,"Temecula city, California",1682,1631,852
"G06078582","2018","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"16000US0678582","Thousand Oaks city, California",46003,44092,1911,"Thousand Oaks city, California",2366,2220,1015
"G06080000","2018","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"16000US0680000","Torrance city, California",60758,54991,5767,"Torrance city, California",2327,2111,1259
"G06080238","2018","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"16000US0680238","Tracy city, California",26287,25793,494,"Tracy city, California",1432,1411,411
"G06080812","2018","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"16000US0680812","Turlock city, California",25207,24140,1067,"Turlock city, California",1697,1494,672
"G06080854","2018","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"16000US0680854","Tustin city, California",26430,24407,2023,"Tustin city, California",2758,2505,869
"G06081204","2018","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"16000US0681204","Union City city, California",20836,19990,846,"Union City city, California",1150,1021,485
"G06081344","2018","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"16000US0681344","Upland city, California",27211,26244,967,"Upland city, California",1299,1329,538
"G06081554","2018","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"16000US0681554","Vacaville city, California",33789,32503,1286,"Vacaville city, California",1618,1538,645
"G06081666","2018","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",43378,41730,1648,"Vallejo city, California",1789,1790,638
"G06082590","2018","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",34879,31624,3255,"Victorville city, California",2770,2331,1800
"G06082954","2018","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",44177,42729,1448,"Visalia city, California",2256,2126,691
"G06082996","2018","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",31822,30581,1241,"Vista city, California",1564,1386,706
"G06083346","2018","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",32826,31675,1151,"Walnut Creek city, California",1684,1547,718
"G06084200","2018","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",33051,30333,2718,"West Covina city, California",1660,1437,824
"G06084550","2018","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",27834,27019,815,"Westminster city, California",1822,1824,473
"G06085292","2018","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",28376,27672,704,"Whittier city, California",1631,1443,447
"G06086832","2018","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",23595,23217,378,"Yorba Linda city, California",1101,1062,314
"G06086972","2018","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",24071,22524,1547,"Yuba City city, California",827,1124,741
"G08003455","2018","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",51391,50322,1069,"Arvada city, Colorado",2129,2203,607
"G08004000","2018","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",138118,133217,4901,"Aurora city, Colorado",3358,3047,1179
"G08007850","2018","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",45778,43328,2450,"Boulder city, Colorado",1802,1758,976
"G08009280","2018","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"16000US0809280","Broomfield city, Colorado",28935,28530,405,"Broomfield city, Colorado",343,450,405
"G08012815","2018","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",39982,38549,1433,"Centennial city, Colorado",1775,1587,781
"G08016000","2018","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",191810,181745,10065,"Colorado Springs city, Colorado",2592,2968,2309
"G08020000","2018","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",330884,310324,20560,"Denver city, Colorado",1011,3035,2691
"G08027425","2018","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",70450,65688,4762,"Fort Collins city, Colorado",2497,2490,1191
"G08032155","2018","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",40558,37835,2723,"Greeley city, Colorado",1676,1649,980
"G08036410","2018","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",39441,38394,1047,"Highlands Ranch CDP, Colorado",1724,1606,583
"G08043000","2018","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",68711,65918,2793,"Lakewood city, Colorado",2627,2396,1006
"G08045970","2018","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",39959,37327,2632,"Longmont city, Colorado",1754,1624,1060
"G08046465","2018","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",31606,30853,753,"Loveland city, Colorado",1438,1377,581
"G08062000","2018","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",49245,45374,3871,"Pueblo city, Colorado",1314,1509,1011
"G08077290","2018","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",47781,46374,1407,"Thornton city, Colorado",1920,1827,774
"G08083835","2018","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",47325,46002,1323,"Westminster city, Colorado",1923,1795,738
"G09008000","2018","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",58216,51014,7202,"Bridgeport city, Connecticut",2710,2305,1451
"G09018430","2018","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",31422,28748,2674,"Danbury city, Connecticut",2087,1726,1054
"G09037000","2018","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",53890,46072,7818,"Hartford city, Connecticut",2455,2266,1268
"G09050370","2018","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",31276,27440,3836,"New Britain city, Connecticut",1783,1552,944
"G09052000","2018","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",56036,50312,5724,"New Haven city, Connecticut",2775,2669,1138
"G09055990","2018","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",37380,35333,2047,"Norwalk city, Connecticut",1941,1803,761
"G09073000","2018","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",54513,50847,3666,"Stamford city, Connecticut",2432,2160,1206
"G09080000","2018","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",48703,42894,5809,"Waterbury city, Connecticut",2433,2174,1209
"G10077580","2018","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",35460,29609,5851,"Wilmington city, Delaware",2297,1965,1150
"G11050000","2018","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",319579,287476,32103,"Washington city, District of Columbia",105,2752,2760
"G12000410","2018","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",32049,29235,2814,"Alafaya CDP, Florida",3622,3433,1680
"G12007300","2018","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",56586,41943,14643,"Boca Raton city, Florida",2800,2448,1730
"G12007875","2018","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",36637,29184,7453,"Boynton Beach city, Florida",2350,2106,1433
"G12008150","2018","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",48338,45178,3160,"Brandon CDP, Florida",2540,2448,1153
"G12010275","2018","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",89132,69803,19329,"Cape Coral city, Florida",3751,3322,2760
"G12012875","2018","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",58662,48704,9958,"Clearwater city, Florida",3052,2671,1592
"G12014400","2018","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",46005,42371,3634,"Coral Springs city, Florida",2413,2219,1236
"G12016475","2018","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",39639,35841,3798,"Davie town, Florida",2225,1878,1344
"G12016525","2018","FL",,,"Florida","12",,,"Daytona Beach city","16525",,,,,,,,,,,,,,,,"16000US1216525","Daytona Beach city, Florida",36987,28467,8520,"Daytona Beach city, Florida",2255,1969,1571
"G12016725","2018","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",43648,33801,9847,"Deerfield Beach city, Florida",2684,2368,1834
"G12017100","2018","FL",,,"Florida","12",,,"Delray Beach city","17100",,,,,,,,,,,,,,,,"16000US1217100","Delray Beach city, Florida",36507,28772,7735,"Delray Beach city, Florida",2837,2135,1507
"G12017200","2018","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",32236,29694,2542,"Deltona city, Florida",2150,1697,1189
"G12024000","2018","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",96063,75144,20919,"Fort Lauderdale city, Florida",4013,3654,2273
"G12024125","2018","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",42413,30937,11476,"Fort Myers city, Florida",2738,2197,1754
"G12025175","2018","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",57363,45354,12009,"Gainesville city, Florida",2713,2918,2196
"G12030000","2018","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",75182,72672,2510,"Hialeah city, Florida",3046,2865,876
"G12032000","2018","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",70315,56930,13385,"Hollywood city, Florida",2748,2449,1629
"G12032275","2018","FL",,,"Florida","12",,,"Homestead city","32275",,,,,,,,,,,,,,,,"16000US1232275","Homestead city, Florida",19913,18811,1102,"Homestead city, Florida",1498,1285,920
"G12035000","2018","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",388788,345865,42923,"Jacksonville city, Florida",1945,4659,4251
"G12035875","2018","FL",,,"Florida","12",,,"Jupiter town","35875",,,,,,,,,,,,,,,,"16000US1235875","Jupiter town, Florida",34052,25560,8492,"Jupiter town, Florida",2216,1742,1591
"G12036100","2018","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",30210,26705,3505,"Kendall CDP, Florida",2410,2304,1331
"G12036950","2018","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"16000US1236950","Kissimmee city, Florida",28995,21606,7389,"Kissimmee city, Florida",2632,2322,1262
"G12038250","2018","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",49574,41884,7690,"Lakeland city, Florida",2256,2197,1408
"G12039425","2018","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",46370,36611,9759,"Largo city, Florida",2515,2110,1936
"G12039550","2018","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",26483,22398,4085,"Lauderhill city, Florida",2630,2456,968
"G12039925","2018","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",40005,36649,3356,"Lehigh Acres CDP, Florida",2475,2300,963
"G12043975","2018","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",35955,30349,5606,"Melbourne city, Florida",2841,2340,1539
"G12045000","2018","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",211030,182631,28399,"Miami city, Florida",5331,4578,3095
"G12045025","2018","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",70516,45523,24993,"Miami Beach city, Florida",3503,2509,2215
"G12045060","2018","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",32593,30797,1796,"Miami Gardens city, Florida",2186,1918,780
"G12045975","2018","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",41166,38080,3086,"Miramar city, Florida",2785,2250,1668
"G12049675","2018","FL",,,"Florida","12",,,"North Port city","49675",,,,,,,,,,,,,,,,"16000US1249675","North Port city, Florida",29630,25687,3943,"North Port city, Florida",2551,1901,1876
"G12053000","2018","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",137280,114176,23104,"Orlando city, Florida",5062,4361,2827
"G12054000","2018","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"16000US1254000","Palm Bay city, Florida",45285,39676,5609,"Palm Bay city, Florida",2902,2721,1688
"G12054200","2018","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"16000US1254200","Palm Coast city, Florida",36832,30752,6080,"Palm Coast city, Florida",1193,1928,1536
"G12054350","2018","FL",,,"Florida","12",,,"Palm Harbor CDP","54350",,,,,,,,,,,,,,,,"16000US1254350","Palm Harbor CDP, Florida",31323,27650,3673,"Palm Harbor CDP, Florida",2288,1959,1374
"G12055775","2018","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"16000US1255775","Pembroke Pines city, Florida",61951,56934,5017,"Pembroke Pines city, Florida",3440,3127,1331
"G12056825","2018","FL",,,"Florida","12",,,"Pine Hills CDP","56825",,,,,,,,,,,,,,,,"16000US1256825","Pine Hills CDP, Florida",25304,24199,1105,"Pine Hills CDP, Florida",2212,2080,647
"G12057425","2018","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"16000US1257425","Plantation city, Florida",37333,33472,3861,"Plantation city, Florida",2376,2165,1374
"G12057900","2018","FL",,,"Florida","12",,,"Poinciana CDP","57900",,,,,,,,,,,,,,,,"16000US1257900","Poinciana CDP, Florida",26701,18808,7893,"Poinciana CDP, Florida",3097,2429,2882
"G12058050","2018","FL",,,"Florida","12",,,"Pompano Beach city","58050",,,,,,,,,,,,,,,,"16000US1258050","Pompano Beach city, Florida",54845,41116,13729,"Pompano Beach city, Florida",3331,2500,2071
"G12058350","2018","FL",,,"Florida","12",,,"Port Charlotte CDP","58350",,,,,,,,,,,,,,,,"16000US1258350","Port Charlotte CDP, Florida",29493,23733,5760,"Port Charlotte CDP, Florida",1962,1952,1384
"G12058715","2018","FL",,,"Florida","12",,,"Port St. Lucie city","58715",,,,,,,,,,,,,,,,"16000US1258715","Port St. Lucie city, Florida",74378,68178,6200,"Port St. Lucie city, Florida",2659,3022,1807
"G12060950","2018","FL",,,"Florida","12",,,"Riverview CDP","60950",,,,,,,,,,,,,,,,"16000US1260950","Riverview CDP, Florida",34708,32076,2632,"Riverview CDP, Florida",2596,2219,1115
"G12063000","2018","FL",,,"Florida","12",,,"St. Petersburg city","63000",,,,,,,,,,,,,,,,"16000US1263000","St. Petersburg city, Florida",134583,105616,28967,"St. Petersburg city, Florida",3977,3186,2664
"G12068350","2018","FL",,,"Florida","12",,,"Spring Hill CDP","68350",,,,,,,,,,,,,,,,"16000US1268350","Spring Hill CDP, Florida",47347,43819,3528,"Spring Hill CDP, Florida",2251,2406,1405
"G12069700","2018","FL",,,"Florida","12",,,"Sunrise city","69700",,,,,,,,,,,,,,,,"16000US1269700","Sunrise city, Florida",39917,35105,4812,"Sunrise city, Florida",3255,2830,1480
"G12070600","2018","FL",,,"Florida","12",,,"Tallahassee city","70600",,,,,,,,,,,,,,,,"16000US1270600","Tallahassee city, Florida",89491,75260,14231,"Tallahassee city, Florida",1856,2614,2103
"G12070675","2018","FL",,,"Florida","12",,,"Tamarac city","70675",,,,,,,,,,,,,,,,"16000US1270675","Tamarac city, Florida",32458,27707,4751,"Tamarac city, Florida",2429,1790,1754
"G12071000","2018","FL",,,"Florida","12",,,"Tampa city","71000",,,,,,,,,,,,,,,,"16000US1271000","Tampa city, Florida",171855,154047,17808,"Tampa city, Florida",3666,3606,2418
"G12071569","2018","FL",,,"Florida","12",,,"The Hammocks CDP","71569",,,,,,,,,,,,,,,,"16000US1271569","The Hammocks CDP, Florida",20037,19297,740,"The Hammocks CDP, Florida",1735,1660,584
"G12071625","2018","FL",,,"Florida","12",,,"The Villages CDP","71625",,,,,,,,,,,,,,,,"16000US1271625","The Villages CDP, Florida",55148,47517,7631,"The Villages CDP, Florida",2885,2341,2813
"G12072145","2018","FL",,,"Florida","12",,,"Town 'n' Country CDP","72145",,,,,,,,,,,,,,,,"16000US1272145","Town 'n' Country CDP, Florida",33284,30206,3078,"Town 'n' Country CDP, Florida",2745,2705,1224
"G12075812","2018","FL",,,"Florida","12",,,"Wellington village","75812",,,,,,,,,,,,,,,,"16000US1275812","Wellington village, Florida",23341,20487,2854,"Wellington village, Florida",1614,1313,843
"G12075875","2018","FL",,,"Florida","12",,,"Wesley Chapel CDP","75875",,,,,,,,,,,,,,,,"16000US1275875","Wesley Chapel CDP, Florida",22153,20733,1420,"Wesley Chapel CDP, Florida",1675,1542,675
"G12076582","2018","FL",,,"Florida","12",,,"Weston city","76582",,,,,,,,,,,,,,,,"16000US1276582","Weston city, Florida",23820,20315,3505,"Weston city, Florida",1627,1166,1146
"G12076600","2018","FL",,,"Florida","12",,,"West Palm Beach city","76600",,,,,,,,,,,,,,,,"16000US1276600","West Palm Beach city, Florida",50593,41161,9432,"West Palm Beach city, Florida",3405,2913,1544
"G13001052","2018","GA",,,"Georgia","13",,,"Albany city","01052",,,,,,,,,,,,,,,,"16000US1301052","Albany city, Georgia",33212,27077,6135,"Albany city, Georgia",1332,1802,1378
"G13001696","2018","GA",,,"Georgia","13",,,"Alpharetta city","01696",,,,,,,,,,,,,,,,"16000US1301696","Alpharetta city, Georgia",25982,24595,1387,"Alpharetta city, Georgia",1535,1359,861
"G13003440","2018","GA",,,"Georgia","13",,,"Athens-Clarke County unified government (balance)","03440",,,,,,,,,,,,,,,,"16000US1303440","Athens-Clarke County unified government (balance), Georgia",52565,49119,3446,"Athens-Clarke County unified government (balance), Georgia",808,1467,1170
"G13004000","2018","GA",,,"Georgia","13",,,"Atlanta city","04000",,,,,,,,,,,,,,,,"16000US1304000","Atlanta city, Georgia",255433,211819,43614,"Atlanta city, Georgia",4761,5020,4334
"G13004204","2018","GA",,,"Georgia","13",,,"Augusta-Richmond County consolidated government (balance)","04204",,,,,,,,,,,,,,,,"16000US1304204","Augusta-Richmond County consolidated government (balance), Georgia",87271,68803,18468,"Augusta-Richmond County consolidated government (balance), Georgia",882,2621,2493
"G13019000","2018","GA",,,"Georgia","13",,,"Columbus city","19000",,,,,,,,,,,,,,,,"16000US1319000","Columbus city, Georgia",85018,72862,12156,"Columbus city, Georgia",774,2063,1832
"G13042425","2018","GA",,,"Georgia","13",,,"Johns Creek city","42425",,,,,,,,,,,,,,,,"16000US1342425","Johns Creek city, Georgia",28720,26971,1749,"Johns Creek city, Georgia",1915,1660,960
"G13049008","2018","GA",,,"Georgia","13",,,"Macon-Bibb County","49008",,,,,,,,,,,,,,,,"16000US1349008","Macon-Bibb County, Georgia",70058,57905,12153,"Macon-Bibb County, Georgia",440,1802,1816
"G13067284","2018","GA",,,"Georgia","13",,,"Roswell city","67284",,,,,,,,,,,,,,,,"16000US1367284","Roswell city, Georgia",39285,35856,3429,"Roswell city, Georgia",2315,2019,1238
"G13068516","2018","GA",,,"Georgia","13",,,"Sandy Springs city","68516",,,,,,,,,,,,,,,,"16000US1368516","Sandy Springs city, Georgia",53194,47746,5448,"Sandy Springs city, Georgia",2988,2502,1604
"G13069000","2018","GA",,,"Georgia","13",,,"Savannah city","69000",,,,,,,,,,,,,,,,"16000US1369000","Savannah city, Georgia",60460,51118,9342,"Savannah city, Georgia",2700,2943,1490
"G13072122","2018","GA",,,"Georgia","13",,,"South Fulton city","72122",,,,,,,,,,,,,,,,"16000US1372122","South Fulton city, Georgia",35568,33793,1775,"South Fulton city, Georgia",2470,2330,896
"G13080508","2018","GA",,,"Georgia","13",,,"Warner Robins city","80508",,,,,,,,,,,,,,,,"16000US1380508","Warner Robins city, Georgia",32885,29566,3319,"Warner Robins city, Georgia",1788,2051,1140
"G15071550","2018","HI",,,"Hawaii","15",,,"Urban Honolulu CDP","71550",,,,,,,,,,,,,,,,"16000US1571550","Urban Honolulu CDP, Hawaii",153191,125103,28088,"Urban Honolulu CDP, Hawaii",3010,2616,2565
"G16008830","2018","ID",,,"Idaho","16",,,"Boise City city","08830",,,,,,,,,,,,,,,,"16000US1608830","Boise City city, Idaho",102201,97101,5100,"Boise City city, Idaho",2543,2713,1656
"G16052120","2018","ID",,,"Idaho","16",,,"Meridian city","52120",,,,,,,,,,,,,,,,"16000US1652120","Meridian city, Idaho",37525,35855,1670,"Meridian city, Idaho",2505,2289,1306
"G16056260","2018","ID",,,"Idaho","16",,,"Nampa city","56260",,,,,,,,,,,,,,,,"16000US1656260","Nampa city, Idaho",35911,34289,1622,"Nampa city, Idaho",1728,1623,932
"G17002154","2018","IL",,,"Illinois","17",,,"Arlington Heights village","02154",,,,,,,,,,,,,,,,"16000US1702154","Arlington Heights village, Illinois",34298,32918,1380,"Arlington Heights village, Illinois",1850,1620,708
"G17003012","2018","IL",,,"Illinois","17",,,"Aurora city","03012",,,,,,,,,,,,,,,,"16000US1703012","Aurora city, Illinois",68669,65784,2885,"Aurora city, Illinois",2788,2752,1043
