GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AKSLE001,NAME_M,AKSLM001
"G06078120","2019","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"16000US0678120","Temecula city, California",114751,"Temecula city, California",48
"G06078582","2019","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"16000US0678582","Thousand Oaks city, California",126815,"Thousand Oaks city, California",37
"G06080000","2019","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"16000US0680000","Torrance city, California",143589,"Torrance city, California",33
"G06080238","2019","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"16000US0680238","Tracy city, California",94751,"Tracy city, California",51
"G06080644","2019","CA",,,"California","06",,,"Tulare city","80644",,,,,,,,,,,,,,,,"16000US0680644","Tulare city, California",65508,"Tulare city, California",48
"G06080812","2019","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"16000US0680812","Turlock city, California",73629,"Turlock city, California",27
"G06080854","2019","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"16000US0680854","Tustin city, California",79346,"Tustin city, California",35
"G06081204","2019","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"16000US0681204","Union City city, California",74099,"Union City city, California",46
"G06081344","2019","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"16000US0681344","Upland city, California",77123,"Upland city, California",62
"G06081554","2019","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"16000US0681554","Vacaville city, California",100669,"Vacaville city, California",42
"G06081666","2019","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",121692,"Vallejo city, California",39
"G06082590","2019","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",122399,"Victorville city, California",55
"G06082954","2019","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",134608,"Visalia city, California",37
"G06082996","2019","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",101639,"Vista city, California",31
"G06083346","2019","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",70161,"Walnut Creek city, California",33
"G06084200","2019","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",105114,"West Covina city, California",57
"G06084550","2019","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",90642,"Westminster city, California",36
"G06085292","2019","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",85087,"Whittier city, California",49
"G06086832","2019","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",67645,"Yorba Linda city, California",30
"G06086972","2019","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",67009,"Yuba City city, California",26
"G08003455","2019","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",121095,"Arvada city, Colorado",1132
"G08004000","2019","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",379312,"Aurora city, Colorado",676
"G08007850","2019","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",105670,"Boulder city, Colorado",28
"G08009280","2019","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"16000US0809280","Broomfield city, Colorado",70465,"Broomfield city, Colorado",0
"G08012415","2019","CO",,,"Colorado","08",,,"Castle Rock town","12415",,,,,,,,,,,,,,,,"16000US0812415","Castle Rock town, Colorado",68494,"Castle Rock town, Colorado",45
"G08012815","2019","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",110911,"Centennial city, Colorado",96
"G08016000","2019","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",478215,"Colorado Springs city, Colorado",44
"G08020000","2019","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",727211,"Denver city, Colorado",0
"G08027425","2019","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",170245,"Fort Collins city, Colorado",29
"G08032155","2019","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",108650,"Greeley city, Colorado",25
"G08036410","2019","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",99810,"Highlands Ranch CDP, Colorado",4373
"G08043000","2019","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",157917,"Lakewood city, Colorado",68
"G08045970","2019","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",96672,"Longmont city, Colorado",24
"G08046465","2019","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",78871,"Loveland city, Colorado",34
"G08062000","2019","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",112357,"Pueblo city, Colorado",28
"G08077290","2019","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",141454,"Thornton city, Colorado",49
"G08083835","2019","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",113179,"Westminster city, Colorado",52
"G09008000","2019","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",144365,"Bridgeport city, Connecticut",115
"G09018430","2019","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",84692,"Danbury city, Connecticut",26
"G09037000","2019","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",122107,"Hartford city, Connecticut",33
"G09050370","2019","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",72491,"New Britain city, Connecticut",31
"G09052000","2019","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",130257,"New Haven city, Connecticut",38
"G09055990","2019","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",88826,"Norwalk city, Connecticut",44
"G09073000","2019","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",129636,"Stamford city, Connecticut",26
"G09080000","2019","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",107577,"Waterbury city, Connecticut",48
"G10077580","2019","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",70164,"Wilmington city, Delaware",27
"G11050000","2019","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",705749,"Washington city, District of Columbia",0
"G12000410","2019","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",96528,"Alafaya CDP, Florida",15251
"G12007300","2019","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",99795,"Boca Raton city, Florida",41
"G12007875","2019","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",78690,"Boynton Beach city, Florida",46
"G12008150","2019","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",116829,"Brandon CDP, Florida",10196
"G12010275","2019","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",194504,"Cape Coral city, Florida",37
"G12012875","2019","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",116938,"Clearwater city, Florida",37
"G12014400","2019","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",133765,"Coral Springs city, Florida",40
"G12016475","2019","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",106310,"Davie town, Florida",37
"G12016525","2019","FL",,,"Florida","12",,,"Daytona Beach city","16525",,,,,,,,,,,,,,,,"16000US1216525","Daytona Beach city, Florida",69197,"Daytona Beach city, Florida",47
"G12016725","2019","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",81070,"Deerfield Beach city, Florida",33
"G12017100","2019","FL",,,"Florida","12",,,"Delray Beach city","17100",,,,,,,,,,,,,,,,"16000US1217100","Delray Beach city, Florida",69449,"Delray Beach city, Florida",29
"G12017200","2019","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",92752,"Deltona city, Florida",35
"G12017935","2019","FL",,,"Florida","12",,,"Doral city","17935",,,,,,,,,,,,,,,,"16000US1217935","Doral city, Florida",65746,"Doral city, Florida",28
"G12024000","2019","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",182434,"Fort Lauderdale city, Florida",33
"G12024125","2019","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",87111,"Fort Myers city, Florida",45
"G12024562","2019","FL",,,"Florida","12",,,"Fountainebleau CDP","24562",,,,,,,,,,,,,,,,"16000US1224562","Fountainebleau CDP, Florida",68619,"Fountainebleau CDP, Florida",6984
"G12025175","2019","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",133990,"Gainesville city, Florida",39
"G12030000","2019","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",233362,"Hialeah city, Florida",74
"G12032000","2019","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",154802,"Hollywood city, Florida",62
"G12032275","2019","FL",,,"Florida","12",,,"Homestead city","32275",,,,,,,,,,,,,,,,"16000US1232275","Homestead city, Florida",69526,"Homestead city, Florida",29
"G12035000","2019","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",911528,"Jacksonville city, Florida",74
"G12035875","2019","FL",,,"Florida","12",,,"Jupiter town","35875",,,,,,,,,,,,,,,,"16000US1235875","Jupiter town, Florida",65797,"Jupiter town, Florida",33
"G12036100","2019","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",80410,"Kendall CDP, Florida",9473
"G12036950","2019","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"16000US1236950","Kissimmee city, Florida",72701,"Kissimmee city, Florida",58
"G12038250","2019","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",112142,"Lakeland city, Florida",45
"G12039425","2019","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",84957,"Largo city, Florida",36
"G12039550","2019","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",71863,"Lauderhill city, Florida",34
"G12039925","2019","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",134667,"Lehigh Acres CDP, Florida",7726
"G12043975","2019","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",83030,"Melbourne city, Florida",32
"G12045000","2019","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",467968,"Miami city, Florida",56
"G12045025","2019","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",88885,"Miami Beach city, Florida",24
"G12045060","2019","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",110003,"Miami Gardens city, Florida",32
"G12045975","2019","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",141196,"Miramar city, Florida",38
"G12049675","2019","FL",,,"Florida","12",,,"North Port city","49675",,,,,,,,,,,,,,,,"16000US1249675","North Port city, Florida",70722,"North Port city, Florida",21
"G12053000","2019","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",287435,"Orlando city, Florida",49
"G12054000","2019","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"16000US1254000","Palm Bay city, Florida",115560,"Palm Bay city, Florida",33
"G12054200","2019","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"16000US1254200","Palm Coast city, Florida",89797,"Palm Coast city, Florida",23
"G12055775","2019","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"16000US1255775","Pembroke Pines city, Florida",173591,"Pembroke Pines city, Florida",41
"G12056825","2019","FL",,,"Florida","12",,,"Pine Hills CDP","56825",,,,,,,,,,,,,,,,"16000US1256825","Pine Hills CDP, Florida",94802,"Pine Hills CDP, Florida",12640
"G12057425","2019","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"16000US1257425","Plantation city, Florida",94605,"Plantation city, Florida",89
"G12057900","2019","FL",,,"Florida","12",,,"Poinciana CDP","57900",,,,,,,,,,,,,,,,"16000US1257900","Poinciana CDP, Florida",72545,"Poinciana CDP, Florida",13199
"G12058050","2019","FL",,,"Florida","12",,,"Pompano Beach city","58050",,,,,,,,,,,,,,,,"16000US1258050","Pompano Beach city, Florida",112122,"Pompano Beach city, Florida",36
"G12058350","2019","FL",,,"Florida","12",,,"Port Charlotte CDP","58350",,,,,,,,,,,,,,,,"16000US1258350","Port Charlotte CDP, Florida",65951,"Port Charlotte CDP, Florida",5480
"G12058715","2019","FL",,,"Florida","12",,,"Port St. Lucie city","58715",,,,,,,,,,,,,,,,"16000US1258715","Port St. Lucie city, Florida",201858,"Port St. Lucie city, Florida",46
"G12060950","2019","FL",,,"Florida","12",,,"Riverview CDP","60950",,,,,,,,,,,,,,,,"16000US1260950","Riverview CDP, Florida",97034,"Riverview CDP, Florida",10200
"G12063000","2019","FL",,,"Florida","12",,,"St. Petersburg city","63000",,,,,,,,,,,,,,,,"16000US1263000","St. Petersburg city, Florida",265358,"St. Petersburg city, Florida",47
"G12068350","2019","FL",,,"Florida","12",,,"Spring Hill CDP","68350",,,,,,,,,,,,,,,,"16000US1268350","Spring Hill CDP, Florida",113787,"Spring Hill CDP, Florida",4597
"G12069700","2019","FL",,,"Florida","12",,,"Sunrise city","69700",,,,,,,,,,,,,,,,"16000US1269700","Sunrise city, Florida",95153,"Sunrise city, Florida",49
"G12070600","2019","FL",,,"Florida","12",,,"Tallahassee city","70600",,,,,,,,,,,,,,,,"16000US1270600","Tallahassee city, Florida",194503,"Tallahassee city, Florida",36
"G12070675","2019","FL",,,"Florida","12",,,"Tamarac city","70675",,,,,,,,,,,,,,,,"16000US1270675","Tamarac city, Florida",66712,"Tamarac city, Florida",42
"G12071000","2019","FL",,,"Florida","12",,,"Tampa city","71000",,,,,,,,,,,,,,,,"16000US1271000","Tampa city, Florida",399690,"Tampa city, Florida",57
"G12071569","2019","FL",,,"Florida","12",,,"The Hammocks CDP","71569",,,,,,,,,,,,,,,,"16000US1271569","The Hammocks CDP, Florida",65765,"The Hammocks CDP, Florida",9145
"G12071625","2019","FL",,,"Florida","12",,,"The Villages CDP","71625",,,,,,,,,,,,,,,,"16000US1271625","The Villages CDP, Florida",85377,"The Villages CDP, Florida",5204
"G12072145","2019","FL",,,"Florida","12",,,"Town 'n' Country CDP","72145",,,,,,,,,,,,,,,,"16000US1272145","Town 'n' Country CDP, Florida",98550,"Town 'n' Country CDP, Florida",12248
"G12075812","2019","FL",,,"Florida","12",,,"Wellington village","75812",,,,,,,,,,,,,,,,"16000US1275812","Wellington village, Florida",65389,"Wellington village, Florida",40
"G12075875","2019","FL",,,"Florida","12",,,"Wesley Chapel CDP","75875",,,,,,,,,,,,,,,,"16000US1275875","Wesley Chapel CDP, Florida",62516,"Wesley Chapel CDP, Florida",5646
"G12076582","2019","FL",,,"Florida","12",,,"Weston city","76582",,,,,,,,,,,,,,,,"16000US1276582","Weston city, Florida",71164,"Weston city, Florida",25
"G12076600","2019","FL",,,"Florida","12",,,"West Palm Beach city","76600",,,,,,,,,,,,,,,,"16000US1276600","West Palm Beach city, Florida",111952,"West Palm Beach city, Florida",36
"G13001052","2019","GA",,,"Georgia","13",,,"Albany city","01052",,,,,,,,,,,,,,,,"16000US1301052","Albany city, Georgia",70643,"Albany city, Georgia",2918
"G13001696","2019","GA",,,"Georgia","13",,,"Alpharetta city","01696",,,,,,,,,,,,,,,,"16000US1301696","Alpharetta city, Georgia",67208,"Alpharetta city, Georgia",33
"G13003440","2019","GA",,,"Georgia","13",,,"Athens-Clarke County unified government (balance)","03440",,,,,,,,,,,,,,,,"16000US1303440","Athens-Clarke County unified government (balance), Georgia",126718,"Athens-Clarke County unified government (balance), Georgia",861
"G13004000","2019","GA",,,"Georgia","13",,,"Atlanta city","04000",,,,,,,,,,,,,,,,"16000US1304000","Atlanta city, Georgia",506804,"Atlanta city, Georgia",49
"G13004204","2019","GA",,,"Georgia","13",,,"Augusta-Richmond County consolidated government (balance)","04204",,,,,,,,,,,,,,,,"16000US1304204","Augusta-Richmond County consolidated government (balance), Georgia",197325,"Augusta-Richmond County consolidated government (balance), Georgia",2268
"G13019000","2019","GA",,,"Georgia","13",,,"Columbus city","19000",,,,,,,,,,,,,,,,"16000US1319000","Columbus city, Georgia",195769,"Columbus city, Georgia",0
"G13042425","2019","GA",,,"Georgia","13",,,"Johns Creek city","42425",,,,,,,,,,,,,,,,"16000US1342425","Johns Creek city, Georgia",84590,"Johns Creek city, Georgia",53
"G13049008","2019","GA",,,"Georgia","13",,,"Macon-Bibb County","49008",,,,,,,,,,,,,,,,"16000US1349008","Macon-Bibb County, Georgia",153159,"Macon-Bibb County, Georgia",0
"G13067284","2019","GA",,,"Georgia","13",,,"Roswell city","67284",,,,,,,,,,,,,,,,"16000US1367284","Roswell city, Georgia",94747,"Roswell city, Georgia",63
"G13068516","2019","GA",,,"Georgia","13",,,"Sandy Springs city","68516",,,,,,,,,,,,,,,,"16000US1368516","Sandy Springs city, Georgia",109466,"Sandy Springs city, Georgia",50
"G13069000","2019","GA",,,"Georgia","13",,,"Savannah city","69000",,,,,,,,,,,,,,,,"16000US1369000","Savannah city, Georgia",144457,"Savannah city, Georgia",37
"G13072122","2019","GA",,,"Georgia","13",,,"South Fulton city","72122",,,,,,,,,,,,,,,,"16000US1372122","South Fulton city, Georgia",99152,"South Fulton city, Georgia",21
"G13080508","2019","GA",,,"Georgia","13",,,"Warner Robins city","80508",,,,,,,,,,,,,,,,"16000US1380508","Warner Robins city, Georgia",77421,"Warner Robins city, Georgia",399
"G15071550","2019","HI",,,"Hawaii","15",,,"Urban Honolulu CDP","71550",,,,,,,,,,,,,,,,"16000US1571550","Urban Honolulu CDP, Hawaii",345055,"Urban Honolulu CDP, Hawaii",57
"G16008830","2019","ID",,,"Idaho","16",,,"Boise City city","08830",,,,,,,,,,,,,,,,"16000US1608830","Boise City city, Idaho",228965,"Boise City city, Idaho",32
"G16052120","2019","ID",,,"Idaho","16",,,"Meridian city","52120",,,,,,,,,,,,,,,,"16000US1652120","Meridian city, Idaho",114161,"Meridian city, Idaho",24
"G16056260","2019","ID",,,"Idaho","16",,,"Nampa city","56260",,,,,,,,,,,,,,,,"16000US1656260","Nampa city, Idaho",99276,"Nampa city, Idaho",25
"G17002154","2019","IL",,,"Illinois","17",,,"Arlington Heights village","02154",,,,,,,,,,,,,,,,"16000US1702154","Arlington Heights village, Illinois",71825,"Arlington Heights village, Illinois",2491
"G17003012","2019","IL",,,"Illinois","17",,,"Aurora city","03012",,,,,,,,,,,,,,,,"16000US1703012","Aurora city, Illinois",198827,"Aurora city, Illinois",6694
"G17006613","2019","IL",,,"Illinois","17",,,"Bloomington city","06613",,,,,,,,,,,,,,,,"16000US1706613","Bloomington city, Illinois",77323,"Bloomington city, Illinois",30
"G17007133","2019","IL",,,"Illinois","17",,,"Bolingbrook village","07133",,,,,,,,,,,,,,,,"16000US1707133","Bolingbrook village, Illinois",73304,"Bolingbrook village, Illinois",4151
"G17012385","2019","IL",,,"Illinois","17",,,"Champaign city","12385",,,,,,,,,,,,,,,,"16000US1712385","Champaign city, Illinois",88919,"Champaign city, Illinois",43
"G17014000","2019","IL",,,"Illinois","17",,,"Chicago city","14000",,,,,,,,,,,,,,,,"16000US1714000","Chicago city, Illinois",2693959,"Chicago city, Illinois",61
"G17014351","2019","IL",,,"Illinois","17",,,"Cicero town","14351",,,,,,,,,,,,,,,,"16000US1714351","Cicero town, Illinois",80801,"Cicero town, Illinois",25
"G17018823","2019","IL",,,"Illinois","17",,,"Decatur city","18823",,,,,,,,,,,,,,,,"16000US1718823","Decatur city, Illinois",69553,"Decatur city, Illinois",2316
"G17023074","2019","IL",,,"Illinois","17",,,"Elgin city","23074",,,,,,,,,,,,,,,,"16000US1723074","Elgin city, Illinois",110889,"Elgin city, Illinois",4928
"G17024582","2019","IL",,,"Illinois","17",,,"Evanston city","24582",,,,,,,,,,,,,,,,"16000US1724582","Evanston city, Illinois",73470,"Evanston city, Illinois",30
"G17038570","2019","IL",,,"Illinois","17",,,"Joliet city","38570",,,,,,,,,,,,,,,,"16000US1738570","Joliet city, Illinois",148806,"Joliet city, Illinois",6480
"G17051622","2019","IL",,,"Illinois","17",,,"Naperville city","51622",,,,,,,,,,,,,,,,"16000US1751622","Naperville city, Illinois",149640,"Naperville city, Illinois",2082
"G17057225","2019","IL",,,"Illinois","17",,,"Palatine village","57225",,,,,,,,,,,,,,,,"16000US1757225","Palatine village, Illinois",67436,"Palatine village, Illinois",31
"G17059000","2019","IL",,,"Illinois","17",,,"Peoria city","59000",,,,,,,,,,,,,,,,"16000US1759000","Peoria city, Illinois",109936,"Peoria city, Illinois",2128
"G17065000","2019","IL",,,"Illinois","17",,,"Rockford city","65000",,,,,,,,,,,,,,,,"16000US1765000","Rockford city, Illinois",143707,"Rockford city, Illinois",1852
"G17068003","2019","IL",,,"Illinois","17",,,"Schaumburg village","68003",,,,,,,,,,,,,,,,"16000US1768003","Schaumburg village, Illinois",72862,"Schaumburg village, Illinois",1748
"G17070122","2019","IL",,,"Illinois","17",,,"Skokie village","70122",,,,,,,,,,,,,,,,"16000US1770122","Skokie village, Illinois",62691,"Skokie village, Illinois",43
"G17072000","2019","IL",,,"Illinois","17",,,"Springfield city","72000",,,,,,,,,,,,,,,,"16000US1772000","Springfield city, Illinois",114171,"Springfield city, Illinois",180
"G17079293","2019","IL",,,"Illinois","17",,,"Waukegan city","79293",,,,,,,,,,,,,,,,"16000US1779293","Waukegan city, Illinois",86262,"Waukegan city, Illinois",4926
"G18005860","2019","IN",,,"Indiana","18",,,"Bloomington city","05860",,,,,,,,,,,,,,,,"16000US1805860","Bloomington city, Indiana",86630,"Bloomington city, Indiana",2838
"G18010342","2019","IN",,,"Indiana","18",,,"Carmel city","10342",,,,,,,,,,,,,,,,"16000US1810342","Carmel city, Indiana",101918,"Carmel city, Indiana",941
"G18022000","2019","IN",,,"Indiana","18",,,"Evansville city","22000",,,,,,,,,,,,,,,,"16000US1822000","Evansville city, Indiana",117557,"Evansville city, Indiana",3793
"G18023278","2019","IN",,,"Indiana","18",,,"Fishers city","23278",,,,,,,,,,,,,,,,"16000US1823278","Fishers city, Indiana",96301,"Fishers city, Indiana",1772
"G18025000","2019","IN",,,"Indiana","18",,,"Fort Wayne city","25000",,,,,,,,,,,,,,,,"16000US1825000","Fort Wayne city, Indiana",262907,"Fort Wayne city, Indiana",4274
"G18027000","2019","IN",,,"Indiana","18",,,"Gary city","27000",,,,,,,,,,,,,,,,"16000US1827000","Gary city, Indiana",70778,"Gary city, Indiana",3871
"G18031000","2019","IN",,,"Indiana","18",,,"Hammond city","31000",,,,,,,,,,,,,,,,"16000US1831000","Hammond city, Indiana",75517,"Hammond city, Indiana",33
"G18036003","2019","IN",,,"Indiana","18",,,"Indianapolis city (balance)","36003",,,,,,,,,,,,,,,,"16000US1836003","Indianapolis city (balance), Indiana",870340,"Indianapolis city (balance), Indiana",6347
"G18040788","2019","IN",,,"Indiana","18",,,"Lafayette city","40788",,,,,,,,,,,,,,,,"16000US1840788","Lafayette city, Indiana",72633,"Lafayette city, Indiana",2786
"G18051876","2019","IN",,,"Indiana","18",,,"Muncie city","51876",,,,,,,,,,,,,,,,"16000US1851876","Muncie city, Indiana",67967,"Muncie city, Indiana",1934
"G18054180","2019","IN",,,"Indiana","18",,,"Noblesville city","54180",,,,,,,,,,,,,,,,"16000US1854180","Noblesville city, Indiana",63325,"Noblesville city, Indiana",2880
"G18071000","2019","IN",,,"Indiana","18",,,"South Bend city","71000",,,,,,,,,,,,,,,,"16000US1871000","South Bend city, Indiana",102602,"South Bend city, Indiana",3393
"G19001855","2019","IA",,,"Iowa","19",,,"Ames city","01855",,,,,,,,,,,,,,,,"16000US1901855","Ames city, Iowa",66258,"Ames city, Iowa",18
"G19002305","2019","IA",,,"Iowa","19",,,"Ankeny city","02305",,,,,,,,,,,,,,,,"16000US1902305","Ankeny city, Iowa",67347,"Ankeny city, Iowa",34
"G19012000","2019","IA",,,"Iowa","19",,,"Cedar Rapids city","12000",,,,,,,,,,,,,,,,"16000US1912000","Cedar Rapids city, Iowa",133563,"Cedar Rapids city, Iowa",27
"G19019000","2019","IA",,,"Iowa","19",,,"Davenport city","19000",,,,,,,,,,,,,,,,"16000US1919000","Davenport city, Iowa",101591,"Davenport city, Iowa",22
"G19021000","2019","IA",,,"Iowa","19",,,"Des Moines city","21000",,,,,,,,,,,,,,,,"16000US1921000","Des Moines city, Iowa",214200,"Des Moines city, Iowa",417
