GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AGWME001,AGWME002,AGWME003,AGWME004,AGWME005,AGWME006,AGWME007,AGWME008,AGWME009,AGWME010,AGWME011,AGWME012,AGWME013,AGWME014,AGWME015,AGWME016,AGWME017,AGWME018,AGWME019,AGWME020,AGWME021,AGWME022,AGWME023,AGWME024,AGWME025,AGWME026,AGWME027,AGWME028,AGWME029,AGWME030,AGWME031,AGWME032,AGWME033,AGWME034,AGWME035,AGWME036,AGWME037,AGWME038,AGWME039,AGWME040,AGWME041,AGWME042,AGWME043,AGWME044,AGWME045,AGWME046,AGWME047,AGWME048,AGWME049,NAME_M,AGWMM001,AGWMM002,AGWMM003,AGWMM004,AGWMM005,AGWMM006,AGWMM007,AGWMM008,AGWMM009,AGWMM010,AGWMM011,AGWMM012,AGWMM013,AGWMM014,AGWMM015,AGWMM016,AGWMM017,AGWMM018,AGWMM019,AGWMM020,AGWMM021,AGWMM022,AGWMM023,AGWMM024,AGWMM025,AGWMM026,AGWMM027,AGWMM028,AGWMM029,AGWMM030,AGWMM031,AGWMM032,AGWMM033,AGWMM034,AGWMM035,AGWMM036,AGWMM037,AGWMM038,AGWMM039,AGWMM040,AGWMM041,AGWMM042,AGWMM043,AGWMM044,AGWMM045,AGWMM046,AGWMM047,AGWMM048,AGWMM049
"G1800530","2017","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",66491,31505,1929,2307,1690,1413,1057,693,557,1372,1629,1448,1257,1949,2268,2149,2299,876,1064,523,1006,1755,978,417,869,34986,1704,1918,2020,1115,1272,909,1216,1281,1867,1744,2131,1858,1880,2204,2103,1126,1409,676,1125,2133,1391,653,1251,"Grant County, Indiana",0,674,370,634,467,314,427,387,382,424,168,185,527,623,404,275,478,419,411,313,348,452,385,226,375,674,354,629,554,215,377,399,336,397,248,267,682,511,190,231,467,377,456,297,324,402,465,357,502
"G1800570","2017","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",323747,158588,11190,12975,15044,7176,4182,2732,793,4138,8332,10444,11559,11229,12992,11642,9421,3260,4536,2848,4101,3826,2579,2310,1279,165159,10642,10888,13787,7300,3380,792,712,5951,9229,11915,14344,11545,12612,11437,11400,4300,3674,3167,3937,5191,3739,2971,2246,"Hamilton County, Indiana",0,1281,645,1585,1520,312,654,1176,500,1240,804,912,1498,1354,887,1134,1261,1045,908,1017,888,982,712,637,559,1281,702,1286,1345,484,502,543,511,793,644,629,1469,1559,642,494,1273,1176,955,766,968,952,879,745,667
"G1800590","2017","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",74985,37195,2475,1640,3820,1855,956,691,0,1147,1963,2124,1855,2692,2537,3249,3386,649,851,809,779,1767,1126,622,202,37790,2035,2345,2186,2123,689,472,375,1004,2071,2439,2393,2809,2427,2860,3179,764,1350,710,1388,1587,1124,807,653,"Hancock County, Indiana",0,1020,352,567,683,244,951,660,197,739,197,101,671,670,208,619,646,457,461,350,345,383,435,406,286,1020,280,691,766,532,197,285,297,340,197,304,677,834,197,179,724,419,550,439,528,546,618,638,462
"G1800630","2017","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",163685,81404,4985,5240,7280,3703,2748,677,783,2785,5637,5548,5408,6093,5508,5620,4927,2727,2158,2016,2099,2134,1322,744,1262,82281,5166,4881,6719,3106,1897,1969,725,2946,4187,5461,5827,4938,6770,5346,4028,2730,3124,2091,2469,2654,2153,1306,1788,"Hendricks County, Indiana",0,1429,721,892,1127,459,1036,514,382,672,1179,831,1029,1032,630,857,916,776,732,771,697,776,556,496,752,1429,781,993,1374,155,503,1189,495,1091,406,615,1199,1044,1173,307,863,740,975,816,978,779,828,539,516
"G1800670","2017","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",82363,39589,2687,1953,3488,1396,718,846,774,1047,2608,2350,1729,2557,2762,2559,2968,989,1319,890,1434,1560,1079,1160,716,42774,2397,2267,3000,1490,1178,510,392,1226,2125,2381,1651,3489,2335,3457,2661,1676,1762,1481,1286,2151,2065,543,1251,"Howard County, Indiana",0,451,271,569,674,88,108,339,510,422,250,423,619,617,356,121,574,377,507,427,507,473,360,381,366,451,263,811,632,247,416,372,272,419,197,374,628,712,109,497,661,559,607,572,401,515,396,281,421
"G1800810","2017","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",153897,76020,5686,5132,6050,3182,1767,754,727,2881,5465,4999,5240,5606,5170,4841,5201,1616,2052,1290,2386,2332,1801,869,973,77877,4640,4711,5591,3111,1569,1268,1196,2279,5496,5378,5371,4966,4758,5054,4765,1806,3288,1071,2842,3454,2488,1285,1490,"Johnson County, Indiana",0,802,427,912,963,167,166,409,470,666,568,407,1170,1246,444,233,732,538,742,531,677,722,477,434,483,802,386,765,881,212,111,537,501,600,715,389,1024,934,162,216,820,614,1002,409,826,793,564,495,479
"G1800850","2017","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",79206,40231,2645,2661,2862,2028,992,699,673,1219,2814,2957,2212,2075,2782,2330,3135,761,1566,752,1238,1639,1128,634,429,38975,2257,2646,2202,1587,1070,522,265,1838,2589,2652,1922,2084,2329,2765,3408,634,1311,402,2123,1397,1380,734,858,"Kosciusko County, Indiana",0,482,295,610,557,321,175,489,375,563,432,415,570,540,364,22,582,365,587,352,345,327,221,254,208,482,234,564,518,301,190,407,257,390,466,377,558,501,155,350,520,337,439,200,466,368,271,288,269
"G1800890","2017","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",485640,234680,14945,15103,18194,10383,6056,2995,3508,8792,15101,14004,14304,15142,14669,15646,16622,6641,8963,4482,7421,8622,6001,4143,2943,250960,14517,15547,16156,10392,5967,2431,3248,9240,15182,15089,15052,16364,15716,16374,19138,7082,8956,6644,7803,9713,7625,4332,8392,"Lake County, Indiana",0,539,231,1611,1606,77,170,908,942,1198,198,175,1609,1608,202,433,1428,1219,1374,793,1019,1089,893,925,740,539,260,1729,1699,264,232,721,953,1034,333,363,1564,1558,305,182,1381,1154,1286,1074,970,1093,995,861,1216
"G1800910","2017","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",110029,55702,2950,2946,3233,2069,1045,749,617,2478,4682,4245,4255,2786,3705,3798,3331,1422,2995,1336,1647,2421,1230,817,945,54327,4069,3065,3374,1976,838,350,411,2032,3392,3144,3599,2401,3183,4055,3995,1625,2026,1398,2588,2133,1936,1551,1186,"LaPorte County, Indiana",0,606,358,742,746,278,171,450,340,496,554,449,651,639,394,291,684,552,648,432,512,462,364,411,362,606,440,850,889,357,156,255,332,585,343,448,839,736,315,323,568,483,519,467,553,429,477,495,470
"G1800950","2017","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",129498,64822,3433,4655,4027,2745,1313,459,1037,2234,4134,3700,4457,4517,4584,4893,4495,1887,2290,1676,1751,2545,1851,1156,983,64676,3882,3683,3547,2144,1786,556,1066,2331,4155,3798,3568,4141,4026,4303,4526,1776,2495,1647,2078,3507,2298,1596,1767,"Madison County, Indiana",0,563,256,834,795,301,84,230,436,450,496,353,899,908,529,430,670,540,624,433,448,459,331,295,309,563,318,666,696,186,305,311,416,596,366,479,753,818,241,233,667,564,600,421,504,580,463,495,425
"G1800970","2017","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",950082,457571,35610,33380,32355,18457,11806,7855,5619,18346,41273,35670,31288,27951,27235,27739,28351,11358,14276,8468,10803,11725,8194,5506,4306,492511,33690,29829,33070,18313,11530,4795,6967,21814,44447,38059,35442,27259,29039,29707,30706,12210,17468,9605,13866,14972,10925,8053,10745,"Marion County, Indiana",0,571,134,2883,2897,291,652,1541,1878,2102,316,220,2436,2382,499,359,1880,1602,1376,1185,1406,1231,937,974,804,571,133,2367,2367,539,326,1312,1385,1811,81,139,2824,2837,667,389,1924,1661,1932,1190,1555,1689,1357,1167,1451
"G1801050","2017","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",146986,73646,3416,3660,3108,2083,5939,4513,3877,4873,6923,4602,4124,3408,3834,3314,3980,1166,2389,1781,1588,1759,1232,1479,598,73340,2959,2808,3486,1895,6149,3064,3683,6282,5426,4085,4077,3734,3609,3600,4457,2022,1868,1772,1529,2439,1689,1041,1666,"Monroe County, Indiana",0,838,371,832,783,528,495,1320,967,1304,924,435,874,686,343,268,680,432,727,503,480,472,496,455,313,838,455,730,862,266,478,1103,1003,1288,279,390,868,826,411,296,791,652,528,537,480,650,438,325,496
"G1801090","2017","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",69713,34502,2047,2123,2372,1535,859,454,261,1250,2006,2036,2060,1980,2436,2574,2362,1115,1868,800,1247,1256,915,757,189,35211,1862,2589,1801,1528,694,588,417,862,1961,1963,1546,2604,2692,2635,2791,1366,1070,1154,1172,1370,873,895,778,"Morgan County, Indiana",0,154,51,494,495,197,197,414,215,393,197,171,681,674,197,197,654,546,597,520,532,590,306,292,201,154,123,648,656,197,197,276,345,497,197,64,548,524,192,197,704,834,586,422,396,448,351,387,336
"G1801270","2017","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",168404,84391,4412,5391,6025,3984,2097,1749,1282,3004,4531,5583,7178,4247,5319,5449,7130,2423,2472,2056,2388,3554,1538,1193,1386,84013,4413,6047,4010,3566,2322,2350,914,1876,4609,5093,6720,4337,5801,5345,5450,2501,3928,2926,2560,3251,1913,1609,2472,"Porter County, Indiana",0,784,397,796,715,452,382,753,588,868,372,743,951,840,494,468,1085,650,684,830,523,602,455,412,494,784,370,671,730,366,491,728,464,686,415,493,1004,892,552,244,887,777,812,701,736,785,654,555,682
"G1801410","2017","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",270434,131479,8882,8582,9667,5818,5183,2071,2295,4874,9510,8236,7185,8704,7667,7856,7786,3563,5157,3548,3191,4772,3091,1600,2241,138955,8484,8697,8806,5119,4572,3409,2463,5150,9217,8806,8454,7710,8310,8176,7702,3946,6264,2956,4710,4935,3875,2215,4979,"St. Joseph County, Indiana",0,444,134,1123,1124,189,961,761,769,859,834,640,1102,1142,704,180,1002,803,846,821,668,886,633,581,469,444,147,1069,1146,3,454,763,803,869,244,359,1015,869,454,268,970,814,876,736,814,685,722,607,816
"G1801570","2017","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",190587,96997,5784,6399,4615,3440,6207,4483,3992,10256,7694,5884,5172,4747,5525,4780,4593,1956,2284,1240,2344,2167,1516,1202,717,93590,5219,6610,4762,2909,6399,2558,3715,7743,7608,5176,6434,3907,4892,4237,5653,1189,2617,1811,1892,2949,2322,884,2104,"Tippecanoe County, Indiana",0,1335,612,1080,911,766,978,1516,1120,1946,607,683,727,855,1059,607,866,631,693,382,535,561,465,369,324,1335,621,1228,1004,684,651,1072,1082,1213,720,443,1112,840,524,245,791,414,723,467,449,458,554,345,633
"G1801630","2017","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",181616,87892,5882,6087,5014,2689,2434,1016,1220,3971,6558,6918,5642,4997,4831,5503,5863,3118,3418,2025,2777,3244,1674,1850,1161,93724,5127,5319,5647,3210,3080,1509,1415,3674,6792,6499,5525,4667,5336,5828,7282,3215,2695,2485,2988,3550,3122,1751,3008,"Vanderburgh County, Indiana",0,743,488,1032,943,211,329,418,480,656,433,583,942,1099,306,468,829,815,746,713,754,751,405,450,432,743,419,957,956,475,439,488,599,734,463,513,921,770,562,424,909,761,805,645,605,622,672,489,655
"G1801670","2017","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",107516,54568,3325,3559,2675,2196,3298,1392,974,2779,4190,3460,3763,2406,3529,3548,3595,895,1779,1298,1626,1730,1160,702,689,52948,3022,2507,3265,1773,2586,1338,1184,2854,3006,2839,3473,2408,3049,3041,3216,1867,1438,1062,1974,2165,2104,1043,1734,"Vigo County, Indiana",0,594,322,781,770,304,736,557,441,874,613,410,682,669,486,425,548,337,513,458,434,455,340,271,290,594,214,615,632,275,810,531,472,723,237,180,695,673,195,165,550,513,444,329,452,466,623,434,533
"G1801770","2017","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",66185,32187,1693,1939,2393,1418,883,862,983,712,1845,2122,1847,1908,1953,2283,2029,918,1330,637,1103,1215,845,721,548,33998,1803,1497,2566,1257,973,611,467,642,1856,1677,2211,1828,1993,2562,1956,1405,1774,736,855,2038,872,1099,1320,"Wayne County, Indiana",0,419,138,559,563,364,119,423,397,317,169,335,491,599,103,236,411,355,411,297,342,324,406,355,362,419,174,550,565,238,180,402,405,356,179,15,654,517,25,400,469,481,628,316,303,455,411,516,439
"G1900130","2017","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",132648,64890,4345,3805,4671,2019,2032,859,1497,4783,4948,3884,4962,2532,3731,3752,3664,1834,2177,1898,1470,2354,1823,1214,636,67758,3883,3607,3793,2713,2887,1950,2799,3155,4328,3943,3870,3008,4170,3564,4241,1346,2910,1170,1994,2825,2521,1495,1586,"Black Hawk County, Iowa",0,453,281,701,751,255,371,553,687,898,507,362,709,774,342,431,690,615,684,431,427,491,395,364,308,453,192,583,574,367,352,544,1344,1398,432,345,744,717,557,262,710,474,590,385,385,507,491,404,472
"G1900490","2017","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",87235,43348,3638,3668,3854,1990,792,238,151,1828,2988,2959,3233,3813,3063,2882,1895,1137,911,499,735,1379,646,650,399,43887,3278,2943,3416,1724,556,205,572,1733,2747,3393,3819,3469,3514,2438,2817,438,1077,363,1393,1406,666,777,1143,"Dallas County, Iowa",0,788,333,618,698,258,474,238,175,577,384,148,704,740,363,350,531,501,451,321,350,438,391,323,327,788,347,684,686,191,375,242,556,621,364,346,810,744,745,183,482,300,427,247,495,486,448,416,486
"G1900610","2017","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",97041,47635,3429,2985,2987,1905,1722,503,921,2152,3244,3179,2179,2960,2699,3050,3624,1457,1442,1112,1206,1925,1282,989,683,49406,3073,2966,3097,1892,1866,898,334,2034,3032,2806,2466,2846,2685,3133,3514,1176,2166,1070,1449,2104,1626,1256,1917,"Dubuque County, Iowa",0,406,406,548,572,193,272,374,396,501,323,336,543,465,92,137,552,490,425,327,331,368,322,330,270,406,301,515,406,181,389,343,187,342,252,238,487,578,218,106,570,348,445,335,382,370,431,350,432
"G1901030","2017","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",149210,73865,4683,4068,4209,2308,3776,3277,2715,6449,6336,4925,4622,4466,4043,3377,2944,1631,2118,1659,1854,1855,920,1104,526,75345,4329,5009,3691,1895,4233,3738,1530,6924,5683,4902,5040,3285,3903,4289,3913,1580,2193,912,2079,2437,895,1344,1541,"Johnson County, Iowa",0,1279,536,1077,787,846,372,960,1089,1285,551,492,909,824,484,319,633,479,625,655,534,469,442,468,314,1279,543,1048,704,177,430,1318,621,1444,590,625,1082,903,487,582,841,664,608,393,545,566,401,547,582
"G1901130","2017","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",224115,109958,7563,6321,8110,4567,3821,1817,1137,4273,7483,7924,7185,6582,7001,7119,8395,2369,3338,2248,2728,4038,2495,1716,1728,114157,6918,7035,8166,4208,2709,1685,1985,3939,7573,7355,6945,7006,7377,7481,7310,2451,4462,2409,3590,4574,3315,2271,3393,"Linn County, Iowa",0,1103,1005,900,992,483,673,777,455,984,583,639,998,1111,390,321,928,734,633,608,630,655,643,519,493,1103,934,1248,983,470,291,673,898,1116,760,784,1328,1123,741,538,823,704,820,730,838,847,721,537,646
"G1901530","2017","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",481830,237554,17683,15960,18246,9649,6547,2283,2422,10380,17789,18765,18075,14997,16216,14347,15831,5643,6399,3887,6436,6552,4362,2791,2294,244276,16972,17410,15312,9362,6173,4050,1568,9242,19083,18392,16992,15264,15207,15219,16915,4255,8151,3222,7318,8968,6487,3803,4911,"Polk County, Iowa",0,1018,5,1794,1769,1025,906,823,904,1318,617,2,1991,1988,715,522,1362,1120,1125,757,953,1026,679,669,691,1018,120,1798,1797,1014,749,1237,651,1019,159,2,1749,1783,450,462,1323,862,1219,672,1006,1196,1010,811,859
"G1901550","2017","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",93386,45728,2904,2872,3504,1782,1883,467,356,1692,2840,2533,3223,2866,2496,2814,2987,2251,1268,1446,1461,1502,957,830,794,47658,3073,3016,2859,1881,1367,790,454,1266,2716,2699,2790,2757,3131,2941,3115,1631,2114,1294,1720,1992,1261,994,1797,"Pottawattamie County, Iowa",0,786,340,643,716,170,611,251,244,348,468,292,726,646,93,110,601,520,345,400,335,377,289,293,283,786,643,525,509,223,313,423,315,483,246,266,489,529,519,120,515,445,555,427,409,427,338,373,415
"G1901630","2017","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",172509,84926,5206,6369,5888,3745,1904,1685,956,2471,5666,5128,5541,5501,5529,5959,6761,1721,2777,1568,2969,3223,2053,835,1471,87583,5312,5429,5919,3359,2216,1212,958,3326,5441,6117,4701,5848,5243,5698,5509,2898,3293,2579,2114,3714,2610,1775,2312,"Scott County, Iowa",0,806,615,1029,915,459,389,1104,521,922,659,437,975,864,481,534,1287,638,898,532,664,572,533,436,478,806,534,905,870,399,458,616,540,631,594,598,801,830,378,439,857,696,705,748,455,794,681,530,553
"G1901690","2017","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",97502,51068,2181,2384,1878,1498,4201,2335,3225,7599,3966,3413,3116,1625,1866,1867,1893,1886,1113,932,1550,567,824,477,672,46434,2565,2679,1801,1142,5012,2210,1592,3244,3103,3236,3056,1557,2099,2074,2544,828,1500,859,1293,1104,742,1230,964,"Story County, Iowa",0,479,270,657,555,461,233,791,1686,1925,641,626,596,540,104,73,517,734,337,325,381,238,303,232,264,479,438,549,438,93,838,603,613,867,308,937,945,436,493,209,553,401,417,436,519,477,332,469,389
"G1901930","2017","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",102429,50589,3582,3482,4006,2290,1284,1045,524,2145,3646,3440,2725,3334,2823,3044,3268,1050,2074,819,1508,1907,1629,428,536,51840,3872,2799,4618,2192,1399,818,488,2159,2876,3360,3446,2956,2754,3329,2944,1256,2165,904,1809,2005,1320,688,1683,"Woodbury County, Iowa",0,817,295,616,634,261,173,455,324,491,459,514,640,759,450,355,703,496,557,377,443,497,379,195,274,817,261,838,815,450,617,423,394,594,86,496,733,815,300,442,577,503,532,350,477,550,474,263,420
"G2000150","2017","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",66878,34563,2126,2102,3226,1666,1045,251,419,1324,2183,2248,1478,2554,2503,2017,2176,1221,1362,462,977,1548,576,706,393,32315,1868,1642,3069,1378,789,620,323,760,1616,1975,1819,2049,1984,2406,2638,905,1144,1027,645,1189,959,847,663,"Butler County, Kansas",0,589,285,466,687,282,211,208,274,290,285,263,401,447,518,55,508,439,529,277,317,469,227,244,192,589,190,623,661,76,81,311,358,288,106,169,457,519,129,290,609,449,434,351,267,370,325,389,309
"G2000450","2017","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",120793,58854,2390,3268,3346,2151,3482,3259,1621,4705,5481,4968,3110,3461,2774,2742,2678,1084,1895,652,1642,1841,1471,396,437,61939,3266,3896,2261,1895,4263,2891,906,6240,5280,3604,4145,3683,3120,2450,3174,1371,1682,600,2053,1978,1485,300,1396,"Douglas County, Kansas",0,1407,173,746,906,456,518,1526,952,1454,773,995,749,815,404,363,636,445,641,386,457,553,328,268,179,1407,739,830,756,434,861,1323,487,1442,1034,544,854,1349,579,177,693,503,516,362,763,543,539,256,550
"G2000910","2017","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",591178,290297,19476,22437,19848,13060,6583,3147,2889,10897,19617,20792,21336,20165,19279,19167,17323,7414,10844,5993,7423,9722,5519,3058,4308,300881,18817,21036,19015,12225,5538,3401,2623,11203,18942,21297,20580,20859,19889,20025,19648,8046,11709,7390,8547,10414,7228,4977,7472,"Johnson County, Kansas",0,339,142,1728,1708,293,305,885,840,1128,105,145,1703,1678,361,242,1405,1051,1251,941,994,1191,771,655,548,339,98,1573,1573,316,466,1100,922,1341,238,333,1508,1579,441,205,1566,1042,1369,1001,899,1171,796,829,991
"G2001030","2017","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",81095,44154,2549,4083,2705,1833,1066,254,606,1429,3116,3170,4092,2320,2985,3687,3438,755,1048,910,1474,951,836,706,141,36941,2529,1749,3117,1443,838,213,504,1596,2036,2117,2612,2370,2093,2492,2532,927,1712,1430,992,1208,829,484,1118,"Leavenworth County, Kansas",0,882,349,742,913,470,562,205,547,489,501,481,620,655,550,805,622,388,450,308,408,316,334,295,180,882,407,643,735,229,471,204,323,522,313,121,673,577,229,356,676,402,478,418,383,423,314,236,371
"G2001610","2017","KS",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,"05000US20161","Riley County, Kansas",74172,38604,2342,1630,1221,936,3139,1914,3078,5620,4519,2997,1829,1108,1303,1291,1417,450,770,372,598,882,563,292,333,35568,2583,1725,1420,571,3265,1738,2117,4161,3530,2260,2083,1156,818,1304,1580,501,898,548,802,913,526,478,591,"Riley County, Kansas",0,832,560,464,475,207,826,624,1105,1280,708,611,379,504,281,270,417,270,401,235,308,318,256,216,219,832,696,421,396,297,554,799,878,1237,584,371,557,426,378,235,435,311,384,326,437,463,228,229,260
"G2001730","2017","KS",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,"05000US20173","Sedgwick County, Kansas",513687,253813,18675,19724,17837,11312,5983,3223,4149,10572,20156,17615,16738,14906,13863,15340,16784,6586,8134,4798,6487,8651,5223,3998,3059,259874,17649,19612,17256,10904,5374,3020,3024,11162,18879,17606,15643,15926,14960,15438,16908,7287,9429,5872,6070,10360,6406,5664,5425,"Sedgwick County, Kansas",0,856,416,1472,1426,584,521,947,1220,1629,556,272,1502,1530,446,276,1353,1097,1189,840,908,968,830,755,682,856,415,1546,1449,333,542,919,754,1434,193,500,1531,1549,246,164,1540,1256,1183,1001,1038,1197,839,944,871
"G2001770","2017","KS",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,"05000US20177","Shawnee County, Kansas",178187,87190,6067,6498,5669,3685,2073,1028,1583,3081,5867,5954,5832,4108,5010,5302,5666,2468,3603,2319,2827,3353,2131,1161,1905,90997,5068,6488,5163,3390,1906,603,1772,3009,5551,5966,5308,4859,5500,5656,6749,2663,3731,1735,3979,3878,2710,2565,2748,"Shawnee County, Kansas",0,855,733,767,770,390,373,452,571,632,746,758,823,768,577,514,810,638,684,614,698,842,527,433,454,855,708,777,805,394,293,284,517,625,413,573,929,1032,456,465,863,709,734,527,696,634,598,728,687
"G2002090","2017","KS",,,"Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,,,,,"05000US20209","Wyandotte County, Kansas",165288,81477,6644,5971,7364,3456,2131,684,1507,2769,6456,5792,6264,4580,5086,4831,4747,1549,3188,1100,1988,2242,1552,485,1091,83811,6795,7130,5533,3370,1922,971,771,3714,6215,6050,5879,4580,4725,4866,5147,2513,2473,1371,2115,2990,1938,1233,1510,"Wyandotte County, Kansas",0,379,291,994,989,151,424,339,628,685,354,347,902,909,402,190,640,477,598,369,442,490,397,239,340,379,291,841,817,127,348,469,411,709,402,446,796,761,211,258,665,552,523,417,453,449,483,416,492
"G2100150","2017","KY",,,"Kentucky","21","Boone County","015",,,,,,,,,,,,,,,,,,"05000US21015","Boone County, Kentucky",130728,64681,4252,5370,4774,2920,1520,1401,461,2369,3732,4458,3849,4887,4805,4449,3786,2001,1977,1242,1913,1863,1291,676,685,66047,4034,5766,3972,2924,1543,668,685,2007,3813,4210,4157,5616,4984,4522,4479,1513,2051,1622,1968,2007,1747,439,1320,"Boone County, Kentucky",0,703,333,840,888,232,238,687,326,726,262,490,795,762,383,271,780,627,676,465,561,543,382,347,278,703,280,1045,1121,301,374,531,494,603,281,488,854,983,643,275,698,527,758,570,503,567,545,283,480
"G2100290","2017","KY",,,"Kentucky","21","Bullitt County","029",,,,,,,,,,,,,,,,,,"05000US21029","Bullitt County, Kentucky",80246,40167,2339,2464,2787,1812,824,379,487,1447,2850,2581,2839,2184,3136,3010,2696,1135,1645,1025,562,2065,772,470,658,40079,2061,1785,3108,1492,993,458,660,1206,2561,2573,2472,2661,2766,3040,2871,1068,1504,764,1390,1973,1266,857,550,"Bullitt County, Kentucky",0,559,300,589,668,220,195,291,340,438,463,331,526,538,278,132,642,506,520,399,263,403,307,241,370,559,252,649,669,195,209,293,341,356,96,210,585,593,195,49,610,441,504,390,372,476,525,367,278
"G2100370","2017","KY",,,"Kentucky","21","Campbell County","037",,,,,,,,,,,,,,,,,,"05000US21037","Campbell County, Kentucky",92488,45561,2680,2263,3508,1851,1164,589,832,1883,3779,3241,3138,2498,2763,2953,3063,1236,2043,1033,1011,1782,1326,558,367,46927,2422,2316,2518,1699,1497,707,686,1717,3973,3022,3457,2337,2734,3187,3763,1593,1446,790,1354,2312,1299,1360,738,"Campbell County, Kentucky",0,512,143,507,530,308,40,305,347,379,288,339,574,455,195,133,559,396,507,349,428,478,309,280,193,512,159,466,497,135,164,372,405,577,591,139,516,545,64,190,532,507,408,369,468,501,476,506,368
