GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AGWME001,AGWME002,AGWME003,AGWME004,AGWME005,AGWME006,AGWME007,AGWME008,AGWME009,AGWME010,AGWME011,AGWME012,AGWME013,AGWME014,AGWME015,AGWME016,AGWME017,AGWME018,AGWME019,AGWME020,AGWME021,AGWME022,AGWME023,AGWME024,AGWME025,AGWME026,AGWME027,AGWME028,AGWME029,AGWME030,AGWME031,AGWME032,AGWME033,AGWME034,AGWME035,AGWME036,AGWME037,AGWME038,AGWME039,AGWME040,AGWME041,AGWME042,AGWME043,AGWME044,AGWME045,AGWME046,AGWME047,AGWME048,AGWME049,NAME_M,AGWMM001,AGWMM002,AGWMM003,AGWMM004,AGWMM005,AGWMM006,AGWMM007,AGWMM008,AGWMM009,AGWMM010,AGWMM011,AGWMM012,AGWMM013,AGWMM014,AGWMM015,AGWMM016,AGWMM017,AGWMM018,AGWMM019,AGWMM020,AGWMM021,AGWMM022,AGWMM023,AGWMM024,AGWMM025,AGWMM026,AGWMM027,AGWMM028,AGWMM029,AGWMM030,AGWMM031,AGWMM032,AGWMM033,AGWMM034,AGWMM035,AGWMM036,AGWMM037,AGWMM038,AGWMM039,AGWMM040,AGWMM041,AGWMM042,AGWMM043,AGWMM044,AGWMM045,AGWMM046,AGWMM047,AGWMM048,AGWMM049
"G0100830","2017","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",94402,47911,2445,3712,2935,2306,646,327,743,2615,3621,3262,2591,3707,3272,3356,3646,991,1444,888,1033,2228,1104,633,406,46491,2592,2428,2744,2066,1216,457,816,1335,3249,2644,3290,2432,2879,4087,2746,1655,1634,702,1190,2879,1657,1148,645,"Limestone County, Alabama",0,990,543,759,724,465,379,353,519,830,1013,479,925,750,320,323,747,482,555,391,423,617,358,288,279,990,663,784,679,498,484,392,485,710,719,386,734,864,222,716,627,554,588,384,424,635,519,397,382
"G0100890","2017","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",361046,176730,10976,10512,12127,7237,5163,839,3282,7975,13406,11498,11861,10237,10831,13258,12334,6676,5525,2690,5254,6193,4347,2587,1922,184316,10339,9777,11740,6798,4247,2263,2508,7670,13127,12049,11216,11296,12163,13971,14650,3514,6731,4248,5599,7439,4995,4328,3648,"Madison County, Alabama",0,485,368,1528,1524,285,344,426,1035,1013,466,364,1416,1409,324,552,1334,1189,1073,679,900,819,767,684,479,485,354,1068,1124,347,979,879,895,1297,442,311,1655,1626,415,402,1131,904,1138,1098,1127,1005,687,723,610
"G0100950","2017","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",95548,46197,2762,4306,2749,1873,1029,281,970,1976,3062,3173,2595,3162,2848,2928,3408,970,1368,925,1614,1667,1307,784,440,49351,3505,2477,4028,1978,1867,336,1155,1584,3467,2222,1997,3422,3161,3025,3392,993,1617,1531,1682,1970,1785,1435,722,"Marshall County, Alabama",0,589,381,689,729,229,164,191,545,487,415,536,639,779,192,165,571,425,442,366,403,388,367,339,264,589,370,635,693,334,1065,217,902,655,631,53,549,477,422,154,510,415,471,570,491,435,398,511,281
"G0100970","2017","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",413955,196427,13332,13142,13951,8593,4903,3273,2786,7849,14770,12305,9805,13490,12148,12506,13224,4693,7691,4180,5734,8271,4561,3107,2113,217528,13769,12272,13935,8675,5470,3459,3449,6842,15685,13928,13711,12483,13039,13637,14357,6976,8359,5640,7915,8378,6368,4578,4603,"Mobile County, Alabama",0,837,295,1581,1525,449,213,1054,824,1330,423,538,1274,1265,549,352,1288,862,1107,876,961,951,872,796,633,837,526,1392,1347,525,464,934,1143,1013,480,492,1312,1301,435,379,1228,1247,1610,1090,1230,1075,1041,987,963
"G0101010","2017","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",226646,106660,7209,7012,8016,4545,3733,1239,1183,5169,8315,7129,6132,7551,6317,6576,6856,2047,3652,2842,2770,3112,2593,1666,996,119986,7846,6969,7370,4481,3084,1909,810,5529,9164,7866,6871,8239,7427,7421,8650,2652,4612,2119,3955,4593,3755,1792,2872,"Montgomery County, Alabama",0,446,342,1233,1175,304,531,708,668,821,275,254,1296,1290,261,279,926,649,844,735,618,707,581,503,417,446,296,1633,1631,386,542,853,447,1144,296,270,1174,1214,189,286,1034,740,879,608,761,748,680,477,653
"G0101030","2017","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",118818,59890,3792,4411,4079,2516,1482,539,1610,1412,3762,4066,4392,2968,4017,3861,3751,1388,2400,1768,2162,2088,1854,872,700,58928,3247,3306,3270,2266,1775,416,1508,1028,3701,3420,3647,3957,3847,3962,3905,1967,2311,1538,2090,2845,2253,1295,1374,"Morgan County, Alabama",0,988,424,926,934,481,442,471,788,747,548,729,812,771,583,400,790,568,627,555,541,773,499,333,414,988,363,821,752,387,847,390,509,566,637,555,851,846,446,281,734,703,565,609,755,746,521,488,497
"G0101150","2017","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",88199,43920,2865,3539,2749,1519,374,309,127,2107,2761,2997,2993,2724,3686,2832,3219,1285,1429,989,275,2712,733,1408,288,44279,2462,2231,3443,1737,265,383,384,1804,2826,2829,2701,3125,3228,2880,3147,1226,1418,1191,2061,1977,722,1607,632,"St. Clair County, Alabama",0,809,481,957,1183,96,309,299,159,403,314,396,742,816,541,232,685,524,625,516,209,572,469,515,288,809,336,644,936,462,251,386,286,740,354,319,609,783,557,421,776,612,608,414,620,597,411,412,290
"G0101170","2017","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",213605,104267,6375,7810,7924,4571,2561,1142,1517,3102,5935,6481,7540,7805,7920,6736,6242,2718,3780,2042,3421,3621,2429,1641,954,109338,5116,6635,7428,4816,2855,1733,1549,3711,5538,7340,7164,7431,8218,7307,6095,2741,5614,2099,3852,4548,3706,1999,1843,"Shelby County, Alabama",0,706,706,1112,1226,259,592,835,613,820,603,811,1342,1321,535,394,859,731,779,644,801,786,480,443,359,706,533,862,929,394,656,696,713,1023,317,504,1145,1125,414,229,1033,778,930,634,748,682,814,654,476
"G0101210","2017","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",80065,39033,2476,2544,2393,1712,765,371,709,1299,2760,2121,2853,2102,2658,2667,2146,1708,1565,540,1594,1668,1332,306,744,41032,1862,2447,2396,1568,957,549,726,1098,2774,2337,3157,2151,2596,2766,2830,1502,1565,761,1614,2179,1379,1158,660,"Talladega County, Alabama",0,645,557,730,721,340,484,250,714,479,743,395,670,593,513,200,590,521,472,211,524,583,515,212,360,645,500,488,496,316,503,390,393,502,614,498,821,707,492,2,654,607,526,376,533,624,438,404,340
"G0101250","2017","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",207811,100874,6732,5766,5949,4085,6894,1741,2165,5957,8744,6624,5710,6264,5379,5646,5072,2026,4811,1952,2528,3441,1686,1067,635,106937,6326,7378,3746,3579,7464,2355,3244,5434,8426,6403,6824,5476,5981,6095,5414,2915,4459,1902,2959,4132,2682,1858,1885,"Tuscaloosa County, Alabama",0,738,415,1007,985,542,1155,856,928,1443,493,730,1283,1156,200,457,778,603,1031,581,675,672,475,333,446,738,486,919,888,254,1112,981,1341,1427,185,215,1140,1062,140,341,1039,789,1020,620,854,736,747,633,733
